frontend_faction_effect_junctions_tables
1
effect	faction	value	scope
wh_dlc03_effect_building_upkeep_reduction_minotaurs	wh2_main_morghur_faction	40	faction_to_force_own_unseen
wh_main_effect_building_upkeep_reduction_chaos_spawn	wh2_main_morghur_faction	-40	faction_to_force_own_unseen
wh_dlc03_effect_force_army_campaign_attrition_chaos_territory	wh2_main_morghur_leader	10	character_to_force_enemy_provincewide
wh_dlc05_morghur_trait_immortalitiy	wh2_main_morghur_leader	-100	character_to_character_own
wh_dlc05_effect_bonus_leadership_when_in_forest	wh2_main_orion_faction	10	faction_to_force_own_unseen
wh_dlc05_effect_force_army_campaign_upkeep_cost_wild_riders	wh2_main_orion_faction	-15	faction_to_force_own_unseen
wh_dlc05_effect_orion_amber	wh2_main_orion_faction	1	faction_to_faction_own_unseen
wh_dlc05_effect_orion_wild_hunt_dummy	wh2_main_orion_faction	1	faction_to_faction_own_unseen
wh_dlc05_effect_battle_speed_elf_units	wh2_main_orion_leader	8	general_to_force_own
wh2_main_effect_character_mod_loyalty_grey_seers	wh2_main_queek_faction	-2	faction_to_faction_own_unseen
wh2_main_effect_percentage_of_xp_to_steal_from_characters_of_same_type_dummy	wh2_main_queek_faction	1	faction_to_character_own_unseen
wh2_main_effect_ability_army_num_uses_the_menace_below_queek	wh2_main_queek_leader	1	character_to_force_own_unseen
wh2_main_effect_character_stat_mod_melee_attack_versus_dwarfs_greenskins	wh2_main_queek_leader	10	character_to_character_own
wh2_main_effect_character_stat_mod_melee_damage_versus_dwarfs_greenskins	wh2_main_queek_leader	10	character_to_character_own
wh2_main_effect_faction_trait_upkeep_reduction_skv_stormvermin_clanrats	wh2_main_queek_leader	-25	general_to_force_own
wh_main_effect_force_unit_stat_morale_versus_men	wh2_main_sigvald_faction	-5	faction_to_force_own_unseen
wh_main_effect_tech_recruitment_cost_reduction_marauders	wh2_main_sigvald_faction	-50	faction_to_force_own_unseen
wh_main_effect_hordebuilding_growth_characters	wh2_main_sigvald_leader	4	general_to_force_own
wh_dlc06_effect_faction_effect_agent_dummy	wh2_main_skarsnik_faction	-50	faction_to_character_own_factionwide_unseen
wh_dlc06_effect_faction_effect_building_bonus_dummy	wh2_main_skarsnik_faction	1	faction_to_force_own_unseen
wh_dlc06_effect_faction_effect_night_goblins_dummy	wh2_main_skarsnik_faction	-25	faction_to_force_own_unseen
wh_dlc06_effect_faction_effect_orc_recruitment_dummy	wh2_main_skarsnik_faction	-1	faction_to_force_own_unseen
wh_main_effect_conquest_enable_night_battles	wh2_main_skarsnik_leader	1	character_to_character_own
wh2_main_effect_building_construction_cost_mod_skv_plague_temple_chain	wh2_main_skrolk_faction	-50	faction_to_region_own_unseen
wh2_main_faction_trait_ritual_cost_skrolk	wh2_main_skrolk_faction	-75	faction_to_faction_own_unseen
wh2_main_effect_upkeep_reduction_skv_plague_units	wh2_main_skrolk_leader	-25	general_to_force_own
wh_main_effect_religion_conversion_skaven	wh2_main_skrolk_leader	4	character_to_character_own_provincetext
wh2_main_effect_agent_recruitment_xp_hef_mage	wh2_main_teclis_faction	5	faction_to_province_own_unseen
wh2_main_effect_diplomacy_bonus_humans_elves	wh2_main_teclis_faction	20	faction_to_faction_own_unseen
wh_main_effect_ability_enable_fireball	wh2_main_teclis_leader	1	character_to_character_own
wh_main_effect_military_force_winds_of_magic_depletion_mod_character	wh2_main_teclis_leader	30	character_to_force_own_unseen
wh_main_effect_building_construction_cost_mod_recruitment	wh2_main_thorgrim_faction	-10	faction_to_region_own_unseen
wh_main_effect_tech_melee_defence_increase_dwarf_shield_units	wh2_main_thorgrim_faction	4	faction_to_force_own_unseen
wh_main_effect_character_stat_mod_personal_aura_morale_effect	wh2_main_thorgrim_leader	5	character_to_character_own
wh2_main_effect_trait_unit_recruitment_duration_hef_infantry_cavalry	wh2_main_tyrion_faction	-1	faction_to_province_own_unseen
wh2_main_effect_upkeep_reduction_hef_spearmen_archers_silverhelms	wh2_main_tyrion_leader	-25	general_to_force_own
wh_main_effect_tech_melee_damage_increase_slayers	wh2_main_ungrim_faction	10	faction_to_force_own_unseen
wh_main_effect_tech_upkeep_cost_reduction_slayers	wh2_main_ungrim_faction	-15	faction_to_force_own_unseen
wh_main_effect_tech_melee_attack_increase_slayers	wh2_main_ungrim_leader	6	general_to_force_own
wh_main_effect_economy_gdp_mod_culture_vampires	wh2_main_vlad_faction	25	faction_to_region_own_unseen
wh_main_effect_unit_enable_attribute_guerrilla_deployment_dummy	wh2_main_vlad_faction	1	faction_to_army_own_unseen
wh_pro02_faction_trait_isabella_vlad_dummy	wh2_main_vlad_faction	15	faction_to_character_own_unseen
wh_pro02_faction_trait_isabella_vlad_unique_building	wh2_main_vlad_faction	1	faction_to_character_own_unseen
wh_dlc04_effect_unit_enable_can_siege_dummy	wh2_main_vlad_leader	1	character_to_character_own
wh_dlc04_effect_tech_melee_damage_increase_flagellants	wh2_main_volkmar_faction	20	faction_to_force_own_unseen
wh_dlc04_effect_tech_upkeep_reduction_flagellants	wh2_main_volkmar_faction	-15	faction_to_force_own_unseen
wh_main_effect_agent_recruitment_xp_dignitary_empire	wh2_main_volkmar_leader	3	character_to_province_own
wh2_main_effect_tech_upkeep_cost_reduction_lzd_beasts	wh2_main_vor_kroq_gar_faction	-10	faction_to_force_own_unseen
wh2_main_effect_armour_increase_dinosaurs	wh2_main_vor_kroq_gar_leader	20	general_to_force_own
wh2_main_effect_morale_increase_dinosaurs	wh2_main_vor_kroq_gar_leader	10	general_to_force_own
wh2_main_effect_upkeep_reduction_lzd_saurus_coldones	wh2_main_vor_kroq_gar_leader	-25	general_to_force_own
wh_main_effect_force_army_campaign_ambush_attack_success_chance	wh2_main_vor_kroq_gar_leader	25	general_to_force_own
wh_main_effect_force_unit_stat_morale	wh2_main_vor_kroq_gar_leader	5	general_to_force_own
wh2_main_effect_character_mod_loyalty_all	wh2_main_vor_malekith_faction	2	faction_to_faction_own_unseen
wh2_main_effect_loyalty_penalty_faction_leader_outranked_dummy	wh2_main_vor_malekith_faction	3	faction_to_faction_own_unseen
wh2_main_effect_percentage_of_xp_to_give_other_characters_of_same_type_dummy	wh2_main_vor_malekith_faction	3	faction_to_character_own_unseen
wh2_main_faction_trait_diplomacy_bonus_morathi	wh2_main_vor_malekith_faction	30	faction_to_faction_own_unseen
wh2_main_effect_upkeep_reduction_malekith_witch_king	wh2_main_vor_malekith_leader	-25	general_to_force_own
wh2_main_effect_agent_cap_increase_lzd_slann	wh2_main_vor_mazdamundi_faction	1	faction_to_faction_own_unseen
wh2_main_effect_building_construction_cost_mod_lzd_starchamber	wh2_main_vor_mazdamundi_faction	-50	faction_to_region_own_unseen
wh2_main_faction_trait_diplomacy_penalty_mazdamundi	wh2_main_vor_mazdamundi_faction	-10	faction_to_faction_own_unseen
wh2_main_faction_trait_ritual_cost_mazdamundi	wh2_main_vor_mazdamundi_faction	-30	faction_to_faction_own_unseen
wh2_main_effect_upkeep_reduction_lzd_temple_guard	wh2_main_vor_mazdamundi_leader	-25	general_to_force_own
wh2_main_effect_attrition_immunity_chaos_morathi_textonly	wh2_main_vor_morathi_faction	1	faction_to_faction_own_unseen
wh2_main_faction_political_diplomacy_mod_darkelves	wh2_main_vor_morathi_faction	20	faction_to_faction_own_unseen
wh_main_effect_agent_action_cost_mod	wh2_main_vor_morathi_faction	-50	faction_to_character_own_unseen
wh_main_effect_religion_conversion_chaos	wh2_main_vor_morathi_faction	1	faction_to_character_own
wh2_main_effect_character_mod_loyalty_regional	wh2_main_vor_morathi_leader	2	character_to_character_regionwide_local_region
wh_main_effect_building_construction_cost_mod_sorcery_def	wh2_main_vor_morathi_leader	-25	faction_to_province_own_factionwide
wh2_main_effect_character_mod_loyalty_grey_seers	wh2_main_vor_queek_faction	-2	faction_to_faction_own_unseen
wh2_main_effect_percentage_of_xp_to_steal_from_characters_of_same_type_dummy	wh2_main_vor_queek_faction	1	faction_to_character_own_unseen
wh2_main_effect_ability_army_num_uses_the_menace_below_queek	wh2_main_vor_queek_leader	1	character_to_force_own_unseen
wh2_main_effect_character_stat_mod_melee_attack_versus_dwarfs_greenskins	wh2_main_vor_queek_leader	10	character_to_character_own
wh2_main_effect_character_stat_mod_melee_damage_versus_dwarfs_greenskins	wh2_main_vor_queek_leader	10	character_to_character_own
wh2_main_effect_faction_trait_upkeep_reduction_skv_stormvermin_clanrats	wh2_main_vor_queek_leader	-25	general_to_force_own
wh2_main_effect_building_construction_cost_mod_skv_plague_temple_chain	wh2_main_vor_skrolk_faction	-50	faction_to_region_own_unseen
wh_main_effect_province_growth_tech	wh2_main_skrolk_faction	25	faction_to_province_own_unseen
wh2_main_effect_upkeep_reduction_skv_plague_units	wh2_main_vor_skrolk_leader	-25	general_to_force_own
wh_main_effect_religion_conversion_skaven	wh2_main_vor_skrolk_leader	4	character_to_character_own_provincetext
wh2_main_effect_agent_recruitment_xp_hef_mage	wh2_main_vor_teclis_faction	5	faction_to_province_own_unseen
wh2_main_effect_diplomacy_bonus_humans_elves	wh2_main_vor_teclis_faction	20	faction_to_faction_own_unseen
wh_main_effect_ability_enable_fireball	wh2_main_vor_teclis_leader	1	character_to_character_own
wh_main_effect_military_force_winds_of_magic_depletion_mod_character	wh2_main_vor_teclis_leader	30	character_to_force_own_unseen
wh2_main_effect_trait_unit_recruitment_duration_hef_infantry_cavalry	wh2_main_vor_tyrion_faction	-1	faction_to_province_own_unseen
wh2_main_effect_upkeep_reduction_hef_spearmen_archers_silverhelms	wh2_main_vor_tyrion_leader	-25	general_to_force_own
wh_dlc06_effect_charge_increase_savage_orcs	wh2_main_wurrzag_faction	25	faction_to_force_own_unseen
wh_main_effect_agent_action_outcome_target_defence_success_chance_enemy_hidden	wh2_main_wurrzag_faction	-50	faction_to_character_own_factionwide_unseen
wh_dlc06_effect_character_stat_mod_ward_save_physical_savage	wh2_main_wurrzag_leader	15	general_to_force_own
wh_dlc06_effect_upkeep_savage_orcs	wh2_main_wurrzag_leader	-25	general_to_force_own
wh_main_effect_character_campaign_spotting_chance	wh2_main_khazrak_leader	15	general_to_force_own
wh_main_effect_religion_conversion_chaos	wh2_main_morghur_faction	3	faction_to_character_own_factionwide
wh_main_effect_character_stat_mod_personal_aura_morale_effect	wh2_main_khazrak_faction	2	general_to_force_own
wh_dlc03_effect_charge_bonus_bestigors	wh2_main_khazrak_faction	10	faction_to_force_own_unseen
wh_dlc03_effect_agent_recruitment_xp_wizard_beastmen	wh2_main_malagor_leader	4	general_to_force_own
wh_main_effect_character_mod_ancillary_drop	wh2_main_volkmar_faction	15	faction_to_character_own_unseen
wh_main_effect_tech_hitpoints_increase_zombies	wh2_main_helman_ghorst_faction	15	faction_to_force_own_unseen
wh_dlc06_effect_missile_damage_rangers_dwarf	wh2_main_belegar_faction	10	faction_to_force_own_unseen
wh_dlc07_effect_economy_gdp_mod_yield_of_the_sea	wh2_main_alberic_faction	25	faction_to_faction_own
wh_main_faction_diplomacy_penalty_wood_elves	wh2_main_fay_enchantress_faction	20	faction_to_faction_own_unseen
wh_main_effect_force_army_battle_cavalry_charge_bonus	wh2_main_alberic_faction	10	faction_to_force_own_unseen
wh_main_effect_tech_melee_attack_increase_chaos_warriors_chosen	wh2_main_archaon_faction	5	faction_to_force_own_unseen
wh_main_effect_tech_upkeep_reduction_dragon_ogre_shaggoths	wh2_main_kholek_faction	-15	faction_to_force_own_unseen
wh_main_faction_diplomacy_penalty_norsca	wh2_main_sigvald_faction	20	faction_to_faction_own_unseen
wh_main_effect_skill_charge_bonus_increase_chs_tier_1	wh2_main_sigvald_faction	10	faction_to_force_own_unseen
wh_main_effect_public_order_tech	wh2_main_thorgrim_faction	2	faction_to_province_own_unseen
wh_main_effect_tech_movement_speed_infantry	wh2_main_ungrim_faction	10	faction_to_force_own_unseen
wh_main_effect_agent_cap_increase_wizard_empire	wh2_main_balthasar_faction	1	faction_to_faction_own_unseen
wh_main_faction_xp_increase_generals	wh2_main_karl_franz_faction	3	faction_to_province_own_unseen
wh_main_effect_technology_research_points_mod	wh2_main_azhag_faction	20	faction_to_faction_own_unseen
wh_main_effect_force_army_campaign_military_morale_add_enemy_territory	wh2_main_grimgor_faction	1	faction_to_force_own
wh_main_effect_military_force_winds_of_magic_depletion_mod_character	wh2_main_heinrich_faction	15	general_to_force_own_unseen
wh_main_effect_force_army_battle_unit_morale_siege_attack	wh2_main_mannfred_faction	5	faction_to_force_own_unseen
wh_main_effect_force_army_campaign_attrition_all_resistance	wh2_main_grombrindal_faction	-10	general_to_force_own
wh_main_effect_military_force_winds_of_magic_starting_mod_enemy	wh2_main_malagor_leader	-15	character_to_enemy_province
wh_main_effect_force_army_campaign_experience_base_chaos_spawn	wh2_main_morghur_leader	2	general_to_force_own
wh_main_effect_religion_conversion_untainted	wh2_main_volkmar_leader	5	character_to_character_own_provincetext
wh_main_effect_tech_upkeep_cost_reduction_zombies	wh2_main_helman_ghorst_leader	-75	general_to_force_own
wh_main_effect_tech_upkeep_cost_reduction_varghulfs_vargheists	wh2_main_vlad_leader	-25	general_to_force_own
wh_dlc06_effect_unit_xp_levels_rangers	wh2_main_belegar_leader	1	general_to_force_own
wh_main_effect_agent_action_success_chance	wh2_main_skarsnik_leader	5	faction_to_character_own_factionwide
wh_main_effect_religion_conversion_untainted	wh2_main_fay_enchantress_leader	3	character_to_province_own
wh_main_effect_force_all_campaign_upkeep	wh2_main_louen_leoncoeur_leader	-10	general_to_force_own
wh_main_effect_building_upkeep_reduction_chaos_warriors	wh2_main_archaon_leader	-25	general_to_force_own
wh_main_effect_tech_melee_attack_increase_dragon_ogre_saggoths	wh2_main_kholek_leader	7	general_to_force_own
wh_main_effect_tech_movement_speed_infantry	wh2_main_sigvald_leader	10	general_to_force_own
wh_main_effect_tech_upkeep_cost_reduction_longbeards_hammerers	wh2_main_thorgrim_leader	-25	general_to_force_own
wh_main_effect_character_stat_mod_bonus_v_large	wh2_main_ungrim_leader	16	character_to_character_own
wh_main_effect_religion_conversion_untainted	wh2_main_ungrim_leader	2	character_to_province_own
wh_main_effect_technology_research_points_mod	wh2_main_balthasar_leader	20	character_to_faction
wh_main_effect_agent_action_success_chance_wizard_empire	wh2_main_balthasar_leader	5	faction_to_character_own_factionwide
wh_main_effect_public_order_characters	wh2_main_karl_franz_leader	3	character_to_province_own
wh_main_effect_force_army_battle_enemy_unit_morale	wh2_main_azhag_leader	-3	general_to_force_enemy_regionwide
wh_main_effect_tech_melee_damage_increase_orcs	wh2_main_azhag_leader	10	general_to_force_own
wh_main_effect_tech_hitpoints_increase_big_uns	wh2_main_grimgor_leader	10	general_to_force_own
wh_main_effect_tech_melee_damage_increase_skeleton_warriors_spears	wh2_main_heinrich_leader	25	general_to_force_own
wh_main_effect_unit_recruitment_points	wh2_main_mannfred_leader	1	force_to_province_own
wh_main_effect_religion_conversion_undeath	wh2_main_mannfred_leader	5	character_to_character_own_provincetext
wh_dlc05_effect_tech_upkeep_reduction_treespirits	wh2_main_durthu_faction	-10	faction_to_force_own_unseen
wh_main_effect_public_order_tech	wh2_main_durthu_leader	1	faction_to_province_own
wh_main_effect_force_all_campaign_experience_base_all	wh2_main_orion_leader	1	faction_to_force_own
wh_main_effect_force_unit_stat_melee_defence	wh2_main_tyrion_leader	4	general_to_force_own
wh_main_effect_force_unit_stat_melee_defence	wh2_main_vor_tyrion_leader	4	general_to_force_own
wh2_main_effect_tech_upkeep_reduction_hef_eagles_phoenix	wh2_main_vor_teclis_faction	-10	faction_to_force_own_unseen
wh2_main_effect_tech_upkeep_reduction_hef_eagles_phoenix	wh2_main_teclis_faction	-10	faction_to_force_own_unseen
wh_main_effect_military_force_winds_of_magic_starting_mod	wh2_main_vor_mazdamundi_faction	15	general_to_force_own_unseen
wh_main_effect_military_force_winds_of_magic_starting_mod	wh2_main_mazdamundi_faction	15	general_to_force_own_unseen
wh_main_effect_unit_recruitment_points	wh2_main_vor_kroq_gar_faction	1	faction_to_province_own_factionwide
wh2_main_effect_tech_upkeep_cost_reduction_lzd_beasts	wh2_main_kroq_gar_faction	-10	faction_to_force_own_unseen
wh_main_effect_unit_recruitment_points	wh2_main_kroq_gar_faction	1	faction_to_province_own_factionwide
wh2_main_effect_tech_armour_increase_lzd_temple_guard	wh2_main_vor_mazdamundi_leader	10	general_to_force_own
wh2_main_effect_tech_armour_increase_lzd_temple_guard	wh2_main_mazdamundi_leader	10	general_to_force_own
wh_main_effect_force_army_campaign_siege_defend_holdout_time	wh2_main_vor_tyrion_faction	1	faction_to_province_own_unseen
wh_main_effect_force_army_campaign_siege_defend_holdout_time	wh2_main_tyrion_faction	1	faction_to_province_own_unseen
wh_main_effect_agent_movement_range_mod	wh2_main_vor_queek_faction	10	faction_to_character_own_unseen
wh_main_effect_agent_movement_range_mod	wh2_main_queek_faction	10	faction_to_character_own_unseen
wh2_main_faction_trait_ritual_cost_skrolk	wh2_main_vor_skrolk_faction	-75	faction_to_faction_own_unseen
wh_main_effect_province_growth_tech	wh2_main_vor_skrolk_faction	25	faction_to_province_own_unseen
wh2_main_effect_tech_ward_save_def_witch_elves	wh2_main_morathi_faction	5	faction_to_force_own_unseen
wh2_main_effect_tech_ward_save_def_witch_elves	wh2_main_vor_morathi_faction	5	faction_to_force_own_unseen
wh2_main_effect_tech_battle_morale_increase_def_elite_inf	wh2_main_malekith_faction	5	faction_to_force_own_unseen
wh2_main_effect_tech_battle_morale_increase_def_elite_inf	wh2_main_vor_malekith_faction	5	faction_to_force_own_unseen
wh_main_effect_force_army_battle_enemy_unit_morale	wh2_main_malekith_leader	-5	general_to_force_enemy_regionwide
wh_main_effect_force_army_battle_enemy_unit_morale	wh2_main_vor_malekith_leader	-5	general_to_force_enemy_regionwide
wh2_main_effect_tech_melee_attack_increase_def_witchelves	wh2_main_vor_morathi_leader	6	general_to_force_own
wh2_main_effect_tech_melee_attack_increase_def_witchelves	wh2_main_morathi_leader	6	general_to_force_own
wh_main_effect_hordebuilding_growth_tech	wh2_main_malagor_faction	4	faction_to_force_own_unseen
