dilemmas_tables
5
generate	key	localised_description	localised_title	ui_image	prioritized	event_category	sound_popup_override	sound_click_override
False	wh2_main_dilemma_loyalty_skv_pestilential_proposition_1	The filthy, sickly fiends of Clan Pestilens have come and are asking us to 'help' in their great endeavour: to spread disease right across the Old World. They house sickness within them, and ask us to do the same…	Pestilential Proposition 	lord_loyalty_low	True	Event		
False	wh2_main_dilemma_loyalty_skv_pestilential_proposition_2_a	This strain of disease must be from the southern clans, for it is too potent, even for us. The rats are dropping like… well, like diseased rats! What do we do?	Pestilential Proposition	lord_loyalty_low	True	Event		
False	wh2_main_dilemma_loyalty_skv_price_of_treachery_1	Filthy, haughty Man-things! There is a dead Empire army for us to pick through. Yet their disbelieving general lives, offering you power if you let him live. What spineless cowardice! Yet…	The Price of Treachery	lord_loyalty_low	True	Event		
False	wh2_main_dilemma_loyalty_skv_rattus_ex_machina_1	Clan Skryre! Those crazed and manic rats mix magic and science together to make arcane, biological horrors. Now, they want to do it to your troops. Disgusting, sir, or tempting?	Rattus Ex Machina	lord_loyalty_low	True	Event		
False	wh2_main_dilemma_loyalty_skv_rattus_ex_machina_2_a	The Clan Skryre rats skulk back to you. Their vicious little noses twitch in anticipation - your subjects were exquisite, they say, and they want more…	Rattus ex Machina	lord_loyalty_low	True	Event		
False	wh2_main_dilemma_loyalty_skv_rattus_ex_machina_2_b	As you have continued to march, some of your troops have shown clear signs of Warpstone poisoning. Those swine-rats in Clan Skryre clearly do not like being told 'no'. How to proceed?	Rattus ex Machina	lord_loyalty_low	True	Event		
False	wh2_main_dilemma_loyalty_skv_shades_of_grey_1	A robed figure approaches you, Lord! His face is obscured by a moulding hood, but a grey and ragged muzzle protrudes… it is an accursed Grey Seer! The Council, in their arrogance, of course, ask - no, demand - payment towards the realisation of plans yet unexplained. This one has come to collect...	Shades of Grey	lord_loyalty_low	True	Event		
False	wh2_main_dilemma_loyalty_skv_shades_of_grey_2_a	Word has spread! Having heard of your deeds, Clan Skryre has sent a group of Warlock Engineers to aid your army through… experimentation, if you would let them?	Shades of Grey	lord_loyalty_low	True	Event		
False	wh2_main_dilemma_loyalty_skv_skavenslave_revolt_1	A mess of messages arrives from Skavenblight; the petulant, angry little Skavenslaves have risen up. The Lords of Decay have requested forces to suppress the treachery - what will you do?	Skavenslave Revolt	lord_loyalty_low	True	Event		
False	wh2_main_dilemma_loyalty_skv_skavenslave_revolt_2_a	Praise and thanks from the Seers on your aid! However, they still request just a small donation to aid the final quashing of the horrid rebellion…	Skavenslave Revolt	lord_loyalty_low	True	Event		
False	wh2_main_dilemma_loyalty_skv_skavenslave_revolt_2_b	The Skavenslaves in your army have heard of the revolt, Lord, and grow restless themselves. Act carefully, for now it is YOUR head at risk...	Skavenslave Revolt	lord_loyalty_low	True	Event		
False	wh2_main_dilemma_loyalty_skv_the_skavenblight_question_1	A skittish messenger shuffles in from Skavenblight! The harvests are failing and they need our help. There is status to be gained in helping them, if you can. If you WILL…	The Skavenblight Question	lord_loyalty_low	True	Event		
False	wh2_main_dilemma_loyalty_skv_the_skavenblight_question_2_b	Skavenblight has not bounced back. More requests pour in - your inaction may have worsened the situation. Will you - can you - make it right?	The Skavenblight Question	lord_loyalty_low	True	Event		
False	wh2_main_dilemma_loyalty_skv_what_we_do_in_the_shadows_1	Those pesky, sneaky vermin from Clan Eshin have been skulking around your army. Eventually, they emerge from the shadows and offer their services, in exchange for a price of course.	What We Do in the Shadows	lord_loyalty_low	True	Event		
False	wh2_main_dilemma_loyalty_skv_what_we_do_in_the_shadows_2_a	The Clan Eshin rats have come from the dark again, asking that their efforts to aid you be… compensated. They want payment, and they want it now.	What We Do in the Shadows	lord_loyalty_low	True	Event		
False	wh2_main_dilemma_ritual_of_vaul_1	There are four powerful magic items at your disposal. Which do you choose?	Invocation of Vaul	politics	True	Event		
False	wh2_main_dilemma_ritual_of_vaul_2	There are four powerful magic items at your disposal. Which do you choose?	Invocation of Vaul	politics	True	Event		
False	wh2_main_dilemma_ritual_of_vaul_3	There are four powerful magic items at your disposal. Which do you choose?	Invocation of Vaul	politics	True	Event		
False	wh2_main_dilemma_ritual_of_vaul_4	There are four powerful magic items at your disposal. Which do you choose?	Invocation of Vaul	politics	True	Event		
False	wh2_main_dilemma_ritual_of_vaul_5	There are four powerful magic items at your disposal. Which do you choose?	Invocation of Vaul	politics	True	Event		
False	wh2_main_dilemma_treasure_hunt_barracks	Amongst this ruined city's winding, dismal streets, you find a barracks, deserted of course. Inside, there is an arsenal full of ancient arms and armour that, with a bit of spit and polish (not your own, naturally), may yet prove useful.	Abandoned Barracks	wh2_treasure_hunt	True	TreasureHunt		
False	wh2_main_dilemma_treasure_hunt_battlefield	After a large battle, bodies litter the ground and the stench of death fills the air. It appears that the defenders were protecting the entrance to a small warehouse. Pondering on its contents, you wonder whether it was really worth dying for...	The Spoils of War	wh2_treasure_hunt_2	True	TreasureHunt		
False	wh2_main_dilemma_treasure_hunt_black_dragons_nest	High above some deserted and treasure-less ruins, on a rocky outcrop overlooking the once-grand fortress, one of your warriors discovers a Black Dragon's nest. After hiking up the mountain you find the nest and a clutch of unhatched eggs! If you can get them away undisturbed, they will more than make up for the disappointment of the empty ruins below.	One Egg or Two?	wh2_treasure_hunt_3	True	TreasureHunt_DarkElves		
False	wh2_main_dilemma_treasure_hunt_dwarfen_vaults	After much searching through the ruins of the destroyed settlement, you come across an underground passageway. Further investigation reveals three stout wooden doors, engraved with Dwarfen runes. Could this be a secret entrance to an ancient Dwarfhold or even the Underway?	What's Behind Door No.1?	wh2_treasure_hunt_4	True	TreasureHunt_Dwarfs		
False	wh2_main_dilemma_treasure_hunt_effigy_to_gork_or_mork	Whilst scouting the outskirts of the ruined city, you notice in the distance an Orc Shaman prancing around a campfire nearby. You watch and soon see the Shaman collapse, his body twitching on the ground.	Effigy of Gork	wh2_treasure_hunt	True	TreasureHunt		
False	wh2_main_dilemma_treasure_hunt_flooded_armoury	The defenders of this newly-ruined city were certainly anticipating a long siege; your search reveals an enormous underground armoury, deep within a submerged vault. The craftsmanship is without question and there is enough for your entire force. The only problem is retrieving it...	Flooded Armoury	wh2_treasure_hunt_2	True	TreasureHunt		
False	wh2_main_dilemma_treasure_hunt_graveyard	Whilst scouting the outskirts of a recently-ruined settlement you notice, on the edge of town, a small, secluded graveyard. The graves look remarkably fresh, considering that the whole place was abandoned in rather a hurry...	Disturbing the Dead	wh2_treasure_hunt_3	True	TreasureHunt		
False	wh2_main_dilemma_treasure_hunt_halls_of_the_lizardmen	This strange continent holds many secrets, vast riches, and a myriad traps to ensnare the unprepared. The ruins of this city are no different. You discover a hidden treasure vault, packed from floor to ceiling with what look like ancient Lustrian artefacts.	Treasures of Lustria	wh2_treasure_hunt_4	True	TreasureHunt_LizardMen		
False	wh2_main_dilemma_treasure_hunt_hidden_chaos_shrine	Cautiously, you head into the ruins, knowing that many of this city's former inhabitants were lost in thrall to the Chaos Gods, and that in such places, their Ruinous influence can oft still be felt. As if by Dark Magic, hidden within the basement of one of the buildings you find a shrine to Slaanesh, the Dark Prince himself.	Perverse Practitioners of Excess	wh2_treasure_hunt	True	TreasureHunt		
False	wh2_main_dilemma_treasure_hunt_hidden_tunnel	Whilst searching through the ruins you find a hidden tunnel in the basement of an old building. You notice that the walls are lined with deep and  bloody scratch marks. This begs the question: was the door shut to keep something in or to keep something out?	The Beast Within	wh2_treasure_hunt_2	True	TreasureHunt		
False	wh2_main_dilemma_treasure_hunt_lone_wanderer	Cautiously searching the rubble-strewn streets of the once-great city, you notice an ethereal breeze blowing. Deciding to head upwind, you eventually come to a small courtyard. As the dust clears, a cloaked and hooded figure appears in the entrance to an alley a little way off. The figure beckons you to them...	Mysterious Stranger	wh2_treasure_hunt_3	True	TreasureHunt		
False	wh2_main_dilemma_treasure_hunt_mechanical_automaton	Scouting around the labyrinthine network of ruined streets within this city you find a small mechanical automaton. It looks to be a Dwarfen design and is moving erratically towards you, with no obvious purpose.	Mechanical Automaton	wh2_treasure_hunt_4	True	TreasureHunt_Dwarfs		
False	wh2_main_dilemma_treasure_hunt_picked_clean	Although this city is only a recent addition to the many desirable ruins found across the world, it is obvious that you are not the first to search this place. Much to your dismay, someone has already picked it clean, leaving only a set of tracks leading away from the city.	Picked Clean	wh2_treasure_hunt	True	TreasureHunt		
False	wh2_main_dilemma_treasure_hunt_rebel_army	Investigating the outbuildings behind the ruins of a luxurious villa, you find a large group of survivors hiding in a barn. Sneaking up quietly you hear them talking of rebellion and their hatred for your regime!	Rebel Scum	wh2_treasure_hunt_2	True	TreasureHunt		
False	wh2_main_dilemma_treasure_hunt_scavengers	Whilst searching through the ruins of this city, almost levelled by war, you notice an unfamiliar band of scavengers picking carefully through the ruins. Potentially, this is not good, as one wrong word could see you all dead. How do you wish to proceed?	Scavengers	wh2_treasure_hunt_3	True	TreasureHunt		
False	wh2_main_dilemma_treasure_hunt_she_daemon_lair	Whilst hunting for treasure in the ruins of an ancient city, you find a hideous, putrid Daemon of Nurgle slumped in a cage, its pox riddled flesh oozing through the bars. In a fly-choked voice it informs you that its tears have healing properties - a bold claim, indeed!	Foetid Daughter of Grandfather Nurgle	wh2_treasure_hunt_4	True	TreasureHunt		
