ancillaries_included_agent_subtypes_tables
0
agent_subtype	ancillary
wh2_main_hef_teclis	wh2_main_anc_mount_hef_teclis_barded_ithilmar_steed
wh2_main_hef_tyrion	wh2_main_anc_mount_hef_tyrion_malhandhir
wh2_main_lzd_kroq_gar	wh2_main_anc_mount_lzd_kroq_gar_cold_one
wh2_main_lzd_kroq_gar	wh2_main_anc_mount_lzd_kroq_gar_grymloq
wh2_main_lzd_kroq_gar	wh2_main_anc_mount_lzd_kroq_gar_horned_one
wh2_main_lzd_lord_mazdamundi	wh2_main_anc_mount_lzd_lord_mazdamundi_zlaaq
wh2_main_lzd_saurus_old_blood	wh2_main_anc_mount_lzd_saurus_old_blood_carnosaur
wh2_main_lzd_saurus_old_blood	wh2_main_anc_mount_lzd_saurus_old_blood_cold_one
wh2_main_lzd_saurus_scar_veteran	wh2_main_anc_mount_lzd_saurus_scar_veteran_carnosaur
wh2_main_lzd_saurus_scar_veteran	wh2_main_anc_mount_lzd_saurus_scar_veteran_cold_one
wh2_main_lzd_skink_chief	wh2_main_anc_mount_lzd_skink_chief_ancient_stegadon
wh2_main_lzd_skink_chief	wh2_main_anc_mount_lzd_skink_chief_stegadon
wh2_main_lzd_skink_chief	wh2_main_anc_mount_lzd_skink_chief_terradon
wh2_main_lzd_skink_priest_beasts	wh2_main_anc_mount_lzd_skink_priest_beasts_ancient_stegadon
wh2_main_lzd_skink_priest_beasts	wh2_main_anc_mount_lzd_skink_priest_beasts_stegadon
wh2_main_lzd_skink_priest_beasts	wh2_main_anc_mount_lzd_skink_priest_beasts_terradon
wh2_main_lzd_skink_priest_heavens	wh2_main_anc_mount_lzd_skink_priest_heavens_ancient_stegadon
wh2_main_lzd_skink_priest_heavens	wh2_main_anc_mount_lzd_skink_priest_heavens_stegadon
wh2_main_lzd_skink_priest_heavens	wh2_main_anc_mount_lzd_skink_priest_heavens_terradon
wh2_main_skv_grey_seer_plague	wh2_main_anc_mount_skv_grey_seer_plague_screaming_bell
wh2_main_skv_grey_seer_ruin	wh2_main_anc_mount_skv_grey_seer_ruin_screaming_bell
wh2_main_skv_plague_priest	wh2_main_anc_mount_skv_plague_priest_plague_furnace
wh2_main_skv_warlord	wh2_main_anc_mount_skv_warlord_bonebreaker
wh2_main_def_morathi	wh2_main_anc_talisman_amber_amulet
wh2_main_lzd_lord_mazdamundi	wh2_main_anc_weapon_cobra_mace_of_mazdamundi
wh2_main_def_malekith	wh2_main_anc_weapon_destroyer
wh2_main_skv_queek_headtaker	wh2_main_anc_weapon_dwarf_gouger
wh2_main_def_morathi	wh2_main_anc_weapon_heartrender_and_the_darksword
wh2_main_lzd_kroq_gar	wh2_main_anc_weapon_revered_spear_of_tlanxla
wh2_main_skv_lord_skrolk	wh2_main_anc_weapon_rod_of_corruption
wh2_main_hef_tyrion	wh2_main_anc_weapon_sunfang
wh2_main_hef_teclis	wh2_main_anc_weapon_sword_of_teclis
chs_lord	wh_dlc01_anc_mount_chs_chaos_lord_chaos_dragon
chs_lord	wh_dlc01_anc_mount_chs_chaos_lord_manticore
chs_sorcerer_lord_death	wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_death_barded_chaos_steed
chs_sorcerer_lord_death	wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_death_chaos_steed
chs_sorcerer_lord_death	wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_death_dragon
chs_sorcerer_lord_death	wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_death_manticore
chs_sorcerer_lord_fire	wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_fire_barded_chaos_steed
chs_sorcerer_lord_fire	wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_fire_chaos_steed
chs_sorcerer_lord_fire	wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_fire_dragon
chs_sorcerer_lord_fire	wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_fire_manticore
chs_sorcerer_lord_metal	wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_metal_barded_chaos_steed
chs_sorcerer_lord_metal	wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_metal_chaos_steed
chs_sorcerer_lord_metal	wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_metal_dragon
chs_sorcerer_lord_metal	wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_metal_manticore
dlc07_chs_sorcerer_lord_shadow	wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_shadow_barded_chaos_steed
dlc07_chs_sorcerer_lord_shadow	wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_shadow_chaos_steed
dlc07_chs_sorcerer_lord_shadow	wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_shadow_dragon
dlc07_chs_sorcerer_lord_shadow	wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_shadow_manticore
dlc07_chs_chaos_sorcerer_shadow	wh_dlc01_anc_mount_chs_chaos_sorcerer_shadow_barded_chaos_steed
dlc07_chs_chaos_sorcerer_shadow	wh_dlc01_anc_mount_chs_chaos_sorcerer_shadow_chaos_steed
dlc07_chs_chaos_sorcerer_shadow	wh_dlc01_anc_mount_chs_chaos_sorcerer_shadow_manticore
chs_exalted_hero	wh_dlc01_anc_mount_chs_exalted_hero_manticore
nor_sorcerer_lord_metal	wh_dlc01_anc_mount_nor_chaos_sorcerer_lord_warhorse
dlc03_bst_khazrak	wh_dlc03_anc_armour_the_dark_mail
dlc03_emp_amber_wizard	wh_dlc03_anc_mount_emp_amber_wizard_barded_warhorse
dlc03_emp_amber_wizard	wh_dlc03_anc_mount_emp_amber_wizard_imperial_griffon
dlc03_emp_amber_wizard	wh_dlc03_anc_mount_emp_amber_wizard_imperial_pegasus
dlc03_emp_amber_wizard	wh_dlc03_anc_mount_emp_amber_wizard_warhorse
dlc03_emp_boris_todbringer	wh_dlc03_anc_mount_emp_boris_todbringer_barded_warhorse
dlc03_bst_malagor	wh_dlc03_anc_talisman_icon_of_vilification
dlc03_bst_khazrak	wh_dlc03_anc_weapon_scourge
dlc04_vmp_helman_ghorst	wh_dlc04_anc_arcane_item_the_liber_noctus
dlc04_emp_arch_lector	wh_dlc04_anc_mount_emp_arch_lector_barded_warhorse
dlc04_emp_arch_lector	wh_dlc04_anc_mount_emp_arch_lector_warhorse
dlc04_emp_volkmar	wh_dlc04_anc_mount_emp_volkmar_the_grim_altar_of_sigmar
dlc04_emp_volkmar	wh_dlc04_anc_mount_emp_volkmar_the_grim_barded_warhorse
dlc04_emp_volkmar	wh_dlc04_anc_mount_emp_volkmar_the_grim_warhorse
dlc04_vmp_helman_ghorst	wh_dlc04_anc_mount_vmp_helman_ghorst_corpse_cart
vmp_master_necromancer	wh_dlc04_anc_mount_vmp_master_necromancer_corpse_cart_balefire
vmp_master_necromancer	wh_dlc04_anc_mount_vmp_master_necromancer_corpse_cart_unholy_lodestone
vmp_master_necromancer	wh_dlc04_anc_mount_vmp_master_necromancer_corpse_cart
vmp_necromancer	wh_dlc04_anc_mount_vmp_necromancer_corpse_cart_balefire
vmp_necromancer	wh_dlc04_anc_mount_vmp_necromancer_corpse_cart_unholy_lodestone
vmp_necromancer	wh_dlc04_anc_mount_vmp_necromancer_corpse_cart
dlc04_emp_volkmar	wh_dlc04_anc_talisman_jade_griffon
dlc04_vmp_vlad_con_carstein	wh_dlc04_anc_talisman_the_carstein_ring
dlc04_vmp_vlad_con_carstein	wh_dlc04_anc_weapon_blood_drinker
dlc04_emp_volkmar	wh_dlc04_anc_weapon_staff_of_command
dlc05_wef_glade_lord	wh_dlc05_anc_enchanted_item_hail_of_doom_arrow
dlc05_wef_glade_lord_fem	wh_dlc05_anc_enchanted_item_hail_of_doom_arrow
dlc05_wef_waystalker	wh_dlc05_anc_enchanted_item_hail_of_doom_arrow
dlc05_wef_orion	wh_dlc05_anc_enchanted_item_horn_of_the_wild_hunt
dlc05_emp_grey_wizard	wh_dlc05_anc_mount_emp_grey_wizard_barded_warhorse
dlc05_emp_grey_wizard	wh_dlc05_anc_mount_emp_grey_wizard_imperial_pegasus
dlc05_emp_grey_wizard	wh_dlc05_anc_mount_emp_grey_wizard_warhorse
dlc05_emp_jade_wizard	wh_dlc05_anc_mount_emp_jade_wizard_barded_warhorse
dlc05_emp_jade_wizard	wh_dlc05_anc_mount_emp_jade_wizard_imperial_pegasus
dlc05_emp_jade_wizard	wh_dlc05_anc_mount_emp_jade_wizard_warhorse
dlc05_wef_glade_lord_fem	wh_dlc05_anc_mount_wef_glade_lord_elven_steed_fem
dlc05_wef_glade_lord	wh_dlc05_anc_mount_wef_glade_lord_elven_steed
dlc05_wef_glade_lord_fem	wh_dlc05_anc_mount_wef_glade_lord_forest_dragon_fem
dlc05_wef_glade_lord	wh_dlc05_anc_mount_wef_glade_lord_forest_dragon
dlc05_wef_glade_lord_fem	wh_dlc05_anc_mount_wef_glade_lord_great_eagle_fem
dlc05_wef_glade_lord	wh_dlc05_anc_mount_wef_glade_lord_great_eagle
dlc05_wef_spellsinger_beasts	wh_dlc05_anc_mount_wef_spellsinger_beast_elven_steed
dlc05_wef_spellsinger_beasts	wh_dlc05_anc_mount_wef_spellsinger_beast_great_eagle
dlc05_wef_spellsinger_beasts	wh_dlc05_anc_mount_wef_spellsinger_beast_unicorn
dlc05_wef_spellsinger_life	wh_dlc05_anc_mount_wef_spellsinger_life_elven_steed
dlc05_wef_spellsinger_life	wh_dlc05_anc_mount_wef_spellsinger_life_great_eagle
dlc05_wef_spellsinger_life	wh_dlc05_anc_mount_wef_spellsinger_life_unicorn
dlc05_wef_spellsinger_shadow	wh_dlc05_anc_mount_wef_spellsinger_shadow_elven_steed
dlc05_wef_spellsinger_shadow	wh_dlc05_anc_mount_wef_spellsinger_shadow_great_eagle
dlc05_wef_spellsinger_shadow	wh_dlc05_anc_mount_wef_spellsinger_shadow_unicorn
dlc05_wef_orion	wh_dlc05_anc_talisman_cloak_of_isha
dlc05_wef_durthu	wh_dlc05_anc_weapon_daiths_sword
dlc05_wef_orion	wh_dlc05_anc_weapon_spear_of_kurnous
dlc05_wef_glade_lord	wh_dlc05_anc_weapon_the_bow_of_loren
dlc05_wef_glade_lord_fem	wh_dlc05_anc_weapon_the_bow_of_loren
dlc05_wef_waystalker	wh_dlc05_anc_weapon_the_bow_of_loren
dlc06_grn_wurrzag_da_great_prophet	wh_dlc06_anc_arcane_item_squiggly_beast
dlc06_dwf_belegar	wh_dlc06_anc_armour_shield_of_defiance
dlc06_grn_wurrzag_da_great_prophet	wh_dlc06_anc_enchanted_item_baleful_mask
dlc06_grn_skarsnik	wh_dlc06_anc_magic_standard_skarsniks_boyz
dlc06_dwf_runelord	wh_dlc06_anc_mount_dwf_runelord_anvil_of_doom
dlc06_grn_night_goblin_warboss	wh_dlc06_anc_mount_grn_night_goblin_warboss_great_cave_squig
dlc06_grn_wurrzag_da_great_prophet	wh_dlc06_anc_mount_grn_wurrzag_spleenrippa
dlc06_dwf_runelord	wh_dlc06_anc_rune_rune_of_fury
dlc06_dwf_runesmith_ghost	wh_dlc06_anc_rune_rune_of_fury
dlc06_dwf_runelord	wh_dlc06_anc_rune_rune_of_might
dlc06_dwf_runesmith_ghost	wh_dlc06_anc_rune_rune_of_might
dlc06_dwf_runelord	wh_dlc06_anc_rune_rune_of_parrying
dlc06_dwf_runesmith_ghost	wh_dlc06_anc_rune_rune_of_parrying
dlc06_dwf_runelord	wh_dlc06_anc_rune_rune_of_striking
dlc06_dwf_runesmith_ghost	wh_dlc06_anc_rune_rune_of_striking
dlc06_grn_wurrzag_da_great_prophet	wh_dlc06_anc_weapon_bonewood_staff
dlc06_grn_skarsnik	wh_dlc06_anc_weapon_skarsniks_prodder
dlc06_dwf_belegar	wh_dlc06_anc_weapon_the_hammer_of_angrund
dlc07_brt_fay_enchantress	wh_dlc07_anc_arcane_item_the_chalice_of_potions
dlc07_brt_alberic	wh_dlc07_anc_mount_brt_alberic_barbed_warhorse
dlc07_brt_alberic	wh_dlc07_anc_mount_brt_alberic_royal_hipppogryph
dlc07_brt_alberic	wh_dlc07_anc_mount_brt_alberic_royal_pegasus
dlc07_brt_fay_enchantress	wh_dlc07_anc_mount_brt_fay_enchantress_silvaron
dlc07_brt_green_knight	wh_dlc07_anc_mount_brt_green_knight_shadowsteed
dlc07_brt_prophetess_beasts	wh_dlc07_anc_mount_brt_prophetess_brettonian_warhorse
dlc07_brt_prophetess_heavens	wh_dlc07_anc_mount_brt_prophetess_brettonian_warhorse
dlc07_brt_prophetess_life	wh_dlc07_anc_mount_brt_prophetess_brettonian_warhorse
dlc07_brt_prophetess_beasts	wh_dlc07_anc_mount_brt_prophetess_royal_pegasus
dlc07_brt_prophetess_heavens	wh_dlc07_anc_mount_brt_prophetess_royal_pegasus
dlc07_brt_prophetess_life	wh_dlc07_anc_mount_brt_prophetess_royal_pegasus
dlc07_brt_alberic	wh_dlc07_anc_weapon_trident_of_manann
vmp_heinrich_kemmler	wh_main_anc_arcane_item_skull_staff
emp_balthasar_gelt	wh_main_anc_arcane_item_staff_of_volans
vmp_mannfred_von_carstein	wh_main_anc_armour_armour_of_templehof
chs_prince_sigvald	wh_main_anc_armour_auric_armour
grn_azhag_the_slaughterer	wh_main_anc_armour_azhags_ard_armour
grn_grimgor_ironhide	wh_main_anc_armour_blood-forged_armour
chs_archaon	wh_main_anc_armour_the_armour_of_morkar
dwf_thorgrim_grudgebearer	wh_main_anc_armour_the_armour_of_skaldour
brt_louen_leoncouer	wh_main_anc_armour_the_lions_shield
dwf_ungrim_ironfist	wh_main_anc_armour_the_slayer_crown
vmp_heinrich_kemmler	wh_main_anc_enchanted_item_cloak_of_mists_and_shadows
emp_balthasar_gelt	wh_main_anc_enchanted_item_cloak_of_molten_metal
dlc06_grn_wurrzag_da_great_prophet	wh_main_anc_enchanted_item_skull_wand_of_kaloth
grn_goblin_great_shaman	wh_main_anc_enchanted_item_skull_wand_of_kaloth
grn_night_goblin_shaman	wh_main_anc_enchanted_item_skull_wand_of_kaloth
grn_orc_shaman	wh_main_anc_enchanted_item_skull_wand_of_kaloth
brt_louen_leoncouer	wh_main_anc_enchanted_item_the_crown_of_bretonnia
chs_archaon	wh_main_anc_enchanted_item_the_crown_of_domination
grn_azhag_the_slaughterer	wh_main_anc_enchanted_item_the_crown_of_sorcery
dwf_thorgrim_grudgebearer	wh_main_anc_enchanted_item_the_great_book_of_grudges
grn_grimgor_ironhide	wh_main_anc_magic_standard_da_immortulz
dlc06_grn_night_goblin_warboss	wh_main_anc_magic_standard_spider_banner
dlc06_grn_skarsnik	wh_main_anc_magic_standard_spider_banner
grn_goblin_great_shaman	wh_main_anc_magic_standard_spider_banner
dlc06_grn_night_goblin_warboss	wh_main_anc_magic_standard_the_bad_moon_banner
dlc06_grn_skarsnik	wh_main_anc_magic_standard_the_bad_moon_banner
grn_night_goblin_shaman	wh_main_anc_magic_standard_the_bad_moon_banner
brt_damsel	wh_main_anc_mount_brt_damsel_barded_warhorse
brt_damsel_beasts	wh_main_anc_mount_brt_damsel_barded_warhorse
brt_damsel_life	wh_main_anc_mount_brt_damsel_barded_warhorse
brt_damsel	wh_main_anc_mount_brt_damsel_warhorse
brt_damsel_beasts	wh_main_anc_mount_brt_damsel_warhorse
brt_damsel_life	wh_main_anc_mount_brt_damsel_warhorse
brt_lord	wh_main_anc_mount_brt_general_barded_warhorse
brt_lord	wh_main_anc_mount_brt_general_hippogryph
brt_lord	wh_main_anc_mount_brt_general_royal_pegasus
brt_louen_leoncouer	wh_main_anc_mount_brt_louen_barded_warhorse
brt_louen_leoncouer	wh_main_anc_mount_brt_louen_beaquis
brt_louen_leoncouer	wh_main_anc_mount_brt_louen_royal_pegasus
brt_paladin	wh_main_anc_mount_brt_paladin_barded_warhorse
brt_paladin	wh_main_anc_mount_brt_paladin_pegasus
chs_archaon	wh_main_anc_mount_chs_archaon_dorghar
chs_lord	wh_main_anc_mount_chs_chaos_lord_barded_chaos_steed
chs_lord	wh_main_anc_mount_chs_chaos_lord_chaos_steed
chs_chaos_sorcerer_death	wh_main_anc_mount_chs_chaos_sorcerer_death_barded_chaos_steed
chs_chaos_sorcerer_death	wh_main_anc_mount_chs_chaos_sorcerer_death_chaos_steed
chs_chaos_sorcerer_death	wh_main_anc_mount_chs_chaos_sorcerer_death_manticore
chs_chaos_sorcerer_fire	wh_main_anc_mount_chs_chaos_sorcerer_fire_barded_chaos_steed
chs_chaos_sorcerer_fire	wh_main_anc_mount_chs_chaos_sorcerer_fire_chaos_steed
chs_chaos_sorcerer_fire	wh_main_anc_mount_chs_chaos_sorcerer_fire_manticore
chs_chaos_sorcerer_metal	wh_main_anc_mount_chs_chaos_sorcerer_metal_barded_chaos_steed
chs_chaos_sorcerer_metal	wh_main_anc_mount_chs_chaos_sorcerer_metal_chaos_steed
chs_chaos_sorcerer_metal	wh_main_anc_mount_chs_chaos_sorcerer_metal_manticore
chs_exalted_hero	wh_main_anc_mount_chs_exalted_hero_barded_chaos_steed
chs_exalted_hero	wh_main_anc_mount_chs_exalted_hero_chaos_steed
emp_balthasar_gelt	wh_main_anc_mount_emp_balthasar_imperial_pegasus
emp_bright_wizard	wh_main_anc_mount_emp_bright_wizard_barded_warhorse
dlc05_emp_grey_wizard	wh_main_anc_mount_emp_bright_wizard_warhorse
emp_bright_wizard	wh_main_anc_mount_emp_bright_wizard_warhorse
emp_captain	wh_main_anc_mount_emp_captain_barded_warhorse
emp_captain	wh_main_anc_mount_emp_captain_imperial_pegasus
emp_captain	wh_main_anc_mount_emp_captain_warhorse
dlc05_emp_grey_wizard	wh_main_anc_mount_emp_celestial_wizard_barded_warhorse
emp_celestial_wizard	wh_main_anc_mount_emp_celestial_wizard_barded_warhorse
emp_celestial_wizard	wh_main_anc_mount_emp_celestial_wizard_warhorse
emp_lord	wh_main_anc_mount_emp_general_barded_warhorse
emp_lord	wh_main_anc_mount_emp_general_imperial_griffon
emp_lord	wh_main_anc_mount_emp_general_imperial_pegasus
emp_lord	wh_main_anc_mount_emp_general_warhorse
emp_karl_franz	wh_main_anc_mount_emp_karl_franz_barded_warhorse
emp_karl_franz	wh_main_anc_mount_emp_karl_franz_deathclaw
emp_karl_franz	wh_main_anc_mount_emp_karl_franz_imperial_pegasus
emp_karl_franz	wh_main_anc_mount_emp_karl_franz_warhorse
emp_light_wizard	wh_main_anc_mount_emp_light_wizard_barded_warhorse
emp_light_wizard	wh_main_anc_mount_emp_light_wizard_warhorse
emp_warrior_priest	wh_main_anc_mount_emp_warrior_priest_barded_warhorse
emp_warrior_priest	wh_main_anc_mount_emp_warrior_priest_warhorse
grn_azhag_the_slaughterer	wh_main_anc_mount_grn_azhag_skullmuncha
grn_goblin_big_boss	wh_main_anc_mount_grn_goblin_big_boss_giant_spider
grn_goblin_big_boss	wh_main_anc_mount_grn_goblin_big_boss_giant_wolf
grn_goblin_great_shaman	wh_main_anc_mount_grn_goblin_great_shaman_giant_wolf
grn_orc_warboss	wh_main_anc_mount_grn_orc_warboss_war_boar
grn_orc_warboss	wh_main_anc_mount_grn_orc_warboss_wyvern
grn_orc_shaman	wh_main_anc_mount_grn_wizard_orc_shaman_war_boar
ksl_captain	wh_main_anc_mount_ksl_captain_barded_warhorse
ksl_captain	wh_main_anc_mount_ksl_captain_warhorse
ksl_celestial_wizard	wh_main_anc_mount_ksl_celestial_wizard_warhorse
ksl_lord	wh_main_anc_mount_ksl_general_barded_warhorse
ksl_lord	wh_main_anc_mount_ksl_general_warhorse
nor_chaos_sorcerer_metal	wh_main_anc_mount_nor_chaos_sorcerer_warhorse
nor_marauder_chieftain	wh_main_anc_mount_nor_marauder_chieftain_warhorse
teb_bright_wizard	wh_main_anc_mount_teb_bright_wizard_warhorse
teb_captain	wh_main_anc_mount_teb_captain_barded_warhorse
teb_captain	wh_main_anc_mount_teb_captain_warhorse
teb_lord	wh_main_anc_mount_teb_general_barded_warhorse
teb_lord	wh_main_anc_mount_teb_general_warhorse
vmp_mannfred_von_carstein	wh_main_anc_mount_vmp_mannfred_barded_nightmare
vmp_mannfred_von_carstein	wh_main_anc_mount_vmp_mannfred_hellsteed
vmp_mannfred_von_carstein	wh_main_anc_mount_vmp_mannfred_zombie_dragon
vmp_master_necromancer	wh_main_anc_mount_vmp_master_necromancer_barded_nightmare
vmp_master_necromancer	wh_main_anc_mount_vmp_master_necromancer_hellsteed
vmp_necromancer	wh_main_anc_mount_vmp_necromancer_nightmare
vmp_vampire	wh_main_anc_mount_vmp_vampire_barded_nightmare
vmp_vampire	wh_main_anc_mount_vmp_vampire_hellsteed
vmp_lord	wh_main_anc_mount_vmp_vampire_lord_barded_nightmare
wh_dlc05_vmp_red_duke	wh_main_anc_mount_vmp_vampire_lord_barded_nightmare
vmp_lord	wh_main_anc_mount_vmp_vampire_lord_hellsteed
wh_dlc05_vmp_red_duke	wh_main_anc_mount_vmp_vampire_lord_hellsteed
vmp_lord	wh_main_anc_mount_vmp_vampire_lord_zombie_dragon
wh_dlc05_vmp_red_duke	wh_main_anc_mount_vmp_vampire_lord_zombie_dragon
vmp_wight_king	wh_main_anc_mount_vmp_wight_king_barded_skeletal_steed
vmp_wight_king	wh_main_anc_mount_vmp_wight_king_skeletal_steed
dwf_runesmith	wh_main_anc_rune_rune_of_fury
dwf_runesmith	wh_main_anc_rune_rune_of_might
dwf_runesmith	wh_main_anc_rune_rune_of_parrying
dwf_runesmith	wh_main_anc_rune_rune_of_striking
emp_balthasar_gelt	wh_main_anc_talisman_amulet_of_sea_gold
dwf_ungrim_ironfist	wh_main_anc_talisman_dragon_cloak_of_fyrskar
dwf_thorgrim_grudgebearer	wh_main_anc_talisman_the_dragon_crown_of_karaz
chs_archaon	wh_main_anc_talisman_the_eye_of_sheerian
emp_karl_franz	wh_main_anc_talisman_the_silver_seal
dwf_ungrim_ironfist	wh_main_anc_weapon_axe_of_dargo
vmp_heinrich_kemmler	wh_main_anc_weapon_chaos_tomb_blade
emp_karl_franz	wh_main_anc_weapon_ghal_maraz
grn_grimgor_ironhide	wh_main_anc_weapon_gitsnik
grn_azhag_the_slaughterer	wh_main_anc_weapon_slaggas_slashas
chs_prince_sigvald	wh_main_anc_weapon_sliverslash
chs_kholek_suneater	wh_main_anc_weapon_starcrusher
dlc05_bst_morghur	wh_main_anc_weapon_stave_of_ruinous_corruption
vmp_mannfred_von_carstein	wh_main_anc_weapon_sword_of_unholy_power
dwf_thorgrim_grudgebearer	wh_main_anc_weapon_the_axe_of_grimnir
dlc03_emp_boris_todbringer	wh_main_anc_weapon_the_middenland_runefang
emp_karl_franz	wh_main_anc_weapon_the_reikland_runefang
chs_archaon	wh_main_anc_weapon_the_slayer_of_kings
brt_louen_leoncouer	wh_main_anc_weapon_the_sword_of_couronne
pro01_dwf_grombrindal	wh_pro01_anc_armour_armour_of_glimril_scales
pro01_dwf_grombrindal	wh_pro01_anc_enchanted_item_rune_helm_of_zhufbar
dlc06_dwf_runesmith_ghost	wh_pro01_anc_rune_rune_of_fury
dlc06_dwf_runesmith_ghost	wh_pro01_anc_rune_rune_of_might
