cai_personalities_task_management_system_task_generator_profiles_tables
2
default_generator_group_when_no_owned_regions	default_generator_group_when_owning_regions	unknown2	unknown3
defensive_no_attack_chaos_anti_player_task_generator_profile	defensive_no_target_chaos_anti_player		
defensive_no_attack_chaos_avoid_player_recoloniser_task_generator_profile	defensive_no_target_chaos_avoid_player_recoloniser	personality_desc_short_recoloniser	personality_desc_long_recoloniser
defensive_no_attack_chaos_avoid_player_task_generator_profile	defensive_no_target_chaos_avoid_player		
defensive_no_attack_chaos_recoloniser_task_generator_profile	defensive_no_target_chaos_recoloniser	personality_desc_short_recoloniser	personality_desc_long_recoloniser
defensive_no_attack_chaos_task_generator_profile	defensive_no_target_chaos		
defensive_noruins_anti_player_raider_task_generator_profile	defensive_noruins_anti_player_raider		
defensive_noruins_anti_player_task_generator_profile	defensive_noruins_anti_player		
defensive_noruins_avoid_player_raider_task_generator_profile	defensive_noruins_avoid_player_raider		
defensive_noruins_avoid_player_task_generator_profile	defensive_noruins_avoid_player		
defensive_noruins_avoids_oldworld_races_and_player_task_generator_profile	defensive_noruins_avoids_oldworld_races_and_player		
defensive_noruins_avoids_oldworld_races_anti_player_task_generator_profile	defensive_noruins_avoids_oldworld_races_anti_player		
defensive_noruins_avoids_oldworld_races_task_generator_profile	defensive_noruins_avoids_oldworld_races		
defensive_noruins_raider_task_generator_profile	defensive_noruins_raider		
defensive_noruins_task_generator_profile	defensive_noruins		
defensive_raider_task_generator_profile	defensive_raider		
defensive_recoloniser_task_generator_profile	basic	personality_desc_short_recoloniser	personality_desc_long_recoloniser
defensive_task_generator_profile	defensive		
dlc03_aggressive_no_raiding_for_morale	dlc03_aggressive_anti_player_raider		
dlc03_defensive_anti_player_no_colony	defensive_anti_player		
dlc05_beastmen_victory_wood_elves_task_generator_profile_1	dlc05_beastmen_victory_region_wood_elves_1		
dlc05_beastmen_victory_wood_elves_task_generator_profile_2	dlc05_beastmen_victory_region_wood_elves_2		
dlc05_beastmen_victory_wood_elves_task_generator_profile_3	dlc05_beastmen_victory_region_wood_elves_3		
dlc05_beastmen_victory_wood_elves_task_generator_profile_4	dlc05_beastmen_victory_region_wood_elves_4		
dlc05_brettonia_main_victory_wood_elves_generator_profile_1	dlc05_brettonia_main_victory_region_wood_elves_1		
dlc05_brettonia_main_victory_wood_elves_generator_profile_2	dlc05_brettonia_main_victory_region_wood_elves_2		
dlc05_brettonia_main_victory_wood_elves_generator_profile_3	dlc05_brettonia_main_victory_region_wood_elves_3		
dlc05_brettonia_main_victory_wood_elves_task_generator_profile_4	dlc05_brettonia_main_victory_region_wood_elves_4		
dlc05_brettonia_rest_victory_wood_elves_task_generator_profile_1	dlc05_brettonia_rest_victory_region_wood_elves_1		
dlc05_brettonia_rest_victory_wood_elves_task_generator_profile_2	dlc05_brettonia_rest_victory_region_wood_elves_2		
dlc05_brettonia_rest_victory_wood_elves_task_generator_profile_3	dlc05_brettonia_rest_victory_region_wood_elves_3		
dlc05_brettonia_rest_victory_wood_elves_task_generator_profile_4	dlc05_brettonia_rest_victory_region_wood_elves_4		
isolationist_task_generator_profile	isolationist	dlc05_personality_desc_short_isolationist	dlc05_personality_desc_long_isolationist
pro01_aggressive_anti_player_task_generator_profile	dlc06_aggressive_anti_player		
vortexarmy_task_generator_profile	vortexarmy		
