frontend_faction_effect_junctions_tables
1
effect	faction	value	scope
wh2_main_effect_character_mod_loyalty_regional	wh2_main_morathi_leader	2	character_to_character_regionwide_local_region
wh_main_effect_building_construction_cost_mod_sorcery_def	wh2_main_morathi_leader	-25	faction_to_province_own_factionwide
wh_dlc03_effect_building_upkeep_reduction_minotaurs	wh2_main_morghur_faction	40	faction_to_force_own_unseen
wh_main_effect_building_upkeep_reduction_chaos_spawn	wh2_main_morghur_faction	-40	faction_to_force_own_unseen
wh_main_effect_religion_conversion_chaos	wh2_main_morghur_faction	2	faction_to_character_own_factionwide
wh_dlc03_effect_force_army_campaign_attrition_chaos_territory	wh2_main_morghur_leader	8	character_to_force_enemy_provincewide
wh_dlc05_morghur_trait_immortalitiy	wh2_main_morghur_leader	-100	character_to_character_own
wh_dlc05_effect_bonus_leadership_when_in_forest	wh2_main_orion_faction	10	faction_to_force_own_unseen
wh_dlc05_effect_force_army_campaign_upkeep_cost_wild_riders	wh2_main_orion_faction	-20	faction_to_force_own_unseen
wh_dlc05_effect_orion_amber	wh2_main_orion_faction	1	faction_to_faction_own_unseen
wh_dlc05_effect_orion_wild_hunt_dummy	wh2_main_orion_faction	1	faction_to_faction_own_unseen
wh_dlc05_effect_battle_speed_elf_units	wh2_main_orion_leader	8	general_to_force_own
wh2_main_effect_character_mod_loyalty_grey_seers	wh2_main_queek_faction	-2	faction_to_faction_own_unseen
wh2_main_effect_percentage_of_xp_to_steal_from_characters_of_same_type_dummy	wh2_main_queek_faction	1	faction_to_character_own_unseen
wh2_main_effect_ability_army_num_uses_the_menace_below_queek	wh2_main_queek_leader	1	character_to_force_own_unseen
wh2_main_effect_character_stat_mod_melee_attack_versus_dwarfs_greenskins	wh2_main_queek_leader	10	character_to_character_own
wh2_main_effect_character_stat_mod_melee_damage_versus_dwarfs_greenskins	wh2_main_queek_leader	10	character_to_character_own
wh2_main_effect_faction_trait_upkeep_reduction_skv_stormvermin_clanrats	wh2_main_queek_leader	-50	general_to_force_own
wh_dlc07_effect_tech_armour_increase_bretonnia_characters	wh2_main_sigvald_faction	10	faction_to_force_own_unseen
wh_main_effect_force_unit_stat_morale_versus_men	wh2_main_sigvald_faction	5	faction_to_force_own_unseen
wh_main_faction_diplomacy_penalty_norsca	wh2_main_sigvald_faction	20	faction_to_faction_own_unseen
wh_main_effect_hordebuilding_growth_characters	wh2_main_sigvald_leader	1	general_to_force_own
wh_dlc06_effect_faction_effect_agent_dummy	wh2_main_skarsnik_faction	-50	faction_to_character_own_factionwide_unseen
wh_dlc06_effect_faction_effect_building_bonus_dummy	wh2_main_skarsnik_faction	1	faction_to_force_own_unseen
wh_dlc06_effect_faction_effect_night_goblins_dummy	wh2_main_skarsnik_faction	-40	faction_to_force_own_unseen
wh_dlc06_effect_faction_effect_orc_recruitment_dummy	wh2_main_skarsnik_faction	-1	faction_to_force_own_unseen
wh_main_effect_conquest_enable_night_battles	wh2_main_skarsnik_leader	1	character_to_character_own
wh2_main_effect_building_construction_cost_mod_skv_plague_temple_chain	wh2_main_skrolk_faction	-50	faction_to_region_own_unseen
wh2_main_faction_trait_ritual_cost_skrolk	wh2_main_skrolk_faction	-75	faction_to_faction_own_unseen
wh2_main_effect_upkeep_reduction_skv_plague_units	wh2_main_skrolk_leader	-50	general_to_force_own
wh_main_effect_religion_conversion_skaven	wh2_main_skrolk_leader	3	character_to_character_own_provincetext
wh2_main_effect_agent_recruitment_xp_hef_mage	wh2_main_teclis_faction	5	faction_to_province_own_unseen
wh2_main_effect_diplomacy_bonus_humans_elves	wh2_main_teclis_faction	10	faction_to_faction_own_unseen
wh_main_effect_ability_enable_fireball	wh2_main_teclis_leader	1	character_to_character_own
wh_main_effect_military_force_winds_of_magic_depletion_mod_character	wh2_main_teclis_leader	30	character_to_force_own_unseen
wh_main_effect_building_construction_cost_mod_recruitment	wh2_main_thorgrim_faction	-10	faction_to_region_own_unseen
wh_main_effect_tech_unit_xp_levels_hammerers	wh2_main_thorgrim_faction	1	faction_to_character_own_unseen
wh_main_effect_tech_upkeep_cost_reduction_longbeards_hammerers	wh2_main_thorgrim_faction	-10	faction_to_force_own_unseen
wh_main_effect_character_stat_mod_personal_aura_morale_effect	wh2_main_thorgrim_leader	5	character_to_character_own
wh2_main_effect_trait_unit_recruitment_duration_hef_infantry_cavalry	wh2_main_tyrion_faction	-1	faction_to_province_own_unseen
wh2_main_effect_upkeep_reduction_hef_spearmen_archers_silverhelms	wh2_main_tyrion_leader	-35	general_to_force_own
wh_main_effect_tech_movement_speed_infantry	wh2_main_ungrim_faction	10	faction_to_force_own_unseen
wh_main_effect_tech_recruitment_cost_reduction_slayers	wh2_main_ungrim_faction	-25	faction_to_force_own_unseen
wh_main_effect_tech_upkeep_cost_reduction_slayers	wh2_main_ungrim_faction	-50	faction_to_force_own_unseen
wh_main_effect_tech_melee_attack_increase_slayers	wh2_main_ungrim_leader	6	general_to_force_own
wh_main_effect_agent_movement_range_mod	wh2_main_vlad_faction	5	faction_to_character_own
wh_main_effect_unit_enable_attribute_guerrilla_deployment_dummy	wh2_main_vlad_faction	1	faction_to_army_own_unseen
wh_pro02_faction_trait_isabella_vlad_dummy	wh2_main_vlad_faction	15	faction_to_character_own_unseen
wh_pro02_faction_trait_isabella_vlad_unique_building	wh2_main_vlad_faction	1	faction_to_character_own_unseen
wh_dlc04_effect_unit_enable_can_siege_dummy	wh2_main_vlad_leader	1	character_to_character_own
wh_dlc04_effect_tech_melee_damage_increase_flagellants	wh2_main_volkmar_faction	30	faction_to_force_own_unseen
wh_dlc04_effect_tech_upkeep_reduction_flagellants	wh2_main_volkmar_faction	-15	faction_to_force_own_unseen
wh_main_effect_character_mod_ancillary_drop	wh2_main_volkmar_faction	10	faction_to_character_own_unseen
wh_main_effect_agent_recruitment_xp_dignitary_empire	wh2_main_volkmar_leader	2	faction_to_province_own_factionwide
wh2_main_effect_faction_trait_cost_reduction_lzd_all	wh2_main_vor_kroq_gar_faction	-10	faction_to_force_own_unseen
wh2_main_effect_armour_increase_dinosaurs	wh2_main_vor_kroq_gar_leader	20	general_to_force_own
wh2_main_effect_morale_increase_dinosaurs	wh2_main_vor_kroq_gar_leader	10	general_to_force_own
wh2_main_effect_upkeep_reduction_lzd_saurus_coldones	wh2_main_vor_kroq_gar_leader	-50	general_to_force_own
wh_main_effect_force_army_campaign_ambush_attack_success_chance	wh2_main_vor_kroq_gar_leader	25	general_to_force_own
wh_main_effect_force_unit_stat_morale	wh2_main_vor_kroq_gar_leader	10	general_to_force_own
wh2_main_effect_character_mod_loyalty_all	wh2_main_vor_malekith_faction	2	faction_to_faction_own_unseen
wh2_main_effect_loyalty_penalty_faction_leader_outranked_dummy	wh2_main_vor_malekith_faction	3	faction_to_faction_own_unseen
wh2_main_effect_percentage_of_xp_to_give_other_characters_of_same_type_dummy	wh2_main_vor_malekith_faction	3	faction_to_character_own_unseen
wh2_main_faction_trait_diplomacy_bonus_morathi	wh2_main_vor_malekith_faction	30	faction_to_faction_own_unseen
wh2_main_effect_upkeep_reduction_malekith_witch_king	wh2_main_vor_malekith_leader	-50	general_to_force_own
wh2_main_effect_agent_cap_increase_lzd_slann	wh2_main_vor_mazdamundi_faction	1	faction_to_faction_own_unseen
wh2_main_effect_building_construction_cost_mod_lzd_starchamber	wh2_main_vor_mazdamundi_faction	-50	faction_to_region_own_unseen
wh2_main_faction_trait_diplomacy_penalty_mazdamundi	wh2_main_vor_mazdamundi_faction	-10	faction_to_faction_own_unseen
wh2_main_faction_trait_ritual_cost_mazdamundi	wh2_main_vor_mazdamundi_faction	-30	faction_to_faction_own_unseen
wh2_main_effect_upkeep_reduction_lzd_temple_guard	wh2_main_vor_mazdamundi_leader	-50	general_to_force_own
wh2_main_effect_attrition_immunity_chaos_morathi_textonly	wh2_main_vor_morathi_faction	1	faction_to_faction_own_unseen
wh2_main_faction_political_diplomacy_mod_darkelves	wh2_main_vor_morathi_faction	20	faction_to_faction_own_unseen
wh_main_effect_agent_action_cost_mod	wh2_main_vor_morathi_faction	-50	faction_to_character_own_unseen
wh_main_effect_religion_conversion_chaos	wh2_main_vor_morathi_faction	1	faction_to_character_own
wh2_main_effect_character_mod_loyalty_regional	wh2_main_vor_morathi_leader	2	character_to_character_regionwide_local_region
wh_main_effect_building_construction_cost_mod_sorcery_def	wh2_main_vor_morathi_leader	-25	faction_to_province_own_factionwide
wh2_main_effect_character_mod_loyalty_grey_seers	wh2_main_vor_queek_faction	-2	faction_to_faction_own_unseen
wh2_main_effect_percentage_of_xp_to_steal_from_characters_of_same_type_dummy	wh2_main_vor_queek_faction	1	faction_to_character_own_unseen
wh2_main_effect_ability_army_num_uses_the_menace_below_queek	wh2_main_vor_queek_leader	1	character_to_force_own_unseen
wh2_main_effect_character_stat_mod_melee_attack_versus_dwarfs_greenskins	wh2_main_vor_queek_leader	10	character_to_character_own
wh2_main_effect_character_stat_mod_melee_damage_versus_dwarfs_greenskins	wh2_main_vor_queek_leader	10	character_to_character_own
wh2_main_effect_faction_trait_upkeep_reduction_skv_stormvermin_clanrats	wh2_main_vor_queek_leader	-50	general_to_force_own
wh2_main_effect_building_construction_cost_mod_skv_plague_temple_chain	wh2_main_vor_skrolk_faction	-50	faction_to_region_own_unseen
wh2_main_faction_trait_ritual_cost_skrolk	wh2_main_vor_skrolk_faction	-75	faction_to_faction_own_unseen
wh2_main_effect_upkeep_reduction_skv_plague_units	wh2_main_vor_skrolk_leader	-50	general_to_force_own
wh_main_effect_religion_conversion_skaven	wh2_main_vor_skrolk_leader	3	character_to_character_own_provincetext
wh2_main_effect_agent_recruitment_xp_hef_mage	wh2_main_vor_teclis_faction	5	faction_to_province_own_unseen
wh2_main_effect_diplomacy_bonus_humans_elves	wh2_main_vor_teclis_faction	10	faction_to_faction_own_unseen
wh_main_effect_ability_enable_fireball	wh2_main_vor_teclis_leader	1	character_to_character_own
wh_main_effect_military_force_winds_of_magic_depletion_mod_character	wh2_main_vor_teclis_leader	30	character_to_force_own_unseen
wh2_main_effect_trait_unit_recruitment_duration_hef_infantry_cavalry	wh2_main_vor_tyrion_faction	-1	faction_to_province_own_unseen
wh2_main_effect_upkeep_reduction_hef_spearmen_archers_silverhelms	wh2_main_vor_tyrion_leader	-35	general_to_force_own
wh_dlc06_effect_charge_increase_savage_orcs	wh2_main_wurrzag_faction	25	faction_to_force_own_unseen
wh_main_effect_agent_action_outcome_target_defence_success_chance_enemy_hidden	wh2_main_wurrzag_faction	-50	faction_to_character_own_factionwide_unseen
wh_dlc06_effect_character_stat_mod_ward_save_physical_savage	wh2_main_wurrzag_leader	15	general_to_force_own
wh_dlc06_effect_upkeep_savage_orcs	wh2_main_wurrzag_leader	-50	general_to_force_own
