ui_unit_groupings_tables
1
icon	key	parent_group
wh_main_dwf_runesmith	lord_wizard_runelord	commander
wh_dlc05_wef_lore_shadow	lord_wizard_shadows	commander
wh_main_lore_vampires	lord_wizard_vampires	commander
wh_dlc03_bst_lore_wild	lord_wizard_wild	commander
magic_chariot	magic_chariot	artillery_war_machines
missile_cavalry_axe	missile_cavalry_axe	missile_cavalry_chariots
missile_cavalry_bow	missile_cavalry_bow	missile_cavalry_chariots
missile_cavalry_bow_spider	missile_cavalry_bow_spider	missile_cavalry_chariots
missile_cavalry_bow_wolf	missile_cavalry_bow_wolf	missile_cavalry_chariots
missile_cavalry_javelin	missile_cavalry_javelin	missile_cavalry_chariots
missile_cavalry_rifle	missile_cavalry_rifle	missile_cavalry_chariots
missile_chariot	missile_chariot	missile_cavalry_chariots
missile_infantry_bow	missile_infantry_bow	missile_infantry
missile_infantry_rifle	missile_infantry_pistol	missile_infantry
missile_infantry_rifle	missile_infantry_rifle	missile_infantry
monstrous_infantry	monstrous_infantry	monster_beasts
monstrous_infantry	monstrous_infantry_flying	monster_beasts
shock_cavalry	shock_cavalry	cavalry_chariots
shock_cavalry_boar	shock_cavalry_boar	cavalry_chariots
vmp_cavalry_scythe	vmp_cavalry_scythe	cavalry_chariots
infantry_cudgel	vmp_crypt_ghouls	infantry
vmp_fell_bats	vmp_fell_bats	monster_beasts
vmp_infantry_scythe	vmp_infantry_scythe	infantry
wh_main_vmp_spy	vmp_tomb_banshee	heroes_agents
vmp_varghulf	vmp_varghulf	rare_monsters_beasts
wh_main_vmp_champion	vmp_wight_king	heroes_agents
wh_main_vmp_champion	vmp_wight_king_cavalry	heroes_agents
war_beast	war_beast	monster_beasts
wh2_main_cold_one	wh2_main_cold_one	cavalry_chariots
wh2_main_cold_one_spear	wh2_main_cold_one_spear	cavalry_chariots
wh2_main_def_dignitary	wh2_main_def_dignitary	heroes_agents
wh2_main_def_infantry_dual_daggers	wh2_main_def_infantry_dual_daggers	infantry
wh2_main_def_missile_infantry_bow_shades	wh2_main_def_missile_infantry_bow_shades	missile_infantry
wh2_main_def_missile_infantry_bow_shades_dual_weapons	wh2_main_def_missile_infantry_bow_shades_dual_weapons	missile_infantry
wh2_main_def_missile_infantry_bow_shades_great_weapons	wh2_main_def_missile_infantry_bow_shades_great_weapons	missile_infantry
wh2_main_def_missile_infantry_handbow	wh2_main_def_missile_infantry_handbow	missile_infantry
wh2_main_def_mon_war_hydra	wh2_main_def_mon_war_hydra	rare_monsters_beasts
wh2_main_def_spy	wh2_main_def_spy	heroes_agents
wh2_main_hef_champion	wh2_main_hef_hero_champion	heroes_agents
wh2_main_hef_loremaster	wh2_main_hef_hero_loremaster	heroes_agents
wh2_main_hef_missile_infantry_bow_spear	wh2_main_hef_missile_infantry_bow_spear	missile_infantry
wh2_main_hef_phoenix_fire	wh2_main_hef_phoenix_fire	rare_monsters_beasts
wh2_main_hef_phoenix_frost	wh2_main_hef_phoenix_frost	rare_monsters_beasts
wh2_main_infantry_dual_swords	wh2_main_infantry_dual_swords	infantry
cavalry	wh2_main_lord_cavalry_hybrid	commander
infantry_sword	wh2_main_lord_infantry_hybrid	commander
monstrous_infantry	wh2_main_lord_monstrous_infantry	commander
wh2_main_lore_dark	wh2_main_lord_wizard_dark	commander
wh2_main_lore_high	wh2_main_lord_wizard_high	commander
wh2_main_lore_plague	wh2_main_lord_wizard_plague	commander
wh2_main_lore_ruin	wh2_main_lord_wizard_ruin	commander
wh2_main_lzd_dinosaur	wh2_main_lzd_dinosaur	monster_beasts
wh2_main_lzd_dinosaur_missile	wh2_main_lzd_dinosaur_missile	missile_monster_beasts
wh2_main_lzd_dinosaur_support	wh2_main_lzd_dinosaur_support	monster_beasts
wh2_main_lzd_champion	wh2_main_lzd_hero_champion	heroes_agents
wh2_main_lzd_spy	wh2_main_lzd_hero_spy	heroes_agents
infantry_cudgel	wh2_main_lzd_infantry_cudgel	infantry
wh2_main_lzd_infantry_halberd	wh2_main_lzd_infantry_halberd	infantry
wh2_main_lzd_infantry_mace	wh2_main_lzd_infantry_mace	infantry
wh2_main_lzd_missile_infantry_blowpipe	wh2_main_lzd_missile_infantry_blowpipe	missile_infantry
wh2_main_lzd_terradon	wh2_main_lzd_terradon	missile_monster_beasts
wh2_main_missile_infantry_javelin	wh2_main_missile_infantry_javelin	missile_infantry
wh2_main_missile_infantry_sling	wh2_main_missile_infantry_sling	missile_infantry
chariot	wh2_main_skv_doomwheel	artillery_war_machines
wh2_main_skv_hell_pit	wh2_main_skv_hell_pit	monster_beasts
wh2_main_skv_infantry_censer	wh2_main_skv_infantry_censer	infantry
wh2_main_skv_infantry_halberd	wh2_main_skv_infantry_halberd	infantry
wh2_main_infantry_dual_swords	wh2_main_skv_infantry_sword_death_runners	infantry
wh2_main_skv_infantry_sword_stormvermin	wh2_main_skv_infantry_sword_stormvermin	infantry
wh2_main_skv_missile_infantry_globe	wh2_main_skv_missile_infantry_globe	missile_infantry
wh2_main_skv_missile_infantry_globe_death	wh2_main_skv_missile_infantry_globe_death	missile_infantry
wh2_main_skv_missile_infantry_throwing_star	wh2_main_skv_missile_infantry_throwing_star	missile_infantry
wh2_main_skv_spy	wh2_main_skv_spy	heroes_agents
wh2_main_lore_dark	wh2_main_wizard_dark	heroes_agents
wh2_main_lore_high	wh2_main_wizard_high	heroes_agents
wh2_main_lore_plague	wh2_main_wizard_plague	heroes_agents
wh2_main_lore_ruin	wh2_main_wizard_ruin	heroes_agents
wh_dlc03_bst_centigor	wh_dlc03_bst_centigor	cavalry_chariots
wh_dlc03_bst_centigor_great_weapon	wh_dlc03_bst_centigor_great_weapon	cavalry_chariots
wh_dlc03_bst_centigor_missile	wh_dlc03_bst_centigor_missile	missile_cavalry_chariots
wh_dlc03_bst_cygor	wh_dlc03_bst_cygor	rare_monsters_beasts
wh_dlc03_bst_gorebull	wh_dlc03_bst_gorebull	heroes_agents
wh_dlc03_bst_razorgor	wh_dlc03_bst_razorgor	monster_beasts
wh_dlc03_minotaurs_great_weapon	wh_dlc03_minotaurs_great_weapon	monster_beasts
wh_dlc04_flagellant	wh_dlc04_emp_flagelllents	infantry
wh_dlc05_wef_harpies	wh_dlc05_bst_harpies	monster_beasts
wh_dlc05_wef_dryad	wh_dlc05_wef_dryad	infantry
wh_dlc05_wef_waystalker	wh_dlc05_wef_glade_lord	commander
infantry_sword_great	wh_dlc05_wef_glaive_infantry	infantry
wh_dlc05_wef_great_eagle	wh_dlc05_wef_great_eagle	monster_beasts
wh_dlc05_wef_hawk_riders	wh_dlc05_wef_hawk_riders	missile_cavalry_chariots
infantry_spear	wh_dlc05_wef_orion	commander
wh_dlc05_wef_sisters_thorn	wh_dlc05_wef_sisters_thorn	missile_cavalry_chariots
wh_dlc05_wef_treeman	wh_dlc05_wef_treeman	rare_monsters_beasts
wh_dlc05_wef_waystalker	wh_dlc05_wef_waystalker	heroes_agents
wh_dlc05_wef_wild_riders	wh_dlc05_wef_wild_riders	cavalry_chariots
wh_dlc06_dwf_bolt_thrower	wh_dlc06_bolt_thrower	artillery_war_machines
wh_dlc06_grn_nasty_skulker	wh_dlc06_grn_nasty_skulker	infantry
wh_dlc06_grn_squig	wh_dlc06_grn_squig	monster_beasts
wh_dlc06_grn_squig_cavalry	wh_dlc06_grn_squig_sword	cavalry_chariots
wh_dlc07_brt_grail_relique	wh_dlc07_brt_grail_relique	infantry
wh_dlc07_brt_green_knight	wh_dlc07_brt_green_knight	heroes_agents
wh_dlc03_lore_beasts	wizard_beasts	heroes_agents
wh_dlc03_lore_beasts	wizard_beasts_cavalry	heroes_agents
wh_dlc03_lore_beasts	wizard_beasts_chariot	heroes_agents
wh_dlc03_lore_beasts	wizard_beasts_flying_monster	heroes_agents
wh_main_lore_big_waaagh	wizard_big_waaagh	heroes_agents
wh_main_lore_big_waaagh	wizard_big_waaagh_cavalry	heroes_agents
wh_main_lore_death	wizard_death	heroes_agents
wh_main_lore_death	wizard_death_cavalry	heroes_agents
wh_main_lore_death	wizard_death_cavalry_flying	heroes_agents
wh_main_lore_death	wizard_death_chariot	heroes_agents
wh_main_lore_death	wizard_death_flying_monster	heroes_agents
wh_main_lore_fire	wizard_fire	heroes_agents
wh_main_lore_fire	wizard_fire_cavalry	heroes_agents
wh_main_lore_fire	wizard_fire_manticore	heroes_agents
wh_main_lore_fire	wizard_fire_pegasus	heroes_agents
wh_main_lore_heavens	wizard_heavens	heroes_agents
wh_main_lore_heavens	wizard_heavens_cavalry	heroes_agents
wh_main_lore_heavens	wizard_heavens_cavalry_flying	heroes_agents
wh_dlc05_wef_lore_life	wizard_life	heroes_agents
wh_dlc05_wef_lore_life	wizard_life_cavalry	heroes_agents
wh_dlc05_wef_lore_life	wizard_life_flying_monster	heroes_agents
wh_main_lore_light	wizard_light	heroes_agents
wh_main_lore_light	wizard_light_cavalry	heroes_agents
wh_main_lore_light	wizard_light_cavalry_flying	heroes_agents
wh_main_lore_lil_waaagh	wizard_lil_waaagh	heroes_agents
wh_main_lore_metal	wizard_metal	heroes_agents
wh_main_lore_metal	wizard_metal_cavalry	heroes_agents
wh_main_lore_metal	wizard_metal_manticore	heroes_agents
wh_dlc05_wef_lore_shadow	wizard_shadows	heroes_agents
wh_dlc05_wef_lore_shadow	wizard_shadows_cavalry	heroes_agents
wh_dlc05_wef_lore_shadow	wizard_shadows_cavalry_flying	heroes_agents
wh_dlc05_wef_lore_shadow	wizard_shadows_chariot	heroes_agents
wh_dlc05_wef_lore_shadow	wizard_shadows_flying_monster	heroes_agents
wh_main_lore_vampires	wizard_vampires	heroes_agents
wh_main_lore_vampires	wizard_vampires_cavalry	heroes_agents
wh_dlc03_bst_lore_wild	wizard_wild	heroes_agents
wh_dlc03_bst_lore_wild	wizard_wild_chariot	heroes_agents
