audio_entity_types_tables
18
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7	unknown8	unknown9	unknown10	unknown11	unknown12	unknown13	unknown14	unknown15	unknown16	unknown17	unknown18	unknown19	unknown20	unknown21	unknown22	unknown23	unknown24	unknown25	unknown26
				wh2_phoenix_flamespyre_idle	wh2_hef_phoenix_frostheart	wh2_phoenix_flamespyre_running	Battle_Musician_Event	wh2_hef_phoenix_frostheart	wood	wh2_phoenix_flamespyre_walking	wh_grp_movement_beast_medium	large					wh_grp_movement_flying_medium_bird	wh_grp_movement_flying_medium_bird	False			1		True		large_creature_combat
					wh2_hell_pit_abomination		Battle_Musician_Event		wood			veryloud	wh_hell_pit_abomination_engine_idle	wh_hell_pit_abomination_engine_movement	wh_hell_pit_abomination_engine_movement				False			1		True	large_creature_combat	
wh2_kroxigor_combat				wh2_kroxigor_idle	wh2_kroxigor	wh2_kroxigor_running	Battle_Musician_Event		wood	wh2_kroxigor_walking	wh_grp_movement_beast_heavy	large							False	wh_grp_foley_movement_beast_heavy_leather		1		True		
					wh2_lord_mazdamundi		Battle_Musician_Event		wood			Lord_Hero							False			1.2		True		
				wh2_rat_ogre_idle	wh2_rat_ogre	wh2_rat_ogre_running	Battle_Musician_Event		wood	wh2_rat_ogre_walking	wh_grp_movement_beast_heavy_medium	large				wh2_rat_ogre			False	wh_grp_foley_movement_beast_medium_segmented		1		True		
wh2_rat_ogre_combat				wh2_rat_ogre_idle	wh2_rat_ogre_LH	wh2_rat_ogre_LH_running	Battle_Musician_Event		wood	wh2_rat_ogre_LH_walking	wh_grp_movement_beast_heavy_medium	Lord_Hero							False	wh_grp_foley_movement_beast_medium_segmented		1.2		True	hero_default	hero_combat
wh2_saurus_combat		wh2_saurus_idle	wh2_saurus_running	wh2_saurus_idle	wh2_saurus	wh2_saurus_running	Battle_Musician_Event		wood	wh2_saurus_walking	wh_grp_movement_beast_medium	medium				wh2_saurus			False	wh_grp_foley_movement_beast_light_leather		1		False		
wh2_saurus_combat				wh2_saurus_idle	wh2_saurus_LH	wh2_saurus_running	Battle_Musician_Event		wood	wh2_saurus_walking	wh_grp_movement_beast_medium	Lord_Hero				wh2_saurus			False	wh_grp_foley_movement_beast_light_leather		1.2		True	hero_default	hero_combat
wh_metal_creaks			wh_metal_creaks	wh_metal_creaks	wh2_siege_tower_lizardmen	wh_metal_creaks	Battle_Musician_Event		metal			war_machine	wh2_siege_tower_lizardmen_idle	wh2_siege_tower_lizardmen_movement	wh2_siege_tower_lizardmen_movement				True			1		False		
wh_metal_creaks			wh_metal_creaks	wh_metal_creaks	wh2_siege_tower_skaven	wh_metal_creaks	Battle_Musician_Event		metal			war_machine		wh_war_machine_skv_movement_large	wh_war_machine_skv_movement_large				True			1		False		
wh2_skaven_default_combat				wh2_skaven_default_idle	wh2_skaven	wh2_skaven_default_running	Battle_Musician_Event		wood	wh2_skaven_default_walking	wh_grp_movement_beast_light	medium				wh2_skaven			False			1		False		
wh2_skaven_default_combat				wh2_skaven_default_idle	wh2_skaven_LH	wh2_skaven_default_running	Battle_Musician_Event		wood	wh2_skaven_default_walking	wh_grp_movement_beast_light	Lord_Hero				wh2_skaven			False			1.2		True	hero_default	hero_combat
wh2_skaven_assassin_combat				wh2_skaven_assassin_idle	wh2_skaven_assassin_LH	wh2_skaven_assassin_running	Battle_Musician_Event		wood	wh2_skaven_assassin_walking	wh_grp_movement_beast_light	Lord_Hero				wh2_skaven_assassin			False	wh2_grp_movement_beast_medium_claws		1.2		True	hero_default	hero_combat
wh2_skaven_default_combat				wh2_skaven_globadiers_idle	wh2_skaven_globadiers	wh2_skaven_default_running	Battle_Musician_Event		wood	wh2_skaven_default_walking	wh_grp_movement_beast_light	medium				wh2_skaven			False	wh_grp_foley_movement_humanoid_metal_equipment	wh_grp_foley_movement_humanoid_metal_equipment	1		False		
wh2_skaven_grey_seer_idle				wh2_skaven_grey_seer_idle	wh2_skaven_grey_seer_LH	wh2_skaven_grey_seer_running	Battle_Musician_Event		wood	wh2_skaven_grey_seer_walking	wh_grp_movement_beast_light	Lord_Hero				wh2_skaven_grey_seer			False			1.2		True	hero_default	hero_combat
wh2_skaven_queek_headtaker_combat				wh2_skaven_queek_headtaker_idle	wh2_skaven_lord_skrolk_LH	wh2_skaven_queek_headtaker_running	Battle_Musician_Event		wood	wh2_skaven_queek_headtaker_walking	wh_grp_movement_beast_light	Lord_Hero							False			1.2		True	hero_default	hero_combat
wh2_skaven_plague_priests_combat				wh2_skaven_plague_priests_idle	wh2_skaven_plague_priests	wh2_skaven_plague_priests_running	Battle_Musician_Event		wood	wh2_skaven_plague_priests_walking	wh_grp_movement_beast_light	medium				wh2_skaven			False	wh_grp_foley_movement_leather		1		False		
wh2_skaven_plague_priests_combat				wh2_skaven_plague_priests_idle	wh2_skaven_plague_priests_LH	wh2_skaven_plague_priests_running	Battle_Musician_Event		wood	wh2_skaven_plague_priests_walking	wh_grp_movement_beast_light	Lord_Hero				wh2_skaven_plague_priests			False			1.2		True	hero_default	hero_combat
wh2_skaven_queek_headtaker_combat				wh2_skaven_queek_headtaker_idle	wh2_skaven_queek_headtaker_LH	wh2_skaven_queek_headtaker_walking	Battle_Musician_Event		wood	wh2_skaven_queek_headtaker_walking	wh_grp_movement_beast_light	Lord_Hero							False			1.2		True	hero_default	hero_combat
wh2_skaven_warlord_combat				wh2_skaven_warlock_idle	wh2_skaven_warlock_LH	wh2_skaven_warlock_running	Battle_Musician_Event		wood	wh2_skaven_warlock_walking	wh_grp_movement_beast_light	Lord_Hero				wh2_skaven_warlock			False			1.2		True	hero_default	hero_combat
wh2_skaven_warlock_combat				wh2_skaven_warlord_idle	wh2_skaven_warlord_LH	wh2_skaven_warlord_running	Battle_Musician_Event		wood	wh2_skaven_warlord_walking	wh_grp_movement_beast_light	Lord_Hero				wh2_skaven_warlord			False			1.2		True	hero_default	hero_combat
wh2_skaven_default_combat				wh2_skaven_default_idle	wh2_skaven_warpfire_thrower_team	wh2_skaven_default_running	Battle_Musician_Event		wood	wh2_skaven_default_walking	wh_grp_movement_beast_light	medium				wh2_skaven			False	wh_grp_foley_movement_beast_medium_segmented		1		False		
wh2_skinks_combat			wh2_skinks_running	wh2_skinks_idle	wh2_skinks	wh2_skinks_running	Battle_Musician_Event		wood	wh2_skinks_walking	wh_grp_movement_beast_light	medium				wh2_skinks			False			1		False		
					wh2_skinks_LH		Battle_Musician_Event		wood		wh_grp_movement_beast_light	Lord_Hero				wh2_skinks			False			1.2		True	hero_default	hero_combat
					wh2_slann		Battle_Musician_Event		wood			medium				wh2_slann			False			1		False		
					wh2_slann_LH		Battle_Musician_Event		wood			Lord_Hero				wh2_slann			False			1.2		False	hero_default	hero_combat
					wh2_stegadon				wood			veryloud							False			1		True		large_creature_combat
				wh2_terradon_idle	wh2_terradon	wh2_terradon_running	Battle_Musician_Event		wood	wh2_terradon_walking		large							False			1		False		
				wh2_terradon_idle	wh2_terradon_LH	wh2_terradon_running	Battle_Musician_Event		wood	wh2_terradon_walking		Lord_Hero							False			1		True		
wh_wooden_creaks		wh2_cold_one_combat	wh_wooden_creaks	wh_wooden_creaks	wh2_war_machine_SKV_plague_furnace	wh_wooden_creaks	Battle_Musician_Event		wood			veryloud		wh_war_machine_wood_movement_large	wh_war_machine_wood_movement_large				True			1		False		
wh_wooden_creaks			wh_wooden_creaks	wh_wooden_creaks	wh2_war_machine_SKV_screaming_bell	wh_wooden_creaks	Battle_Musician_Event		wood			veryloud		wh_war_machine_wood_movement_large	wh_war_machine_wood_movement_large				True			1		False		
					wh2_wm_bolt_thrower_eagle_claw				wood			war_machine		wh_war_machine_wood_movement_small	wh_war_machine_wood_movement_small				False			1		False		
wh_boar_combat				wh_boar_idle	wh_boar	wh_boar_running	Battle_Musician_Event		wood	wh_boar_walking	wh_grp_movement_beast_medium	medium							False	wh_grp_foley_movement_beast_medium_leather		1		False		
wh_boar_combat				wh_boar_idle	wh_boar_LH	wh_boar_running	Battle_Musician_Event		wood	wh_boar_walking		Lord_Hero							False			1.2		True	hero_default	hero_combat
wh_chaos_archaon_combat				wh_chaos_archaon_idle	wh_chaos_archaon_LH	wh_chaos_archaon_running	Battle_Musician_Event	wh_chaos_archaon	wood	wh_chaos_archaon_walking		Lord_Hero							False			1.2		True	hero_default	hero_combat
wh_chaos_default_combat				wh_chaos_default_idle	wh_chaos_default	wh_chaos_default_running	Battle_Musician_Event	wh_chaos_default	wood	wh_chaos_default_walking	wh_grp_movement_humanoid	medium				wh_chaos_default			False			1		False		
wh_chaos_default_combat				wh_chaos_default_idle	wh_chaos_default_LH	wh_chaos_default_running	Battle_Musician_Event	wh_chaos_default	wood	wh_chaos_default_walking		Lord_Hero				wh_chaos_default			False			1.2		True	hero_default	hero_combat
wh_chaos_marauder_combat				wh_chaos_marauder_idle	wh_chaos_marauder	wh_chaos_marauder_running	Battle_Musician_Event	wh_chaos_marauder	wood	wh_chaos_marauder_walking	wh_grp_movement_humanoid	medium				wh_chaos_marauder			False			1		False		
wh_chaos_sigvald_combat				wh_chaos_sigvald_idle	wh_chaos_sigvald_LH	wh_chaos_sigvald_running	Battle_Musician_Event	wh_chaos_sigvald	wood	wh_chaos_sigvald_walking		Lord_Hero							False			1.2		True	hero_default	hero_combat
					wh_chariot_metal		Battle_Musician_Event		metal			war_machine		wh_chariot_metal_movement	wh_chariot_metal_movement_rotation				False			1		False		
					wh_chariot_wood		Battle_Musician_Event		wood			war_machine		wh_chariot_wood_movement	wh_chariot_wood_movement_rotation				False			1		False		
					wh_copter		Battle_Musician_Event		metal			war_machine	wh_copter	wh_copter	wh_copter				True			1		False		
wh_crypt_ghoul_combat				wh_crypt_ghoul_idle	wh_crypt_ghoul	wh_crypt_ghoul_running	Battle_Musician_Event		wood	wh_crypt_ghoul_walking	wh_grp_movement_humanoid	medium							False	wh_grp_foley_movement_beast_light_bone		1		False		
wh_crypt_ghoul_combat				wh_crypt_ghoul_idle	wh_crypt_ghoul_LH	wh_crypt_ghoul_running	Battle_Musician_Event		wood	wh_crypt_ghoul_walking	wh_grp_movement_humanoid	Lord_Hero							False	wh_grp_foley_movement_beast_light_bone		1.2		True	hero_default	hero_combat
wh_crypt_horror_combat				wh_crypt_horror_idle	wh_crypt_horror	wh_crypt_horror_running	Battle_Musician_Event		wood	wh_crypt_horror_walking	wh_grp_movement_beast_heavy	large							False	wh_grp_foley_movement_beast_heavy_leather		1		True		
wh_crypt_horror_combat				wh_crypt_horror_idle	wh_crypt_horror_LH	wh_crypt_horror_running	Battle_Musician_Event		wood	wh_crypt_horror_walking	wh_grp_movement_beast_heavy	Lord_Hero							False	wh_grp_foley_movement_beast_heavy_leather		1.2		True	hero_default	hero_combat
wh_griffin_demigryph_combat				wh_griffin_demigryph_idle	wh_demigryph	wh_griffin_demigryph_running	Battle_Musician_Event	wh_demigryph	wood	wh_griffin_demigryph_walking	wh_grp_movement_beast_heavy_medium	large							False	wh_grp_foley_movement_beast_medium_segmented		1		False		
wh_dire_wolves_warhound_combat				wh_dire_wolves_warhound_idle	wh_dire_wolve_warhound	wh_dire_wolves_warhound_running	Battle_Musician_Event		wood	wh_dire_wolves_warhounds_walking	wh_grp_movement_beast_medium	small							False	wh_grp_foley_movement_beast_light_leather		1		False		
wh_dire_wolves_warhound_combat				wh_dire_wolves_warhound_idle	wh_dire_wolve_warhound_LH	wh_dire_wolves_warhound_running	Battle_Musician_Event		wood	wh_dire_wolves_warhounds_walking	wh_grp_movement_beast_medium	Lord_Hero							False	wh_grp_foley_movement_beast_light_leather		1.2		True	hero_default	hero_combat
wh_dlc_skarsnik_combat					wh_dlc04_skarsnik_LH	wh_dlc_skarsnik_running	Battle_Musician_Event		wood	wh_dlc_skarsnik_walking		Lord_Hero							False			1.2		True	hero_default	hero_combat
wh_dlc_bret_grail_combat			wh_dlc_bret_grail_fatigue	wh_dlc_bret_grail_idle	wh_dlc_brt_grail	wh_dlc_bret_grail_running	Battle_Musician_Event	wh_human_male	wood	wh_dlc_bret_grail_walking	wh_grp_movement_humanoid	medium				wh_human_male			False			1		False		
				wh_dlc_bret_green_knight_idle	wh_dlc_brt_green_knight_LH		Battle_Musician_Event	wh_bret_green_knight	wood		wh_grp_movement_humanoid	Lord_Hero				wh_human_male			False			1		True	hero_default	hero_combat
wh_dlc_centigor_combat					wh_dlc_centigor	wh_dlc_centigor_running	Battle_Musician_Event		wood	wh_dlc_centigor_walking	wh_grp_movement_beast_medium	medium							False	wh_grp_foley_movement_beast_medium_leather	wh_grp_vocalisation_gor_idle	1		False		
wh_chaos_forsaken_combat				wh_chaos_forsaken_idle	wh_dlc_chaos_forsaken	wh_chaos_forsaken_running	Battle_Musician_Event	wh_chaos_forsaken	wood	wh_chaos_forsaken_walking	wh_grp_movement_humanoid	medium							False			1		False		
					wh_dlc_cygor		Battle_Musician_Event		wood			veryloud							False			1		True		
wh_dlc_dragon_large_2_heads_combat				wh_dlc_dragon_large_2_heads_idle	wh_dlc_dragon_large_2_heads	wh_dlc_dragon_large_2_heads_running	Battle_Musician_Event		wood	wh_dlc_dragon_large_2_heads_walking		veryloud							False			1		True		
wh_dlc_dragon_large_2_heads_combat				wh_dlc_dragon_large_2_heads_idle	wh_dlc_dragon_large_2_heads_chaos	wh_dlc_dragon_large_2_heads_running	Battle_Musician_Event		wood	wh_dlc_dragon_large_2_heads_walking		veryloud							False			1		True		
wh_dlc_dragon_ogre_large_combat				wh_dlc_dragon_ogre_large_idle	wh_dlc_dragon_ogre_large	wh_dlc_dragon_ogre_large_running	Battle_Musician_Event	wh_dragon_ogre_large	wood	wh_dlc_dragon_ogre_large_walking		veryloud							False			1		True		
wh_dlc_dragon_ogre_large_combat				wh_dlc_dragon_ogre_large_idle	wh_dlc_dragon_ogre_large_LH	wh_dlc_dragon_ogre_large_running	Battle_Musician_Event	wh_dragon_ogre_large	wood	wh_dlc_dragon_ogre_large_walking		Lord_Hero							False			1.2		True	hero_default	hero_combat
wh_dlc_dragon_ogre_small_running				wh_dlc_dragon_ogre_small_idle	wh_dlc_dragon_ogre_small	wh_dlc_dragon_ogre_small_running	Battle_Musician_Event	wh_dragon_ogre_small	wood	wh_dlc_dragon_ogre_small_walking	wh_grp_movement_beast_heavy	large							False	wh_grp_foley_movement_beast_heavy_leather		1		False		
wh_dlc_gor_generic_combat					wh_dlc_gor	wh_dlc_gor_generic_running	Battle_Musician_Event	wh_gor_generic	wood	wh_dlc_gor_generic_walking	wh_grp_movement_beast_light	small							False	wh_grp_foley_movement_beast_light_leather	wh_grp_vocalisation_gor_idle	1		False		
wh_dlc_gor_generic_combat					wh_dlc_gor_LH	wh_dlc_gor_generic_running	Battle_Musician_Event	wh_gor_generic	wood	wh_dlc_gor_generic_walking	wh_grp_movement_humanoid	Lord_Hero							False			1.2		True	hero_default	hero_combat
wh_dlc_gor_bray_shamen_combat					wh_dlc_gor_bray_shamen_LH	wh_dlc_gor_bray_shamen_running	Battle_Musician_Event	wh_gor_bray_shamen	wood	wh_dlc_gor_bray_shamen_walking		Lord_Hero							False			1.2		True	hero_default	hero_combat
wh_dlc_gor_malagor_combat					wh_dlc_gor_malagor_LH	wh_dlc_gor_malagor_running	Battle_Musician_Event	wh_gor_malagor	wood	wh_dlc_gor_malagor_walking	wh_grp_movement_beast_medium	Lord_Hero							False	wh_grp_foley_movement_beast_light_leather		1.2		True	hero_default	hero_combat
wh_dlc_gorebeast_combat				wh_dlc_gorebeast_idle	wh_dlc_gorebeast	wh_dlc_gorebeast_running	Battle_Musician_Event		wood	wh_dlc_gorebeast_walking	wh_grp_movement_beast_heavy_medium	large							False	wh_grp_foley_movement_beast_medium_segmented		1		True		
					wh_dlc_great_eagle		Battle_Musician_Event		wood		wh_grp_movement_beast_medium	medium					wh_grp_movement_flying_pegasus	wh_grp_movement_flying_pegasus	False	wh_grp_foley_movement_beast_medium_segmented		1		False		
wh_dlc_manticore_combat				wh_dlc_manticore_idle	wh_dlc_manticore	wh_dlc_manticore_running	Battle_Musician_Event		wood	wh_dlc_manticore_walking	wh_grp_movement_beast_heavy	large							False	wh_grp_foley_movement_beast_heavy_leather		1		True		
wh_dlc_manticore_combat				wh_dlc_manticore_idle	wh_dlc_manticore_LH	wh_dlc_manticore_running	Battle_Musician_Event		wood	wh_dlc_manticore_walking	wh_grp_movement_beast_heavy	Lord_Hero							False	wh_grp_foley_movement_beast_heavy_leather		1.2		True	hero_default	hero_combat
wh_dlc_minotaur_combat					wh_dlc_minotaur	wh_dlc_minotaur_running	Battle_Musician_Event		wood	wh_dlc_minotaur_walking	wh_grp_movement_beast_heavy	large							False	wh_grp_foley_movement_beast_heavy_leather	wh_grp_vocalisation_minotaur_idle	1		True		
					wh_dlc_mortis_engine		Battle_Musician_Event		wood			war_machine							False			1		False		
wh_dlc_squig_combat				wh_dlc_squig_idle	wh_dlc_squig	wh_dlc_squig_running	Battle_Musician_Event		wood	wh_dlc_squig_walking	wh_grp_movement_beast_medium	small							False	wh_grp_foley_movement_beast_medium_leather	wh_grp_vocalisation_squig_idle	1		False		
wh_dlc_squig_combat				wh_dlc_squig_idle	wh_dlc_squig_LH	wh_dlc_squig_running	Battle_Musician_Event		wood	wh_dlc_squig_walking	wh_grp_movement_beast_light	Lord_Hero							False	wh_grp_foley_movement_beast_light_leather	wh_grp_vocalisation_squig_idle	1.2		True	hero_default	hero_combat
wh_dlc_ungor_combat					wh_dlc_ungor	wh_dlc_ungor_running	Battle_Musician_Event		wood	wh_dlc_ungor_walking	wh_grp_movement_humanoid	small							False	wh_grp_foley_movement_beast_light_leather	wh_grp_vocalisation_ungor_idle	1		False		
					wh_dlc_wef_dragon_large_forest		Battle_Musician_Event	wh_dlc_wef_dragon_large_forest	wood			veryloud							False			1		True		
wh_dlc_wef_dryad_combat				wh_dlc_wef_dryad_idle	wh_dlc_wef_dryad	wh_dlc_wef_dryad_running	Battle_Musician_Event		wood	wh_dlc_wef_dryad_walking	wh_grp_movement_humanoid	small							False	wh_grp_foley_movement_tree_small	wh_grp_foley_idle_tree_small	1	wh_grp_foley_movement_tree_small	False		
wh_elf_female_combat		wh_elf_female_fatigue		wh_elf_female_idle	wh_dlc_wef_elf_female	wh_elf_female_running	Battle_Musician_Event	wh_elf_female	wood	wh_elf_female_walking	wh_grp_movement_humanoid	medium				wh_elf_female			False			1		False		
wh_elf_female_combat		wh_elf_female_fatigue		wh_elf_female_idle	wh_dlc_wef_elf_female_LH	wh_elf_female_running	Battle_Musician_Event	wh_elf_female	wood	wh_elf_female_walking	wh_grp_movement_humanoid	Lord_Hero				wh_elf_female			False			1.2		True	hero_default	hero_combat
wh_elf_male_combat				wh_elf_male_idle	wh_dlc_wef_elf_male	wh_elf_male_running	Battle_Musician_Event		wood	wh_elf_male_walking	wh_grp_movement_humanoid	medium				wh_elf_male			False			1		False		
wh_elf_male_combat				wh_elf_male_idle	wh_dlc_wef_elf_male_LH	wh_elf_male_running	Battle_Musician_Event		wood	wh_elf_male_walking	wh_grp_movement_humanoid	Lord_Hero				wh_elf_male			False			1.2		True	hero_default	hero_combat
wh_dlc_wef_harpies_combat				wh_dlc_wef_harpies_idle	wh_dlc_wef_harpies	wh_dlc_wef_harpies_running	Battle_Musician_Event		wood	wh_dlc_wef_harpies_walking	wh_grp_movement_humanoid	small					wh_grp_movement_fell_bat	wh_grp_movement_fell_bat	False			1		False		
wh_dlc_medium_bird_eagle_combat				wh_dlc_medium_bird_eagle_idle	wh_dlc_wef_medium_bird_eagle	wh_dlc_medium_bird_eagle_running	Battle_Musician_Event	wh_dlc_wef_medium_bird_eagle	wood	wh_dlc_medium_bird_eagle_walking	wh_grp_movement_beast_medium	large					wh_grp_movement_flying_medium_bird	wh_grp_movement_flying_medium_bird	False			1		True		
wh_dlc_medium_bird_eagle_combat				wh_dlc_medium_bird_eagle_idle	wh_dlc_wef_medium_bird_eagle_LH	wh_dlc_medium_bird_eagle_running	Battle_Musician_Event	wh_dlc_wef_medium_bird_eagle	wood	wh_dlc_medium_bird_eagle_walking		Lord_Hero							False			1.2		True	hero_default	hero_combat
wh_dlc_medium_bird_hawk_combat				wh_dlc_medium_bird_hawk_idle	wh_dlc_wef_medium_bird_hawk	wh_dlc_medium_bird_hawk_running	Battle_Musician_Event	wh_dlc_wef_medium_bird_hawk	wood	wh_dlc_medium_bird_hawk_walking	wh_grp_movement_beast_medium	medium					wh_grp_movement_flying_medium_bird	wh_grp_movement_flying_medium_bird	False			1		True		
wh_dlc_medium_bird_hawk_combat				wh_dlc_medium_bird_hawk_idle	wh_dlc_wef_medium_bird_hawk_LH	wh_dlc_medium_bird_hawk_running	Battle_Musician_Event	wh_dlc_wef_medium_bird_hawk	wood	wh_dlc_medium_bird_hawk_walking		Lord_Hero							False			1.2		True	hero_default	hero_combat
					wh_dlc_wef_orion		Battle_Musician_Event		wood			Lord_Hero							False			1.2		True		
wh_dlc_wef_stag_normal_combat				wh_dlc_wef_stag_normal_idle	wh_dlc_wef_stag	wh_dlc_wef_stag_normal_running	Battle_Musician_Event		wood	wh_dlc_wef_stag_normal_walking	wh_grp_movement_beast_medium	medium							False	wh_grp_foley_movement_horse_leather		1		False		
					wh_dlc_wef_stag_LH		Battle_Musician_Event		wood		wh_grp_movement_beast_medium	Lord_Hero							False	wh_grp_foley_movement_horse_leather		1.2		True	hero_default	hero_combat
wh_dlc_wef_treekin_combat				wh_dlc_wef_treekin_idle	wh_dlc_wef_treekin	wh_dlc_wef_treekin_running	Battle_Musician_Event	wh_dlc_wef_treekin	wood	wh_dlc_wef_treekin_walking	wh_grp_movement_beast_heavy	large							False	wh_grp_foley_movement_tree_large	wh_grp_foley_idle_tree_large	1	wh_grp_foley_movement_tree_large	True		
					wh_dlc_wef_treeman		Battle_Musician_Event		wood			veryloud							False			1		True		
					wh_dragon_large_default		Battle_Musician_Event		wood			veryloud							False			1		True		
					wh_dragon_large_zombie		Battle_Musician_Event		wood			veryloud							False			1		True		
wh_dragon_small_terrorghiest_combat				wh_dragon_small_terrorgheist_idle	wh_dragon_small_LH	wh_dragon_small_terrorgheist_running	Battle_Musician_Event		wood	wh_dragon_small_terrorgheist_walking		Lord_Hero							False			1.2		True	hero_default	hero_combat
wh_dragon_small_terrorghiest_combat				wh_dragon_small_terrorgheist_idle	wh_dragon_small_terrorgheist	wh_dragon_small_terrorgheist_running	Battle_Musician_Event	wh_dragon_small_terrogheist	wood	wh_dragon_small_terrorgheist_walking		veryloud							False			1		True		
wh_dragon_small_terrorghiest_combat				wh_dragon_small_terrorgheist_idle	wh_dragon_small_terrorgheist_LH	wh_dragon_small_terrorgheist_running	Battle_Musician_Event	wh_dragon_small_terrogheist	wood	wh_dragon_small_terrorgheist_walking		Lord_Hero							False			1.2		True	hero_default	hero_combat
wh_dragon_small_wyvern_combat				wh_dragon_small_wyvern_idle	wh_dragon_small_wyvern	wh_dragon_small_wyvern_running	Battle_Musician_Event	wh_dragon_small_wyvern	wood	wh_dragon_small_wyvern_walking		veryloud							False			1		True		
