mercenary_pool_to_groups_junctions_tables
1
group	initial_unit_count	key	pool	faction	sub-culture	technology
wh_dlc04_emp_inf_stirlands_revenge_0	1	3118	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
wh_dlc04_emp_inf_tattersouls_0	1	3119	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
wh_dlc04_emp_veh_templehof_luminark_0	1	3122	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
wh_dlc04_vmp_cav_chillgheists_0	1	3128	wh_dlc04_vmp_units_of_renown_pool		wh_main_sc_vmp_vampire_counts	
wh_dlc04_vmp_cav_vereks_reavers_0	1	3136	wh_dlc04_vmp_units_of_renown_pool		wh_main_sc_vmp_vampire_counts	
wh_dlc04_vmp_inf_feasters_in_the_dusk_0	1	3142	wh_dlc04_vmp_units_of_renown_pool		wh_main_sc_vmp_vampire_counts	
wh_dlc04_vmp_inf_konigstein_stalkers_0	1	3156	wh_dlc04_vmp_units_of_renown_pool		wh_main_sc_vmp_vampire_counts	
wh_dlc04_vmp_inf_sternsmen_0	1	3159	wh_dlc04_vmp_units_of_renown_pool		wh_main_sc_vmp_vampire_counts	
wh_dlc04_vmp_inf_tithe_0	1	3160	wh_dlc04_vmp_units_of_renown_pool		wh_main_sc_vmp_vampire_counts	
wh_dlc04_vmp_mon_devils_swartzhafen_0	1	3167	wh_dlc04_vmp_units_of_renown_pool		wh_main_sc_vmp_vampire_counts	
wh_dlc04_vmp_veh_claw_of_nagash_0	1	3170	wh_dlc04_vmp_units_of_renown_pool		wh_main_sc_vmp_vampire_counts	
wh_dlc06_dwf_art_gob_lobber_0	1	3172	wh_dlc06_dwf_units_of_renown_pool		wh_main_sc_dwf_dwarfs	
wh_dlc06_dwf_inf_dragonback_slayers_0	1	3173	wh_dlc06_dwf_units_of_renown_pool		wh_main_sc_dwf_dwarfs	
wh_dlc06_dwf_inf_ekrund_miners_0	1	3181	wh_dlc06_dwf_units_of_renown_pool		wh_main_sc_dwf_dwarfs	
wh_dlc06_dwf_inf_norgrimlings_ironbreakers_0	1	3190	wh_dlc06_dwf_units_of_renown_pool		wh_main_sc_dwf_dwarfs	
wh_dlc06_dwf_inf_norgrimlings_irondrakes_0	1	3192	wh_dlc06_dwf_units_of_renown_pool		wh_main_sc_dwf_dwarfs	
wh_dlc06_dwf_inf_old_grumblers_0	1	3195	wh_dlc06_dwf_units_of_renown_pool		wh_main_sc_dwf_dwarfs	
wh_dlc06_dwf_inf_peak_gate_guard_0	1	3204	wh_dlc06_dwf_units_of_renown_pool		wh_main_sc_dwf_dwarfs	
wh_dlc06_dwf_inf_ulthars_raiders_0	1	3206	wh_dlc06_dwf_units_of_renown_pool		wh_main_sc_dwf_dwarfs	
wh_dlc06_dwf_inf_warriors_dragonfire_pass_0	1	3213	wh_dlc06_dwf_units_of_renown_pool		wh_main_sc_dwf_dwarfs	
wh_dlc06_dwf_veh_skyhammer_0	1	3215	wh_dlc06_dwf_units_of_renown_pool		wh_main_sc_dwf_dwarfs	
wh_dlc06_grn_art_hammer_of_gork_0	1	3220	wh_dlc06_grn_units_of_renown_pool		wh_main_sc_grn_greenskins	
wh_dlc06_grn_cav_deff_creepers_0	1	3222	wh_dlc06_grn_units_of_renown_pool		wh_main_sc_grn_greenskins	
wh_dlc06_grn_cav_durkits_squigs_0	1	3224	wh_dlc06_grn_units_of_renown_pool		wh_main_sc_grn_greenskins	
wh_dlc06_grn_cav_mogrubbs_marauders_0	1	3226	wh_dlc06_grn_units_of_renown_pool		wh_main_sc_grn_greenskins	
wh_dlc06_grn_cav_moon_howlers_0	1	3236	wh_dlc06_grn_units_of_renown_pool		wh_main_sc_grn_greenskins	
wh_dlc06_grn_cav_teef_robbers_0	1	3240	wh_dlc06_grn_units_of_renown_pool		wh_main_sc_grn_greenskins	
wh_dlc06_grn_inf_da_eight_peaks_loonies_0	1	3245	wh_dlc06_grn_units_of_renown_pool		wh_main_sc_grn_greenskins	
wh_dlc06_grn_inf_da_rusty_arrers_0	1	3251	wh_dlc06_grn_units_of_renown_pool		wh_main_sc_grn_greenskins	
wh_dlc02_vmp_cav_blood_knights_0	0	3252	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_dlc04_emp_inf_sigmars_sons_0	1	3259	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
wh_dlc04_vmp_mon_direpack_0	1	3263	wh_dlc04_vmp_units_of_renown_pool		wh_main_sc_vmp_vampire_counts	
wh_dlc04_vmp_veh_mortis_engine_0	0	3264	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_dlc04_vmp_veh_corpse_cart_0	0	3268	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_dlc04_vmp_veh_corpse_cart_1	0	3276	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_dlc04_vmp_veh_corpse_cart_2	0	3278	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_dlc06_grn_inf_krimson_killerz_0	1	3283	wh_dlc06_grn_units_of_renown_pool		wh_main_sc_grn_greenskins	
wh_dlc06_grn_cav_broken_tusks_mob_0	1	3289	wh_dlc06_grn_units_of_renown_pool		wh_main_sc_grn_greenskins	
wh_dlc06_grn_inf_da_warlords_boyz_0	1	3297	wh_dlc06_grn_units_of_renown_pool		wh_main_sc_grn_greenskins	
wh_dlc06_grn_mon_venom_queen_0	1	3303	wh_dlc06_grn_units_of_renown_pool		wh_main_sc_grn_greenskins	
wh2_main_lzd_inf_chameleon_skinks_blessed_0	0	348183996	wh2_main_lzd_spawnings_pool		wh2_main_sc_lzd_lizardmen	
wh2_main_lzd_cav_terradon_riders_blessed_1	0	42334842	wh2_main_lzd_spawnings_pool		wh2_main_sc_lzd_lizardmen	
wh2_main_lzd_inf_saurus_spearmen_blessed_1	0	627014889	wh2_main_lzd_spawnings_pool		wh2_main_sc_lzd_lizardmen	
wh2_main_lzd_mon_carnosaur_blessed_0	0	847169603	wh2_main_lzd_spawnings_pool		wh2_main_sc_lzd_lizardmen	
