special_ability_to_special_ability_phase_junctions_tables
1
order	phase	special_ability
1	wh_dlc03_spell_beasts_the_curse_of_anraheir	wh_dlc03_spell_beasts_the_curse_of_anraheir_upgraded
1	wh_dlc03_spell_beasts_wyssans_wildform	wh_dlc03_spell_beasts_wyssans_wildform
1	wh_dlc03_spell_beasts_wyssans_wildform	wh_dlc03_spell_beasts_wyssans_wildform_upgraded
1	wh_dlc03_spell_wild_devolve	wh_dlc03_spell_wild_devolve
1	wh_dlc03_spell_wild_devolve_upgraded	wh_dlc03_spell_wild_devolve_upgraded
1	wh_dlc03_spell_wild_mantle_of_ghorok	wh_dlc03_spell_wild_mantle_of_ghorok
1	wh_dlc03_spell_wild_traitor_kin	wh_dlc03_spell_wild_traitor_kin
1	wh_dlc03_spell_wild_traitor_kin_upgraded	wh_dlc03_spell_wild_traitor_kin_upgraded
1	wh_dlc03_unit_abilities_slaughterers_call	wh_dlc03_unit_abilities_slaughterers_call
1	wh_dlc03_unit_passive_bloodgreed	wh_dlc03_unit_passive_bloodgreed
1	wh_dlc03_unit_passive_drunken	wh_dlc03_unit_passive_drunken
1	wh_dlc03_unit_passive_primal_fury	wh_dlc03_unit_passive_primal_fury
1	wh_dlc03_unit_passive_soul_eater	wh_dlc03_unit_passive_soul_eater
1	wh_dlc03_unit_passive_unbinding_chaos_spawn	wh_dlc03_unit_passive_unbinding_chaos_spawn
1	wh_dlc03_unit_passive_unbinding_cygor	wh_dlc03_unit_passive_unbinding_cygor
1	wh_dlc03_unit_passive_unbinding_giant	wh_dlc03_unit_passive_unbinding_giant
1	wh_dlc03_unit_passive_unbinding_manticore	wh_dlc03_unit_passive_unbinding_manticore
1	wh_dlc03_weapon_abilities_axe_of_men	wh_dlc03_weapon_abilities_axe_of_men
1	wh_dlc03_weapon_abilities_scourge	wh_dlc03_weapon_abilities_scourge
1	wh_dlc03_weapon_passive_everbleed	wh_dlc03_weapon_passive_everbleed
1	wh_dlc03_weapon_passive_mangelder	wh_dlc03_weapon_passive_mangelder
1	wh_dlc03_weapon_passive_the_brass_cleaver	wh_dlc03_weapon_passive_the_brass_cleaver
1	wh_dlc03_weapon_passive_the_middenland_runefang	wh_dlc03_weapon_passive_the_middenland_runefang
1	wh_dlc04_hero_passive_divine_power	wh_dlc04_hero_passive_divine_power
1	wh_dlc04_item_abilities_the_carstein_ring	wh_dlc04_item_abilities_the_carstein_ring
1	wh_dlc04_item_abilities_the_liber_noctus	wh_dlc04_item_abilities_the_liber_noctus
1	wh_dlc04_item_passive_jade_griffon	wh_dlc04_item_passive_jade_griffon
1	wh_dlc04_lord_abilities_beguile	wh_dlc04_lord_abilities_beguile
1	wh_dlc04_lord_passive_aura_of_dark_majesty	wh_dlc04_lord_passive_aura_of_dark_majesty
1	wh_dlc04_quest_abilities_servant_of_nagash	wh_dlc04_quest_abilities_servant_of_nagash
1	wh_main_spell_bound_hammer_of_sigmar	wh_dlc04_spell_bound_hammer_of_sigmar_upgraded
1	wh_main_spell_light_net_of_amyntok	wh_dlc04_spell_bound_net_of_amyntok
1	wh_main_spell_bound_shield_of_faith	wh_dlc04_spell_bound_shield_of_faith_upgraded
1	wh_main_spell_bound_soulfire	wh_dlc04_spell_bound_soulfire_upgraded
1	wh_main_spell_death_doom_and_darkness	wh_dlc04_spell_death_doom_and_darkness_strigoi
1	wh_main_spell_death_soulblight	wh_dlc04_spell_death_soulblight_strigoi
1	wh_main_spell_death_spirit_leech	wh_dlc04_spell_death_spirit_leech_strigoi
1	wh_main_spell_vampires_curse_of_years	wh_dlc04_spell_vampires_curse_of_years_helman
1	wh_main_spell_vampires_invocation_of_nehek	wh_dlc04_spell_vampires_invocation_of_nehek_helman
1	wh_main_spell_vampires_invocation_of_nehek	wh_dlc04_spell_vampires_invocation_of_nehek_strigoi
1	wh_main_spell_vampires_vanhels_danse_macabre	wh_dlc04_spell_vampires_vanhels_danse_macabre_helman
1	wh_dlc04_unit_passive_balefire	wh_dlc04_unit_passive_balefire
1	wh_dlc04_unit_passive_blasphemous_tome	wh_dlc04_unit_passive_blasphemous_tome
1	wh_dlc04_unit_passive_chilling_aura	wh_dlc04_unit_passive_chilling_aura
1	wh_dlc04_unit_passive_strength_of_the_penitent	wh_dlc04_unit_passive_strength_of_the_penitent
1	wh_dlc04_unit_passive_the_reliquary_binding	wh_dlc04_unit_passive_the_reliquary_binding
1	wh_dlc04_unit_passive_the_reliquary_corruption	wh_dlc04_unit_passive_the_reliquary_corruption
1	wh_dlc04_unit_passive_unbinding_crypt_ghouls	wh_dlc04_unit_passive_unbinding_crypt_ghouls
1	wh_dlc04_unit_passive_unbinding_crypt_horrors	wh_dlc04_unit_passive_unbinding_crypt_horrors
1	wh_dlc04_unit_passive_unbinding_grave_guard	wh_dlc04_unit_passive_unbinding_grave_guard
1	wh_dlc04_unit_passive_unbinding_wight_king	wh_dlc04_unit_passive_unbinding_wight_king
1	wh_dlc04_unit_passive_unholy_lodestone	wh_dlc04_unit_passive_unholy_lodestone
1	wh_dlc04_unit_passive_vigour_mortis	wh_dlc04_unit_passive_vigour_mortis
1	wh_dlc04_weapon_passive_blood_drinker	wh_dlc04_weapon_passive_blood_drinker
1	wh_dlc05_banner_passive_banner_of_the_eternal_queen	wh_dlc05_banner_passive_banner_of_the_eternal_queen
1	wh_dlc05_banner_passive_banner_of_the_hunter_king	wh_dlc05_banner_passive_banner_of_the_hunter_king
1	wh_dlc05_character_abilities_pray_of_anath_raema	wh_dlc05_character_abilities_prey_of_anath_raema
1	wh_dlc05_character_passive_corruptor_of_the_shadowgave_0	wh_dlc05_character_passive_corruptor_of_the_shadowgave
2	wh_dlc05_character_passive_corruptor_of_the_shadowgave_1	wh_dlc05_character_passive_corruptor_of_the_shadowgave
3	wh_dlc05_character_passive_corruptor_of_the_shadowgave_2	wh_dlc05_character_passive_corruptor_of_the_shadowgave
1	wh_dlc05_character_passive_gift_of_slaanesh	wh_dlc05_character_passive_gift_of_slaanesh
1	wh_dlc05_hero_passive_blessing_of_the_ancients	wh_dlc05_hero_passive_blessing_of_the_ancients
1	wh_dlc05_hero_passive_hawkish_finesse	wh_dlc05_hero_passive_hawkish_finesse
1	wh_dlc05_hero_passive_hawkish_precision	wh_dlc05_hero_passive_hawkish_precision
1	wh_dlc05_item_abilities_horn_of_the_wild_hunt	wh_dlc05_item_abilities_horn_of_the_wild_hunt
1	wh_dlc05_item_passive_cloak_of_isha	wh_dlc05_item_passive_cloak_of_isha
1	wh_dlc05_lord_abilities_spirit_essence_of_chaos	wh_dlc05_lord_abilities_spirit_essence_of_chaos
1	wh_dlc05_lord_abilities_spirit_essence_of_chaos	wh_dlc05_lord_abilities_spirit_essence_of_eternal_chaos
1	wh_dlc05_lord_passive_call_of_the_woods	wh_dlc05_lord_passive_call_of_the_woods
1	wh_dlc05_lord_passive_howl_of_the_forest	wh_dlc05_lord_passive_howl_of_the_forest
1	wh_dlc05_lord_passive_sight_beyond_sight	wh_dlc05_lord_passive_sight_beyond_sight
1	wh_dlc05_lord_passive_the_eye_of_kurnous	wh_dlc05_lord_passive_the_eye_of_kurnous
1	wh_dlc05_lore_passive_life_bloom	wh_dlc05_lore_passive_life_bloom
1	wh_dlc05_lore_passive_smoke_and_mirrors	wh_dlc05_lore_passive_smoke_and_mirrors
1	wh_dlc05_quest_passive_aura_of_transmutation	wh_dlc05_quest_passive_aura_of_transmutation
1	wh_dlc05_quest_passive_blessed_by_the_mage_queen_0	wh_dlc05_quest_passive_blessed_by_the_mage_queen
2	wh_dlc05_quest_passive_blessed_by_the_mage_queen_1	wh_dlc05_quest_passive_blessed_by_the_mage_queen
3	wh_dlc05_quest_passive_blessed_by_the_mage_queen_2	wh_dlc05_quest_passive_blessed_by_the_mage_queen
1	wh_dlc05_spell_life_shield_of_thorns	wh_dlc05_spell_bound_shield_of_thorns
1	wh_dlc03_spell_beasts_the_curse_of_anraheir	wh_dlc05_spell_bound_the_curse_of_anraheir
1	wh_dlc05_spell_life_earth_blood	wh_dlc05_spell_life_earth_blood
1	wh_dlc05_spell_life_earth_blood	wh_dlc05_spell_life_earth_blood_branchwraith
1	wh_dlc05_spell_life_earth_blood_upgraded	wh_dlc05_spell_life_earth_blood_upgraded
1	wh_dlc05_spell_life_flesh_to_stone	wh_dlc05_spell_life_flesh_to_stone
1	wh_dlc05_spell_life_flesh_to_stone_upgraded	wh_dlc05_spell_life_flesh_to_stone_upgraded
1	wh_dlc05_spell_life_regrowth	wh_dlc05_spell_life_regrowth
1	wh_dlc05_spell_life_regrowth_upgraded	wh_dlc05_spell_life_regrowth_upgraded
1	wh_dlc05_spell_life_shield_of_thorns	wh_dlc05_spell_life_shield_of_thorns
1	wh_dlc05_spell_life_shield_of_thorns	wh_dlc05_spell_life_shield_of_thorns_branchwraith
1	wh_dlc05_spell_life_shield_of_thorns_upgraded	wh_dlc05_spell_life_shield_of_thorns_upgraded
1	wh_dlc05_spell_shadow_melkoths_mystifying_miasma	wh_dlc05_spell_shadow_melkoths_mystifying_miasma
1	wh_dlc05_spell_shadow_melkoths_mystifying_miasma	wh_dlc05_spell_shadow_melkoths_mystifying_miasma_branchwraith
