cai_task_management_system_task_generator_groups_generators_junctions_tables
0
priority	task_generator_group_key	task_generator_key
8	aggressive_avoid_player_raider	CAI_TMS_TASK_GENERATOR_RAID_UNDEFENDED_REGIONS_TO_IMPROVE_MORALE
0.85	aggressive_avoid_player_recoloniser	CAI_TMS_TASK_GENERATOR_ATTACK_PROVINCES_NEIGHBOURNIG_OWN_PROVINCES_ABANDONED
0.85	aggressive_avoid_player_recoloniser	CAI_TMS_TASK_GENERATOR_ATTACK_PROVINCES_NEIGHBOURNIG_OWN_REGIONS_ABANDONED
0.85	aggressive_avoid_player_recoloniser	CAI_TMS_TASK_GENERATOR_ATTACK_REGIONS_NEIGHBOURNIG_OWN_REGIONS_ABANDONED
-4	aggressive_coloniser	CAI_TMS_TASK_GENERATOR_AGENT_ATTACK_HIDDEN_ENEMY_SETTLEMENTS_HUMAN_OWNED
-1	aggressive_coloniser	CAI_TMS_TASK_GENERATOR_AGENT_ATTACK_HIDDEN_ENEMY_SETTLEMENTS_NON_HUMAN_OWNED
-4	aggressive_coloniser	CAI_TMS_TASK_GENERATOR_ATTACK_HIDDEN_ENEMY_SETTLEMENTS_HUMAN_OWNED
-1	aggressive_coloniser	CAI_TMS_TASK_GENERATOR_ATTACK_HIDDEN_ENEMY_SETTLEMENTS_NON_HUMAN_OWNED
0.8	aggressive_coloniser	CAI_TMS_TASK_GENERATOR_ATTACK_PROVINCES_NEIGHBOURNIG_OWN_PROVINCES_ABANDONED
0.8	aggressive_coloniser	CAI_TMS_TASK_GENERATOR_ATTACK_PROVINCES_NEIGHBOURNIG_OWN_REGIONS_ABANDONED
0.8	aggressive_coloniser	CAI_TMS_TASK_GENERATOR_ATTACK_REGIONS_NEIGHBOURNIG_OWN_REGIONS_ABANDONED
-2	aggressive_coloniser_avoid_oldworld_races	CAI_TMS_TASK_GENERATOR_TARGET_CULTURE_CHAOS_ATTACK_AGENTS
-2	aggressive_coloniser_avoid_oldworld_races	CAI_TMS_TASK_GENERATOR_TARGET_CULTURE_CHAOS_ATTACK_FORCES
-2	aggressive_coloniser_avoid_oldworld_races	CAI_TMS_TASK_GENERATOR_TARGET_CULTURE_CHAOS_ATTACK_REGIONS
-2	aggressive_coloniser_avoid_oldworld_races	CAI_TMS_TASK_GENERATOR_TARGET_CULTURE_DWARF_ATTACK_AGENTS
-2	aggressive_coloniser_avoid_oldworld_races	CAI_TMS_TASK_GENERATOR_TARGET_CULTURE_DWARF_ATTACK_FORCES
-2	aggressive_coloniser_avoid_oldworld_races	CAI_TMS_TASK_GENERATOR_TARGET_CULTURE_DWARF_ATTACK_REGIONS
-2	aggressive_coloniser_avoid_oldworld_races	CAI_TMS_TASK_GENERATOR_TARGET_CULTURE_EMPIRE_ATTACK_AGENTS
-2	aggressive_coloniser_avoid_oldworld_races	CAI_TMS_TASK_GENERATOR_TARGET_CULTURE_EMPIRE_ATTACK_FORCES
-2	aggressive_coloniser_avoid_oldworld_races	CAI_TMS_TASK_GENERATOR_TARGET_CULTURE_EMPIRE_ATTACK_REGIONS
-2	aggressive_coloniser_avoid_oldworld_races	CAI_TMS_TASK_GENERATOR_TARGET_CULTURE_GREENSKIN_ATTACK_AGENTS
-2	aggressive_coloniser_avoid_oldworld_races	CAI_TMS_TASK_GENERATOR_TARGET_CULTURE_GREENSKIN_ATTACK_FORCES
-2	aggressive_coloniser_avoid_oldworld_races	CAI_TMS_TASK_GENERATOR_TARGET_CULTURE_GREENSKIN_ATTACK_REGIONS
-2	aggressive_coloniser_avoid_oldworld_races	CAI_TMS_TASK_GENERATOR_TARGET_CULTURE_VAMPIRE_ATTACK_AGENTS
-2	aggressive_coloniser_avoid_oldworld_races	CAI_TMS_TASK_GENERATOR_TARGET_CULTURE_VAMPIRE_ATTACK_FORCES
-2	aggressive_coloniser_avoid_oldworld_races	CAI_TMS_TASK_GENERATOR_TARGET_CULTURE_VAMPIRE_ATTACK_REGIONS
0	aggressive_coloniser_avoid_oldworld_races_and_player	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_ENEMY_HUMAN_FORCES
0	aggressive_coloniser_avoid_oldworld_races_and_player	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_ENEMY_HUMAN_SETTLEMENTS
0	aggressive_coloniser_avoid_oldworld_races_anti_player	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_ENEMY_HUMAN_FORCES
0	aggressive_coloniser_avoid_oldworld_races_anti_player	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_ENEMY_HUMAN_SETTLEMENTS
2.5	aggressive_destroyer	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_ENEMY_FORCES
3	aggressive_destroyer	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_ENEMY_SETTLEMENTS
0	aggressive_destroyer	CAI_TMS_TASK_GENERATOR_WITHDRAW_DAMAGED_ARMIES
0	aggressive_destroyer	CAI_TMS_TASK_GENERATOR_WITHDRAW_LOW_MORALE_ARMIES
0	aggressive_destroyer_anti_player	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_ENEMY_HUMAN_FORCES
0	aggressive_destroyer_anti_player	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_ENEMY_HUMAN_SETTLEMENTS
0.85	aggressive_destroyer_anti_player_recoloniser	CAI_TMS_TASK_GENERATOR_ATTACK_PROVINCES_NEIGHBOURNIG_OWN_PROVINCES_ABANDONED
0.85	aggressive_destroyer_anti_player_recoloniser	CAI_TMS_TASK_GENERATOR_ATTACK_PROVINCES_NEIGHBOURNIG_OWN_REGIONS_ABANDONED
0.85	aggressive_destroyer_anti_player_recoloniser	CAI_TMS_TASK_GENERATOR_ATTACK_REGIONS_NEIGHBOURNIG_OWN_REGIONS_ABANDONED
0	aggressive_destroyer_avoid_player	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_ENEMY_HUMAN_FORCES
0	aggressive_destroyer_avoid_player	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_ENEMY_HUMAN_SETTLEMENTS
0.85	aggressive_destroyer_avoid_player_recoloniser	CAI_TMS_TASK_GENERATOR_ATTACK_PROVINCES_NEIGHBOURNIG_OWN_PROVINCES_ABANDONED
0.85	aggressive_destroyer_avoid_player_recoloniser	CAI_TMS_TASK_GENERATOR_ATTACK_PROVINCES_NEIGHBOURNIG_OWN_REGIONS_ABANDONED
0.85	aggressive_destroyer_avoid_player_recoloniser	CAI_TMS_TASK_GENERATOR_ATTACK_REGIONS_NEIGHBOURNIG_OWN_REGIONS_ABANDONED
0.85	aggressive_destroyer_recoloniser	CAI_TMS_TASK_GENERATOR_ATTACK_PROVINCES_NEIGHBOURNIG_OWN_PROVINCES_ABANDONED
0.85	aggressive_destroyer_recoloniser	CAI_TMS_TASK_GENERATOR_ATTACK_PROVINCES_NEIGHBOURNIG_OWN_REGIONS_ABANDONED
0.85	aggressive_destroyer_recoloniser	CAI_TMS_TASK_GENERATOR_ATTACK_REGIONS_NEIGHBOURNIG_OWN_REGIONS_ABANDONED
-4	aggressive_focused_coloniser	CAI_TMS_TASK_GENERATOR_AGENT_ATTACK_HIDDEN_ENEMY_SETTLEMENTS_HUMAN_OWNED
-1	aggressive_focused_coloniser	CAI_TMS_TASK_GENERATOR_AGENT_ATTACK_HIDDEN_ENEMY_SETTLEMENTS_NON_HUMAN_OWNED
-4	aggressive_focused_coloniser	CAI_TMS_TASK_GENERATOR_ATTACK_HIDDEN_ENEMY_SETTLEMENTS_HUMAN_OWNED
-1	aggressive_focused_coloniser	CAI_TMS_TASK_GENERATOR_ATTACK_HIDDEN_ENEMY_SETTLEMENTS_NON_HUMAN_OWNED
3	aggressive_focused_coloniser	CAI_TMS_TASK_GENERATOR_ATTACK_PROVINCES_NEIGHBOURNIG_OWN_PROVINCES_ABANDONED
3	aggressive_focused_coloniser	CAI_TMS_TASK_GENERATOR_ATTACK_PROVINCES_NEIGHBOURNIG_OWN_REGIONS_ABANDONED
3	aggressive_focused_coloniser	CAI_TMS_TASK_GENERATOR_ATTACK_REGIONS_NEIGHBOURNIG_OWN_REGIONS_ABANDONED
-2	aggressive_focused_coloniser_avoid_oldworld_races	CAI_TMS_TASK_GENERATOR_TARGET_CULTURE_CHAOS_ATTACK_AGENTS
-2	aggressive_focused_coloniser_avoid_oldworld_races	CAI_TMS_TASK_GENERATOR_TARGET_CULTURE_CHAOS_ATTACK_FORCES
-2	aggressive_focused_coloniser_avoid_oldworld_races	CAI_TMS_TASK_GENERATOR_TARGET_CULTURE_CHAOS_ATTACK_REGIONS
-2	aggressive_focused_coloniser_avoid_oldworld_races	CAI_TMS_TASK_GENERATOR_TARGET_CULTURE_DWARF_ATTACK_AGENTS
-2	aggressive_focused_coloniser_avoid_oldworld_races	CAI_TMS_TASK_GENERATOR_TARGET_CULTURE_DWARF_ATTACK_FORCES
-2	aggressive_focused_coloniser_avoid_oldworld_races	CAI_TMS_TASK_GENERATOR_TARGET_CULTURE_DWARF_ATTACK_REGIONS
-2	aggressive_focused_coloniser_avoid_oldworld_races	CAI_TMS_TASK_GENERATOR_TARGET_CULTURE_EMPIRE_ATTACK_AGENTS
-2	aggressive_focused_coloniser_avoid_oldworld_races	CAI_TMS_TASK_GENERATOR_TARGET_CULTURE_EMPIRE_ATTACK_FORCES
-2	aggressive_focused_coloniser_avoid_oldworld_races	CAI_TMS_TASK_GENERATOR_TARGET_CULTURE_EMPIRE_ATTACK_REGIONS
-2	aggressive_focused_coloniser_avoid_oldworld_races	CAI_TMS_TASK_GENERATOR_TARGET_CULTURE_GREENSKIN_ATTACK_AGENTS
-2	aggressive_focused_coloniser_avoid_oldworld_races	CAI_TMS_TASK_GENERATOR_TARGET_CULTURE_GREENSKIN_ATTACK_FORCES
-2	aggressive_focused_coloniser_avoid_oldworld_races	CAI_TMS_TASK_GENERATOR_TARGET_CULTURE_GREENSKIN_ATTACK_REGIONS
-2	aggressive_focused_coloniser_avoid_oldworld_races	CAI_TMS_TASK_GENERATOR_TARGET_CULTURE_VAMPIRE_ATTACK_AGENTS
-2	aggressive_focused_coloniser_avoid_oldworld_races	CAI_TMS_TASK_GENERATOR_TARGET_CULTURE_VAMPIRE_ATTACK_FORCES
-2	aggressive_focused_coloniser_avoid_oldworld_races	CAI_TMS_TASK_GENERATOR_TARGET_CULTURE_VAMPIRE_ATTACK_REGIONS
0	aggressive_focused_coloniser_avoid_oldworld_races_and_player	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_ENEMY_HUMAN_FORCES
0	aggressive_focused_coloniser_avoid_oldworld_races_and_player	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_ENEMY_HUMAN_SETTLEMENTS
0	aggressive_focused_coloniser_avoid_oldworld_races_anti_player	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_ENEMY_HUMAN_FORCES
0	aggressive_focused_coloniser_avoid_oldworld_races_anti_player	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_ENEMY_HUMAN_SETTLEMENTS
4	aggressive_focused_overseas_attacker	CAI_TMS_TASK_GENERATOR_ATTACK_ENEMY_PORT_SETTLEMENTS
0	aggressive_focused_overseas_attacker_anti_player	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_ENEMY_HUMAN_FORCES
0	aggressive_focused_overseas_attacker_anti_player	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_ENEMY_HUMAN_SETTLEMENTS
0	aggressive_focused_overseas_attacker_avoid_player	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_ENEMY_HUMAN_FORCES
0	aggressive_focused_overseas_attacker_avoid_player	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_ENEMY_HUMAN_SETTLEMENTS
8	aggressive_no_attack_chaos_anti_player_raider	CAI_TMS_TASK_GENERATOR_CONTINUE_RAID_REGIONS_TO_IMPROVE_MORALE
5	aggressive_no_attack_chaos_anti_player_raider	CAI_TMS_TASK_GENERATOR_RAID_OWN_SETTLEMENT_NEIGHBOURING_ENEMY_REGIONS_TO_IMPROVE_MORALE
8	aggressive_no_attack_chaos_anti_player_raider	CAI_TMS_TASK_GENERATOR_RAID_UNDEFENDED_REGIONS_TO_IMPROVE_MORALE
8	aggressive_no_attack_chaos_avoid_player_raider	CAI_TMS_TASK_GENERATOR_CONTINUE_RAID_REGIONS_TO_IMPROVE_MORALE
5	aggressive_no_attack_chaos_avoid_player_raider	CAI_TMS_TASK_GENERATOR_RAID_OWN_SETTLEMENT_NEIGHBOURING_ENEMY_REGIONS_TO_IMPROVE_MORALE
8	aggressive_no_attack_chaos_avoid_player_raider	CAI_TMS_TASK_GENERATOR_RAID_UNDEFENDED_REGIONS_TO_IMPROVE_MORALE
8	aggressive_no_attack_chaos_raider	CAI_TMS_TASK_GENERATOR_CONTINUE_RAID_REGIONS_TO_IMPROVE_MORALE
5	aggressive_no_attack_chaos_raider	CAI_TMS_TASK_GENERATOR_RAID_OWN_SETTLEMENT_NEIGHBOURING_ENEMY_REGIONS_TO_IMPROVE_MORALE
8	aggressive_no_attack_chaos_raider	CAI_TMS_TASK_GENERATOR_RAID_UNDEFENDED_REGIONS_TO_IMPROVE_MORALE
-2	aggressive_no_target_chaos	CAI_TMS_TASK_GENERATOR_TARGET_CULTURE_CHAOS_ATTACK_AGENTS
-2	aggressive_no_target_chaos	CAI_TMS_TASK_GENERATOR_TARGET_CULTURE_CHAOS_ATTACK_FORCES
-2	aggressive_no_target_chaos	CAI_TMS_TASK_GENERATOR_TARGET_CULTURE_CHAOS_ATTACK_REGIONS
-2	aggressive_no_target_chaos	CAI_TMS_TASK_GENERATOR_TARGET_CULTURE_CHAOS_RAID_REGIONS
0	aggressive_no_target_chaos_anti_player	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_ENEMY_HUMAN_FORCES
0	aggressive_no_target_chaos_anti_player	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_ENEMY_HUMAN_SETTLEMENTS
0.85	aggressive_no_target_chaos_anti_player_recoloniser	CAI_TMS_TASK_GENERATOR_ATTACK_PROVINCES_NEIGHBOURNIG_OWN_PROVINCES_ABANDONED
0.85	aggressive_no_target_chaos_anti_player_recoloniser	CAI_TMS_TASK_GENERATOR_ATTACK_PROVINCES_NEIGHBOURNIG_OWN_REGIONS_ABANDONED
0.85	aggressive_no_target_chaos_anti_player_recoloniser	CAI_TMS_TASK_GENERATOR_ATTACK_REGIONS_NEIGHBOURNIG_OWN_REGIONS_ABANDONED
0	aggressive_no_target_chaos_avoid_player	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_ENEMY_HUMAN_FORCES
0	aggressive_no_target_chaos_avoid_player	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_ENEMY_HUMAN_SETTLEMENTS
0.85	aggressive_no_target_chaos_avoid_player_recoloniser	CAI_TMS_TASK_GENERATOR_ATTACK_PROVINCES_NEIGHBOURNIG_OWN_PROVINCES_ABANDONED
0.85	aggressive_no_target_chaos_avoid_player_recoloniser	CAI_TMS_TASK_GENERATOR_ATTACK_PROVINCES_NEIGHBOURNIG_OWN_REGIONS_ABANDONED
0.85	aggressive_no_target_chaos_avoid_player_recoloniser	CAI_TMS_TASK_GENERATOR_ATTACK_REGIONS_NEIGHBOURNIG_OWN_REGIONS_ABANDONED
0.85	aggressive_no_target_chaos_recoloniser	CAI_TMS_TASK_GENERATOR_ATTACK_PROVINCES_NEIGHBOURNIG_OWN_PROVINCES_ABANDONED
0.85	aggressive_no_target_chaos_recoloniser	CAI_TMS_TASK_GENERATOR_ATTACK_PROVINCES_NEIGHBOURNIG_OWN_REGIONS_ABANDONED
0.85	aggressive_no_target_chaos_recoloniser	CAI_TMS_TASK_GENERATOR_ATTACK_REGIONS_NEIGHBOURNIG_OWN_REGIONS_ABANDONED
-0.2	aggressive_noruins_avoid_oldworld_races	CAI_TMS_TASK_GENERATOR_ATTACK_ABANDONED_UNSUITABLE_CLIMATE_REGIONS
0	aggressive_noruins_avoid_oldworld_races	CAI_TMS_TASK_GENERATOR_ATTACK_LOCAL_FLAGGED_VICTORY_CONDITION_REGIONS
0	aggressive_noruins_avoid_oldworld_races	CAI_TMS_TASK_GENERATOR_ATTACK_PROVINCES_NEIGHBOURNIG_OWN_PROVINCES_ABANDONED
0	aggressive_noruins_avoid_oldworld_races	CAI_TMS_TASK_GENERATOR_ATTACK_PROVINCES_NEIGHBOURNIG_OWN_REGIONS_ABANDONED
0	aggressive_noruins_avoid_oldworld_races	CAI_TMS_TASK_GENERATOR_ATTACK_REGIONS_NEIGHBOURNIG_OWN_REGIONS_ABANDONED
-0.2	aggressive_noruins_avoid_oldworld_races_and_player	CAI_TMS_TASK_GENERATOR_ATTACK_ABANDONED_UNSUITABLE_CLIMATE_REGIONS
0	aggressive_noruins_avoid_oldworld_races_and_player	CAI_TMS_TASK_GENERATOR_ATTACK_LOCAL_FLAGGED_VICTORY_CONDITION_REGIONS
0	aggressive_noruins_avoid_oldworld_races_and_player	CAI_TMS_TASK_GENERATOR_ATTACK_PROVINCES_NEIGHBOURNIG_OWN_PROVINCES_ABANDONED
0	aggressive_noruins_avoid_oldworld_races_and_player	CAI_TMS_TASK_GENERATOR_ATTACK_PROVINCES_NEIGHBOURNIG_OWN_REGIONS_ABANDONED
