campaign_difficulty_handicap_effects_tables
0
campaign_difficulty_handicap	human	effect	effect_scope	effect_value	optional_campaign_key
2	False	wh_main_effect_force_army_campaign_attrition_non_vampire_count_territory	faction_to_force_own	-70	
2	False	wh_main_effect_force_army_campaign_attrition_snow_resistance	faction_to_force_own	-70	
2	False	wh_main_effect_force_army_campaign_attrition_swamp_resistance	faction_to_force_own	-70	
2	False	wh_main_effect_force_army_campaign_recruitment_points	faction_to_faction_own_unseen	3	
2	False	wh_main_effect_force_navy_campaign_attrition_high_seas_resistance	faction_to_force_own	-70	
2	False	wh_main_effect_growth_all	faction_to_province_own	100	
2	False	wh_main_effect_hordebuilding_growth_core	faction_to_force_own	7	
2	False	wh_main_effect_occupation_decision_colonise_cost_zero	faction_to_faction_own	-1	
2	False	wh_main_effect_public_order_difficulty_level	faction_to_province_own	8	
2	False	wh_main_effect_unit_recruitment_points	faction_to_province_own	2	
2	False	wh_main_effect_unit_recruitment_points_naval	faction_to_sea_region_own	2	
3	False	minimum_xp_gain_from_eligible_battle	faction_to_faction_own_unseen	250	
3	False	wh2_main_effect_agent_action_failure_cost_mod	faction_to_character_own_unseen	-50	
3	False	wh2_main_effect_force_army_campaign_attrition_storm_resistance	faction_to_force_own	-80	
3	False	wh2_main_effect_hef_influence_gain	faction_to_faction_own_unseen	7	
3	False	wh2_main_effect_plague_infectivity_mod	faction_to_region_own_unseen	-30	
3	False	wh2_main_effect_plague_lifetime_mod	faction_to_force_own_unseen	-30	
3	False	wh2_main_effect_replenishment_characters	faction_to_force_own	16	
3	False	wh2_main_effect_research_cost_mod	faction_to_faction_own_unseen	-100	
3	False	wh2_main_effect_rite_slave_cost_mod	faction_to_faction_own_unseen	-100	
3	False	wh2_main_effect_ritual_currency_def_add	faction_to_faction_own_unseen	12	wh2_main_great_vortex
3	False	wh2_main_effect_slave_decline_modifier	faction_to_province_own	-60	
3	False	wh2_main_effect_slave_public_order_modifier	faction_to_province_own	-80	
3	False	wh_main_effect_building_construction_cost_mod	faction_to_region_own	-30	
3	False	wh_main_effect_building_trade_route_sea_hidden	faction_to_region_own	500	
3	False	wh_main_effect_conquest_resistance_to_occupation_mod	faction_to_faction_own	70	
3	False	wh_main_effect_economy_tax_mod	faction_to_faction_own	60	
3	False	wh_main_effect_faction_mercenary_levy_can_recruit_from_local_hordes	faction_to_faction_own_unseen	0	
3	False	wh_main_effect_faction_mercenary_levy_units_per_region_mod	faction_to_faction_own_unseen	-1	
3	False	wh_main_effect_force_all_campaign_recruitment_cost_all	faction_to_force_own	-60	
3	False	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_region_own	9	
3	False	wh_main_effect_force_all_campaign_upkeep	faction_to_force_own	-40	
3	False	wh_main_effect_force_army_campaign_attrition_chaos_territory	faction_to_force_own	-80	
3	False	wh_main_effect_force_army_campaign_attrition_desert_resistance	faction_to_force_own	-80	
3	False	wh_main_effect_force_army_campaign_attrition_infighting_immunity	faction_to_force_own	1	
3	False	wh_main_effect_force_army_campaign_attrition_non_vampire_count_territory	faction_to_force_own	-80	
3	False	wh_main_effect_force_army_campaign_attrition_snow_resistance	faction_to_force_own	-80	
3	False	wh_main_effect_force_army_campaign_attrition_swamp_resistance	faction_to_force_own	-80	
3	False	wh_main_effect_force_army_campaign_recruitment_points	faction_to_faction_own_unseen	3	
3	False	wh_main_effect_force_navy_campaign_attrition_high_seas_resistance	faction_to_force_own	-80	
3	False	wh_main_effect_growth_all	faction_to_province_own	125	
3	False	wh_main_effect_hordebuilding_growth_core	faction_to_force_own	9	
3	False	wh_main_effect_occupation_decision_colonise_cost_zero	faction_to_faction_own	-1	
3	False	wh_main_effect_public_order_difficulty_level	faction_to_province_own	10	
3	False	wh_main_effect_unit_recruitment_points	faction_to_province_own	2	
3	False	wh_main_effect_unit_recruitment_points_naval	faction_to_sea_region_own	2	
