building_chains_tables
5
key	unknown1	chain_category	unknown3	building_superchain	optional_tier_icon	unknown6
wh2_main_def_worship		military	False	wh2_main_sch_support2_worship		0
wh2_main_dwf_defence_norsca		military	False	wh2_main_sch_defence_norsca		0
wh2_main_dwf_resource_animals		money	False	wh2_main_sch_resource_animals		10
wh2_main_dwf_resource_medicine		money	False	wh2_main_sch_resource_medicine		10
wh2_main_dwf_resource_obsidian		money	False	wh2_main_sch_resource_obsidian		10
wh2_main_dwf_resource_spices		money	False	wh2_main_sch_resource_spices		10
wh2_main_emp_defence_norsca		military	False	wh2_main_sch_defence_norsca		0
wh2_main_emp_resource_animals		money	False	wh2_main_sch_resource_animals		10
wh2_main_emp_resource_medicine		money	False	wh2_main_sch_resource_medicine		10
wh2_main_emp_resource_obsidian		money	False	wh2_main_sch_resource_obsidian		10
wh2_main_emp_resource_spices		money	False	wh2_main_sch_resource_spices		10
wh2_main_grn_defence_norsca		military	False	wh2_main_sch_defence_norsca		0
wh2_main_grn_raiders		money	False	wh2_main_sch_infrastructure4_energy		5
wh2_main_hef_barracks		military	False	wh2_main_sch_military1_barracks		0
wh2_main_hef_birds		military	False	wh2_main_sch_military4_monsters		3
wh2_main_hef_court		money	False	wh2_main_sch_infrastructure4_energy		4
wh2_main_hef_defence_major		military	False	wh2_main_sch_defence_major_hef		1
wh2_main_hef_defence_minor		military	False	wh2_main_sch_defence_minor		0
wh2_main_hef_defence_norsca		military	False	wh2_main_sch_defence_norsca		0
wh2_main_hef_dragons		military	False	wh2_main_sch_support4_other		4
wh2_main_hef_embassy		money	False	wh2_main_sch_infrastructure5_tradingspying		5
wh2_main_hef_farm		money	False	wh2_main_sch_infrastructure1_farm		0
wh2_main_hef_hunters		military	False	wh2_main_sch_military3_warmachines		3
wh2_main_hef_industry		money	False	wh2_main_sch_infrastructure2_industry		1
wh2_main_hef_mages		military	False	wh2_main_sch_support3_wizards		1
wh2_main_hef_order		money	False	wh2_main_sch_infrastructure3_order		2
wh2_main_hef_outpostnorsca_major		money	True	wh_main_sch_norsca_settlement_major		0
wh2_main_hef_outpostnorsca_major_coast		money	False	wh_main_sch_norsca_settlement_major_coast		0
wh2_main_hef_outpostnorsca_minor		money	True	wh_main_sch_norsca_settlement_minor		0
wh2_main_hef_outpostnorsca_minor_coast		money	False	wh_main_sch_norsca_settlement_minor_coast		0
wh2_main_hef_port		money	False	wh_main_sch_port		0
wh2_main_hef_resource_animals		money	False	wh2_main_sch_resource_animals		10
wh2_main_hef_resource_dyes		money	False	wh_main_sch_human_resource_dyes		10
wh2_main_hef_resource_furs		money	False	wh_main_sch_human_resource_furs		10
wh2_main_hef_resource_gems		money	False	wh2_main_sch_human_resource_gems		10
wh2_main_hef_resource_gold		money	False	wh_main_sch_human_resource_gold		10
wh2_main_hef_resource_iron		money	False	wh_main_sch_human_resource_iron		10
wh2_main_hef_resource_marble		money	False	wh_main_sch_human_resource_marble		10
wh2_main_hef_resource_medicine		money	False	wh2_main_sch_resource_medicine		10
wh2_main_hef_resource_obsidian		money	False	wh2_main_sch_resource_obsidian		10
wh2_main_hef_resource_pasture		money	False	wh_main_sch_human_resource_pastures		10
wh2_main_hef_resource_pottery		money	False	wh_main_sch_human_resource_pottery		10
wh2_main_hef_resource_salt		money	False	wh_main_sch_human_resource_salt		10
wh2_main_hef_resource_spices		money	False	wh2_main_sch_resource_spices		10
wh2_main_hef_resource_wine		money	False	wh_main_sch_human_resource_wine		10
wh2_main_hef_resource_wood		money	False	wh_main_sch_human_resource_timber		10
wh2_main_hef_settlement_major		money	True	wh_main_sch_settlement_major		0
wh2_main_hef_settlement_major_coast		money	False	wh_main_sch_settlement_major_coast		0
wh2_main_hef_settlement_minor		money	True	wh_main_sch_settlement_minor		0
wh2_main_hef_settlement_minor_coast		money	False	wh_main_sch_settlement_minor_coast		0
wh2_main_hef_smith		military	False	wh2_main_sch_support1_smith		0
wh2_main_hef_stables		military	False	wh2_main_sch_military2_stables		1
wh2_main_hef_worship		military	False	wh2_main_sch_support2_worship		2
wh2_main_horde_def_beasts		military	False	wh2_main_sch_horde_def_beasts		2
wh2_main_horde_def_bombardment_a		military	False	wh2_main_sch_horde_def_bombardment_a		1
wh2_main_horde_def_bombardment_b		military	False	wh2_main_sch_horde_def_bombardment_b		2
wh2_main_horde_def_bombardment_c		military	False	wh2_main_sch_horde_def_bombardment_c		3
wh2_main_horde_def_entertainment		military	False	wh2_main_sch_horde_def_entertainment		2
wh2_main_horde_def_military		military	False	wh2_main_sch_horde_def_military		0
wh2_main_horde_def_settlement		money	False	wh2_main_sch_horde_def_settlement		0
wh2_main_horde_def_slavery		military	False	wh2_main_sch_horde_def_slavery		1
wh2_main_horde_def_sorcery		military	False	wh2_main_sch_horde_def_sorcery		3
wh2_main_horde_def_worship		military	False	wh2_main_sch_horde_def_worship		1
wh2_main_horde_rogue_settlement		military	False	wh2_main_sch_horde_rogue_settlement		0
wh2_main_horde_skaven_assassins			False	wh2_main_sch_horde_skaven_assassins		2
wh2_main_horde_skaven_leadership			False	wh2_main_sch_horde_skaven_leadership		0
wh2_main_horde_skaven_monsters			False	wh2_main_sch_horde_skaven_monsters		0
wh2_main_horde_skaven_plagues			False	wh2_main_sch_horde_skaven_plagues		0
wh2_main_horde_skaven_settlement		money	False	wh2_main_sch_horde_skaven_settlement		0
wh2_main_horde_skaven_slaves			False	wh2_main_sch_horde_skaven_slaves		1
wh2_main_horde_skaven_stormvermin			False	wh2_main_sch_horde_skaven_stormvermin		3
wh2_main_horde_skaven_supplies			False	wh2_main_sch_horde_skaven_supplies		0
wh2_main_horde_skaven_warmachines			False	wh2_main_sch_horde_skaven_warmachines		0
wh2_main_horde_skaven_weaponteams		military	False	wh2_main_sch_horde_skaven_weaponteams		0
wh2_main_lzd_beasts		military	False	wh2_main_sch_military4_monsters		3
wh2_main_lzd_coldones		military	False	wh2_main_sch_support1_smith		3
wh2_main_lzd_defence_major		military	False	wh2_main_sch_defence_major_lzd		1
wh2_main_lzd_defence_minor		military	False	wh2_main_sch_defence_minor		0
wh2_main_lzd_defence_norsca		military	False	wh2_main_sch_defence_norsca		0
wh2_main_lzd_energy		money	False	wh2_main_sch_infrastructure6_other		4
wh2_main_lzd_energy_minor		money	False	wh2_main_sch_infrastructure7_minor		5
wh2_main_lzd_farm		money	False	wh2_main_sch_infrastructure1_farm		0
wh2_main_lzd_industry		money	False	wh2_main_sch_infrastructure2_industry		1
wh2_main_lzd_order		money	False	wh2_main_sch_infrastructure3_order		2
wh2_main_lzd_outpostnorsca_major		money	True	wh_main_sch_norsca_settlement_major		0
wh2_main_lzd_outpostnorsca_major_coast		money	False	wh_main_sch_norsca_settlement_major_coast		0
wh2_main_lzd_outpostnorsca_minor		money	True	wh_main_sch_norsca_settlement_minor		0
wh2_main_lzd_outpostnorsca_minor_coast		money	False	wh_main_sch_norsca_settlement_minor_coast		0
wh2_main_lzd_port		money	False	wh_main_sch_port		0
wh2_main_lzd_resource_animals		money	False	wh2_main_sch_resource_animals		10
wh2_main_lzd_resource_dyes		money	False	wh_main_sch_human_resource_dyes		10
wh2_main_lzd_resource_furs		money	False	wh_main_sch_human_resource_furs		10
wh2_main_lzd_resource_gems		money	False	wh2_main_sch_human_resource_gems		10
wh2_main_lzd_resource_gold		money	False	wh_main_sch_human_resource_gold		10
wh2_main_lzd_resource_iron		money	False	wh_main_sch_human_resource_iron		10
wh2_main_lzd_resource_marble		money	False	wh_main_sch_human_resource_marble		10
wh2_main_lzd_resource_medicine		money	False	wh2_main_sch_resource_medicine		10
wh2_main_lzd_resource_obsidian		money	False	wh2_main_sch_resource_obsidian		10
wh2_main_lzd_resource_pasture		money	False	wh_main_sch_human_resource_pastures		10
wh2_main_lzd_resource_pottery		money	False	wh_main_sch_human_resource_pottery		10
wh2_main_lzd_resource_salt		money	False	wh_main_sch_human_resource_salt		10
wh2_main_lzd_resource_spices		money	False	wh2_main_sch_resource_spices		10
wh2_main_lzd_resource_wine		money	False	wh_main_sch_human_resource_wine		10
wh2_main_lzd_resource_wood		money	False	wh_main_sch_human_resource_timber		10
wh2_main_lzd_saurus		military	False	wh2_main_sch_military2_stables		1
wh2_main_lzd_scrying		military	False	wh2_main_sch_vampires_raisedead		3
wh2_main_lzd_settlement_major		money	True	wh_main_sch_settlement_major		0
wh2_main_lzd_settlement_major_coast		money	False	wh_main_sch_settlement_major_coast		0
wh2_main_lzd_settlement_minor		money	True	wh_main_sch_settlement_minor		0
wh2_main_lzd_settlement_minor_coast		money	False	wh_main_sch_settlement_minor_coast		0
wh2_main_lzd_skinks		military	False	wh2_main_sch_military1_barracks		0
wh2_main_lzd_slann		military	False	wh2_main_sch_support4_other		4
wh2_main_lzd_smith		military	False	wh2_main_sch_military5		0
wh2_main_lzd_terradons		military	False	wh2_main_sch_military3_warmachines		2
wh2_main_lzd_worship_oldones		military	False	wh2_main_sch_support2_worship		2
wh2_main_lzd_worship_sotek		military	False	wh2_main_sch_infrastructure5_tradingspying		1
wh2_main_obsolete		military	False	wh2_main_sch_military5		0
wh2_main_ritual_def		military	False	wh2_main_sch_ritual_def		0
wh2_main_ritual_hef		military	False	wh2_main_sch_ritual_hef		0
wh2_main_ritual_lzd		military	False	wh2_main_sch_ritual_lzd		0
wh2_main_ritual_skv		military	False	wh2_main_sch_ritual_skv		0
wh2_main_rogue_outpostnorsca_major		military	False	wh_main_sch_norsca_settlement_major		0
wh2_main_rogue_outpostnorsca_major_coast		military	False	wh_main_sch_norsca_settlement_major_coast		0
wh2_main_rogue_outpostnorsca_minor		military	False	wh_main_sch_norsca_settlement_minor		0
wh2_main_rogue_outpostnorsca_minor_coast		military	False	wh_main_sch_norsca_settlement_minor_coast		0
wh2_main_rogue_port		money	False	wh_main_sch_port		0
wh2_main_rogue_settlement_major		military	False	wh_main_sch_settlement_major		0
wh2_main_rogue_settlement_major_coast		military	False	wh_main_sch_settlement_major_coast		0
wh2_main_rogue_settlement_minor		military	False	wh_main_sch_settlement_minor		0
wh2_main_rogue_settlement_minor_coast		military	False	wh_main_sch_settlement_minor_coast		0
wh2_main_savageorc_defence_norsca		military	False	wh2_main_sch_defence_norsca		0
wh2_main_skv_assassins		military	False	wh2_main_sch_military2_stables		1
wh2_main_skv_clanrats		military	False	wh2_main_sch_military1_barracks		0
wh2_main_skv_defence_major		military	False	wh2_main_sch_defence_major_skv		1
wh2_main_skv_defence_minor		military	False	wh2_main_sch_defence_minor		0
wh2_main_skv_defence_norsca		military	False	wh2_main_sch_defence_norsca		0
wh2_main_skv_energy		money	False	wh2_main_sch_infrastructure6_other		1
wh2_main_skv_engineers		military	False	wh2_main_sch_military3_warmachines		0
wh2_main_skv_farm		money	False	wh2_main_sch_infrastructure1_farm		0
wh2_main_skv_industry		money	False	wh2_main_sch_infrastructure2_industry		2
wh2_main_skv_monsters		military	False	wh2_main_sch_military4_monsters		2
wh2_main_skv_order		money	False	wh2_main_sch_infrastructure3_order		3
wh2_main_skv_outpostnorsca_major		money	False	wh_main_sch_norsca_settlement_major		0
wh2_main_skv_outpostnorsca_major_coast		money	False	wh_main_sch_norsca_settlement_major_coast		0
wh2_main_skv_outpostnorsca_minor		money	False	wh_main_sch_norsca_settlement_minor		0
wh2_main_skv_outpostnorsca_minor_coast		money	False	wh_main_sch_norsca_settlement_minor_coast		0
wh2_main_skv_plagues		military	False	wh2_main_sch_support2_worship		1
wh2_main_skv_port		money	False	wh_main_sch_port		0
wh2_main_skv_resource_animals		money	False	wh2_main_sch_resource_animals		10
wh2_main_skv_resource_dyes		money	False	wh_main_sch_human_resource_dyes		10
wh2_main_skv_resource_furs		money	False	wh_main_sch_human_resource_furs		10
wh2_main_skv_resource_gems		money	False	wh2_main_sch_human_resource_gems		10
wh2_main_skv_resource_gold		money	False	wh_main_sch_human_resource_gold		10
wh2_main_skv_resource_iron		money	False	wh_main_sch_human_resource_iron		10
wh2_main_skv_resource_marble		money	False	wh_main_sch_human_resource_marble		10
wh2_main_skv_resource_medicine		money	False	wh2_main_sch_resource_medicine		10
wh2_main_skv_resource_obsidian		money	False	wh2_main_sch_resource_obsidian		10
wh2_main_skv_resource_pasture		money	False	wh_main_sch_human_resource_pastures		10
wh2_main_skv_resource_pottery		money	False	wh_main_sch_human_resource_pottery		10
wh2_main_skv_resource_salt		money	False	wh_main_sch_human_resource_salt		10
wh2_main_skv_resource_spices		money	False	wh2_main_sch_resource_spices		10
wh2_main_skv_resource_wine		money	False	wh_main_sch_human_resource_wine		10
wh2_main_skv_resource_wood		money	False	wh_main_sch_human_resource_timber		10
wh2_main_skv_settlement_major		money	False	wh_main_sch_settlement_major		0
wh2_main_skv_settlement_major_coast		money	False	wh_main_sch_settlement_major_coast		0
wh2_main_skv_settlement_minor		money	False	wh_main_sch_settlement_minor		0
wh2_main_skv_settlement_minor_coast		money	False	wh_main_sch_settlement_minor_coast		0
wh2_main_skv_weaponteams		military	False	wh2_main_sch_support1_smith		2
wh2_main_special_altar_of_ultimate_darkness		military	False	wh2_main_sch_special_altar_of_ultimate_darkness		0
wh2_main_special_altar_of_ultimate_darkness_vmp		military	False	wh2_main_sch_special_altar_of_ultimate_darkness		0
wh2_main_special_altdorf_castle_reikguard		military	False	wh2_main_sch_special_altdorf_castle_reikguard		0
wh2_main_special_altdorf_imperial_palace		money	False	wh2_main_sch_special_altdorf_imperial_palace		2
wh2_main_special_altdorf_imperial_palace_brt		money	False	wh2_main_sch_special_altdorf_imperial_palace		2
wh2_main_special_altdorf_imperial_palace_vmp		money	False	wh2_main_sch_special_altdorf_imperial_palace		2
wh2_main_special_anlec_citadel_def		military	False	wh2_main_sch_special_anlec_citadel		0
wh2_main_special_anlec_citadel_hef		military	False	wh2_main_sch_special_anlec_citadel		0
wh2_main_special_axlotl_chameleon_shrine		military	False	wh2_main_sch_special_axlotl_chameleon_shrine		0
wh2_main_special_big_fort		military	False	wh2_main_sch_special_big_fort		1
wh2_main_special_blood_keep		military	False	wh2_main_sch_special_blood_keep		1
wh2_main_special_brewery		money	True	wh2_main_sch_special_brewery		0
wh2_main_special_chamber_of_visions		happiness	False	wh2_main_sch_special_chamber_of_visions		0
wh2_main_special_clar_karond_lairs		military	False	wh2_main_sch_special_clar_karond_lairs		0
wh2_main_special_clar_karond_lairs_emp		military	False	wh2_main_sch_special_clar_karond_lairs		0
wh2_main_special_clar_karond_lairs_grn		military	False	wh2_main_sch_special_clar_karond_lairs		0
wh2_main_special_clar_karond_lairs_other		military	False	wh2_main_sch_special_clar_karond_lairs		0
wh2_main_special_clar_karond_lairs_skv		military	False	wh2_main_sch_special_clar_karond_lairs		0
wh2_main_special_clar_karond_lairs_vmp		military	False	wh2_main_sch_special_clar_karond_lairs		0
wh2_main_special_corrupted_spawning_pool		money	False	wh2_main_sch_special_corrupted_spawning_pool		0
wh2_main_special_cothique_palace		military	False	wh2_main_sch_special_cothique_palace		0
wh2_main_special_def_vauls_anvil		military	False	wh2_main_sch_special_def_vauls_anvil		0
wh2_main_special_def_vauls_anvil_hef		military	False	wh2_main_sch_special_def_vauls_anvil		0
wh2_main_special_dorks_rock		military	False	wh2_main_sch_special_dorks_rock		0
wh2_main_special_drakenhof_court		money	False	wh2_main_sch_special_drakenhof_court		1
wh2_main_special_eight_peaks_skv		money	False	wh_dlc06_sch_special_eight_peaks		0
wh2_main_special_ellyrian_stables		military	False	wh2_main_sch_special_ellyrian_stables		0
wh2_main_special_everqueen_court		military	True	wh2_main_sch_special_everqueen_court		0
wh2_main_special_everqueen_court_wef		military	False	wh2_main_sch_special_everqueen_court		0
wh2_main_special_fallen_gates		money	False	wh2_main_sch_special_fallen_gates		0
wh2_main_special_fortress_gate_eagle_chaos		military	False	wh2_main_sch_fortress_gate_eagle		0
wh2_main_special_fortress_gate_eagle_hef		military	False	wh2_main_sch_fortress_gate_eagle		0
wh2_main_special_fortress_gate_eagle_skaven		military	False	wh2_main_sch_fortress_gate_eagle		0
wh2_main_special_fortress_gate_eagle_untainted		military	False	wh2_main_sch_fortress_gate_eagle		0
wh2_main_special_fortress_gate_eagle_vmp		military	False	wh2_main_sch_fortress_gate_eagle		0
wh2_main_special_fortress_gate_eagle_wef		military	False	wh2_main_sch_fortress_gate_eagle		0
wh2_main_special_fortress_gate_griffon_chaos		military	False	wh2_main_sch_fortress_gate_griffon		0
wh2_main_special_fortress_gate_griffon_hef		military	False	wh2_main_sch_fortress_gate_griffon		0
wh2_main_special_fortress_gate_griffon_skaven		military	False	wh2_main_sch_fortress_gate_griffon		0
wh2_main_special_fortress_gate_griffon_untainted		military	False	wh2_main_sch_fortress_gate_griffon		0
wh2_main_special_fortress_gate_griffon_vmp		military	False	wh2_main_sch_fortress_gate_griffon		0
wh2_main_special_fortress_gate_griffon_wef		military	False	wh2_main_sch_fortress_gate_griffon		0
wh2_main_special_fortress_gate_phoenix_chaos		military	False	wh2_main_sch_fortress_gate_phoenix		0
wh2_main_special_fortress_gate_phoenix_hef		military	False	wh2_main_sch_fortress_gate_phoenix		0
wh2_main_special_fortress_gate_phoenix_skaven		military	False	wh2_main_sch_fortress_gate_phoenix		0
wh2_main_special_fortress_gate_phoenix_untainted		military	False	wh2_main_sch_fortress_gate_phoenix		0
wh2_main_special_fortress_gate_phoenix_vmp		military	False	wh2_main_sch_fortress_gate_phoenix		0
wh2_main_special_fortress_gate_phoenix_wef		military	False	wh2_main_sch_fortress_gate_phoenix		0
wh2_main_special_fortress_gate_unicorn_chaos		military	False	wh2_main_sch_fortress_gate_unicorn		0
wh2_main_special_fortress_gate_unicorn_hef		military	False	wh2_main_sch_fortress_gate_unicorn		0
wh2_main_special_fortress_gate_unicorn_skaven		military	False	wh2_main_sch_fortress_gate_unicorn		0
wh2_main_special_fortress_gate_unicorn_untainted		military	False	wh2_main_sch_fortress_gate_unicorn		0
wh2_main_special_fortress_gate_unicorn_vmp		military	False	wh2_main_sch_fortress_gate_unicorn		0
wh2_main_special_fortress_gate_unicorn_wef		military	False	wh2_main_sch_fortress_gate_unicorn		0
wh2_main_special_ghrond_convent_of_sorcery		military	False	wh2_main_sch_special_ghrond_convent_of_sorcery		0
wh2_main_special_ghrond_convent_of_sorcery_emp		military	False	wh2_main_sch_special_ghrond_convent_of_sorcery		0
wh2_main_special_ghrond_convent_of_sorcery_hef		military	False	wh2_main_sch_special_ghrond_convent_of_sorcery		0
wh2_main_special_ghrond_convent_of_sorcery_other		military	False	wh2_main_sch_special_ghrond_convent_of_sorcery		0
wh2_main_special_ghrond_convent_of_sorcery_vmp		military	False	wh2_main_sch_special_ghrond_convent_of_sorcery		0
wh2_main_special_glittering_tower		military	False	wh2_main_sch_special_glittering_tower		0
wh2_main_special_golden_tower_of_the_gods_lzd		military	False	wh2_main_sch_special_golden_tower_of_the_gods		1
wh2_main_special_golden_tower_of_the_gods_other		military	False	wh2_main_sch_special_golden_tower_of_the_gods		1
wh2_main_special_hag_graef_mines		military	False	wh2_main_sch_special_hag_graef_mines		0
wh2_main_special_hag_graef_mines_def		military	False	wh2_main_sch_special_hag_graef_mines		0
wh2_main_special_hall_of_dragons		military	False	wh2_main_sch_special_hall_of_dragons		0
wh2_main_special_har_ganeth_hellebron_palace		military	False	wh2_main_sch_special_har_ganeth_hellebron_palace		0
wh2_main_special_har_ganeth_temple_of_khaine		military	False	wh2_main_sch_special_har_ganeth_temple_of_khaine		0
wh2_main_special_har_ganeth_temple_of_khaine_hef		military	False	wh2_main_sch_special_har_ganeth_temple_of_khaine		0
wh2_main_special_hellpit_pits		money	False	wh2_main_sch_special_hellpit_pits		0
wh2_main_special_hexoatl_incubator		military	False	wh2_main_sch_special_hexoatl_incubator		0
wh2_main_special_hexoatl_stellar_pyramids		happiness	False	wh2_main_sch_special_hexoatl_stellar_pyramids		0
wh2_main_special_hexoatl_stellar_pyramids_other		happiness	False	wh2_main_sch_special_hexoatl_stellar_pyramids		0
wh2_main_special_itza_emerald_pools		happiness	False	wh2_main_sch_special_itza_emerald_pools		0
wh2_main_special_itza_vaults_of_the_old_ones		military	False	wh2_main_sch_special_itza_vaults_of_the_old_ones		0
wh2_main_special_karaz_a_karak_airport		military	False	wh2_main_sch_karaz_a_karak_airport		0
wh2_main_special_karond_kar_slavers		military	False	wh2_main_sch_special_karond_kar_slavers		0
wh2_main_special_lothern_port		military	False	wh2_main_sch_special_lothern_port		0
wh2_main_special_lothern_port_other		military	False	wh2_main_sch_special_lothern_port		0
wh2_main_special_mors_hq		money	False	wh2_main_sch_special_mors_hq		0
wh2_main_special_mousillon_merovech		money	False	wh2_main_sch_special_mousillon_merovech		0
wh2_main_special_naggarond_blackguard		military	False	wh2_main_sch_special_naggarond_black_guard		1
wh2_main_special_naggarond_witch_king		military	False	wh2_main_sch_special_naggarond_witch_king		2
wh2_main_special_naggarond_witch_king_hef		military	False	wh2_main_sch_special_naggarond_witch_king		2
wh2_main_special_oyxl_shrine_of_birds		military	False	wh2_main_sch_special_oyxl_shrine_of_birds		0
wh2_main_special_phoenix_king_court		military	False	wh2_main_sch_special_phoenix_king_court		0
wh2_main_special_pyramid_of_nagash_other		money	False	wh2_main_sch_special_pyramid_of_nagash		0
wh2_main_special_pyramid_of_nagash_vmp		money	False	wh2_main_sch_special_pyramid_of_nagash		0
wh2_main_special_quetza_serpent_lairs		military	False	wh2_main_sch_special_quetza_serpent_lairs		0
wh2_main_special_quintex		military	False	wh2_main_sch_special_quintex		0
wh2_main_special_settlement_altdorf_def		money	False	wh_main_sch_special_settlement_altdorf		0
wh2_main_special_settlement_altdorf_dwf		money	False	wh_main_sch_special_settlement_altdorf		0
wh2_main_special_settlement_altdorf_grn		money	False	wh_main_sch_special_settlement_altdorf		0
wh2_main_special_settlement_altdorf_hef		money	False	wh_main_sch_special_settlement_altdorf		0
wh2_main_special_settlement_altdorf_lzd		money	False	wh_main_sch_special_settlement_altdorf		0
wh2_main_special_settlement_altdorf_norsca		money	False	wh_main_sch_special_settlement_altdorf		0
wh2_main_special_settlement_altdorf_other		money	False	wh_main_sch_special_settlement_altdorf		0
wh2_main_special_settlement_altdorf_savage		money	False	wh_main_sch_special_settlement_altdorf		0
wh2_main_special_settlement_altdorf_skv		money	False	wh_main_sch_special_settlement_altdorf		0
wh2_main_special_settlement_athel_loren_brt		money	False	wh_dlc05_sch_wef_settlement_major_main		0
wh2_main_special_settlement_athel_loren_def		money	False	wh_dlc05_sch_wef_settlement_major_main		0
wh2_main_special_settlement_athel_loren_dwf		money	False	wh_dlc05_sch_wef_settlement_major_main		0
