faction_uniform_colours_tables
1
faction_name	primary_colour_r	primary_colour_g	primary_colour_b	secondary_colour_r	secondary_colour_g	secondary_colour_b	tertiary_colour_r	tertiary_colour_g	tertiary_colour_b
wh2_main_hef_nagarythe	82	82	82	150	25	25	7	1	1
wh2_main_hef_order_of_loremasters	193	72	48	225	221	101	9	1	1
wh2_main_hef_saphery	38	50	123	200	37	37	1	1	1
wh2_main_hef_tiranoc	211	206	58	58	110	187	12	1	1
wh2_main_hef_tor_elasor	50	50	50	209	203	41	13	1	1
wh2_main_hef_yvresse	117	164	221	127	127	127	14	1	1
wh2_main_lzd_hexoatl	201	183	29	173	38	38	130	128	124
wh2_main_lzd_itza	206	195	12	220	220	220	99	99	92
wh2_main_lzd_last_defenders	50	50	50	209	122	52	117	136	141
wh2_main_lzd_lizardmen	201	183	29	173	38	38	138	134	125
wh2_main_lzd_lizardmen_intervention	195	53	9	242	242	242	128	128	128
wh2_main_lzd_lizardmen_qb1	195	53	9	242	242	242	128	128	128
wh2_main_lzd_lizardmen_qb2	195	53	9	242	242	242	128	128	128
wh2_main_lzd_lizardmen_qb3	195	53	9	242	242	242	128	128	128
wh2_main_lzd_lizardmen_qb4	195	53	9	242	242	242	128	128	128
wh2_main_lzd_lizardmen_rebels	195	53	9	242	242	242	128	128	128
wh2_main_lzd_sentinels_of_xeti	119	45	182	220	220	220	77	56	84
wh2_main_lzd_southern_sentinels	51	101	67	170	27	23	120	126	100
wh2_main_lzd_teotiqua	134	173	205	50	50	50	64	85	90
wh2_main_lzd_tlaqua	196	103	5	119	39	14	159	110	110
wh2_main_lzd_tlaxtlan	50	50	50	220	220	220	116	117	150
wh2_main_lzd_xlanhuapec	142	209	215	90	90	90	45	78	78
wh2_main_lzd_zlatan	209	182	4	50	50	50	113	118	156
wh2_main_nor_aghol	130	89	18	138	122	94	128	128	128
wh2_main_nor_hung_incursion_def	119	91	114	128	128	128	128	128	128
wh2_main_nor_hung_incursion_hef	76	81	128	98	96	90	128	128	128
wh2_main_nor_hung_incursion_lzd	70	111	110	100	119	106	128	128	128
wh2_main_nor_hung_incursion_skv	147	136	113	124	103	58	128	128	128
wh2_main_nor_mung	93	114	68	177	169	142	128	128	128
wh2_main_nor_skeggi	150	150	45	128	128	128	128	128	128
wh2_main_rogue_abominations	38	38	38	221	221	221	128	1	1
wh2_main_rogue_beastcatchas	38	38	38	221	221	221	128	1	1
wh2_main_rogue_bernhoffs_brigands	38	38	38	221	221	221	128	1	1
wh2_main_rogue_black_spider_tribe	38	38	38	221	221	221	128	1	1
wh2_main_rogue_boneclubbers_tribe	38	38	38	221	221	221	128	1	1
wh2_main_rogue_celestial_storm	38	38	38	221	221	221	128	1	1
wh2_main_rogue_college_of_pyrotechnics	38	38	38	221	221	221	128	1	1
wh2_main_rogue_def_chs_vashnaar	75	75	75	221	221	221	128	128	128
wh2_main_rogue_def_mengils_manflayers	38	38	38	221	221	221	128	1	1
wh2_main_rogue_doomseekers	38	38	38	221	221	221	128	1	1
wh2_main_rogue_gerhardts_mercenaries	38	38	38	221	221	221	128	1	1
wh2_main_rogue_hef_tor_elithis	197	139	27	72	153	205	1	1	1
wh2_main_rogue_hung_warband	38	38	38	221	221	221	128	1	1
wh2_main_rogue_jerrods_errantry	38	38	38	221	221	221	128	1	1
wh2_main_rogue_mangy_houndz	38	38	38	221	221	221	128	1	1
wh2_main_rogue_morrsliebs_howlers	38	38	38	221	221	221	128	1	1
wh2_main_rogue_pirates_of_the_far_sea	38	38	38	221	221	221	128	1	1
wh2_main_rogue_pirates_of_the_southern_ocean	38	38	38	221	221	221	128	1	1
wh2_main_rogue_pirates_of_trantio	38	38	38	221	221	221	128	1	1
wh2_main_rogue_scions_of_tesseninck	38	38	38	221	221	221	128	1	1
wh2_main_rogue_scourge_of_aquitaine	38	38	38	221	221	221	128	1	1
wh2_main_rogue_stuff_snatchers	38	38	38	221	221	221	128	1	1
wh2_main_rogue_teef_snatchaz	38	38	38	221	221	221	128	1	1
wh2_main_rogue_the_wandering_dead	38	38	38	221	221	221	128	1	1
wh2_main_rogue_troll_skullz	38	38	38	221	221	221	128	1	1
wh2_main_rogue_vauls_expedition	38	38	38	221	221	221	128	1	1
wh2_main_rogue_vmp_heirs_of_mourkain	38	38	38	221	221	221	128	1	1
wh2_main_rogue_wef_hunters_of_kurnous	38	38	38	221	221	221	128	1	1
wh2_main_rogue_worldroot_rangers	38	38	38	221	221	221	128	1	1
wh2_main_rogue_wrath_of_nature	38	38	38	221	221	221	128	1	1
wh2_main_skv_clan_eshin	50	50	50	217	217	217	100	100	100
wh2_main_skv_clan_gnaw	112	70	20	107	53	18	152	147	141
wh2_main_skv_clan_mordkin	69	53	39	32	58	31	206	206	206
wh2_main_skv_clan_mors	98	22	22	50	50	50	128	128	128
wh2_main_skv_clan_mors_separatists	192	1	1	64	64	64	128	128	128
wh2_main_skv_clan_moulder	152	133	106	98	22	22	166	152	138
wh2_main_skv_clan_pestilens	45	58	21	105	115	39	134	146	113
wh2_main_skv_clan_pestilens_separatists	137	174	44	168	1	1	134	146	113
wh2_main_skv_clan_septik	152	133	106	105	115	39	111	127	101
wh2_main_skv_clan_skyre	71	129	59	30	101	57	137	130	122
wh2_main_skv_clan_spittel	47	62	98	101	140	33	125	120	90
wh2_main_skv_grey_seer_clan	135	31	31	213	210	191	176	176	176
wh2_main_skv_skaven	98	22	22	50	50	50	128	128	128
wh2_main_skv_skaven_intervention	1	1	1	1	1	1	128	128	128
wh2_main_skv_skaven_qb1	192	1	1	64	64	64	128	128	128
wh2_main_skv_skaven_qb2	192	1	1	64	64	64	128	128	128
wh2_main_skv_skaven_qb3	192	1	1	64	64	64	128	128	128
wh2_main_skv_skaven_qb4	192	1	1	64	64	64	128	128	128
wh2_main_skv_skaven_rebels	152	133	106	50	50	50	128	128	128
wh2_main_skv_unknown_clan_def	148	105	176	152	133	106	128	128	128
wh2_main_skv_unknown_clan_hef	105	113	176	152	133	106	128	128	128
wh2_main_skv_unknown_clan_lzd	105	176	167	152	133	106	128	128	128
wh2_main_skv_unknown_clan_skv	133	176	105	152	133	106	128	128	128
wh2_main_vmp_necrarch_brotherhood	94	77	128	118	103	73	128	128	128
wh2_main_vmp_strygos_empire	51	42	106	96	96	96	128	128	128
wh2_main_vmp_the_silver_host	170	170	170	118	57	47	128	128	128
wh2_main_vmp_vampire_coast	35	75	120	114	128	93	128	128	128
wh2_main_wef_bowmen_of_oreon	237	229	223	83	128	84	128	128	128
wh_dlc03_brt_bretonnia_qb1	62	77	151	167	50	50	1	1	1
wh_dlc03_brt_bretonnia_qb2	62	77	151	167	50	50	1	1	1
wh_dlc03_brt_bretonnia_qb3	62	77	151	167	50	50	1	1	1
wh_dlc03_bst_beastmen	195	21	21	206	158	123	255	255	255
wh_dlc03_bst_beastmen_ally	195	21	21	206	158	123	255	255	255
wh_dlc03_bst_beastmen_brayherd	195	21	21	206	158	123	255	255	255
wh_dlc03_bst_beastmen_chaos	195	21	21	206	158	123	255	255	255
wh_dlc03_bst_beastmen_chaos_brayherd	195	21	21	206	158	123	255	255	255
wh_dlc03_bst_beastmen_qb1	112	99	124	190	172	163	255	255	255
wh_dlc03_bst_beastmen_qb2	112	99	124	190	172	163	255	255	255
wh_dlc03_bst_beastmen_qb3	112	99	124	190	172	163	255	255	255
wh_dlc03_bst_beastmen_rebels	227	182	0	30	26	120	255	255	255
wh_dlc03_bst_beastmen_rebels_brayherd	227	182	1	30	26	120	255	255	255
wh_dlc03_bst_jagged_horn	38	90	125	241	201	55	255	255	255
wh_dlc03_bst_jagged_horn_brayherd	38	90	125	241	201	55	255	255	255
wh_dlc03_bst_mini_beastmen_rebels	227	182	0	30	26	120	255	255	255
wh_dlc03_bst_mini_beastmen_rebels_brayherd	227	182	0	30	26	120	255	255	255
wh_dlc03_bst_mini_jagged_horn	38	90	125	241	201	55	255	255	255
wh_dlc03_bst_mini_jagged_horn_brayherd	38	90	125	241	201	55	255	255	255
wh_dlc03_bst_mini_khazrak_herd	195	21	21	206	158	123	255	255	255
wh_dlc03_bst_mini_khazrak_herd_brayherd	195	21	21	206	158	123	255	255	255
wh_dlc03_bst_mini_redhorn	76	120	96	226	123	20	255	255	255
wh_dlc03_bst_mini_redhorn_brayherd	76	120	96	226	123	20	255	255	255
wh_dlc03_bst_mini_ripper_horn	112	99	124	190	172	163	255	255	255
wh_dlc03_bst_mini_ripper_horn_brayherd	112	99	124	190	172	163	255	255	255
wh_dlc03_bst_mini_shadowgor	26	27	27	113	113	113	255	255	255
wh_dlc03_bst_mini_shadowgor_brayherd	26	27	27	113	113	113	255	255	255
wh_dlc03_bst_mini_skrinderkin	225	135	0	211	211	119	255	255	255
wh_dlc03_bst_mini_skrinderkin_brayherd	225	135	0	211	211	119	255	255	255
wh_dlc03_bst_redhorn	76	120	96	226	123	20	255	255	255
wh_dlc03_bst_redhorn_brayherd	76	120	96	226	123	20	255	255	255
wh_dlc03_emp_carroburg	146	38	38	230	225	225	1	1	1
wh_dlc03_emp_cult_of_ulric	155	175	220	230	225	225	1	1	1
wh_dlc03_emp_empire_qb1	243	243	243	119	50	50	1	1	1
wh_dlc03_emp_empire_qb2	243	243	243	119	50	50	1	1	1
wh_dlc03_emp_empire_qb3	243	243	243	119	50	50	1	1	1
wh_dlc03_emp_empire_qb4	243	243	243	119	50	50	1	1	1
wh_dlc03_emp_empire_rebels	56	56	56	188	188	188	1	1	1
wh_dlc03_emp_hochland	67	111	60	188	50	50	1	1	1
wh_dlc03_emp_marienburg	50	73	153	235	218	75	1	1	1
wh_dlc03_emp_marienburg_rebels	150	106	148	243	243	212	1	1	1
wh_dlc03_emp_middenland	50	73	159	139	160	236	1	1	1
wh_dlc03_emp_middenland_qb1	50	50	118	206	201	186	1	1	1
wh_dlc03_emp_middenland_qb2	50	50	118	206	201	186	1	1	1
wh_dlc03_emp_wissenland_qb1	187	187	187	188	50	50	1	1	1
wh_dlc03_emp_wissenland_qb2	187	187	187	188	50	50	1	1	1
wh_dlc03_emp_wissenland_qb3	187	187	187	188	50	50	1	1	1
wh_dlc03_emp_wissenland_qb4	187	187	187	188	50	50	1	1	1
wh_dlc03_grn_black_pit	26	27	27	190	151	40	255	255	255
wh_dlc03_grn_black_pit_waaagh	26	27	27	190	151	40	255	255	255
wh_dlc03_grn_gloomy_woods	79	88	28	230	225	225	255	255	255
wh_dlc03_grn_gloomy_woods_waaagh	79	88	28	230	225	225	255	255	255
wh_dlc03_grn_greenskin_rebels	240	234	50	182	182	182	255	255	255
wh_dlc03_grn_greenskin_rebels_waaagh	240	234	50	182	182	182	255	255	255
wh_dlc05_brt_mini_aquitaine	220	176	48	47	90	155	220	176	48
wh_dlc05_brt_mini_bastonne	229	213	50	188	65	83	229	213	50
wh_dlc05_brt_mini_bordeleaux	73	87	154	218	184	108	73	87	154
wh_dlc05_brt_mini_bretonnia_rebels	78	81	171	226	206	102	78	81	171
wh_dlc05_brt_mini_brionne	248	244	228	50	50	50	248	244	228
wh_dlc05_brt_mini_carcassonne	91	155	213	196	82	12	230	213	85
wh_dlc05_brt_mini_gisoreux	50	50	50	241	239	183	162	42	50
wh_dlc05_brt_mini_montfort	50	50	50	241	239	183	50	50	50
wh_dlc05_brt_mini_parravon	50	50	50	229	206	111	50	50	50
wh_dlc05_brt_mini_quenelles	28	73	150	241	239	183	28	73	150
wh_dlc05_bst_mini_beastmen_rebels	227	182	0	30	26	120	255	255	255
wh_dlc05_bst_mini_beastmen_rebels_brayherd	227	182	0	30	26	120	255	255	255
wh_dlc05_bst_mini_morghur_herd	130	0	41	255	255	255	255	255	255
wh_dlc05_bst_mini_morghur_herd_brayherd	130	0	41	255	255	255	255	255	255
wh_dlc05_dwf_mini_karak_ziflin	158	93	66	228	180	9	255	255	255
wh_dlc05_grn_mini_deff_grindaz	255	255	255	255	255	255	255	255	255
wh_dlc05_grn_mini_deff_grindaz_waaagh	255	255	255	255	255	255	255	255	255
wh_dlc05_grn_mini_greenskin_rebels	240	234	50	182	182	182	255	255	255
wh_dlc05_grn_mini_greenskin_rebels_waaagh	240	234	50	182	182	182	255	255	255
wh_dlc05_grn_mini_skullsmasherz	243	243	243	176	52	52	255	255	255
wh_dlc05_grn_mini_skullsmasherz_waaagh	243	243	243	176	52	52	255	255	255
wh_dlc05_vmp_mousillon	132	126	56	75	75	75	237	220	102
wh_dlc05_wef_argwylon	130	230	63	54	83	53	255	255	255
wh_dlc05_wef_mini_anmyr	66	116	78	150	49	49	255	255	255
wh_dlc05_wef_mini_argwylon	130	230	63	54	83	53	255	255	255
wh_dlc05_wef_mini_arranoc	58	120	60	182	179	76	255	255	255
wh_dlc05_wef_mini_atylwyth	198	253	255	54	69	81	255	255	255
wh_dlc05_wef_mini_cavaroc	74	177	83	217	217	217	255	255	255
wh_dlc05_wef_mini_cythral	185	235	197	42	72	44	255	255	255
wh_dlc05_wef_mini_fyr_darric	221	157	157	106	47	55	255	255	255
wh_dlc05_wef_mini_modryn	60	70	76	170	190	198	255	255	255
wh_dlc05_wef_mini_tirsyth	248	184	74	161	61	52	255	255	255
wh_dlc05_wef_mini_torgovann	255	239	179	144	94	58	255	255	255
wh_dlc05_wef_mini_wood_elves	55	130	80	219	220	189	255	255	255
wh_dlc05_wef_mini_wydrioth	255	246	210	90	167	128	255	255	255
wh_dlc05_wef_torgovann	255	239	179	144	94	58	255	255	255
wh_dlc05_wef_wood_elves	55	130	80	219	220	189	255	255	255
wh_dlc05_wef_wood_elves_qb1	190	114	51	203	204	191	255	255	255
wh_dlc05_wef_wood_elves_qb2	190	114	51	203	204	191	255	255	255
wh_dlc05_wef_wood_elves_qb3	255	239	179	144	94	58	255	255	255
wh_dlc05_wef_wood_elves_rebels	190	114	51	203	204	191	255	255	255
wh_dlc05_wef_wydrioth	255	246	210	90	167	128	255	255	255
wh_main_brt_artois	164	69	50	225	216	200	1	1	1
wh_main_brt_bastonne	229	213	50	188	65	83	1	1	1
wh_main_brt_bordeleaux	73	87	154	218	184	108	1	1	1
wh_main_brt_bretonnia	62	77	151	167	50	50	1	1	1
wh_main_brt_bretonnia_qb1	248	244	228	50	50	50	248	244	228
wh_main_brt_bretonnia_qb2	248	244	228	50	50	50	248	244	228
wh_main_brt_bretonnia_qb3	248	244	228	50	50	50	248	244	228
wh_main_brt_bretonnia_rebels	78	81	171	226	206	102	1	1	1
wh_main_brt_carcassonne	91	155	213	196	82	12	230	213	85
wh_main_brt_lyonesse	197	191	150	162	87	87	1	1	1
wh_main_brt_parravon	50	50	50	229	206	111	1	1	1
wh_main_chs_chaos	146	50	50	92	67	50	128	128	128
wh_main_chs_chaos_qb1	119	127	90	162	140	112	128	128	128
wh_main_chs_chaos_qb2	119	127	90	162	140	112	128	128	128
wh_main_chs_chaos_qb3	119	127	90	162	140	112	128	128	128
wh_main_chs_chaos_rebels	119	127	90	162	140	112	128	128	128
wh_main_chs_chaos_separatists	193	155	44	102	102	96	128	128	128
wh_main_dwf_barak_varr	97	50	120	125	105	68	1	1	1
wh_main_dwf_dwarf_rebels	169	50	50	164	143	50	1	1	1
wh_main_dwf_dwarfs	50	136	205	125	105	68	1	1	1
wh_main_dwf_dwarfs_qb1	169	50	50	164	143	50	1	1	1
wh_main_dwf_dwarfs_qb2	169	50	50	164	143	50	1	1	1
wh_main_dwf_dwarfs_qb3	169	50	50	164	143	50	1	1	1
wh_main_dwf_dwarfs_qb4	169	50	50	164	143	50	1	1	1
wh_main_dwf_dwarfs_seperatists_qb1	206	206	206	50	50	50	1	1	1
wh_main_dwf_dwarfs_seperatists_qb2	206	206	206	50	50	50	1	1	1
wh_main_dwf_dwarfs_seperatists_qb3	206	206	206	50	50	50	1	1	1
wh_main_dwf_dwarfs_seperatists_qb4	206	206	206	50	50	50	1	1	1
wh_main_dwf_karak_azul	50	90	107	164	143	50	1	1	1
wh_main_dwf_karak_hirn	159	161	50	140	140	140	1	1	1
wh_main_dwf_karak_izor	33	54	184	184	62	33	1	1	1
wh_main_dwf_karak_kadrin	157	50	50	140	140	140	1	1	1
wh_main_dwf_karak_norn	186	56	50	50	50	50	1	1	1
wh_main_dwf_karak_ziflin	158	93	66	140	140	140	1	1	1
wh_main_dwf_kraka_drak	50	167	148	140	140	140	1	1	1
wh_main_dwf_zhufbar	50	158	167	164	143	50	1	1	1
wh_main_emp_averland	209	191	50	56	56	56	1	1	1
wh_main_emp_empire	243	243	243	119	50	50	1	1	1
wh_main_emp_empire_qb1	56	56	56	188	188	188	1	1	1
wh_main_emp_empire_qb2	56	56	56	188	188	188	1	1	1
wh_main_emp_empire_qb3	56	56	56	188	188	188	1	1	1
wh_main_emp_empire_qb4	56	56	56	188	188	188	1	1	1
wh_main_emp_empire_qb_intro	125	50	50	50	73	140	188	188	188
wh_main_emp_empire_rebels	56	56	56	188	188	188	1	1	1
wh_main_emp_empire_rebels_qb1	56	56	56	188	188	188	1	1	1
wh_main_emp_empire_separatists	50	111	188	243	243	212	1	1	1
wh_main_emp_hochland	67	111	60	188	50	50	1	1	1
wh_main_emp_marienburg	50	73	153	235	218	75	1	1	1
wh_main_emp_marienburg_rebels	150	106	148	243	243	212	1	1	1
wh_main_emp_middenland	50	73	159	139	160	236	1	1	1
wh_main_emp_nordland	78	146	230	225	225	99	1	1	1
wh_main_emp_ostermark	159	59	104	243	243	212	1	1	1
wh_main_emp_ostland	56	56	56	243	243	243	1	1	1
wh_main_emp_stirland	143	157	92	206	195	96	1	1	1
wh_main_emp_talabecland	177	50	50	235	218	75	1	1	1
wh_main_emp_wissenland	187	187	187	188	50	50	1	1	1
wh_main_grn_black_venom	100	50	50	115	120	89	255	255	255
wh_main_grn_black_venom_waaagh	100	50	50	115	120	89	255	255	255
wh_main_grn_bloody_spearz	176	52	52	58	76	51	255	255	255
wh_main_grn_bloody_spearz_waaagh	176	52	52	58	76	51	255	255	255
wh_main_grn_broken_nose	195	173	103	172	52	52	255	255	255
wh_main_grn_broken_nose_waaagh	195	173	103	172	52	52	255	255	255
wh_main_grn_crooked_moon	74	66	134	183	153	56	255	255	255
wh_main_grn_crooked_moon_waaagh	74	66	134	183	153	56	255	255	255
wh_main_grn_greenskins	110	50	50	128	100	63	255	255	255
wh_main_grn_greenskins_qb1	195	178	50	101	101	101	255	255	255
wh_main_grn_greenskins_qb2	195	178	50	101	101	101	255	255	255
wh_main_grn_greenskins_qb3	195	178	50	101	101	101	255	255	255
wh_main_grn_greenskins_qb4	195	178	50	101	101	101	255	255	255
wh_main_grn_greenskins_rebels	195	178	50	101	101	101	255	255	255
wh_main_grn_greenskins_rebels_waaagh	195	178	50	101	101	101	255	255	255
wh_main_grn_greenskins_waaagh	110	50	50	128	100	63	255	255	255
wh_main_grn_necksnappers	69	75	151	121	50	50	255	255	255
wh_main_grn_necksnappers_waaagh	69	75	151	121	50	50	255	255	255
wh_main_grn_orcs_of_the_bloody_hand	83	68	68	110	50	50	255	255	255
wh_main_grn_orcs_of_the_bloody_hand_waaagh	83	68	68	110	50	50	255	255	255
wh_main_grn_red_eye	174	172	50	138	52	52	255	255	255
wh_main_grn_red_eye_waaagh	174	172	50	138	52	52	255	255	255
wh_main_grn_red_fangs	78	60	102	128	73	58	255	255	255
wh_main_grn_red_fangs_waaagh	78	60	102	128	73	58	255	255	255
wh_main_grn_scabby_eye	164	62	50	102	94	77	255	255	255
wh_main_grn_scabby_eye_waaagh	164	62	50	102	94	77	255	255	255
wh_main_grn_skull-takerz	88	96	82	59	55	138	255	255	255
wh_main_grn_skull-takerz_waaagh	88	96	82	59	55	138	255	255	255
wh_main_grn_skullsmasherz	141	138	129	110	50	50	255	255	255
wh_main_grn_skullsmasherz_waaagh	141	138	129	110	50	50	255	255	255
wh_main_grn_teef_snatchaz	50	116	160	100	89	72	255	255	255
wh_main_grn_teef_snatchaz_waaagh	50	116	160	100	89	72	255	255	255
wh_main_grn_top_knotz	74	66	134	195	195	195	255	255	255
wh_main_grn_top_knotz_waaagh	74	66	134	195	195	195	255	255	255
wh_main_ksl_kislev	110	53	61	100	65	65	1	1	1
wh_main_ksl_kislev_rebels	215	215	197	100	65	65	1	1	1
wh_main_nor_aesling	100	65	65	102	91	57	1	1	1
wh_main_nor_baersonling	102	91	57	102	91	57	1	1	1
wh_main_nor_bjornling	104	76	86	102	91	57	1	1	1
wh_main_nor_graeling	67	113	98	102	91	57	1	1	1
wh_main_nor_norsca_qb1	136	182	210	102	91	57	1	1	1
wh_main_nor_norsca_qb2	136	182	210	102	91	57	1	1	1
wh_main_nor_norsca_qb3	136	182	210	102	91	57	1	1	1
wh_main_nor_norsca_rebels	136	182	210	102	91	57	1	1	1
wh_main_nor_sarl	117	134	139	102	91	57	1	1	1
wh_main_nor_skaeling	63	63	96	102	91	57	1	1	1
wh_main_nor_varg	145	161	88	102	91	57	1	1	1
wh_main_teb_border_princes	186	159	50	78	78	72	1	1	1
wh_main_teb_border_princes_rebels	163	60	50	155	155	155	1	1	1
wh_main_teb_estalia	242	196	86	120	50	50	1	1	1
wh_main_teb_estalia_rebels	110	53	61	155	155	155	1	1	1
wh_main_teb_tilea	55	71	99	155	155	155	1	1	1
wh_main_teb_tilea_rebels	163	60	50	155	155	155	1	1	1
wh_main_vmp_mousillon	132	126	56	75	75	75	1	1	1
wh_main_vmp_rival_sylvanian_vamps	103	50	77	106	76	52	1	1	1
wh_main_vmp_schwartzhafen	141	59	59	75	75	75	1	1	1
wh_main_vmp_vampire_counts	134	53	53	75	75	75	1	1	1
wh_main_vmp_vampire_counts_qb1	128	101	92	106	76	52	1	1	1
wh_main_vmp_vampire_counts_qb2	128	101	92	106	76	52	1	1	1
wh_main_vmp_vampire_counts_qb3	128	101	92	106	76	52	1	1	1
wh_main_vmp_vampire_rebels	128	101	92	106	76	52	1	1	1
