cai_personality_occupation_decision_priorities_tables
2
unknown1	unknown2	unknown3	unknown4	unknown5	unknown6	unknown0
10	occupation_decision_vassal	10	10	10	10	looter_uncapturable
1	occupation_decision_colonise	1	1	1	1	looter
0	occupation_decision_do_nothing	0	0	0	0	looter
1	occupation_decision_gift_to_another_faction	1	1	1	1	looter
1	occupation_decision_liberate	1	1	1	1	looter
200	occupation_decision_loot	200	200	200	200	looter
200	occupation_decision_occupy	200	200	200	200	looter
0	occupation_decision_raze	0	0	0	0	looter
3	occupation_decision_raze_without_occupy	3	3	3	3	looter
0	occupation_decision_resettle	0	0	0	0	looter
15	occupation_decision_sack	15	15	15	15	looter
0	occupation_decision_treasure_hunt	0	0	0	0	looter
1	occupation_decision_vassal	1	1	1	1	looter
0	occupation_decision_colonise	0	0	0	0	noraze_uncapturable
0	occupation_decision_do_nothing	0	0	0	0	noraze_uncapturable
1	occupation_decision_gift_to_another_faction	1	1	1	1	noraze_uncapturable
1	occupation_decision_liberate	1	1	1	1	noraze_uncapturable
0	occupation_decision_loot	0	0	0	0	noraze_uncapturable
10	occupation_decision_occupy	10	10	10	10	noraze_uncapturable
0	occupation_decision_raze	0	0	0	0	noraze_uncapturable
1	occupation_decision_raze_without_occupy	1	1	1	1	noraze_uncapturable
0	occupation_decision_resettle	0	0	0	0	noraze_uncapturable
100	occupation_decision_sack	100	100	100	100	noraze_uncapturable
0	occupation_decision_treasure_hunt	0	0	0	0	noraze_uncapturable
25	occupation_decision_vassal	25	25	25	25	noraze_uncapturable
0	occupation_decision_colonise	0	0	0	0	noraze
0	occupation_decision_do_nothing	0	0	0	0	noraze
1	occupation_decision_gift_to_another_faction	1	1	1	1	noraze
1	occupation_decision_liberate	1	1	1	1	noraze
0	occupation_decision_loot	0	0	0	0	noraze
600	occupation_decision_occupy	600	600	600	600	noraze
0	occupation_decision_raze	0	0	0	0	noraze
1	occupation_decision_raze_without_occupy	1	1	1	1	noraze
0	occupation_decision_resettle	0	0	0	0	noraze
100	occupation_decision_sack	100	100	100	100	noraze
0	occupation_decision_treasure_hunt	0	0	0	0	noraze
1	occupation_decision_vassal	1	1	1	1	noraze
