building_upgrades_junction_tables
0
from	to
wh2_main_def_settlement_major_1_coast	wh2_main_def_settlement_major_2_coast
wh2_main_def_settlement_major_1	wh2_main_def_settlement_major_2
wh2_main_def_settlement_major_2_coast	wh2_main_def_settlement_major_3_coast
wh2_main_def_settlement_major_2	wh2_main_def_settlement_major_3
wh2_main_def_settlement_major_3_coast	wh2_main_def_settlement_major_4_coast
wh2_main_def_settlement_major_3	wh2_main_def_settlement_major_4
wh2_main_def_settlement_major_4_coast	wh2_main_def_settlement_major_5_coast
wh2_main_def_settlement_major_4	wh2_main_def_settlement_major_5
wh2_main_def_settlement_major_ruin_coast	wh2_main_def_settlement_major_1_coast
wh2_main_def_settlement_major_ruin	wh2_main_def_settlement_major_1
wh2_main_def_settlement_minor_1_coast	wh2_main_def_settlement_minor_2_coast
wh2_main_def_settlement_minor_1	wh2_main_def_settlement_minor_2
wh2_main_def_settlement_minor_2_coast	wh2_main_def_settlement_minor_3_coast
wh2_main_def_settlement_minor_2	wh2_main_def_settlement_minor_3
wh2_main_def_settlement_minor_ruin_coast	wh2_main_def_settlement_minor_1_coast
wh2_main_def_settlement_minor_ruin	wh2_main_def_settlement_minor_1
wh2_main_def_slaves_1	wh2_main_def_slaves_2
wh2_main_def_sorcery_1	wh2_main_def_sorcery_2
wh2_main_def_worship_1	wh2_main_def_worship_2
wh2_main_def_worship_2	wh2_main_def_worship_3
wh2_main_dwf_resource_animals_1	wh2_main_dwf_resource_animals_2
wh2_main_dwf_resource_animals_2	wh2_main_dwf_resource_animals_3
wh2_main_dwf_resource_animals_3	wh2_main_dwf_resource_animals_4
wh2_main_dwf_resource_medicine_1	wh2_main_dwf_resource_medicine_2
wh2_main_dwf_resource_medicine_2	wh2_main_dwf_resource_medicine_3
wh2_main_dwf_resource_medicine_3	wh2_main_dwf_resource_medicine_4
wh2_main_dwf_resource_obsidian_1	wh2_main_dwf_resource_obsidian_2
wh2_main_dwf_resource_obsidian_2	wh2_main_dwf_resource_obsidian_3
wh2_main_dwf_resource_obsidian_3	wh2_main_dwf_resource_obsidian_4
wh2_main_dwf_resource_pottery_1	wh2_main_dwf_resource_pottery_2
wh2_main_dwf_resource_pottery_2	wh2_main_dwf_resource_pottery_3
wh2_main_dwf_resource_pottery_3	wh2_main_dwf_resource_pottery_4
wh2_main_dwf_resource_spices_1	wh2_main_dwf_resource_spices_2
wh2_main_dwf_resource_spices_2	wh2_main_dwf_resource_spices_3
wh2_main_dwf_resource_spices_3	wh2_main_dwf_resource_spices_4
wh2_main_dwf_resource_wine_1	wh2_main_dwf_resource_wine_2
wh2_main_dwf_resource_wine_2	wh2_main_dwf_resource_wine_3
wh2_main_dwf_resource_wine_3	wh2_main_dwf_resource_wine_4
wh2_main_emp_resource_animals_1	wh2_main_emp_resource_animals_2
wh2_main_emp_resource_animals_2	wh2_main_emp_resource_animals_3
wh2_main_emp_resource_gemstones_1	wh2_main_emp_resource_gemstones_2
wh2_main_emp_resource_gemstones_2	wh2_main_emp_resource_gemstones_3
wh2_main_emp_resource_medicine_1	wh2_main_emp_resource_medicine_2
wh2_main_emp_resource_medicine_2	wh2_main_emp_resource_medicine_3
wh2_main_emp_resource_obsidian_1	wh2_main_emp_resource_obsidian_2
wh2_main_emp_resource_obsidian_2	wh2_main_emp_resource_obsidian_3
wh2_main_emp_resource_spices_1	wh2_main_emp_resource_spices_2
wh2_main_emp_resource_spices_2	wh2_main_emp_resource_spices_3
wh2_main_emp_roads_1	wh2_main_emp_roads_2
wh2_main_hef_barracks_1	wh2_main_hef_barracks_2
wh2_main_hef_barracks_2	wh2_main_hef_barracks_3
wh2_main_hef_birds_1	wh2_main_hef_birds_2
wh2_main_hef_court_1	wh2_main_hef_court_2
wh2_main_hef_defence_major_1	wh2_main_hef_defence_major_2
wh2_main_hef_defence_major_2	wh2_main_hef_defence_major_3
wh2_main_hef_defence_minor_1	wh2_main_hef_defence_minor_2
wh2_main_hef_dragons_1	wh2_main_hef_dragons_2
wh2_main_hef_farm_1	wh2_main_hef_farm_2
wh2_main_hef_farm_2	wh2_main_hef_farm_3
wh2_main_hef_industry_1	wh2_main_hef_industry_2
wh2_main_hef_industry_2	wh2_main_hef_industry_3
wh2_main_hef_mages_1	wh2_main_hef_mages_2
wh2_main_hef_mages_2	wh2_main_hef_mages_3
wh2_main_hef_order_1	wh2_main_hef_order_2
wh2_main_hef_order_2	wh2_main_hef_order_3
wh2_main_hef_order_3	wh2_main_hef_order_4
wh2_main_hef_order_4	wh2_main_hef_order_5
wh2_main_hef_outpostnorsca_major_1_coast	wh2_main_hef_outpostnorsca_major_2_coast
wh2_main_hef_outpostnorsca_major_1	wh2_main_hef_outpostnorsca_major_2
wh2_main_hef_outpostnorsca_major_2_coast	wh2_main_hef_outpostnorsca_major_3_coast
wh2_main_hef_outpostnorsca_major_2	wh2_main_hef_outpostnorsca_major_3
wh2_main_hef_outpostnorsca_major_3_coast	wh2_main_hef_outpostnorsca_major_4_coast
wh2_main_hef_outpostnorsca_major_3	wh2_main_hef_outpostnorsca_major_4
wh2_main_hef_outpostnorsca_major_4_coast	wh2_main_hef_outpostnorsca_major_5_coast
wh2_main_hef_outpostnorsca_major_4	wh2_main_hef_outpostnorsca_major_5
wh2_main_hef_outpostnorsca_major_ruin_coast	wh2_main_hef_outpostnorsca_major_1_coast
wh2_main_hef_outpostnorsca_major_ruin	wh2_main_hef_outpostnorsca_major_1
wh2_main_hef_outpostnorsca_minor_1_coast	wh2_main_hef_outpostnorsca_minor_2_coast
wh2_main_hef_outpostnorsca_minor_1	wh2_main_hef_outpostnorsca_minor_2
wh2_main_hef_outpostnorsca_minor_2_coast	wh2_main_hef_outpostnorsca_minor_3_coast
wh2_main_hef_outpostnorsca_minor_2	wh2_main_hef_outpostnorsca_minor_3
wh2_main_hef_outpostnorsca_minor_ruin_coast	wh2_main_hef_outpostnorsca_minor_1_coast
wh2_main_hef_outpostnorsca_minor_ruin	wh2_main_hef_outpostnorsca_minor_1
wh2_main_hef_port_1	wh2_main_hef_port_2
wh2_main_hef_port_2	wh2_main_hef_port_3
wh2_main_hef_port_ruin	wh2_main_hef_port_1
wh2_main_hef_resource_animals_1	wh2_main_hef_resource_animals_2
wh2_main_hef_resource_animals_2	wh2_main_hef_resource_animals_3
wh2_main_hef_resource_dyes_1	wh2_main_hef_resource_dyes_2
wh2_main_hef_resource_dyes_2	wh2_main_hef_resource_dyes_3
wh2_main_hef_resource_furs_1	wh2_main_hef_resource_furs_2
wh2_main_hef_resource_furs_2	wh2_main_hef_resource_furs_3
wh2_main_hef_resource_gems_1	wh2_main_hef_resource_gems_2
wh2_main_hef_resource_gems_2	wh2_main_hef_resource_gems_3
wh2_main_hef_resource_gold_1	wh2_main_hef_resource_gold_2
wh2_main_hef_resource_gold_2	wh2_main_hef_resource_gold_3
wh2_main_hef_resource_iron_1	wh2_main_hef_resource_iron_2
wh2_main_hef_resource_iron_2	wh2_main_hef_resource_iron_3
wh2_main_hef_resource_marble_1	wh2_main_hef_resource_marble_2
wh2_main_hef_resource_marble_2	wh2_main_hef_resource_marble_3
wh2_main_hef_resource_medicine_1	wh2_main_hef_resource_medicine_2
wh2_main_hef_resource_medicine_2	wh2_main_hef_resource_medicine_3
wh2_main_hef_resource_obsidian_1	wh2_main_hef_resource_obsidian_2
wh2_main_hef_resource_obsidian_2	wh2_main_hef_resource_obsidian_3
wh2_main_hef_resource_pasture_1	wh2_main_hef_resource_pasture_2
wh2_main_hef_resource_pasture_2	wh2_main_hef_resource_pasture_3
wh2_main_hef_resource_pottery_1	wh2_main_hef_resource_pottery_2
wh2_main_hef_resource_pottery_2	wh2_main_hef_resource_pottery_3
wh2_main_hef_resource_salt_1	wh2_main_hef_resource_salt_2
wh2_main_hef_resource_salt_2	wh2_main_hef_resource_salt_3
wh2_main_hef_resource_spices_1	wh2_main_hef_resource_spices_2
wh2_main_hef_resource_spices_2	wh2_main_hef_resource_spices_3
wh2_main_hef_resource_wine_1	wh2_main_hef_resource_wine_2
wh2_main_hef_resource_wine_2	wh2_main_hef_resource_wine_3
wh2_main_hef_resource_wood_1	wh2_main_hef_resource_wood_2
wh2_main_hef_resource_wood_2	wh2_main_hef_resource_wood_3
wh2_main_hef_settlement_major_1_coast	wh2_main_hef_settlement_major_2_coast
wh2_main_hef_settlement_major_1	wh2_main_hef_settlement_major_2
wh2_main_hef_settlement_major_2_coast	wh2_main_hef_settlement_major_3_coast
wh2_main_hef_settlement_major_2	wh2_main_hef_settlement_major_3
wh2_main_hef_settlement_major_3_coast	wh2_main_hef_settlement_major_4_coast
wh2_main_hef_settlement_major_3	wh2_main_hef_settlement_major_4
wh2_main_hef_settlement_major_4_coast	wh2_main_hef_settlement_major_5_coast
wh2_main_hef_settlement_major_4	wh2_main_hef_settlement_major_5
wh2_main_hef_settlement_major_ruin_coast	wh2_main_hef_settlement_major_1_coast
wh2_main_hef_settlement_major_ruin	wh2_main_hef_settlement_major_1
wh2_main_hef_settlement_minor_1_coast	wh2_main_hef_settlement_minor_2_coast
wh2_main_hef_settlement_minor_1	wh2_main_hef_settlement_minor_2
wh2_main_hef_settlement_minor_2_coast	wh2_main_hef_settlement_minor_3_coast
wh2_main_hef_settlement_minor_2	wh2_main_hef_settlement_minor_3
wh2_main_hef_settlement_minor_ruin_coast	wh2_main_hef_settlement_minor_1_coast
wh2_main_hef_settlement_minor_ruin	wh2_main_hef_settlement_minor_1
wh2_main_hef_smith_1	wh2_main_hef_smith_2
wh2_main_hef_stables_1	wh2_main_hef_stables_2
wh2_main_hef_worship_1	wh2_main_hef_worship_2
wh2_main_hef_worship_2	wh2_main_hef_worship_3
wh2_main_horde_def_beasts_1	wh2_main_horde_def_beasts_2
wh2_main_horde_def_beasts_2	wh2_main_horde_def_beasts_3
wh2_main_horde_def_bombardment_a_1	wh2_main_horde_def_bombardment_a_2
wh2_main_horde_def_bombardment_b_1	wh2_main_horde_def_bombardment_b_2
wh2_main_horde_def_bombardment_c_1	wh2_main_horde_def_bombardment_c_2
wh2_main_horde_def_entertainment_1	wh2_main_horde_def_entertainment_2
wh2_main_horde_def_entertainment_2	wh2_main_horde_def_entertainment_3
wh2_main_horde_def_military_1	wh2_main_horde_def_military_2
wh2_main_horde_def_military_2	wh2_main_horde_def_military_3
wh2_main_horde_def_settlement_1	wh2_main_horde_def_settlement_2
wh2_main_horde_def_settlement_2	wh2_main_horde_def_settlement_3
wh2_main_horde_def_settlement_3	wh2_main_horde_def_settlement_4
wh2_main_horde_def_settlement_4	wh2_main_horde_def_settlement_5
wh2_main_horde_def_slavery_1	wh2_main_horde_def_slavery_2
wh2_main_horde_def_slavery_2	wh2_main_horde_def_slavery_3
wh2_main_horde_def_sorcery_1	wh2_main_horde_def_sorcery_2
wh2_main_horde_def_worship_1	wh2_main_horde_def_worship_2
wh2_main_horde_rogue_settlement_1	wh2_main_horde_rogue_settlement_2
wh2_main_horde_skv_assassins_1	wh2_main_horde_skv_assassins_2
wh2_main_horde_skv_leadership_1	wh2_main_horde_skv_leadership_2
wh2_main_horde_skv_leadership_2	wh2_main_horde_skv_leadership_3
wh2_main_horde_skv_leadership_3	wh2_main_horde_skv_leadership_4
wh2_main_horde_skv_monsters_1	wh2_main_horde_skv_monsters_2
wh2_main_horde_skv_plagues_1	wh2_main_horde_skv_plagues_2
wh2_main_horde_skv_plagues_2	wh2_main_horde_skv_plagues_3
wh2_main_horde_skv_settlement_1	wh2_main_horde_skv_settlement_2
wh2_main_horde_skv_settlement_2	wh2_main_horde_skv_settlement_3
wh2_main_horde_skv_settlement_3	wh2_main_horde_skv_settlement_4
wh2_main_horde_skv_settlement_4	wh2_main_horde_skv_settlement_5
wh2_main_horde_skv_slaves_1	wh2_main_horde_skv_slaves_2
wh2_main_horde_skv_supplies_1	wh2_main_horde_skv_supplies_2
wh2_main_horde_skv_supplies_2	wh2_main_horde_skv_supplies_3
wh2_main_horde_skv_supplies_3	wh2_main_horde_skv_supplies_4
wh2_main_horde_skv_warmachines_1	wh2_main_horde_skv_warmachines_2
wh2_main_horde_skv_warmachines_2	wh2_main_horde_skv_warmachines_3
wh2_main_horde_skv_weaponteams_1	wh2_main_horde_skv_weaponteams_2
wh2_main_horde_skv_weaponteams_2	wh_dlc05_wef_public_order_3
wh2_main_lzd_beasts_1	wh2_main_lzd_beasts_2
wh2_main_lzd_beasts_2	wh2_main_lzd_beasts_3
wh2_main_lzd_defence_major_1	wh2_main_lzd_defence_major_2
wh2_main_lzd_defence_major_2	wh2_main_lzd_defence_major_3
wh2_main_lzd_defence_minor_1	wh2_main_lzd_defence_minor_2
wh2_main_lzd_energy_1	wh2_main_lzd_energy_2
wh2_main_lzd_energy_3	wh2_main_lzd_energy_4
wh2_main_lzd_energy_4	wh2_main_lzd_energy_5
wh2_main_lzd_farm_1	wh2_main_lzd_farm_2
wh2_main_lzd_farm_2	wh2_main_lzd_farm_3
wh2_main_lzd_industry_1	wh2_main_lzd_industry_2
wh2_main_lzd_industry_2	wh2_main_lzd_industry_3
wh2_main_lzd_order_1	wh2_main_lzd_order_2
wh2_main_lzd_order_2	wh2_main_lzd_order_3
wh2_main_lzd_outpostnorsca_major_1_coast	wh2_main_lzd_outpostnorsca_major_2_coast
wh2_main_lzd_outpostnorsca_major_1	wh2_main_lzd_outpostnorsca_major_2
wh2_main_lzd_outpostnorsca_major_2_coast	wh2_main_lzd_outpostnorsca_major_3_coast
wh2_main_lzd_outpostnorsca_major_2	wh2_main_lzd_outpostnorsca_major_3
wh2_main_lzd_outpostnorsca_major_3_coast	wh2_main_lzd_outpostnorsca_major_4_coast
wh2_main_lzd_outpostnorsca_major_3	wh2_main_lzd_outpostnorsca_major_4
wh2_main_lzd_outpostnorsca_major_4_coast	wh2_main_lzd_outpostnorsca_major_5_coast
wh2_main_lzd_outpostnorsca_major_4	wh2_main_lzd_outpostnorsca_major_5
wh2_main_lzd_outpostnorsca_major_ruin_coast	wh2_main_lzd_outpostnorsca_major_1_coast
wh2_main_lzd_outpostnorsca_major_ruin	wh2_main_lzd_outpostnorsca_major_1
wh2_main_lzd_outpostnorsca_minor_1_coast	wh2_main_lzd_outpostnorsca_minor_2_coast
wh2_main_lzd_outpostnorsca_minor_1	wh2_main_lzd_outpostnorsca_minor_2
wh2_main_lzd_outpostnorsca_minor_2_coast	wh2_main_lzd_outpostnorsca_minor_3_coast
wh2_main_lzd_outpostnorsca_minor_2	wh2_main_lzd_outpostnorsca_minor_3
wh2_main_lzd_outpostnorsca_minor_ruin_coast	wh2_main_lzd_outpostnorsca_minor_1_coast
wh2_main_lzd_outpostnorsca_minor_ruin	wh2_main_lzd_outpostnorsca_minor_1
wh2_main_lzd_port_1	wh2_main_lzd_port_2
wh2_main_lzd_port_2	wh2_main_lzd_port_3
wh2_main_lzd_port_ruin	wh2_main_lzd_port_1
wh2_main_lzd_resource_animals_1	wh2_main_lzd_resource_animals_2
wh2_main_lzd_resource_animals_2	wh2_main_lzd_resource_animals_3
wh2_main_lzd_resource_dyes_1	wh2_main_lzd_resource_dyes_2
wh2_main_lzd_resource_dyes_2	wh2_main_lzd_resource_dyes_3
wh2_main_lzd_resource_furs_1	wh2_main_lzd_resource_furs_2
wh2_main_lzd_resource_furs_2	wh2_main_lzd_resource_furs_3
wh2_main_lzd_resource_gems_1	wh2_main_lzd_resource_gems_2
wh2_main_lzd_resource_gems_2	wh2_main_lzd_resource_gems_3
wh2_main_lzd_resource_gold_1	wh2_main_lzd_resource_gold_2
wh2_main_lzd_resource_gold_2	wh2_main_lzd_resource_gold_3
wh2_main_lzd_resource_iron_1	wh2_main_lzd_resource_iron_2
wh2_main_lzd_resource_iron_2	wh2_main_lzd_resource_iron_3
wh2_main_lzd_resource_marble_1	wh2_main_lzd_resource_marble_2
wh2_main_lzd_resource_marble_2	wh2_main_lzd_resource_marble_3
wh2_main_lzd_resource_medicine_1	wh2_main_lzd_resource_medicine_2
wh2_main_lzd_resource_medicine_2	wh2_main_lzd_resource_medicine_3
wh2_main_lzd_resource_obsidian_1	wh2_main_lzd_resource_obsidian_2
wh2_main_lzd_resource_obsidian_2	wh2_main_lzd_resource_obsidian_3
wh2_main_lzd_resource_pasture_1	wh2_main_lzd_resource_pasture_2
wh2_main_lzd_resource_pasture_2	wh2_main_lzd_resource_pasture_3
wh2_main_lzd_resource_pottery_1	wh2_main_lzd_resource_pottery_2
wh2_main_lzd_resource_pottery_2	wh2_main_lzd_resource_pottery_3
wh2_main_lzd_resource_salt_1	wh2_main_lzd_resource_salt_2
wh2_main_lzd_resource_salt_2	wh2_main_lzd_resource_salt_3
wh2_main_lzd_resource_spices_1	wh2_main_lzd_resource_spices_2
wh2_main_lzd_resource_spices_2	wh2_main_lzd_resource_spices_3
wh2_main_lzd_resource_wine_1	wh2_main_lzd_resource_wine_2
wh2_main_lzd_resource_wine_2	wh2_main_lzd_resource_wine_3
wh2_main_lzd_resource_wood_1	wh2_main_lzd_resource_wood_2
wh2_main_lzd_resource_wood_2	wh2_main_lzd_resource_wood_3
wh2_main_lzd_saurus_1	wh2_main_lzd_saurus_2
wh2_main_lzd_saurus_2	wh2_main_lzd_saurus_3
wh2_main_lzd_settlement_major_1_coast	wh2_main_lzd_settlement_major_2_coast
wh2_main_lzd_settlement_major_1	wh2_main_lzd_settlement_major_2
wh2_main_lzd_settlement_major_2_coast	wh2_main_lzd_settlement_major_3_coast
wh2_main_lzd_settlement_major_2	wh2_main_lzd_settlement_major_3
wh2_main_lzd_settlement_major_3_coast	wh2_main_lzd_settlement_major_4_coast
wh2_main_lzd_settlement_major_3	wh2_main_lzd_settlement_major_4
wh2_main_lzd_settlement_major_4_coast	wh2_main_lzd_settlement_major_5_coast
wh2_main_lzd_settlement_major_4	wh2_main_lzd_settlement_major_5
wh2_main_lzd_settlement_major_ruin_coast	wh2_main_lzd_settlement_major_1_coast
wh2_main_lzd_settlement_major_ruin	wh2_main_lzd_settlement_major_1
wh2_main_lzd_settlement_minor_1_coast	wh2_main_lzd_settlement_minor_2_coast
wh2_main_lzd_settlement_minor_1	wh2_main_lzd_settlement_minor_2
wh2_main_lzd_settlement_minor_2_coast	wh2_main_lzd_settlement_minor_3_coast
wh2_main_lzd_settlement_minor_2	wh2_main_lzd_settlement_minor_3
wh2_main_lzd_settlement_minor_ruin_coast	wh2_main_lzd_settlement_minor_1_coast
wh2_main_lzd_settlement_minor_ruin	wh2_main_lzd_settlement_minor_1
wh2_main_lzd_skinks_1	wh2_main_lzd_skinks_2
wh2_main_lzd_skinks_2	wh2_main_lzd_skinks_3
wh2_main_lzd_worship_oldones_1	wh2_main_lzd_worship_oldones_2
wh2_main_lzd_worship_oldones_2	wh2_main_lzd_worship_oldones_3
wh2_main_lzd_worship_sotek_1	wh2_main_lzd_worship_sotek_2
wh2_main_lzd_worship_sotek_2	wh2_main_lzd_worship_sotek_3
wh2_main_ritual_def_1	wh2_main_ritual_def_2
wh2_main_ritual_hef_1	wh2_main_ritual_hef_2
wh2_main_ritual_lzd_1	wh2_main_ritual_lzd_2
wh2_main_ritual_skv_1	wh2_main_ritual_skv_2
wh2_main_rogue_outpostnorsca_major_1	wh2_main_rogue_outpostnorsca_major_2
wh2_main_rogue_outpostnorsca_major_2	wh2_main_rogue_outpostnorsca_major_3
wh2_main_rogue_outpostnorsca_major_coast_1	wh2_main_rogue_outpostnorsca_major_coast_2
wh2_main_rogue_outpostnorsca_major_coast_2	wh2_main_rogue_outpostnorsca_major_coast_3
wh2_main_rogue_outpostnorsca_major_coast_ruin	wh2_main_rogue_outpostnorsca_major_coast_1
wh2_main_rogue_outpostnorsca_minor_1	wh2_main_rogue_outpostnorsca_minor_2
wh2_main_rogue_outpostnorsca_minor_2	wh2_main_rogue_outpostnorsca_minor_3
wh2_main_rogue_outpostnorsca_minor_coast_1	wh2_main_rogue_outpostnorsca_minor_coast_2
wh2_main_rogue_outpostnorsca_minor_coast_2	wh2_main_rogue_outpostnorsca_minor_coast_3
wh2_main_rogue_outpostnorsca_minor_coast_ruin	wh2_main_rogue_outpostnorsca_minor_coast_1
wh2_main_rogue_outpostnorsca_minor_ruin	wh2_main_rogue_outpostnorsca_minor_1
wh2_main_rogue_outpostnorsca_ruin	wh2_main_rogue_outpostnorsca_major_1
wh2_main_rogue_port_1	wh2_main_rogue_port_2
wh2_main_rogue_port_ruin	wh2_main_rogue_port_1
wh2_main_rogue_settlement_major_1	wh2_main_rogue_settlement_major_2
wh2_main_rogue_settlement_major_2	wh2_main_rogue_settlement_major_3
wh2_main_rogue_settlement_major_coast_1	wh2_main_rogue_settlement_major_coast_2
wh2_main_rogue_settlement_major_coast_2	wh2_main_rogue_settlement_major_coast_3
wh2_main_rogue_settlement_major_coast_ruin	wh2_main_rogue_settlement_major_coast_1
wh2_main_rogue_settlement_minor_1	wh2_main_rogue_settlement_minor_2
wh2_main_rogue_settlement_minor_2	wh2_main_rogue_settlement_minor_3
