agent_subtypes_tables
14
key	auto_generate	is_caster	small_icon	main_unit	audio_voiceover_actor_group	show_in_ui	cap	has_female_name	can_gain_xp
dlc03_emp_amber_wizard	True	True	ui/campaign ui/agents/wh_dlc03_lore_beasts.png	wh_dlc03_emp_cha_wizard_beasts_0	vo_actor_Empire_dlc03_AmberWizard	True	-1	False	True
dlc03_emp_boris_todbringer	False	False		wh_dlc03_emp_cha_boris_todbringer_0	wh_dlc03_vo_actor_Empire_Boris_Todbringer	True	-1	False	True
dlc04_emp_arch_lector	True	False		wh_dlc04_emp_cha_arch_lector_0	wh_dlc04_vo_actor_Empire_Arch_Lector	True	-1	False	True
dlc04_emp_volkmar	False	False		wh_dlc04_emp_cha_volkmar_the_grim_0	wh_dlc04_vo_actor_Empire_Volkmar_The_Grim	True	-1	False	True
dlc04_vmp_helman_ghorst	False	True		wh_dlc04_vmp_cha_helman_ghorst_0	wh_dlc04_vo_actor_Vampire_dlc04_Helman_Ghorst	True	-1	False	True
dlc04_vmp_strigoi_ghoul_king	True	True		wh_dlc04_vmp_cha_strigoi_ghoul_king_0	wh_dlc04_vo_actor_Vampire_dlc04_Strigoi_Ghoul_King	True	-1	False	True
dlc04_vmp_vlad_con_carstein	False	True		wh_dlc04_vmp_cha_vlad_von_carstein_0	wh_dlc04_vo_actor_Vampire_dlc04_Vlad_Von_Carstein	True	-1	False	True
dlc05_bst_morghur	False	False		wh_dlc05_bst_cha_morghur_0	wh_dlc05_vo_actor_Beastmen_Morghur	True	-1	False	True
dlc05_emp_grey_wizard	True	True	ui/campaign ui/agents/wh_dlc05_lore_shadow.png	wh_dlc05_emp_cha_wizard_shadows_0	wh_dlc05_vo_actor_Empire_GreyWizard	True	-1	False	True
dlc05_emp_jade_wizard	True	True	ui/campaign ui/agents/wh_dlc05_lore_life.png	wh_dlc05_emp_cha_wizard_life_0	wh_dlc05_vo_actor_Empire_JadeWizard	True	-1	False	True
dlc05_wef_ancient_treeman	True	True		wh_dlc05_wef_cha_ancient_treeman_0	wh_dlc05_vo_actor_Wood_Elves_Tree_Ancient	True	-1	False	True
dlc05_wef_durthu	False	True		wh_dlc05_wef_cha_durthu_0	wh_dlc05_vo_actor_Wood_Elves_Durthu	True	-1	False	True
dlc05_wef_glade_lord	True	False		wh_dlc05_wef_cha_glade_lord_0	wh_dlc05_vo_actor_Wood_Elves_Male_Glade_Lord	True	-1	False	True
dlc05_wef_glade_lord_fem	True	False		wh_dlc05_wef_cha_female_glade_lord_0	wh_dlc05_vo_actor_Wood_Elves_Female_Glade_Lord	True	-1	False	True
dlc05_wef_orion	False	False		wh_dlc05_wef_cha_orion_0	wh_dlc05_vo_actor_Wood_Elves_Orion	True	-1	False	True
dlc05_wef_spellsinger_beasts	True	True	ui/campaign ui/agents/wh_dlc03_lore_beasts.png	wh_dlc05_wef_cha_spellsinger_beasts_0	wh_dlc05_vo_actor_Wood_Elves_Spellsinger	True	-1	True	True
dlc05_wef_spellsinger_life	True	True	ui/campaign ui/agents/wh_dlc05_lore_life.png	wh_dlc05_wef_cha_spellsinger_life_0	wh_dlc05_vo_actor_Wood_Elves_Spellsinger	True	-1	True	True
dlc05_wef_spellsinger_shadow	True	True	ui/campaign ui/agents/wh_dlc05_lore_shadow.png	wh_dlc05_wef_cha_spellsinger_shadows_0	wh_dlc05_vo_actor_Wood_Elves_Spellsinger	True	-1	True	True
dlc05_wef_waystalker	True	False		wh_dlc05_wef_cha_waystalker_0	wh_dlc05_vo_actor_Wood_Elves_Waystalker	True	-1	False	True
dlc06_dwf_belegar	False	False		wh_dlc06_dwf_cha_belegar_ironhammer_0	wh_dlc06_vo_actor_Dwarf_Belegar_Ironhammer	True	-1	False	True
dlc06_dwf_master_engineer_ghost	False	False	ui/campaign ui/agents/wh_main_dwf_engineer.png	wh_dlc06_dwf_cha_master_engineer_ghost_0	wh_dlc06_vo_actor_Dwarf_MasterEngineer1Ghost	False	-1	False	True
dlc06_dwf_runelord	True	False		wh_dlc06_dwf_cha_runelord_0	wh_dlc06_vo_actor_Dwarf_Rune_Lord	True	-1	False	True
dlc06_dwf_runesmith_ghost	False	False	ui/campaign ui/agents/wh_main_dwf_runesmith.png	wh_dlc06_dwf_cha_runesmith_ghost_0	wh_dlc06_vo_actor_Dwarf_RuneSmith2Ghost	False	-1	False	True
dlc06_dwf_thane_ghost_1	False	False	ui/campaign ui/agents/wh_main_dwf_champion.png	wh_dlc06_dwf_cha_thane_ghost_0	wh_dlc06_vo_actor_Dwarf_Thane1Ghost	False	-1	False	True
dlc06_dwf_thane_ghost_2	False	False	ui/campaign ui/agents/wh_main_dwf_champion.png	wh_dlc06_dwf_cha_thane_ghost_1	wh_dlc06_vo_actor_Dwarf_Thane1Ghost	False	-1	False	True
dlc06_grn_night_goblin_warboss	True	False		wh_dlc06_grn_cha_night_goblin_warboss_0	wh_dlc06_vo_actor_Goblin_Night_Goblin_Warboss	True	-1	False	True
dlc06_grn_skarsnik	False	False		wh_dlc06_grn_cha_skarsnik_0	wh_dlc06_vo_actor_Goblin_Skarsnik	True	-1	False	True
dlc06_grn_wurrzag_da_great_prophet	False	True		wh_dlc06_grn_cha_wurrzag_0	wh_dlc06_vo_actor_Orc_Wurrzag	True	-1	False	True
dlc07_brt_alberic	False	False		wh_dlc07_brt_cha_alberic_bordeleaux_0	wh_dlc07_vo_actor_Bretonnian_Alberic	True	-1	False	True
dlc07_brt_fay_enchantress	False	True		wh_dlc07_brt_cha_fay_enchantress_0	wh_dlc07_vo_actor_Bretonnian_Fay_Enchantress	True	-1	False	True
dlc07_brt_green_knight	False	False	UI/Campaign UI/Agents/wh_dlc07_brt_green_knight.png	wh_dlc07_brt_cha_green_knight_0	wh_dlc07_vo_actor_Bretonnian_Green_Knight	False	-1	False	False
dlc07_brt_prophetess_beasts	True	True	ui/campaign ui/agents/wh_dlc03_lore_beasts.png	wh_dlc07_brt_cha_prophetess_beasts_0	wh_dlc07_vo_actor_Bretonnian_Prophetess	True	-1	True	True
dlc07_brt_prophetess_heavens	True	True	ui/campaign ui/agents/wh_main_lore_heavens.png	wh_dlc07_brt_cha_prophetess_heavens_0	wh_dlc07_vo_actor_Bretonnian_Prophetess	True	-1	True	True
dlc07_brt_prophetess_life	True	True	ui/campaign ui/agents/wh_dlc05_lore_life.png	wh_dlc07_brt_cha_prophetess_0	wh_dlc07_vo_actor_Bretonnian_Prophetess	True	-1	True	True
dlc07_chs_chaos_sorcerer_shadow	True	True	ui/campaign ui/agents/wh_dlc05_lore_shadow.png	wh_dlc01_chs_cha_chaos_sorcerer_shadows_0	wh_main_vo_actor_Chaos_Sorcerer	True	-1	False	True
dlc07_chs_sorcerer_lord_shadow	True	True	ui/campaign ui/agents/wh_dlc05_lore_shadow.png	wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_0	wh_dlc01_vo_actor_Chaos_SorcererLord	True	-1	False	True
dwf_lord	True	False		wh_main_dwf_cha_lord_0	wh_main_vo_actor_Dwarf_Lord	True	-1	False	True
dwf_master_engineer	True	False	ui/campaign ui/agents/wh_main_dwf_engineer.png	wh_main_dwf_cha_master_engineer_0	wh_main_vo_actor_Dwarf_MasterEngineer	True	-1	False	True
dwf_runesmith	True	False	ui/campaign ui/agents/wh_main_dwf_runesmith.png	wh_main_dwf_cha_rune_smith_0	wh_main_vo_actor_Dwarf_RuneSmith	True	-1	False	True
dwf_thane	True	False	ui/campaign ui/agents/wh_main_dwf_champion.png	wh_main_dwf_cha_thane	wh_main_vo_actor_Dwarf_Thane	True	-1	False	True
dwf_thorgrim_grudgebearer	False	False		wh_main_dwf_cha_high_king_thorgrim_grudgebearer_1	wh_main_vo_actor_Dwarf_ThorGrimGrudgebearer	True	-1	False	True
dwf_ungrim_ironfist	False	False		wh_main_dwf_cha_ungrim_ironfist	wh_main_vo_actor_Dwarf_UngrimIronfist	True	-1	False	True
emp_balthasar_gelt	False	True		wh_main_emp_cha_balthasar_gelt_0	wh_main_vo_actor_Empire_BalthasarGelt	True	-1	False	True
emp_bright_wizard	True	True	ui/campaign ui/agents/wh_main_lore_fire.png	wh_main_emp_cha_wizard_fire_0	wh_main_vo_actor_Empire_BrightWizard	True	-1	False	True
emp_captain	True	False	ui/campaign ui/agents/wh_main_emp_champion.png	wh_main_emp_cha_captain_0	wh_main_vo_actor_Empire_Captain	True	-1	False	True
emp_celestial_wizard	True	True	ui/campaign ui/agents/wh_main_lore_heavens.png	wh_main_emp_cha_wizard_heavens_0	wh_main_vo_actor_Empire_CelestialWizard	True	-1	False	True
emp_karl_franz	False	False		wh_main_emp_cha_karl_franz_0	wh_main_vo_actor_Empire_KarlFranz	True	-1	False	True
emp_light_wizard	True	True	ui/campaign ui/agents/wh_main_lore_light.png	wh_main_emp_cha_wizard_light_0	wh_main_vo_actor_Empire_LightWizard	True	-1	False	True
emp_lord	True	False		wh_main_emp_cha_general_0	wh_main_vo_actor_Empire_General	True	-1	False	True
emp_warrior_priest	True	False	ui/campaign ui/agents/wh_main_emp_dignitary.png	wh_main_emp_cha_warrior_priest_0	wh_main_vo_actor_Empire_WarriorPriest	True	-1	False	True
emp_witch_hunter	True	False	ui/campaign ui/agents/wh_main_emp_spy.png	wh_main_emp_cha_witch_hunter	wh_main_vo_actor_Empire_WitchHunter	True	-1	False	True
grn_azhag_the_slaughterer	False	True		wh_main_grn_cha_azhag_the_slaughterer_0	wh_main_vo_actor_Orc_AzhagTheSlaughterer	True	-1	False	True
grn_goblin_big_boss	True	False	ui/campaign ui/agents/wh_main_grn_spy.png	wh_main_grn_cha_goblin_big_boss_0	wh_main_vo_actor_Goblin_BigBoss	True	-1	False	True
grn_goblin_great_shaman	True	True		wh_main_grn_cha_goblin_great_shaman_0	wh_main_vo_actor_Goblin_GreatShaman	True	-1	False	True
grn_grimgor_ironhide	False	False		wh_main_grn_cha_grimgor_ironhide	wh_main_vo_actor_Orc_GrimgorIronhide	True	-1	False	True
grn_night_goblin_shaman	True	True	ui/campaign ui/agents/wh_main_lore_lil_waaagh.png	wh_main_grn_cha_night_goblin_shaman	wh_main_vo_actor_Goblin_NightShaman	True	-1	False	True
grn_orc_shaman	True	True	ui/campaign ui/agents/wh_main_lore_big_waaagh.png	wh_main_grn_cha_orc_shaman_0	wh_main_vo_actor_Orc_Shaman	True	-1	False	True
grn_orc_warboss	True	False		wh_main_grn_cha_orc_warboss_0	wh_main_vo_actor_Orc_Warboss	True	-1	False	True
ksl_captain	True	False	ui/campaign ui/agents/wh_main_emp_champion.png	wh_main_ksl_cha_captain_0	wh_main_vo_actor_default	True	-1	False	True
ksl_celestial_wizard	True	True	ui/campaign ui/agents/wh_main_lore_heavens.png	wh_main_ksl_cha_wizard_0	wh_main_vo_actor_Empire_CelestialWizard	True	-1	False	True
ksl_lord	True	False		wh_main_emp_cha_general_0	wh_main_vo_actor_Empire_General	True	-1	False	True
nor_chaos_sorcerer_metal	True	True	ui/campaign ui/agents/wh_main_lore_metal.png	wh_main_nor_cha_chaos_sorcerer_0	wh_main_vo_actor_Chaos_Sorcerer	True	-1	False	True
nor_marauder_chieftain	True	False		wh_main_nor_cha_marauder_chieftan_0	wh_main_vo_actor_Chaos_MarauderChieftain	True	-1	False	True
nor_sorcerer_lord_metal	True	True	ui/campaign ui/agents/wh_main_lore_metal.png	wh_dlc01_nor_cha_chaos_sorcerer_lord_0	wh_dlc01_vo_actor_Chaos_SorcererLord	True	-1	False	True
pro01_dwf_grombrindal	False	False		wh_pro01_dwf_cha_grombrindal_0	wh_pro01_vo_actor_Dwarf_Grombrindal	True	-1	False	True
pro02_vmp_isabella_von_carstein	False	True		wh_pro02_vmp_cha_isabella_von_carstein_0	wh_pro02_vo_actor_Vampire_Isabella_Von_Carstein	True	-1	False	True
teb_bright_wizard	True	True	ui/campaign ui/agents/wh_main_lore_fire.png	wh_main_teb_cha_wizard_0	wh_main_vo_actor_Empire_BrightWizard	True	-1	False	True
teb_captain	True	False	ui/campaign ui/agents/wh_main_emp_champion.png	wh_main_teb_cha_captain_0	wh_main_vo_actor_Empire_Captain	True	-1	False	True
teb_lord	True	False		wh_main_emp_cha_general_0	wh_main_vo_actor_Empire_General	True	-1	False	True
vmp_banshee	True	False	ui/campaign ui/agents/wh_main_vmp_spy.png	wh_main_vmp_cha_banshee	wh_main_vo_actor_Vampire_Banshee	True	-1	True	True
vmp_heinrich_kemmler	False	True		wh_main_vmp_cha_heinrich_kemmler	wh_main_vo_actor_Vampire_HeinrichKemmler	True	-1	False	True
vmp_lord	True	True		wh_main_vmp_cha_vampire_lord_0	wh_main_vo_actor_Vampire_Lord	True	-1	False	True
vmp_mannfred_von_carstein	False	True		wh_main_vmp_cha_mannfred_von_carstein_0	wh_main_vo_actor_Vampire_MannfredVonCarstein	True	-1	False	True
vmp_master_necromancer	True	True		wh_main_vmp_cha_master_necromancer_0	wh_main_vo_actor_Vampire_MasterNecromancer	True	-1	False	True
vmp_necromancer	True	True	ui/campaign ui/agents/wh_main_lore_vampires.png	wh_main_vmp_cha_necromancer_0	wh_main_vo_actor_Vampire_Necromancer	True	-1	False	True
vmp_vampire	True	True	ui/campaign ui/agents/wh_main_lore_death.png	wh_main_vmp_cha_vampire_0	wh_main_vo_actor_Vampire_FemaleVamp	True	-1	True	True
vmp_wight_king	True	False	ui/campaign ui/agents/wh_main_vmp_champion.png	wh_main_vmp_cha_wight_king_0	wh_main_vo_actor_Vampire_WightKing	True	-1	False	True
wh2_main_def_black_ark	False	False	ui/campaign ui/agents/wh2_main_def_black_ark.png	wh2_main_def_cha_dreadlord_0_black_ark	wh2_main_vo_actor_Dark_Elves_Dreadlord	True	-1	False	False
wh2_main_def_death_hag	True	False		wh2_main_def_cha_death_hag_0	wh2_main_vo_actor_Dark_Elves_Death_Hag	True	-1	True	True
wh2_main_def_dreadlord	True	False		wh2_main_def_cha_dreadlord_0	wh2_main_vo_actor_Dark_Elves_Dreadlord	True	-1	False	True
wh2_main_def_dreadlord_fem	True	False		wh2_main_def_cha_dreadlord_female_0	wh2_main_vo_actor_Dark_Elves_DreadlordFemale	True	-1	True	True
wh2_main_def_khainite_assassin	True	False		wh2_main_def_cha_khainite_assassin_0	wh_vo_actor_silent	True	-1	False	True
wh2_main_def_malekith	False	True		wh2_main_def_cha_malekith_0	wh2_main_vo_actor_Dark_Elves_Malekith	True	-1	False	True
wh2_main_def_morathi	False	True		wh2_main_def_cha_morathi_0	wh2_main_vo_actor_Dark_Elves_Morathi	True	-1	False	True
wh2_main_def_sorceress_dark	True	True	ui/campaign ui/agents/wh2_main_lore_dark_magic.png	wh2_main_def_cha_sorceress_dark_0	wh2_main_vo_actor_Dark_Elves_Sorceress	True	-1	True	True
wh2_main_def_sorceress_fire	True	True	ui/campaign ui/agents/wh_main_lore_fire.png	wh2_main_def_cha_sorceress_fire_0	wh2_main_vo_actor_Dark_Elves_Sorceress	True	-1	True	True
wh2_main_def_sorceress_shadow	True	True	ui/campaign ui/agents/wh_dlc05_lore_shadow.png	wh2_main_def_cha_sorceress_shadow_0	wh2_main_vo_actor_Dark_Elves_Sorceress	True	-1	True	True
wh2_main_hef_loremaster_of_hoeth	True	False		wh2_main_hef_cha_loremaster_of_hoeth_0	wh2_main_vo_actor_High_Elves_Loremasters_of_Hoeth	True	-1	False	True
wh2_main_hef_mage_high	True	True	ui/campaign ui/agents/wh2_main_lore_high_magic.png	wh2_main_hef_cha_mage_high_0	wh2_main_vo_actor_High_Elves_Mage	True	-1	True	True
wh2_main_hef_mage_life	True	True	ui/campaign ui/agents/wh_dlc05_lore_life.png	wh2_main_hef_cha_mage_life_0	wh2_main_vo_actor_High_Elves_Mage	True	-1	True	True
wh2_main_hef_mage_light	True	True	ui/campaign ui/agents/wh_main_lore_light.png	wh2_main_hef_cha_mage_light_0	wh2_main_vo_actor_High_Elves_Mage	True	-1	True	True
wh2_main_hef_noble	True	False		wh2_main_hef_cha_noble_0	wh2_main_vo_actor_High_Elves_Noble	True	-1	False	True
wh2_main_hef_prince	True	False		wh2_main_hef_cha_prince_0	wh2_main_vo_actor_High_Elves_Prince	True	-1	False	True
wh2_main_hef_prince_alastar	False	False		wh2_main_hef_cha_alastair_0	wh2_main_vo_actor_High_Elves_Prince	True	-1	False	True
wh2_main_hef_princess	True	False		wh2_main_hef_cha_princess_0	wh2_main_vo_actor_High_Elves_Princess	True	-1	True	True
wh2_main_hef_teclis	False	True		wh2_main_hef_cha_teclis_0	wh2_main_vo_actor_High_Elves_Teclis	True	-1	False	True
wh2_main_hef_tyrion	False	False		wh2_main_hef_cha_tyrion_0	wh2_main_vo_actor_High_Elves_Tyrion	True	-1	False	True
wh2_main_lzd_kroq_gar	False	False		wh2_main_lzd_cha_kroq_gar_0	wh2_main_vo_actor_Lizardmen_Kroq_Gar_Saurus	True	-1	False	True
wh2_main_lzd_lord_mazdamundi	False	True		wh2_main_lzd_cha_lord_mazdamundi_0	wh2_main_vo_actor_Lizardmen_Lord_Mazdamundi	True	-1	False	True
wh2_main_lzd_saurus_old_blood	True	False		wh2_main_lzd_cha_saurus_old_blood_0	wh2_main_vo_actor_Lizardmen_Saurus_Old_Blood_Lord	True	-1	False	True
wh2_main_lzd_saurus_scar_veteran	True	False		wh2_main_lzd_cha_saurus_scar_veteran_0	wh2_main_vo_actor_Lizardmen_Saurus_Scar_Veteran	True	-1	False	True
wh2_main_lzd_skink_chief	True	False		wh2_main_lzd_cha_skink_chief_0	wh2_main_vo_actor_Lizardmen_Chamelion_Skink_Chief	True	-1	False	True
wh2_main_lzd_skink_priest_beasts	True	True	ui/campaign ui/agents/wh_dlc03_lore_beasts.png	wh2_main_lzd_cha_skink_priest_beasts_0	wh2_main_vo_actor_Lizardmen_Skink_Priest	True	-1	False	True
wh2_main_lzd_skink_priest_heavens	True	True	ui/campaign ui/agents/wh_main_lore_heavens.png	wh2_main_lzd_cha_skink_priest_heavens_0	wh2_main_vo_actor_Lizardmen_Skink_Priest	True	-1	False	True
wh2_main_lzd_slann_mage_priest	False	True	ui/campaign ui/agents/wh2_main_lzd_slann_mage_priest.png	wh2_main_lzd_cha_slann_mage_priest_campaign_0	wh2_main_vo_actor_Lizardmen_Slann_Mage_Priest	True	0	True	True
wh2_main_skv_assassin	True	False		wh2_main_skv_cha_assassin	wh2_main_vo_actor_Skaven_Assassin	True	-1	False	True
wh2_main_skv_grey_seer_plague	True	True		wh2_main_skv_cha_grey_seer_plague_0	wh2_main_vo_actor_Skaven_Grey_Seer	True	-1	False	True
wh2_main_skv_grey_seer_ruin	True	True		wh2_main_skv_cha_grey_seer_ruin_0	wh2_main_vo_actor_Skaven_Grey_Seer	True	-1	False	True
wh2_main_skv_lord_skrolk	False	True		wh2_main_skv_cha_lord_skrolk	wh2_main_vo_actor_Skaven_Lord_Skrolk	True	-1	False	True
wh2_main_skv_plague_priest	True	True	ui/campaign ui/agents/wh2_main_lore_plague.png	wh2_main_skv_cha_plague_priest_0	wh2_main_vo_actor_Skaven_Plague_Priest	True	-1	False	True
wh2_main_skv_plague_priest_ritual	False	True	ui/campaign ui/agents/wh2_main_skv_plague_priest_ritual.png	wh2_main_skv_cha_plague_priest_0	wh2_main_vo_actor_Skaven_Plague_Priest	False	-1	False	False
wh2_main_skv_queek_headtaker	False	False		wh2_main_skv_cha_queek_headtaker	wh2_main_vo_actor_Skaven_Queek_Headtaker	True	-1	False	True
wh2_main_skv_warlock_engineer	True	False		wh2_main_skv_cha_warlock_engineer	wh2_main_vo_actor_Skaven_Warlock_Engineer	True	-1	False	True
wh2_main_skv_warlock_engineer_ritual	False	False	ui/campaign ui/agents/wh2_main_lore_ruin_ritual.png	wh2_main_skv_cha_warlock_engineer	wh2_main_vo_actor_Skaven_Warlock_Engineer	False	-1	False	False
wh2_main_skv_warlord	True	False		wh2_main_skv_cha_warlord_0	wh2_main_vo_actor_Skaven_Warlord	True	-1	False	True
wh_dlc05_vmp_red_duke	False	True		wh_dlc05_vmp_cha_red_duke_0	wh_main_vo_actor_Vampire_Lord	True	-1	False	True
wh_dlc05_vmp_vampire_shadow	True	True	ui/campaign ui/agents/wh_dlc05_lore_shadow.png	wh_dlc05_vmp_cha_vampire_shadows_0	wh_main_vo_actor_Vampire_FemaleVamp	True	-1	True	True
wh_dlc05_wef_branchwraith	True	True	ui/campaign ui/agents/wh_dlc05_lore_shadow.png	wh_dlc05_wef_cha_branchwraith_0	wh_dlc05_vo_actor_Wood_Elves_Branchwraith	True	-1	False	True
