character_experience_skill_tiers_tables
2
agent_key	experience_threshold	skill_points	skill_rank	unknown4	for_army	for_navy
engineer	14660	1	10	False	False	False
engineer	16240	1	11	False	False	False
engineer	17820	1	12	False	False	False
engineer	19400	1	13	False	False	False
engineer	20990	1	14	False	False	False
engineer	22580	1	15	False	False	False
engineer	24170	1	16	False	False	False
engineer	25770	1	17	False	False	False
engineer	27370	1	18	False	False	False
engineer	28980	1	19	False	False	False
engineer	1900	1	1	False	False	False
engineer	30590	1	20	False	False	False
engineer	32210	1	21	False	False	False
engineer	33830	1	22	False	False	False
engineer	35460	1	23	False	False	False
engineer	37100	1	24	False	False	False
engineer	38740	1	25	False	False	False
engineer	40390	1	26	False	False	False
engineer	42050	1	27	False	False	False
engineer	43710	1	28	False	False	False
engineer	45380	1	29	False	False	False
engineer	3000	1	2	False	False	False
engineer	47060	1	30	False	False	False
engineer	48740	1	31	False	False	False
engineer	50430	1	32	False	False	False
engineer	52130	1	33	False	False	False
engineer	53830	1	34	False	False	False
engineer	55540	1	35	False	False	False
engineer	57260	1	36	False	False	False
engineer	58990	1	37	False	False	False
engineer	60730	1	38	False	False	False
engineer	4200	1	3	False	False	False
engineer	5500	1	4	False	False	False
engineer	6890	1	5	False	False	False
engineer	8370	1	6	False	False	False
engineer	9940	1	7	False	False	False
engineer	11510	1	8	False	False	False
engineer	13080	1	9	False	False	False
general	900	1	0	False	False	False
general	14660	1	10	False	False	False
general	16240	1	11	False	False	False
general	17820	1	12	False	False	False
general	19400	1	13	False	False	False
general	20990	1	14	False	False	False
general	22580	1	15	False	False	False
general	24170	1	16	False	False	False
general	25770	1	17	False	False	False
general	27370	1	18	False	False	False
general	28980	1	19	False	False	False
general	1900	1	1	False	False	False
general	30590	1	20	False	False	False
general	32210	1	21	False	False	False
general	33830	1	22	False	False	False
general	35460	1	23	False	False	False
general	37100	1	24	False	False	False
general	38740	1	25	False	False	False
general	40390	1	26	False	False	False
general	42050	1	27	False	False	False
general	43710	1	28	False	False	False
general	45380	1	29	False	False	False
general	3000	1	2	False	False	False
general	47060	1	30	False	False	False
general	48740	1	31	False	False	False
general	50430	1	32	False	False	False
general	52130	1	33	False	False	False
general	53830	1	34	False	False	False
general	55540	1	35	False	False	False
general	57260	1	36	False	False	False
general	58990	1	37	False	False	False
general	60730	1	38	False	False	False
general	4200	1	3	False	False	False
general	5500	1	4	False	False	False
general	6890	1	5	False	False	False
general	8370	1	6	False	False	False
general	9940	1	7	False	False	False
general	11510	1	8	False	False	False
general	13080	1	9	False	False	False
runesmith	900	1	0	False	False	False
runesmith	14660	1	10	False	False	False
runesmith	16240	1	11	False	False	False
runesmith	17820	1	12	False	False	False
runesmith	19400	1	13	False	False	False
runesmith	20990	1	14	False	False	False
runesmith	22580	1	15	False	False	False
runesmith	24170	1	16	False	False	False
runesmith	25770	1	17	False	False	False
runesmith	27370	1	18	False	False	False
runesmith	28980	1	19	False	False	False
runesmith	1900	1	1	False	False	False
runesmith	30590	1	20	False	False	False
runesmith	32210	1	21	False	False	False
runesmith	33830	1	22	False	False	False
runesmith	35460	1	23	False	False	False
runesmith	37100	1	24	False	False	False
runesmith	38740	1	25	False	False	False
runesmith	40390	1	26	False	False	False
runesmith	42050	1	27	False	False	False
runesmith	43710	1	28	False	False	False
runesmith	45380	1	29	False	False	False
runesmith	3000	1	2	False	False	False
runesmith	47060	1	30	False	False	False
runesmith	48740	1	31	False	False	False
runesmith	50430	1	32	False	False	False
runesmith	52130	1	33	False	False	False
runesmith	53830	1	34	False	False	False
runesmith	55540	1	35	False	False	False
runesmith	57260	1	36	False	False	False
runesmith	58990	1	37	False	False	False
runesmith	60730	1	38	False	False	False
runesmith	4200	1	3	False	False	False
runesmith	5500	1	4	False	False	False
runesmith	6890	1	5	False	False	False
runesmith	8370	1	6	False	False	False
runesmith	9940	1	7	False	False	False
runesmith	11510	1	8	False	False	False
runesmith	13080	1	9	False	False	False
spy	900	1	0	False	False	False
spy	14660	1	10	False	False	False
spy	16240	1	11	False	False	False
spy	17820	1	12	False	False	False
spy	19400	1	13	False	False	False
spy	20990	1	14	False	False	False
spy	22580	1	15	False	False	False
spy	24170	1	16	False	False	False
spy	25770	1	17	False	False	False
spy	27370	1	18	False	False	False
spy	28980	1	19	False	False	False
spy	1900	1	1	False	False	False
spy	30590	1	20	False	False	False
spy	32210	1	21	False	False	False
spy	33830	1	22	False	False	False
spy	35460	1	23	False	False	False
spy	37100	1	24	False	False	False
spy	38740	1	25	False	False	False
spy	40390	1	26	False	False	False
spy	42050	1	27	False	False	False
spy	43710	1	28	False	False	False
spy	45380	1	29	False	False	False
spy	3000	1	2	False	False	False
spy	47060	1	30	False	False	False
spy	48740	1	31	False	False	False
spy	50430	1	32	False	False	False
spy	52130	1	33	False	False	False
spy	53830	1	34	False	False	False
spy	55540	1	35	False	False	False
spy	57260	1	36	False	False	False
spy	58990	1	37	False	False	False
spy	60730	1	38	False	False	False
spy	4200	1	3	False	False	False
spy	5500	1	4	False	False	False
spy	6890	1	5	False	False	False
spy	8370	1	6	False	False	False
spy	9940	1	7	False	False	False
spy	11510	1	8	False	False	False
spy	13080	1	9	False	False	False
wizard	900	1	0	False	False	False
wizard	14660	1	10	False	False	False
wizard	16240	1	11	False	False	False
wizard	17820	1	12	False	False	False
wizard	19400	1	13	False	False	False
wizard	20990	1	14	False	False	False
wizard	22580	1	15	False	False	False
wizard	24170	1	16	False	False	False
wizard	25770	1	17	False	False	False
wizard	27370	1	18	False	False	False
wizard	28980	1	19	False	False	False
wizard	1900	1	1	False	False	False
wizard	30590	1	20	False	False	False
wizard	32210	1	21	False	False	False
wizard	33830	1	22	False	False	False
wizard	35460	1	23	False	False	False
wizard	37100	1	24	False	False	False
wizard	38740	1	25	False	False	False
wizard	40390	1	26	False	False	False
wizard	42050	1	27	False	False	False
wizard	43710	1	28	False	False	False
wizard	45380	1	29	False	False	False
wizard	3000	1	2	False	False	False
wizard	47060	1	30	False	False	False
wizard	48740	1	31	False	False	False
wizard	50430	1	32	False	False	False
wizard	52130	1	33	False	False	False
wizard	53830	1	34	False	False	False
wizard	55540	1	35	False	False	False
wizard	57260	1	36	False	False	False
wizard	58990	1	37	False	False	False
wizard	60730	1	38	False	False	False
wizard	4200	1	3	False	False	False
wizard	5500	1	4	False	False	False
wizard	6890	1	5	False	False	False
wizard	8370	1	6	False	False	False
wizard	9940	1	7	False	False	False
wizard	11510	1	8	False	False	False
wizard	13080	1	9	False	False	False
