cursor_transitions_tables
0
initiating_cursor	mouse_event	resulting_cursor
move_click	RBUTTON_UP	move_to
move_to	RBUTTON_DOWN	move_click
move_waypoints	RBUTTON_DOWN	move_waypoints_down
move_waypoints_down	RBUTTON_UP	move_waypoints
normal	LBUTTON_DOWN	click_down
occupy_zone	RBUTTON_DOWN	occupy_zone_down
occupy_zone_down	RBUTTON_UP	occupy_zone
pickup_vehicle	RBUTTON_DOWN	pickup_vehicle_down
pickup_vehicle_down	RBUTTON_UP	pickup_vehicle
ping_attack	LBUTTON_DOWN	ping_move_down
ping_defend	LBUTTON_DOWN	ping_move_down
ping_defend_down	LBUTTON_UP	ping_defend
ping_move	LBUTTON_DOWN	ping_move_down
ping_move_down	LBUTTON_UP	ping_attack
ping_reinforce	LBUTTON_DOWN	ping_reinforce_down
ping_reinforce_down	LBUTTON_UP	ping_reinforce
ping_standard	LBUTTON_DOWN	ping_standard_down
ping_standard_down	LBUTTON_UP	ping_standard
place_deployable	RBUTTON_DOWN	place_deployable_down
place_deployable_down	RBUTTON_UP	place_deployable
rally_position	LBUTTON_DOWN	rally_position_down
rally_position_down	LBUTTON_UP	rally_position
ram_ship	RBUTTON_DOWN	ram_ship_down
ram_ship_down	RBUTTON_UP	ram_ship
scale_wall	RBUTTON_DOWN	scale_wall_click
scale_wall_click	RBUTTON_UP	scale_wall
select	LBUTTON_DOWN	select_click
select_click	LBUTTON_UP	select
select_mini	LBUTTON_DOWN	select_mini_click
select_mini_click	LBUTTON_UP	select_mini
siege_tower_dock	RBUTTON_DOWN	siege_tower_dock_down
siege_tower_dock_down	RBUTTON_UP	siege_tower_dock
spellcast	LBUTTON_DOWN	spellcast_down
spellcast_down	LBUTTON_UP	spellcast
spellcast_oor	LBUTTON_DOWN	spellcast_oor_down
spellcast_overcharged	LBUTTON_DOWN	spellcast_overcharged_down
spellcast_overcharged_down	LBUTTON_UP	spellcast_overcharged
spellcast_overcharged_oor	LBUTTON_DOWN	spellcast_overcharged_oor_down
swap	RBUTTON_DOWN	swap_down
swap_down	RBUTTON_UP	swap
take_cover_behind_wall	RBUTTON_DOWN	take_cover_behind_wall_click
take_cover_behind_wall_click	RBUTTON_UP	take_cover_behind_wall
terrain_desert	RBUTTON_DOWN	terrain_desert_down
terrain_desert_attrition	RBUTTON_DOWN	terrain_desert_attrition_down
terrain_desert_attrition_down	RBUTTON_UP	terrain_desert_attrition
terrain_desert_down	RBUTTON_UP	terrain_desert
terrain_forest	RBUTTON_DOWN	terrain_forest_down
terrain_forest_down	RBUTTON_UP	terrain_forest
terrain_heavy	RBUTTON_DOWN	terrain_heavy_down
terrain_heavy_down	RBUTTON_UP	terrain_heavy
terrain_marsh	RBUTTON_DOWN	terrain_marsh_down
terrain_marsh_down	RBUTTON_UP	terrain_marsh
terrain_ocean	RBUTTON_DOWN	terrain_ocean_down
terrain_ocean_attrition	RBUTTON_DOWN	terrain_ocean_attrition_down
terrain_ocean_attrition_down	RBUTTON_UP	terrain_ocean_attrition
terrain_ocean_down	RBUTTON_UP	terrain_ocean
terrain_plains	RBUTTON_DOWN	terrain_plains_down
terrain_plains_down	RBUTTON_UP	terrain_plains
terrain_road	RBUTTON_DOWN	terrain_road_down
terrain_road_down	RBUTTON_UP	terrain_road
terrain_rough	RBUTTON_DOWN	terrain_rough_down
terrain_rough_down	RBUTTON_UP	terrain_rough
terrain_scrub	RBUTTON_DOWN	terrain_scrub_down
terrain_scrub_down	RBUTTON_UP	terrain_scrub
terrain_softground	RBUTTON_DOWN	terrain_softground_down
terrain_softground_down	RBUTTON_UP	terrain_softground
terrain_water	RBUTTON_DOWN	terrain_water_down
terrain_water_down	RBUTTON_UP	terrain_water
trade_route	RBUTTON_DOWN	trade_route_down
treasure_hunt	RBUTTON_DOWN	treasure_hunt_down
treasure_hunt_down	RBUTTON_UP	treasure_hunt
vortex_drag	LBUTTON_DOWN	vortex_drag_down
vortex_drag_down	LBUTTON_UP	vortex_drag
