Changes between .\build_effects_base.tsv (old) and .\new_build_effects.tsv (new)
Entry	Column	Old Value	New Value
EK:  wh2_main_special_settlement_lothern_lzd_2  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh2_main_special_settlement_lothern_lzd_2', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh_main_horde_savage_settlement_3  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh_main_horde_savage_settlement_3', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh2_main_special_settlement_altdorf_lzd_5  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh2_main_special_settlement_altdorf_lzd_5', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh2_main_special_settlement_itza_skv_5  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh2_main_special_settlement_itza_skv_5', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh2_main_special_settlement_lothern_def_4  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh2_main_special_settlement_lothern_def_4', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh2_main_lzd_outpostnorsca_major_5_coast  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh2_main_lzd_outpostnorsca_major_5_coast', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh2_main_lzd_settlement_major_1_coast  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh2_main_lzd_settlement_major_1_coast', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh2_main_skv_outpostnorsca_major_2  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh2_main_skv_outpostnorsca_major_2', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh_main_emp_outpostnorsca_major_3_coast  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh_main_emp_outpostnorsca_major_3_coast', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh2_main_special_settlement_skavenblight_other_1  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh2_main_special_settlement_skavenblight_other_1', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh2_main_special_settlement_lahmia_lzd_4  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh2_main_special_settlement_lahmia_lzd_4', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh2_main_special_settlement_itza_vmp_4  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh2_main_special_settlement_itza_vmp_4', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh_main_special_settlement_couronne_3_brt  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh_main_special_settlement_couronne_3_brt', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh2_main_special_settlement_couronne_def_3  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh2_main_special_settlement_couronne_def_3', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh2_main_hef_settlement_major_3_coast  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh2_main_hef_settlement_major_3_coast', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh2_main_special_settlement_colony_major_hef_4  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh2_main_special_settlement_colony_major_hef_4', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh2_main_special_settlement_naggarond_5  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh2_main_special_settlement_naggarond_5', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh2_main_special_settlement_lothern_lzd_1  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh2_main_special_settlement_lothern_lzd_1', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh_main_dwf_smith_1  TO  wh_main_effect_technology_research_points	ENTIRE_ENTRY	MISSING	{'building': 'wh_main_dwf_smith_1', 'effect_scope': 'faction_to_faction_own_unseen', 'effect': 'wh_main_effect_technology_research_points', 'value': '15', 'value_ruined': '0', 'value_damaged': '10'}
EK:  wh2_main_special_settlement_black_crag_lzd_5  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh2_main_special_settlement_black_crag_lzd_5', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh_main_grn_outpostnorsca_major_3_skarsnik  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh_main_grn_outpostnorsca_major_3_skarsnik', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh_main_grn_settlement_minor_2_wurrzag  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh_main_grn_settlement_minor_2_wurrzag', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh_main_nor_outpost_minor_human_3  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh_main_nor_outpost_minor_human_3', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh2_main_special_settlement_khemri_lzd_1  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh2_main_special_settlement_khemri_lzd_1', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh2_main_special_settlement_hexoatl_dwf_4  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh2_main_special_settlement_hexoatl_dwf_4', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh_dlc05_wef_settlement_major_3_coast  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh_dlc05_wef_settlement_major_3_coast', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh2_main_special_settlement_castle_drakenhof_dwf_2  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh2_main_special_settlement_castle_drakenhof_dwf_2', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh_main_special_settlement_eight_peaks_1_savage  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh_main_special_settlement_eight_peaks_1_savage', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh2_main_special_settlement_black_crag_def_4  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh2_main_special_settlement_black_crag_def_4', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh_main_grn_outpostnorsca_minor_2  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh_main_grn_outpostnorsca_minor_2', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh2_main_special_settlement_lahmia_grn_5  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh2_main_special_settlement_lahmia_grn_5', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh_main_emp_settlement_minor_3  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh_main_emp_settlement_minor_3', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh2_main_special_settlement_hexoatl_savage_1  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh2_main_special_settlement_hexoatl_savage_1', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh2_main_hef_settlement_major_2_coast  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh2_main_hef_settlement_major_2_coast', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh_main_dwf_outpostnorsca_minor_1_coast  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh_main_dwf_outpostnorsca_minor_1_coast', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh2_main_special_settlement_kislev_other_2  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh2_main_special_settlement_kislev_other_2', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh2_main_special_settlement_altdorf_dwf_2  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh2_main_special_settlement_altdorf_dwf_2', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh2_main_special_settlement_castle_drakenhof_def_1  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh2_main_special_settlement_castle_drakenhof_def_1', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh_main_emp_smiths_2  TO  wh_main_effect_technology_research_points	ENTIRE_ENTRY	MISSING	{'building': 'wh_main_emp_smiths_2', 'effect_scope': 'faction_to_faction_own_unseen', 'effect': 'wh_main_effect_technology_research_points', 'value': '25', 'value_ruined': '0', 'value_damaged': '20'}
EK:  wh_dlc05_wef_settlement_major_main_2  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh_dlc05_wef_settlement_major_main_2', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh2_main_special_settlement_khemri_lzd_3  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh2_main_special_settlement_khemri_lzd_3', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh2_main_special_settlement_hexoatl_vmp_3  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh2_main_special_settlement_hexoatl_vmp_3', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh_main_emp_settlement_minor_3_coast  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh_main_emp_settlement_minor_3_coast', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh2_main_special_settlement_lothern_other_2  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh2_main_special_settlement_lothern_other_2', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh_main_special_settlement_couronne_2_vmp  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh_main_special_settlement_couronne_2_vmp', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh2_main_special_settlement_itza_hef_2  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh2_main_special_settlement_itza_hef_2', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh2_main_def_outpostnorsca_major_3_coast  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh2_main_def_outpostnorsca_major_3_coast', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh2_main_rogue_settlement_minor_coast_3  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh2_main_rogue_settlement_minor_coast_3', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh2_main_special_settlement_lothern_norsca_3  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh2_main_special_settlement_lothern_norsca_3', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh2_main_special_settlement_hexoatl_emp_4  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh2_main_special_settlement_hexoatl_emp_4', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh2_main_special_settlement_kislev_other_5  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh2_main_special_settlement_kislev_other_5', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh2_main_special_settlement_khemri_brt_2  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh2_main_special_settlement_khemri_brt_2', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
EK:  wh2_main_special_settlement_hexoatl_emp_5  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'building': 'wh2_main_special_settlement_hexoatl_emp_5', 'effect_scope': 'faction_to_force_own_unseen', 'effect': 'wh_main_effect_force_all_campaign_upkeep', 'value': '0.75', 'value_ruined': '0', 'value_damaged': '1'}
