quotes_people_tables
0
quote_person_key	quote_person_onscreen
lord_xuatep	Archival transcript of the words of Lord Xuatep
lord_ztlocutec	Last words of Lord Ztlocutec, to his chief attendant, the Skink Priest Xhili'Zkuki
lost_waaagh	Accounts of the Lost Waaagh!
louen_king	Louen Leoncoeur, King of Bretonnia, Grail Knight
ludwig_nusbaum	Ratcatcher Ludwig Nusbaum
lustrian_adventure	Memoirs of a Lustrian Adventure
magda_freyadotter	Magda Freyadotter, Priestess of Valaya and Counsel of Prince Belegar of Karak Eight Peaks
magnus	Magnus the Pious
malagor	Malagor, the Dark Omen
malekith	Malekith, Witch King of Naggaroth 
malekith_assassin	Malekith's words to the assassin he sent to murder Caledor I
malekith_karak_address	Malekith, addressing the Dwarfs at Karak Kadrin
malfeasant	The Strange Tale of Doctor Malfeasant
man_flayer	Man-Flayer, of Clan Mors
mannfred_von_carstein	Mannfred von Carstein
marcelle_du_nottin	Marcelle du Nottin, Scholar of the Grail
marius_leitdorf	Marius Leitdorf, Mad Count of Averland
markus_leibniz	Markus Leibniz, General of the 4th Wissenland Division
markus_wulfhart	Markus Wulfhart, the Huntsmarshal of the Empire
martin_fortberg	Martin Fortberg, Chief Powderjack at the Imperial Gunnery School, Nuln
matthias_von_pfeildorf	Matthias von Pfeildorf, former Imperial Envoy to Couronne
menlui	Lady Menlui of the Witherhold
morglum	Morglum Necksnapper, Orc Warboss
morglum_necksnapper	Morglum Necksnapper
narshift	Narshift, Warlock Engineer of Clan Skryre
nowl	Blind Nowl, the Seer of Parravon
oldor_greybeard	Oldor Greybeard, Prospector
onceman	Heinrich Onceman
orc	Orc War Chant
orc_giant_quote	An Orc Big Boss, talking about his tribe's Giant
peasant_vows	Vows of the Peasants unto their Bretonnian Lord
peasants_duty	The Peasant's Duty
petrus_staveheart	Petrus Staveheart, Official Scribe of the Holy Order of the Templars of Sigmar
phillipe_de_blois	Sir Phillipe de Blois, Knight of the Grail
prophecy_of_sotek	Extract from the Prophecy of Sotek
queek	Warlord Queek Head-Taker
questing_vow	The Questing Vow
rakranos	Rakranos the Ancient, Dragon Ogre Shaggoth
reiklander_joke	Reiklander joke
reiksmarshal_trenkenhoff	Reiksmarshal Trenkenhoff
reikwald	Sole survivor of the Reikwald Forest Patrol
reinhold	Arthus Reinhold
rekthor	Rekthor Redaxe, Dwarfen Giant Slayer (deceased)
renkler	Marcus Renkler, squire and pistolier to the House of Middenheim
rineheart_prinzbild	Rinehart Prinzbild, Official Portraitist to the Imperial Court
rittlehof	Oskar Rittlehof, Veteran Huntsman
ritual_vow	Ritual vow of a Knight of the Realm
sarathai	Sarathai Spiritwalker, Second Spellsinger to the Guard of Isha
schwalz	"Mad" Schwalz, the Idiot of Sternburg
scyla	Scyla Anfingrimm
sheglak	Sheglak, Orc Shaman
silverwing	Treiya Silverwing, Spellsinger
skarsnik	Skarsnik, Warlord of the Eight Peaks
skarsnik_bickenstadt	Skarsnik, as he commands the playwright Bickenstadt to write the story of his life
skarsnik_life	The Life of Skarsnik
skarsnik_squig	Skarsnik, talking to his beloved pet Squig
skaven_phrase	A common Skaven phrase alluding to the nexus of the Under-Empire
skreelin_thurntik	Skreelin Thurntik, Grey Seer
slann_second	An unnamed 2nd Generation Slann, his only words in living memory
sotek_prophecy	Extract from the Prophecy of Sotek
stirlander_proverb	Stirlander Proverb
stonesplitter	Bolgrun Stonesplitter, leader of the First Expeditionary Dwarfen Force to Athel Loren
talgatha_the_fallen	Tal'gatha the Fallen
teclis	Loremaster Teclis, Tyrion's twin brother
teilancarr	Teilancarr, Druchii Corsair
thederic_de_maronz	Lord Thederic de Maronz, to a captured outlaw
theoderic_gausser	Theoderic Gausser, Elector Count of Nordland
thorgrim	Thorgrim Grudgebearer, Dwarfen High King
tobias_gottmann	Tobias Gottmann, last survivor of the Altdorf Redshields
tyrion	Prince Tyrion, Defender of Ulthuan 
udolf	Gunnery Captain Udolf Herzelman, his last words
ulfred_wasmeier	Ulfred Wasmeier, Priest of Sigmar
vilitreska	Vilitreska, Lord of the Flux
vincenzo_corenzo	From the logbook of Vincenzo Corenzo, Mercenary Capitano out of Tilea
virtue_of_audacity	Virtue of Audacity
virtue_of_confidence	Virtue of Confidence
virtue_of_discipline	Virtue of Discipline
virtue_of_duty	Virtue of Duty
virtue_of_empathy	Virtue of Empathy
virtue_of_heroism	Virtue of Heroism
virtue_of_knightly_temper	Virtue of Knightly Temper
virtue_of_noble_disdain	Virtue of Noble Disdain
virtue_of_purity	Virtue of Purity 
virtue_of_stoicism	Virtue of Stoicism
virtue_of_the_ideal	Virtue of the Ideal
virtue_of_the_impetuous_knight	Virtue of the Impetuous Knight
virtue_of_the_joust	Virtue of the Joust
virtue_of_the_penitent	Virtue of the Penitent
vlad_von_carstein	Vlad von Carstein
volkmar	Volkmar, Theogonist of Sigmar
warlord_hroth	Warlord Hroth
witch_hunter_motto	Witch Hunter motto
woodwhisper	Elui Woodwhisper, Prophet and Scribe to the Phoenix King
wulfrick	Wulfrik the Wanderer, to Dwarf King Thurbad Stonebeard, in perfect Khazalid
yinlinsson	Traditional Yinlinsson war cry
zacharias_the_everlasting	Zacharias the Everliving
zalesh	Zalesh, Chaos Chosen
zar_sezask	Zar Sezask, Kurgan Chieftain
zar_uzelek	Zar Uzelek, Yusak Chieftain
