campaign_character_arts_tables
7
art_set_id	level	age	portrait	season	uniform	card	info	sea_uniform	navy_uniform	land_animation	sea_animation	navy_animation	id	-	religion	land_animation_vfx_filter	sea_animation_vfx_filter	navy_animation_vfx_filter
wh2_main_art_set_skv_grey_seer_ruin_03	0	0		none	wh2_main_uniform_skv_grey_seer_03			wh2_main_campaign_skv_ship_transport	wh2_main_campaign_skv_ship_transport	cam_hu17_skaven_staff_and_sword	cam_medium_ship_06	cam_medium_ship_06	1418155803	0		0	0	0
wh2_main_art_set_lzd_saurus_scar_veteran_02	0	0		none	wh2_main_uniform_lzd_saurus_scar_veteran_02			wh2_main_campaign_lzd_ship_agent	wh2_main_campaign_lzd_ship_agent	cam_lord_hu7b_saurus_spear	cam_transport_ship_04	cam_transport_ship_04	1449571313	0		0	0	0
wh2_main_art_set_hef_loremaster_of_hoeth_02	0	0		none	wh2_main_uniform_hef_loremaster_of_hoeth_02			wh2_main_campaign_hef_ship_agent	wh2_main_campaign_hef_ship_agent	cam_hero_hu1d_elf_2handed_sword	cam_medium_ship_05	cam_medium_ship_05	1488279905	0		0	0	0
wh2_main_art_set_hef_prince_04	0	0		none	wh2_main_uniform_hef_prince_04			wh2_main_campaign_hef_ship_transport	wh2_main_campaign_hef_ship_transport	cam_hu1d_elf_sword_and_shield	cam_medium_ship_05	cam_medium_ship_05	1526182934	0		0	0	0
wh_main_art_set_teb_general_01	0	0		none	wh_main_uniform_emp_general_campaign_01			wh_main_campaign_emp_ship_heavy	wh_main_campaign_emp_ship_heavy	cam_hu1_empire_sword_and_shield	cam_heavy_ship_01	cam_heavy_ship_01	1553155872	0		0	0	0
wh2_main_art_set_lzd_skink_priest_03	0	0		none	wh2_main_uniform_lzd_skink_priest_03			wh2_main_campaign_lzd_ship_agent	wh2_main_campaign_lzd_ship_agent	cam_hero_hu7_skink_staff_and_club	cam_transport_ship_04	cam_transport_ship_04	1591290006	0		0	0	0
wh2_main_art_set_def_khainite_assassin_04	0	0		none	wh2_main_uniform_def_khainite_assassin_04			wh2_main_campaign_def_ship_agent	wh2_main_campaign_def_ship_agent	cam_hero_hu1d_elf_sword_and_handbow	cam_light_ship_05	cam_light_ship_05	1632024428	0		0	0	0
wh2_main_art_set_skv_plague_priest_02	0	0		none	wh2_main_uniform_skv_plague_priest_02			wh2_main_campaign_skv_ship_agent	wh2_main_campaign_skv_ship_agent	cam_hu17_skaven_censer	cam_medium_ship_06	cam_medium_ship_06	1731968957	0		0	0	0
wh2_main_art_set_def_dreadlord_fem_02	0	0		none	wh2_main_uniform_def_dreadlord_fem_02			wh2_main_campaign_def_ship_army	wh2_main_campaign_def_ship_army	cam_lord_hu1b_elf_sword_and_shield	cam_light_ship_05	cam_light_ship_05	1744947524	0		0	0	0
wh2_main_art_set_hef_mage_03	0	0		none	wh2_main_uniform_hef_mage_03			wh2_main_campaign_hef_ship_agent	wh2_main_campaign_hef_ship_agent	cam_lord_hu1b_elf_staff_and_sword	cam_medium_ship_05	cam_medium_ship_05	1763559082	0		0	0	0
wh_main_art_set_ksl_general_01	0	0		none	wh_main_uniform_emp_general_campaign_01			wh_main_campaign_emp_ship_heavy	wh_main_campaign_emp_ship_heavy	cam_hu1_empire_sword_and_shield	cam_heavy_ship_01	cam_heavy_ship_01	1783483454	0		0	0	0
wh2_main_art_set_hef_noble_03	0	0		none	wh2_main_uniform_hef_noble_03			wh2_main_campaign_hef_ship_agent	wh2_main_campaign_hef_ship_agent	cam_hero_hu1d_elf_halberd	cam_medium_ship_05	cam_medium_ship_05	1844087148	0		0	0	0
wh2_main_art_set_lzd_slann_mage_priest_05	0	0		none	wh2_main_uniform_lzd_slann_mage_priest_05			wh2_main_campaign_lzd_ship_transport	wh2_main_campaign_lzd_ship_transport	cam_lord_hu9_slann_mace	cam_transport_ship_04	cam_transport_ship_04	1854859054	0		0	0	0
wh_main_art_set_teb_general_04	0	0		none	wh_main_uniform_emp_general_campaign_04			wh_main_campaign_emp_ship_heavy	wh_main_campaign_emp_ship_heavy	cam_hu1_empire_sword_and_shield	cam_heavy_ship_01	cam_heavy_ship_01	1894769633	0		0	0	0
wh_main_art_set_teb_general_05	0	0		none	wh_main_uniform_emp_general_campaign_05			wh_main_campaign_emp_ship_heavy	wh_main_campaign_emp_ship_heavy	cam_hu1_empire_sword_and_shield	cam_heavy_ship_01	cam_heavy_ship_01	1965317254	0		0	0	0
wh2_main_art_set_def_dreadlord_02	0	0		none	wh2_main_uniform_def_dreadlord_02			wh2_main_campaign_def_ship_army	wh2_main_campaign_def_ship_army	cam_lord_hu1d_elf_sword_crossbow	cam_light_ship_05	cam_light_ship_05	249017197	0		0	0	0
wh2_main_art_set_hef_loremaster_of_hoeth_03	0	0		none	wh2_main_uniform_hef_loremaster_of_hoeth_03			wh2_main_campaign_hef_ship_agent	wh2_main_campaign_hef_ship_agent	cam_hero_hu1d_elf_2handed_sword	cam_medium_ship_05	cam_medium_ship_05	256736473	0		0	0	0
wh2_main_art_set_skv_assassin_02	0	0		none	wh2_main_uniform_skv_assassin_02			wh2_main_campaign_skv_ship_agent	wh2_main_campaign_skv_ship_agent	cam_hu17_skaven_dual_sword	cam_medium_ship_06	cam_medium_ship_06	314540988	0		0	0	0
wh_main_art_set_grn_grimgor_ironhide	0	0		none	wh_main_uniform_grn_grimgor_ironhide			wh_main_campaign_grn_ship_heavy	wh_main_campaign_grn_ship_heavy	cam_hu2_orc_2handed_axe	cam_heavy_ship_02	cam_heavy_ship_02	3179	0		0	0	0
wh_main_art_set_brt_lord_01	0	0		none	wh_main_uniform_brt_lord_campaign_01			wh_main_campaign_brt_ship_heavy	wh_main_campaign_brt_ship_heavy	cam_hu1_empire_sword_and_shield	cam_heavy_ship_01	cam_heavy_ship_01	3194	0		0	0	0
wh_main_art_set_brt_louen_leoncoeur	0	0		none	wh_main_uniform_brt_louen_leoncoeur			wh_main_campaign_brt_ship_heavy	wh_main_campaign_brt_ship_heavy	cam_hu1_leoncoeur_sword_and_shield	cam_heavy_ship_01	cam_heavy_ship_01	3244	0		0	0	0
wh_main_art_set_brt_paladin_01	0	0		none	wh_main_uniform_brt_paladin_campaign_01			wh_main_campaign_brt_ship_light	wh_main_campaign_brt_ship_heavy	cam_hu1_empire_sword_and_shield	cam_light_ship_01	cam_heavy_ship_01	3254	0		0	0	0
wh_main_art_set_chs_exalted_hero_01	0	0		none	wh_main_uniform_chs_exalted_hero_campaign_01			wh_main_campaign_chs_ship_light	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_sword_and_shield	cam_light_ship_04	cam_heavy_ship_04	3258	0		0	0	0
wh_main_art_set_dwf_thane_01	0	0		none	wh_main_uniform_dwf_thane_campaign_01			wh_main_campaign_dwf_ship_light	wh_main_campaign_dwf_ship_heavy	cam_hu3_dwarf_axe_shield_and_crossbow	cam_light_ship_03	cam_heavy_ship_03	3291	0		0	0	0
wh_main_art_set_dwf_thorgrim_grudgebearer	0	0		none	wh_main_uniform_dwf_thorgrim_grudgebearer			wh_main_campaign_dwf_ship_heavy	wh_main_campaign_dwf_ship_heavy	cam_th1_throne_of_power	cam_heavy_ship_03	cam_heavy_ship_03	3297	0		0	0	0
wh_main_art_set_emp_captain_01	0	0		none	wh_main_uniform_emp_captain_campaign_01			wh_main_campaign_emp_ship_light	wh_main_campaign_emp_ship_heavy	cam_hu1_empire_sword_and_shield	cam_light_ship_01	cam_heavy_ship_01	3298	0		0	0	0
wh_main_art_set_emp_karl_franz	0	0		none	wh_main_uniform_emp_karl_franz			wh_main_campaign_emp_ship_heavy	wh_main_campaign_emp_ship_heavy	cam_hu1_empire_hammer	cam_heavy_ship_01	cam_heavy_ship_01	3301	0		0	0	0
wh_main_art_set_emp_warrior_priest_01	0	0		none	wh_main_uniform_emp_warrior_priest_campaign_01			wh_main_campaign_emp_ship_light	wh_main_campaign_emp_ship_heavy	cam_hu1_empire_hammer_and_book	cam_light_ship_01	cam_heavy_ship_01	3310	0		0	0	0
wh_main_art_set_emp_witch_hunter_01	0	0		none	wh_main_uniform_emp_witch_hunter_campaign_01			wh_main_campaign_emp_ship_light	wh_main_campaign_emp_ship_heavy	cam_hu1_empire_sword_and_pistol	cam_light_ship_01	cam_heavy_ship_01	3319	0		0	0	0
wh_main_art_set_grn_goblin_big_boss_01	0	0		none	wh_main_uniform_grn_goblin_big_boss_campaign_01			wh_main_campaign_grn_ship_light	wh_main_campaign_grn_ship_heavy	cam_hu5_goblin_spear_and_shield	cam_light_ship_02	cam_heavy_ship_02	3327	0		0	0	0
wh_main_art_set_grn_orc_warboss_01	0	0		none	wh_main_uniform_grn_orc_warboss_campaign_01			wh_main_campaign_grn_ship_heavy	wh_main_campaign_grn_ship_heavy	cam_hu2_orc_sword_and_shield	cam_heavy_ship_02	cam_heavy_ship_02	3355	0		0	0	0
wh_main_art_set_teb_captain	0	0		none	wh_main_uniform_emp_captain_campaign_01			wh_main_campaign_emp_ship_light	wh_main_campaign_emp_ship_heavy	cam_hu1_empire_sword_and_shield	cam_light_ship_01	cam_heavy_ship_01	3363	0		0	0	0
wh_main_art_set_vmp_banshee_01	0	0		none	wh_main_uniform_vmp_banshee_campaign_01			wh_main_campaign_vmp_ship_light	wh_main_campaign_vmp_ship_heavy	cam_gh1_ghost	cam_light_ship_01	cam_heavy_ship_01	3372	0		0	0	0
wh_main_art_set_vmp_mannfred_von_carstein	0	0		none	wh_main_uniform_vmp_mannfred_von_carstein			wh_main_campaign_vmp_ship_heavy	wh_main_campaign_vmp_ship_heavy	cam_hu1_empire_staff_and_sword	cam_heavy_ship_01	cam_heavy_ship_01	3382	0		0	0	0
wh_main_art_set_vmp_vampire_01	0	0		none	wh_main_uniform_vmp_vampire_campaign_01			wh_main_campaign_vmp_ship_light	wh_main_campaign_vmp_ship_heavy	cam_hu1b_vampire_sword	cam_light_ship_01	cam_heavy_ship_01	3394	0		0	0	0
wh_main_art_set_vmp_wight_king_01	0	0		none	wh_main_uniform_vmp_wight_king_campaign_01			wh_main_campaign_vmp_ship_light	wh_main_campaign_vmp_ship_heavy	cam_hu1_empire_sword_and_shield	cam_light_ship_01	cam_heavy_ship_01	3403	0		0	0	0
wh_main_art_set_chs_archaon	0	0		none	wh_main_uniform_chs_archaon			wh_main_campaign_chs_ship_heavy	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_sword_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	3431	0		0	0	0
wh_main_art_set_chs_lord_01	0	0		none	wh_main_uniform_chs_lord_campaign_01			wh_main_campaign_chs_ship_heavy	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_sword_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	3440	0		0	0	0
wh_main_art_set_dwf_lord_01	0	0		none	wh_main_uniform_dwf_lord_campaign_01			wh_main_campaign_dwf_ship_heavy	wh_main_campaign_dwf_ship_heavy	cam_hu3_dwarf_axe_and_shield	cam_heavy_ship_03	cam_heavy_ship_03	3447	0		0	0	0
wh2_main_art_set_def_sorceress_02	0	0		none	wh2_main_uniform_def_sorceress_02			wh2_main_campaign_def_ship_agent	wh2_main_campaign_def_ship_agent	cam_lord_hu1b_elf_staff_and_sword	cam_light_ship_05	cam_light_ship_05	344938214	0		0	0	0
wh_main_art_set_emp_general_01	0	0		none	wh_main_uniform_emp_general_campaign_01			wh_main_campaign_emp_ship_heavy	wh_main_campaign_emp_ship_heavy	cam_hu1_empire_sword_and_shield	cam_heavy_ship_01	cam_heavy_ship_01	3463	0		0	0	0
wh_main_art_set_nor_marauder_chieftain_01	0	0		none	wh_main_uniform_nor_marauder_chieftain_campaign_01			wh_main_campaign_chs_ship_heavy	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_axe_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	3509	0		0	0	0
wh_main_art_set_vmp_lord_01	0	0		none	wh_main_uniform_vmp_lord_campaign_01			wh_main_campaign_vmp_ship_heavy	wh_main_campaign_vmp_ship_heavy	cam_hu1_empire_sword_and_shield	cam_heavy_ship_01	cam_heavy_ship_01	3515	0		0	0	0
wh_main_art_set_ksl_captain	0	0		none	wh_main_uniform_emp_captain_campaign_01			wh_main_campaign_emp_ship_light	wh_main_campaign_emp_ship_heavy	cam_hu1_empire_sword_and_shield	cam_light_ship_01	cam_heavy_ship_01	3520	0		0	0	0
wh_main_art_set_dwf_engineer_01	0	0		none	wh_main_uniform_dwf_master_engineer_campaign_01			wh_main_campaign_dwf_ship_light	wh_main_campaign_dwf_ship_heavy	cam_hu3_dwarf_2handed_hammer_and_rifle	cam_light_ship_03	cam_heavy_ship_03	3552	0		0	0	0
wh_main_art_set_dwf_runesmith_01	0	0		none	wh_main_uniform_dwf_runesmith_campaign_01			wh_main_campaign_dwf_ship_light	wh_main_campaign_dwf_ship_heavy	cam_hu3_dwarf_hammer	cam_light_ship_03	cam_heavy_ship_03	3553	0		0	0	0
wh_main_art_set_emp_bright_wizard_01	0	0		none	wh_main_uniform_emp_bright_wizard_campaign_01			wh_main_campaign_emp_ship_light	wh_main_campaign_emp_ship_heavy	cam_hu1_empire_staff_and_sword	cam_light_ship_01	cam_heavy_ship_01	3554	0		0	0	0
wh_main_art_set_chs_sorcerer_death_01	0	0		none	wh_main_uniform_chs_sorcerer_campaign_01			wh_main_campaign_chs_ship_light	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_light_ship_04	cam_heavy_ship_04	3562	0		0	0	0
wh_main_art_set_grn_orc_shaman_01	0	0		none	wh_main_uniform_grn_orc_shaman_campaign_01			wh_main_campaign_grn_ship_light	wh_main_campaign_grn_ship_heavy	cam_hu2_orc_staff_and_sword	cam_light_ship_02	cam_heavy_ship_02	3579	0		0	0	0
wh_main_art_set_vmp_necromancer_01	0	0		none	wh_main_uniform_vmp_necromancer_campaign_01			wh_main_campaign_vmp_ship_light	wh_main_campaign_vmp_ship_heavy	cam_hu1_empire_staff_and_sword	cam_light_ship_01	cam_heavy_ship_01	3587	0		0	0	0
wh_main_art_set_brt_damsel_01	0	0		none	wh_main_uniform_brt_damsel_campaign_01			wh_main_campaign_brt_ship_light	wh_main_campaign_brt_ship_heavy	cam_hu1b_bretonnian_staff_and_sword	cam_light_ship_01	cam_heavy_ship_01	3598	0		0	0	0
wh_main_art_set_grn_night_goblin_shaman_01	0	0		none	wh_main_uniform_grn_night_goblin_shaman_campaign_01			wh_main_campaign_grn_ship_light	wh_main_campaign_grn_ship_heavy	cam_hu5_goblin_staff_and_sword	cam_light_ship_02	cam_heavy_ship_02	3607	0		0	0	0
wh_main_art_set_grn_goblin_great_shaman_01	0	0		none	wh_main_uniform_grn_goblin_great_shaman_campaign_01			wh_main_campaign_grn_ship_heavy	wh_main_campaign_grn_ship_heavy	cam_hu5_goblin_staff_and_sword	cam_heavy_ship_02	cam_heavy_ship_02	3614	0		0	0	0
wh2_main_art_set_lzd_skink_priest_02	0	0		none	wh2_main_uniform_lzd_skink_priest_02			wh2_main_campaign_lzd_ship_agent	wh2_main_campaign_lzd_ship_agent	cam_hero_hu7_skink_staff_and_club	cam_transport_ship_04	cam_transport_ship_04	362943954	0		0	0	0
wh_main_art_set_ksl_general_04	0	0		none	wh_main_uniform_emp_general_campaign_04			wh_main_campaign_emp_ship_heavy	wh_main_campaign_emp_ship_heavy	cam_hu1_empire_sword_and_shield	cam_heavy_ship_01	cam_heavy_ship_01	373711375	0		0	0	0
wh_main_art_set_ksl_general_03	0	0		none	wh_main_uniform_emp_general_campaign_03			wh_main_campaign_emp_ship_heavy	wh_main_campaign_emp_ship_heavy	cam_hu1_empire_sword_and_shield	cam_heavy_ship_01	cam_heavy_ship_01	38612853	0		0	0	0
wh_main_art_set_chs_kholek_suneater	0	0		none	wh_main_uniform_chs_kholek_suneater			wh_main_campaign_chs_ship_heavy	wh_main_campaign_chs_ship_heavy	cam_ce02_dragon_orgre_2handed_axe	cam_heavy_ship_04	cam_heavy_ship_04	3920	0		0	0	0
wh_main_art_set_chs_lord_of_change	0	0		none	wh_main_uniform_chs_lord_of_change			wh_main_campaign_chs_ship_heavy	wh_main_campaign_chs_ship_heavy	cam_huc10c_lord_of_change_staff	cam_heavy_ship_04	cam_heavy_ship_04	3925	0		0	0	0
wh_main_art_set_chs_prince_sigvald	0	0		none	wh_main_uniform_chs_prince_sigvald			wh_main_campaign_chs_ship_heavy	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_sword_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	3932	0		0	0	0
wh_main_art_set_chs_sorcerer_fire_01	0	0		none	wh_main_uniform_chs_sorcerer_campaign_01			wh_main_campaign_chs_ship_light	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_light_ship_04	cam_heavy_ship_04	3933	0		0	0	0
wh_main_art_set_chs_sorcerer_metal_01	0	0		none	wh_main_uniform_chs_sorcerer_campaign_01			wh_main_campaign_chs_ship_light	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_light_ship_04	cam_heavy_ship_04	3937	0		0	0	0
wh_main_art_set_chs_sorcerer_lord_death_01	0	0		none	wh_main_uniform_chs_sorcerer_lord_campaign_01			wh_main_campaign_chs_ship_heavy	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_heavy_ship_04	cam_heavy_ship_04	3939	0		0	0	0
wh_main_art_set_dwf_ungrim_ironfist	0	0		none	wh_main_uniform_dwf_ungrim_ironfist			wh_main_campaign_dwf_ship_heavy	wh_main_campaign_dwf_ship_heavy	cam_hu3_dwarf_2handed_axe_ungrim	cam_heavy_ship_03	cam_heavy_ship_03	3947	0		0	0	0
wh_main_art_set_emp_balthasar_gelt	0	0		none	wh_main_uniform_emp_balthasar_gelt			wh_main_campaign_emp_ship_heavy	wh_main_campaign_emp_ship_heavy	cam_hu1_empire_staff_and_sword	cam_heavy_ship_01	cam_heavy_ship_01	3952	0		0	0	0
wh_main_art_set_emp_celestial_wizard	0	0		none	wh_main_uniform_emp_celestial_wizard			wh_main_campaign_emp_ship_light	wh_main_campaign_emp_ship_heavy	cam_hu1_empire_staff_and_sword	cam_light_ship_01	cam_heavy_ship_01	3960	0		0	0	0
wh_main_art_set_emp_light_wizard_01	0	0		none	wh_main_uniform_emp_light_wizard_campaign_01			wh_main_campaign_emp_ship_light	wh_main_campaign_emp_ship_heavy	cam_hu1_empire_staff_and_sword	cam_light_ship_01	cam_heavy_ship_01	3967	0		0	0	0
wh_main_art_set_grn_azhag_the_slaughterer	0	0		none	wh_main_uniform_grn_azhag_the_slaughterer			wh_main_campaign_grn_ship_heavy	wh_main_campaign_grn_ship_heavy	cam_hu2_orc_sword_and_axe	cam_heavy_ship_02	cam_heavy_ship_02	3969	0		0	0	0
wh_main_art_set_ksl_celestial_wizard	0	0		none	wh_main_uniform_emp_celestial_wizard			wh_main_campaign_emp_ship_light	wh_main_campaign_emp_ship_heavy	cam_hu1_empire_staff_and_sword	cam_light_ship_01	cam_heavy_ship_01	3979	0		0	0	0
wh_main_art_set_teb_bright_wizard	0	0		none	wh_main_uniform_emp_bright_wizard_campaign_01			wh_main_campaign_emp_ship_light	wh_main_campaign_emp_ship_heavy	cam_hu1_empire_staff_and_sword	cam_light_ship_01	cam_heavy_ship_01	3981	0		0	0	0
wh_main_art_set_vmp_heinrich_kemmler	0	0		none	wh_main_uniform_vmp_heinrich_kemmler			wh_main_campaign_vmp_ship_heavy	wh_main_campaign_vmp_ship_heavy	cam_hu1_empire_staff_and_sword	cam_heavy_ship_01	cam_heavy_ship_01	3991	0		0	0	0
wh_main_art_set_vmp_master_necromancer_01	0	0		none	wh_main_uniform_vmp_master_necromancer_campaign_01			wh_main_campaign_vmp_ship_heavy	wh_main_campaign_vmp_ship_heavy	cam_hu1_empire_staff_and_sword	cam_heavy_ship_01	cam_heavy_ship_01	3998	0		0	0	0
wh_main_art_set_nor_chaos_sorcerer_metal	0	0		none	wh_main_uniform_chs_sorcerer_campaign_01			wh_main_campaign_chs_ship_light	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_light_ship_04	cam_heavy_ship_04	4013	0		0	0	0
wh_main_art_set_chs_sorcerer_lord_metal_01	0	0		none	wh_main_uniform_chs_sorcerer_lord_campaign_01			wh_main_campaign_chs_ship_heavy	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_heavy_ship_04	cam_heavy_ship_04	4022	0		0	0	0
wh_main_art_set_chs_sorcerer_lord_fire_01	0	0		none	wh_main_uniform_chs_sorcerer_lord_campaign_01			wh_main_campaign_chs_ship_heavy	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_heavy_ship_04	cam_heavy_ship_04	4026	0		0	0	0
wh_main_art_set_nor_sorcerer_lord_metal	0	0		none	wh_main_uniform_chs_sorcerer_lord_campaign_01			wh_main_campaign_chs_ship_heavy	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_heavy_ship_04	cam_heavy_ship_04	4032	0		0	0	0
wh_dlc03_art_set_bst_beastlord_01	0	0		none	wh_dlc03_uniform_bst_beastlord_01			wh_dlc03_campaign_bst_ship_heavy	wh_dlc03_campaign_bst_ship_transport	cam_hu6_gor_axe	cam_beastmen_ship01	cam_beastmen_ship01	4036	0		0	0	0
wh_dlc03_art_set_bst_bray_shaman_01	0	0		none	wh_dlc03_uniform_bst_bray_shaman_01			wh_dlc03_campaign_bst_ship_light	wh_dlc03_campaign_bst_ship_agent	cam_hu6_gor_staff_and_sword	cam_beastmen_ship01	cam_beastmen_ship01	4039	0		0	0	0
wh_dlc03_art_set_bst_gorebull_01	0	0		none	wh_dlc03_uniform_bst_gorebull_01			wh_dlc03_campaign_bst_ship_light	wh_dlc03_campaign_bst_ship_agent	cam_hu12_minotaur_2handed_axe	cam_beastmen_ship01	cam_beastmen_ship01	4050	0		0	0	0
wh_dlc03_art_set_bst_khazrak	0	0		none	wh_dlc03_uniform_bst_khazrak			wh_dlc03_campaign_bst_ship_heavy	wh_dlc03_campaign_bst_ship_transport	cam_hu6_gor_sword_and_whip	cam_beastmen_ship01	cam_beastmen_ship01	4055	0		0	0	0
wh_dlc05_art_set_wef_glade_lord_01	0	0		none	wh_dlc05_uniform_wef_glade_lord_01			wh_dlc05_campaign_wef_ship_transport	wh_dlc05_campaign_wef_ship_transport	cam_hu1d_elf_sword_and_bow	cam_transport_ship_03	cam_transport_ship_03	4061	0		0	0	0
wh_dlc05_art_set_bst_morghur	0	0		none	wh_dlc05_uniform_bst_morghur			wh_dlc03_campaign_bst_ship_heavy	wh_dlc03_campaign_bst_ship_transport	cam_hu6_gor_sword_and_whip_morghur	cam_beastmen_ship01	cam_beastmen_ship01	4074	0		0	0	0
wh_dlc05_art_set_wef_orion	0	0		none	wh_dlc05_uniform_wef_orion			wh_dlc05_campaign_wef_ship_transport	wh_dlc05_campaign_wef_ship_transport	cam_hu6c_orion_2handed_spear	cam_transport_ship_03	cam_transport_ship_03	4077	0		0	0	0
wh_dlc05_art_set_wef_spellsinger_01	0	0		none	wh_dlc05_uniform_wef_spellsinger_01			wh_dlc05_campaign_wef_ship_agent	wh_dlc05_campaign_wef_ship_agent	cam_hu1b_elf_spellsinger	cam_transport_ship_03	cam_transport_ship_03	4085	0		0	0	0
wh_dlc05_art_set_wef_spellsinger_02	0	0		none	wh_dlc05_uniform_wef_spellsinger_02			wh_dlc05_campaign_wef_ship_agent	wh_dlc05_campaign_wef_ship_agent	cam_hu1b_elf_spellsinger	cam_transport_ship_03	cam_transport_ship_03	4092	0		0	0	0
wh_dlc05_art_set_wef_spellsinger_03	0	0		none	wh_dlc05_uniform_wef_spellsinger_03			wh_dlc05_campaign_wef_ship_agent	wh_dlc05_campaign_wef_ship_agent	cam_hu1b_elf_spellsinger	cam_transport_ship_03	cam_transport_ship_03	4100	0		0	0	0
wh_dlc05_art_set_wef_waystalker_01	0	0		none	wh_dlc05_uniform_wef_waystalker_01			wh_dlc05_campaign_wef_ship_agent	wh_dlc05_campaign_wef_ship_agent	cam_hu1d_elf_sword_and_bow	cam_transport_ship_03	cam_transport_ship_03	4110	0		0	0	0
