effect_bonus_value_agent_junction_tables
0
effect	bonus_value_id	agent
wh2_main_effect_lzd_agent_recruitment_xp_all_agents	recruitment_level	runesmith
wh2_main_effect_lzd_agent_recruitment_xp_all_agents	recruitment_level	spy
wh2_main_effect_lzd_agent_recruitment_xp_all_agents	recruitment_level	wizard
wh2_main_effect_skill_hef_reduction_action_cost_for_loremaster_mages	action_cost_mod	runesmith
wh2_main_effect_skill_hef_reduction_action_cost_for_loremaster_mages	action_cost_mod	wizard
wh2_main_effect_tech_agent_recruitment_xp_hef_loremaster_mages	recruitment_level	runesmith
wh2_main_effect_tech_agent_recruitment_xp_hef_loremaster_mages	recruitment_level	wizard
wh_dlc03_effect_agent_action_cost_mod_wizard_beastmen	action_cost_mod	wizard
wh_dlc03_effect_agent_action_success_chance_wizard_beastmen	success_mod	wizard
wh_dlc03_effect_agent_cap_increase_champion_beastmen	cap	champion
wh_dlc03_effect_agent_cap_increase_wizard_beastmen	cap	wizard
wh_dlc03_effect_agent_enable_recruitment_champion_beastmen_hidden	availability	champion
wh_dlc03_effect_agent_enable_recruitment_champion_beastmen	availability	champion
wh_dlc03_effect_agent_enable_recruitment_wizard_beastmen_beasts_hidden	availability	wizard
wh_dlc03_effect_agent_enable_recruitment_wizard_beastmen_death_hidden	availability	wizard
wh_dlc03_effect_agent_enable_recruitment_wizard_beastmen_shadows_hidden	availability	wizard
wh_dlc03_effect_agent_enable_recruitment_wizard_beastmen_wild_hidden	availability	wizard
wh_dlc03_effect_agent_enable_recruitment_wizard_beastmen	availability	wizard
wh_dlc03_effect_agent_recruitment_cost_mod_wizard_beastmen	recruit_cost_mod	wizard
wh_dlc03_effect_agent_recruitment_xp_wizard_beastmen	recruitment_level	wizard
wh_dlc05_effect_agent_action_cost_mod_champion_wood_elves	action_cost_mod	champion
wh_dlc05_effect_agent_action_cost_mod_spy_wood_elves	action_cost_mod	spy
wh_dlc05_effect_agent_action_cost_mod_wizard_wood_elves	action_cost_mod	wizard
wh_dlc05_effect_agent_action_success_chance_champion_wood_elves	success_mod	champion
wh_dlc05_effect_agent_action_success_chance_spy_wood_elves	success_mod	spy
wh_dlc05_effect_agent_action_success_chance_wizard_wood_elves	success_mod	wizard
wh_dlc05_effect_agent_cap_increase_champion	cap	champion
wh_dlc05_effect_agent_cap_increase_spy	cap	spy
wh_dlc05_effect_agent_cap_increase_wizard	cap	wizard
wh_dlc05_effect_agent_enable_recruitment_champion_woodelves	availability	champion
wh_dlc05_effect_agent_enable_recruitment_spy_woodelves	availability	spy
wh_dlc05_effect_agent_enable_recruitment_wizard_woodelves	availability	wizard
wh_dlc05_effect_agent_recruitment_cost_mod_champion_wood_elves	recruit_cost_mod	champion
wh_dlc05_effect_agent_recruitment_xp_wizard_spy_woodelves	recruitment_level	spy
wh_dlc05_effect_agent_recruitment_xp_wizard_spy_woodelves	recruitment_level	wizard
wh_dlc05_effect_agent_recruitment_xp_wizard_woodelves	recruitment_level	wizard
wh_dlc05_effect_tech_hero_xp_levels_branchwraiths	recruitment_level	champion
wh_dlc05_effect_tech_hero_xp_levels_spellsingers	recruitment_level	wizard
wh_dlc05_effect_tech_hero_xp_levels_waystalkers	recruitment_level	spy
wh_dlc06_effect_agent_action_cost_mod_hidden	action_cost_mod	champion
wh_dlc06_effect_agent_action_cost_mod_hidden	action_cost_mod	dignitary
wh_dlc06_effect_agent_action_cost_mod_hidden	action_cost_mod	engineer
wh_dlc06_effect_agent_action_cost_mod_hidden	action_cost_mod	runesmith
wh_dlc06_effect_agent_action_cost_mod_hidden	action_cost_mod	spy
wh_dlc06_effect_agent_action_cost_mod_hidden	action_cost_mod	wizard
wh_main_effect_agent_action_cost_mod_champion_bretonnia	action_cost_mod	champion
wh_main_effect_agent_action_cost_mod_champion_chaos	action_cost_mod	champion
wh_main_effect_agent_action_cost_mod_champion_dwarfs	action_cost_mod	champion
wh_main_effect_agent_action_cost_mod_champion_empire	action_cost_mod	champion
wh_main_effect_agent_action_cost_mod_champion_kteb	action_cost_mod	champion
wh_main_effect_agent_action_cost_mod_champion_vampire_counts	action_cost_mod	champion
wh_main_effect_agent_action_cost_mod_dignitary_empire	action_cost_mod	dignitary
wh_main_effect_agent_action_cost_mod_dignitary_vampire_counts	action_cost_mod	dignitary
wh_main_effect_agent_action_cost_mod_engineer	action_cost_mod	engineer
wh_main_effect_agent_action_cost_mod_runesmith	action_cost_mod	runesmith
wh_main_effect_agent_action_cost_mod_spy_empire	action_cost_mod	spy
wh_main_effect_agent_action_cost_mod_spy_greenskins	action_cost_mod	spy
wh_main_effect_agent_action_cost_mod_spy_vampire_counts	action_cost_mod	spy
wh_main_effect_agent_action_cost_mod_wizard_bretonnia	action_cost_mod	wizard
wh_main_effect_agent_action_cost_mod_wizard_chaos	action_cost_mod	wizard
wh_main_effect_agent_action_cost_mod_wizard_empire	action_cost_mod	wizard
wh_main_effect_agent_action_cost_mod_wizard_greenskins	action_cost_mod	wizard
wh_main_effect_agent_action_cost_mod_wizard_kislev	action_cost_mod	wizard
wh_main_effect_agent_action_cost_mod_wizard_teb	action_cost_mod	wizard
wh_main_effect_agent_action_cost_mod_wizard_vampire_counts	action_cost_mod	wizard
wh_main_effect_agent_action_cost_mod	action_cost_mod	champion
wh_main_effect_agent_action_cost_mod	action_cost_mod	dignitary
wh_main_effect_agent_action_cost_mod	action_cost_mod	engineer
wh_main_effect_agent_action_cost_mod	action_cost_mod	runesmith
wh_main_effect_agent_action_cost_mod	action_cost_mod	spy
wh_main_effect_agent_action_cost_mod	action_cost_mod	wizard
wh_main_effect_agent_action_outcome_target_defence_success_chance_enemy_hidden	success_mod_opponent	champion
wh_main_effect_agent_action_outcome_target_defence_success_chance_enemy_hidden	success_mod_opponent	dignitary
wh_main_effect_agent_action_outcome_target_defence_success_chance_enemy_hidden	success_mod_opponent	engineer
wh_main_effect_agent_action_outcome_target_defence_success_chance_enemy_hidden	success_mod_opponent	runesmith
wh_main_effect_agent_action_outcome_target_defence_success_chance_enemy_hidden	success_mod_opponent	spy
wh_main_effect_agent_action_outcome_target_defence_success_chance_enemy_hidden	success_mod_opponent	wizard
wh_main_effect_agent_action_success_chance_champion_bretonnia	success_mod	champion
wh_main_effect_agent_action_success_chance_champion_chaos	success_mod	champion
wh_main_effect_agent_action_success_chance_champion_dwarfs	success_mod	champion
wh_main_effect_agent_action_success_chance_champion_empire	success_mod	champion
wh_main_effect_agent_action_success_chance_champion_kteb	success_mod	champion
wh_main_effect_agent_action_success_chance_champion_vampire_counts	success_mod	champion
wh_main_effect_agent_action_success_chance_dignitary_empire	success_mod	dignitary
wh_main_effect_agent_action_success_chance_dignitary_vampire_counts	success_mod	dignitary
wh_main_effect_agent_action_success_chance_enemy_building	success_mod	champion
wh_main_effect_agent_action_success_chance_enemy_building	success_mod	dignitary
wh_main_effect_agent_action_success_chance_enemy_building	success_mod	engineer
wh_main_effect_agent_action_success_chance_enemy_building	success_mod	runesmith
wh_main_effect_agent_action_success_chance_enemy_building	success_mod	spy
wh_main_effect_agent_action_success_chance_enemy_building	success_mod	wizard
wh_main_effect_agent_action_success_chance_enemy_hidden	success_mod	champion
wh_main_effect_agent_action_success_chance_enemy_hidden	success_mod	dignitary
wh_main_effect_agent_action_success_chance_enemy_hidden	success_mod	engineer
wh_main_effect_agent_action_success_chance_enemy_hidden	success_mod	runesmith
wh_main_effect_agent_action_success_chance_enemy_hidden	success_mod	spy
wh_main_effect_agent_action_success_chance_enemy_hidden	success_mod	wizard
wh_main_effect_agent_action_success_chance_enemy_skill	success_mod_opponent	champion
wh_main_effect_agent_action_success_chance_enemy_skill	success_mod_opponent	dignitary
wh_main_effect_agent_action_success_chance_enemy_skill	success_mod_opponent	engineer
wh_main_effect_agent_action_success_chance_enemy_skill	success_mod_opponent	runesmith
wh_main_effect_agent_action_success_chance_enemy_skill	success_mod_opponent	spy
wh_main_effect_agent_action_success_chance_enemy_skill	success_mod_opponent	wizard
wh_main_effect_agent_action_success_chance_enemy	success_mod_opponent	champion
wh_main_effect_agent_action_success_chance_enemy	success_mod_opponent	dignitary
wh_main_effect_agent_action_success_chance_enemy	success_mod_opponent	engineer
wh_main_effect_agent_action_success_chance_enemy	success_mod_opponent	runesmith
wh_main_effect_agent_action_success_chance_enemy	success_mod_opponent	spy
wh_main_effect_agent_action_success_chance_enemy	success_mod_opponent	wizard
wh_main_effect_agent_action_success_chance_engineer	success_mod	engineer
wh_main_effect_agent_action_success_chance_runesmith	success_mod	runesmith
wh_main_effect_agent_action_success_chance_skill	success_mod	champion
wh_main_effect_agent_action_success_chance_skill	success_mod	dignitary
wh_main_effect_agent_action_success_chance_skill	success_mod	engineer
wh_main_effect_agent_action_success_chance_skill	success_mod	runesmith
wh_main_effect_agent_action_success_chance_skill	success_mod	spy
wh_main_effect_agent_action_success_chance_skill	success_mod	wizard
wh_main_effect_agent_action_success_chance_spy_empire	success_mod	spy
wh_main_effect_agent_action_success_chance_spy_greenskins	success_mod	spy
wh_main_effect_agent_action_success_chance_spy_vampire_counts	success_mod	spy
wh_main_effect_agent_action_success_chance_wizard_bretonnia	success_mod	wizard
wh_main_effect_agent_action_success_chance_wizard_chaos	success_mod	wizard
wh_main_effect_agent_action_success_chance_wizard_empire	success_mod	wizard
wh_main_effect_agent_action_success_chance_wizard_greenskins	success_mod	wizard
wh_main_effect_agent_action_success_chance_wizard_kislev	success_mod	wizard
wh_main_effect_agent_action_success_chance_wizard_teb	success_mod	wizard
wh_main_effect_agent_action_success_chance_wizard_vampire_counts	success_mod	wizard
wh_main_effect_agent_action_success_chance	success_mod	champion
wh_main_effect_agent_action_success_chance	success_mod	dignitary
wh_main_effect_agent_action_success_chance	success_mod	engineer
wh_main_effect_agent_action_success_chance	success_mod	runesmith
wh_main_effect_agent_action_success_chance	success_mod	spy
wh_main_effect_agent_action_success_chance	success_mod	wizard
wh_main_effect_agent_cap_increase_champion_captain	cap	champion
wh_main_effect_agent_cap_increase_champion_exalted_hero	cap	champion
wh_main_effect_agent_cap_increase_champion_paladin	cap	champion
wh_main_effect_agent_cap_increase_champion_thane	cap	champion
wh_main_effect_agent_cap_increase_champion_wight_kings	cap	champion
wh_main_effect_agent_cap_increase_dignitary_vampire	cap	dignitary
wh_main_effect_agent_cap_increase_dignitary_warrior_priest	cap	dignitary
wh_main_effect_agent_cap_increase_engineer	cap	engineer
wh_main_effect_agent_cap_increase_runesmith	cap	runesmith
wh_main_effect_agent_cap_increase_spy_banshee	cap	spy
wh_main_effect_agent_cap_increase_spy_goblin_big_boss	cap	spy
wh_main_effect_agent_cap_increase_spy_witch_hunter	cap	spy
wh_main_effect_agent_cap_increase_wizard_chaos_sorcerer	cap	wizard
wh_main_effect_agent_cap_increase_wizard_damsel	cap	wizard
wh_main_effect_agent_cap_increase_wizard_empire	cap	wizard
wh_main_effect_agent_cap_increase_wizard_necromancer	cap	wizard
wh_main_effect_agent_cap_increase_wizard_orc_shaman	cap	wizard
wh_main_effect_agent_defence_wound_chance_mod	critical_failure_mod_opponent	champion
wh_main_effect_agent_defence_wound_chance_mod	critical_failure_mod_opponent	dignitary
wh_main_effect_agent_defence_wound_chance_mod	critical_failure_mod_opponent	engineer
wh_main_effect_agent_defence_wound_chance_mod	critical_failure_mod_opponent	runesmith
wh_main_effect_agent_defence_wound_chance_mod	critical_failure_mod_opponent	spy
wh_main_effect_agent_defence_wound_chance_mod	critical_failure_mod_opponent	wizard
wh_main_effect_agent_enable_recruitment_champion_bretonnia	availability	champion
wh_main_effect_agent_enable_recruitment_champion_chaos	availability	champion
wh_main_effect_agent_enable_recruitment_champion_dwarfs	availability	champion
wh_main_effect_agent_enable_recruitment_champion_empire	availability	champion
wh_main_effect_agent_enable_recruitment_champion_kteb	availability	champion
wh_main_effect_agent_enable_recruitment_champion_vampire_counts	availability	champion
wh_main_effect_agent_enable_recruitment_dignitary_empire	availability	dignitary
wh_main_effect_agent_enable_recruitment_dignitary_vampire_counts	availability	dignitary
wh_main_effect_agent_enable_recruitment_engineer	availability	engineer
wh_main_effect_agent_enable_recruitment_runesmith	availability	runesmith
wh_main_effect_agent_enable_recruitment_spy_empire	availability	spy
wh_main_effect_agent_enable_recruitment_spy_greenskins	availability	spy
wh_main_effect_agent_enable_recruitment_spy_vampire_counts	availability	spy
wh_main_effect_agent_enable_recruitment_wizard_bretonnia	availability	wizard
wh_main_effect_agent_enable_recruitment_wizard_chaos	availability	wizard
wh_main_effect_agent_enable_recruitment_wizard_empire	availability	wizard
wh_main_effect_agent_enable_recruitment_wizard_greenskins_goblin_shaman	availability	wizard
wh_main_effect_agent_enable_recruitment_wizard_greenskins_orc_shaman	availability	wizard
wh_main_effect_agent_enable_recruitment_wizard_kislev	availability	wizard
wh_main_effect_agent_enable_recruitment_wizard_teb	availability	wizard
wh_main_effect_agent_enable_recruitment_wizard_vampire_counts	availability	wizard
wh_main_effect_agent_failure_chance_critical	critical_failure_mod	champion
wh_main_effect_agent_failure_chance_critical	critical_failure_mod	dignitary
wh_main_effect_agent_failure_chance_critical	critical_failure_mod	engineer
wh_main_effect_agent_failure_chance_critical	critical_failure_mod	runesmith
wh_main_effect_agent_failure_chance_critical	critical_failure_mod	spy
wh_main_effect_agent_failure_chance_critical	critical_failure_mod	wizard
wh_main_effect_agent_recruitment_cost_mod_champion_bretonnia	recruit_cost_mod	champion
wh_main_effect_agent_recruitment_cost_mod_champion_chaos	recruit_cost_mod	champion
wh_main_effect_agent_recruitment_cost_mod_champion_dwarfs	recruit_cost_mod	champion
wh_main_effect_agent_recruitment_cost_mod_champion_empire	recruit_cost_mod	champion
wh_main_effect_agent_recruitment_cost_mod_champion_kteb	recruit_cost_mod	champion
wh_main_effect_agent_recruitment_cost_mod_champion_vampire_counts	recruit_cost_mod	champion
wh_main_effect_agent_recruitment_cost_mod_dignitary_empire	recruit_cost_mod	dignitary
wh_main_effect_agent_recruitment_cost_mod_dignitary_vampire_counts	recruit_cost_mod	dignitary
wh_main_effect_agent_recruitment_cost_mod_engineer	recruit_cost_mod	engineer
wh_main_effect_agent_recruitment_cost_mod_runesmith	recruit_cost_mod	runesmith
wh_main_effect_agent_recruitment_cost_mod_spy_empire	recruit_cost_mod	spy
wh_main_effect_agent_recruitment_cost_mod_spy_greenskins	recruit_cost_mod	spy
wh_main_effect_agent_recruitment_cost_mod_spy_vampire_counts	recruit_cost_mod	spy
wh_main_effect_agent_recruitment_cost_mod_wizard_bretonnia	recruit_cost_mod	wizard
wh_main_effect_agent_recruitment_cost_mod_wizard_chaos	recruit_cost_mod	wizard
wh_main_effect_agent_recruitment_cost_mod_wizard_empire	recruit_cost_mod	wizard
wh_main_effect_agent_recruitment_cost_mod_wizard_greenskins	recruit_cost_mod	wizard
wh_main_effect_agent_recruitment_cost_mod_wizard_kislev	recruit_cost_mod	wizard
wh_main_effect_agent_recruitment_cost_mod_wizard_teb	recruit_cost_mod	wizard
wh_main_effect_agent_recruitment_cost_mod_wizard_vampire_counts	recruit_cost_mod	wizard
wh_main_effect_agent_recruitment_cost_mod	recruit_cost_mod	champion
wh_main_effect_agent_recruitment_cost_mod	recruit_cost_mod	dignitary
wh_main_effect_agent_recruitment_cost_mod	recruit_cost_mod	engineer
wh_main_effect_agent_recruitment_cost_mod	recruit_cost_mod	runesmith
wh_main_effect_agent_recruitment_cost_mod	recruit_cost_mod	spy
wh_main_effect_agent_recruitment_cost_mod	recruit_cost_mod	wizard
wh_main_effect_agent_recruitment_xp_all_agents	recruitment_level	champion
wh_main_effect_agent_recruitment_xp_all_agents	recruitment_level	dignitary
wh_main_effect_agent_recruitment_xp_all_agents	recruitment_level	engineer
wh_main_effect_agent_recruitment_xp_all_agents	recruitment_level	runesmith
wh_main_effect_agent_recruitment_xp_all_agents	recruitment_level	spy
wh_main_effect_agent_recruitment_xp_all_agents	recruitment_level	wizard
wh_main_effect_agent_recruitment_xp_champion_bretonnia	recruitment_level	champion
wh_main_effect_agent_recruitment_xp_champion_chaos	recruitment_level	champion
wh_main_effect_agent_recruitment_xp_champion_dwarfs	recruitment_level	champion
wh_main_effect_agent_recruitment_xp_champion_empire	recruitment_level	champion
wh_main_effect_agent_recruitment_xp_champion_kteb	recruitment_level	champion
wh_main_effect_agent_recruitment_xp_champion_vampire_counts	recruitment_level	champion
wh_main_effect_agent_recruitment_xp_dignitary_empire	recruitment_level	dignitary
wh_main_effect_agent_recruitment_xp_dignitary_vampire_counts	recruitment_level	dignitary
wh_main_effect_agent_recruitment_xp_engineer	recruitment_level	engineer
wh_main_effect_agent_recruitment_xp_runesmith	recruitment_level	runesmith
wh_main_effect_agent_recruitment_xp_spy_empire	recruitment_level	spy
wh_main_effect_agent_recruitment_xp_spy_greenskins	recruitment_level	spy
wh_main_effect_agent_recruitment_xp_spy_vampire_counts	recruitment_level	spy
wh_main_effect_agent_recruitment_xp_wizard_bretonnia	recruitment_level	wizard
wh_main_effect_agent_recruitment_xp_wizard_chaos	recruitment_level	wizard
wh_main_effect_agent_recruitment_xp_wizard_empire	recruitment_level	wizard
wh_main_effect_agent_recruitment_xp_wizard_greenskins	recruitment_level	wizard
wh_main_effect_agent_recruitment_xp_wizard_kislev	recruitment_level	wizard
wh_main_effect_agent_recruitment_xp_wizard_teb	recruitment_level	wizard
wh_main_effect_agent_recruitment_xp_wizard_vampire_counts	recruitment_level	wizard
wh_main_faction_xp_increase_generals_hidden	recruitment_level	general
wh_main_faction_xp_increase_generals	recruitment_level	general
