cai_task_management_system_task_generator_group_overrides_tables
0
parent_task_generator_group	task_generator_group
aggressive_no_target_chaos_avoid_player	aggressive_no_target_chaos_avoid_player_recoloniser
aggressive_no_target_chaos	aggressive_no_target_chaos_recoloniser
aggressive_coloniser_avoid_oldworld_races	aggressive_noruins_avoid_oldworld_races
aggressive_coloniser_avoid_oldworld_races_and_player	aggressive_noruins_avoid_oldworld_races_and_player
aggressive_coloniser_avoid_oldworld_races_anti_player	aggressive_noruins_avoid_oldworld_races_anti_player
aggressive	aggressive_raider
aggressive	aggressive_recoloniser
aggressive	aggressive_vcregion
aggressive_vcregion	aggressive_vcregion_anti_player
aggressive_vcregion	aggressive_vcregion_avoid_player
aggressive_vcregion	aggressive_vcregion_coloniser
aggressive_vcregion_coloniser	aggressive_vcregion_coloniser_anti_player
aggressive_vcregion_coloniser	aggressive_vcregion_coloniser_avoid_player
aggressive_vcregion	aggressive_vcregion_focused_overseas_attacker
aggressive_vcregion_focused_overseas_attacker	aggressive_vcregion_focused_overseas_attacker_anti_player
aggressive_vcregion_focused_overseas_attacker	aggressive_vcregion_focused_overseas_attacker_avoid_player
	basic
basic	basic_allied
basic_anti_player	basic_allied_anti_player
basic_avoid_player	basic_allied_avoid_player
basic	basic_anti_player
basic_anti_player	basic_anti_player_opportunist
basic_anti_player	basic_anti_player_recoloniser
basic	basic_avoid_player
basic_avoid_player	basic_avoid_player_opportunist
basic_avoid_player	basic_avoid_player_recoloniser
basic	basic_coloniser
basic_coloniser	basic_coloniser_anti_player
basic_coloniser	basic_coloniser_avoid_oldworld_races
basic_coloniser_avoid_oldworld_races	basic_coloniser_avoid_oldworld_races_and_player
basic_coloniser	basic_coloniser_avoid_player
basic_coloniser_avoid_oldworld_races	basic_coloniser_avoids_oldworld_races_anti_player
basic	basic_focused_coloniser
basic_focused_coloniser	basic_focused_coloniser_avoid_oldworld_races
basic_focused_coloniser_avoid_oldworld_races	basic_focused_coloniser_avoid_oldworld_races_and_player
basic_focused_coloniser_avoid_oldworld_races	basic_focused_coloniser_avoids_oldworld_races_anti_player
	basic_no_regions
basic	basic_no_target_chaos
basic_no_target_chaos	basic_no_target_chaos_anti_player
basic_no_target_chaos_anti_player	basic_no_target_chaos_anti_player_opportunist
basic_no_target_chaos_anti_player	basic_no_target_chaos_anti_player_recoloniser
basic_no_target_chaos	basic_no_target_chaos_avoid_player
basic_no_target_chaos_avoid_player	basic_no_target_chaos_avoid_player_opportunist
basic_no_target_chaos_avoid_player	basic_no_target_chaos_avoid_player_recoloniser
basic_no_target_chaos	basic_no_target_chaos_opportunist
basic_no_target_chaos	basic_no_target_chaos_recoloniser
basic_coloniser_avoid_oldworld_races	basic_noruins_avoid_oldworld_races
basic_coloniser_avoid_oldworld_races_and_player	basic_noruins_avoid_oldworld_races_and_player
basic_coloniser_avoids_oldworld_races_anti_player	basic_noruins_avoids_oldworld_races_anti_player
basic	basic_opportunist
basic	basic_recoloniser
basic	basic_vcregion
basic_vcregion	basic_vcregion_anti_player
basic_vcregion	basic_vcregion_avoid_player
basic_vcregion	basic_vcregion_coloniser
basic_vcregion_coloniser	basic_vcregion_coloniser_anti_player
basic_vcregion_coloniser	basic_vcregion_coloniser_avoid_player
basic_vcregion	basic_vcregion_focused_overseas_attacker
basic_vcregion_focused_overseas_attacker	basic_vcregion_focused_overseas_attacker_anti_player
basic_vcregion_focused_overseas_attacker	basic_vcregion_focused_overseas_attacker_avoid_player
	defensive
defensive	defensive_allied
defensive_anti_player	defensive_allied_anti_player
defensive_avoid_player	defensive_allied_avoid_player
defensive	defensive_anti_player
defensive_anti_player	defensive_anti_player_raider
defensive_anti_player	defensive_anti_player_recoloniser
defensive	defensive_avoid_player
defensive_avoid_player	defensive_avoid_player_raider
defensive_avoid_player	defensive_avoid_player_recoloniser
defensive	defensive_avoids_oldworld_races
defensive_avoid_player	defensive_avoids_oldworld_races_and_player
defensive_anti_player	defensive_avoids_oldworld_races_anti_player
defensive	defensive_no_target_chaos
defensive_no_target_chaos	defensive_no_target_chaos_anti_player
defensive_no_target_chaos_anti_player	defensive_no_target_chaos_anti_player_recoloniser
defensive_no_target_chaos	defensive_no_target_chaos_avoid_player
defensive_no_target_chaos_avoid_player	defensive_no_target_chaos_avoid_player_recoloniser
defensive_no_target_chaos	defensive_no_target_chaos_recoloniser
defensive	defensive_noruins
defensive_anti_player	defensive_noruins_anti_player
defensive_anti_player_raider	defensive_noruins_anti_player_raider
defensive_avoid_player	defensive_noruins_avoid_player
defensive_avoid_player_raider	defensive_noruins_avoid_player_raider
defensive_avoids_oldworld_races	defensive_noruins_avoids_oldworld_races
defensive_avoids_oldworld_races_and_player	defensive_noruins_avoids_oldworld_races_and_player
defensive_avoids_oldworld_races_anti_player	defensive_noruins_avoids_oldworld_races_anti_player
defensive_raider	defensive_noruins_raider
defensive	defensive_raider
defensive	defensive_recoloniser
aggressive_anti_player_raider	dlc03_aggressive_anti_player_raider
defensive_anti_player	dlc03_defensive_anti_player_no_colononiser
dlc03_aggressive_anti_player_raider	dlc05_beastmen_victory_region_wood_elves_1
dlc03_aggressive_anti_player_raider	dlc05_beastmen_victory_region_wood_elves_2
dlc03_aggressive_anti_player_raider	dlc05_beastmen_victory_region_wood_elves_3
dlc03_aggressive_anti_player_raider	dlc05_beastmen_victory_region_wood_elves_4
basic	dlc05_brettonia_main_victory_region_wood_elves_1
basic	dlc05_brettonia_main_victory_region_wood_elves_2
basic	dlc05_brettonia_main_victory_region_wood_elves_3
basic	dlc05_brettonia_main_victory_region_wood_elves_4
defensive	dlc05_brettonia_rest_victory_region_wood_elves_1
defensive	dlc05_brettonia_rest_victory_region_wood_elves_2
defensive	dlc05_brettonia_rest_victory_region_wood_elves_3
defensive	dlc05_brettonia_rest_victory_region_wood_elves_4
aggressive_anti_player	dlc06_aggressive_anti_player
defensive	isolationist
	vortexarmy
	waaagh
