character_skill_node_sets_tables
2
agent_key	campaign_key	faction_key	key	subculture	for_army	for_navy	agent_subtype_key
wizard			wh_dlc05_skill_node_set_wef_spellsinger_life		False	False	dlc05_wef_spellsinger_life
wizard			wh_dlc05_skill_node_set_wef_spellsinger_shadow		False	False	dlc05_wef_spellsinger_shadow
spy			wh_dlc05_skill_node_set_wef_waystalker		False	False	dlc05_wef_waystalker
general			wh_dlc06_skill_node_set_dwf_belegar		False	False	dlc06_dwf_belegar
engineer			wh_dlc06_skill_node_set_dwf_master_engineer_ghost		False	False	dlc06_dwf_master_engineer_ghost
general			wh_dlc06_skill_node_set_dwf_runelord		False	False	dlc06_dwf_runelord
runesmith			wh_dlc06_skill_node_set_dwf_runesmith_ghost		False	False	dlc06_dwf_runesmith_ghost
champion			wh_dlc06_skill_node_set_dwf_thane_ghost_1		False	False	dlc06_dwf_thane_ghost_1
champion			wh_dlc06_skill_node_set_dwf_thane_ghost_2		False	False	dlc06_dwf_thane_ghost_2
general			wh_dlc06_skill_node_set_grn_night_goblin_warboss		False	False	dlc06_grn_night_goblin_warboss
general			wh_dlc06_skill_node_set_grn_skarsnik		False	False	dlc06_grn_skarsnik
general			wh_dlc06_skill_node_set_grn_wurrzag_da_great_prophet		False	False	dlc06_grn_wurrzag_da_great_prophet
general			wh_dlc07_skill_node_set_brt_alberic		False	False	dlc07_brt_alberic
wizard			wh_dlc07_skill_node_set_brt_damsel_beasts		False	False	brt_damsel_beasts
wizard			wh_dlc07_skill_node_set_brt_damsel_life		False	False	brt_damsel_life
general			wh_dlc07_skill_node_set_brt_fay_enchantress		False	False	dlc07_brt_fay_enchantress
champion			wh_dlc07_skill_node_set_brt_green_knight		False	False	dlc07_brt_green_knight
champion			wh_dlc07_skill_node_set_brt_paladin		False	False	brt_paladin
general			wh_dlc07_skill_node_set_brt_prophetess_beast		False	False	dlc07_brt_prophetess_beasts
general			wh_dlc07_skill_node_set_brt_prophetess_heavens		False	False	dlc07_brt_prophetess_heavens
general			wh_dlc07_skill_node_set_brt_prophetess_life		False	False	dlc07_brt_prophetess_life
general			wh_dlc07_skill_node_set_chs_sorcerer_lord_shadow		False	False	dlc07_chs_sorcerer_lord_shadow
wizard			wh_dlc07_skill_node_set_chs_sorcerer_shadow		False	False	dlc07_chs_chaos_sorcerer_shadow
engineer			wh_main_skill_node_set_all_engineer		False	False	dwf_master_engineer
runesmith			wh_main_skill_node_set_all_runesmith		False	False	dwf_runesmith
wizard			wh_main_skill_node_set_brt_damsel		False	False	brt_damsel
general			wh_main_skill_node_set_brt_lord		False	False	brt_lord
general			wh_main_skill_node_set_brt_louen		False	False	brt_louen_leoncouer
general			wh_main_skill_node_set_chs_archaon		False	False	chs_archaon
wizard			wh_main_skill_node_set_chs_chaos_sorcerer_death		False	False	chs_chaos_sorcerer_death
wizard			wh_main_skill_node_set_chs_chaos_sorcerer_fire		False	False	chs_chaos_sorcerer_fire
wizard			wh_main_skill_node_set_chs_chaos_sorcerer_metal		False	False	chs_chaos_sorcerer_metal
general			wh_main_skill_node_set_chs_kholek		False	False	chs_kholek_suneater
general			wh_main_skill_node_set_chs_lord		False	False	chs_lord
general			wh_main_skill_node_set_chs_lord_of_change		False	False	chs_lord_of_change
general			wh_main_skill_node_set_chs_sigvald		False	False	chs_prince_sigvald
general			wh_main_skill_node_set_chs_sorcerer_lord_death		False	False	chs_sorcerer_lord_death
general			wh_main_skill_node_set_chs_sorcerer_lord_fire		False	False	chs_sorcerer_lord_fire
general			wh_main_skill_node_set_chs_sorcerer_lord_metal		False	False	chs_sorcerer_lord_metal
general			wh_main_skill_node_set_dwf_lord		False	False	dwf_lord
general			wh_main_skill_node_set_dwf_thorgrim		False	False	dwf_thorgrim_grudgebearer
general			wh_main_skill_node_set_dwf_ungrim		False	False	dwf_ungrim_ironfist
general			wh_main_skill_node_set_emp_balthasar		False	False	emp_balthasar_gelt
wizard			wh_main_skill_node_set_emp_bright_wizard		False	False	emp_bright_wizard
wizard			wh_main_skill_node_set_emp_celestial_wizard		False	False	emp_celestial_wizard
general			wh_main_skill_node_set_emp_general		False	False	emp_lord
general			wh_main_skill_node_set_emp_karl_franz		False	False	emp_karl_franz
wizard			wh_main_skill_node_set_emp_light_wizard		False	False	emp_light_wizard
general			wh_main_skill_node_set_grn_azhag		False	False	grn_azhag_the_slaughterer
general			wh_main_skill_node_set_grn_goblin_great_shaman		False	False	grn_goblin_great_shaman
general			wh_main_skill_node_set_grn_grimgor		False	False	grn_grimgor_ironhide
wizard			wh_main_skill_node_set_grn_night_goblin_shaman		False	False	grn_night_goblin_shaman
wizard			wh_main_skill_node_set_grn_orc_shaman		False	False	grn_orc_shaman
general			wh_main_skill_node_set_grn_orc_warboss		False	False	grn_orc_warboss
wizard			wh_main_skill_node_set_ksl_celestial_wizard		False	False	ksl_celestial_wizard
general			wh_main_skill_node_set_ksl_general		False	False	ksl_lord
wizard			wh_main_skill_node_set_nor_chaos_sorcerer_metal		False	False	nor_chaos_sorcerer_metal
general			wh_main_skill_node_set_nor_lord		False	False	nor_marauder_chieftain
general			wh_main_skill_node_set_nor_sorcerer_lord_metal		False	False	nor_sorcerer_lord_metal
wizard			wh_main_skill_node_set_teb_bright_wizard		False	False	teb_bright_wizard
general			wh_main_skill_node_set_teb_general		False	False	teb_lord
general			wh_main_skill_node_set_vmp_heinrich		False	False	vmp_heinrich_kemmler
general			wh_main_skill_node_set_vmp_lord		False	False	vmp_lord
general			wh_main_skill_node_set_vmp_mannfred		False	False	vmp_mannfred_von_carstein
general			wh_main_skill_node_set_vmp_master_necromancer		False	False	vmp_master_necromancer
wizard			wh_main_skill_node_set_vmp_necromancer		False	False	vmp_necromancer
dignitary			wh_main_skill_node_set_vmp_vampire		False	False	vmp_vampire
general			wh_pro01_skill_node_set_dwf_grombrindal		False	False	pro01_dwf_grombrindal
general			wh_pro02_skill_node_set_vmp_isabella_von_carstein		False	False	pro02_vmp_isabella_von_carstein
