unit_variants_colours_tables
2
faction	primary_colour_b	primary_colour_g	primary_colour_r	secondary_colour_b	secondary_colour_g	secondary_colour_r	soldier_type	tertiary_colour_b	tertiary_colour_g	tertiary_colour_r	unknown11	unknown12	unknown13
wh_dlc03_bst_jagged_horn_brayherd	235	235	235	175	75	20	soldier	100	50	10	555446	0	bst_Tzaangor
wh_dlc03_bst_beastmen_chaos	10	150	100	15	15	15	soldier	10	150	100	404957	0	bst_Pestigor
wh_dlc03_bst_beastmen_chaos	0	0	175	0	0	175	soldier	0	0	0	345555	0	bst_Khorngor
wh_dlc03_bst_beastmen_chaos	75	10	75	20	100	100	soldier	50	10	50	56739	0	bst_Slaangor
wh_dlc03_bst_beastmen_chaos	235	235	235	175	75	20	soldier	100	50	10	555446	0	bst_Tzaangor
wh_dlc03_bst_beastmen_chaos_brayherd	10	150	100	15	15	15	soldier	10	150	100	404957	0	bst_Pestigor
wh_dlc03_bst_beastmen_chaos_brayherd	0	0	175	0	0	175	soldier	0	0	0	345555	0	bst_Khorngor
wh_dlc03_bst_beastmen_chaos_brayherd	75	10	75	20	100	100	soldier	50	10	50	56739	0	bst_Slaangor
wh_dlc03_bst_beastmen_chaos_brayherd	235	235	235	175	75	20	soldier	100	50	10	555446	0	bst_Tzaangor
wh_dlc03_bst_beastmen_brayherd	10	150	100	15	15	15	soldier	10	150	100	404957	0	bst_Pestigor
wh_dlc03_bst_beastmen_brayherd	0	0	175	0	0	175	soldier	0	0	0	345555	0	bst_Khorngor
wh_dlc03_bst_beastmen_brayherd	75	10	75	20	100	100	soldier	50	10	50	56739	0	bst_Slaangor
wh_dlc03_bst_beastmen_brayherd	235	235	235	175	75	20	soldier	100	50	10	555446	0	bst_Tzaangor
wh_dlc03_bst_beastmen_ally	10	150	100	15	15	15	soldier	10	150	100	404957	0	bst_Pestigor
wh_dlc03_bst_beastmen_ally	0	0	175	0	0	175	soldier	0	0	0	345555	0	bst_Khorngor
wh_dlc03_bst_beastmen_ally	75	10	75	20	100	100	soldier	50	10	50	56739	0	bst_Slaangor
wh_dlc03_bst_beastmen_ally	235	235	235	175	75	20	soldier	100	50	10	555446	0	bst_Tzaangor
wh_main_chs_chaos	0	0	0	0	0	0	soldier	0	0	0	8814299	0	chs_zelot
wh_main_emp_middenland	120	0	0	0	230	230	soldier	1	1	1	0	0	emp_knights_panther
wh_main_emp_marienburg	120	0	0	0	230	230	soldier	1	1	1	0	0	emp_knights_panther
wh_main_emp_empire	120	0	0	0	230	230	soldier	1	1	1	0	0	emp_knights_panther
wh_main_emp_averland	120	0	0	0	230	230	soldier	1	1	1	0	0	emp_knights_panther
wh_main_emp_hochland	120	0	0	0	230	230	soldier	1	1	1	0	0	emp_knights_panther
wh_main_emp_nordland	120	0	0	0	230	230	soldier	1	1	1	0	0	emp_knights_panther
wh_main_emp_ostermark	120	0	0	0	230	230	soldier	1	1	1	0	0	emp_knights_panther
wh_main_emp_ostland	120	0	0	0	230	230	soldier	1	1	1	0	0	emp_knights_panther
wh_main_emp_stirland	120	0	0	0	230	230	soldier	1	1	1	0	0	emp_knights_panther
wh_main_emp_talabecland	120	0	0	0	230	230	soldier	1	1	1	0	0	emp_knights_panther
wh_main_emp_wissenland	120	0	0	0	230	230	soldier	1	1	1	0	0	emp_knights_panther
wh_main_emp_middenland	75	0	0	0	21	17	soldier	1	1	1	0	0	emp_imp_guard
wh_main_emp_marienburg	75	0	0	0	21	17	soldier	1	1	1	0	0	emp_imp_guard
wh_main_emp_empire	75	0	0	0	21	17	soldier	1	1	1	0	0	emp_imp_guard
wh_main_emp_averland	75	0	0	0	21	17	soldier	1	1	1	0	0	emp_imp_guard
wh_main_emp_hochland	75	0	0	0	21	17	soldier	1	1	1	0	0	emp_imp_guard
wh_main_emp_nordland	75	0	0	0	21	17	soldier	1	1	1	0	0	emp_imp_guard
wh_main_emp_ostermark	75	0	0	0	21	17	soldier	1	1	1	0	0	emp_imp_guard
wh_main_emp_ostland	75	0	0	0	21	17	soldier	1	1	1	0	0	emp_imp_guard
wh_main_emp_stirland	75	0	0	0	21	17	soldier	1	1	1	0	0	emp_imp_guard
wh_main_emp_talabecland	75	0	0	0	21	17	soldier	1	1	1	0	0	emp_imp_guard
wh_main_emp_wissenland	75	0	0	0	21	17	soldier	1	1	1	0	0	emp_imp_guard
wh_main_grn_greenskins	179	141	120	255	255	255	soldier	0	0	0	881421	0	grn_savage_big_great
wh_main_grn_orcs_of_the_bloody_hand	179	141	120	255	255	255	soldier	0	0	0	881423	0	grn_savage_big_great
wh_main_grn_crooked_moon	179	141	120	255	255	255	soldier	0	0	0	881425	0	grn_savage_big_great
wh_dlc05_wef_wood_elves	1	1	1	1	1	1	soldier	1	1	1	255	321321321	wef_shadowdancer
wh_dlc05_wef_torgovann	1	1	1	1	1	1	soldier	1	1	1	255	3243242	wef_shadowdancer
wh_dlc05_wef_wydrioth	1	1	1	1	1	1	soldier	1	1	1	255	3243242	wef_shadowdancer
wh_dlc05_wef_wydrioth	1	1	1	1	1	1	soldier	1	1	1	255	321321321	wef_shadowdancer
wh_dlc05_wef_wood_elves	1	1	1	1	1	1	soldier	1	1	1	255	87987987	wef_wildwood_warden
wh_dlc05_wef_argwylon	1	1	1	1	1	1	soldier	1	1	1	255	87987987	wef_wildwood_warden
wh_dlc05_wef_torgovann	1	1	1	1	1	1	soldier	1	1	1	255	87987987	wef_wildwood_warden
wh_dlc05_wef_wydrioth	1	1	1	1	1	1	soldier	1	1	1	255	87987987	wef_wildwood_warden
wh_main_dwf_dwarfs	60	140	190	30	90	130	soldier	1	1	1	1	0	dwf_oathsworn
wh_main_dwf_barak_varr	60	140	190	30	90	130	soldier	1	1	1	1	0	dwf_oathsworn
wh_main_dwf_karak_azul	60	140	190	30	90	130	soldier	1	1	1	1	0	dwf_oathsworn
wh_main_dwf_karak_hirn	60	140	190	30	90	130	soldier	1	1	1	1	0	dwf_oathsworn
wh_main_dwf_karak_izor	60	140	190	30	90	130	soldier	1	1	1	1	0	dwf_oathsworn
wh_main_dwf_karak_kadrin	60	140	190	30	90	130	soldier	1	1	1	1	0	dwf_oathsworn
wh_main_dwf_karak_norn	60	140	190	30	90	130	soldier	1	1	1	1	0	dwf_oathsworn
wh_main_dwf_karak_ziflin	60	140	190	30	90	130	soldier	1	1	1	1	0	dwf_oathsworn
wh_main_dwf_kraka_drak	60	140	190	30	90	130	soldier	1	1	1	1	0	dwf_oathsworn
wh_main_dwf_zhufbar	60	140	190	30	90	130	soldier	1	1	1	1	0	dwf_oathsworn
wh_main_grn_greenskins	20	20	130	60	100	100	soldier	0	0	0	881426	0	grn_black_orc_boss
wh_main_grn_orcs_of_the_bloody_hand	50	50	110	120	120	120	soldier	0	0	0	881427	0	grn_black_orc_boss
wh_main_grn_crooked_moon	134	66	74	56	153	183	soldier	0	0	0	881428	0	grn_black_orc_boss
wh_main_emp_empire	120	120	120	20	20	120	soldier	0	0	0	1	0	emp_sigmar_war
wh_main_emp_empire	150	150	150	20	20	120	soldier	0	0	0	2	0	emp_sigmar_war
