building_set_to_building_junctions_tables
0
building_chain	building_level	building_set	exclude
	wh2_main_hef_industry_1	wh2_main_set_hef_industry	False
	wh2_main_hef_industry_2	wh2_main_set_hef_industry	False
	wh2_main_hef_industry_3	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_animals_1	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_animals_2	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_animals_3	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_dyes_1	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_dyes_2	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_dyes_3	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_furs_1	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_furs_2	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_furs_3	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_gems_1	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_gems_2	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_gems_3	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_gold_1	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_gold_2	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_gold_3	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_iron_1	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_iron_2	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_iron_3	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_marble_1	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_marble_2	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_marble_3	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_medicine_1	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_medicine_2	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_medicine_3	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_obsidian_1	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_obsidian_2	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_obsidian_3	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_pasture_1	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_pasture_2	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_pasture_3	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_pottery_1	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_pottery_2	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_pottery_3	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_salt_1	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_salt_2	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_salt_3	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_spices_1	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_spices_2	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_spices_3	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_wine_1	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_wine_2	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_wine_3	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_wood_1	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_wood_2	wh2_main_set_hef_industry	False
	wh2_main_hef_resource_wood_3	wh2_main_set_hef_industry	False
	wh2_main_hef_worship_1	wh2_main_set_hef_worship	False
	wh2_main_hef_worship_2	wh2_main_set_hef_worship	False
	wh2_main_hef_worship_3	wh2_main_set_hef_worship	False
wh2_main_hef_defence_major		wh2_main_set_highelf_defence	False
wh2_main_hef_defence_minor		wh2_main_set_highelf_defence	False
wh2_main_hef_defence_norsca		wh2_main_set_highelf_defence	False
wh2_main_hef_court		wh2_main_set_highelf_infrastructure	False
wh2_main_hef_embassy		wh2_main_set_highelf_infrastructure	False
wh2_main_hef_farm		wh2_main_set_highelf_infrastructure	False
wh2_main_hef_industry		wh2_main_set_highelf_infrastructure	False
wh2_main_hef_order		wh2_main_set_highelf_infrastructure	False
wh2_main_hef_barracks		wh2_main_set_highelf_military_recruitment	False
wh2_main_hef_birds		wh2_main_set_highelf_military_recruitment	False
wh2_main_hef_hunters		wh2_main_set_highelf_military_recruitment	False
wh2_main_hef_stables		wh2_main_set_highelf_military_recruitment	False
wh2_main_hef_dragons		wh2_main_set_highelf_military_support	False
wh2_main_hef_mages		wh2_main_set_highelf_military_support	False
wh2_main_hef_smith		wh2_main_set_highelf_military_support	False
wh2_main_hef_worship		wh2_main_set_highelf_military_support	False
wh2_main_hef_port		wh2_main_set_highelf_port	False
wh2_main_special_lothern_port		wh2_main_set_highelf_port	False
wh2_main_special_lothern_port_other		wh2_main_set_highelf_port	False
wh2_main_ritual_def		wh2_main_set_landmark	False
wh2_main_ritual_hef		wh2_main_set_landmark	False
wh2_main_ritual_lzd		wh2_main_set_landmark	False
wh2_main_ritual_skv		wh2_main_set_landmark	False
wh2_main_special_altar_of_ultimate_darkness		wh2_main_set_landmark	False
wh2_main_special_altar_of_ultimate_darkness_vmp		wh2_main_set_landmark	False
wh2_main_special_altdorf_castle_reikguard		wh2_main_set_landmark	False
wh2_main_special_altdorf_imperial_palace		wh2_main_set_landmark	False
wh2_main_special_altdorf_imperial_palace_brt		wh2_main_set_landmark	False
wh2_main_special_altdorf_imperial_palace_vmp		wh2_main_set_landmark	False
wh2_main_special_anlec_citadel_def		wh2_main_set_landmark	False
wh2_main_special_anlec_citadel_hef		wh2_main_set_landmark	False
wh2_main_special_axlotl_chameleon_shrine		wh2_main_set_landmark	False
wh2_main_special_big_fort		wh2_main_set_landmark	False
wh2_main_special_blood_keep		wh2_main_set_landmark	False
wh2_main_special_brewery		wh2_main_set_landmark	False
wh2_main_special_chamber_of_visions		wh2_main_set_landmark	False
wh2_main_special_clar_karond_lairs		wh2_main_set_landmark	False
wh2_main_special_clar_karond_lairs_emp		wh2_main_set_landmark	False
wh2_main_special_clar_karond_lairs_grn		wh2_main_set_landmark	False
wh2_main_special_clar_karond_lairs_other		wh2_main_set_landmark	False
wh2_main_special_clar_karond_lairs_skv		wh2_main_set_landmark	False
wh2_main_special_clar_karond_lairs_vmp		wh2_main_set_landmark	False
wh2_main_special_corrupted_spawning_pool		wh2_main_set_landmark	False
wh2_main_special_cothique_palace		wh2_main_set_landmark	False
wh2_main_special_def_vauls_anvil		wh2_main_set_landmark	False
wh2_main_special_def_vauls_anvil_hef		wh2_main_set_landmark	False
wh2_main_special_dorks_rock		wh2_main_set_landmark	False
wh2_main_special_drakenhof_court		wh2_main_set_landmark	False
wh2_main_special_eight_peaks_skv		wh2_main_set_landmark	False
wh2_main_special_ellyrian_stables		wh2_main_set_landmark	False
wh2_main_special_everqueen_court		wh2_main_set_landmark	False
wh2_main_special_everqueen_court_wef		wh2_main_set_landmark	False
wh2_main_special_fallen_gates		wh2_main_set_landmark	False
wh2_main_special_ghrond_convent_of_sorcery		wh2_main_set_landmark	False
wh2_main_special_ghrond_convent_of_sorcery_emp		wh2_main_set_landmark	False
wh2_main_special_ghrond_convent_of_sorcery_hef		wh2_main_set_landmark	False
wh2_main_special_ghrond_convent_of_sorcery_other		wh2_main_set_landmark	False
wh2_main_special_ghrond_convent_of_sorcery_vmp		wh2_main_set_landmark	False
wh2_main_special_glittering_tower		wh2_main_set_landmark	False
wh2_main_special_golden_tower_of_the_gods_lzd		wh2_main_set_landmark	False
wh2_main_special_golden_tower_of_the_gods_other		wh2_main_set_landmark	False
wh2_main_special_hag_graef_mines		wh2_main_set_landmark	False
wh2_main_special_hag_graef_mines_def		wh2_main_set_landmark	False
wh2_main_special_hall_of_dragons		wh2_main_set_landmark	False
wh2_main_special_har_ganeth_hellebron_palace		wh2_main_set_landmark	False
wh2_main_special_har_ganeth_temple_of_khaine		wh2_main_set_landmark	False
wh2_main_special_har_ganeth_temple_of_khaine_hef		wh2_main_set_landmark	False
wh2_main_special_hellpit_pits		wh2_main_set_landmark	False
wh2_main_special_hexoatl_incubator		wh2_main_set_landmark	False
wh2_main_special_hexoatl_stellar_pyramids		wh2_main_set_landmark	False
wh2_main_special_hexoatl_stellar_pyramids_other		wh2_main_set_landmark	False
wh2_main_special_itza_emerald_pools		wh2_main_set_landmark	False
wh2_main_special_itza_vaults_of_the_old_ones		wh2_main_set_landmark	False
wh2_main_special_karaz_a_karak_airport		wh2_main_set_landmark	False
wh2_main_special_karond_kar_slavers		wh2_main_set_landmark	False
wh2_main_special_mors_hq		wh2_main_set_landmark	False
wh2_main_special_mousillon_merovech		wh2_main_set_landmark	False
wh2_main_special_naggarond_blackguard		wh2_main_set_landmark	False
wh2_main_special_naggarond_witch_king		wh2_main_set_landmark	False
wh2_main_special_naggarond_witch_king_hef		wh2_main_set_landmark	False
wh2_main_special_oyxl_shrine_of_birds		wh2_main_set_landmark	False
wh2_main_special_phoenix_king_court		wh2_main_set_landmark	False
wh2_main_special_pyramid_of_nagash_other		wh2_main_set_landmark	False
wh2_main_special_pyramid_of_nagash_vmp		wh2_main_set_landmark	False
wh2_main_special_quetza_serpent_lairs		wh2_main_set_landmark	False
wh2_main_special_quintex		wh2_main_set_landmark	True
wh2_main_special_shrine_of_asuryan_def		wh2_main_set_landmark	False
wh2_main_special_shrine_of_asuryan_hef		wh2_main_set_landmark	False
wh2_main_special_shrine_of_asuryan_other		wh2_main_set_landmark	False
wh2_main_special_shrine_of_asuryan_vmp		wh2_main_set_landmark	False
wh2_main_special_shrine_of_khaine_def		wh2_main_set_landmark	False
wh2_main_special_shrine_of_khaine_hef		wh2_main_set_landmark	False
wh2_main_special_shrine_of_khaine_other		wh2_main_set_landmark	False
wh2_main_special_shrine_of_khaine_vmp		wh2_main_set_landmark	False
wh2_main_special_skavenblight_council13		wh2_main_set_landmark	False
wh2_main_special_skavenblight_shattered_tower		wh2_main_set_landmark	False
wh2_main_special_tiranoc_palace		wh2_main_set_landmark	False
wh2_main_special_tiranoc_palace_def		wh2_main_set_landmark	False
wh2_main_special_tlaxtlan_temple_of_the_eclipse		wh2_main_set_landmark	False
wh2_main_special_tor_achare_lions		wh2_main_set_landmark	False
wh2_main_special_tower_of_hoeth		wh2_main_set_landmark	False
wh2_main_special_tower_of_hoeth_def		wh2_main_set_landmark	False
wh2_main_special_tower_of_hoeth_emp		wh2_main_set_landmark	False
wh2_main_special_tower_of_hoeth_other		wh2_main_set_landmark	False
wh2_main_special_tower_of_hoeth_vmp		wh2_main_set_landmark	False
wh2_main_special_troll_lair		wh2_main_set_landmark	False
wh2_main_special_underway_hub_dwf		wh2_main_set_landmark	False
wh2_main_special_underway_hub_skv		wh2_main_set_landmark	False
wh2_main_special_underworld_sea_gate		wh2_main_set_landmark	False
wh2_main_special_xlanhuapec_temple_of_mists		wh2_main_set_landmark	False
wh2_main_special_yvresse_amphitheatre		wh2_main_set_landmark	False
wh2_main_special_yvresse_amphitheatre_def		wh2_main_set_landmark	False
wh2_main_special_ziggurat_of_dawn_beacon		wh2_main_set_landmark	False
wh2_main_special_ziggurat_of_dawn_beacon_chs		wh2_main_set_landmark	False
wh2_main_special_ziggurat_of_dawn_beacon_skv		wh2_main_set_landmark	False
wh2_main_special_ziggurat_of_dawn_beacon_vmp		wh2_main_set_landmark	False
wh_dlc06_DWARFS_eight_peaks		wh2_main_set_landmark	False
wh_dlc06_GREENSKIN_eight_peaks		wh2_main_set_landmark	False
wh_dlc06_special_savage_orc_camp_wurrzag		wh2_main_set_landmark	False
wh_main_bretonnia_legendary_bretonnia		wh2_main_set_landmark	False
wh_main_bretonnia_legendary_carcassonne		wh2_main_set_landmark	False
wh_main_special_archecclesiatium		wh2_main_set_landmark	False
wh_main_special_blazing_sun_chapterhouse		wh2_main_set_landmark	False
wh_main_special_bokha_palace		wh2_main_set_landmark	False
wh_main_special_bordeleaux_vineyards		wh2_main_set_landmark	False
wh_main_special_brightstone_mine		wh2_main_set_landmark	False
wh_main_special_college_of_magic		wh2_main_set_landmark	False
wh_main_special_great_slayer_shrine		wh2_main_set_landmark	False
wh_main_special_great_temple_of_ulric		wh2_main_set_landmark	False
wh_main_special_high_king_throne_hall		wh2_main_set_landmark	False
wh_main_special_knights_panther_chapterhouse		wh2_main_set_landmark	False
wh_main_special_nuln_gunnery_school		wh2_main_set_landmark	False
wh_main_special_savage_orc_camp		wh2_main_set_landmark	False
wh_main_special_tournament_grounds		wh2_main_set_landmark	False
wh2_main_lzd_defence_major		wh2_main_set_lizardmen_defence	False
wh2_main_lzd_defence_minor		wh2_main_set_lizardmen_defence	False
wh2_main_lzd_defence_norsca		wh2_main_set_lizardmen_defence	False
wh2_main_lzd_scrying		wh2_main_set_lizardmen_defence	False
wh2_main_lzd_energy		wh2_main_set_lizardmen_infrastructure	False
wh2_main_lzd_energy_minor		wh2_main_set_lizardmen_infrastructure	False
wh2_main_lzd_farm		wh2_main_set_lizardmen_infrastructure	False
wh2_main_lzd_industry		wh2_main_set_lizardmen_infrastructure	False
wh2_main_lzd_order		wh2_main_set_lizardmen_infrastructure	False
wh2_main_lzd_coldones		wh2_main_set_lizardmen_military_recruitment	False
wh2_main_lzd_saurus		wh2_main_set_lizardmen_military_recruitment	False
wh2_main_lzd_skinks		wh2_main_set_lizardmen_military_recruitment	False
wh2_main_lzd_terradons		wh2_main_set_lizardmen_military_recruitment	False
wh2_main_lzd_beasts		wh2_main_set_lizardmen_military_support	False
wh2_main_lzd_slann		wh2_main_set_lizardmen_military_support	False
wh2_main_lzd_smith		wh2_main_set_lizardmen_military_support	False
wh2_main_lzd_worship_oldones		wh2_main_set_lizardmen_military_support	False
wh2_main_lzd_worship_sotek		wh2_main_set_lizardmen_military_support	False
wh2_main_lzd_port		wh2_main_set_lizardmen_port	False
	wh2_main_lzd_slann_1	wh2_main_set_lizardmen_star_chamber	False
	wh2_main_lzd_worship_oldones_1	wh2_main_set_lizardmen_temples	False
	wh2_main_lzd_worship_oldones_2	wh2_main_set_lizardmen_temples	False
	wh2_main_lzd_worship_oldones_3	wh2_main_set_lizardmen_temples	False
	wh2_main_lzd_worship_sotek_1	wh2_main_set_lizardmen_temples	False
	wh2_main_lzd_worship_sotek_2	wh2_main_set_lizardmen_temples	False
	wh2_main_lzd_worship_sotek_3	wh2_main_set_lizardmen_temples	False
	wh2_main_horde_def_military_1	wh2_main_set_newhorde_def	False
	wh2_main_horde_def_settlement_1	wh2_main_set_newhorde_def	False
	wh2_main_horde_rogue_settlement_1	wh2_main_set_newhorde_rogue	False
wh2_main_DWARFS_resource_pottery		wh2_main_set_resource	False
wh2_main_DWARFS_resource_wine		wh2_main_set_resource	False
wh2_main_HUMAN_resource_gemstones		wh2_main_set_resource	False
wh2_main_VAMPIRES_resource_animals		wh2_main_set_resource	False
wh2_main_VAMPIRES_resource_gemstones		wh2_main_set_resource	False
wh2_main_VAMPIRES_resource_medicine		wh2_main_set_resource	False
wh2_main_VAMPIRES_resource_obsidian		wh2_main_set_resource	False
wh2_main_brt_resource_animals		wh2_main_set_resource	False
wh2_main_brt_resource_dyes		wh2_main_set_resource	False
wh2_main_brt_resource_furs		wh2_main_set_resource	False
wh2_main_brt_resource_gemstones		wh2_main_set_resource	False
wh2_main_brt_resource_gold		wh2_main_set_resource	False
wh2_main_brt_resource_iron		wh2_main_set_resource	False
wh2_main_brt_resource_marble		wh2_main_set_resource	False
wh2_main_brt_resource_medicine		wh2_main_set_resource	False
wh2_main_brt_resource_obsidian		wh2_main_set_resource	False
wh2_main_brt_resource_pastures		wh2_main_set_resource	False
wh2_main_brt_resource_pottery		wh2_main_set_resource	False
wh2_main_brt_resource_salt		wh2_main_set_resource	False
wh2_main_brt_resource_spices		wh2_main_set_resource	False
wh2_main_brt_resource_timber		wh2_main_set_resource	False
wh2_main_brt_resource_wine		wh2_main_set_resource	False
wh2_main_def_resource_animals		wh2_main_set_resource	False
wh2_main_def_resource_dyes		wh2_main_set_resource	False
wh2_main_def_resource_furs		wh2_main_set_resource	False
wh2_main_def_resource_gems		wh2_main_set_resource	False
wh2_main_def_resource_gold		wh2_main_set_resource	False
wh2_main_def_resource_iron		wh2_main_set_resource	False
wh2_main_def_resource_marble		wh2_main_set_resource	False
wh2_main_def_resource_medicine		wh2_main_set_resource	False
wh2_main_def_resource_obsidian		wh2_main_set_resource	False
wh2_main_def_resource_pasture		wh2_main_set_resource	False
wh2_main_def_resource_pottery		wh2_main_set_resource	False
wh2_main_def_resource_salt		wh2_main_set_resource	False
wh2_main_def_resource_spices		wh2_main_set_resource	False
wh2_main_def_resource_wine		wh2_main_set_resource	False
wh2_main_def_resource_wood		wh2_main_set_resource	False
wh2_main_dwf_resource_animals		wh2_main_set_resource	False
wh2_main_dwf_resource_medicine		wh2_main_set_resource	False
wh2_main_dwf_resource_obsidian		wh2_main_set_resource	False
wh2_main_dwf_resource_spices		wh2_main_set_resource	False
wh2_main_emp_resource_animals		wh2_main_set_resource	False
wh2_main_emp_resource_medicine		wh2_main_set_resource	False
wh2_main_emp_resource_obsidian		wh2_main_set_resource	False
wh2_main_emp_resource_spices		wh2_main_set_resource	False
wh2_main_hef_resource_animals		wh2_main_set_resource	False
wh2_main_hef_resource_dyes		wh2_main_set_resource	False
wh2_main_hef_resource_furs		wh2_main_set_resource	False
wh2_main_hef_resource_gems		wh2_main_set_resource	False
wh2_main_hef_resource_gold		wh2_main_set_resource	False
wh2_main_hef_resource_iron		wh2_main_set_resource	False
wh2_main_hef_resource_marble		wh2_main_set_resource	False
wh2_main_hef_resource_medicine		wh2_main_set_resource	False
wh2_main_hef_resource_obsidian		wh2_main_set_resource	False
wh2_main_hef_resource_pasture		wh2_main_set_resource	False
wh2_main_hef_resource_pottery		wh2_main_set_resource	False
wh2_main_hef_resource_salt		wh2_main_set_resource	False
wh2_main_hef_resource_spices		wh2_main_set_resource	False
wh2_main_hef_resource_wine		wh2_main_set_resource	False
wh2_main_hef_resource_wood		wh2_main_set_resource	False
wh2_main_lzd_resource_animals		wh2_main_set_resource	False
wh2_main_lzd_resource_dyes		wh2_main_set_resource	False
wh2_main_lzd_resource_furs		wh2_main_set_resource	False
wh2_main_lzd_resource_gems		wh2_main_set_resource	False
wh2_main_lzd_resource_gold		wh2_main_set_resource	False
wh2_main_lzd_resource_iron		wh2_main_set_resource	False
wh2_main_lzd_resource_marble		wh2_main_set_resource	False
wh2_main_lzd_resource_medicine		wh2_main_set_resource	False
wh2_main_lzd_resource_obsidian		wh2_main_set_resource	False
wh2_main_lzd_resource_pasture		wh2_main_set_resource	False
wh2_main_lzd_resource_pottery		wh2_main_set_resource	False
wh2_main_lzd_resource_salt		wh2_main_set_resource	False
wh2_main_lzd_resource_spices		wh2_main_set_resource	False
wh2_main_lzd_resource_wine		wh2_main_set_resource	False
wh2_main_lzd_resource_wood		wh2_main_set_resource	False
wh2_main_skv_resource_animals		wh2_main_set_resource	False
wh2_main_skv_resource_dyes		wh2_main_set_resource	False
wh2_main_skv_resource_furs		wh2_main_set_resource	False
wh2_main_skv_resource_gems		wh2_main_set_resource	False
wh2_main_skv_resource_gold		wh2_main_set_resource	False
wh2_main_skv_resource_iron		wh2_main_set_resource	False
wh2_main_skv_resource_marble		wh2_main_set_resource	False
wh2_main_skv_resource_medicine		wh2_main_set_resource	False
wh2_main_skv_resource_obsidian		wh2_main_set_resource	False
wh2_main_skv_resource_pasture		wh2_main_set_resource	False
wh2_main_skv_resource_pottery		wh2_main_set_resource	False
wh2_main_skv_resource_salt		wh2_main_set_resource	False
wh2_main_skv_resource_spices		wh2_main_set_resource	False
wh2_main_skv_resource_wine		wh2_main_set_resource	False
wh2_main_skv_resource_wood		wh2_main_set_resource	False
wh2_main_vmp_resource_spices		wh2_main_set_resource	False
wh2_main_wef_resource_animals		wh2_main_set_resource	False
wh2_main_wef_resource_gems		wh2_main_set_resource	False
wh2_main_wef_resource_medicine		wh2_main_set_resource	False
wh2_main_wef_resource_obsidian		wh2_main_set_resource	False
wh2_main_wef_resource_spices		wh2_main_set_resource	False
wh_dlc05_wef_resource_dyes		wh2_main_set_resource	False
wh_dlc05_wef_resource_furs		wh2_main_set_resource	False
wh_dlc05_wef_resource_gold		wh2_main_set_resource	False
wh_dlc05_wef_resource_iron		wh2_main_set_resource	False
wh_dlc05_wef_resource_marble		wh2_main_set_resource	False
wh_dlc05_wef_resource_pastures		wh2_main_set_resource	False
wh_dlc05_wef_resource_pottery		wh2_main_set_resource	False
wh_dlc05_wef_resource_salt		wh2_main_set_resource	False
wh_dlc05_wef_resource_timber		wh2_main_set_resource	False
wh_dlc05_wef_resource_wine		wh2_main_set_resource	False
wh_dlc06_GREENSKINS_resource_animals		wh2_main_set_resource	False
wh_main_BRETONNIA_resource_iron_military		wh2_main_set_resource	False
wh_main_BRETONNIA_resource_pastures_military		wh2_main_set_resource	False
wh_main_BRETONNIA_resource_timber_military		wh2_main_set_resource	False
wh_main_DWARFS_resource_brine		wh2_main_set_resource	False
wh_main_DWARFS_resource_cinnabar		wh2_main_set_resource	False
wh_main_DWARFS_resource_coal		wh2_main_set_resource	False
wh_main_DWARFS_resource_game		wh2_main_set_resource	False
wh_main_DWARFS_resource_gemstones		wh2_main_set_resource	False
wh_main_DWARFS_resource_gold		wh2_main_set_resource	False
wh_main_DWARFS_resource_iron		wh2_main_set_resource	False
wh_main_DWARFS_resource_marble		wh2_main_set_resource	False
wh_main_DWARFS_resource_pastures		wh2_main_set_resource	False
wh_main_DWARFS_resource_water		wh2_main_set_resource	False
wh_main_DWARF_resource_iron_military		wh2_main_set_resource	False
wh_main_DWARF_resource_salt_military		wh2_main_set_resource	False
wh_main_EMPIRE_resource_iron_military		wh2_main_set_resource	False
wh_main_EMPIRE_resource_pastures_military		wh2_main_set_resource	False
wh_main_EMPIRE_resource_timber_military		wh2_main_set_resource	False
wh_main_GREENSKINS_resource_gemstones		wh2_main_set_resource	False
wh_main_GREENSKINS_resource_gold		wh2_main_set_resource	False
wh_main_GREENSKINS_resource_iron_military		wh2_main_set_resource	False
wh_main_GREENSKINS_resource_pastures_furs_military		wh2_main_set_resource	False
wh_main_GREENSKINS_resource_timber_military		wh2_main_set_resource	False
wh_main_HUMAN_resource_dyes		wh2_main_set_resource	False
wh_main_HUMAN_resource_furs		wh2_main_set_resource	False
wh_main_HUMAN_resource_gold		wh2_main_set_resource	False
wh_main_HUMAN_resource_iron		wh2_main_set_resource	False
wh_main_HUMAN_resource_marble		wh2_main_set_resource	False
wh_main_HUMAN_resource_pastures		wh2_main_set_resource	False
wh_main_HUMAN_resource_pottery		wh2_main_set_resource	False
wh_main_HUMAN_resource_salt		wh2_main_set_resource	False
wh_main_HUMAN_resource_timber		wh2_main_set_resource	False
wh_main_HUMAN_resource_wine		wh2_main_set_resource	False
wh_main_VAMPIRES_resource_dyes		wh2_main_set_resource	False
wh_main_VAMPIRES_resource_furs		wh2_main_set_resource	False
wh_main_VAMPIRES_resource_gold		wh2_main_set_resource	False
wh_main_VAMPIRES_resource_iron		wh2_main_set_resource	False
wh_main_VAMPIRES_resource_iron_military		wh2_main_set_resource	False
wh_main_VAMPIRES_resource_marble		wh2_main_set_resource	False
wh_main_VAMPIRES_resource_pastures		wh2_main_set_resource	False
wh_main_VAMPIRES_resource_pastures_timber_military		wh2_main_set_resource	False
wh_main_VAMPIRES_resource_pottery		wh2_main_set_resource	False
wh_main_VAMPIRES_resource_salt		wh2_main_set_resource	False
wh_main_VAMPIRES_resource_timber		wh2_main_set_resource	False
wh_main_VAMPIRES_resource_wine		wh2_main_set_resource	False
wh2_main_horde_rogue_settlement		wh2_main_set_rogue_settlement_horde	False
wh2_main_skv_defence_major		wh2_main_set_skaven_defence	False
