cai_personality_strategic_resource_values_tables
0
ownership_falloff	ownership_value	resource	strategic_component	trade_falloff	trade_value
0.25	0.5	res_rom_glass	aggressive_opportunist_vamp	0.25	0.5
0.25	0.5	res_rom_iron	aggressive_opportunist_vamp	0.25	0.5
0.25	0.5	res_rom_lead	aggressive_opportunist_vamp	0.25	0.5
0.25	0.5	res_rom_marble	aggressive_opportunist_vamp	0.25	0.5
0.25	0.5	res_rom_oil	aggressive_opportunist_vamp	0.25	0.5
0.25	0.5	res_rom_textiles	aggressive_opportunist_vamp	0.25	0.5
0.25	0.5	res_rom_timber	aggressive_opportunist_vamp	0.25	0.5
0.25	0.5	res_rom_wine	aggressive_opportunist_vamp	0.25	0.5
0.25	0.5	res_savage	aggressive_opportunist_vamp	0.25	0.5
0.25	0.5	res_dyes	aggressive_opportunist	0.25	0.5
0.25	0.5	res_gems	aggressive_opportunist	0.25	0.5
0.25	0.5	res_gold	aggressive_opportunist	0.25	0.5
0.25	0.5	res_rom_furs	aggressive_opportunist	0.25	0.5
0.25	0.5	res_rom_glass	aggressive_opportunist	0.25	0.5
0.25	0.5	res_rom_iron	aggressive_opportunist	0.25	0.5
0.25	0.5	res_rom_lead	aggressive_opportunist	0.25	0.5
0.25	0.5	res_rom_marble	aggressive_opportunist	0.25	0.5
0.25	0.5	res_rom_oil	aggressive_opportunist	0.25	0.5
0.25	0.5	res_rom_textiles	aggressive_opportunist	0.25	0.5
0.25	0.5	res_rom_timber	aggressive_opportunist	0.25	0.5
0.25	0.5	res_rom_wine	aggressive_opportunist	0.25	0.5
0.25	0.5	res_savage	aggressive_opportunist	0.25	0.5
0.25	0.5	res_dyes	aggressive_straightforward	0.25	0.5
0.25	0.5	res_gems	aggressive_straightforward	0.25	0.5
0.25	0.5	res_gold	aggressive_straightforward	0.25	0.5
0.25	0.5	res_rom_furs	aggressive_straightforward	0.25	0.5
0.25	0.5	res_rom_glass	aggressive_straightforward	0.25	0.5
0.25	0.5	res_rom_iron	aggressive_straightforward	0.25	0.5
0.25	0.5	res_rom_lead	aggressive_straightforward	0.25	0.5
0.25	0.5	res_rom_marble	aggressive_straightforward	0.25	0.5
0.25	0.5	res_rom_oil	aggressive_straightforward	0.25	0.5
0.25	0.5	res_rom_textiles	aggressive_straightforward	0.25	0.5
0.25	0.5	res_rom_timber	aggressive_straightforward	0.25	0.5
0.25	0.5	res_rom_wine	aggressive_straightforward	0.25	0.5
0.25	0.5	res_savage	aggressive_straightforward	0.25	0.5
0.25	0.5	res_dyes	aggressive	0.25	0.5
0.25	0.5	res_gems	aggressive	0.25	0.5
0.25	0.5	res_gold	aggressive	0.25	0.5
0.25	0.5	res_rom_furs	aggressive	0.25	0.5
0.25	0.5	res_rom_glass	aggressive	0.25	0.5
0.25	0.5	res_rom_iron	aggressive	0.25	0.5
0.25	0.5	res_rom_lead	aggressive	0.25	0.5
0.25	0.5	res_rom_marble	aggressive	0.25	0.5
0.25	0.5	res_rom_oil	aggressive	0.25	0.5
0.25	0.5	res_rom_textiles	aggressive	0.25	0.5
0.25	0.5	res_rom_timber	aggressive	0.25	0.5
0.25	0.5	res_rom_wine	aggressive	0.25	0.5
0.25	0.5	res_savage	aggressive	0.25	0.5
0.25	0.5	res_dyes	cowardly	0.25	0.5
0.25	0.5	res_gems	cowardly	0.25	0.5
0.25	0.5	res_gold	cowardly	0.25	0.5
0.25	0.5	res_rom_furs	cowardly	0.25	0.5
0.25	0.5	res_rom_glass	cowardly	0.25	0.5
0.25	0.5	res_rom_iron	cowardly	0.25	0.5
0.25	0.5	res_rom_lead	cowardly	0.25	0.5
0.25	0.5	res_rom_marble	cowardly	0.25	0.5
0.25	0.5	res_rom_oil	cowardly	0.25	0.5
0.25	0.5	res_rom_textiles	cowardly	0.25	0.5
0.25	0.5	res_rom_timber	cowardly	0.25	0.5
0.25	0.5	res_rom_wine	cowardly	0.25	0.5
0.25	0.5	res_savage	cowardly	0.25	0.5
0.25	0.5	res_dyes	darkelf	0.25	0.5
0.25	0.5	res_gems	darkelf	0.25	0.5
0.25	0.5	res_gold	darkelf	0.25	0.5
0.25	0.5	res_rom_furs	darkelf	0.25	0.5
0.25	0.5	res_rom_glass	darkelf	0.25	0.5
0.25	0.5	res_rom_iron	darkelf	0.25	0.5
0.25	0.5	res_rom_lead	darkelf	0.25	0.5
0.25	0.5	res_rom_marble	darkelf	0.25	0.5
0.25	0.5	res_rom_oil	darkelf	0.25	0.5
0.25	0.5	res_rom_textiles	darkelf	0.25	0.5
0.25	0.5	res_rom_timber	darkelf	0.25	0.5
0.25	0.5	res_rom_wine	darkelf	0.25	0.5
0.25	0.5	res_savage	darkelf	0.25	0.5
0.25	0.5	res_dyes	default_late_game	0.25	0.5
0.25	0.5	res_gems	default_late_game	0.25	0.5
0.25	0.5	res_gold	default_late_game	0.25	0.5
0.25	0.5	res_rom_furs	default_late_game	0.25	0.5
0.25	0.5	res_rom_glass	default_late_game	0.25	0.5
0.25	0.5	res_rom_iron	default_late_game	0.25	0.5
0.25	0.5	res_rom_lead	default_late_game	0.25	0.5
0.25	0.5	res_rom_marble	default_late_game	0.25	0.5
0.25	0.5	res_rom_oil	default_late_game	0.25	0.5
0.25	0.5	res_rom_textiles	default_late_game	0.25	0.5
0.25	0.5	res_rom_timber	default_late_game	0.25	0.5
0.25	0.5	res_rom_wine	default_late_game	0.25	0.5
0.25	0.5	res_savage	default_late_game	0.25	0.5
0.25	0.5	res_dyes	default	0.25	0.5
0.25	0.5	res_gems	default	0.25	0.5
0.25	0.5	res_gold	default	0.25	0.5
0.25	0.5	res_rom_furs	default	0.25	0.5
0.25	0.5	res_rom_glass	default	0.25	0.5
0.25	0.5	res_rom_iron	default	0.25	0.5
0.25	0.5	res_rom_lead	default	0.25	0.5
0.25	0.5	res_rom_marble	default	0.25	0.5
0.25	0.5	res_rom_oil	default	0.25	0.5
0.25	0.5	res_rom_textiles	default	0.25	0.5
0.25	0.5	res_rom_timber	default	0.25	0.5
0.25	0.5	res_rom_wine	default	0.25	0.5
0.25	0.5	res_savage	default	0.25	0.5
0.25	0.5	res_dyes	defensive_holds_grudges_late_game	0.25	0.5
0.25	0.5	res_gems	defensive_holds_grudges_late_game	0.25	0.5
0.25	0.5	res_gold	defensive_holds_grudges_late_game	0.25	0.5
0.25	0.5	res_rom_furs	defensive_holds_grudges_late_game	0.25	0.5
0.25	0.5	res_rom_glass	defensive_holds_grudges_late_game	0.25	0.5
0.25	0.5	res_rom_iron	defensive_holds_grudges_late_game	0.25	0.5
0.25	0.5	res_rom_lead	defensive_holds_grudges_late_game	0.25	0.5
0.25	0.5	res_rom_marble	defensive_holds_grudges_late_game	0.25	0.5
0.25	0.5	res_rom_oil	defensive_holds_grudges_late_game	0.25	0.5
0.25	0.5	res_rom_textiles	defensive_holds_grudges_late_game	0.25	0.5
0.25	0.5	res_rom_timber	defensive_holds_grudges_late_game	0.25	0.5
0.25	0.5	res_rom_wine	defensive_holds_grudges_late_game	0.25	0.5
0.25	0.5	res_savage	defensive_holds_grudges_late_game	0.25	0.5
0.25	0.5	res_dyes	defensive_holds_grudges	0.25	0.5
0.25	0.5	res_gems	defensive_holds_grudges	0.25	0.5
0.25	0.5	res_gold	defensive_holds_grudges	0.25	0.5
0.25	0.5	res_rom_furs	defensive_holds_grudges	0.25	0.5
0.25	0.5	res_rom_glass	defensive_holds_grudges	0.25	0.5
0.25	0.5	res_rom_iron	defensive_holds_grudges	0.25	0.5
0.25	0.5	res_rom_lead	defensive_holds_grudges	0.25	0.5
0.25	0.5	res_rom_marble	defensive_holds_grudges	0.25	0.5
0.25	0.5	res_rom_oil	defensive_holds_grudges	0.25	0.5
0.25	0.5	res_rom_textiles	defensive_holds_grudges	0.25	0.5
0.25	0.5	res_rom_timber	defensive_holds_grudges	0.25	0.5
0.25	0.5	res_rom_wine	defensive_holds_grudges	0.25	0.5
0.25	0.5	res_savage	defensive_holds_grudges	0.25	0.5
0.25	0.5	res_dyes	defensive	0.25	0.5
0.25	0.5	res_gems	defensive	0.25	0.5
0.25	0.5	res_gold	defensive	0.25	0.5
0.25	0.5	res_rom_furs	defensive	0.25	0.5
0.25	0.5	res_rom_glass	defensive	0.25	0.5
0.25	0.5	res_rom_iron	defensive	0.25	0.5
0.25	0.5	res_rom_lead	defensive	0.25	0.5
0.25	0.5	res_rom_marble	defensive	0.25	0.5
0.25	0.5	res_rom_oil	defensive	0.25	0.5
0.25	0.5	res_rom_textiles	defensive	0.25	0.5
0.25	0.5	res_rom_timber	defensive	0.25	0.5
0.25	0.5	res_rom_wine	defensive	0.25	0.5
0.25	0.5	res_savage	defensive	0.25	0.5
0.25	0.5	res_dyes	foolishly_brave	0.25	0.5
0.25	0.5	res_gems	foolishly_brave	0.25	0.5
0.25	0.5	res_gold	foolishly_brave	0.25	0.5
0.25	0.5	res_rom_furs	foolishly_brave	0.25	0.5
0.25	0.5	res_rom_glass	foolishly_brave	0.25	0.5
0.25	0.5	res_rom_iron	foolishly_brave	0.25	0.5
0.25	0.5	res_rom_lead	foolishly_brave	0.25	0.5
0.25	0.5	res_rom_marble	foolishly_brave	0.25	0.5
0.25	0.5	res_rom_oil	foolishly_brave	0.25	0.5
0.25	0.5	res_rom_textiles	foolishly_brave	0.25	0.5
0.25	0.5	res_rom_timber	foolishly_brave	0.25	0.5
0.25	0.5	res_rom_wine	foolishly_brave	0.25	0.5
0.25	0.5	res_savage	foolishly_brave	0.25	0.5
0.25	0.5	res_dyes	holds_grudges	0.25	0.5
0.25	0.5	res_gems	holds_grudges	0.25	0.5
0.25	0.5	res_gold	holds_grudges	0.25	0.5
0.25	0.5	res_rom_furs	holds_grudges	0.25	0.5
0.25	0.5	res_rom_glass	holds_grudges	0.25	0.5
0.25	0.5	res_rom_iron	holds_grudges	0.25	0.5
0.25	0.5	res_rom_lead	holds_grudges	0.25	0.5
0.25	0.5	res_rom_marble	holds_grudges	0.25	0.5
0.25	0.5	res_rom_oil	holds_grudges	0.25	0.5
0.25	0.5	res_rom_textiles	holds_grudges	0.25	0.5
0.25	0.5	res_rom_timber	holds_grudges	0.25	0.5
0.25	0.5	res_rom_wine	holds_grudges	0.25	0.5
0.25	0.5	res_savage	holds_grudges	0.25	0.5
0.25	0.5	res_dyes	home_defender	0.25	0.5
0.25	0.5	res_gems	home_defender	0.25	0.5
0.25	0.5	res_gold	home_defender	0.25	0.5
0.25	0.5	res_rom_furs	home_defender	0.25	0.5
0.25	0.5	res_rom_glass	home_defender	0.25	0.5
0.25	0.5	res_rom_iron	home_defender	0.25	0.5
0.25	0.5	res_rom_lead	home_defender	0.25	0.5
0.25	0.5	res_rom_marble	home_defender	0.25	0.5
0.25	0.5	res_rom_oil	home_defender	0.25	0.5
0.25	0.5	res_rom_textiles	home_defender	0.25	0.5
0.25	0.5	res_rom_timber	home_defender	0.25	0.5
0.25	0.5	res_rom_wine	home_defender	0.25	0.5
0.25	0.5	res_savage	home_defender	0.25	0.5
0.25	0.5	res_dyes	ignore_threat	0.25	0.5
0.25	0.5	res_gems	ignore_threat	0.25	0.5
0.25	0.5	res_gold	ignore_threat	0.25	0.5
0.25	0.5	res_rom_furs	ignore_threat	0.25	0.5
0.25	0.5	res_rom_glass	ignore_threat	0.25	0.5
0.25	0.5	res_rom_iron	ignore_threat	0.25	0.5
0.25	0.5	res_rom_lead	ignore_threat	0.25	0.5
0.25	0.5	res_rom_marble	ignore_threat	0.25	0.5
0.25	0.5	res_rom_oil	ignore_threat	0.25	0.5
0.25	0.5	res_rom_textiles	ignore_threat	0.25	0.5
0.25	0.5	res_rom_timber	ignore_threat	0.25	0.5
0.25	0.5	res_rom_wine	ignore_threat	0.25	0.5
0.25	0.5	res_savage	ignore_threat	0.25	0.5
0.25	0.5	res_dyes	opportunist_vamp_late_game	0.25	0.5
0.25	0.5	res_gems	opportunist_vamp_late_game	0.25	0.5
0.25	0.5	res_gold	opportunist_vamp_late_game	0.25	0.5
0.25	0.5	res_rom_furs	opportunist_vamp_late_game	0.25	0.5
0.25	0.5	res_rom_glass	opportunist_vamp_late_game	0.25	0.5
0.25	0.5	res_rom_iron	opportunist_vamp_late_game	0.25	0.5
0.25	0.5	res_rom_lead	opportunist_vamp_late_game	0.25	0.5
0.25	0.5	res_rom_marble	opportunist_vamp_late_game	0.25	0.5
0.25	0.5	res_rom_oil	opportunist_vamp_late_game	0.25	0.5
0.25	0.5	res_rom_textiles	opportunist_vamp_late_game	0.25	0.5
0.25	0.5	res_rom_timber	opportunist_vamp_late_game	0.25	0.5
0.25	0.5	res_rom_wine	opportunist_vamp_late_game	0.25	0.5
0.25	0.5	res_savage	opportunist_vamp_late_game	0.25	0.5
0.25	0.5	res_dyes	opportunist_vamp	0.25	0.5
0.25	0.5	res_gems	opportunist_vamp	0.25	0.5
0.25	0.5	res_gold	opportunist_vamp	0.25	0.5
0.25	0.5	res_rom_furs	opportunist_vamp	0.25	0.5
0.25	0.5	res_rom_glass	opportunist_vamp	0.25	0.5
0.25	0.5	res_rom_iron	opportunist_vamp	0.25	0.5
0.25	0.5	res_rom_lead	opportunist_vamp	0.25	0.5
0.25	0.5	res_rom_marble	opportunist_vamp	0.25	0.5
0.25	0.5	res_rom_oil	opportunist_vamp	0.25	0.5
0.25	0.5	res_rom_textiles	opportunist_vamp	0.25	0.5
0.25	0.5	res_rom_timber	opportunist_vamp	0.25	0.5
0.25	0.5	res_rom_wine	opportunist_vamp	0.25	0.5
0.25	0.5	res_savage	opportunist_vamp	0.25	0.5
0.25	0.5	res_dyes	opportunist	0.25	0.5
0.25	0.5	res_gems	opportunist	0.25	0.5
0.25	0.5	res_gold	opportunist	0.25	0.5
0.25	0.5	res_rom_furs	opportunist	0.25	0.5
0.25	0.5	res_rom_glass	opportunist	0.25	0.5
0.25	0.5	res_rom_iron	opportunist	0.25	0.5
0.25	0.5	res_rom_lead	opportunist	0.25	0.5
0.25	0.5	res_rom_marble	opportunist	0.25	0.5
0.25	0.5	res_rom_oil	opportunist	0.25	0.5
0.25	0.5	res_rom_textiles	opportunist	0.25	0.5
0.25	0.5	res_rom_timber	opportunist	0.25	0.5
0.25	0.5	res_rom_wine	opportunist	0.25	0.5
0.25	0.5	res_savage	opportunist	0.25	0.5
0.25	0.5	res_dyes	straightforward	0.25	0.5
0.25	0.5	res_gems	straightforward	0.25	0.5
0.25	0.5	res_gold	straightforward	0.25	0.5
0.25	0.5	res_rom_furs	straightforward	0.25	0.5
0.25	0.5	res_rom_glass	straightforward	0.25	0.5
0.25	0.5	res_rom_iron	straightforward	0.25	0.5
0.25	0.5	res_rom_lead	straightforward	0.25	0.5
0.25	0.5	res_rom_marble	straightforward	0.25	0.5
0.25	0.5	res_rom_oil	straightforward	0.25	0.5
0.25	0.5	res_rom_textiles	straightforward	0.25	0.5
0.25	0.5	res_rom_timber	straightforward	0.25	0.5
0.25	0.5	res_rom_wine	straightforward	0.25	0.5
0.25	0.5	res_savage	straightforward	0.25	0.5
0.25	0.5	res_dyes	survivor	0.25	0.5
0.25	0.5	res_gems	survivor	0.25	0.5
0.25	0.5	res_gold	survivor	0.25	0.5
0.25	0.5	res_rom_furs	survivor	0.25	0.5
0.25	0.5	res_rom_glass	survivor	0.25	0.5
0.25	0.5	res_rom_iron	survivor	0.25	0.5
0.25	0.5	res_rom_lead	survivor	0.25	0.5
0.25	0.5	res_rom_marble	survivor	0.25	0.5
0.25	0.5	res_rom_oil	survivor	0.25	0.5
0.25	0.5	res_rom_textiles	survivor	0.25	0.5
0.25	0.5	res_rom_timber	survivor	0.25	0.5
0.25	0.5	res_rom_wine	survivor	0.25	0.5
0.25	0.5	res_savage	survivor	0.25	0.5
