campaign_map_attrition_faction_immunities_tables
0
attrition	faction
chaos_territory	wh2_main_rogue_scions_of_tesseninck
chaos_territory	wh2_main_rogue_scourge_of_aquitaine
chaos_territory	wh2_main_rogue_stuff_snatchers
chaos_territory	wh2_main_rogue_teef_snatchaz
chaos_territory	wh2_main_rogue_the_wandering_dead
chaos_territory	wh2_main_rogue_troll_skullz
chaos_territory	wh2_main_rogue_vauls_expedition
chaos_territory	wh2_main_rogue_vmp_heirs_of_mourkain
chaos_territory	wh2_main_rogue_wef_hunters_of_kurnous
chaos_territory	wh2_main_rogue_worldroot_rangers
chaos_territory	wh2_main_rogue_wrath_of_nature
chaos_territory	wh_dlc03_bst_beastmen
chaos_territory	wh_dlc03_bst_beastmen_ally
chaos_territory	wh_dlc03_bst_beastmen_brayherd
chaos_territory	wh_dlc03_bst_beastmen_chaos
chaos_territory	wh_dlc03_bst_beastmen_chaos_brayherd
chaos_territory	wh_dlc03_bst_beastmen_qb1
chaos_territory	wh_dlc03_bst_beastmen_qb2
chaos_territory	wh_dlc03_bst_beastmen_qb3
chaos_territory	wh_dlc03_bst_beastmen_rebels
chaos_territory	wh_dlc03_bst_beastmen_rebels_brayherd
chaos_territory	wh_dlc03_bst_jagged_horn
chaos_territory	wh_dlc03_bst_jagged_horn_brayherd
chaos_territory	wh_dlc03_bst_mini_beastmen_rebels
chaos_territory	wh_dlc03_bst_mini_beastmen_rebels_brayherd
chaos_territory	wh_dlc03_bst_mini_jagged_horn
chaos_territory	wh_dlc03_bst_mini_jagged_horn_brayherd
chaos_territory	wh_dlc03_bst_mini_khazrak_herd
chaos_territory	wh_dlc03_bst_mini_khazrak_herd_brayherd
chaos_territory	wh_dlc03_bst_mini_redhorn
chaos_territory	wh_dlc03_bst_mini_redhorn_brayherd
chaos_territory	wh_dlc03_bst_mini_ripper_horn
chaos_territory	wh_dlc03_bst_mini_ripper_horn_brayherd
chaos_territory	wh_dlc03_bst_mini_shadowgor
chaos_territory	wh_dlc03_bst_mini_shadowgor_brayherd
chaos_territory	wh_dlc03_bst_mini_skrinderkin
chaos_territory	wh_dlc03_bst_mini_skrinderkin_brayherd
chaos_territory	wh_dlc03_bst_redhorn
chaos_territory	wh_dlc03_bst_redhorn_brayherd
chaos_territory	wh_dlc05_bst_mini_beastmen_rebels
chaos_territory	wh_dlc05_bst_mini_beastmen_rebels_brayherd
chaos_territory	wh_dlc05_bst_mini_morghur_herd
chaos_territory	wh_dlc05_bst_mini_morghur_herd_brayherd
chaos_territory	wh_main_chs_chaos
chaos_territory	wh_main_chs_chaos_rebels
chaos_territory	wh_main_chs_chaos_separatists
chaos_territory	wh_main_nor_aesling
chaos_territory	wh_main_nor_baersonling
chaos_territory	wh_main_nor_bjornling
chaos_territory	wh_main_nor_graeling
chaos_territory	wh_main_nor_norsca_rebels
chaos_territory	wh_main_nor_sarl
chaos_territory	wh_main_nor_skaeling
chaos_territory	wh_main_nor_varg
chaos_wastes	wh2_main_chs_chaos_incursion_def
chaos_wastes	wh2_main_chs_chaos_incursion_hef
chaos_wastes	wh2_main_chs_chaos_incursion_lzd
chaos_wastes	wh2_main_chs_chaos_incursion_skv
chaos_wastes	wh2_main_nor_aghol
chaos_wastes	wh2_main_nor_hung_incursion_def
chaos_wastes	wh2_main_nor_hung_incursion_hef
chaos_wastes	wh2_main_nor_hung_incursion_lzd
chaos_wastes	wh2_main_nor_hung_incursion_skv
chaos_wastes	wh2_main_nor_mung
chaos_wastes	wh2_main_nor_skeggi
chaos_wastes	wh2_main_rogue_abominations
chaos_wastes	wh2_main_rogue_beastcatchas
chaos_wastes	wh2_main_rogue_bernhoffs_brigands
chaos_wastes	wh2_main_rogue_black_spider_tribe
chaos_wastes	wh2_main_rogue_boneclubbers_tribe
chaos_wastes	wh2_main_rogue_celestial_storm
chaos_wastes	wh2_main_rogue_college_of_pyrotechnics
chaos_wastes	wh2_main_rogue_def_chs_vashnaar
chaos_wastes	wh2_main_rogue_def_mengils_manflayers
chaos_wastes	wh2_main_rogue_doomseekers
chaos_wastes	wh2_main_rogue_gerhardts_mercenaries
chaos_wastes	wh2_main_rogue_hef_tor_elithis
chaos_wastes	wh2_main_rogue_hung_warband
chaos_wastes	wh2_main_rogue_jerrods_errantry
chaos_wastes	wh2_main_rogue_mangy_houndz
chaos_wastes	wh2_main_rogue_morrsliebs_howlers
chaos_wastes	wh2_main_rogue_pirates_of_the_far_sea
chaos_wastes	wh2_main_rogue_pirates_of_the_southern_ocean
chaos_wastes	wh2_main_rogue_pirates_of_trantio
chaos_wastes	wh2_main_rogue_scions_of_tesseninck
chaos_wastes	wh2_main_rogue_scourge_of_aquitaine
chaos_wastes	wh2_main_rogue_stuff_snatchers
chaos_wastes	wh2_main_rogue_teef_snatchaz
chaos_wastes	wh2_main_rogue_the_wandering_dead
chaos_wastes	wh2_main_rogue_troll_skullz
chaos_wastes	wh2_main_rogue_vauls_expedition
chaos_wastes	wh2_main_rogue_vmp_heirs_of_mourkain
chaos_wastes	wh2_main_rogue_wef_hunters_of_kurnous
chaos_wastes	wh2_main_rogue_worldroot_rangers
chaos_wastes	wh2_main_rogue_wrath_of_nature
chaos_wastes	wh_dlc03_bst_beastmen
chaos_wastes	wh_dlc03_bst_beastmen_ally
chaos_wastes	wh_dlc03_bst_beastmen_brayherd
chaos_wastes	wh_dlc03_bst_beastmen_chaos
chaos_wastes	wh_dlc03_bst_beastmen_chaos_brayherd
chaos_wastes	wh_dlc03_bst_beastmen_qb1
chaos_wastes	wh_dlc03_bst_beastmen_qb2
chaos_wastes	wh_dlc03_bst_beastmen_qb3
chaos_wastes	wh_dlc03_bst_beastmen_rebels
chaos_wastes	wh_dlc03_bst_beastmen_rebels_brayherd
chaos_wastes	wh_dlc03_bst_jagged_horn
chaos_wastes	wh_dlc03_bst_jagged_horn_brayherd
chaos_wastes	wh_dlc03_bst_mini_beastmen_rebels
chaos_wastes	wh_dlc03_bst_mini_beastmen_rebels_brayherd
chaos_wastes	wh_dlc03_bst_mini_jagged_horn
chaos_wastes	wh_dlc03_bst_mini_jagged_horn_brayherd
chaos_wastes	wh_dlc03_bst_mini_khazrak_herd
chaos_wastes	wh_dlc03_bst_mini_khazrak_herd_brayherd
chaos_wastes	wh_dlc03_bst_mini_redhorn
chaos_wastes	wh_dlc03_bst_mini_redhorn_brayherd
chaos_wastes	wh_dlc03_bst_mini_ripper_horn
chaos_wastes	wh_dlc03_bst_mini_ripper_horn_brayherd
chaos_wastes	wh_dlc03_bst_mini_shadowgor
chaos_wastes	wh_dlc03_bst_mini_shadowgor_brayherd
chaos_wastes	wh_dlc03_bst_mini_skrinderkin
chaos_wastes	wh_dlc03_bst_mini_skrinderkin_brayherd
chaos_wastes	wh_dlc03_bst_redhorn
chaos_wastes	wh_dlc03_bst_redhorn_brayherd
chaos_wastes	wh_dlc05_bst_mini_beastmen_rebels
chaos_wastes	wh_dlc05_bst_mini_beastmen_rebels_brayherd
chaos_wastes	wh_dlc05_bst_mini_morghur_herd
chaos_wastes	wh_dlc05_bst_mini_morghur_herd_brayherd
chaos_wastes	wh_main_chs_chaos
chaos_wastes	wh_main_chs_chaos_rebels
chaos_wastes	wh_main_chs_chaos_separatists
chaos_wastes	wh_main_nor_aesling
chaos_wastes	wh_main_nor_baersonling
chaos_wastes	wh_main_nor_bjornling
chaos_wastes	wh_main_nor_graeling
chaos_wastes	wh_main_nor_norsca_rebels
chaos_wastes	wh_main_nor_sarl
chaos_wastes	wh_main_nor_skaeling
chaos_wastes	wh_main_nor_varg
deep_sea	wh2_main_nor_hung_incursion_def
deep_sea	wh2_main_nor_hung_incursion_hef
deep_sea	wh2_main_nor_hung_incursion_lzd
deep_sea	wh2_main_nor_hung_incursion_skv
deep_sea	wh_main_nor_bjornling
desertion	wh2_main_chs_chaos_incursion_def
desertion	wh2_main_chs_chaos_incursion_hef
desertion	wh2_main_chs_chaos_incursion_lzd
desertion	wh2_main_chs_chaos_incursion_skv
desertion	wh2_main_def_dark_elves_intervention
desertion	wh2_main_hef_high_elves_intervention
desertion	wh2_main_lzd_lizardmen_intervention
desertion	wh2_main_nor_hung_incursion_def
desertion	wh2_main_nor_hung_incursion_hef
desertion	wh2_main_nor_hung_incursion_lzd
desertion	wh2_main_nor_hung_incursion_skv
desertion	wh2_main_skv_skaven_intervention
desertion	wh2_main_skv_unknown_clan_def
desertion	wh2_main_skv_unknown_clan_hef
desertion	wh2_main_skv_unknown_clan_lzd
desertion	wh2_main_skv_unknown_clan_skv
desert	wh2_main_grn_arachnos
desert	wh2_main_grn_arachnos_waaagh
desert	wh2_main_grn_blue_vipers
desert	wh2_main_grn_blue_vipers_waaagh
desert	wh2_main_rogue_abominations
desert	wh2_main_rogue_beastcatchas
desert	wh2_main_rogue_bernhoffs_brigands
desert	wh2_main_rogue_black_spider_tribe
desert	wh2_main_rogue_boneclubbers_tribe
desert	wh2_main_rogue_celestial_storm
desert	wh2_main_rogue_college_of_pyrotechnics
desert	wh2_main_rogue_def_chs_vashnaar
desert	wh2_main_rogue_def_mengils_manflayers
desert	wh2_main_rogue_doomseekers
desert	wh2_main_rogue_gerhardts_mercenaries
desert	wh2_main_rogue_hef_tor_elithis
desert	wh2_main_rogue_hung_warband
desert	wh2_main_rogue_jerrods_errantry
desert	wh2_main_rogue_mangy_houndz
desert	wh2_main_rogue_morrsliebs_howlers
desert	wh2_main_rogue_pirates_of_the_far_sea
desert	wh2_main_rogue_pirates_of_the_southern_ocean
desert	wh2_main_rogue_pirates_of_trantio
desert	wh2_main_rogue_scions_of_tesseninck
desert	wh2_main_rogue_scourge_of_aquitaine
desert	wh2_main_rogue_stuff_snatchers
desert	wh2_main_rogue_teef_snatchaz
desert	wh2_main_rogue_the_wandering_dead
desert	wh2_main_rogue_troll_skullz
desert	wh2_main_rogue_vauls_expedition
desert	wh2_main_rogue_vmp_heirs_of_mourkain
desert	wh2_main_rogue_wef_hunters_of_kurnous
desert	wh2_main_rogue_worldroot_rangers
desert	wh2_main_rogue_wrath_of_nature
desert	wh2_main_vmp_necrarch_brotherhood
desert	wh2_main_vmp_strygos_empire
desert	wh2_main_vmp_the_silver_host
desert	wh2_main_vmp_vampire_coast
desert	wh_dlc05_vmp_mousillon
desert	wh_main_grn_black_venom
desert	wh_main_grn_black_venom_waaagh
desert	wh_main_grn_bloody_spearz
desert	wh_main_grn_bloody_spearz_waaagh
desert	wh_main_grn_broken_nose
desert	wh_main_grn_broken_nose_waaagh
desert	wh_main_grn_crooked_moon
desert	wh_main_grn_crooked_moon_waaagh
desert	wh_main_grn_greenskins
desert	wh_main_grn_greenskins_rebels
desert	wh_main_grn_greenskins_rebels_waaagh
desert	wh_main_grn_greenskins_waaagh
desert	wh_main_grn_necksnappers
desert	wh_main_grn_necksnappers_waaagh
desert	wh_main_grn_orcs_of_the_bloody_hand
desert	wh_main_grn_orcs_of_the_bloody_hand_waaagh
desert	wh_main_grn_red_eye
desert	wh_main_grn_red_eye_waaagh
desert	wh_main_grn_red_fangs
desert	wh_main_grn_red_fangs_waaagh
desert	wh_main_grn_scabby_eye
desert	wh_main_grn_scabby_eye_waaagh
desert	wh_main_grn_skull-takerz
desert	wh_main_grn_skull-takerz_waaagh
desert	wh_main_grn_skullsmasherz
desert	wh_main_grn_skullsmasherz_waaagh
desert	wh_main_grn_teef_snatchaz
desert	wh_main_grn_teef_snatchaz_waaagh
desert	wh_main_grn_top_knotz
desert	wh_main_grn_top_knotz_waaagh
desert	wh_main_vmp_mousillon
desert	wh_main_vmp_rival_sylvanian_vamps
desert	wh_main_vmp_schwartzhafen
desert	wh_main_vmp_vampire_counts
desert	wh_main_vmp_vampire_rebels
desert	wh_main_vmp_waldenhof
horde_infighting	wh2_main_bst_blooded_axe
horde_infighting	wh2_main_bst_blooded_axe_brayherd
horde_infighting	wh2_main_bst_manblight
horde_infighting	wh2_main_bst_manblight_brayherd
horde_infighting	wh2_main_bst_ripper_horn
horde_infighting	wh2_main_bst_ripper_horn_brayherd
horde_infighting	wh2_main_bst_shadowgor
horde_infighting	wh2_main_bst_shadowgor_brayherd
horde_infighting	wh2_main_bst_skrinderkin
horde_infighting	wh2_main_bst_skrinderkin_brayherd
horde_infighting	wh2_main_bst_stone_horn
horde_infighting	wh2_main_bst_stone_horn_brayherd
horde_infighting	wh2_main_def_bleak_holds
horde_infighting	wh2_main_def_blood_hall_coven
horde_infighting	wh2_main_def_clar_karond
horde_infighting	wh2_main_def_cult_of_excess
horde_infighting	wh2_main_def_cult_of_pleasure
horde_infighting	wh2_main_def_cult_of_pleasure_separatists
horde_infighting	wh2_main_def_dark_elves
horde_infighting	wh2_main_def_dark_elves_intervention
horde_infighting	wh2_main_def_dark_elves_qb1
horde_infighting	wh2_main_def_dark_elves_qb2
horde_infighting	wh2_main_def_dark_elves_qb3
horde_infighting	wh2_main_def_dark_elves_qb4
horde_infighting	wh2_main_def_dark_elves_rebels
horde_infighting	wh2_main_def_deadwood_sentinels
horde_infighting	wh2_main_def_drackla_coven
horde_infighting	wh2_main_def_ghrond
horde_infighting	wh2_main_def_hag_graef
horde_infighting	wh2_main_def_har_ganeth
horde_infighting	wh2_main_def_karond_kar
horde_infighting	wh2_main_def_naggarond
horde_infighting	wh2_main_def_naggarond_separatists
horde_infighting	wh2_main_def_scourge_of_khaine
horde_infighting	wh2_main_def_ssildra_tor
horde_infighting	wh2_main_def_the_forgebound
horde_infighting	wh_dlc03_bst_beastmen
horde_infighting	wh_dlc03_bst_beastmen_ally
horde_infighting	wh_dlc03_bst_beastmen_brayherd
horde_infighting	wh_dlc03_bst_beastmen_chaos
horde_infighting	wh_dlc03_bst_beastmen_chaos_brayherd
horde_infighting	wh_dlc03_bst_beastmen_qb1
horde_infighting	wh_dlc03_bst_beastmen_qb2
horde_infighting	wh_dlc03_bst_beastmen_qb3
horde_infighting	wh_dlc03_bst_beastmen_rebels
horde_infighting	wh_dlc03_bst_beastmen_rebels_brayherd
horde_infighting	wh_dlc03_bst_jagged_horn
horde_infighting	wh_dlc03_bst_jagged_horn_brayherd
horde_infighting	wh_dlc03_bst_mini_beastmen_rebels
horde_infighting	wh_dlc03_bst_mini_beastmen_rebels_brayherd
horde_infighting	wh_dlc03_bst_mini_jagged_horn
horde_infighting	wh_dlc03_bst_mini_jagged_horn_brayherd
horde_infighting	wh_dlc03_bst_mini_khazrak_herd
horde_infighting	wh_dlc03_bst_mini_khazrak_herd_brayherd
horde_infighting	wh_dlc03_bst_mini_redhorn
horde_infighting	wh_dlc03_bst_mini_redhorn_brayherd
horde_infighting	wh_dlc03_bst_mini_ripper_horn
horde_infighting	wh_dlc03_bst_mini_ripper_horn_brayherd
horde_infighting	wh_dlc03_bst_mini_shadowgor
horde_infighting	wh_dlc03_bst_mini_shadowgor_brayherd
horde_infighting	wh_dlc03_bst_mini_skrinderkin
horde_infighting	wh_dlc03_bst_mini_skrinderkin_brayherd
horde_infighting	wh_dlc03_bst_redhorn
horde_infighting	wh_dlc03_bst_redhorn_brayherd
horde_infighting	wh_dlc05_bst_mini_beastmen_rebels
horde_infighting	wh_dlc05_bst_mini_beastmen_rebels_brayherd
horde_infighting	wh_dlc05_bst_mini_morghur_herd
horde_infighting	wh_dlc05_bst_mini_morghur_herd_brayherd
mountain	wh2_main_chs_chaos_incursion_def
mountain	wh2_main_chs_chaos_incursion_hef
mountain	wh2_main_chs_chaos_incursion_lzd
mountain	wh2_main_chs_chaos_incursion_skv
mountain	wh2_main_dwf_greybeards_prospectors
mountain	wh2_main_dwf_karak_zorn
mountain	wh2_main_dwf_spine_of_sotek_dwarfs
mountain	wh2_main_nor_aghol
mountain	wh2_main_nor_hung_incursion_def
mountain	wh2_main_nor_hung_incursion_hef
mountain	wh2_main_nor_hung_incursion_lzd
mountain	wh2_main_nor_hung_incursion_skv
mountain	wh2_main_nor_mung
mountain	wh2_main_nor_skeggi
mountain	wh2_main_rogue_abominations
mountain	wh2_main_rogue_beastcatchas
mountain	wh2_main_rogue_bernhoffs_brigands
mountain	wh2_main_rogue_black_spider_tribe
mountain	wh2_main_rogue_boneclubbers_tribe
mountain	wh2_main_rogue_celestial_storm
mountain	wh2_main_rogue_college_of_pyrotechnics
mountain	wh2_main_rogue_def_chs_vashnaar
mountain	wh2_main_rogue_def_mengils_manflayers
mountain	wh2_main_rogue_doomseekers
mountain	wh2_main_rogue_gerhardts_mercenaries
mountain	wh2_main_rogue_hef_tor_elithis
mountain	wh2_main_rogue_hung_warband
mountain	wh2_main_rogue_jerrods_errantry
mountain	wh2_main_rogue_mangy_houndz
mountain	wh2_main_rogue_morrsliebs_howlers
mountain	wh2_main_rogue_pirates_of_the_far_sea
mountain	wh2_main_rogue_pirates_of_the_southern_ocean
mountain	wh2_main_rogue_pirates_of_trantio
mountain	wh2_main_rogue_scions_of_tesseninck
mountain	wh2_main_rogue_scourge_of_aquitaine
mountain	wh2_main_rogue_stuff_snatchers
mountain	wh2_main_rogue_teef_snatchaz
mountain	wh2_main_rogue_the_wandering_dead
mountain	wh2_main_rogue_troll_skullz
mountain	wh2_main_rogue_vauls_expedition
mountain	wh2_main_rogue_vmp_heirs_of_mourkain
mountain	wh2_main_rogue_wef_hunters_of_kurnous
mountain	wh2_main_rogue_worldroot_rangers
mountain	wh2_main_rogue_wrath_of_nature
mountain	wh2_main_vmp_necrarch_brotherhood
mountain	wh2_main_vmp_strygos_empire
mountain	wh2_main_vmp_the_silver_host
mountain	wh2_main_vmp_vampire_coast
mountain	wh_dlc05_grn_mini_deff_grindaz
mountain	wh_dlc05_grn_mini_deff_grindaz_waaagh
mountain	wh_dlc05_grn_mini_skullsmasherz
mountain	wh_dlc05_grn_mini_skullsmasherz_waaagh
mountain	wh_dlc05_vmp_mousillon
mountain	wh_main_chs_chaos
mountain	wh_main_chs_chaos_rebels
mountain	wh_main_chs_chaos_separatists
mountain	wh_main_dwf_barak_varr
mountain	wh_main_dwf_dwarf_rebels
mountain	wh_main_dwf_dwarfs
mountain	wh_main_dwf_karak_azul
mountain	wh_main_dwf_karak_hirn
mountain	wh_main_dwf_karak_izor
mountain	wh_main_dwf_karak_kadrin
mountain	wh_main_dwf_karak_norn
mountain	wh_main_dwf_karak_ziflin
mountain	wh_main_dwf_kraka_drak
mountain	wh_main_dwf_zhufbar
mountain	wh_main_grn_crooked_moon
mountain	wh_main_nor_aesling
mountain	wh_main_nor_baersonling
mountain	wh_main_nor_bjornling
mountain	wh_main_nor_graeling
mountain	wh_main_nor_norsca_rebels
mountain	wh_main_nor_sarl
mountain	wh_main_nor_skaeling
mountain	wh_main_nor_varg
mountain	wh_main_vmp_mousillon
mountain	wh_main_vmp_rival_sylvanian_vamps
mountain	wh_main_vmp_schwartzhafen
mountain	wh_main_vmp_vampire_counts
mountain	wh_main_vmp_vampire_rebels
mountain	wh_main_vmp_waldenhof
non_vampire_territory	wh2_main_brt_knights_of_origo
non_vampire_territory	wh2_main_brt_knights_of_the_flame
non_vampire_territory	wh2_main_brt_thegans_crusaders
non_vampire_territory	wh2_main_bst_blooded_axe
non_vampire_territory	wh2_main_bst_blooded_axe_brayherd
non_vampire_territory	wh2_main_bst_manblight
non_vampire_territory	wh2_main_bst_manblight_brayherd
non_vampire_territory	wh2_main_bst_ripper_horn
non_vampire_territory	wh2_main_bst_ripper_horn_brayherd
non_vampire_territory	wh2_main_bst_shadowgor
non_vampire_territory	wh2_main_bst_shadowgor_brayherd
non_vampire_territory	wh2_main_bst_skrinderkin
non_vampire_territory	wh2_main_bst_skrinderkin_brayherd
non_vampire_territory	wh2_main_bst_stone_horn
non_vampire_territory	wh2_main_bst_stone_horn_brayherd
non_vampire_territory	wh2_main_chs_chaos_incursion_def
non_vampire_territory	wh2_main_chs_chaos_incursion_hef
non_vampire_territory	wh2_main_chs_chaos_incursion_lzd
non_vampire_territory	wh2_main_chs_chaos_incursion_skv
non_vampire_territory	wh2_main_def_bleak_holds
non_vampire_territory	wh2_main_def_blood_hall_coven
non_vampire_territory	wh2_main_def_clar_karond
non_vampire_territory	wh2_main_def_cult_of_excess
non_vampire_territory	wh2_main_def_cult_of_pleasure
non_vampire_territory	wh2_main_def_cult_of_pleasure_separatists
non_vampire_territory	wh2_main_def_dark_elves
non_vampire_territory	wh2_main_def_dark_elves_intervention
non_vampire_territory	wh2_main_def_dark_elves_rebels
non_vampire_territory	wh2_main_def_deadwood_sentinels
non_vampire_territory	wh2_main_def_drackla_coven
non_vampire_territory	wh2_main_def_ghrond
non_vampire_territory	wh2_main_def_hag_graef
non_vampire_territory	wh2_main_def_har_ganeth
non_vampire_territory	wh2_main_def_karond_kar
non_vampire_territory	wh2_main_def_naggarond
non_vampire_territory	wh2_main_def_naggarond_separatists
non_vampire_territory	wh2_main_def_scourge_of_khaine
non_vampire_territory	wh2_main_def_ssildra_tor
non_vampire_territory	wh2_main_def_the_forgebound
non_vampire_territory	wh2_main_dwf_greybeards_prospectors
non_vampire_territory	wh2_main_dwf_karak_zorn
non_vampire_territory	wh2_main_dwf_spine_of_sotek_dwarfs
non_vampire_territory	wh2_main_emp_new_world_colonies
non_vampire_territory	wh2_main_emp_pirates_of_sartosa
non_vampire_territory	wh2_main_emp_sudenburg
non_vampire_territory	wh2_main_grn_arachnos
non_vampire_territory	wh2_main_grn_arachnos_waaagh
non_vampire_territory	wh2_main_grn_blue_vipers
non_vampire_territory	wh2_main_grn_blue_vipers_waaagh
non_vampire_territory	wh2_main_hef_avelorn
non_vampire_territory	wh2_main_hef_caledor
non_vampire_territory	wh2_main_hef_chrace
non_vampire_territory	wh2_main_hef_citadel_of_dusk
non_vampire_territory	wh2_main_hef_cothique
non_vampire_territory	wh2_main_hef_eataine
non_vampire_territory	wh2_main_hef_ellyrion
non_vampire_territory	wh2_main_hef_fortress_of_dawn
non_vampire_territory	wh2_main_hef_high_elves
non_vampire_territory	wh2_main_hef_high_elves_intervention
non_vampire_territory	wh2_main_hef_high_elves_rebels
non_vampire_territory	wh2_main_hef_nagarythe
non_vampire_territory	wh2_main_hef_order_of_loremasters
non_vampire_territory	wh2_main_hef_saphery
non_vampire_territory	wh2_main_hef_tiranoc
non_vampire_territory	wh2_main_hef_tor_elasor
non_vampire_territory	wh2_main_hef_yvresse
non_vampire_territory	wh2_main_lzd_hexoatl
non_vampire_territory	wh2_main_lzd_itza
non_vampire_territory	wh2_main_lzd_last_defenders
non_vampire_territory	wh2_main_lzd_lizardmen
non_vampire_territory	wh2_main_lzd_lizardmen_intervention
non_vampire_territory	wh2_main_lzd_lizardmen_rebels
non_vampire_territory	wh2_main_lzd_sentinels_of_xeti
non_vampire_territory	wh2_main_lzd_southern_sentinels
non_vampire_territory	wh2_main_lzd_teotiqua
non_vampire_territory	wh2_main_lzd_tlaqua
non_vampire_territory	wh2_main_lzd_tlaxtlan
non_vampire_territory	wh2_main_lzd_xlanhuapec
non_vampire_territory	wh2_main_lzd_zlatan
non_vampire_territory	wh2_main_nor_aghol
non_vampire_territory	wh2_main_nor_hung_incursion_def
non_vampire_territory	wh2_main_nor_hung_incursion_hef
non_vampire_territory	wh2_main_nor_hung_incursion_lzd
non_vampire_territory	wh2_main_nor_hung_incursion_skv
non_vampire_territory	wh2_main_nor_mung
non_vampire_territory	wh2_main_nor_skeggi
