projectile_displays_tables
10
display_model	impact	key	launch_fx	trail_fx	stationary_fx	airborne_anim	landing_anim	tip_offset	trail_spin	launch_camera_shake	impact_bounce	impact_penetrate	impact_blood	impact_bounce_blood	impact_penetrate_blood
projectiles\wh_brt_longbow_arrow.rigid_model_v2	wh_dlc07_weapon_burning_arrow	wh_brt_longbow_arrow_fire		wh_dlc07_weapon_trail_arrow_burning_small	False		False	-0.05	False			wh_main_entity_impact			
projectiles\wh_brt_longbow_arrow.rigid_model_v2	wh_dlc07_weapon_pox_arrow	wh_brt_longbow_arrow_pox		wh_dlc07_weapon_trail_arrow_poison_small	False		False	-0.05	False			wh_main_entity_impact			
projectiles\wh_brt_longbow_arrow.rigid_model_v2	arrow	wh_brt_longbow_arrow_tower	wh_main_generic_dust_blow	wh_main_weapon_trail_arrow_medium	False		False	-0.05	False			wh_main_entity_impact			
projectiles\wh_brt_longbow_arrow.rigid_model_v2	arrow	wh_brt_longbow_arrow_tower_improved	wh_main_generic_dust_blow	wh_main_weapon_trail_arrow_medium	False		False	-0.05	False			wh_main_entity_impact			
projectiles\wh_brt_trebuchet_stone.rigid_model_v2	wh_main_impact_very_large	wh_brt_trebuchet_stone		wh_main_weapon_trail_tower_medium	False		False	0	False		wh_main_bounce_impact	wh_main_entity_impact			
projectiles\wh_brt_trebuchet_stone_shrapnel.rigid_model_v2	wh_main_impact_very_small	wh_brt_trebuchet_stone_shrapnel		wh_main_weapon_trail_tower_medium	False		False	0	False			wh_main_entity_impact			
projectiles\wh_bst_cygor_boulder_01.wsmodel	wh_main_impact_very_large	wh_bst_cygor_boulder			False		False	0	False		wh_main_bounce_impact	wh_main_entity_impact			
projectiles\wh_bst_ungor_arrow.rigid_model_v2	arrow	wh_bst_ungor_arrow		wh_main_weapon_trail_arrow_small	False		False	-0.05	False			wh_main_entity_impact			
	wh_main_chs_hellcannon	wh_chs_hellcannon_blast		wh_main_machine_hell_cannon_trail	False		False	0	False	wh_main_unit_launch_medium	wh_main_bounce_impact	wh_main_entity_impact			
projectiles\wh_chs_javelin.rigid_model_v2	wh_main_impact_very_small	wh_chs_javelin		wh_main_weapon_trail_javelin	False		False	-0.15	False		wh_main_bounce_impact	wh_main_entity_impact			
projectiles\wh_chs_throwing_axe.rigid_model_v2	wh_main_impact_very_small	wh_chs_throwing_axe		wh_main_weapon_trail_arrow_small	False		False	0	False		wh_main_bounce_impact	wh_main_entity_impact			
projectiles/wh_bst_amber_spear.wsmodel	wh_dlc03_beasts_amber_spear_impact	wh_dlc03_amber_spear		wh_dlc03_beasts_amber_spear_trail	False		False	0	False		wh_main_impact_small	wh_dlc03_beasts_amber_spear_impact	wh_dlc03_beasts_amber_spear_impact		
projectiles\wh_bst_centigor_throwing_axe.rigid_model_v2	wh_main_impact_very_small	wh_dlc03_bst_centigor_throwing_axe		wh_main_weapon_trail_arrow_small	False		False	0	False		wh_main_bounce_impact	wh_main_entity_impact			
projectiles\wh_chs_javelin.rigid_model_v2	wh_main_impact_medium	wh_dlc03_hunting_spear		wh_dlc03_weapon_trail_hunting_spear	False		False	-0.15	False		wh_main_bounce_impact	wh_main_entity_impact			
projectiles\wef_glade_guard_arrow_01.wsmodel	wh_dlc05_impact_wef_arrow	wh_dlc05_abilities_hail_of_doom_arrow		wh_dlc05_abilities_hail_of_doom_trail	False		False	-0.05	False			wh_main_entity_impact			
	wh_dlc05_wef_arrow_of_kurnous_impact	wh_dlc05_wef_arrow_of_kurnous		wh_dlc05_ability_arrow_of_kurnous_trail	False		False	0	False	wh_main_unit_launch_light	wh_dlc05_wef_arrow_of_kurnous_impact	wh_dlc05_wef_arrow_of_kurnous_impact			
	wh_dlc05_wef_hawks_talon	wh_dlc05_wef_bow_of_loren		wh_dlc05_loren_magic_arrow_trail	False		False	0	False	wh_main_unit_launch_medium					
projectiles\wef_glade_guard_arrow_01.wsmodel	arrow	wh_dlc05_wef_glade_guard_arrow		wh_dlc05_wef_standard_arrow_trail	False		False	-0.05	False			wh_main_entity_impact			
projectiles\wef_glade_guard_arrow_hagbane.wsmodel	wh_dlc05_impact_wef_arrow	wh_dlc05_wef_hagbane_arrow		wh_dlc05_wef_hagbane_arrow_trail	False		False	-0.05	False			wh_main_entity_impact			
projectiles\wh_brt_longbow_arrow.rigid_model_v2	arrow	wh_dlc05_wef_hail_of_doom_arrow		wh_main_weapon_trail_arrow_small	False		False	-0.05	False			wh_main_entity_impact			
	wh_main_spell_metal_searing_doom	wh_dlc05_wef_hawks_talon		wh_main_metal_searing_doom_bomb_trail	False		False	0	False	wh_main_unit_launch_medium	wh_main_spell_metal_searing_doom	wh_main_spell_metal_searing_doom			
	wh_dlc05_lamentation_of_despair_impact	wh_dlc05_wef_lamentation_of_despair		wh_dlc05_ability_lamentation_of_despair_trail	False		False	0	False	wh_main_unit_launch_light	wh_dlc05_lamentation_of_despair_impact	wh_dlc05_lamentation_of_despair_impact			
projectiles\wef_glade_guard_arrow_starfire.wsmodel	wh_dlc05_impact_wef_arrow_starfire	wh_dlc05_wef_starfire_arrow		wh_dlc05_wef_starfire_arrow_trail	False		False	-0.05	False			wh_main_entity_impact			
projectiles\wef_glade_guard_arrow_swiftshiver.wsmodel	wh_dlc05_impact_wef_arrow_swiftshiver	wh_dlc05_wef_swiftshiver_arrow		wh_dlc05_wef_swiftshiver_arrow_trail	False		False	-0.05	False			wh_main_entity_impact			
projectiles\wef_glade_guard_arrow_01.wsmodel	wh_dlc05_impact_wef_arrow_trueflight	wh_dlc05_wef_trueflight_arrow		wh_dlc05_wef_trueflight_arrow_trail	False		False	-0.05	False			wh_main_entity_impact			
projectiles\dwf_throwing_axe_01.rigid_model_v2	wh_main_impact_very_small	wh_dlc06_dwf_rangers_throwing_axe		wh_main_weapon_trail_arrow_small	False		False	0	False		wh_main_bounce_impact	wh_main_entity_impact			
		wh_dlc06_skarsniks_prodder		wh_dlc06_skarsnik_missile_trail	False		False	0	False		wh_main_bounce_impact	wh_dlc03_beasts_amber_spear_impact			
projectiles\wh_brt_trebuchet_stone.wsmodel	wh_dlc07_blessed_stone_trebuchet	wh_dlc07_brt_blessed_stone		wh_dlc07_blessed_stone_trail	False		False	0	False		wh_main_bounce_impact	wh_main_entity_impact			
projectiles/dwf_bolt_01.rigid_model_v2	wh_main_impact_medium	wh_dwf_bolt_thrower_bolt		wh_main_weapon_trail_arrow_medium	False		False	0	False		wh_main_bounce_impact	wh_main_entity_impact			
projectiles\wh_dwf_bomb_shrapnel.rigid_model_v2	wh_main_impact_very_small	wh_dwf_bomb_shrapnel			False		False	0	False			wh_main_entity_impact			
projectiles\wh_dwf_copter_bomb.rigid_model_v2	wh_main_impact_small	wh_dwf_bomber_bomb			False		False	0	False		wh_main_bounce_impact	wh_main_entity_impact			
projectiles\wh_dwf_rifle_bullet.rigid_model_v2	wh_main_impact_very_small	wh_dwf_bomber_clattergun_bullet		wh_main_weapon_trail_rifle	False		False	0	False		wh_main_impact_very_small	wh_main_impact_very_small			
projectiles\wh_dwf_cannon_ball.rigid_model_v2	wh_main_weapon_cannonball_impact	wh_dwf_cannon_ball	wh_main_weapon_muzzle_flash_medium	wh_main_weapon_trail_smoke_medium	False		False	0	False	wh_main_unit_launch_medium	wh_main_bounce_impact	wh_main_entity_impact			
projectiles\wh_dwf_cannon_ball.rigid_model_v2	wh_main_weapon_cannonball_impact	wh_dwf_cannon_ball_tower	wh_main_weapon_muzzle_flash_medium	wh_main_weapon_trail_smoke_medium	False		False	0	False	wh_main_unit_launch_medium	wh_main_bounce_impact	wh_main_entity_impact			
projectiles\wh_dwf_copter_bomb.rigid_model_v2	wh_main_impact_medium	wh_dwf_copter_bomb		wh_main_weapon_trail_arrow_medium	False		False	0	False		wh_main_bounce_impact	wh_main_entity_impact			
projectiles\wh_dwf_copter_brimstone_shot.wsmodel	wh_main_impact_medium	wh_dwf_copter_brimstone_shot	wh_main_weapon_muzzle_flash_medium	wh_main_weapon_trail_smoke_medium	False		False	0	False		wh_main_bounce_impact	wh_main_entity_impact			
projectiles\wh_dwf_crossbow_bolt.rigid_model_v2	arrow	wh_dwf_crossbow_bolt		wh_main_weapon_trail_arrow_small	False		False	-0.02	False		wh_main_bounce_impact	wh_main_entity_impact			
	wh_main_weapon_flamethrower_impact	wh_dwf_drakegun_flame	wh_main_weapon_flamethrower_beam		False		False	0	False			wh_main_entity_impact			
		wh_dwf_drakegun_skolder	wh_dlc06_weapon_drakegun_skolder_muzzle	wh_dlc06_weapon_trail_drakegun_skolder	False		False	0	False			wh_main_entity_impact			
projectiles\wh_dwf_drakegun_trollhammer.rigid_model_v2	wh_main_impact_very_small	wh_dwf_drakegun_trollhammer		wh_main_weapon_trail_tower_medium	False		False	0	False	wh_main_unit_launch_medium	wh_main_bounce_impact	wh_main_entity_impact			
	wh_main_weapon_flame_cannon_impact	wh_dwf_flame_cannon_blast		wh_main_weapon_flame_cannon_trail	False		False	0	False	wh_main_unit_launch_medium	wh_main_weapon_flame_cannon_impact	wh_main_weapon_flame_cannon_impact			
projectiles\wh_dwf_fused_beer_keg.rigid_model_v2	wh_main_impact_large	wh_dwf_fused_beer_keg	wh_main_weapon_muzzle_flash_medium	wh_main_metal_searing_doom_bomb_trail	False		False	0.6	False		wh_main_bounce_impact	wh_main_entity_impact			
projectiles\wh_dwf_fused_beer_keg.rigid_model_v2	wh_main_impact_medium	wh_dwf_fused_beer_keg_tower	wh_main_generic_dust_blow	wh_main_weapon_trail_tower_medium	False		False	0.6	False		wh_main_bounce_impact	wh_main_entity_impact			
projectiles\wh_dwf_grudge_stone.rigid_model_v2	wh_main_impact_very_large	wh_dwf_grudge_stone		wh_main_weapon_trail_arrow_small	False		False	0	False		wh_main_impact_very_large	wh_main_impact_very_large			
projectiles\wh_dwf_gob_lobber_stone.rigid_model_v2	wh_dlc06_dwf_gob_lobber_impact	wh_dwf_grudge_stone_goblin		wh_main_weapon_trail_arrow_small	False		False	0	False		wh_dlc06_dwf_gob_lobber_impact	wh_dlc06_dwf_gob_lobber_impact	wh_dlc06_dwf_gob_lobber_impact		
		wh_dwf_gyrocopter_steam_shot	wh_main_machine_gyrocopter_steamgun	wh_main_weapon_trail_steam_medium	False		False	0	False			wh_main_entity_impact			
projectiles\wh_dwf_miners_blasting_charge.rigid_model_v2		wh_dwf_miners_blasting_charge		wh_main_weapon_trail_smoke_small	False		False	0	False	wh_main_unit_launch_medium	wh_main_bounce_impact	wh_main_entity_impact			
projectiles\wh_dwf_miners_blasting_charge_shrapnel.rigid_model_v2	wh_main_impact_very_small	wh_dwf_miners_blasting_charge_shrapnel			False		False	0	False			wh_main_entity_impact			
projectiles\wh_dwf_organ_gun_shot.rigid_model_v2	wh_main_impact_small	wh_dwf_organ_gun_shot		wh_main_weapon_trail_smoke_small	False		False	0	False	wh_main_unit_launch_medium	wh_main_impact_small	wh_main_impact_small			
projectiles\wh_dwf_rifle_bullet.rigid_model_v2	wh_main_impact_very_small	wh_dwf_rifle_bullet		wh_main_weapon_trail_rifle	False		False	0	False		wh_main_impact_very_small	wh_main_impact_very_small			
projectiles\wh_dwf_rifle_bullet.rigid_model_v2	wh_main_impact_very_small	wh_dwf_rifle_bullet_tower	wh_main_generic_dust_blow	wh_main_weapon_trail_rifle	False		False	0	False		wh_main_impact_very_small	wh_main_impact_very_small			
projectiles\wh_dwf_rifle_bullet.rigid_model_v2	wh_main_impact_very_small	wh_dwf_rifle_bullet_tower_improved	wh_main_generic_dust_blow	wh_main_weapon_trail_rifle	False		False	0	False		wh_main_impact_very_small	wh_main_impact_very_small			
projectiles\wh_emp_cannon_ball.rigid_model_v2	wh_main_weapon_cannonball_impact	wh_emp_cannon_ball	wh_main_weapon_muzzle_flash_medium	wh_main_weapon_trail_smoke_medium	False		False	0	False	wh_main_unit_launch_medium	wh_main_bounce_impact	wh_main_entity_impact			
projectiles\wh_emp_cannon_ball.rigid_model_v2	wh_main_weapon_cannonball_impact	wh_emp_cannon_ball_tower	wh_main_weapon_muzzle_flash_medium	wh_main_weapon_trail_smoke_medium	False		False	0	False	wh_main_unit_launch_medium	wh_main_bounce_impact	wh_main_entity_impact			
projectiles\wh_emp_clockwork_bomb.rigid_model_v2	wh_main_impact_large	wh_emp_clockwork_bomb			False		False	0	False		wh_main_bounce_impact	wh_main_entity_impact			
