building_sets_tables
3
key	unknown1	unknown2	unknown3	unknown4	unknown5
wh_dlc05_set_woodelves_temples	UI/Buildings/Icons/wood_elves_cat_temple.png	6	180	180	180
wh_main_set_bretonnia_legendary	UI/Buildings/Icons/bretonnia_cat_legendary.png	9	180	180	180
wh_main_set_chaos_defence	UI/Buildings/Icons/empire_cat_defence.png	4	91	73	47
wh_main_set_chaos_economy	UI/Buildings/Icons/empire_cat_civic.png	5	62	71	57
wh_main_set_chaos_military_recuitment	UI/Buildings/Icons/chaos_cat_recruitment.png	2	101	57	52
wh_main_set_chaos_military_support	UI/Buildings/Icons/chaos_cat_support.png	3	75	65	88
wh_main_set_defence	UI/Buildings/Icons/empire_cat_defence.png	6	91	73	47
wh_main_set_dwarf_defence	UI/Buildings/Icons/dwarf_cat_defence.png	6	91	73	47
wh_main_set_dwarf_economy	UI/Buildings/Icons/dwarf_cat_civic.png	7	62	71	57
wh_main_set_dwarf_military_recruitment	UI/Buildings/Icons/dwarf_cat_recruitment.png	4	120	20	20
wh_main_set_dwarf_military_support	UI/Buildings/Icons/dwarf_cat_support.png	5	75	65	88
wh_main_set_economy	UI/Buildings/Icons/empire_cat_civic.png	7	62	71	57
wh_main_set_empire_defence	UI/Buildings/Icons/empire_cat_defence.png	6	91	73	47
wh_main_set_empire_economy	UI/Buildings/Icons/empire_cat_civic.png	7	62	71	57
wh_main_set_empire_military_recruitment	UI/Buildings/Icons/empire_cat_recruitment.png	4	120	20	20
wh_main_set_empire_military_support	UI/Buildings/Icons/empire_cat_support.png	5	75	65	88
wh_main_set_empire_wizards	placeholder	0	255	255	255
wh_main_set_greenskin_defence	UI/Buildings/Icons/greenskins_cat_defence.png	6	91	73	47
wh_main_set_greenskin_economy	UI/Buildings/Icons/greenskins_cat_civic.png	7	62	71	57
wh_main_set_greenskin_military_recruitment	UI/Buildings/Icons/greenskins_cat_recruitment.png	4	120	20	20
wh_main_set_greenskin_military_support	UI/Buildings/Icons/greenskins_cat_support.png	5	75	65	88
wh_main_set_military_recruitment	UI/Buildings/Icons/empire_cat_recruitment.png	4	101	57	52
wh_main_set_military_support	UI/Buildings/Icons/empire_cat_support.png	5	75	65	88
wh_main_set_newhorde_chaos	placeholder	0	255	255	255
wh_main_set_newhorde_savage_orcs	placeholder	0	255	255	255
wh_main_set_port	placeholder	1	53	69	81
wh_main_set_settlement_horde	placeholder	0	62	61	56
wh_main_set_settlement_major	placeholder	0	62	61	56
wh_main_set_settlement_minor	placeholder	0	62	61	56
wh_main_set_vampire_defence	UI/Buildings/Icons/vampire_cat_defence.png	6	91	73	47
wh_main_set_vampire_economy	UI/Buildings/Icons/vampire_cat_civic.png	7	62	71	57
wh_main_set_vampire_military_recruitment	UI/Buildings/Icons/vampire_cat_recruitment.png	4	120	20	20
wh_main_set_vampire_military_support	UI/Buildings/Icons/vampire_cat_support.png	5	75	65	88
