military_force_legacy_names_tables
1
key	subculture	for_army
wh2_main_rogue_pirates_of_the_far_sea_navy_01	wh2_main_rogue_pirates_of_the_far_sea	False
wh2_main_rogue_pirates_of_the_southern_ocean_01	wh2_main_rogue_pirates_of_the_southern_ocean	True
wh2_main_rogue_pirates_of_the_southern_ocean_navy_01	wh2_main_rogue_pirates_of_the_southern_ocean	False
wh2_main_rogue_pirates_of_trantio_01	wh2_main_rogue_pirates_of_trantio	True
wh2_main_rogue_pirates_of_trantio_navy_01	wh2_main_rogue_pirates_of_trantio	False
wh2_main_rogue_scions_of_tesseninck_01	wh2_main_rogue_scions_of_tesseninck	True
wh2_main_rogue_scions_of_tesseninck_navy_01	wh2_main_rogue_scions_of_tesseninck	False
wh2_main_rogue_scourge_of_aquitaine_01	wh2_main_rogue_scourge_of_aquitaine	True
wh2_main_rogue_scourge_of_aquitaine_navy_01	wh2_main_rogue_scourge_of_aquitaine	False
wh2_main_rogue_stuff_snatchers_01	wh2_main_rogue_stuff_snatchers	True
wh2_main_rogue_stuff_snatchers_navy_01	wh2_main_rogue_stuff_snatchers	False
wh2_main_rogue_teef_snatchaz_01	wh2_main_rogue_teef_snatchaz	True
wh2_main_rogue_teef_snatchaz_navy_01	wh2_main_rogue_teef_snatchaz	False
wh2_main_rogue_the_wandering_dead_01	wh2_main_rogue_the_wandering_dead	True
wh2_main_rogue_the_wandering_dead_navy_01	wh2_main_rogue_the_wandering_dead	False
wh2_main_rogue_tor_elithis_legacy_01	wh2_main_rogue_tor_elithis	True
wh2_main_rogue_tor_elithis_legacy_navy_01	wh2_main_rogue_tor_elithis	False
wh2_main_rogue_troll_skullz_legacy_01	wh2_main_rogue_troll_skullz	True
wh2_main_rogue_troll_skullz_legacy_navy_01	wh2_main_rogue_troll_skullz	False
wh2_main_rogue_vashnaar_legacy_01	wh2_main_rogue_vashnaar	True
wh2_main_rogue_vashnaar_legacy_navy_01	wh2_main_rogue_vashnaar	False
wh2_main_rogue_vauls_expedition_01	wh2_main_rogue_vauls_expedition	True
wh2_main_rogue_vauls_expedition_navy_01	wh2_main_rogue_vauls_expedition	False
wh2_main_rogue_worldroot_rangers_01	wh2_main_rogue_worldroot_rangers	True
wh2_main_rogue_worldroot_rangers_navy_01	wh2_main_rogue_worldroot_rangers	False
wh2_main_rogue_wrath_of_nature_01	wh2_main_rogue_wrath_of_nature	True
wh2_main_rogue_wrath_of_nature_navy_01	wh2_main_rogue_wrath_of_nature	False
wh2_main_skv_legacy_01	wh2_main_sc_skv_skaven	True
wh2_main_skv_legacy_navy_01	wh2_main_sc_skv_skaven	False
wh_dlc03_bst_legacy_01	wh_dlc03_sc_bst_beastmen	True
wh_dlc03_bst_legacy_navy_01	wh_dlc03_sc_bst_beastmen	False
wh_dlc05_wef_legacy_01	wh_dlc05_sc_wef_wood_elves	True
wh_dlc05_wef_legacy_navy_01	wh_dlc05_sc_wef_wood_elves	False
wh_main_brt_legacy_01	wh_main_sc_brt_bretonnia	True
wh_main_brt_legacy_navy_01	wh_main_sc_brt_bretonnia	False
wh_main_chs_legacy_01	wh_main_sc_chs_chaos	True
wh_main_chs_legacy_navy_01	wh_main_sc_chs_chaos	False
wh_main_dwf_legacy_01	wh_main_sc_dwf_dwarfs	True
wh_main_dwf_legacy_navy_01	wh_main_sc_dwf_dwarfs	False
wh_main_emp_legacy_01	wh_main_sc_emp_empire	True
wh_main_emp_legacy_navy_01	wh_main_sc_emp_empire	False
wh_main_grn_legacy_01	wh_main_sc_grn_greenskins	True
wh_main_grn_legacy_01	wh_main_sc_grn_savage_orcs	True
wh_main_grn_legacy_navy_01	wh_main_sc_grn_greenskins	False
wh_main_grn_legacy_navy_01	wh_main_sc_grn_savage_orcs	False
wh_main_ksl_legacy_01	wh_main_sc_ksl_kislev	True
wh_main_ksl_legacy_navy_01	wh_main_sc_ksl_kislev	False
wh_main_nor_legacy_01	wh_main_sc_nor_norsca	True
wh_main_nor_legacy_navy_01	wh_main_sc_nor_norsca	False
wh_main_teb_legacy_01	wh_main_sc_teb_teb	True
wh_main_teb_legacy_navy_01	wh_main_sc_teb_teb	False
wh_main_vmp_legacy_01	wh_main_sc_vmp_vampire_counts	True
wh_main_vmp_legacy_navy_01	wh_main_sc_vmp_vampire_counts	False
