effect_bundles_tables
1
key	localised_description	localised_title	ui_icon	bundle_target
wh2_main_dilemma_loyalty_positive_skv_whisper_rumours_1	Have your own networks spread rumours of this one's meek paunch and short tail. Highlight that he stinks-smells like an Elf-thing's water!	Spread counter-rumours	public_order.png	faction
wh2_main_dilemma_loyalty_positive_skv_whisper_rumours_2	Summon the rumour-monger and have him explain his actions, then make him grovel and bow in front of your retinue. That'll teach him!	Summon him directly	loyalty.png	faction
wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_1_a_first_all_morale_down	This contribution should please those damned Grey Seers, though your troops are none too pleased to be losing such valuable resources…	Hand them over	morale.png	force
wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_1_b_all_morale_up	Let the rancid rank and file chatter and gossip, it means nothing. You certainly won't be aiding these irritating Grey Seers!	Refuse to comply	morale.png	force
wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_1_first	Let the rancid rank and file chatter and gossip, it means nothing. You certainly won't be aiding these irritating Grey Seers!	Refuse to comply	morale.png	force
wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_2_a_first	By the time you were done with him the poor, idiotic runt was no more than a smear of blood and fur. Next!	Face the challenger down	weapon_damage.png	force
wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_2_a_second	He has no allies, and power corrupts the worthless anyway; let the loyal among your army deal with this traitor.	Let the swarm deal with him	weapon_damage.png	force
wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_2_b_second	If they want to riot, then you shall riot with them. Into the fray!	Fight any would-be contenders	morale.png	force
wh2_main_dilemma_loyalty_skv_pestilential_proposition_1_first	Clan Pestilens have an agenda we should all try to fulfil - filth-spreading and deviant destruction. Yes, yes, a hundred times yes!	Infect your men	disaster.png	force
wh2_main_dilemma_loyalty_skv_price_of_treachery_1	Power is power - hunger, on the other hand, is fleeting.	Accept his offer	weapon_damage.png	force
wh2_main_dilemma_loyalty_skv_shades_of_grey_1_second	Denying a Grey Seer his desires is its own reward, no matter the repercussions.	Refuse a donation	weapon_damage.png	force
wh2_main_dilemma_loyalty_skv_shades_of_grey_2_a_first	The Skaven under your command are chattels, nothing more. Experiment away!	Agree	weapon_damage.png	force
wh2_main_dilemma_loyalty_skv_shades_of_grey_2_a_second	These Skaven are your rats. There are many like them, but these ones are yours. No experiments!	Decline	weapon_damage.png	force
wh2_main_dilemma_loyalty_skv_skavenslave_revolt_2_b_second	If they wish to fight for freedom so much, they can go to Skavenblight and do it themselves! Begone!	Send them to Skavenblight	morale.png	force
wh2_main_dilemma_loyalty_skv_the_skavenblight_question_2_b_second	No. Let them rot.	Deny the funds	morale.png	force
wh2_main_dilemma_treasure_hunt_flooded_armoury_3_b	One of your retainers assures you that he has the perfect magical item for this job. The Mage enters the vault alone and soon after there is a huge explosion, burying him and the magical item deep beneath the ground.	Flooded Armoury	item_ability.png	force
wh2_main_dilemma_treasure_hunt_scavengers_3_b	Your gut feeling was correct! You join up with the scavengers to search the ruins. However, after a few hours they disappear, along with some of your belongings!	Scavengers	item_ability.png	force
wh2_main_edict_def_demand_hostages	 	Demand Highborn Hostages	edict_def_demand_highborn_hostages.png	province
wh2_main_edict_def_enforce_tribute	 	Enforce Tribute Payments	edict_def_enforce_tribute_payments.png	province
wh2_main_edict_def_festivals_of_hedonism	 	Festivals of Hedonism	edict_def_sacrifices_for_khaine.png	province
wh2_main_edict_def_increase_production	 	Increase Slave Production	edict_def_increase_slave_production_quota.png	province
wh2_main_edict_def_read_portents	 	Read Dark Portents	edict_def_read_dark_portents.png	province
wh2_main_edict_def_sacrifices_for_khaine	 	Sacrifices for Khaine	edict_def_sacrifices_for_khaine.png	province
wh2_main_edict_hef_banish_corruption	 	Banish Corruption	edict_hef_banish_corruption.png	province
wh2_main_edict_hef_rally_citizen_militia	 	Rally Citizen Militia	edict_hef_rally_citizen_militia.png	province
wh2_main_edict_hef_reaver_patrols	 	Reaver Patrols	edict_hef_reaver_patrol.png	province
wh2_main_edict_hef_rebuild_lost_splendour	 	Rebuild Lost Splendour	edict_hef_rebuild_lost_splendour.png	province
wh2_main_edict_hef_tribute_for_the_king	 	Tribute for the Phoenix King	edict_hef_tribute_to_the_phoenix_king.png	province
wh2_main_edict_lzd_alignment_of_crafting_1	 	Alignment of Crafting	edict_lzd_alignment_of_building.png	province
wh2_main_edict_lzd_alignment_of_crafting_2	 	Alignment of Crafting	edict_lzd_alignment_of_building.png	province
wh2_main_edict_lzd_alignment_of_crafting_3	 	Alignment of Crafting	edict_lzd_alignment_of_building.png	province
wh2_main_edict_lzd_alignment_of_crafting_4	 	Alignment of Crafting	edict_lzd_alignment_of_building.png	province
wh2_main_edict_lzd_alignment_of_crafting_5	 	Alignment of Crafting	edict_lzd_alignment_of_building.png	province
wh2_main_edict_lzd_alignment_of_monuments_1	 	Alignment of Monuments	edict_lzd_alignment_of_artisanry.png	province
wh2_main_edict_lzd_alignment_of_monuments_2	 	Alignment of Monuments	edict_lzd_alignment_of_artisanry.png	province
wh2_main_edict_lzd_alignment_of_monuments_3	 	Alignment of Monuments	edict_lzd_alignment_of_artisanry.png	province
wh2_main_edict_lzd_alignment_of_monuments_4	 	Alignment of Monuments	edict_lzd_alignment_of_artisanry.png	province
wh2_main_edict_lzd_alignment_of_monuments_5	 	Alignment of Monuments	edict_lzd_alignment_of_artisanry.png	province
wh2_main_edict_lzd_alignment_of_order_1	 	Alignment of Order	edict_lzd_alignment_of_order.png	province
wh2_main_edict_lzd_alignment_of_order_2	 	Alignment of Order	edict_lzd_alignment_of_order.png	province
wh2_main_edict_lzd_alignment_of_order_3	 	Alignment of Order	edict_lzd_alignment_of_order.png	province
wh2_main_edict_lzd_alignment_of_order_4	 	Alignment of Order	edict_lzd_alignment_of_order.png	province
wh2_main_edict_lzd_alignment_of_order_5	 	Alignment of Order	edict_lzd_alignment_of_order.png	province
wh2_main_edict_lzd_alignment_of_war_1	 	Alignment of War	edict_lzd_alignment_of_war.png	province
wh2_main_edict_lzd_alignment_of_war_2	 	Alignment of War	edict_lzd_alignment_of_war.png	province
wh2_main_edict_lzd_alignment_of_war_3	 	Alignment of War	edict_lzd_alignment_of_war.png	province
wh2_main_edict_lzd_alignment_of_war_4	 	Alignment of War	edict_lzd_alignment_of_war.png	province
wh2_main_edict_lzd_alignment_of_war_5	 	Alignment of War	edict_lzd_alignment_of_war.png	province
wh2_main_edict_skv_devious_planning	 	Exploitative Planning	edict_skv_devious_scheming.png	province
wh2_main_edict_skv_efficient_planning	 	Efficient Planning	edict_skv_efficient_scheming.png	province
wh2_main_edict_skv_expansionist_planning	 	Expansionist Planning	edict_skv_expansionist_scheming.png	province
wh2_main_edict_skv_martial_planning	 	Martial Planning	edict_skv_martial_scheming.png	province
wh2_main_effect_army_movement_down	Recent events have caused a decrease in this force's movement.	Decreased Movement	campaign_movement.png	force
wh2_main_effect_army_movement_up	Recent events have caused a increase in this force's movement.	Increased Movement	campaign_movement.png	force
wh2_main_effect_character_mod_loyalty_dummy	Loyalty: %+n	Loyalty	loyalty.png	character
wh2_main_effect_character_mod_loyalty_over_time_events_1_negative	Circumstances have a chance to affect the loyalty of Lords.	Loyalty	loyalty.png	character
wh2_main_effect_character_mod_loyalty_over_time_events_1_positive	Circumstances have a chance to affect the loyalty of Lords.	Loyalty	loyalty.png	character
wh2_main_effect_character_mod_loyalty_over_time_events_2_negative	Circumstances have a chance to affect the loyalty of Lords.	Loyalty	loyalty.png	character
wh2_main_effect_character_mod_loyalty_over_time_events_2_positive	Circumstances have a chance to affect the loyalty of Lords.	Loyalty	loyalty.png	character
wh2_main_effect_character_mod_loyalty_over_time_events_3_negative	Circumstances have a chance to affect the loyalty of Lords.	Loyalty	loyalty.png	character
wh2_main_effect_character_mod_loyalty_over_time_events_3_positive	Circumstances have a chance to affect the loyalty of Lords.	Loyalty	loyalty.png	character
wh2_main_effect_force_unit_stat_morale_melee_attack_versus_high_elves	A sharp-tongued troubadour is touring your lands, reminding his audiences of how Bel Shanaar succeeded Aenarion to become the second Phoenix Lord, denying the Witch King his birthright. Your subjects' hatred is whetted anew, their fury toward the Asur reawakened in earnest. Factionwide, your warriors now have improved leadership and melee attack when fighting against the High Elves.	A Tale of Betrayal	morale.png	faction
wh2_main_effect_force_unit_stat_morale_versus_skaven	One may fear the unknown, but as the true shape of a thing is ascertained - as its strengths and weaknesses are appraised - fear gives way to an understanding of its limitations. Through a recent educational program, your troops are coming to understand their enemies better and thus fear them less. As a result, leadership when fighting Skaven and Dark Elves has now increased factionwide.	Know Thy Enemy	morale.png	faction
wh2_main_effect_religion_untainted_public_order_skaventrait	Freshly-conquered territory is often unspoiled, with plentiful resources. After the Skaven get their paws on it, however, it will invariably devolve into a starved, overcrowded pit of filth.	Feast While You Can	religion_skaven.png	faction
wh2_main_encounter_at_sea_campaign_1	Your exploits on the high seas have heralded benign weather, allowing for greater movement in these regions.	Favourable Winds	campaign_movement.png	force
wh2_main_encounter_at_sea_campaign_1_dummy	Your exploits on the high seas have heralded benign weather, allowing for greater movement in these regions.	Favourable Winds	campaign_movement.png	faction
wh2_main_encounter_at_sea_campaign_2	Your exploration of the high seas has borne fruit: a bounty of maps to uncharted realms, revealing more of the world.	Trunk of Maps	campaign_movement.png	force
wh2_main_encounter_at_sea_campaign_2_dummy	Your exploration of the high seas has borne fruit: a bounty of maps to uncharted realms, revealing more of the world.	Trunk of Maps	campaign_movement.png	faction
wh2_main_encounter_at_sea_campaign_3	During your adventures on the high seas you procured a bounty of rations to stave off attrition and ill-health.	Wax-Sealed Rations	campaign_movement.png	force
wh2_main_encounter_at_sea_campaign_3_dummy	During your adventures on the high seas you procured a bounty of rations to stave off attrition and ill-health.	Wax-Sealed Rations	campaign_movement.png	faction
wh2_main_encounter_at_sea_campaign_4	During your dalliances on the high seas you came across stranded crew, willing to join you in exchange for food and rescue.	Press-Ganged	replenishment.png	force
wh2_main_encounter_at_sea_campaign_4_dummy	During your dalliances on the high seas you came across stranded crew, willing to join you in exchange for food and rescue.	Press-Ganged	replenishment.png	faction
wh2_main_encounter_at_sea_campaign_treasure_1	Your escapades on the high seas led to the seizure of cargo that will be of high commercial value when taken to port.	Lost Cargo	growth.png	faction
wh2_main_encounter_at_sea_campaign_treasure_2	During your antics on the high seas you acquired a bounty of lumber that will enable the rapid construction of buildings when returned to port.	Materials at Sea	treasury.png	faction
wh2_main_encounter_at_sea_combat_1	Your exploits on the high seas has led to the salvage of arcane imbued blades, enhancing your army’s combat skills.	Ensorcelled Blades 	army.png	force
wh2_main_encounter_at_sea_combat_1_dummy	Your exploits on the high seas has led to the salvage of arcane imbued blades, enhancing your army’s combat skills.	Ensorcelled Blades 	army.png	faction
wh2_main_encounter_at_sea_combat_2	During your adventure on the high seas you salvaged heavy armour and an arsenal of weapons.	Heavy Iron	army.png	force
wh2_main_encounter_at_sea_combat_2_dummy	During your adventure on the high seas you salvaged heavy armour and an arsenal of weapons.	Heavy Iron	army.png	faction
wh2_main_encounter_at_sea_combat_3	Your escapades on the high seas have lumbered your army with a curse… losing their sanity in a blood-induced frenzy!	The Bloody Red Spot	army.png	force
wh2_main_encounter_at_sea_combat_3_dummy	Your escapades on the high seas have lumbered your army with a curse… losing their sanity in a blood-induced frenzy!	The Bloody Red Spot	army.png	faction
wh2_main_encounter_at_sea_combat_4	Your exploration of the high seas has led to blessings from the Lord of the Deeps – your troops will be protected from harm while they have the Elven God’s favour. 	Mathlann’s Blessing	army.png	force
wh2_main_encounter_at_sea_combat_4_dummy	Your exploration of the high seas has led to blessings from the Lord of the Deeps – your troops will be protected from harm while they have the Elven God’s favour. 	Mathlann’s Blessing	army.png	faction
wh2_main_encounter_at_sea_combat_5	Your encounter on the high seas is not one the crew or troops will readily talk about, yet they have gained regenerative abilities since the event…	Curse of Cannibalism	army.png	force
wh2_main_encounter_at_sea_combat_5_dummy	Your encounter on the high seas is not one the crew or troops will readily talk about, yet they have gained regenerative abilities since the event…	Curse of Cannibalism	army.png	faction
wh2_main_encounter_treasure_at_sea_campaign_1	Your escapades on the high seas led to the seizure of cargo that will be of high commercial value when taken to port.	Lost Cargo	growth.png	faction
wh2_main_encounter_treasure_at_sea_campaign_2	During your antics on the high seas you acquired a bounty of lumber that will enable the rapid construction of buildings when returned to port.	Materials at Sea	treasury.png	faction
wh2_main_faction_trait_dark_elves	 	 	food.png	faction
wh2_main_faction_trait_high_elves	 	 	food.png	faction
wh2_main_faction_trait_lizardmen	 	 	food.png	faction
wh2_main_faction_trait_rogue	 	 	food.png	faction
wh2_main_faction_trait_skaven	 	 	food.png	faction
wh2_main_hef_intrigue_court_of_the_sea_third	A loud word, spoken in court, should be enough to silence their rudeness. At least for now.	Publicly chide them	disaster.png	faction
wh2_main_hef_intrigue_favour_of_the_phoenix_first	Caledor are powerful and mystical; they must be placated.	Favour Caledor	magic.png	faction
wh2_main_hef_intrigue_favour_of_the_phoenix_fourth	Sycophancy is enraging. The Phoenix King shall have no part in it!	Show no favour	intrigue.png	faction
wh2_main_hef_intrigue_favour_of_the_phoenix_second	Ellyrion are fine cavalrymen and loyal; do not do them a disservice.	Favour Ellyrion	charge.png	faction
wh2_main_hef_intrigue_favour_of_the_phoenix_third	Cothique is the first line of coastal defence; do not let them wallow in insignificance.	Favour Cothique	defence.png	faction
wh2_main_hef_intrigue_in_fighting_second	The Yvresse struggle is never forgotten, and their garrison aided at any cost.	Quietly confide in Yvresse	treasury.png	faction
