cursors_tables
6
key	image	frames	framerate	unknown4	unknown5	loop	unknown7	unknown8	unknown9	unknown10
disembark_ship	ui/cursors/disembark0000	1	25	1	24	False	48	48		
disembark_ship_down	ui/cursors/disembark	7	25	1	24	False	48	48		
drag_move	ui/cursors/drag_move.png	1	25	24	24	False	48	48		
drag_rotate	ui/cursors/drag_rotate.png	1	25	24	24	False	48	48		
drag_units	ui/cursors/drag_units	1	25	0	0	False	48	48		
exchange	ui/cursors/exchange.png	1	25	24	24	False	48	48		
exchange_down	ui/cursors/exchange_down.png	1	25	24	24	False	48	48		
exchange_multimove	ui/cursors/exchange.png	1	25	24	24	False	48	48		
exchange_multimove_down	ui/cursors/exchange_down.png	1	25	24	24	False	48	48		
exchange_port	ui/cursors/exchange_port0000	1	25	8	8	False	64	64		
exchange_port_down	ui/cursors/exchange_port	9	25	8	8	False	64	64		
grab	ui/cursors/pickup_vehicle.png	1	25	20	28	False	48	48		
grabbed	ui/cursors/pickup_vehicle_down.png	1	25	20	28	False	48	48		
group_script_attack	ui/cursors/AI_attack0000	1	25	5	5	False	48	48		
group_script_attack_down	ui/cursors/AI_attack	14	25	5	5	False	48	48		
group_script_defend	ui/cursors/AI_defend0000	1	25	8	8	False	48	48		
group_script_defend_down	ui/cursors/AI_defend	9	25	8	8	False	48	48		
help	ui/cursors/help	1	25	0	0	False	48	48		
hyperlink	ui/cursors/depress0000.png	1	25	10	12	False	48	48	hyperlink	
hyperlink_down	ui/cursors/depress0001.png	1	25	10	12	False	48	48	hyperlink	
inspire	ui/cursors/action0000.png	1	25	10	12	False	48	48		
inspire_OOR	ui/cursors/action0000.png	1	25	10	12	False	48	48		
inspire_OOR_down	ui/cursors/action_depressed.png	1	25	10	12	False	48	48		
inspire_click	ui/cursors/action_depressed	1	25	10	12	False	48	48		
interact_deployable	ui/cursors/activate_deployable0000	1	25	1	1	False	48	48		
interact_deployable_down	ui/cursors/activate_deployable	9	25	1	1	False	48	48		
invalid	ui/cursors/no_action.png	1	25	10	12	False	48	48	overlay_cross	
marry	ui/cursors/marry0000	1	25	0	0	False	48	48		
melee	ui/cursors/melee_multimove.png	1	25	10	7	False	48	48		
melee_down	ui/cursors/melee_multimove_down.png	1	25	10	7	False	48	48		
melee_multimove	ui/cursors/melee_multimove.png	1	25	10	7	False	48	48		
melee_multimove_down	ui/cursors/melee_multimove_down.png	1	25	10	7	False	48	48		
melee_siege	ui/cursors/melee_multimove.png	1	25	10	7	False	48	48	overlay_siege	
melee_siege_down	ui/cursors/melee_multimove_down.png	1	25	10	7	False	48	48	overlay_siege	
move_click	ui/cursors/move_down.png	1	25	10	12	False	48	48		
move_to	ui/cursors/move.png	1	25	10	12	False	48	48		
move_to_multimove	ui/cursors/move.png	1	25	10	12	False	48	48		
move_to_multimove_down	ui/cursors/move_down.png	1	25	10	12	False	48	48		
move_waypoints	ui/cursors/move.png	1	25	10	12	False	48	48	overlay_move_waypoints	
move_waypoints_down	ui/cursors/move_down.png	1	25	10	12	False	48	48	overlay_move_waypoints	
moveto_attrition	ui/cursors/move.png	1	25	10	12	False	48	48	overlay_attrition	
moveto_attrition_down	ui/cursors/move_down.png	1	25	10	12	False	48	48	overlay_attrition	
normal	ui/cursors/depress0000.png	1	25	10	12	False	48	48		
occupy_zone	ui/cursors/occupy_zone.png	1	25	13	12	False	48	48		
occupy_zone_down	ui/cursors/occupy_zone_down.png	1	25	13	12	False	48	48		
pickup_vehicle	ui/cursors/pickup_vehicle.png	1	25	20	28	False	64	64		
pickup_vehicle_down	ui/cursors/pickup_vehicle_down.png	1	25	20	28	False	64	64		
ping_attack	ui/cursors/place_marker0000	1	25	0	0	False	48	48		
ping_attack_down	ui/cursors/place_marker	9	25	0	0	False	48	48		
ping_defend	ui/cursors/occupy_zone.png	1	25	13	12	False	48	48		
ping_defend_down	ui/cursors/occupy_zone_down.png	1	25	13	12	False	48	48		
ping_move	ui/cursors/occupy_zone.png	1	25	13	12	False	48	48		
ping_move_down	ui/cursors/occupy_zone_down.png	1	25	13	12	False	48	48		
ping_reinforce	ui/cursors/occupy_zone.png	1	25	13	12	False	48	48		
ping_reinforce_down	ui/cursors/occupy_zone_down.png	1	25	13	12	False	48	48		
ping_standard	ui/cursors/depress0000.png	1	25	10	12	False	48	48	overlay_ping	
ping_standard_down	ui/cursors/depress0001.png	1	25	10	12	False	48	48	overlay_ping	
place_WC_marker	ui/cursors/depress0000.png	1	25	10	12	False	48	48	overlay_capture_point	
place_WC_marker_down	ui/cursors/depress0001.png	1	25	10	12	False	48	48	overlay_capture_point	
place_WC_marker_invalid	ui/cursors/depress0000.png	1	25	10	12	False	48	48	overlay_cannot_capture	
place_WC_marker_invalid_down	ui/cursors/depress0001.png	1	25	10	12	False	48	48	overlay_cannot_capture	
place_deployable	ui/cursors/place_deployable0000	1	25	22	31	False	48	48		
place_deployable_down	ui/cursors/place_deployable0000	1	25	22	31	False	48	48		
pointer_attrition	ui/cursors/depress0000.png	1	25	10	12	False	48	48	overlay_attrition	
rally_position	ui/cursors/occupy_zone.png	1	25	13	12	False	48	48		
rally_position_down	ui/cursors/occupy_zone_down.png	1	25	13	12	False	48	48		
ram_retreat	ui/cursors/ram_retreat0000	1	25	0	24	False	48	48		
ram_retreat_down	ui/cursors/ram_retreat	8	25	0	24	False	48	48		
ram_ship	ui/cursors/ram_board0000	1	25	0	24	False	48	48		
ram_ship_down	ui/cursors/ram_board	8	25	0	24	False	48	48		
research	ui/cursors/depress0000.png	1	25	10	12	False	48	48		
research_click	ui/cursors/depress0001.png	1	25	10	12	False	48	48		
scale_wall	ui/cursors/disembark0000	1	25	9	9	False	48	48		
scale_wall_click	ui/cursors/disembark	7	25	9	9	False	48	48		
scaled_melee	ui/cursors/scaled_melee0000	1	25	0	0	False	48	48		
select	ui/cursors/depress0000.png	1	25	10	12	False	48	48		
select_click	ui/cursors/depress0001.png	1	25	10	12	False	48	48		
select_mini	ui/cursors/depress0000.png	1	25	10	12	False	48	48		
select_mini_click	ui/cursors/depress0001.png	1	25	10	12	False	48	48		
siege_tower_dock	ui/cursors/move.png	1	25	10	12	False	48	48	overlay_siege_tower	
siege_tower_dock_down	ui/cursors/move_down.png	1	25	10	12	False	48	48	overlay_siege_tower	
spellcast	ui/cursors/spellcast.png	1	25	3	3	False	48	48		
spellcast_down	ui/cursors/spellcast_down.png	1	25	3	3	False	48	48		
spellcast_invalid	ui/cursors/spellcast_invalid.png	1	25	3	3	False	48	48		
spellcast_oor	ui/cursors/spellcast_oor.png	1	25	3	3	False	48	48		
spellcast_oor_down	ui/cursors/spellcast_oor_down.png	1	25	3	3	False	48	48		
spellcast_overcharged	ui/cursors/spellcast_overcharged.png	1	25	3	3	False	48	48		
spellcast_overcharged_down	ui/cursors/spellcast_overcharged_down.png	1	25	3	3	False	48	48		
spellcast_overcharged_oor	ui/cursors/spellcast_overcharged_oor.png	1	25	3	3	False	48	48		
spellcast_overcharged_oor_down	ui/cursors/spellcast_overcharged_oor_down.png	1	25	3	3	False	48	48		
swap	ui/cursors/depress0000.png	1	25	10	12	False	48	48	overlay_capture_point	
swap_down	ui/cursors/depress0001.png	1	25	10	12	False	48	48	overlay_capture_point	
take_cover_behind_wall	ui/cursors/take_cover0000	1	25	0	0	False	48	48		
take_cover_behind_wall_click	ui/cursors/take_cover	8	25	0	0	False	48	48		
telestration_brush	ui/cursors/paintbrush.png	1	25	4	5	False	48	48		
terrain_desert	ui/cursors/move.png	1	25	10	12	False	48	48		
terrain_desert_attrition	ui/cursors/depress0000.png	1	25	10	12	False	48	48	overlay_attrition	
terrain_desert_attrition_down	ui/cursors/depress0001.png	1	25	10	12	False	48	48	overlay_attrition	
terrain_desert_attrition_noselect	ui/cursors/depress0000.png	1	25	10	12	False	48	48	overlay_attrition	
terrain_desert_down	ui/cursors/move_down.png	1	25	10	12	False	48	48		
terrain_desert_noselect	ui/cursors/depress0000.png	1	25	10	12	False	48	48		
terrain_forest	ui/cursors/move.png	1	25	10	12	False	48	48		
terrain_forest_down	ui/cursors/move_down.png	1	25	10	12	False	48	48		
terrain_forest_noselect	ui/cursors/depress0000.png	1	25	10	12	False	48	48		
terrain_heavy	ui/cursors/move.png	1	25	10	12	False	48	48	overlay_terrain_heavy	
terrain_heavy_down	ui/cursors/move_down.png	1	25	10	12	False	48	48	overlay_terrain_heavy	
terrain_heavy_noselect	ui/cursors/depress0000.png	1	25	10	12	False	48	48	overlay_terrain_heavy	
terrain_marsh	ui/cursors/move.png	1	25	10	12	False	48	48		
terrain_marsh_down	ui/cursors/move_down.png	1	25	10	12	False	48	48		
terrain_marsh_noselect	ui/cursors/depress0000.png	1	25	10	12	False	48	48		
terrain_mountain	ui/cursors/move.png	1	25	10	12	False	48	48		
terrain_mountain_noselect	ui/cursors/depress0000.png	1	25	10	12	False	48	48		
terrain_ocean	ui/cursors/move.png	1	25	10	12	False	48	48		
terrain_ocean_attrition	ui/cursors/depress0000.png	1	25	10	12	False	48	48	overlay_attrition	
terrain_ocean_attrition_down	ui/cursors/depress0001.png	1	25	10	12	False	48	48	overlay_attrition	
terrain_ocean_attrition_noselect	ui/cursors/depress0000.png	1	25	10	12	False	48	48	overlay_attrition	
terrain_ocean_down	ui/cursors/move_down.png	1	25	10	12	False	48	48		
terrain_ocean_noselect	ui/cursors/depress0000.png	1	25	10	12	False	48	48		
terrain_plains	ui/cursors/move.png	1	25	10	12	False	48	48		
terrain_plains_down	ui/cursors/move_down.png	1	25	10	12	False	48	48		
terrain_plains_noselect	ui/cursors/depress0000.png	1	25	10	12	False	48	48		
terrain_road	ui/cursors/move.png	1	25	10	12	False	48	48		
terrain_road_down	ui/cursors/move_down.png	1	25	10	12	False	48	48		
terrain_road_noselect	ui/cursors/depress0000.png	1	25	10	12	False	48	48		
terrain_rough	ui/cursors/move.png	1	25	10	12	False	48	48	overlay_terrain_rough	
terrain_rough_down	ui/cursors/move_down.png	1	25	10	12	False	48	48	overlay_terrain_rough	
terrain_rough_noselect	ui/cursors/depress0000.png	1	25	10	12	False	48	48	overlay_terrain_rough	
terrain_roughground	ui/cursors/move.png	1	25	10	12	False	48	48		
terrain_roughground_down	ui/cursors/move_down.png	1	25	10	12	False	48	48		
terrain_roughground_noselect	ui/cursors/depress0000.png	1	25	10	12	False	48	48		
terrain_scrub	ui/cursors/move.png	1	25	10	12	False	48	48		
terrain_scrub_down	ui/cursors/move_down.png	1	25	10	12	False	48	48		
terrain_scrub_noselect	ui/cursors/depress0000.png	1	25	10	12	False	48	48		
terrain_softground	ui/cursors/move.png	1	25	10	12	False	48	48		
terrain_softground_down	ui/cursors/move_down.png	1	25	10	12	False	48	48		
terrain_softground_noselect	ui/cursors/depress0000.png	1	25	10	12	False	48	48		
terrain_water	ui/cursors/move.png	1	25	10	12	False	48	48		
terrain_water_down	ui/cursors/move_down.png	1	25	10	12	False	48	48		
terrain_water_noselect	ui/cursors/depress0000.png	1	25	10	12	False	48	48		
trade_route	ui/cursors/move.png	1	25	10	12	False	48	48		
trade_route_down	ui/cursors/move_down.png	1	25	10	12	False	48	48		
trade_route_noselect	ui/cursors/depress0000.png	1	25	10	12	False	48	48		
treasure_hunt	ui/cursors/move.png	1	25	10	12	False	48	48	overlay_treasure_item	
treasure_hunt_down	ui/cursors/move_down.png	1	25	10	12	False	48	48	overlay_treasure_item	
vortex_drag	ui/cursors/spellcast_vortex.png	1	25	3	3	False	48	48		
vortex_drag_down	ui/cursors/spellcast_vortex_down.png	1	25	3	3	False	48	48		
