factions_tables
34
key	index	-	subculture	category	screen_name	screen_adjective	name_group	skin	ui_skin	is_rebel	mp_available	mp_available_naval	flags_path	republican_flag_path	same_gov_type_revolution_flag_path	primary_colour_r	primary_colour_g	primary_colour_b	alt_primary_colour_r	alt_primary_colour_g	alt_primary_colour_b	secondary_colour_r	secondary_colour_g	secondary_colour_b	alt_secondary_colour_r	alt_secondary_colour_g	alt_secondary_colour_b	uniform_colour_r	uniform_colour_g	uniform_colour_b	alt_uniform_colour_r	alt_uniform_colour_g	alt_uniform_colour_b	military_group	rebel_colour_r	rebel_colour_g	rebel_colour_b	movie_death_event	mp_use_republic_early	mp_use_republic_late	unit_regiment_name_group	ship_name_group	attack_desc	defend_desc	pre_battle_speech_parameter	card_colour_r	card_colour_g	card_colour_b	senator_total	audio_voiceover_culture	mp_force_gen_template	faction_swapping_id	win_movie	has_politics	waaagh_faction	waaagh_general_unit	is_quest_faction	cdir_military_generator_config	default_audio_actor_vo_group	feature_forest
wh2_main_bst_skrinderkin	2041771442	0	wh_dlc03_sc_bst_beastmen	playable	Skrinderkin Warherd	Beastmen	131	wh_dlc03_bst_beastmen	wh_dlc03_bst_beastmen	False	False	False	ui\flags\wh_dlc03_bst_beastmen_skrinderkin		ui\flags\wh_dlc03_bst_beastmen_skrinderkin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wh_dlc03_group_beastmen	0	0	0	0	False	False	131	131	You are attacking the Skrinderkin Warherd!	You are defending against the Skrinderkin Warherd!	FACTION_CHOSOKABE	0	0	0	0	wh_dlc03_vo_culture_Beastmen	default	bst		False	wh2_main_bst_skrinderkin_brayherd		False	WH_Beastmen	wh_dlc03_vo_actor_Beastlord	LOCKED_HORDE
wh2_main_bst_skrinderkin_brayherd	2041771487	0	wh_dlc03_sc_bst_beastmen	playable	Skrinderkin Brayherd	Beastmen	131	wh_dlc03_bst_beastmen_brayherd	wh_dlc03_bst_beastmen	False	False	False	ui\flags\wh_dlc03_bst_beastmen_skrinderkin		ui\flags\wh_dlc03_bst_beastmen_skrinderkin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wh_dlc03_group_beastmen	0	0	0	0	False	False	131	131	You are attacking the Skrinderkin Brayherd!	You are defending against the Skrinderkin Brayherd!	FACTION_CHOSOKABE	0	0	0	0	wh_dlc03_vo_culture_Beastmen	default	bst		False		wh_dlc03_bst_inf_bestigor_herd_0	False	WH_Beastmen	wh_dlc03_vo_actor_Beastlord	LOCKED_COMPANION
wh2_main_bst_stone_horn	2041771419	0	wh_dlc03_sc_bst_beastmen	playable	Stone-Horn Tribe	Beastmen	131	wh_dlc03_bst_beastmen	wh_dlc03_bst_beastmen	False	False	False	ui\flags\wh2_main_bst_stone_horn		ui\flags\wh2_main_bst_stone_horn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wh_dlc03_group_beastmen	0	0	0	0	False	False	131	131	You are attacking the Stone-Horn Tribe!	You are defending against the Stone-Horn Tribe!	FACTION_CHOSOKABE	0	0	0	0	wh_dlc03_vo_culture_Beastmen	default	bst		False	wh2_main_bst_stone_horn_brayherd		False	WH_Beastmen	wh_dlc03_vo_actor_Beastlord	LOCKED_HORDE
wh2_main_bst_stone_horn_brayherd	2041771460	0	wh_dlc03_sc_bst_beastmen	playable	Stone-Horn Tribe Brayherd	Beastmen	131	wh_dlc03_bst_beastmen_brayherd	wh_dlc03_bst_beastmen	False	False	False	ui\flags\wh2_main_bst_stone_horn		ui\flags\wh2_main_bst_stone_horn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wh_dlc03_group_beastmen	0	0	0	0	False	False	131	131	You are attacking the Stone-Horn Tribe Brayherd!	You are defending against the Stone-Horn Tribe Brayherd!	FACTION_CHOSOKABE	0	0	0	0	wh_dlc03_vo_culture_Beastmen	default	bst		False		wh_dlc03_bst_inf_bestigor_herd_0	False	WH_Beastmen	wh_dlc03_vo_actor_Beastlord	LOCKED_COMPANION
wh2_main_chs_chaos_incursion_def	2041771601	0	wh_main_sc_chs_chaos	playable	Servants to Chaos	Chaos	98	wh_main_chs_chaos	wh_main_chs_chaos	False	False	False	ui\flags\wh2_main_chs_servants_to_chaos		ui\flags\wh2_main_chs_servants_to_chaos	41	40	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wh_main_group_chaos	0	0	0	0	False	False	98	98	You are attacking the Servants to Chaos!	You are defending against the Servants to Chaos!	FACTION_ASHIKAGA	0	0	0	500	wh_main_vo_culture_Chaos	default	emp		False			False	WH_Chaos	wh_main_vo_actor_Chaos_Lord	LOCKED_STANDARD
wh2_main_chs_chaos_incursion_hef	2041771577	0	wh_main_sc_chs_chaos	playable	Puppets of Chaos	Chaos	98	wh_main_chs_chaos	wh_main_chs_chaos	False	False	False	ui\flags\wh2_main_chs_puppets_of_chaos		ui\flags\wh2_main_chs_puppets_of_chaos	41	40	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wh_main_group_chaos	0	0	0	0	False	False	98	98	You are attacking the Puppets of Chaos!	You are defending against the Puppets of Chaos!	FACTION_ASHIKAGA	0	0	0	500	wh_main_vo_culture_Chaos	default	emp		False			False	WH_Chaos	wh_main_vo_actor_Chaos_Lord	LOCKED_STANDARD
wh2_main_chs_chaos_incursion_lzd	2041771613	0	wh_main_sc_chs_chaos	playable	Vessels of Chaos	Chaos	98	wh_main_chs_chaos	wh_main_chs_chaos	False	False	False	ui\flags\wh2_main_chs_vessels_of_chaos		ui\flags\wh2_main_chs_vessels_of_chaos	41	40	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wh_main_group_chaos	0	0	0	0	False	False	98	98	You are attacking the Vessels of Chaos!	You are defending against the Vessels of Chaos!	FACTION_ASHIKAGA	0	0	0	500	wh_main_vo_culture_Chaos	default	emp		False			False	WH_Chaos	wh_main_vo_actor_Chaos_Lord	LOCKED_STANDARD
wh2_main_chs_chaos_incursion_skv	2041771619	0	wh_main_sc_chs_chaos	playable	Followers of Chaos	Chaos	98	wh_main_chs_chaos	wh_main_chs_chaos	False	False	False	ui\flags\wh2_main_chs_followers_of_chaos		ui\flags\wh2_main_chs_followers_of_chaos	41	40	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wh_main_group_chaos	0	0	0	0	False	False	98	98	You are attacking the Followers of Chaos!	You are defending against the Followers of Chaos!	FACTION_ASHIKAGA	0	0	0	500	wh_main_vo_culture_Chaos	default	emp		False			False	WH_Chaos	wh_main_vo_actor_Chaos_Lord	LOCKED_STANDARD
wh2_main_def_bleak_holds	2041770930	0	wh2_main_sc_def_dark_elves	playable	Bleak Holds	Bleak Holds	153	wh2_main_def_dark_elves	wh2_main_def_dark_elves	False	False	False	ui\flags\wh2_main_def_bleak_holds		ui\flags\wh2_main_def_bleak_holds	149	174	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wh2_main_def	0	0	0	0	False	False	153	153	You are attacking the Bleak Holds!	You are defending against the Bleak Holds!	FACTION_ASHIKAGA	0	0	0	500	wh2_main_vo_culture_Dark_Elves	default	def		False			False	WH_Dark_Elves	wh2_main_vo_actor_Dark_Elves_Dreadlord	RITUAL_MIXED_NAVAL_HORDE
wh2_main_def_blood_hall_coven	2041771246	0	wh2_main_sc_def_dark_elves	playable	Blood Hall Coven	Blood Hall Coven	153	wh2_main_def_dark_elves	wh2_main_def_dark_elves	False	False	False	ui\flags\wh2_main_def_blood_hall_coven		ui\flags\wh2_main_def_blood_hall_coven	68	53	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wh2_main_def	0	0	0	0	False	False	153	153	You are attacking the Blood Hall Coven!	You are defending against the Blood Hall Coven!	FACTION_ASHIKAGA	0	0	0	500	wh2_main_vo_culture_Dark_Elves	default	def		False			False	WH_Dark_Elves	wh2_main_vo_actor_Dark_Elves_Dreadlord	RITUAL_MIXED_NAVAL_HORDE
wh2_main_def_clar_karond	2041770914	0	wh2_main_sc_def_dark_elves	playable	Clar Karond	Clar Karond	153	wh2_main_def_dark_elves	wh2_main_def_dark_elves	False	False	False	ui\flags\wh2_main_def_clar_karond		ui\flags\wh2_main_def_clar_karond	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wh2_main_def	0	0	0	0	False	False	153	153	You are attacking Clar Karond!	You are defending against Clar Karond!	FACTION_ASHIKAGA	0	0	0	500	wh2_main_vo_culture_Dark_Elves	default	def		False			False	WH_Dark_Elves	wh2_main_vo_actor_Dark_Elves_Dreadlord	RITUAL_MIXED_NAVAL_HORDE
wh2_main_def_cult_of_excess	2041771492	0	wh2_main_sc_def_dark_elves	playable	Cult of Excess	Cult of Excess	153	wh2_main_def_dark_elves	wh2_main_def_dark_elves	False	False	False	ui\flags\wh2_main_def_cult_of_excess		ui\flags\wh2_main_def_cult_of_excess	201	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wh2_main_def	0	0	0	0	False	False	153	153	You are attacking the Cult of Excess!	You are defending against the Cult of Excess!	FACTION_ASHIKAGA	0	0	0	500	wh2_main_vo_culture_Dark_Elves	default	hef		False			False	WH_Dark_Elves	wh2_main_vo_actor_Dark_Elves_Dreadlord	RITUAL_MIXED_NAVAL_HORDE
wh2_main_def_cult_of_pleasure	2041770891	0	wh2_main_sc_def_dark_elves	playable	Cult of Pleasure	Cult of Pleasure	153	wh2_main_def_dark_elves	wh2_main_def_dark_elves	False	False	False	ui\flags\wh2_main_def_cult_of_pleasure		ui\flags\wh2_main_def_cult_of_pleasure	171	70	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wh2_main_def	0	0	0	0	False	False	153	153	You are attacking the Cult of Pleasure!	You are defending against the Cult of Pleasure!	FACTION_ASHIKAGA	0	0	0	500	wh2_main_vo_culture_Dark_Elves	default	def		False			False	WH_Dark_Elves	wh2_main_vo_actor_Dark_Elves_Dreadlord	RITUAL_MIXED_NAVAL_HORDE
wh2_main_def_cult_of_pleasure_separatists	509843569	0	wh2_main_sc_def_dark_elves	playable	Cult of Pleasure Separatists	Cult of Pleasure	153	wh2_main_def_dark_elves	wh2_main_def_dark_elves	False	False	False	ui\flags\wh2_main_def_cult_of_pleasure_separatists		ui\flags\wh2_main_def_cult_of_pleasure_separatists	126	126	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wh2_main_def	0	0	0	0	False	False	153	153	You are attacking Cult of Pleasure Separatists!	You are defending against Cult of Pleasure Separatists!	FACTION_ASHIKAGA	0	0	0	500	wh2_main_vo_culture_Dark_Elves	default	def		False			False	WH_Dark_Elves	wh2_main_vo_actor_Dark_Elves_Dreadlord	RITUAL_MIXED_NAVAL_HORDE
wh2_main_def_dark_elves	2041770566	0	wh2_main_sc_def_dark_elves	playable	Dark Elves	Dark Elves	153	wh2_main_def_dark_elves	wh2_main_def_dark_elves	False	True	False	ui\flags\wh2_main_def_naggarond		ui\flags\wh2_main_def_naggarond	146	62	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wh2_main_def	0	0	0	0	False	False	153	153	You are attacking Dark Elves!	You are defending against Dark Elves!	FACTION_ODA	0	0	0	500	wh2_main_vo_culture_Dark_Elves	wh_mp_force_gen_dark_elves	def		False			False	WH_Dark_Elves	wh2_main_vo_actor_Dark_Elves_Dreadlord	RITUAL_MIXED_NAVAL_HORDE
wh2_main_def_dark_elves_intervention	1387122929	0	wh2_main_sc_def_dark_elves	playable	Dark Elf Intervention	Dark Elf	153	wh2_main_def_dark_elves	wh2_main_def_dark_elves	False	False	False	ui\flags\wh2_main_def_naggarond_intervention		ui\flags\wh2_main_def_naggarond_intervention	146	62	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wh2_main_def	0	0	0	0	False	False	153	153	You are attacking the Dark Elf Intervention!	You are defending against the Dark Elf Intervention!	FACTION_ASHIKAGA	0	0	0	500	wh2_main_vo_culture_Dark_Elves	default	def		False			False	WH_Dark_Elves	wh2_main_vo_actor_Dark_Elves_Dreadlord	LOCKED_STANDARD
wh2_main_def_dark_elves_qb1	2041771586	0	wh2_main_sc_def_dark_elves	playable	Dark Elves	Dark Elf	153	wh2_main_def_dark_elves	wh2_main_def_dark_elves	False	False	False	ui\flags\wh2_main_def_dark_elves_rebels		ui\flags\wh2_main_def_dark_elves_rebels	218	204	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wh2_main_def	0	0	0	0	False	False	153	153	You are attacking Dark Elves!	You are defending against Dark Elves!	FACTION_ODA	0	0	0	500	wh2_main_vo_culture_Dark_Elves	default	def		False			True	WH_Dark_Elves	wh2_main_vo_actor_Dark_Elves_Dreadlord	LOCKED_STANDARD
wh2_main_def_dark_elves_qb2	102578172	0	wh2_main_sc_def_dark_elves	playable	Dark Elves	Dark Elf	153	wh2_main_def_dark_elves	wh2_main_def_dark_elves	False	False	False	ui\flags\wh2_main_def_dark_elves_rebels		ui\flags\wh2_main_def_dark_elves_rebels	218	204	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wh2_main_def	0	0	0	0	False	False	153	153	You are attacking Dark Elves!	You are defending against Dark Elves!	FACTION_ODA	0	0	0	500	wh2_main_vo_culture_Dark_Elves	default	def		False			True	WH_Dark_Elves	wh2_main_vo_actor_Dark_Elves_Dreadlord	LOCKED_STANDARD
wh2_main_def_dark_elves_qb3	730132813	0	wh2_main_sc_def_dark_elves	playable	Dark Elves	Dark Elf	153	wh2_main_def_dark_elves	wh2_main_def_dark_elves	False	False	False	ui\flags\wh2_main_def_dark_elves_rebels		ui\flags\wh2_main_def_dark_elves_rebels	218	204	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wh2_main_def	0	0	0	0	False	False	153	153	You are attacking Dark Elves!	You are defending against Dark Elves!	FACTION_ODA	0	0	0	500	wh2_main_vo_culture_Dark_Elves	default	def		False			True	WH_Dark_Elves	wh2_main_vo_actor_Dark_Elves_Dreadlord	LOCKED_STANDARD
wh2_main_def_dark_elves_qb4	820114426	0	wh2_main_sc_def_dark_elves	playable	Dark Elves	Dark Elf	153	wh2_main_def_dark_elves	wh2_main_def_dark_elves	False	False	False	ui\flags\wh2_main_def_dark_elves_rebels		ui\flags\wh2_main_def_dark_elves_rebels	218	204	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wh2_main_def	0	0	0	0	False	False	153	153	You are attacking Dark Elves!	You are defending against Dark Elves!	FACTION_ODA	0	0	0	500	wh2_main_vo_culture_Dark_Elves	default	def		False			True	WH_Dark_Elves	wh2_main_vo_actor_Dark_Elves_Dreadlord	LOCKED_STANDARD
wh2_main_def_dark_elves_rebels	2041771211	0	wh2_main_sc_def_dark_elves	playable	Dark Elf Rebels	Dark Elf	153	wh2_main_def_dark_elves	wh2_main_def_dark_elves	True	False	False	ui\flags\wh2_main_def_dark_elves_rebels		ui\flags\wh2_main_def_dark_elves_rebels	218	204	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wh2_main_def	0	0	0	0	False	False	153	153	You are attacking Dark Elf rebels!	You are defending against Dark Elf rebels!	FACTION_ASHIKAGA	0	0	0	500	wh2_main_vo_culture_Dark_Elves	default	def		False			False	WH_Dark_Elves	wh2_main_vo_actor_Dark_Elves_Dreadlord	RITUAL_MIXED_NAVAL_HORDE
wh2_main_def_deadwood_sentinels	2041771550	0	wh2_main_sc_def_dark_elves	playable	Deadwood Sentinels	Deadwood Sentinel	153	wh2_main_def_dark_elves	wh2_main_def_dark_elves	False	False	False	ui\flags\wh2_main_def_deadwood_sentinels		ui\flags\wh2_main_def_deadwood_sentinels	199	213	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wh2_main_def	0	0	0	0	False	False	153	153	You are attacking the Deadwood Sentinels!	You are defending against the Deadwood Sentinels!	FACTION_ASHIKAGA	0	0	0	500	wh2_main_vo_culture_Dark_Elves	default	def		False			False	WH_Dark_Elves	wh2_main_vo_actor_Dark_Elves_Dreadlord	RITUAL_MIXED_NAVAL_HORDE
wh2_main_def_drackla_coven	2041771230	0	wh2_main_sc_def_dark_elves	playable	Drackla Coven	Drackla Coven	153	wh2_main_def_dark_elves	wh2_main_def_dark_elves	False	False	False	ui\flags\wh2_main_def_drackla_coven		ui\flags\wh2_main_def_drackla_coven	67	117	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wh2_main_def	0	0	0	0	False	False	153	153	You are attacking the Drackla Coven!	You are defending against the Drackla Coven!	FACTION_ASHIKAGA	0	0	0	500	wh2_main_vo_culture_Dark_Elves	default	def		False			False	WH_Dark_Elves	wh2_main_vo_actor_Dark_Elves_Dreadlord	RITUAL_MIXED_NAVAL_HORDE
