cai_construction_system_building_values_tables
0
unknown	unknown2	building_or_building_range_start_inclusive	building_range_end_inclusive	building_super_chain	cai_construction_system_category	cai_construction_system_category_group	unknown8	culture	unknown10	unknown11	unknown12	unknown13	unknown14	unknown15	unknown16	unknown17	unknown18	unknown19	unknown20	unknown21	unknown22	unknown23	unknown24	unknown25	unknown26	score_end_inclusive	score_or_score_start_inclusive	unknown29
		wh2_main_def_resource_gold_1	wh2_main_def_resource_gold_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	240	
		wh2_main_def_resource_iron_1	wh2_main_def_resource_iron_3			cai_military_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	180	
		wh2_main_def_resource_marble_1	wh2_main_def_resource_marble_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_def_resource_medicine_1	wh2_main_def_resource_medicine_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_def_resource_obsidian_1	wh2_main_def_resource_obsidian_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_def_resource_pasture_1	wh2_main_def_resource_pasture_3			cai_military_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	180	
		wh2_main_def_resource_pottery_1	wh2_main_def_resource_pottery_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_def_resource_salt_1	wh2_main_def_resource_salt_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_def_resource_spices_1	wh2_main_def_resource_spices_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_def_resource_wine_1	wh2_main_def_resource_wine_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_def_resource_wood_1	wh2_main_def_resource_wood_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_def_riders_1	wh2_main_def_riders_2			cai_military_group				-1	-1	0	0	0	0	0	0	0	0	130	130	130	130	0	0	120	90	
		wh2_main_def_roads_1	wh2_main_def_roads_1			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	60	20	
		wh2_main_def_settlement_major_1_coast	wh2_main_def_settlement_major_5_coast			cai_military_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	120	
		wh2_main_def_settlement_major_1_coast	wh2_main_def_settlement_major_5_coast			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	120	
		wh2_main_def_settlement_major_1	wh2_main_def_settlement_major_5			cai_military_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	120	
		wh2_main_def_settlement_major_1	wh2_main_def_settlement_major_5			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	120	
		wh2_main_def_settlement_minor_1_coast	wh2_main_def_settlement_minor_3_coast			cai_military_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	120	
		wh2_main_def_settlement_minor_1_coast	wh2_main_def_settlement_minor_3_coast			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	120	
		wh2_main_def_settlement_minor_1	wh2_main_def_settlement_minor_3			cai_military_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	120	
		wh2_main_def_settlement_minor_1	wh2_main_def_settlement_minor_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	120	
		wh2_main_def_slaves_1	wh2_main_def_slaves_2			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	180	
		wh2_main_def_sorcery_1	wh2_main_def_sorcery_2			cai_military_group				0	0	60	60	60	60	0	0	0	0	460	460	460	460	0	0	450	450	
		wh2_main_def_worship_1	wh2_main_def_worship_3			cai_military_group				0	0	60	60	60	60	0	0	-1	-1	0	0	0	0	0	0	360	240	
		wh2_main_dwf_resource_animals_1	wh2_main_dwf_resource_animals_4			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_dwf_resource_medicine_1	wh2_main_dwf_resource_medicine_4			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_dwf_resource_obsidian_1	wh2_main_dwf_resource_obsidian_4			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_dwf_resource_pottery_1	wh2_main_dwf_resource_pottery_4			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_dwf_resource_spices_1	wh2_main_dwf_resource_spices_4			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_dwf_resource_wine_1	wh2_main_dwf_resource_wine_4			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_emp_academy_1	wh2_main_emp_academy_1			cai_military_group				0	0	140	140	140	140	0	0	0	0	200	160	150	120	50	40	300	300	
		wh2_main_emp_resource_animals_1	wh2_main_emp_resource_animals_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_emp_resource_gemstones_1	wh2_main_emp_resource_gemstones_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	240	
		wh2_main_emp_resource_medicine_1	wh2_main_emp_resource_medicine_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_emp_resource_obsidian_1	wh2_main_emp_resource_obsidian_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_emp_resource_spices_1	wh2_main_emp_resource_spices_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_emp_roads_1	wh2_main_emp_roads_2			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	60	20	
		wh2_main_grn_raiders_1	wh2_main_grn_raiders_1			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	40	40	
		wh2_main_hef_barracks_1	wh2_main_hef_barracks_3			cai_military_group				-1	-1	0	0	0	0	0	0	0	0	190	190	190	190	0	0	180	90	
		wh2_main_hef_birds_1	wh2_main_hef_birds_2			cai_military_group				0	0	200	200	200	200	0	0	0	0	200	160	150	120	50	40	400	400	
		wh2_main_hef_court_1	wh2_main_hef_court_2			cai_support_group				0	0	60	20	60	20	60	20	-1	-1	0	0	0	0	0	0	120	60	
		wh2_main_hef_defence_major_1	wh2_main_hef_defence_major_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	0	0	50	0	50	0	0	200	100	
		wh2_main_hef_defence_minor_1	wh2_main_hef_defence_minor_2			cai_support_group				-1	-1	0	0	0	0	0	0	-1	0	0	50	0	50	0	0	180	100	
		wh2_main_hef_dragons_1	wh2_main_hef_dragons_2			cai_military_group				0	0	60	60	60	60	0	0	0	0	250	250	250	250	0	0	240	180	
		wh2_main_hef_embassy_1	wh2_main_hef_embassy_1			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	90	90	
		wh2_main_hef_farm_1	wh2_main_hef_farm_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	180	60	
		wh2_main_hef_hunters_1	wh2_main_hef_hunters_1			cai_military_group				-1	-1	0	0	0	0	0	0	0	0	190	190	190	190	0	0	180	180	
		wh2_main_hef_industry_1	wh2_main_hef_industry_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	210	90	
		wh2_main_hef_mages_1	wh2_main_hef_mages_3			cai_military_group				0	0	60	60	60	60	0	0	0	0	410	410	410	410	0	0	400	400	
		wh2_main_hef_order_1	wh2_main_hef_order_5			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	60	
		wh2_main_hef_outpostnorsca_major_1_coast	wh2_main_hef_outpostnorsca_major_5_coast			cai_military_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	25	
		wh2_main_hef_outpostnorsca_major_1_coast	wh2_main_hef_outpostnorsca_major_5_coast			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	25	
		wh2_main_hef_outpostnorsca_major_1	wh2_main_hef_outpostnorsca_major_5			cai_military_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	25	
		wh2_main_hef_outpostnorsca_major_1	wh2_main_hef_outpostnorsca_major_5			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	25	
		wh2_main_hef_outpostnorsca_minor_1_coast	wh2_main_hef_outpostnorsca_minor_3_coast			cai_military_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	25	
		wh2_main_hef_outpostnorsca_minor_1_coast	wh2_main_hef_outpostnorsca_minor_3_coast			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	25	
		wh2_main_hef_outpostnorsca_minor_1	wh2_main_hef_outpostnorsca_minor_3			cai_military_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	25	
		wh2_main_hef_outpostnorsca_minor_1	wh2_main_hef_outpostnorsca_minor_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	25	
		wh2_main_hef_port_1	wh2_main_hef_port_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	60	
		wh2_main_hef_resource_animals_1	wh2_main_hef_resource_animals_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_hef_resource_dyes_1	wh2_main_hef_resource_dyes_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_hef_resource_furs_1	wh2_main_hef_resource_furs_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_hef_resource_gems_1	wh2_main_hef_resource_gems_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	240	
		wh2_main_hef_resource_gold_1	wh2_main_hef_resource_gold_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	240	
		wh2_main_hef_resource_iron_1	wh2_main_hef_resource_iron_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_hef_resource_marble_1	wh2_main_hef_resource_marble_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_hef_resource_medicine_1	wh2_main_hef_resource_medicine_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_hef_resource_obsidian_1	wh2_main_hef_resource_obsidian_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_hef_resource_pasture_1	wh2_main_hef_resource_pasture_3			cai_military_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	180	
		wh2_main_hef_resource_pottery_1	wh2_main_hef_resource_pottery_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_hef_resource_salt_1	wh2_main_hef_resource_salt_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_hef_resource_spices_1	wh2_main_hef_resource_spices_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_hef_resource_wine_1	wh2_main_hef_resource_wine_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_hef_resource_wood_1	wh2_main_hef_resource_wood_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_hef_settlement_major_1_coast	wh2_main_hef_settlement_major_5_coast			cai_military_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	120	
		wh2_main_hef_settlement_major_1_coast	wh2_main_hef_settlement_major_5_coast			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	120	
		wh2_main_hef_settlement_major_1	wh2_main_hef_settlement_major_5			cai_military_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	120	
		wh2_main_hef_settlement_major_1	wh2_main_hef_settlement_major_5			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	120	
		wh2_main_hef_settlement_minor_1_coast	wh2_main_hef_settlement_minor_3_coast			cai_military_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	120	
		wh2_main_hef_settlement_minor_1_coast	wh2_main_hef_settlement_minor_3_coast			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	120	
		wh2_main_hef_settlement_minor_1	wh2_main_hef_settlement_minor_3			cai_military_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	120	
		wh2_main_hef_settlement_minor_1	wh2_main_hef_settlement_minor_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	120	
		wh2_main_hef_smith_1	wh2_main_hef_smith_2			cai_military_group				-1	-1	0	0	0	0	0	0	0	0	250	250	250	250	0	0	240	120	
		wh2_main_hef_stables_1	wh2_main_hef_stables_2			cai_military_group				-1	-1	0	0	0	0	0	0	0	0	190	190	190	190	0	0	180	120	
		wh2_main_hef_worship_1	wh2_main_hef_worship_3			cai_military_group				0	0	60	60	60	60	0	0	0	0	370	370	370	370	0	0	360	240	
		wh2_main_horde_def_beasts_1	wh2_main_horde_def_beasts_3			cai_military_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	250	150	
		wh2_main_horde_def_beasts_1	wh2_main_horde_def_beasts_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	250	150	
		wh2_main_horde_def_bombardment_a_1	wh2_main_horde_def_bombardment_a_2			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	100	50	
		wh2_main_horde_def_bombardment_b_1	wh2_main_horde_def_bombardment_b_2			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	100	50	
		wh2_main_horde_def_bombardment_c_1	wh2_main_horde_def_bombardment_c_2			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	100	50	
		wh2_main_horde_def_entertainment_1	wh2_main_horde_def_entertainment_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	75	25	
		wh2_main_horde_def_military_1	wh2_main_horde_def_military_3			cai_military_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	300	100	
		wh2_main_horde_def_settlement_1	wh2_main_horde_def_settlement_5			cai_military_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	120	
		wh2_main_horde_def_settlement_1	wh2_main_horde_def_settlement_5			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	120	
		wh2_main_horde_def_slavery_1	wh2_main_horde_def_slavery_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	300	100	
		wh2_main_horde_def_sorcery_1	wh2_main_horde_def_sorcery_2			cai_military_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	250	200	
		wh2_main_horde_def_worship_1	wh2_main_horde_def_worship_2			cai_military_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	200	150	
		wh2_main_horde_rogue_settlement_1	wh2_main_horde_rogue_settlement_2			cai_military_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	120	
		wh2_main_horde_skv_assassins_1	wh2_main_horde_skv_assassins_2			cai_military_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	180	120	
		wh2_main_horde_skv_assassins_1	wh2_main_horde_skv_assassins_2			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	180	120	
		wh2_main_horde_skv_leadership_1	wh2_main_horde_skv_leadership_4			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	240	60	
		wh2_main_horde_skv_monsters_1	wh2_main_horde_skv_monsters_2			cai_military_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	300	240	
		wh2_main_horde_skv_monsters_1	wh2_main_horde_skv_monsters_2			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	300	240	
		wh2_main_horde_skv_plagues_1	wh2_main_horde_skv_plagues_3			cai_military_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	300	180	
		wh2_main_horde_skv_plagues_1	wh2_main_horde_skv_plagues_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	300	180	
		wh2_main_horde_skv_settlement_1	wh2_main_horde_skv_settlement_5			cai_military_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	120	
		wh2_main_horde_skv_settlement_1	wh2_main_horde_skv_settlement_5			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	120	
		wh2_main_horde_skv_slaves_1	wh2_main_horde_skv_slaves_2			cai_military_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	60	
		wh2_main_horde_skv_slaves_1	wh2_main_horde_skv_slaves_2			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	60	
		wh2_main_horde_skv_stormvermin_1	wh2_main_horde_skv_stormvermin_1			cai_military_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	240	240	
		wh2_main_horde_skv_stormvermin_1	wh2_main_horde_skv_stormvermin_1			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	240	240	
		wh2_main_horde_skv_supplies_1	wh2_main_horde_skv_supplies_4			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	240	60	
		wh2_main_horde_skv_warmachines_1	wh2_main_horde_skv_warmachines_3			cai_military_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	300	180	
		wh2_main_horde_skv_warmachines_1	wh2_main_horde_skv_warmachines_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	300	180	
		wh2_main_horde_skv_weaponteams_1	wh2_main_horde_skv_weaponteams_2			cai_military_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	300	240	
		wh2_main_horde_skv_weaponteams_1	wh2_main_horde_skv_weaponteams_2			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	300	240	
		wh2_main_lzd_beasts_1	wh2_main_lzd_beasts_3			cai_military_group				-1	-1	0	0	0	0	0	0	0	0	200	220	200	220	0	0	300	120	
		wh2_main_lzd_coldones_1	wh2_main_lzd_coldones_1			cai_military_group				0	0	60	60	60	60	0	0	0	0	250	250	250	250	0	0	240	240	
		wh2_main_lzd_defence_major_1	wh2_main_lzd_defence_major_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	0	0	50	0	50	0	0	200	100	
		wh2_main_lzd_defence_minor_1	wh2_main_lzd_defence_minor_2			cai_support_group				-1	-1	0	0	0	0	0	0	-1	0	0	50	0	50	0	0	180	100	
		wh2_main_lzd_energy_1	wh2_main_lzd_energy_2			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	60	
		wh2_main_lzd_energy_3	wh2_main_lzd_energy_5			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	240	120	
		wh2_main_lzd_farm_1	wh2_main_lzd_farm_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	180	60	
		wh2_main_lzd_industry_1	wh2_main_lzd_industry_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	240	
