technology_nodes_tables
2
campaign_key	faction_key	indent	key	technology_key	technology_node_set	tier	research_points_required	cost_per_round	food_cost	unknown
		3	tech_chs_branch_4_1	tech_chs_branch_4_1	chs_mil	7	2000	0	0	
		4	tech_chs_branch_4_2	tech_chs_branch_4_2	chs_mil	7	2000	0	0	
		5	tech_chs_branch_4_3	tech_chs_branch_4_3	chs_mil	7	2000	0	0	
		6	tech_chs_branch_4_4	tech_chs_branch_4_4	chs_mil	7	2000	0	0	
		7	tech_chs_branch_4_5	tech_chs_branch_4_5	chs_mil	7	2000	0	0	
		3	tech_chs_branch_5_1	tech_chs_branch_5_1	chs_mil	9	2500	0	0	
		4	tech_chs_branch_5_2	tech_chs_branch_5_2	chs_mil	9	2500	0	0	
		5	tech_chs_branch_5_3	tech_chs_branch_5_3	chs_mil	9	2500	0	0	
		6	tech_chs_branch_5_4	tech_chs_branch_5_4	chs_mil	9	2500	0	0	
		7	tech_chs_branch_5_5	tech_chs_branch_5_5	chs_mil	9	2500	0	0	
		1	tech_chs_main_1	tech_chs_main_1	chs_mil	0	100	2500	0	
		1	tech_chs_main_2	tech_chs_main_2	chs_mil	2	100	5000	0	
		1	tech_chs_main_3	tech_chs_main_3	chs_mil	4	100	10000	0	
		1	tech_chs_main_4	tech_chs_main_4	chs_mil	6	100	20000	0	
		1	tech_chs_main_5	tech_chs_main_5	chs_mil	8	100	40000	0	
		4	tech_def_0_0_0	tech_def_0_0_0	def_mil	0	0	0	0	
		1	tech_def_0_1_0	tech_def_0_1_0	def_mil	1	400	0	0	
		0	tech_def_0_1_1	tech_def_0_1_1	def_mil	2	600	0	0	
		1	tech_def_0_1_2	tech_def_0_1_2	def_mil	2	600	0	0	
		2	tech_def_0_1_3	tech_def_0_1_3	def_mil	2	600	0	0	
		4	tech_def_0_2_0	tech_def_0_2_0	def_mil	1	400	0	0	
		3	tech_def_0_2_1	tech_def_0_2_1	def_mil	2	600	0	0	
		4	tech_def_0_2_2	tech_def_0_2_2	def_mil	2	600	0	0	
		5	tech_def_0_2_3	tech_def_0_2_3	def_mil	2	600	0	0	
		7	tech_def_0_3_0	tech_def_0_3_0	def_mil	1	400	0	0	
		6	tech_def_0_3_1	tech_def_0_3_1	def_mil	2	600	0	0	
		7	tech_def_0_3_2	tech_def_0_3_2	def_mil	2	600	0	0	
		8	tech_def_0_3_3	tech_def_0_3_3	def_mil	2	600	0	0	
		4	tech_def_1_0_0	tech_def_1_0_0	def_mil	3	100	2000	0	
		1	tech_def_1_1_0	tech_def_1_1_0	def_mil	4	600	0	0	
		0	tech_def_1_1_1	tech_def_1_1_1	def_mil	5	800	0	0	
		1	tech_def_1_1_2	tech_def_1_1_2	def_mil	5	800	0	0	
		2	tech_def_1_1_3	tech_def_1_1_3	def_mil	5	800	0	0	
		4	tech_def_1_2_0	tech_def_1_2_0	def_mil	4	600	0	0	
		3	tech_def_1_2_1	tech_def_1_2_1	def_mil	5	800	0	0	
		4	tech_def_1_2_2	tech_def_1_2_2	def_mil	5	800	0	0	
		5	tech_def_1_2_3	tech_def_1_2_3	def_mil	5	800	0	0	
		7	tech_def_1_3_0	tech_def_1_3_0	def_mil	4	600	0	0	
		6	tech_def_1_3_1	tech_def_1_3_1	def_mil	5	800	0	0	
		7	tech_def_1_3_2	tech_def_1_3_2	def_mil	5	800	0	0	
		8	tech_def_1_3_3	tech_def_1_3_3	def_mil	5	800	0	0	
	wh2_main_def_cult_of_pleasure	8	tech_def_1_3_3_slaanesh	tech_def_1_3_3_slaanesh	def_mil	5	600	0	0	
		4	tech_def_2_0_0	tech_def_2_0_0	def_mil	6	100	5000	0	
		1	tech_def_2_1_0	tech_def_2_1_0	def_mil	7	800	0	0	
		0	tech_def_2_1_1	tech_def_2_1_1	def_mil	8	1000	0	0	
		1	tech_def_2_1_2	tech_def_2_1_2	def_mil	8	1000	0	0	
		2	tech_def_2_1_3	tech_def_2_1_3	def_mil	8	1000	0	0	
		4	tech_def_2_2_0	tech_def_2_2_0	def_mil	7	800	0	0	
		3	tech_def_2_2_1	tech_def_2_2_1	def_mil	8	1000	0	0	
		4	tech_def_2_2_2	tech_def_2_2_2	def_mil	8	1000	0	0	
		5	tech_def_2_2_3	tech_def_2_2_3	def_mil	8	1000	0	0	
		7	tech_def_2_3_0	tech_def_2_3_0	def_mil	7	800	0	0	
		6	tech_def_2_3_1	tech_def_2_3_1	def_mil	8	1000	0	0	
		7	tech_def_2_3_2	tech_def_2_3_2	def_mil	8	1000	0	0	
		8	tech_def_2_3_3	tech_def_2_3_3	def_mil	8	1000	0	0	
		4	tech_def_3_0_0	tech_def_3_0_0	def_mil	9	100	12500	0	
		1	tech_def_3_1_0	tech_def_3_1_0	def_mil	10	1000	0	0	
		0	tech_def_3_1_1	tech_def_3_1_1	def_mil	11	1200	0	0	
		1	tech_def_3_1_2	tech_def_3_1_2	def_mil	11	1200	0	0	
		2	tech_def_3_1_3	tech_def_3_1_3	def_mil	11	1200	0	0	
		4	tech_def_3_2_0	tech_def_3_2_0	def_mil	10	1000	0	0	
		3	tech_def_3_2_1	tech_def_3_2_1	def_mil	11	1200	0	0	
		4	tech_def_3_2_2	tech_def_3_2_2	def_mil	11	1200	0	0	
		5	tech_def_3_2_3	tech_def_3_2_3	def_mil	11	1200	0	0	
		7	tech_def_3_3_0	tech_def_3_3_0	def_mil	10	1000	0	0	
		6	tech_def_3_3_1	tech_def_3_3_1	def_mil	11	1200	0	0	
		7	tech_def_3_3_2	tech_def_3_3_2	def_mil	11	1200	0	0	
	wh2_main_def_cult_of_pleasure	7	tech_def_3_3_2_slaanesh	tech_def_3_3_2_slaanesh	def_mil	11	1200	0	0	
		8	tech_def_3_3_3	tech_def_3_3_3	def_mil	11	1200	0	0	
		2	tech_dlc03_bst_actions_1	tech_dlc03_bst_vitriolic_temperament	bst_mil	0	700	0	0	
		2	tech_dlc03_bst_actions_2	tech_dlc03_bst_true_horn	bst_mil	1	700	0	0	
		2	tech_dlc03_bst_actions_3	tech_dlc03_bst_the_days_of_wrath	bst_mil	2	700	0	0	
		3	tech_dlc03_bst_actions_4	tech_dlc03_bst_twisted_visions	bst_mil	1	700	0	0	
		3	tech_dlc03_bst_actions_5	tech_dlc03_bst_messenger_of_the_bray	bst_mil	2	700	0	0	
		6	tech_dlc03_bst_income_1	tech_dlc03_bst_blood_grounds	bst_mil	0	700	0	0	
		6	tech_dlc03_bst_income_2	tech_dlc03_bst_the_rewards_of_ruin	bst_mil	1	700	0	0	
		6	tech_dlc03_bst_income_3	tech_dlc03_bst_bountiful_herdstone	bst_mil	2	700	0	0	
		7	tech_dlc03_bst_income_4	tech_dlc03_bst_the_endless_hunt	bst_mil	1	700	0	0	
		7	tech_dlc03_bst_income_5	tech_dlc03_bst_fell_rituals	bst_mil	2	700	0	0	
		6	tech_dlc03_bst_income_6	tech_dlc03_bst_gaze_of_the_dark_gods	bst_mil	3	1	5000	0	
		0	tech_dlc03_bst_leadership_1	tech_dlc03_bst_grisly_trophies	bst_mil	0	700	0	0	
		0	tech_dlc03_bst_leadership_2	tech_dlc03_bst_ancient_paths	bst_mil	1	700	0	0	
		0	tech_dlc03_bst_leadership_3	tech_dlc03_bst_heart_of_the_dark	bst_mil	2	700	0	0	
		1	tech_dlc03_bst_leadership_4	tech_dlc03_bst_hives_of_pestilence	bst_mil	1	700	0	0	
		1	tech_dlc03_bst_leadership_5	tech_dlc03_bst_gore_drunk	bst_mil	2	700	0	0	
		0	tech_dlc03_bst_leadership_6	tech_dlc03_bst_the_path_to_war	bst_mil	3	1	5000	0	
		0	tech_dlc03_bst_research_1	tech_dlc03_bst_the_seed_of_hate	bst_mil	5	1	5000	0	
		2	tech_dlc03_bst_research_2	tech_dlc03_bst_worship_of_the_ruinous_powers	bst_mil	5	1	10000	0	
		4	tech_dlc03_bst_research_3	tech_dlc03_bst_sacrifice_to_morslieh	bst_mil	5	1	15000	0	
		6	tech_dlc03_bst_research_4	tech_dlc03_bst_blessings_of_the_dark_gods	bst_mil	5	1	20000	0	
		8	tech_dlc03_bst_research_5	tech_dlc03_bst_embrace_of_chaos	bst_mil	5	1	25000	0	
		4	tech_dlc03_bst_stats_1	tech_dlc03_bst_drunken_fury	bst_mil	0	700	0	0	
		4	tech_dlc03_bst_stats_2	tech_dlc03_bst_defiled_honour	bst_mil	1	700	0	0	
		4	tech_dlc03_bst_stats_3	tech_dlc03_bst_man_cleavers	bst_mil	2	700	0	0	
		5	tech_dlc03_bst_stats_4	tech_dlc03_bst_the_kalkengard_larder	bst_mil	1	700	0	0	
		5	tech_dlc03_bst_stats_5	tech_dlc03_bst_encircled_prey	bst_mil	2	700	0	0	
		0	tech_dlc07_brt_chivalry_beastmen_1	tech_dlc07_brt_chivalry_beastmen_1	brt_mil	2	500	0	0	
		0	tech_dlc07_brt_chivalry_chaos_1	tech_dlc07_brt_chivalry_chaos_1	brt_mil	1	600	0	0	
		4	tech_dlc07_brt_chivalry_greenskins_1	tech_dlc07_brt_chivalry_greenskins_1	brt_mil	2	300	0	0	
		5	tech_dlc07_brt_chivalry_greenskins_2	tech_dlc07_brt_chivalry_greenskins_2	brt_mil	2	400	0	0	
		4	tech_dlc07_brt_chivalry_norsca_1	tech_dlc07_brt_chivalry_norsca_1	brt_mil	3	300	0	0	
		5	tech_dlc07_brt_chivalry_norsca_2	tech_dlc07_brt_chivalry_norsca_2	brt_mil	3	400	0	0	
		0	tech_dlc07_brt_chivalry_vampires_1	tech_dlc07_brt_chivalry_vampires_1	brt_mil	0	500	0	0	
		0	tech_dlc07_brt_chivalry_wood_elves_1	tech_dlc07_brt_chivalry_wood_elves_1	brt_mil	3	500	0	0	
		4	tech_dlc07_brt_economy_farm_1	tech_dlc07_brt_economy_farm_1	brt_mil	5	500	0	0	
		4	tech_dlc07_brt_economy_farm_2	tech_dlc07_brt_economy_farm_2	brt_mil	6	500	0	0	
		5	tech_dlc07_brt_economy_farm_3	tech_dlc07_brt_economy_farm_3	brt_mil	5	1000	0	0	
		5	tech_dlc07_brt_economy_farm_4	tech_dlc07_brt_economy_farm_4	brt_mil	6	1500	0	0	
		7	tech_dlc07_brt_economy_industry_1	tech_dlc07_brt_economy_industry_1	brt_mil	5	500	0	0	
		7	tech_dlc07_brt_economy_industry_2	tech_dlc07_brt_economy_industry_2	brt_mil	6	500	0	0	
		8	tech_dlc07_brt_economy_industry_3	tech_dlc07_brt_economy_industry_3	brt_mil	5	1000	0	0	
		8	tech_dlc07_brt_economy_industry_4	tech_dlc07_brt_economy_industry_4	brt_mil	6	1000	0	0	
		7	tech_dlc07_brt_economy_industry_start	tech_dlc07_brt_economy_industry_start	brt_mil	4	1	3000	0	
		1	tech_dlc07_brt_economy_other_1	tech_dlc07_brt_economy_other_1	brt_mil	5	600	0	0	
		1	tech_dlc07_brt_economy_other_2	tech_dlc07_brt_economy_other_2	brt_mil	6	600	0	0	
		0	tech_dlc07_brt_economy_other_3	tech_dlc07_brt_economy_other_3	brt_mil	5	1	2000	0	
		0	tech_dlc07_brt_economy_other_4	tech_dlc07_brt_economy_other_4	brt_mil	6	1	2000	0	
		2	tech_dlc07_brt_economy_start	tech_dlc07_brt_economy_start	brt_mil	4	500	0	0	
		2	tech_dlc07_brt_economy_trade_1	tech_dlc07_brt_economy_trade_1	brt_mil	5	1	4000	0	
		2	tech_dlc07_brt_economy_trade_2	tech_dlc07_brt_economy_trade_2	brt_mil	6	1	8000	50	
		4	tech_dlc07_brt_heraldry_artois	tech_dlc07_brt_heraldry_artois	brt_mil	0	600	0	0	
		5	tech_dlc07_brt_heraldry_bastonne	tech_dlc07_brt_heraldry_bastonne	brt_mil	1	600	0	0	
	wh_main_brt_bretonnia	6	tech_dlc07_brt_heraldry_bordeleaux_bret	tech_dlc07_brt_heraldry_bordeleaux	brt_mil	0	600	0	0	
	wh_main_brt_carcassonne	6	tech_dlc07_brt_heraldry_bordeleaux_carc	tech_dlc07_brt_heraldry_bordeleaux	brt_mil	1	600	0	0	
	wh_main_brt_bordeleaux	6	tech_dlc07_brt_heraldry_bretonnia_bord	tech_dlc07_brt_heraldry_bretonnia	brt_mil	0	600	0	0	
	wh_main_brt_carcassonne	6	tech_dlc07_brt_heraldry_bretonnia_carc	tech_dlc07_brt_heraldry_bretonnia	brt_mil	0	600	0	0	
	wh_main_brt_bordeleaux	6	tech_dlc07_brt_heraldry_carcassonne_bord	tech_dlc07_brt_heraldry_carcassonne	brt_mil	1	600	0	0	
	wh_main_brt_bretonnia	6	tech_dlc07_brt_heraldry_carcassonne_bret	tech_dlc07_brt_heraldry_carcassonne	brt_mil	1	600	0	0	
		4	tech_dlc07_brt_heraldry_lyonesse	tech_dlc07_brt_heraldry_lyonesse	brt_mil	1	600	0	0	
		5	tech_dlc07_brt_heraldry_parravon	tech_dlc07_brt_heraldry_parravon	brt_mil	0	600	0	0	
		2	tech_dlc07_brt_heraldry_start	tech_dlc07_brt_heraldry_start	brt_mil	0	500	0	0	
		7	tech_dlc07_brt_heraldry_unification	tech_dlc07_brt_heraldry_unification	brt_mil	1	500	0	0	
		2	tech_dwf_civ_0_2	tech_dwf_civ_0_2	dwf_civ	0	100	0	0	
		0	tech_dwf_civ_1_0	tech_dwf_civ_1_0	dwf_civ	1	300	0	0	
		1	tech_dwf_civ_1_1	tech_dwf_civ_1_1	dwf_civ	1	300	0	0	
		3	tech_dwf_civ_1_3	tech_dwf_civ_1_3	dwf_civ	1	300	0	0	
		4	tech_dwf_civ_1_4	tech_dwf_civ_1_4	dwf_civ	1	300	0	0	
		0	tech_dwf_civ_2_0	tech_dwf_civ_2_0	dwf_civ	2	400	0	0	
		1	tech_dwf_civ_2_1	tech_dwf_civ_2_1	dwf_civ	2	400	0	0	
		2	tech_dwf_civ_2_2	tech_dwf_civ_2_2	dwf_civ	2	400	0	0	
		3	tech_dwf_civ_2_3	tech_dwf_civ_2_3	dwf_civ	2	400	0	0	
		4	tech_dwf_civ_2_4	tech_dwf_civ_2_4	dwf_civ	2	400	0	0	
		0	tech_dwf_civ_3_0	tech_dwf_civ_3_0	dwf_civ	3	500	0	0	
		1	tech_dwf_civ_3_1	tech_dwf_civ_3_1	dwf_civ	3	500	0	0	
		2	tech_dwf_civ_3_2	tech_dwf_civ_3_2	dwf_civ	3	500	0	0	
		3	tech_dwf_civ_3_3	tech_dwf_civ_3_3	dwf_civ	3	500	0	0	
		4	tech_dwf_civ_3_4	tech_dwf_civ_3_4	dwf_civ	3	500	0	0	
		0	tech_dwf_civ_4_0	tech_dwf_civ_4_0	dwf_civ	4	600	0	0	
		1	tech_dwf_civ_4_1	tech_dwf_civ_4_1	dwf_civ	4	600	0	0	
		2	tech_dwf_civ_4_2	tech_dwf_civ_4_2	dwf_civ	4	600	0	0	
		4	tech_dwf_civ_4_4	tech_dwf_civ_4_4	dwf_civ	4	600	0	0	
		0	tech_dwf_civ_5_0	tech_dwf_civ_5_0	dwf_civ	5	800	0	0	
		1	tech_dwf_civ_5_1	tech_dwf_civ_5_1	dwf_civ	5	800	0	0	
		2	tech_dwf_civ_5_2	tech_dwf_civ_5_2	dwf_civ	5	800	0	0	
		3	tech_dwf_civ_5_3	tech_dwf_civ_5_3	dwf_civ	5	800	0	0	
		4	tech_dwf_civ_5_4	tech_dwf_civ_5_4	dwf_civ	5	800	0	0	
		0	tech_dwf_civ_6_0	tech_dwf_civ_6_0	dwf_civ	6	1200	0	0	
		1	tech_dwf_civ_6_1	tech_dwf_civ_6_1	dwf_civ	6	1200	0	0	
		2	tech_dwf_civ_6_2	tech_dwf_civ_6_2	dwf_civ	6	1200	0	0	
		3	tech_dwf_civ_6_3	tech_dwf_civ_6_3	dwf_civ	6	1200	0	0	
		4	tech_dwf_civ_6_4	tech_dwf_civ_6_4	dwf_civ	6	1200	0	0	
		0	tech_dwf_civ_7_0	tech_dwf_civ_7_0	dwf_civ	7	1500	0	0	
		1	tech_dwf_civ_7_1	tech_dwf_civ_7_1	dwf_civ	7	1500	0	0	
		2	tech_dwf_civ_7_2	tech_dwf_civ_7_2	dwf_civ	7	2000	0	0	
		4	tech_dwf_civ_7_4	tech_dwf_civ_7_4	dwf_civ	7	1	10000	0	
		2	tech_dwf_mil_0_2	tech_dwf_mil_0_2	dwf_mil	0	100	0	0	
		0	tech_dwf_mil_1_0	tech_dwf_mil_1_0	dwf_mil	1	300	0	0	
		1	tech_dwf_mil_1_1	tech_dwf_mil_1_1	dwf_mil	1	300	0	0	
		3	tech_dwf_mil_1_3	tech_dwf_mil_1_3	dwf_mil	1	300	0	0	
		4	tech_dwf_mil_1_4	tech_dwf_mil_1_4	dwf_mil	1	300	0	0	
		0	tech_dwf_mil_2_0	tech_dwf_mil_2_0	dwf_mil	2	400	0	0	
		1	tech_dwf_mil_2_1	tech_dwf_mil_2_1	dwf_mil	2	400	0	0	
		2	tech_dwf_mil_2_2	tech_dwf_mil_2_2	dwf_mil	2	400	0	0	
		3	tech_dwf_mil_2_3	tech_dwf_mil_2_3	dwf_mil	2	400	0	0	
		4	tech_dwf_mil_2_4	tech_dwf_mil_2_4	dwf_mil	2	400	0	0	
		1	tech_dwf_mil_3_1	tech_dwf_mil_3_1	dwf_mil	3	500	0	0	
		2	tech_dwf_mil_3_2	tech_dwf_mil_3_2	dwf_mil	3	500	0	0	
		3	tech_dwf_mil_3_3	tech_dwf_mil_3_3	dwf_mil	3	500	0	0	
		4	tech_dwf_mil_3_4	tech_dwf_mil_3_4	dwf_mil	3	500	0	0	
		0	tech_dwf_mil_4_0	tech_dwf_mil_4_0	dwf_mil	4	600	0	0	
		1	tech_dwf_mil_4_1	tech_dwf_mil_4_1	dwf_mil	4	600	0	0	
		2	tech_dwf_mil_4_2	tech_dwf_mil_4_2	dwf_mil	4	600	0	0	
		4	tech_dwf_mil_4_4	tech_dwf_mil_4_4	dwf_mil	4	600	0	0	
		0	tech_dwf_mil_4_5	tech_dwf_mil_4_5	dwf_mil	3	600	0	0	
		0	tech_dwf_mil_5_0	tech_dwf_mil_5_0	dwf_mil	5	700	0	0	
		1	tech_dwf_mil_5_1	tech_dwf_mil_5_1	dwf_mil	5	700	0	0	
		2	tech_dwf_mil_5_2	tech_dwf_mil_5_2	dwf_mil	5	700	0	0	
		3	tech_dwf_mil_5_3	tech_dwf_mil_5_3	dwf_mil	5	700	0	0	
		4	tech_dwf_mil_5_4	tech_dwf_mil_5_4	dwf_mil	5	700	0	0	
		0	tech_dwf_mil_6_0	tech_dwf_mil_6_0	dwf_mil	6	800	0	0	
		1	tech_dwf_mil_6_1	tech_dwf_mil_6_1	dwf_mil	6	800	0	0	
		2	tech_dwf_mil_6_2	tech_dwf_mil_6_2	dwf_mil	6	800	0	0	
		3	tech_dwf_mil_6_3	tech_dwf_mil_6_3	dwf_mil	6	800	0	0	
		4	tech_dwf_mil_6_4	tech_dwf_mil_6_4	dwf_mil	6	800	0	0	
		0	tech_dwf_mil_7_0	tech_dwf_mil_7_0	dwf_mil	7	1000	0	0	
		1	tech_dwf_mil_7_1	tech_dwf_mil_7_1	dwf_mil	7	1000	0	0	
		2	tech_dwf_mil_7_2	tech_dwf_mil_7_2	dwf_mil	7	1000	0	0	
		3	tech_dwf_mil_7_3	tech_dwf_mil_7_3	dwf_mil	7	1000	0	0	
		4	tech_dwf_mil_7_4	tech_dwf_mil_7_4	dwf_mil	7	1000	0	0	
		0	tech_dwf_mil_8_0	tech_dwf_mil_8_0	dwf_mil	8	1200	0	0	
		1	tech_dwf_mil_8_1	tech_dwf_mil_8_1	dwf_mil	8	1200	0	0	
		3	tech_dwf_mil_8_3	tech_dwf_mil_8_3	dwf_mil	8	1200	0	0	
		4	tech_dwf_mil_8_4	tech_dwf_mil_8_4	dwf_mil	8	1200	0	0	
		0	tech_dwf_mil_9_0	tech_dwf_mil_9_0	dwf_mil	9	1200	0	0	
		1	tech_dwf_mil_9_1	tech_dwf_mil_9_1	dwf_mil	9	1500	0	0	
		2	tech_dwf_mil_9_2	tech_dwf_mil_9_2	dwf_mil	9	1500	0	0	
		3	tech_dwf_mil_9_3	tech_dwf_mil_9_3	dwf_mil	9	1500	0	0	
		5	tech_emp_academy_1	tech_emp_academy_1	emp_civ	0	1200	0	0	
		5	tech_emp_academy_2	tech_emp_academy_2	emp_civ	1	1200	0	0	
		5	tech_emp_academy_3	tech_emp_academy_3	emp_civ	2	1200	0	0	
		0	tech_emp_barracks_1	tech_emp_barracks_1	emp_civ	0	800	0	0	
		0	tech_emp_barracks_2	tech_emp_barracks_2	emp_civ	1	800	0	0	
		0	tech_emp_barracks_3	tech_emp_barracks_3	emp_civ	2	800	0	0	
		0	tech_emp_barracks_4	tech_emp_barracks_4	emp_civ	3	1200	0	0	
		0	tech_emp_barracks_5	tech_emp_barracks_5	emp_civ	4	1200	0	0	
		0	tech_emp_barracks_6	tech_emp_barracks_6	emp_civ	5	1200	0	0	
		2	tech_emp_forges_1	tech_emp_forges_1	emp_civ	0	800	0	0	
		2	tech_emp_forges_2	tech_emp_forges_2	emp_civ	1	800	0	0	
		2	tech_emp_forges_3	tech_emp_forges_3	emp_civ	2	800	0	0	
		2	tech_emp_forges_4	tech_emp_forges_4	emp_civ	3	1500	0	0	
		2	tech_emp_forges_5	tech_emp_forges_5	emp_civ	4	1500	0	0	
		2	tech_emp_forges_6	tech_emp_forges_6	emp_civ	5	1500	0	0	
		4	tech_emp_port_1	tech_emp_port_1	emp_civ	0	600	0	0	
		4	tech_emp_port_2	tech_emp_port_2	emp_civ	1	600	0	0	
		4	tech_emp_port_3	tech_emp_port_3	emp_civ	2	600	0	0	
		3	tech_emp_smith_1	tech_emp_smith_1	emp_civ	0	1000	0	0	
		3	tech_emp_smith_2	tech_emp_smith_2	emp_civ	1	1000	0	0	
		3	tech_emp_smith_3	tech_emp_smith_3	emp_civ	2	1000	0	0	
		3	tech_emp_smith_4	tech_emp_smith_4	emp_civ	3	1500	0	0	
		3	tech_emp_smith_5	tech_emp_smith_5	emp_civ	4	1500	0	0	
		3	tech_emp_smith_6	tech_emp_smith_6	emp_civ	5	1500	0	0	
		1	tech_emp_stables_1	tech_emp_stables_1	emp_civ	0	800	0	0	
		1	tech_emp_stables_2	tech_emp_stables_2	emp_civ	1	800	0	0	
		1	tech_emp_stables_3	tech_emp_stables_3	emp_civ	2	800	0	0	
		1	tech_emp_stables_4	tech_emp_stables_4	emp_civ	3	1500	0	0	
		1	tech_emp_stables_5	tech_emp_stables_5	emp_civ	4	1500	0	0	
		1	tech_emp_stables_6	tech_emp_stables_6	emp_civ	5	1500	0	0	
		4	tech_emp_worship_1	tech_emp_worship_1	emp_civ	3	1000	0	0	
		4	tech_emp_worship_2	tech_emp_worship_2	emp_civ	4	1000	0	0	
		4	tech_emp_worship_3	tech_emp_worship_3	emp_civ	5	1000	0	0	
		4	tech_grn_main_1_1	tech_grn_main_1_1	grn_test	0	600	0	0	
		4	tech_grn_main_1_2	tech_grn_main_1_2	grn_test	1	600	0	0	
		4	tech_grn_main_1_3	tech_grn_main_1_3	grn_test	2	600	0	0	
		4	tech_grn_main_1_4	tech_grn_main_1_4	grn_test	3	600	0	0	
		4	tech_grn_main_2_1	tech_grn_main_2_1	grn_test	4	1200	0	0	
		4	tech_grn_main_2_2	tech_grn_main_2_2	grn_test	5	1200	0	0	
		4	tech_grn_main_2_3	tech_grn_main_2_3	grn_test	6	1200	0	0	
		7	tech_grn_main_3_1	tech_grn_main_3_1	grn_test	4	1200	0	0	
		7	tech_grn_main_3_2	tech_grn_main_3_2	grn_test	5	1200	0	0	
		7	tech_grn_main_3_3	tech_grn_main_3_3	grn_test	6	1200	0	0	
		0	tech_grn_main_4_1	tech_grn_main_4_1	grn_test	3	1200	0	0	
		1	tech_grn_main_best_stuff_is_ourz	tech_grn_main_best_stuff_is_ourz	grn_mil	5	100	0	0	
		6	tech_grn_main_big_boss_is_watchin_you	tech_grn_main_big_boss_is_watchin_you	grn_mil	4	100	0	0	
		2	tech_grn_main_da_bigger_da_better	tech_grn_main_da_bigger_da_better	grn_mil	4	100	0	0	
		3	tech_grn_main_da_red_wuns_go_fasta	tech_grn_main_da_red_wuns_go_fasta	grn_mil	4	100	0	0	
