agent_culture_details_tables
8
agent	culture	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7	unknown8	unknown9	unknown10	unknown11	unknown12
wizard	wh2_main_def_dark_elves	wh2_main_def_cha_sorceress_dark_0	647							f		ui/campaign ui/agents/wh_main_wizard.png
colonel	wh2_main_def_dark_elves		657									ui/campaign ui/agents/paladin.png
minister	wh2_main_def_dark_elves		663									ui/campaign ui/agents/paladin.png
colonel	wh2_main_hef_high_elves		676									ui/campaign ui/agents/wh2_main_hef_champion.png
minister	wh2_main_hef_high_elves		677									ui/campaign ui/agents/wh2_main_hef_champion.png
runesmith	wh2_main_hef_high_elves	wh2_main_hef_cha_loremaster_of_hoeth_0	678							m		ui/campaign ui/agents/wh2_main_hef_runesmith.png
general	wh2_main_hef_high_elves	wh2_main_hef_cha_prince_0	694									ui/campaign ui/agents/wh2_main_hef_champion.png
wizard	wh2_main_hef_high_elves	wh2_main_hef_cha_mage_high_0	703							f		ui/campaign ui/agents/wh_main_wizard.png
general	wh2_main_skv_skaven	wh2_main_skv_cha_warlord_0	704									ui/campaign ui/agents/paladin.png
champion	wh_dlc05_wef_wood_elves	wh_dlc05_wef_cha_branchwraith_0	712							m		ui/campaign ui/agents/wh_dlc05_lore_shadow.png
engineer	wh2_main_skv_skaven	wh2_main_skv_cha_warlock_engineer	720							m		ui/campaign ui/agents/wh2_main_lore_ruin.png
wizard	wh2_main_skv_skaven	wh2_main_skv_cha_plague_priest_0	730							m		ui/campaign ui/agents/wh2_main_lore_plague.png
colonel	wh2_main_skv_skaven		737									ui/campaign ui/agents/paladin.png
minister	wh2_main_skv_skaven		738									ui/campaign ui/agents/paladin.png
spy	wh2_main_lzd_lizardmen	wh2_main_lzd_cha_skink_chief_0	744							m		ui/campaign ui/agents/wh2_main_lzd_spy.png
general	wh2_main_lzd_lizardmen	wh2_main_lzd_cha_slann_mage_priest_high_0	752									ui/campaign ui/agents/paladin.png
wizard	wh2_main_lzd_lizardmen	wh2_main_lzd_cha_skink_priest_beasts_0	762							m		ui/campaign ui/agents/wh_main_wizard.png
colonel	wh2_main_lzd_lizardmen		763									ui/campaign ui/agents/paladin.png
minister	wh2_main_lzd_lizardmen		764									ui/campaign ui/agents/paladin.png
champion	wh2_main_lzd_lizardmen	wh2_main_lzd_cha_saurus_scar_veteran_0	772							m		ui/campaign ui/agents/wh2_main_lzd_champion.png
champion	wh2_main_hef_high_elves	wh2_main_hef_cha_noble_0	781							m		ui/campaign ui/agents/wh2_main_hef_champion.png
spy	wh2_main_skv_skaven	wh2_main_skv_cha_assassin	791							m		ui/campaign ui/agents/wh2_main_skv_spy.png
spy	wh2_main_rogue	wh_main_emp_cha_witch_hunter	865400248							m	UI/units/icons/wh_main_emp_witch_hunter.png	ui/campaign ui/agents/wh_main_emp_spy.png
dignitary	wh2_main_rogue	wh_main_emp_cha_warrior_priest_0	995640602							m	UI/units/icons/wh_main_emp_warrior_priest.png	ui/campaign ui/agents/wh_main_emp_dignitary.png
