ancillary_included_subcultures_tables
0
ancillary	subculture
wh2_main_anc_armour_sacred_stegadon_helm_of_itza	wh2_main_sc_lzd_lizardmen
wh2_main_anc_armour_shadow_armour	wh2_main_sc_hef_high_elves
wh2_main_anc_armour_shield_of_distraction	wh2_main_sc_skv_skaven
wh2_main_anc_armour_shield_of_ghrond	wh2_main_sc_def_dark_elves
wh2_main_anc_armour_shield_of_the_merwyrm	wh2_main_sc_hef_high_elves
wh2_main_anc_armour_shield_of_the_mirrored_pool	wh2_main_sc_lzd_lizardmen
wh2_main_anc_armour_supreme_spellshield	wh2_main_sc_def_dark_elves
wh2_main_anc_armour_the_bane_shield	wh2_main_sc_hef_high_elves
wh2_main_anc_armour_the_maiming_shield	wh2_main_sc_lzd_lizardmen
wh2_main_anc_armour_warp_shard_armour	wh2_main_sc_skv_skaven
wh2_main_anc_armour_warpstone_armour	wh2_main_sc_skv_skaven
wh2_main_anc_armour_winged_boots	wh2_main_sc_hef_high_elves
wh2_main_anc_armour_worlds_edge_armour	wh2_main_sc_skv_skaven
wh2_main_anc_enchanted_item_black_dragon_egg	wh2_main_sc_def_dark_elves
wh2_main_anc_enchanted_item_blessed_tome	wh2_main_sc_hef_high_elves
wh2_main_anc_enchanted_item_blood_statuette_of_spite	wh2_main_sc_lzd_lizardmen
wh2_main_anc_enchanted_item_carnosaur_pendant	wh2_main_sc_lzd_lizardmen
wh2_main_anc_enchanted_item_chest_of_sustenance	wh2_main_sc_hef_high_elves
wh2_main_anc_enchanted_item_cloak_of_beards	wh2_main_sc_hef_high_elves
wh2_main_anc_enchanted_item_cloak_of_twilight	wh2_main_sc_def_dark_elves
wh2_main_anc_enchanted_item_curse_charm_of_tepok	wh2_main_sc_lzd_lizardmen
wh2_main_anc_enchanted_item_divine_plaque_of_protection	wh2_main_sc_lzd_lizardmen
wh2_main_anc_enchanted_item_dragonfly_of_quicksilver	wh2_main_sc_lzd_lizardmen
wh2_main_anc_enchanted_item_dragonhorn	wh2_main_sc_hef_high_elves
wh2_main_anc_enchanted_item_enchanted_spyglass	wh2_main_sc_hef_high_elves
wh2_main_anc_enchanted_item_folariaths_robe	wh2_main_sc_hef_high_elves
wh2_main_anc_enchanted_item_gilded_horn_of_galon_konook	wh2_main_sc_hef_high_elves
wh2_main_anc_enchanted_item_hand_of_gods	wh2_main_sc_lzd_lizardmen
wh2_main_anc_enchanted_item_heart_of_avelorn	wh2_main_sc_hef_high_elves
wh2_main_anc_enchanted_item_khaines_ring_of_fury	wh2_main_sc_hef_high_elves
wh2_main_anc_enchanted_item_moranions_wayshard	wh2_main_sc_hef_high_elves
wh2_main_anc_enchanted_item_pipes_of_piebald	wh2_main_sc_skv_skaven
wh2_main_anc_enchanted_item_portents_of_verminous_doom	wh2_main_sc_skv_skaven
wh2_main_anc_enchanted_item_radiant_gem_of_hoeth	wh2_main_sc_hef_high_elves
wh2_main_anc_enchanted_item_ring_of_corin	wh2_main_sc_hef_high_elves
wh2_main_anc_enchanted_item_ring_of_hukon	wh2_main_sc_hef_high_elves
wh2_main_anc_enchanted_item_rubric_of_dark_dimensions	wh2_main_sc_def_dark_elves
wh2_main_anc_enchanted_item_skalm	wh2_main_sc_skv_skaven
wh2_main_anc_enchanted_item_skavenbrew	wh2_main_sc_skv_skaven
wh2_main_anc_enchanted_item_talisman_of_loec	wh2_main_sc_hef_high_elves
wh2_main_anc_enchanted_item_the_book_of_the_phoenix	wh2_main_sc_hef_high_elves
wh2_main_anc_enchanted_item_the_cloak_of_feathers	wh2_main_sc_lzd_lizardmen
wh2_main_anc_enchanted_item_the_guiding_eye	wh2_main_sc_def_dark_elves
wh2_main_anc_enchanted_item_the_horn_of_kygor	wh2_main_sc_lzd_lizardmen
wh2_main_anc_enchanted_item_venom_of_the_firefly_frog	wh2_main_sc_lzd_lizardmen
wh2_main_anc_enchanted_item_war_drum_of_xahutec	wh2_main_sc_lzd_lizardmen
wh2_main_anc_enchanted_item_whip_of_agony	wh2_main_sc_def_dark_elves
wh2_main_anc_follower_def_apprentice_assassin	wh2_main_sc_def_dark_elves
wh2_main_anc_follower_def_beastmaster	wh2_main_sc_def_dark_elves
wh2_main_anc_follower_def_bodyguard	wh2_main_sc_def_dark_elves
wh2_main_anc_follower_def_cultist	wh2_main_sc_def_dark_elves
wh2_main_anc_follower_def_daemon_whisperer	wh2_main_sc_def_dark_elves
wh2_main_anc_follower_def_diplomat_slaanesh	wh2_main_sc_def_dark_elves
wh2_main_anc_follower_def_diplomat	wh2_main_sc_def_dark_elves
wh2_main_anc_follower_def_fanatic	wh2_main_sc_def_dark_elves
wh2_main_anc_follower_def_fimir_balefiend	wh2_main_sc_def_dark_elves
wh2_main_anc_follower_def_gravedigger	wh2_main_sc_def_dark_elves
wh2_main_anc_follower_def_harem_attendant	wh2_main_sc_def_dark_elves
wh2_main_anc_follower_def_harem_keeper	wh2_main_sc_def_dark_elves
wh2_main_anc_follower_def_merchant	wh2_main_sc_def_dark_elves
wh2_main_anc_follower_def_musician_choirmaster	wh2_main_sc_def_dark_elves
wh2_main_anc_follower_def_musician_drum	wh2_main_sc_def_dark_elves
wh2_main_anc_follower_def_musician_flute	wh2_main_sc_def_dark_elves
wh2_main_anc_follower_def_organ_merchant	wh2_main_sc_def_dark_elves
wh2_main_anc_follower_def_overseer	wh2_main_sc_def_dark_elves
wh2_main_anc_follower_def_propagandist	wh2_main_sc_def_dark_elves
wh2_main_anc_follower_def_servant	wh2_main_sc_def_dark_elves
wh2_main_anc_follower_def_slave_trader	wh2_main_sc_def_dark_elves
wh2_main_anc_follower_def_slave	wh2_main_sc_def_dark_elves
wh2_main_anc_follower_hef_admiral	wh2_main_sc_hef_high_elves
wh2_main_anc_follower_hef_assassin	wh2_main_sc_hef_high_elves
wh2_main_anc_follower_hef_bard	wh2_main_sc_hef_high_elves
wh2_main_anc_follower_hef_beard_weaver	wh2_main_sc_hef_high_elves
wh2_main_anc_follower_hef_counsellor	wh2_main_sc_hef_high_elves
wh2_main_anc_follower_hef_counterspy	wh2_main_sc_hef_high_elves
wh2_main_anc_follower_hef_dragon_armourer	wh2_main_sc_hef_high_elves
wh2_main_anc_follower_hef_dragon_tamer	wh2_main_sc_hef_high_elves
wh2_main_anc_follower_hef_food_taster	wh2_main_sc_hef_high_elves
wh2_main_anc_follower_hef_horsemaster	wh2_main_sc_hef_high_elves
wh2_main_anc_follower_hef_librarian	wh2_main_sc_hef_high_elves
wh2_main_anc_follower_hef_minstrel	wh2_main_sc_hef_high_elves
wh2_main_anc_follower_hef_poisoner	wh2_main_sc_hef_high_elves
wh2_main_anc_follower_hef_priest_vaul	wh2_main_sc_hef_high_elves
wh2_main_anc_follower_hef_priestess_isha	wh2_main_sc_hef_high_elves
wh2_main_anc_follower_hef_raven_keeper	wh2_main_sc_hef_high_elves
wh2_main_anc_follower_hef_scout	wh2_main_sc_hef_high_elves
wh2_main_anc_follower_hef_shrine_keeper	wh2_main_sc_hef_high_elves
wh2_main_anc_follower_hef_trappist	wh2_main_sc_hef_high_elves
wh2_main_anc_follower_hef_wine_merchant	wh2_main_sc_hef_high_elves
wh2_main_anc_follower_lzd_acolyte_priest	wh2_main_sc_lzd_lizardmen
wh2_main_anc_follower_lzd_architect	wh2_main_sc_lzd_lizardmen
wh2_main_anc_follower_lzd_archivist	wh2_main_sc_lzd_lizardmen
wh2_main_anc_follower_lzd_army_beast_hunter	wh2_main_sc_lzd_lizardmen
wh2_main_anc_follower_lzd_artefact_hunter	wh2_main_sc_lzd_lizardmen
wh2_main_anc_follower_lzd_astrologer	wh2_main_sc_lzd_lizardmen
wh2_main_anc_follower_lzd_astronomer	wh2_main_sc_lzd_lizardmen
wh2_main_anc_follower_lzd_attendant	wh2_main_sc_lzd_lizardmen
wh2_main_anc_follower_lzd_cleaner	wh2_main_sc_lzd_lizardmen
wh2_main_anc_follower_lzd_clerk	wh2_main_sc_lzd_lizardmen
wh2_main_anc_follower_lzd_defence_expert	wh2_main_sc_lzd_lizardmen
wh2_main_anc_follower_lzd_fan_waver	wh2_main_sc_lzd_lizardmen
wh2_main_anc_follower_lzd_gardener	wh2_main_sc_lzd_lizardmen
wh2_main_anc_follower_lzd_librarian	wh2_main_sc_lzd_lizardmen
wh2_main_anc_follower_lzd_metallurgist	wh2_main_sc_lzd_lizardmen
wh2_main_anc_follower_lzd_sacrificial_victim_human	wh2_main_sc_lzd_lizardmen
wh2_main_anc_follower_lzd_sacrificial_victim_skv	wh2_main_sc_lzd_lizardmen
wh2_main_anc_follower_lzd_temple_cleaner	wh2_main_sc_lzd_lizardmen
wh2_main_anc_follower_lzd_veteran_warrior	wh2_main_sc_lzd_lizardmen
wh2_main_anc_follower_lzd_zoat	wh2_main_sc_lzd_lizardmen
wh2_main_anc_follower_sea_cucumber	wh2_main_sc_skv_skaven
wh2_main_anc_follower_skv_artefact_hunter	wh2_main_sc_skv_skaven
wh2_main_anc_follower_skv_bell_polisher	wh2_main_sc_skv_skaven
wh2_main_anc_follower_skv_bodyguard	wh2_main_sc_skv_skaven
wh2_main_anc_follower_skv_chemist	wh2_main_sc_skv_skaven
wh2_main_anc_follower_skv_clerk	wh2_main_sc_skv_skaven
wh2_main_anc_follower_skv_engineering_student	wh2_main_sc_skv_skaven
wh2_main_anc_follower_skv_female	wh2_main_sc_skv_skaven
wh2_main_anc_follower_skv_hell_pit_attendant	wh2_main_sc_skv_skaven
wh2_main_anc_follower_skv_mechanic	wh2_main_sc_skv_skaven
wh2_main_anc_follower_skv_messenger	wh2_main_sc_skv_skaven
wh2_main_anc_follower_skv_pet_wolf_rat	wh2_main_sc_skv_skaven
wh2_main_anc_follower_skv_saboteur	wh2_main_sc_skv_skaven
wh2_main_anc_follower_skv_sacrificial_victim_dwarf	wh2_main_sc_skv_skaven
wh2_main_anc_follower_skv_sacrificial_victim_lizardman	wh2_main_sc_skv_skaven
wh2_main_anc_follower_skv_scavenger_1	wh2_main_sc_skv_skaven
wh2_main_anc_follower_skv_scribe	wh2_main_sc_skv_skaven
wh2_main_anc_follower_skv_sculptor	wh2_main_sc_skv_skaven
wh2_main_anc_follower_skv_slave_human	wh2_main_sc_skv_skaven
wh2_main_anc_follower_skv_slave_skv	wh2_main_sc_skv_skaven
wh2_main_anc_follower_skv_trainee_assassin	wh2_main_sc_skv_skaven
wh2_main_anc_magic_standard_banner_of_ellyrion	wh2_main_sc_hef_high_elves
wh2_main_anc_magic_standard_banner_of_murder	wh2_main_sc_def_dark_elves
wh2_main_anc_magic_standard_banner_of_the_under_empire	wh2_main_sc_skv_skaven
wh2_main_anc_magic_standard_banner_of_the_world_dragon	wh2_main_sc_hef_high_elves
wh2_main_anc_magic_standard_banner_of_verminous_scurrying	wh2_main_sc_skv_skaven
wh2_main_anc_magic_standard_battle_banner	wh2_main_sc_hef_high_elves
wh2_main_anc_magic_standard_dread_banner	wh2_main_sc_def_dark_elves
wh2_main_anc_magic_standard_dwarf_hide_banner	wh2_main_sc_skv_skaven
wh2_main_anc_magic_standard_grand_banner_of_clan_superiority	wh2_main_sc_skv_skaven
wh2_main_anc_magic_standard_horn_of_isha	wh2_main_sc_hef_high_elves
wh2_main_anc_magic_standard_huanchis_blessed_totem	wh2_main_sc_lzd_lizardmen
wh2_main_anc_magic_standard_hydra_banner	wh2_main_sc_def_dark_elves
wh2_main_anc_magic_standard_lion_standard	wh2_main_sc_hef_high_elves
wh2_main_anc_magic_standard_sacred_banner_of_the_horned_rat	wh2_main_sc_skv_skaven
wh2_main_anc_magic_standard_sea_serpent_standard	wh2_main_sc_def_dark_elves
wh2_main_anc_magic_standard_shroud_of_dripping_death	wh2_main_sc_skv_skaven
wh2_main_anc_magic_standard_skavenpelt_banner	wh2_main_sc_lzd_lizardmen
wh2_main_anc_magic_standard_standard_of_hag_graef	wh2_main_sc_def_dark_elves
wh2_main_anc_magic_standard_storm_banner	wh2_main_sc_skv_skaven
wh2_main_anc_magic_standard_sun_standard_of_chotec	wh2_main_sc_lzd_lizardmen
wh2_main_anc_magic_standard_sunburst_standard_of_hexoatl	wh2_main_sc_lzd_lizardmen
wh2_main_anc_magic_standard_the_blood_banner	wh2_main_sc_def_dark_elves
wh2_main_anc_magic_standard_the_jaguar_standard	wh2_main_sc_lzd_lizardmen
wh2_main_anc_magic_standard_totem_of_prophecy	wh2_main_sc_lzd_lizardmen
wh2_main_anc_mount_def_death_hag_cauldron_of_blood	wh2_main_sc_def_dark_elves
wh2_main_anc_mount_def_dreadlord_black_dragon	wh2_main_sc_def_dark_elves
wh2_main_anc_mount_def_dreadlord_cold_one	wh2_main_sc_def_dark_elves
wh2_main_anc_mount_def_dreadlord_dark_pegasus	wh2_main_sc_def_dark_elves
wh2_main_anc_mount_def_dreadlord_dark_steed	wh2_main_sc_def_dark_elves
wh2_main_anc_mount_def_dreadlord_fem_black_dragon	wh2_main_sc_def_dark_elves
wh2_main_anc_mount_def_dreadlord_fem_cold_one	wh2_main_sc_def_dark_elves
wh2_main_anc_mount_def_dreadlord_fem_dark_pegasus	wh2_main_sc_def_dark_elves
wh2_main_anc_mount_def_dreadlord_fem_dark_steed	wh2_main_sc_def_dark_elves
wh2_main_anc_mount_def_malekith_cold_one_chariot	wh2_main_sc_def_dark_elves
wh2_main_anc_mount_def_malekith_cold_one	wh2_main_sc_def_dark_elves
wh2_main_anc_mount_def_malekith_seraphon	wh2_main_sc_def_dark_elves
wh2_main_anc_mount_def_morathi_sulephet	wh2_main_sc_def_dark_elves
wh2_main_anc_mount_def_sorceress_dark_cold_one	wh2_main_sc_def_dark_elves
wh2_main_anc_mount_def_sorceress_dark_dark_pegasus	wh2_main_sc_def_dark_elves
wh2_main_anc_mount_def_sorceress_dark_dark_steed	wh2_main_sc_def_dark_elves
wh2_main_anc_mount_def_sorceress_fire_cold_one	wh2_main_sc_def_dark_elves
wh2_main_anc_mount_def_sorceress_fire_dark_pegasus	wh2_main_sc_def_dark_elves
wh2_main_anc_mount_def_sorceress_fire_dark_steed	wh2_main_sc_def_dark_elves
wh2_main_anc_mount_def_sorceress_shadow_cold_one	wh2_main_sc_def_dark_elves
wh2_main_anc_mount_def_sorceress_shadow_dark_pegasus	wh2_main_sc_def_dark_elves
wh2_main_anc_mount_def_sorceress_shadow_dark_steed	wh2_main_sc_def_dark_elves
wh2_main_anc_mount_hef_mage_high_elven_steed	wh2_main_sc_hef_high_elves
wh2_main_anc_mount_hef_mage_high_ithilmar_chariot	wh2_main_sc_hef_high_elves
wh2_main_anc_mount_hef_mage_life_elven_steed	wh2_main_sc_hef_high_elves
wh2_main_anc_mount_hef_mage_life_ithilmar_chariot	wh2_main_sc_hef_high_elves
wh2_main_anc_mount_hef_mage_light_elven_steed	wh2_main_sc_hef_high_elves
wh2_main_anc_mount_hef_mage_light_ithilmar_chariot	wh2_main_sc_hef_high_elves
wh2_main_anc_mount_hef_noble_barded_ithilmar_steed	wh2_main_sc_hef_high_elves
wh2_main_anc_mount_hef_noble_eagle	wh2_main_sc_hef_high_elves
wh2_main_anc_mount_hef_noble_ithilmar_chariot	wh2_main_sc_hef_high_elves
wh2_main_anc_mount_hef_prince_barded_ithilmar_steed	wh2_main_sc_hef_high_elves
wh2_main_anc_mount_hef_prince_great_eagle	wh2_main_sc_hef_high_elves
wh2_main_anc_mount_hef_prince_star_dragon	wh2_main_sc_hef_high_elves
wh2_main_anc_mount_hef_prince_sun_dragon	wh2_main_sc_hef_high_elves
wh2_main_anc_mount_hef_tyrion_malhandhir	wh2_main_sc_hef_high_elves
wh2_main_anc_mount_lzd_kroq_gar_cold_one	wh2_main_sc_lzd_lizardmen
wh2_main_anc_mount_lzd_kroq_gar_grymloq	wh2_main_sc_lzd_lizardmen
wh2_main_anc_mount_lzd_kroq_gar_horned_one	wh2_main_sc_lzd_lizardmen
wh2_main_anc_mount_lzd_lord_mazdamundi_zlaaq	wh2_main_sc_lzd_lizardmen
wh2_main_anc_mount_lzd_saurus_old_blood_carnosaur	wh2_main_sc_lzd_lizardmen
wh2_main_anc_mount_lzd_saurus_old_blood_cold_one	wh2_main_sc_lzd_lizardmen
wh2_main_anc_mount_lzd_saurus_scar_veteran_carnosaur	wh2_main_sc_lzd_lizardmen
wh2_main_anc_mount_lzd_saurus_scar_veteran_cold_one	wh2_main_sc_lzd_lizardmen
wh2_main_anc_mount_lzd_skink_chief_ancient_stegadon	wh2_main_sc_lzd_lizardmen
wh2_main_anc_mount_lzd_skink_chief_stegadon	wh2_main_sc_lzd_lizardmen
wh2_main_anc_mount_lzd_skink_chief_terradon	wh2_main_sc_lzd_lizardmen
wh2_main_anc_mount_lzd_skink_priest_beasts_ancient_stegadon	wh2_main_sc_lzd_lizardmen
wh2_main_anc_mount_lzd_skink_priest_beasts_stegadon	wh2_main_sc_lzd_lizardmen
wh2_main_anc_mount_lzd_skink_priest_beasts_terradon	wh2_main_sc_lzd_lizardmen
wh2_main_anc_mount_lzd_skink_priest_heavens_ancient_stegadon	wh2_main_sc_lzd_lizardmen
wh2_main_anc_mount_lzd_skink_priest_heavens_stegadon	wh2_main_sc_lzd_lizardmen
wh2_main_anc_mount_lzd_skink_priest_heavens_terradon	wh2_main_sc_lzd_lizardmen
wh2_main_anc_mount_skv_grey_seer_plague_screaming_bell	wh2_main_sc_skv_skaven
wh2_main_anc_mount_skv_grey_seer_ruin_screaming_bell	wh2_main_sc_skv_skaven
wh2_main_anc_mount_skv_plague_priest_plague_furnace	wh2_main_sc_skv_skaven
wh2_main_anc_mount_skv_warlord_bonebreaker	wh2_main_sc_skv_skaven
wh2_main_anc_talisman_amber_amulet	wh2_main_sc_def_dark_elves
wh2_main_anc_talisman_amulet_of_fire	wh2_main_sc_hef_high_elves
wh2_main_anc_talisman_amulet_of_foresight	wh2_main_sc_hef_high_elves
wh2_main_anc_talisman_amulet_of_itzl	wh2_main_sc_lzd_lizardmen
wh2_main_anc_talisman_aura_of_quetzl	wh2_main_sc_lzd_lizardmen
wh2_main_anc_talisman_crown_of_black_iron	wh2_main_sc_def_dark_elves
wh2_main_anc_talisman_deathmask	wh2_main_sc_def_dark_elves
wh2_main_anc_talisman_diamond_guardian_phoenix	wh2_main_sc_hef_high_elves
wh2_main_anc_talisman_emerald_collar	wh2_main_sc_hef_high_elves
wh2_main_anc_talisman_foul_pendant	wh2_main_sc_skv_skaven
wh2_main_anc_talisman_glyph_necklace	wh2_main_sc_lzd_lizardmen
wh2_main_anc_talisman_golden_crown_of_atrazar	wh2_main_sc_hef_high_elves
wh2_main_anc_talisman_loremasters_cloak	wh2_main_sc_hef_high_elves
wh2_main_anc_talisman_pearl_of_infinite_blackness	wh2_main_sc_def_dark_elves
wh2_main_anc_talisman_ring_of_darkness	wh2_main_sc_def_dark_elves
wh2_main_anc_talisman_ring_of_hotek	wh2_main_sc_def_dark_elves
wh2_main_anc_talisman_rival_hide_talisman	wh2_main_sc_skv_skaven
wh2_main_anc_talisman_ruby_guardian_phoenix	wh2_main_sc_hef_high_elves
wh2_main_anc_talisman_sacred_incense	wh2_main_sc_hef_high_elves
wh2_main_anc_talisman_sapphire_guardian_phoenix	wh2_main_sc_hef_high_elves
wh2_main_anc_talisman_shadow_magnet_trinket	wh2_main_sc_skv_skaven
wh2_main_anc_talisman_talisman_of_saphery	wh2_main_sc_hef_high_elves
wh2_main_anc_talisman_the_black_amulet	wh2_main_sc_def_dark_elves
wh2_main_anc_talisman_vambraces_of_defence	wh2_main_sc_hef_high_elves
wh2_main_anc_weapon_blade_of_bel_korhadris	wh2_main_sc_hef_high_elves
wh2_main_anc_weapon_blade_of_corruption	wh2_main_sc_skv_skaven
wh2_main_anc_weapon_blade_of_darting_steel	wh2_main_sc_hef_high_elves
wh2_main_anc_weapon_blade_of_leaping_gold	wh2_main_sc_hef_high_elves
wh2_main_anc_weapon_blade_of_nurglitch	wh2_main_sc_skv_skaven
wh2_main_anc_weapon_blade_of_revered_tzunki	wh2_main_sc_lzd_lizardmen
wh2_main_anc_weapon_blade_of_ruin	wh2_main_sc_def_dark_elves
wh2_main_anc_weapon_blade_of_sea_gold	wh2_main_sc_hef_high_elves
wh2_main_anc_weapon_bow_of_the_seafarer	wh2_main_sc_hef_high_elves
wh2_main_anc_weapon_burning_blade_of_chotec	wh2_main_sc_lzd_lizardmen
wh2_main_anc_weapon_caledors_bane	wh2_main_sc_def_dark_elves
wh2_main_anc_weapon_chillblade	wh2_main_sc_def_dark_elves
wh2_main_anc_weapon_cobra_mace_of_mazdamundi	wh2_main_sc_lzd_lizardmen
wh2_main_anc_weapon_crimson_death	wh2_main_sc_def_dark_elves
wh2_main_anc_weapon_dagger_of_hotek	wh2_main_sc_def_dark_elves
wh2_main_anc_weapon_dagger_of_sotek	wh2_main_sc_lzd_lizardmen
wh2_main_anc_weapon_deathpiercer	wh2_main_sc_def_dark_elves
wh2_main_anc_weapon_destroyer	wh2_main_sc_def_dark_elves
wh2_main_anc_weapon_dwarf_gouger	wh2_main_sc_skv_skaven
wh2_main_anc_weapon_dwarfbane	wh2_main_sc_skv_skaven
wh2_main_anc_weapon_executioners_axe	wh2_main_sc_def_dark_elves
wh2_main_anc_weapon_foe_bane	wh2_main_sc_hef_high_elves
wh2_main_anc_weapon_heartrender_and_the_darksword	wh2_main_sc_def_dark_elves
wh2_main_anc_weapon_heartseeker	wh2_main_sc_def_dark_elves
wh2_main_anc_weapon_hydra_blade	wh2_main_sc_def_dark_elves
wh2_main_anc_weapon_reaver_bow	wh2_main_sc_hef_high_elves
wh2_main_anc_weapon_revered_spear_of_tlanxla	wh2_main_sc_lzd_lizardmen
wh2_main_anc_weapon_rod_of_corruption	wh2_main_sc_skv_skaven
wh2_main_anc_weapon_scimitar_of_the_sun_resplendent	wh2_main_sc_lzd_lizardmen
wh2_main_anc_weapon_sea_gold_parrying_blade	wh2_main_sc_hef_high_elves
wh2_main_anc_weapon_stegadon_war_spear	wh2_main_sc_lzd_lizardmen
wh2_main_anc_weapon_sunfang	wh2_main_sc_hef_high_elves
wh2_main_anc_weapon_sword_of_teclis	wh2_main_sc_hef_high_elves
wh2_main_anc_weapon_sword_of_the_hornet	wh2_main_sc_lzd_lizardmen
wh2_main_anc_weapon_the_blade_of_realities	wh2_main_sc_lzd_lizardmen
wh2_main_anc_weapon_the_fellblade	wh2_main_sc_skv_skaven
wh2_main_anc_weapon_the_piranha_blade	wh2_main_sc_lzd_lizardmen
wh2_main_anc_weapon_the_star_lance	wh2_main_sc_hef_high_elves
wh2_main_anc_weapon_the_white_sword	wh2_main_sc_hef_high_elves
wh2_main_anc_weapon_venom_sword	wh2_main_sc_def_dark_elves
wh2_main_anc_weapon_warlock_augmented_weapon	wh2_main_sc_skv_skaven
wh2_main_anc_weapon_warpforged_blade	wh2_main_sc_skv_skaven
wh2_main_anc_weapon_web_of_shadows	wh2_main_sc_def_dark_elves
wh2_main_anc_weapon_weeping_blade	wh2_main_sc_skv_skaven
wh2_main_anc_weapon_winged_staff	wh2_main_sc_hef_high_elves
wh_dlc01_anc_follower_chaos_barbarian	wh_dlc03_sc_bst_beastmen
wh_dlc01_anc_follower_chaos_barbarian	wh_main_sc_chs_chaos
wh_dlc01_anc_follower_chaos_barbarian	wh_main_sc_nor_norsca
wh_dlc01_anc_follower_chaos_beast_tamer	wh_dlc03_sc_bst_beastmen
wh_dlc01_anc_follower_chaos_beast_tamer	wh_main_sc_chs_chaos
wh_dlc01_anc_follower_chaos_beast_tamer	wh_main_sc_nor_norsca
wh_dlc01_anc_follower_chaos_collector	wh_dlc03_sc_bst_beastmen
wh_dlc01_anc_follower_chaos_collector	wh_main_sc_chs_chaos
wh_dlc01_anc_follower_chaos_collector	wh_main_sc_nor_norsca
wh_dlc01_anc_follower_chaos_cultist	wh_dlc03_sc_bst_beastmen
wh_dlc01_anc_follower_chaos_cultist	wh_main_sc_chs_chaos
wh_dlc01_anc_follower_chaos_cultist	wh_main_sc_nor_norsca
wh_dlc01_anc_follower_chaos_darksoul	wh_dlc03_sc_bst_beastmen
wh_dlc01_anc_follower_chaos_darksoul	wh_main_sc_chs_chaos
wh_dlc01_anc_follower_chaos_darksoul	wh_main_sc_nor_norsca
