special_ability_phase_stat_effects_tables
3
phase	value	stat	how
wh2_main_unit_contact_noxious_breath	0.7	stat_melee_attack	mult
wh2_main_unit_contact_noxious_breath	-30	stat_reloading	add
wh2_main_unit_contact_plague_monk_censer_morale	-10	stat_morale	add
wh2_main_unit_contact_weeping_blade	0.5	stat_armour	mult
wh2_main_unit_contact_witch_elf_poison	0.76	scalar_speed	mult
wh2_main_unit_contact_witch_elf_poison	0.9	stat_melee_defence	mult
wh2_main_unit_passive_attuned_to_magic	12	stat_resistance_all	add
wh2_main_unit_passive_blizzard_aura	-9	stat_melee_attack	add
wh2_main_unit_passive_blizzard_aura	0.9	stat_melee_damage_ap	mult
wh2_main_unit_passive_bloodshield_of_khaine	12	stat_resistance_physical	add
wh2_main_unit_passive_martial_mastery	8	stat_melee_attack	add
wh2_main_unit_passive_martial_mastery	12	stat_melee_defence	add
wh2_main_unit_passive_martial_prowess	2	stat_melee_attack	add
wh2_main_unit_passive_martial_prowess	12	stat_melee_defence	add
wh2_main_unit_passive_scurry_away	1.12	scalar_speed	mult
wh2_main_unit_passive_snare_net	0.82	scalar_speed	mult
wh2_main_unit_passive_strength_in_numbers	0.88	scalar_speed	mult
wh2_main_unit_passive_strength_in_numbers	8	stat_melee_defence	add
wh2_main_unit_passive_strength_in_numbers	6	stat_morale	add
wh2_main_weapon_abilities_dwarf_gouger	1.4	stat_melee_damage_ap	mult
wh2_main_weapon_abilities_hydra_blade	1.4	stat_melee_damage_ap	mult
wh2_main_weapon_abilities_hydra_blade	1.4	stat_melee_damage_base	mult
wh2_main_weapon_abilities_sword_of_teclis	44	stat_melee_attack	add
wh2_main_weapon_abilities_sword_of_teclis	1.6	stat_melee_damage_ap	mult
wh2_main_weapon_abilities_sword_of_teclis	1.6	stat_melee_damage_base	mult
wh2_main_weapon_abilities_web_of_shadows	0.76	scalar_speed	mult
wh2_main_weapon_passive_chillblade	0.88	scalar_speed	mult
wh2_main_weapon_passive_chillblade	-5	stat_melee_attack	add
wh2_main_weapon_passive_heartrender_and_the_darksword	-9	stat_melee_attack	add
wh2_main_weapon_passive_heartrender_and_the_darksword	-9	stat_melee_defence	add
wh_dlc01_banner_passive_blasted_standard	12	stat_missile_block_chance	add
wh_dlc01_item_passive_helm_of_many_eyes	6	stat_armour	add
wh_dlc01_item_passive_helm_of_many_eyes	5	stat_melee_attack	add
wh_dlc01_item_passive_the_crown_of_domination	4	stat_morale	add
wh_dlc01_weapon_abilities_starcrusher	1.32	scalar_splash_attack_power	mult
wh_dlc01_weapon_abilities_starcrusher	1.4	stat_melee_damage_ap	mult
wh_dlc01_weapon_abilities_the_slayer_of_kings	1.32	scalar_splash_attack_power	mult
wh_dlc01_weapon_abilities_the_slayer_of_kings	1.6	stat_melee_damage_ap	mult
wh_dlc01_weapon_abilities_the_slayer_of_kings	1.6	stat_melee_damage_base	mult
wh_dlc02_unit_passive_the_flag_of_blood_keep	22	stat_resistance_missile	add
wh_dlc03_banner_passive_manbane_standard	-4	stat_morale	add
wh_dlc03_banner_passive_totem_of_rust	-6	stat_armour	add
wh_dlc03_character_abilities_apocalyptic_vision	26	stat_melee_attack	add
wh_dlc03_character_abilities_apocalyptic_vision	16	stat_morale	add
wh_dlc03_character_abilities_call_of_violence	16	stat_morale	add
wh_dlc03_hero_passive_something_wicked_this_way_comes	-4	stat_morale	add
wh_dlc03_hero_passive_strength_of_the_land_iii	18	stat_armour	add
wh_dlc03_hero_passive_strength_of_the_land_ii	12	stat_armour	add
wh_dlc03_hero_passive_strength_of_the_land_i	6	stat_armour	add
wh_dlc03_hero_passive_strength_of_the_land_iv	18	stat_armour	add
wh_dlc03_hero_passive_strength_of_the_land_iv	11	stat_resistance_missile	add
wh_dlc03_hero_passive_the_unrelenting_warherd_iii	16	stat_melee_attack	add
wh_dlc03_hero_passive_the_unrelenting_warherd_ii	12	stat_melee_attack	add
wh_dlc03_hero_passive_the_unrelenting_warherd_i	8	stat_melee_attack	add
wh_dlc03_hero_passive_the_unrelenting_warherd_iv	1.36	stat_charge_bonus	mult
wh_dlc03_hero_passive_the_unrelenting_warherd_iv	16	stat_melee_attack	add
wh_dlc03_item_abilities_chalice_of_dark_rain	0.7	stat_accuracy	mult
wh_dlc03_item_abilities_hagtree_fetish	0.5	scalar_miscast_chance	mult
wh_dlc03_item_abilities_horn_of_the_first_beast	1.18	stat_charge_bonus	mult
wh_dlc03_item_abilities_horn_of_the_first_beast	26	stat_melee_attack	add
wh_dlc03_item_abilities_horn_of_the_first_beast	8	stat_morale	add
wh_dlc03_item_passive_banner_of_the_fallen_king	1.1	stat_melee_damage_ap	mult
wh_dlc03_item_passive_banner_of_the_fallen_king	1.1	stat_melee_damage_base	mult
wh_dlc03_item_passive_blackened_plate	20	stat_resistance_flame	add
wh_dlc03_item_passive_icon_of_vilification	12	stat_morale	add
wh_dlc03_item_passive_the_dark_mail	-30	stat_armour	add
wh_dlc03_item_passive_the_dark_mail	-27	stat_melee_defence	add
wh_dlc03_item_passive_trollhide	-22	stat_weakness_flame	add
wh_dlc03_lord_passive_crush_the_weak	-5	stat_melee_attack	add
wh_dlc03_lord_passive_crush_the_weak	-5	stat_melee_defence	add
wh_dlc03_lord_passive_crush_the_weak	-4	stat_morale	add
wh_dlc03_lore_passive_bestial_surge	1.18	stat_charge_bonus	mult
wh_dlc03_quest_passive_poisoning	0.52	scalar_speed	mult
wh_dlc03_spell_beasts_panns_impenetrable_pelt_upgraded	1.24	scalar_speed	mult
wh_dlc03_spell_beasts_panns_impenetrable_pelt_upgraded	22	stat_resistance_physical	add
wh_dlc03_spell_beasts_panns_impenetrable_pelt	1.24	scalar_speed	mult
wh_dlc03_spell_beasts_panns_impenetrable_pelt	22	stat_resistance_physical	add
wh_dlc03_spell_beasts_the_curse_of_anraheir	0.76	scalar_speed	mult
wh_dlc03_spell_beasts_the_curse_of_anraheir	0.4	stat_accuracy	mult
wh_dlc03_spell_beasts_the_curse_of_anraheir	-26	stat_melee_attack	add
wh_dlc03_spell_beasts_wyssans_wildform	30	stat_armour	add
wh_dlc03_spell_beasts_wyssans_wildform	1.25	stat_melee_damage_base	mult
wh_dlc03_spell_wild_devolve_upgraded	-8	stat_morale	add
wh_dlc03_spell_wild_devolve	-8	stat_morale	add
wh_dlc03_spell_wild_mantle_of_ghorok	-30	stat_armour	add
wh_dlc03_spell_wild_mantle_of_ghorok	44	stat_melee_attack	add
wh_dlc03_spell_wild_mantle_of_ghorok	1.4	stat_melee_damage_ap	mult
wh_dlc03_spell_wild_mantle_of_ghorok	1.4	stat_melee_damage_base	mult
wh_dlc03_spell_wild_traitor_kin_upgraded	0.52	scalar_speed	mult
wh_dlc03_spell_wild_traitor_kin	0.76	scalar_speed	mult
wh_dlc03_unit_abilities_slaughterers_call	1.08	stat_charge_bonus	mult
wh_dlc03_unit_abilities_slaughterers_call	5	stat_melee_attack	add
wh_dlc03_unit_abilities_slaughterers_call	8	stat_morale	add
wh_dlc03_unit_passive_bloodgreed	1.12	scalar_speed	mult
wh_dlc03_unit_passive_bloodgreed	12	stat_morale	add
wh_dlc03_unit_passive_drunken	4	stat_morale	add
wh_dlc03_unit_passive_primal_fury	1.12	scalar_speed	mult
wh_dlc03_unit_passive_primal_fury	1.08	stat_charge_bonus	mult
wh_dlc03_unit_passive_primal_fury	5	stat_melee_attack	add
wh_dlc03_unit_passive_soul_eater	1.25	scalar_miscast_chance	mult
wh_dlc03_weapon_abilities_scourge	26	stat_melee_attack	add
wh_dlc03_weapon_abilities_scourge	27	stat_melee_defence	add
wh_dlc03_weapon_passive_mangelder	-8	stat_morale	add
wh_dlc03_weapon_passive_the_brass_cleaver	9	stat_melee_attack	add
wh_dlc04_hero_passive_divine_power	1.5	scalar_miscast_chance	mult
wh_dlc04_item_abilities_the_carstein_ring	90	stat_resistance_all	add
wh_dlc04_lord_abilities_beguile	-44	stat_melee_attack	add
wh_dlc04_lord_passive_aura_of_dark_majesty	-4	stat_morale	add
wh_dlc04_unit_contat_helmans_blight	0.64	scalar_speed	mult
wh_dlc04_unit_passive_chilling_aura	0.64	scalar_speed	mult
wh_dlc04_unit_passive_strength_of_the_penitent	14	stat_melee_defence	add
wh_dlc04_unit_passive_strength_of_the_penitent	12	stat_resistance_physical	add
wh_dlc04_unit_passive_vigour_mortis	5	stat_melee_attack	add
wh_dlc04_unit_passive_vigour_mortis	5	stat_melee_defence	add
wh_dlc05_banner_passive_banner_of_the_eternal_queen	4	stat_morale	add
wh_dlc05_banner_passive_banner_of_the_eternal_queen	6	stat_resistance_all	add
wh_dlc05_banner_passive_banner_of_the_hunter_king	1.08	stat_charge_bonus	mult
wh_dlc05_banner_passive_banner_of_the_hunter_king	5	stat_melee_attack	add
wh_dlc05_character_abilities_pray_of_anath_raema	-22	stat_resistance_missile	add
wh_dlc05_hero_passive_hawkish_finesse	40	stat_reloading	add
wh_dlc05_hero_passive_hawkish_precision	1.25	scalar_missile_damage_ap	mult
wh_dlc05_item_abilities_horn_of_the_wild_hunt	1.24	scalar_speed	mult
wh_dlc05_item_abilities_horn_of_the_wild_hunt	1.36	stat_charge_bonus	mult
wh_dlc05_item_passive_cloak_of_isha	44	stat_resistance_all	add
wh_dlc05_lord_passive_call_of_the_woods	5	stat_melee_attack	add
wh_dlc05_lord_passive_howl_of_the_forest	9	stat_melee_attack	add
wh_dlc05_lord_passive_sight_beyond_sight	1.15	scalar_missile_damage_base	mult
wh_dlc05_lord_passive_the_eye_of_kurnous	1.1	scalar_missile_damage_base	mult
wh_dlc05_lore_passive_smoke_and_mirrors	1.12	scalar_speed	mult
wh_dlc05_quest_passive_aura_of_transmutation	95	stat_resistance_all	add
wh_dlc05_spell_life_awakening_of_the_wood	0.52	scalar_speed	mult
wh_dlc05_spell_life_flesh_to_stone_upgraded	60	stat_armour	add
wh_dlc05_spell_life_flesh_to_stone	60	stat_armour	add
wh_dlc05_spell_life_regrowth_upgraded	44	stat_resistance_physical	add
wh_dlc05_spell_life_regrowth	22	stat_resistance_physical	add
wh_dlc05_spell_life_shield_of_thorns_upgraded	1.5	stat_melee_damage_base	mult
wh_dlc05_spell_life_shield_of_thorns_upgraded	44	stat_resistance_missile	add
wh_dlc05_spell_life_shield_of_thorns	1.25	stat_melee_damage_base	mult
wh_dlc05_spell_life_shield_of_thorns	22	stat_resistance_missile	add
wh_dlc05_spell_life_the_dwellers_below_upgraded	0.52	scalar_speed	mult
wh_dlc05_spell_life_the_dwellers_below	0.76	scalar_speed	mult
wh_dlc05_spell_shadow_melkoths_mystifying_miasma_upgraded	0.76	scalar_speed	mult
wh_dlc05_spell_shadow_melkoths_mystifying_miasma	0.76	scalar_speed	mult
wh_dlc05_spell_shadow_okkams_mindrazor_upgraded	1.4	stat_melee_damage_ap	mult
wh_dlc05_spell_shadow_okkams_mindrazor_upgraded	1.4	stat_melee_damage_base	mult
wh_dlc05_spell_shadow_okkams_mindrazor	1.4	stat_melee_damage_ap	mult
wh_dlc05_spell_shadow_okkams_mindrazor	1.4	stat_melee_damage_base	mult
wh_dlc05_spell_shadow_the_enfeebling_foe_upgraded	-26	stat_melee_attack	add
wh_dlc05_spell_shadow_the_enfeebling_foe_upgraded	-27	stat_melee_defence	add
wh_dlc05_spell_shadow_the_enfeebling_foe	-26	stat_melee_attack	add
wh_dlc05_spell_shadow_the_enfeebling_foe	-27	stat_melee_defence	add
wh_dlc05_spell_shadow_the_withering_upgraded	-30	stat_armour	add
wh_dlc05_spell_shadow_the_withering_upgraded	-8	stat_morale	add
wh_dlc05_spell_shadow_the_withering	-30	stat_armour	add
wh_dlc05_spell_shadow_the_withering	-8	stat_morale	add
wh_dlc05_unit_abilities_storm_of_blades	26	stat_melee_attack	add
wh_dlc05_unit_abilities_storm_of_blades	-27	stat_melee_defence	add
wh_dlc05_unit_abilities_the_shadows_coil	-26	stat_melee_attack	add
wh_dlc05_unit_abilities_the_shadows_coil	27	stat_melee_defence	add
wh_dlc05_unit_abilities_woven_mist	-27	stat_melee_defence	add
wh_dlc05_unit_abilities_woven_mist	44	stat_resistance_missile	add
wh_dlc05_unit_passive_guardians_of_the_wildwood	12	stat_bonus_vs_large	add
wh_dlc05_weapon_abilities_daiths_sword	-30	stat_armour	add
wh_dlc05_weapon_abilities_el_syf	0.52	scalar_speed	mult
wh_dlc05_weapon_abilities_el_syf	-45	stat_melee_defence	add
wh_dlc05_weapon_abilities_el_syf	-22	stat_resistance_physical	add
wh_dlc06_character_abilities_oath_stone	27	stat_melee_defence	add
wh_dlc06_character_abilities_spite_of_da_bad_moon	48	stat_missile_block_chance	add
wh_dlc06_lord_abilities_revenge_incarnate	44	stat_melee_attack	add
wh_dlc06_lord_abilities_revenge_incarnate	1.5	stat_melee_damage_base	mult
wh_dlc06_lord_abilities_revenge_incarnate	16	stat_morale	add
wh_dlc06_lord_abilities_wurrzags_revenge	1.5	scalar_miscast_chance	mult
wh_dlc06_lord_ablities_tricksy_traps	1.24	scalar_speed	mult
wh_dlc06_lord_passive_locus_of_power	15	stat_resistance_magic	add
wh_dlc06_lord_passive_warpaint_of_wurrzag	11	stat_resistance_physical	add
wh_dlc06_quest_abilities_grand_faiths_bastion	90	stat_resistance_all	add
wh_dlc06_quest_passive_inquisitor_of_sigmar	1.36	scalar_speed	mult
wh_dlc06_quest_passive_inquisitor_of_sigmar	40	stat_reloading	add
wh_dlc06_rune_abilities_master_rune_of_negation	44	stat_resistance_all	add
wh_dlc06_rune_abilities_master_rune_of_oath_and_steel	60	stat_armour	add
wh_dlc06_rune_abilities_master_rune_of_wrath_and_ruin	0.52	scalar_speed	mult
wh_dlc06_rune_passive_master_rune_of_slowness	0.88	scalar_speed	mult
wh_dlc06_rune_passive_master_rune_of_slowness	0.92	stat_charge_bonus	mult
wh_dlc06_unit_abilities_smoke_bomb	0.24	scalar_charge_speed	mult
wh_dlc06_unit_abilities_smoke_bomb	0.24	scalar_speed	mult
wh_dlc06_unit_contact_blinded	0.6	stat_accuracy	mult
wh_dlc06_unit_contact_blinded	-26	stat_melee_attack	add
wh_dlc06_unit_contact_blinded	-27	stat_melee_defence	add
wh_dlc06_unit_contact_discouraged	-16	stat_morale	add
wh_dlc06_unit_contact_flammable	0.64	scalar_speed	mult
wh_dlc06_unit_contact_flammable	-22	stat_weakness_flame	add
wh_dlc06_unit_contact_sundered_armour	-30	stat_armour	add
wh_dlc06_unit_passive_marked_by_ulthar	-30	stat_armour	add
wh_dlc06_unit_passive_marked_by_ulthar	-24	stat_missile_block_chance	add
wh_dlc06_unit_passive_marked_by_ulthar	-22	stat_resistance_missile	add
wh_dlc06_unit_passive_opportunist_murderer	13	stat_melee_attack	add
wh_dlc06_unit_passive_opportunist_murderer	1.4	stat_melee_damage_ap	mult
wh_dlc06_unit_passive_power_of_the_dragon_back	22	stat_resistance_flame	add
wh_dlc06_unit_passive_squigs_go_wild	12	stat_morale	add
wh_dlc06_weapon_passive_bonewoof_staff	1.18	stat_charge_bonus	mult
wh_dlc06_weapon_passive_bonewoof_staff	13	stat_melee_attack	add
wh_dlc06_weapon_passive_hammer_of_angrund	1.16	stat_charge_bonus	mult
wh_dlc06_weapon_passive_hammer_of_angrund	9	stat_melee_attack	add
wh_dlc06_weapon_passive_hammer_of_angrund	1.15	stat_melee_damage_ap	mult
wh_dlc06_weapon_passive_hammer_of_angrund	1.15	stat_melee_damage_base	mult
wh_dlc07_hero_abilities_dolorous_blade	26	stat_melee_attack	add
wh_dlc07_hero_abilities_dolorous_blade	1.75	stat_melee_damage_base	mult
wh_dlc07_hero_passive_precise_control	1.1	scalar_missile_range	mult
wh_dlc07_lord_abilities_favour_of_the_fay	44	stat_melee_attack	add
wh_dlc07_lord_abilities_lions_shield	44	stat_resistance_magic	add
wh_dlc07_lord_abilities_lions_shield	44	stat_resistance_missile	add
wh_dlc07_lord_passive_mist_of_the_lady	-5	stat_melee_attack	add
wh_dlc07_lord_passive_spirit_of_the_tempest	1.1	scalar_speed	mult
wh_dlc07_lord_passive_spirit_of_the_tempest	1.08	stat_charge_bonus	mult
wh_dlc07_unit_formation_diamond	0.76	scalar_speed	mult
wh_dlc07_unit_formation_diamond	8	stat_bonus_vs_infantry	add
wh_dlc07_unit_formation_diamond	1.54	stat_charge_bonus	mult
wh_dlc07_unit_formation_diamond	0.76	stat_missile_block_chance	mult
wh_dlc07_unit_formation_flying_wedge	0.76	scalar_speed	mult
wh_dlc07_unit_formation_flying_wedge	16	stat_bonus_vs_infantry	add
wh_dlc07_unit_formation_flying_wedge	1.36	stat_charge_bonus	mult
wh_dlc07_unit_formation_flying_wedge	0.76	stat_missile_block_chance	mult
wh_dlc07_unit_formation_lance_2	1.24	scalar_charge_speed	mult
wh_dlc07_unit_formation_lance_2	1.5	scalar_entity_acceleration_modifier	mult
wh_dlc07_unit_formation_lance_2	1.5	scalar_entity_deceleration_modifier	mult
wh_dlc07_unit_formation_lance_2	0.88	scalar_speed	mult
wh_dlc07_unit_formation_lance_2	1.36	stat_charge_bonus	mult
wh_dlc07_unit_formation_lance_2	0.52	stat_missile_block_chance	mult
wh_dlc07_unit_passive_icon_of_devotion	12	stat_morale	add
wh_dlc08_lord_passive_daring_deathblow	1.36	stat_melee_damage_ap	mult
wh_dlc08_lord_passive_daring_deathblow	1.44	stat_melee_damage_base	mult
wh_dlc08_lord_passive_daring_deathblow	30	stat_resistance_physical	add
wh_dlc08_lord_passive_determined_deathblow	1.16	stat_melee_damage_ap	mult
wh_dlc08_lord_passive_determined_deathblow	1.24	stat_melee_damage_base	mult
wh_main_banner_passive_banner_of_eternal_flame	1.06	stat_melee_damage_base	mult
wh_main_banner_passive_banner_of_lost_holds	5	stat_melee_attack	add
wh_main_banner_passive_banner_of_lost_holds	1.06	stat_melee_damage_base	mult
wh_main_banner_passive_banner_of_rage	1.08	stat_charge_bonus	mult
wh_main_banner_passive_banner_of_rage	8	stat_melee_attack	add
wh_main_banner_passive_banner_of_rage	1.12	stat_melee_damage_base	mult
wh_main_banner_passive_gleaming_pennant	4	stat_morale	add
wh_main_banner_passive_griffon_banner	-4	stat_morale	add
wh_main_banner_passive_scarecrow_banner	-4	stat_morale	add
wh_main_banner_passive_the_screaming_banner	4	stat_morale	add
wh_main_character_abilities_blood_lust	1.2	stat_melee_damage_ap	mult
wh_main_character_abilities_deadly_onslaught	1.36	stat_charge_bonus	mult
wh_main_character_abilities_deadly_onslaught	1.2	stat_melee_damage_ap	mult
