audio_ui_categories_tables
0
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7	unknown8	unknown9
UI_CAM_HUD_DropDown_Character_Details	UI_CLICK_Drop_Down		UI_MSO_Generic_Small			UI_CLICK_Drop_Down	UI_CLICK_Drop_Down		
UI_CAM_HUD_DropDown_List_Character_Details	UI_CLICK_Drop_Down		UI_MSO_Generic_Small			UI_CLICK_Drop_Down	UI_CLICK_Drop_Down		
UI_CAM_HUD_Embed_Character	UI_CLICK_Embed_Character		UI_MSO_Generic_Small			UI_CLICK_Embed_Character	UI_CLICK_Embed_Character		
UI_CAM_HUD_End_Turn	UI_CLICK_End_Turn		UI_MSO_Generic_Small			UI_CLICK_End_Turn	UI_CLICK_End_Turn		
UI_CAM_HUD_Faction_Ability_Generic	UI_CLICK_Cam_Faction_Ability_Generic		UI_MSO_Generic_Small						
UI_CAM_HUD_Generic_Click	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_CAM_HUD_Green_Knight	UI_CLICK_Raise_Army		UI_MSO_Generic_Small			UI_CLICK_Raise_Army	UI_CLICK_Raise_Army		
UI_CAM_HUD_Intrigue	UI_CLICK_Generic_Small		UI_MSO_Generic_Small						
UI_CAM_HUD_Intrigue_Decrease	UI_CLICK_Intrigue_Decrease		UI_MSO_Generic_Small			UI_CLICK_Intrigue_Decrease	UI_CLICK_Intrigue_Decrease		
UI_CAM_HUD_Intrigue_Improve	UI_CLICK_Intrigue_Improve		UI_MSO_Generic_Small			UI_CLICK_Intrigue_Improve	UI_CLICK_Intrigue_Improve		
UI_CAM_HUD_PreBattle_Attack	UI_CLICK_Start_Battle		UI_MSO_Generic_Small			UI_CLICK_Start_Battle	UI_CLICK_Start_Battle		
UI_CAM_HUD_PreBattle_Autoresolve	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_CAM_HUD_PreBattle_Continue_Siege	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_CAM_HUD_PreBattle_Dismiss	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_CAM_HUD_PreBattle_Maintain_Blockade	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_CAM_HUD_PreBattle_Play_As_AI	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_CAM_HUD_PreBattle_Portrait_Select	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_CAM_HUD_PreBattle_Retreat	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_CAM_HUD_PreBattle_Sally	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_CAM_HUD_PreBattle_Spectate_Battle	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_CAM_HUD_PreBattle_Surrender	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_CAM_HUD_PreBattle_Surround	UI_CLICK_Generic_Small		UI_MSO_Generic_Small		UI_CLICK_Generic_Small	UI_CLICK_Generic_Small			
UI_CAM_HUD_Prebattle_Ability_Charge_Arrow_Add	UI_CLICK_Prebattle_Ability_Charge_Arrow_Add		UI_MSO_Generic_Small			UI_CLICK_Prebattle_Ability_Charge_Arrow_Add	UI_CLICK_Prebattle_Ability_Charge_Arrow_Add		
UI_CAM_HUD_Prebattle_Ability_Charge_Arrow_Remove	UI_CLICK_Prebattle_Ability_Charge_Arrow_Remove		UI_MSO_Generic_Small			UI_CLICK_Prebattle_Ability_Charge_Arrow_Remove	UI_CLICK_Prebattle_Ability_Charge_Arrow_Remove		
UI_CAM_HUD_Prebattle_Banner	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_CAM_HUD_Raise_Dead	UI_CLICK_Raise_Dead		UI_MSO_Generic_Small			UI_CLICK_Raise_Dead	UI_CLICK_Raise_Dead		
UI_CAM_HUD_Ritual_Level	UI_CLICK_Ritual_Level		UI_MSO_Generic_Small			UI_CLICK_Ritual_Level	UI_CLICK_Ritual_Level		
UI_CAM_HUD_Ritual_Types	UI_CLICK_Ritual_Types		UI_MSO_Generic_Small			UI_CLICK_Ritual_Types	UI_CLICK_Ritual_Types		
UI_CAM_HUD_Rituals	UI_CLICK_Rituals		UI_MSO_Generic_Small			UI_CLICK_Rituals	UI_CLICK_Rituals		
UI_CAM_HUD_Settlement_Captured_Food_Arrow_Decrease	UI_CLICK_Settlement_Captured_Food_Arrow_Decrease		UI_MSO_Generic_Small			UI_CLICK_Settlement_Captured_Food_Arrow_Decrease	UI_CLICK_Settlement_Captured_Food_Arrow_Decrease		
UI_CAM_HUD_Settlement_Captured_Food_Arrow_Increase	UI_CLICK_Settlement_Captured_Food_Arrow_Increase		UI_MSO_Generic_Small			UI_CLICK_Settlement_Captured_Food_Arrow_Increase	UI_CLICK_Settlement_Captured_Food_Arrow_Increase		
UI_CAM_HUD_Slaves	UI_CLICK_Generic_Small		UI_MSO_Generic_Small						
UI_CAM_HUD_Tab_Events	UI_CLICK_Drop_Down		UI_MSO_Generic_Small			UI_CLICK_Drop_Down	UI_CLICK_Drop_Down		
UI_CAM_HUD_Tab_Faction	UI_CLICK_Drop_Down		UI_MSO_Generic_Small			UI_CLICK_Drop_Down	UI_CLICK_Drop_Down		
UI_CAM_HUD_Tab_Regions	UI_CLICK_Drop_Down		UI_MSO_Generic_Small			UI_CLICK_Drop_Down	UI_CLICK_Drop_Down		
UI_CAM_HUD_Tab_Units	UI_CLICK_Drop_Down		UI_MSO_Generic_Small			UI_CLICK_Drop_Down	UI_CLICK_Drop_Down		
UI_CAM_HUD_Treasury	UI_CLICK_Treasury		UI_MSO_Generic_Small			UI_CLICK_Treasury	UI_CLICK_Treasury		
UI_CAM_HUD_Unit_Ability			UI_MSO_Generic_Small						
UI_CAM_HUD_Unit_Card	UI_CLICK_Unit_Card_02		UI_MSO_Generic_Small			UI_CLICK_Unit_Card_02	UI_CLICK_Unit_Card_02		
UI_CAM_HUD_Unit_Panel_Disband	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_CAM_HUD_Unit_Panel_Merge	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_CAM_HUD_Unit_Panel_Retrain	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_CAM_HUD_Unit_Panel_Upgrade	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_CAM_HUD_Upgrade_Technology	UI_CLICK_Upgrade_Technology		UI_MSO_Generic_Small			UI_CLICK_Upgrade_Technology	UI_CLICK_Upgrade_Technology		
UI_CAM_MSO_ESC_Menu_Open			UI_MSO_Generic_Small						
UI_CAM_MSO_PostBattle			UI_MSO_Generic_Small						
UI_CAM_POPUP_Building_Browser									
UI_CAM_POPUP_Character_Details_Browser									
UI_CAM_POPUP_Clan_Faction_Browser									
UI_CAM_POPUP_Diplomacy_Browser									
UI_CAM_POPUP_Generic								UI_POPUP_Generic_Open	UI_POPUP_Generic_Close
UI_CAM_POPUP_Message_Event_Close									
UI_CAM_POPUP_Post_Battle_Close									
UI_CAM_POPUP_Pre_Battle_Open									
UI_CAM_POPUP_Quest_Issued								UI_CAM_POPUP_Quest_Issued	
UI_CAM_POPUP_Technology_Browser									
UI_FE_HUD_Custom_Battle_Auto_Generate_Army	UI_CLICK_Custom_Battle_Auto_Generate_Army		UI_MSO_Generic_Small			UI_CLICK_Custom_Battle_Auto_Generate_Army	UI_CLICK_Custom_Battle_Auto_Generate_Army		
UI_FE_HUD_Custom_Battle_Delete_Army	UI_CLICK_Custom_Battle_Delete_Army		UI_MSO_Generic_Small			UI_CLICK_Custom_Battle_Delete_Army	UI_CLICK_Custom_Battle_Delete_Army		
UI_FE_HUD_Custom_Battle_Rank_Down_Unit	UI_CLICK_Custom_Battle_Rank_Down_Unit		UI_MSO_Generic_Small			UI_CLICK_Custom_Battle_Rank_Down_Unit	UI_CLICK_Custom_Battle_Rank_Down_Unit		
UI_FE_HUD_Custom_Battle_Rank_Up_Unit	UI_CLICK_Custom_Battle_Rank_Up_Unit		UI_MSO_Generic_Small			UI_CLICK_Custom_Battle_Rank_Up_Unit	UI_CLICK_Custom_Battle_Rank_Up_Unit		
UI_FE_HUD_Custom_Battle_Select_Mount	UI_CLICK_Generic_Medium		UI_MSO_Generic_Small			UI_CLICK_Generic_Medium	UI_CLICK_Generic_Medium		
UI_FE_HUD_Delete_Faction	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_FE_HUD_Delete_Units	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_FE_HUD_Generic_Click	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_FE_HUD_Host_Battle	UI_CLICK_Start_Battle		UI_MSO_Generic_Small			UI_CLICK_Start_Battle	UI_CLICK_Start_Battle		
UI_FE_HUD_Host_Campaign	UI_CLICK_Start_Battle		UI_MSO_Generic_Small			UI_CLICK_Start_Battle	UI_CLICK_Start_Battle		
UI_FE_HUD_Join_Battle	UI_CLICK_Start_Battle		UI_MSO_Generic_Small			UI_CLICK_Start_Battle	UI_CLICK_Start_Battle		
UI_FE_HUD_Join_Campaign	UI_CLICK_Start_Battle		UI_MSO_Generic_Small			UI_CLICK_Start_Battle	UI_CLICK_Start_Battle		
UI_FE_HUD_Main_Menu_Battles	UI_CLICK_Generic_Medium		UI_MSO_Generic_Small			UI_CLICK_Generic_Medium	UI_CLICK_Generic_Medium		
UI_FE_HUD_Main_Menu_Campaigns	UI_CLICK_Generic_Medium		UI_MSO_Generic_Small			UI_CLICK_Generic_Medium	UI_CLICK_Generic_Medium		
UI_FE_HUD_Main_Menu_Downloadable_Content	UI_CLICK_Generic_Medium		UI_MSO_Generic_Small			UI_CLICK_Generic_Medium	UI_CLICK_Generic_Medium		
UI_FE_HUD_Main_Menu_Drop_Down	UI_CLICK_Main_Menu_Drop_Down		UI_MSO_Generic_Small			UI_CLICK_Main_Menu_Drop_Down	UI_CLICK_Main_Menu_Drop_Down		
UI_FE_HUD_Main_Menu_Options	UI_CLICK_Generic_Medium		UI_MSO_Generic_Small			UI_CLICK_Generic_Medium	UI_CLICK_Generic_Medium		
UI_FE_HUD_Main_Menu_Panel_Slide_In								UI_ANIM_FE_Main_Panel_Slide_In	
UI_FE_HUD_Refresh_List	UI_CLICK_Generic_Medium		UI_MSO_Generic_Small			UI_CLICK_Generic_Medium	UI_CLICK_Generic_Medium		
UI_FE_HUD_Select_Chapter	UI_CLICK_Generic_Medium		UI_MSO_Generic_Small			UI_CLICK_Generic_Medium	UI_CLICK_Generic_Medium		
UI_FE_HUD_Select_Character	UI_CLICK_Generic_Medium		UI_MSO_Generic_Small		UI_CLICK_Generic_Medium	UI_CLICK_Generic_Medium			
UI_FE_HUD_Select_Faction	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_FE_HUD_Select_Historical_Battle	UI_CLICK_Generic_Medium		UI_MSO_Generic_Small			UI_CLICK_Generic_Medium	UI_CLICK_Generic_Medium		
UI_FE_HUD_Spectate	UI_CLICK_Start_Battle		UI_MSO_Generic_Small			UI_CLICK_Start_Battle	UI_CLICK_Start_Battle		
UI_FE_HUD_Start_Battle	UI_CLICK_Start_Battle		UI_MSO_Generic_Small		UI_CLICK_Start_Battle	UI_CLICK_Start_Battle			
UI_FE_HUD_Start_Campaign	UI_CLICK_Start_Battle		UI_MSO_Generic_Small			UI_CLICK_Start_Battle	UI_CLICK_Start_Battle		
UI_FE_HUD_Start_Prologue	UI_CLICK_Start_Battle		UI_MSO_Generic_Small			UI_CLICK_Start_Battle	UI_CLICK_Start_Battle		
UI_FE_POPUP_Generic								UI_POPUP_ESC_Open	UI_POPUP_ESC_Close
UI_GBL_HUD_ADC_Button	UI_CLICK_Generic_Small			UI_MSO_Generic_Small		UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_GBL_HUD_Delete	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_GBL_HUD_EGX_Battle_Select			UI_MSO_Generic_Small						
UI_GBL_HUD_Encylopedia	UI_CLICK_Encylopedia		UI_MSO_Generic_Small			UI_CLICK_Encylopedia	UI_CLICK_Encylopedia		
UI_GBL_HUD_Generic_Accept_Confirm	UI_CLICK_Accept_Confirm		UI_MSO_Generic_Small			UI_CLICK_Accept_Confirm	UI_CLICK_Accept_Confirm		
UI_GBL_HUD_Generic_Cancel_Decline	UI_CLICK_Cancel_Decline		UI_MSO_Generic_Small			UI_CLICK_Cancel_Decline	UI_CLICK_Cancel_Decline		
UI_GBL_HUD_Go_Back	UI_CLICK_Go_Back		UI_MSO_Generic_Small			UI_CLICK_Go_Back	UI_CLICK_Go_Back		
UI_GBL_HUD_Invite_Friend	UI_CLICK_Accept_Confirm		UI_MSO_Generic_Small			UI_CLICK_Accept_Confirm	UI_CLICK_Accept_Confirm		
UI_GBL_HUD_Purchase	UI_CLICK_Purchase		UI_MSO_Generic_Small			UI_CLICK_Purchase	UI_CLICK_Purchase		
UI_GBL_HUD_Spell_Browser	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_GBL_HUD_Tactical_Map_Close			UI_MSO_Generic_Small						
UI_GBL_HUD_Tactical_Map_Open			UI_MSO_Generic_Small						
UI_GBL_MSO_ESC_Menu_Open			UI_MSO_Generic_Small						
UI_GBL_POPUP_ESC_Menu								UI_POPUP_ESC_Open	UI_POPUP_ESC_Close
UI_GBL_POPUP_Exit_Game_Option								UI_POPUP_ESC_Open	UI_POPUP_ESC_Close
UI_GBL_POPUP_Generic									
UI_GBL_POPUP_Spell_Browser								UI_POPUP_Spell_Browser_Open	
UI_GBL_TMP_Arrow_Next	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_GBL_TMP_Arrow_Previous	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_GBL_TMP_Building_Button	UI_CLICK_Building_Selection_Unavailible		UI_MSO_Generic_Small			UI_CLICK_Building_Selection_Unavailible	UI_CLICK_Building_Selection_Unavailible		
UI_GBL_TMP_CheckBox	UI_CLICK_Tick_Box		UI_MSO_Generic_Small			UI_CLICK_Tick_Box	UI_CLICK_Tick_Box		
UI_GBL_TMP_DropDown	UI_CLICK_Drop_Down		UI_MSO_Generic_Small			UI_CLICK_Drop_Down	UI_CLICK_Drop_Down		
UI_GBL_TMP_DropDown_List	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_GBL_TMP_Edicts_Button	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_GBL_TMP_Extra_Large_Button	UI_CLICK_Tab_Medium		UI_MSO_Generic_Medium			UI_CLICK_Tab_Medium	UI_CLICK_Tab_Medium		
UI_GBL_TMP_Extra_Small_Button	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_GBL_TMP_Generic_Click	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_GBL_TMP_Generic_Click_LR	UI_CLICK_Generic_Small	UI_CLICK_Generic_Small	UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_GBL_TMP_Parchment_Row	UI_CLICK_Parchment_Row		UI_MSO_Generic_Medium			UI_CLICK_Parchment_Row	UI_CLICK_Parchment_Row		
UI_GBL_TMP_Portrait_Card	UI_CLICK_Portrait_Card		UI_MSO_Generic_Small			UI_CLICK_Portrait_Card	UI_CLICK_Portrait_Card		
UI_GBL_TMP_Prebattle_Portrait_Select	UI_CLICK_Portrait_Card		UI_MSO_Generic_Small			UI_CLICK_Portrait_Card	UI_CLICK_Portrait_Card		
UI_GBL_TMP_Radio_Button	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_GBL_TMP_Round_Large_Button	UI_CLICK_Generic_Large		UI_MSO_Generic_Small			UI_CLICK_Generic_Large	UI_CLICK_Generic_Large		
UI_GBL_TMP_Round_Large_Button_Toggle	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_GBL_TMP_Round_Medium_Button	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_GBL_TMP_Round_Medium_Button_Toggle	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_GBL_TMP_Round_Small_Button	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_GBL_TMP_Round_Small_Button_Toggle	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_GBL_TMP_Skill_Tab_Toggle	UI_CLICK_Tab_Skill		UI_MSO_Generic_Small			UI_CLICK_Tab_Skill	UI_CLICK_Tab_Skill		
UI_GBL_TMP_Slider_Arrows	UI_CLICK_Generic_Small		UI_MSO_Generic_Small		UI_CLICK_Generic_Small	UI_CLICK_Generic_Small			
UI_GBL_TMP_Slider_Background_Laboratory	UI_FE_Laboratory_Warp_Lightning_Slider_One_Shot								
UI_GBL_TMP_Slider_Handle	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_GBL_TMP_Slider_Handle_Laboratory			UI_MSO_Generic_Small		UI_FE_Laboratory_Warp_Lightning_Slider_Loop_Start	UI_FE_Laboratory_Warp_Lightning_Slider_Loop_Stop			
UI_GBL_TMP_Square_Large_Text_Button	UI_CLICK_Generic_Text_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Text_Small	UI_CLICK_Generic_Text_Small		
UI_GBL_TMP_Square_Large_Text_Button_Toggle	UI_CLICK_Generic_Text_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Text_Small	UI_CLICK_Generic_Text_Small		
UI_GBL_TMP_Square_Large_Text_Tab_Toggle	UI_CLICK_Tab_Medium		UI_MSO_Generic_Small			UI_CLICK_Tab_Medium	UI_CLICK_Tab_Medium		
UI_GBL_TMP_Square_Medium_Button	UI_CLICK_Generic_Text_Small		UI_MSO_Generic_Medium			UI_CLICK_Generic_Text_Small	UI_CLICK_Generic_Text_Small		
UI_GBL_TMP_Square_Medium_Button_Toggle	UI_CLICK_Generic_Text_Small		UI_MSO_Generic_Medium			UI_CLICK_Generic_Text_Small	UI_CLICK_Generic_Text_Small		
UI_GBL_TMP_Square_Medium_Text_Button_Toggle	UI_CLICK_Tab_Medium		UI_MSO_Generic_Small			UI_CLICK_Tab_Medium	UI_CLICK_Tab_Medium		
UI_GBL_TMP_Square_Medium_Text_Tab_Toggle	UI_CLICK_Tab_Medium		UI_MSO_Generic_Medium			UI_CLICK_Tab_Medium	UI_CLICK_Tab_Medium		
UI_GBL_TMP_Square_Small_Tab_Toggle	UI_CLICK_Generic_Text_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Text_Small	UI_CLICK_Generic_Text_Small		
UI_GBL_TMP_Stance_Button			UI_MSO_Generic_Small						
UI_GBL_TMP_Stance_Button_Toggle			UI_MSO_Generic_Small						
UI_GBL_TMP_Text_Button	UI_CLICK_Generic_Text_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Text_Small	UI_CLICK_Generic_Text_Small		
UI_GBL_TMP_Unit_Card	UI_CLICK_Unit_Card		UI_MSO_Generic_Small		UI_CLICK_Unit_Card	UI_CLICK_Unit_Card	UI_CLICK_Unit_Card		
UI_GBL_TMP_Vslider	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
placeholder_default									
