ritual_beams_tables
1
unknown0	unknown1	unknown2	id
VORTEX_BEAM_MEDIUM	prefabs\campaign\campaign_rituals_beam_vortex_strong_def.bmd	wh2_main_def_dark_elves	2022923631
VORTEX_BEAM_MEDIUM	prefabs\campaign\campaign_rituals_beam_vortex_strong_xlrg_hef.bmd	wh2_main_hef_high_elves	2023161910
CITY	prefabs\campaign\campaign_rituals_settlement_skv.bmd	wh2_main_skv_skaven	2026081322
VORTEX_BEAM_WEEK	prefabs\campaign\campaign_rituals_beam_vortex_strong_med_hef.bmd	wh2_main_hef_high_elves	2069807428
VORTEX_BEAM_BROKEN	prefabs\campaign\campaign_rituals_beam_vortex_broken_med_skv.bmd	wh2_main_skv_skaven	2073826013
CITY_BEAM_BROKEN	prefabs\campaign\campaign_rituals_beam_broken_xlrg_skv.bmd	wh2_main_skv_skaven	2076322762
CITY_BEAM_WEEK	prefabs\campaign\campaign_rituals_beam_med_skv.bmd	wh2_main_skv_skaven	2078314436
CITY_BEAM_MEDIUM	prefabs\campaign\campaign_rituals_beam_med_skv.bmd	wh2_main_skv_skaven	2082153903
CITY_BEAM_MEDIUM	prefabs\campaign\campaign_rituals_beam_xlrg_def.bmd	wh2_main_def_dark_elves	2108321429
CITY_BEAM_BROKEN	prefabs\campaign\campaign_rituals_beam_broken_xlrg_lzd.bmd	wh2_main_lzd_lizardmen	2139019094
CITY_BEAM_STRONG	prefabs\campaign\campaign_rituals_beam_med_def.bmd	wh2_main_def_dark_elves	2141618215
CITY_BEAM_MEDIUM	prefabs\campaign\campaign_rituals_beam_small_lzd.bmd	wh2_main_lzd_lizardmen	2143064764
VORTEX_BEAM_MEDIUM	prefabs\campaign\campaign_rituals_beam_vortex_strong_med_hef.bmd	wh2_main_hef_high_elves	228062539
VORTEX_BEAM_WEEK	prefabs\campaign\campaign_rituals_beam_vortex_strong_xlrg_def.bmd	wh2_main_def_dark_elves	229357326
CITY	prefabs\campaign\campaign_rituals_settlement_hef.bmd	wh2_main_hef_high_elves	242981883
CITY_BEAM_STRONG	prefabs\campaign\campaign_rituals_beam_large_skv.bmd	wh2_main_skv_skaven	243960631
CITY_BEAM_STRONG	prefabs\campaign\campaign_rituals_beam_small_lzd.bmd	wh2_main_lzd_lizardmen	245366637
VORTEX_BEAM_MEDIUM	prefabs\campaign\campaign_rituals_beam_vortex_strong_lzd.bmd	wh2_main_lzd_lizardmen	27104945
VORTEX_BEAM_BROKEN	prefabs\campaign\campaign_rituals_beam_vortex_broken_lrg_skv.bmd	wh2_main_skv_skaven	300334216
CITY_BEAM_MEDIUM	prefabs\campaign\campaign_rituals_beam_large_def.bmd	wh2_main_def_dark_elves	304904473
VORTEX_BEAM_MEDIUM	prefabs\campaign\campaign_rituals_beam_vortex_strong_med_lzd.bmd	wh2_main_lzd_lizardmen	328267053
VORTEX_BEAM_STRONG	prefabs\campaign\campaign_rituals_beam_vortex_strong_med_def.bmd	wh2_main_def_dark_elves	339128729
CITY_BROKEN	prefabs\campaign\campaign_rituals_settlement_broken_lzd.bmd	wh2_main_lzd_lizardmen	372466435
VORTEX_BEAM_BROKEN	prefabs\campaign\campaign_rituals_beam_vortex_broken_lrg_hef.bmd	wh2_main_hef_high_elves	400752027
CITY	prefabs\campaign\campaign_rituals_settlement_lzd.bmd	wh2_main_lzd_lizardmen	415876171
CITY_BEAM_WEEK	prefabs\campaign\campaign_rituals_beam_xlrg_hef.bmd	wh2_main_hef_high_elves	431729573
CITY_BEAM_STRONG	prefabs\campaign\campaign_rituals_beam_med_skv.bmd	wh2_main_skv_skaven	443793540
VORTEX_BEAM_MEDIUM	prefabs\campaign\campaign_rituals_beam_vortex_strong_xlrg_def.bmd	wh2_main_def_dark_elves	462820847
CITY_BEAM_BROKEN	prefabs\campaign\campaign_rituals_beam_small_broken_skv.bmd	wh2_main_skv_skaven	489189445
CITY_BEAM_WEEK	prefabs\campaign\campaign_rituals_beam_large_hef.bmd	wh2_main_hef_high_elves	519212788
VORTEX	prefabs/campaign/campaign_vortex_def.bmd	wh2_main_def_dark_elves	549098640
CITY_BEAM_BROKEN	prefabs\campaign\campaign_rituals_beam_large_broken_def.bmd	wh2_main_def_dark_elves	549436059
VORTEX_BEAM_WEEK	prefabs\campaign\campaign_rituals_beam_vortex_strong_lrg_def.bmd	wh2_main_def_dark_elves	55738800
CITY_BEAM_MEDIUM	prefabs\campaign\campaign_rituals_beam_small_hef.bmd	wh2_main_hef_high_elves	598350151
CITY_BEAM_STRONG	prefabs\campaign\campaign_rituals_beam_large_def.bmd	wh2_main_def_dark_elves	604253577
VORTEX_BEAM_STRONG	prefabs\campaign\campaign_rituals_beam_vortex_strong_xlrg_lzd.bmd	wh2_main_lzd_lizardmen	604444785
VORTEX_BEAM_WEEK	prefabs\campaign\campaign_rituals_beam_vortex_strong_def.bmd	wh2_main_def_dark_elves	61416768
CITY_BEAM_STRONG	prefabs\campaign\campaign_rituals_beam_med_hef.bmd	wh2_main_hef_high_elves	628381374
VORTEX_BEAM_STRONG	prefabs\campaign\campaign_rituals_beam_vortex_strong_lrg_def.bmd	wh2_main_def_dark_elves	630256433
CITY	prefabs\campaign\campaign_rituals_settlement_def.bmd	wh2_main_def_dark_elves	637676626
VORTEX_BEAM_WEEK	prefabs\campaign\campaign_rituals_beam_vortex_strong_xlrg_lzd.bmd	wh2_main_lzd_lizardmen	642214722
CITY_BEAM_STRONG	prefabs\campaign\campaign_rituals_beam_xlrg_skv.bmd	wh2_main_skv_skaven	650096436
VORTEX_BEAM_STRONG	prefabs\campaign\campaign_rituals_beam_vortex_strong_xlrg_skv.bmd	wh2_main_skv_skaven	660130664
CITY_BEAM_WEEK	prefabs\campaign\campaign_rituals_beam_med_lzd.bmd	wh2_main_lzd_lizardmen	661056440
CITY_BEAM_STRONG	prefabs\campaign\campaign_rituals_beam_med_lzd.bmd	wh2_main_lzd_lizardmen	672946190
VORTEX_BEAM_WEEK	prefabs\campaign\campaign_rituals_beam_vortex_strong_xlrg_skv.bmd	wh2_main_skv_skaven	682894303
VORTEX_BEAM_BROKEN	prefabs\campaign\campaign_rituals_beam_vortex_broken_lrg_lzd.bmd	wh2_main_lzd_lizardmen	689211055
VORTEX_BEAM_MEDIUM	prefabs\campaign\campaign_rituals_beam_vortex_strong_xlrg_skv.bmd	wh2_main_skv_skaven	692756837
VORTEX_BEAM_STRONG	prefabs\campaign\campaign_rituals_beam_vortex_strong_skv.bmd	wh2_main_skv_skaven	697643201
VORTEX_BEAM_WEEK	prefabs\campaign\campaign_rituals_beam_vortex_strong_lzd.bmd	wh2_main_lzd_lizardmen	70302634
VORTEX_BEAM_BROKEN	prefabs\campaign\campaign_rituals_beam_vortex_broken_lrg_def.bmd	wh2_main_def_dark_elves	713751258
CITY_BEAM_WEEK	prefabs\campaign\campaign_rituals_beam_large_lzd.bmd	wh2_main_lzd_lizardmen	743216719
CITY_BEAM_MEDIUM	prefabs\campaign\campaign_rituals_beam_large_hef.bmd	wh2_main_hef_high_elves	749177711
CITY_BEAM_BROKEN	prefabs\campaign\campaign_rituals_beam_small_broken_lzd.bmd	wh2_main_lzd_lizardmen	750960949
VORTEX_BEAM_WEEK	prefabs\campaign\campaign_rituals_beam_vortex_strong_lrg_hef.bmd	wh2_main_hef_high_elves	75224628
VORTEX_BEAM_WEEK	prefabs\campaign\campaign_rituals_beam_vortex_strong_med_def.bmd	wh2_main_def_dark_elves	762924536
VORTEX_BEAM_STRONG	prefabs\campaign\campaign_rituals_beam_vortex_strong_lrg_lzd.bmd	wh2_main_lzd_lizardmen	766406134
VORTEX_BEAM_MEDIUM	prefabs\campaign\campaign_rituals_beam_vortex_strong_lrg_def.bmd	wh2_main_def_dark_elves	772846393
CITY_BEAM_WEEK	prefabs\campaign\campaign_rituals_beam_xlrg_lzd.bmd	wh2_main_lzd_lizardmen	773984983
CITY_BEAM_WEEK	prefabs\campaign\campaign_rituals_beam_small_lzd.bmd	wh2_main_lzd_lizardmen	806537773
CITY_BEAM_STRONG	prefabs\campaign\campaign_rituals_beam_small_skv.bmd	wh2_main_skv_skaven	825303761
CITY_BEAM_BROKEN	prefabs\campaign\campaign_rituals_beam_broken_xlrg_def.bmd	wh2_main_def_dark_elves	848496462
CITY_BEAM_MEDIUM	prefabs\campaign\campaign_rituals_beam_large_lzd.bmd	wh2_main_lzd_lizardmen	871047308
CITY_BEAM_STRONG	prefabs\campaign\campaign_rituals_beam_small_def.bmd	wh2_main_def_dark_elves	87316635
VORTEX_BEAM_WEEK	prefabs\campaign\campaign_rituals_beam_vortex_strong_lrg_lzd.bmd	wh2_main_lzd_lizardmen	876115961
CITY_BROKEN	prefabs\campaign\campaign_rituals_settlement_broken_hef.bmd	wh2_main_hef_high_elves	88003869
VORTEX_BEAM_MEDIUM	prefabs\campaign\campaign_rituals_beam_vortex_strong_lrg_lzd.bmd	wh2_main_lzd_lizardmen	915544491
CITY_BEAM_MEDIUM	prefabs\campaign\campaign_rituals_beam_med_def.bmd	wh2_main_def_dark_elves	936075571
VORTEX_BEAM_STRONG	prefabs\campaign\campaign_rituals_beam_vortex_strong_lrg_skv.bmd	wh2_main_skv_skaven	968531917
VORTEX_BEAM_WEEK	prefabs\campaign\campaign_rituals_beam_vortex_strong_xlrg_hef.bmd	wh2_main_hef_high_elves	9705585
CITY_BEAM_MEDIUM	prefabs\campaign\campaign_rituals_beam_large_skv.bmd	wh2_main_skv_skaven	974331794
VORTEX_BEAM_MEDIUM	prefabs\campaign\campaign_rituals_beam_vortex_strong_xlrg_lzd.bmd	wh2_main_lzd_lizardmen	994810301
