audio_campaign_buildings_tables
0
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7	unknown8	unknown9	unknown10
wh_cam_settlement_minor_darkelves	Campaign_Environment_Dark_Elves_Settlement_Minor_Play	Campaign_Environment_Dark_Elves_Settlement_Minor_Stop	True	True		2	4	True	True	Campaign_Environment_Dark_Elves_Settlement_Minor_Selection_Play
wh_cam_settlement_minor_dwarf	Campaign_Environment_Dwarf_Settlement_Minor_Play	Campaign_Environment_Dwarf_Settlement_Minor_Stop	True	True		2	4	True	True	Campaign_Environment_Dwarf_Settlement_Selection
wh_cam_settlement_minor_empire	Campaign_Environment_Empire_Settlement_Minor_Play	Campaign_Environment_Empire_Settlement_Minor_Stop	True	True		2	4	True	True	Campaign_Environment_Empire_Settlement_Selection
wh_cam_settlement_minor_greenskin	Campaign_Environment_Greenskin_Settlement_Minor_Play	Campaign_Environment_Greenskin_Settlement_Minor_Stop	True	True		2	4	True	True	Campaign_Environment_Greenskin_Settlement_Selection
wh_cam_settlement_minor_highelves	Campaign_Environment_High_Elves_Settlement_Minor_Play	Campaign_Environment_High_Elves_Settlement_Minor_Stop	True	True		2	4	True	True	Campaign_Environment_High_Elves_Settlement_Minor_Selection_Play
wh_cam_settlement_minor_lizardmen	Campaign_Environment_Lizardmen_Settlement_Minor_Play	Campaign_Environment_Lizardmen_Settlement_Minor_Stop	True	True		2	4	True	True	Campaign_Environment_Lizardmen_Settlement_Minor_Selection_Play
wh_cam_settlement_minor_nordic	Campaign_Environment_Nordic_Settlement_Minor_Play	Campaign_Environment_Nordic_Settlement_Minor_Stop	True	True		2	4	True	True	Campaign_Environment_Nordic_Settlement_Selection
wh_cam_settlement_minor_rogue	Campaign_Environment_Greenskin_Settlement_Minor_Play	Campaign_Environment_Greenskin_Settlement_Minor_Stop	True	True		2	4	True	True	Campaign_Environment_Greenskin_Settlement_Selection
wh_cam_settlement_minor_skaven	Campaign_Environment_Skaven_Settlement_Minor_Play	Campaign_Environment_Skaven_Settlement_Minor_Stop	True	True		2	4	True	True	Campaign_Environment_Skaven_Settlement_Minor_Selection_Play
wh_cam_settlement_minor_vampire	Campaign_Environment_Vampire_Settlement_Minor_Play	Campaign_Environment_Vampire_Settlement_Minor_Stop	True	True		2	4	True	True	Campaign_Environment_Vampire_Settlement_Selection
wh_cam_settlement_skaven_port	Campaign_Environment_Skaven_Settlement_Port_Play	Campaign_Environment_Skaven_Settlement_Port_Stop	True	True		2	4	True	True	Campaign_Environment_Skaven_Settlement_Port_Selection_Play
wh_dlc05_wef_oak_of_ages_high_tier	Campaign_Environment_Wood_Elves_Oak_Of_Ages_High_Tier_Loop_Start	Campaign_Environment_Wood_Elves_Oak_Of_Ages_High_Tier_Loop_Stop	False	False		2	4	True	True	Campaign_Environment_Wood_Elves_Oak_Of_Ages_Selection
wh_dlc05_wef_oak_of_ages_low_tier	Campaign_Environment_Wood_Elves_Oak_Of_Ages_Low_Tier_Loop_Start	Campaign_Environment_Wood_Elves_Oak_Of_Ages_Low_Tier_Loop_Stop	False	False		2	4	True	True	Campaign_Environment_Wood_Elves_Oak_Of_Ages_Selection
wh_dlc05_wef_oak_of_ages_medium_tier	Campaign_Environment_Wood_Elves_Oak_Of_Ages_Medium_Tier_Loop_Start	Campaign_Environment_Wood_Elves_Oak_Of_Ages_Medium_Tier_Loop_Stop	False	False		2	4	True	True	Campaign_Environment_Wood_Elves_Oak_Of_Ages_Selection
wh_dlc05_wef_oak_of_ages_ruin	Campaign_Environment_Wood_Elves_Oak_Of_Ages_Ruined_Loop_Start	Campaign_Environment_Wood_Elves_Oak_Of_Ages_Ruined_Loop_Stop	True	True		2	4	True	True	Campaign_Environment_Wood_Elves_Oak_Of_Ages_Ruined_Selection
wh_dlc_cam_settlement_capital_wood_elves	Campaign_Environment_Wood_Elves_Settlement_Capital_Play	Campaign_Environment_Wood_Elves_Settlement_Capital_Stop	True	True		2	4	True	True	Campaign_Environment_Wood_Elves_Settlement_Selection
wh_dlc_cam_settlement_major_wood_elves	Campaign_Environment_Wood_Elves_Settlement_Major_Play	Campaign_Environment_Wood_Elves_Settlement_Major_Stop	True	True		2	4	True	True	Campaign_Environment_Wood_Elves_Settlement_Selection
wh_dlc_cam_settlement_minor_wood_elves	Campaign_Environment_Wood_Elves_Settlement_Minor_Play	Campaign_Environment_Wood_Elves_Settlement_Minor_Stop	True	True		2	4	True	True	Campaign_Environment_Wood_Elves_Settlement_Selection
