campaign_variables_tables
0
variable_key	value
base_wealth_increase	1000
baseline_pop_growth	0
battle_combat_outcome_prediction_non_artillery_missile_accuracy	0.5
besieged_attrition_force_size_threshold	0
blockaded_attrition_force_size_threshold	33
bonus_start_of_campaign_income_for_humans_on_easy_difficulty	2000
bonus_start_of_campaign_income_for_humans_on_normal_difficulty	1000
brige_battle_detection_path_distance	3
building_cultural_conversion_cost_mod	1
building_cultural_conversion_time_mod	1
building_min_conversion_cost	200
building_slum_creation_time	1
building_slum_dismantle_cost	500
camera_attila_far_z	500
camera_attila_fov	1.4
camera_attila_maximum_distance	20
camera_attila_maximum_height	45
camera_attila_maximum_tilt_angle	1.15
camera_attila_minimum_distance	6
camera_attila_minimum_height	7
camera_attila_minimum_tilt_angle	0.35
camera_attila_mousewheel_step_val	150
camera_attila_near_z	1
camera_tactical_transition_duration	0.5
camera_warhammer_far_z	500
camera_warhammer_far_z_max	600
camera_warhammer_fog_decrease_end	70
camera_warhammer_fog_decrease_start	65
camera_warhammer_forward_displacement	7
camera_warhammer_fov	1.2
camera_warhammer_maximum_height	300
camera_warhammer_maximum_tilt_angle	89.5
camera_warhammer_min_height_when_showing_geomantic_web	20
camera_warhammer_minimum_height	4
camera_warhammer_minimum_tilt_angle	27
camera_warhammer_minimum_tilt_angle_lowspec	47
camera_warhammer_mousewheel_faster_step_start_height	35
camera_warhammer_mousewheel_faster_step_val	30
camera_warhammer_mousewheel_step_val	3
camera_warhammer_near_z	1
camera_warhammer_parchment_blend_start	50
camera_warhammer_parchment_only_threshold	175
camera_warhammer_tilt_threshold_1	20
camera_warhammer_tilt_threshold_1_factor	0.1
camera_warhammer_tilt_threshold_2	70
camera_warhammer_tilt_threshold_2_factor	0.6
camera_warhammer_zoom_threshold_1	80
camera_warhammer_zoom_threshold_2	60
campaign_camera_max_height	17.302
campaign_hitpoints_unit_besieged_attrition_min_strength_percent	0.02
campaign_spline_colours_fifth_b	255
campaign_spline_colours_fifth_g	0
campaign_spline_colours_fifth_r	128
campaign_spline_colours_first_b	0
campaign_spline_colours_first_g	180
campaign_spline_colours_first_r	220
campaign_spline_colours_fourth_b	0
campaign_spline_colours_fourth_g	255
campaign_spline_colours_fourth_r	0
campaign_spline_colours_second_b	205
campaign_spline_colours_second_g	250
campaign_spline_colours_second_r	65
campaign_spline_colours_third_b	0
campaign_spline_colours_third_g	0
campaign_spline_colours_third_r	255
campaign_variable_display_interactable_marker_outline_border_alpha	200
campaign_variable_display_interactable_marker_outline_border_blue	255
campaign_variable_display_interactable_marker_outline_border_green	96
campaign_variable_display_interactable_marker_outline_border_red	43
campaign_variable_display_interactable_marker_outline_fill_alpha	150
campaign_variable_display_interactable_marker_outline_fill_blue	239
campaign_variable_display_interactable_marker_outline_fill_green	255
campaign_variable_display_interactable_marker_outline_fill_red	140
campaign_variable_loyalty_entire_army_defects	1
captured_units_prize_money_percent	10
captured_units_slaves_percent	10
cdir_unit_quality_accuracy_value	100
cdir_unit_quality_armour_value	100
cdir_unit_quality_charge_value	100
cdir_unit_quality_experience_value	50
cdir_unit_quality_morale_value	100
cdir_unit_quality_weapons_value	100
character_convalescence_time_base	5
character_creation_max_age	20
character_creation_min_age	19
character_follow_camera_catchup_minimum_height	25
character_follow_camera_catchup_minimum_height_distance	50
character_follow_camera_catchup_move_speed	50
character_follow_camera_catchup_rotate_speed	90
character_follow_camera_catchup_target_height_scale	0.7
character_follow_camera_follow_angle_cinematic	5
character_follow_camera_follow_angle_high	35
character_follow_camera_follow_angle_low	20
character_follow_camera_follow_angle_medium	35
character_follow_camera_follow_angle_veryhigh	89
character_follow_camera_follow_distance_cinematic	12
character_follow_camera_follow_distance_high	50
character_follow_camera_follow_distance_low	10
character_follow_camera_follow_distance_medium	30
character_follow_camera_follow_distance_veryhigh	90
character_follow_camera_follow_end_delay	30
character_follow_camera_follow_start_delay	20
character_follow_camera_zoomout_speed	1
character_recruitment_wife_chance	0
character_retirement_turns_until_available	5
civil_war_always_trigger_fame_level	7
civil_war_faction_starting_treasury_mod	20
civil_war_gravitas_threshold_multiplier	1
critical_loyalty_dilemma_generation_chance	50
destruction_zone_recovery_turns	5
difficulty_level_decrease_recommendation_hard_num_factions	5
difficulty_level_decrease_recommendation_hard_num_turns	10
difficulty_level_decrease_recommendation_hard_prestige_value	-50
difficulty_level_decrease_recommendation_normal_num_factions	5
difficulty_level_decrease_recommendation_normal_num_turns	10
difficulty_level_decrease_recommendation_normal_prestige_value	-60
difficulty_level_decrease_recommendation_very_hard_num_factions	5
difficulty_level_decrease_recommendation_very_hard_num_turns	10
difficulty_level_decrease_recommendation_very_hard_prestige_value	-40
difficulty_level_increase_recommendation_easy_num_factions	-1
difficulty_level_increase_recommendation_easy_num_turns	10
difficulty_level_increase_recommendation_easy_prestige_value	70
difficulty_level_increase_recommendation_hard_num_factions	-1
difficulty_level_increase_recommendation_hard_num_turns	10
difficulty_level_increase_recommendation_hard_prestige_value	50
difficulty_level_increase_recommendation_normal_num_factions	-1
difficulty_level_increase_recommendation_normal_num_turns	10
difficulty_level_increase_recommendation_normal_prestige_value	60
diplomacy_can_offer_break_client_state	1
diplomacy_can_offer_break_defensive_alliance	1
diplomacy_can_offer_break_military_alliance	1
diplomacy_can_offer_break_non_aggression_pact	1
diplomacy_can_offer_break_soft_military_access	1
diplomacy_can_offer_break_trade	1
diplomacy_can_offer_break_vassal	1
diplomacy_client_states_must_be_invited_into_defensive_wars	0
diplomacy_defensive_allies_must_be_invited_into_defensive_wars	0
diplomacy_masters_must_be_invited_into_defensive_wars	1
diplomacy_masters_must_be_invited_into_offensive_wars	1
diplomacy_maximum_client_or_vassal_regular_tribute_value	25000
diplomacy_military_allies_must_be_invited_into_defensive_wars	0
diplomacy_military_allies_must_be_invited_into_offensive_wars	0
diplomacy_protectors_must_be_invited_into_defensive_wars	0
diplomacy_refusing_to_join_client_state_in_defensive_war_breaks_treaty	1
diplomacy_refusing_to_join_client_state_in_defensive_war_declares_war	0
diplomacy_refusing_to_join_defensive_ally_in_defensive_war_breaks_treaty	1
diplomacy_refusing_to_join_master_in_defensive_war_breaks_treaty	0
diplomacy_refusing_to_join_master_in_defensive_war_declares_war	1
diplomacy_refusing_to_join_master_in_offensive_war_breaks_treaty	0
diplomacy_refusing_to_join_master_in_offensive_war_declares_war	1
diplomacy_refusing_to_join_military_ally_in_defensive_war_breaks_treaty	1
diplomacy_refusing_to_join_military_ally_in_offensive_war_breaks_treaty	1
diplomacy_refusing_to_join_protector_in_defensive_war_breaks_treaty	1
diplomacy_refusing_to_join_protector_in_defensive_war_declares_war	0
diplomacy_refusing_to_join_vassal_in_defensive_war_breaks_treaty	1
diplomacy_refusing_to_join_vassal_in_defensive_war_declares_war	0
diplomacy_refusing_to_join_vassal_in_offensive_war_breaks_treaty	1
diplomacy_refusing_to_join_vassal_in_offensive_war_declares_war	0
diplomacy_regionless_factions_retain_clients_and_vassals	0
diplomacy_show_trespass_message_each_turn	0
diplomacy_smallest_payment	300
diplomacy_turns_of_embargo_on_break_trade	0
diplomacy_vassals_must_be_invited_into_defensive_wars	1
diplomacy_vassals_must_be_invited_into_offensive_wars	1
display_building_scale	0.8
display_camera_pre_battle_zoom	1.12
display_movement_extents_agents_disabled_border_colour_alpha	255
display_movement_extents_agents_disabled_border_colour_blue	96
display_movement_extents_agents_disabled_border_colour_green	96
display_movement_extents_agents_disabled_border_colour_red	96
display_movement_extents_agents_disabled_fill_colour_blue	160
display_movement_extents_agents_disabled_fill_colour_green	160
display_movement_extents_agents_disabled_fill_colour_red	160
display_movement_extents_agents_owned_border_colour_alpha	255
display_movement_extents_agents_owned_border_colour_blue	197
display_movement_extents_agents_owned_border_colour_green	240
display_movement_extents_agents_owned_border_colour_red	255
display_movement_extents_agents_owned_fill_colour_blue	47
display_movement_extents_agents_owned_fill_colour_green	195
display_movement_extents_agents_owned_fill_colour_red	245
display_movement_extents_agents_unowned_border_colour_alpha	255
display_movement_extents_agents_unowned_border_colour_blue	0
display_movement_extents_agents_unowned_border_colour_green	0
display_movement_extents_agents_unowned_border_colour_red	5
display_movement_extents_agents_unowned_fill_colour_blue	12
display_movement_extents_agents_unowned_fill_colour_green	12
display_movement_extents_agents_unowned_fill_colour_red	160
display_movement_extents_border_length	0.5
display_movement_extents_fade_time	0.3
display_movement_extents_interior_alpha	0.01
display_movement_extents_normal_disabled_border_colour_alpha	255
display_movement_extents_normal_disabled_border_colour_blue	96
display_movement_extents_normal_disabled_border_colour_green	96
display_movement_extents_normal_disabled_border_colour_red	96
display_movement_extents_normal_disabled_fill_colour_blue	160
display_movement_extents_normal_disabled_fill_colour_green	160
display_movement_extents_normal_disabled_fill_colour_red	160
display_movement_extents_normal_owned_border_colour_alpha	128
display_movement_extents_normal_owned_border_colour_blue	197
display_movement_extents_normal_owned_border_colour_green	240
display_movement_extents_normal_owned_border_colour_red	255
display_movement_extents_normal_owned_fill_colour_blue	47
display_movement_extents_normal_owned_fill_colour_green	195
display_movement_extents_normal_owned_fill_colour_red	245
display_movement_extents_normal_unowned_border_colour_alpha	255
display_movement_extents_normal_unowned_border_colour_blue	0
display_movement_extents_normal_unowned_border_colour_green	0
display_movement_extents_normal_unowned_border_colour_red	5
display_movement_extents_normal_unowned_fill_colour_blue	12
display_movement_extents_normal_unowned_fill_colour_green	12
display_movement_extents_normal_unowned_fill_colour_red	160
display_movement_extents_origin_alpha	0.2
display_movement_extents_origin_fringe_width	1
display_movement_extents_perimeter_alpha	0.3
display_movement_extents_perimeter_fringe_width	0.5
display_movement_extents_tunnels_disabled_border_colour_alpha	255
display_movement_extents_tunnels_disabled_border_colour_blue	96
display_movement_extents_tunnels_disabled_border_colour_green	96
display_movement_extents_tunnels_disabled_border_colour_red	96
display_movement_extents_tunnels_disabled_fill_colour_blue	160
display_movement_extents_tunnels_disabled_fill_colour_green	160
display_movement_extents_tunnels_disabled_fill_colour_red	160
display_movement_extents_tunnels_owned_border_colour_alpha	255
display_movement_extents_tunnels_owned_border_colour_blue	0
display_movement_extents_tunnels_owned_border_colour_green	0
display_movement_extents_tunnels_owned_border_colour_red	0
display_movement_extents_tunnels_owned_fill_colour_blue	75
display_movement_extents_tunnels_owned_fill_colour_green	150
display_movement_extents_tunnels_owned_fill_colour_red	200
display_movement_extents_tunnels_unowned_border_colour_alpha	255
display_movement_extents_tunnels_unowned_border_colour_blue	0
display_movement_extents_tunnels_unowned_border_colour_green	0
display_movement_extents_tunnels_unowned_border_colour_red	5
display_movement_extents_tunnels_unowned_fill_colour_blue	12
display_movement_extents_tunnels_unowned_fill_colour_green	12
display_movement_extents_tunnels_unowned_fill_colour_red	160
display_settlement_area_land_border_colour_alpha	0
display_settlement_area_land_border_colour_blue	197
display_settlement_area_land_border_colour_green	240
display_settlement_area_land_border_colour_red	255
display_settlement_area_land_border_length	0.5
display_settlement_area_land_fade_time	0.3
display_settlement_area_land_fill_colour_blue	47
display_settlement_area_land_fill_colour_green	195
display_settlement_area_land_fill_colour_red	245
display_settlement_area_land_interior_alpha	0
display_settlement_area_land_origin_alpha	0
display_settlement_area_land_origin_fringe_width	1
display_settlement_area_land_perimeter_alpha	0
display_settlement_area_land_perimeter_fringe_width	1
display_settlement_area_sea_border_colour_alpha	0
display_settlement_area_sea_border_colour_blue	47
display_settlement_area_sea_border_colour_green	195
display_settlement_area_sea_border_colour_red	245
display_settlement_area_sea_border_length	0.5
display_settlement_area_sea_fade_time	0.3
display_settlement_area_sea_fill_colour_blue	255
display_settlement_area_sea_fill_colour_green	245
display_settlement_area_sea_fill_colour_red	245
display_settlement_area_sea_interior_alpha	0
display_settlement_area_sea_origin_alpha	0
display_settlement_area_sea_origin_fringe_width	0
display_settlement_area_sea_perimeter_alpha	0
display_settlement_area_sea_perimeter_fringe_width	1
display_trade_naval_route_colour_enemy_and_neutral_blockaded_blue	0
display_trade_naval_route_colour_enemy_and_neutral_blockaded_green	0
display_trade_naval_route_colour_enemy_and_neutral_blockaded_red	255
display_trade_naval_route_colour_enemy_and_neutral_blue	0
display_trade_naval_route_colour_enemy_and_neutral_green	0
display_trade_naval_route_colour_enemy_and_neutral_red	255
display_trade_naval_route_colour_enemy_blockaded_and_neutral_blockaded_blue	0
display_trade_naval_route_colour_enemy_blockaded_and_neutral_blockaded_green	0
display_trade_naval_route_colour_enemy_blockaded_and_neutral_blockaded_red	127
display_trade_naval_route_colour_enemy_blockaded_and_neutral_blue	0
display_trade_naval_route_colour_enemy_blockaded_and_neutral_green	0
display_trade_naval_route_colour_enemy_blockaded_and_neutral_red	127
display_trade_naval_route_colour_enemy_blockaded_blue	0
display_trade_naval_route_colour_enemy_blockaded_green	0
display_trade_naval_route_colour_enemy_blockaded_red	127
display_trade_naval_route_colour_enemy_blue	0
display_trade_naval_route_colour_enemy_green	0
display_trade_naval_route_colour_enemy_red	255
display_trade_naval_route_colour_neutral_blockaded_blue	255
display_trade_naval_route_colour_neutral_blockaded_green	255
display_trade_naval_route_colour_neutral_blockaded_red	255
display_trade_naval_route_colour_neutral_blue	255
display_trade_naval_route_colour_neutral_green	255
display_trade_naval_route_colour_neutral_red	255
display_trade_naval_route_colour_owned_and_enemy_and_neutral_blockaded_blue	0
display_trade_naval_route_colour_owned_and_enemy_and_neutral_blockaded_green	150
display_trade_naval_route_colour_owned_and_enemy_and_neutral_blockaded_red	255
display_trade_naval_route_colour_owned_and_enemy_and_neutral_blue	0
display_trade_naval_route_colour_owned_and_enemy_and_neutral_green	150
display_trade_naval_route_colour_owned_and_enemy_and_neutral_red	255
display_trade_naval_route_colour_owned_and_enemy_blockaded_and_neutral_blockaded_blue	0
display_trade_naval_route_colour_owned_and_enemy_blockaded_and_neutral_blockaded_green	150
display_trade_naval_route_colour_owned_and_enemy_blockaded_and_neutral_blockaded_red	255
display_trade_naval_route_colour_owned_and_enemy_blockaded_and_neutral_blue	0
display_trade_naval_route_colour_owned_and_enemy_blockaded_and_neutral_green	150
display_trade_naval_route_colour_owned_and_enemy_blockaded_and_neutral_red	255
display_trade_naval_route_colour_owned_and_enemy_blockaded_blue	0
display_trade_naval_route_colour_owned_and_enemy_blockaded_green	150
display_trade_naval_route_colour_owned_and_enemy_blockaded_red	255
display_trade_naval_route_colour_owned_and_enemy_blue	0
display_trade_naval_route_colour_owned_and_enemy_green	150
display_trade_naval_route_colour_owned_and_enemy_red	255
display_trade_naval_route_colour_owned_and_neutral_blockaded_blue	20
display_trade_naval_route_colour_owned_and_neutral_blockaded_green	200
display_trade_naval_route_colour_owned_and_neutral_blockaded_red	240
display_trade_naval_route_colour_owned_and_neutral_blue	20
display_trade_naval_route_colour_owned_and_neutral_green	200
display_trade_naval_route_colour_owned_and_neutral_red	240
display_trade_naval_route_colour_owned_blockaded_and_enemy_and_neutral_blockaded_blue	0
display_trade_naval_route_colour_owned_blockaded_and_enemy_and_neutral_blockaded_green	140
display_trade_naval_route_colour_owned_blockaded_and_enemy_and_neutral_blockaded_red	170
display_trade_naval_route_colour_owned_blockaded_and_enemy_and_neutral_blue	0
display_trade_naval_route_colour_owned_blockaded_and_enemy_and_neutral_green	140
display_trade_naval_route_colour_owned_blockaded_and_enemy_and_neutral_red	170
display_trade_naval_route_colour_owned_blockaded_and_enemy_blockaded_and_neutral_blockaded_blue	0
display_trade_naval_route_colour_owned_blockaded_and_enemy_blockaded_and_neutral_blockaded_green	140
display_trade_naval_route_colour_owned_blockaded_and_enemy_blockaded_and_neutral_blockaded_red	170
display_trade_naval_route_colour_owned_blockaded_and_enemy_blockaded_and_neutral_blue	0
display_trade_naval_route_colour_owned_blockaded_and_enemy_blockaded_and_neutral_green	140
display_trade_naval_route_colour_owned_blockaded_and_enemy_blockaded_and_neutral_red	170
display_trade_naval_route_colour_owned_blockaded_and_enemy_blockaded_blue	0
display_trade_naval_route_colour_owned_blockaded_and_enemy_blockaded_green	140
display_trade_naval_route_colour_owned_blockaded_and_enemy_blockaded_red	170
display_trade_naval_route_colour_owned_blockaded_and_enemy_blue	0
display_trade_naval_route_colour_owned_blockaded_and_enemy_green	140
display_trade_naval_route_colour_owned_blockaded_and_enemy_red	170
display_trade_naval_route_colour_owned_blockaded_and_neutral_blockaded_blue	0
display_trade_naval_route_colour_owned_blockaded_and_neutral_blockaded_green	140
display_trade_naval_route_colour_owned_blockaded_and_neutral_blockaded_red	170
display_trade_naval_route_colour_owned_blockaded_and_neutral_blue	0
display_trade_naval_route_colour_owned_blockaded_and_neutral_green	140
display_trade_naval_route_colour_owned_blockaded_and_neutral_red	170
display_trade_naval_route_colour_owned_blockaded_blue	0
display_trade_naval_route_colour_owned_blockaded_green	140
display_trade_naval_route_colour_owned_blockaded_red	170
display_trade_naval_route_colour_owned_blue	20
display_trade_naval_route_colour_owned_green	200
display_trade_naval_route_colour_owned_red	240
display_trade_route_fade_distance	0.8
display_trade_route_fade_time	3000
display_trade_route_maximum_flow_scale	0.65
display_trade_route_maximum_flow_time	95000
display_trade_route_maximum_flow_value	10000
display_trade_route_minimum_flow_scale	0.65
display_trade_route_minimum_flow_time	195000
display_trade_route_minimum_flow_value	0
display_trade_route_sea_cost	0.5
display_trade_route_trader_offset	0.08500001
display_trade_route_trader_speed	0.1
display_tunnel_interception_path_blue	192
display_tunnel_interception_path_end_fade_length	0.5
display_tunnel_interception_path_fade_time	1
display_tunnel_interception_path_green	192
display_tunnel_interception_path_red	192
display_tunnel_interception_path_tiling_scale	0
display_tunnel_interception_path_width	0.25
display_vortex_enabled	0
display_vortex_fade_distance	30
display_vortex_fade_in_time	0.5
display_vortex_fade_out_time	0.5
display_vortex_position_x	348.5
display_vortex_position_y	1
display_vortex_position_z	387.2
display_zone_of_control_ambush_border_colour_alpha	255
display_zone_of_control_ambush_border_colour_blue	0
display_zone_of_control_ambush_border_colour_green	0
display_zone_of_control_ambush_border_colour_red	5
display_zone_of_control_ambush_fill_colour_blue	12
display_zone_of_control_ambush_fill_colour_green	12
display_zone_of_control_ambush_fill_colour_red	110
display_zone_of_control_border_length	0.5
display_zone_of_control_fade_time	0.5
display_zone_of_control_interior_alpha	0
display_zone_of_control_origin_alpha	0
display_zone_of_control_origin_fringe_width	0
display_zone_of_control_owned_border_colour_alpha	0
display_zone_of_control_owned_border_colour_blue	0
display_zone_of_control_owned_border_colour_green	0
display_zone_of_control_owned_border_colour_red	5
display_zone_of_control_owned_fill_colour_blue	12
display_zone_of_control_owned_fill_colour_green	12
display_zone_of_control_owned_fill_colour_red	110
display_zone_of_control_perimeter_alpha	0.2
display_zone_of_control_perimeter_fringe_width	0.5
display_zone_of_control_unowned_border_colour_alpha	255
display_zone_of_control_unowned_border_colour_blue	0
display_zone_of_control_unowned_border_colour_green	0
display_zone_of_control_unowned_border_colour_red	5
display_zone_of_control_unowned_fill_colour_blue	12
display_zone_of_control_unowned_fill_colour_green	12
display_zone_of_control_unowned_fill_colour_red	110
economic_power_gdp_factor	8000
economic_power_max	4
economic_power_min	0.2
economic_power_treasury_factor	10000
economic_wealth_category_threshold_moderate	2
economic_wealth_category_threshold_strong	3
economic_wealth_category_threshold_very_strong	4
economic_wealth_category_threshold_weak	1
economic_wealth_max_amount_moderate	5000
economic_wealth_max_amount_strong	7500
economic_wealth_max_amount_very_strong	10000
economic_wealth_max_amount_very_weak	2000
economic_wealth_max_amount_weak	3000
economics_additional_tribute_percentage_per_settled_horde_unit	0.5
economics_max_additional_tribute_percentage_for_settled_hordes	10
enable_scripted_pathfinding_restrictions	0
enemy_win_chance_threshold_over_which_minimum_unit_xp_gains_apply	35
enslave_captives_hitpoints_replenished_per_man_captured	30
enslave_captives_maximum_replenishment_difference_scale	2
enslave_captives_maximum_replenishment_percentage_ai_vs_easy	8
enslave_captives_maximum_replenishment_percentage_ai_vs_hard	12
enslave_captives_maximum_replenishment_percentage_ai_vs_legendary	20
enslave_captives_maximum_replenishment_percentage_ai_vs_normal	10
enslave_captives_maximum_replenishment_percentage_ai_vs_very_hard	15
enslave_captives_maximum_replenishment_percentage_human_easy	20
enslave_captives_maximum_replenishment_percentage_human_hard	12
enslave_captives_maximum_replenishment_percentage_human_legendary	8
enslave_captives_maximum_replenishment_percentage_human_normal	15
enslave_captives_maximum_replenishment_percentage_human_very_hard	10
enslave_captives_minimum_replenishment_percentage_ai_vs_easy	2
enslave_captives_minimum_replenishment_percentage_ai_vs_hard	3
enslave_captives_minimum_replenishment_percentage_ai_vs_legendary	5
enslave_captives_minimum_replenishment_percentage_ai_vs_normal	2
enslave_captives_minimum_replenishment_percentage_ai_vs_very_hard	4
enslave_captives_minimum_replenishment_percentage_human_easy	5
enslave_captives_minimum_replenishment_percentage_human_hard	4
enslave_captives_minimum_replenishment_percentage_human_legendary	2
enslave_captives_minimum_replenishment_percentage_human_normal	5
enslave_captives_minimum_replenishment_percentage_human_very_hard	3
enslave_captives_replenishment_percentage_ai_vs_easy	50
enslave_captives_replenishment_percentage_ai_vs_hard	70
enslave_captives_replenishment_percentage_ai_vs_legendary	100
enslave_captives_replenishment_percentage_ai_vs_normal	50
enslave_captives_replenishment_percentage_ai_vs_very_hard	90
enslave_captives_replenishment_percentage_human_easy	100
enslave_captives_replenishment_percentage_human_hard	90
enslave_captives_replenishment_percentage_human_legendary	50
enslave_captives_replenishment_percentage_human_normal	100
enslave_captives_replenishment_percentage_human_very_hard	70
enslave_captives_slaves_gained_multiplier	1
faction_gdp_other	2500
faction_gdp_other_minor	2500
factionwide_recruitment_time_base_multiplier	2
factionwide_recruitment_time_period_mod	5
family_age_of_adulthood	16
family_age_of_guaranteed_adulthood	18
family_base_child_chance	5
family_base_child_chance_reduction_per_child	4
family_base_illegitimate_child_chance	65
family_base_illegitimate_child_chance_reduction_per_child	3
family_base_wife_chance	5
family_bastard_gravitas_limit	100
family_bride_search_cost	40
family_chance_of_adulthood	8
family_emergent_faction_leader_maximum_age	40
family_emergent_faction_leader_minimum_age	30
family_husband_decreasing_child_chance_age	30
family_husband_decreasing_child_chance_period	5
family_husband_decreasing_child_chance_value	4
family_infant_mortality_chance_very_young	10
family_infant_mortality_chance_young	10
family_male_child_chance	65
family_rounds_between_children	4
family_rounds_between_marriage_and_first_child	4
family_rounds_between_wife_offers	8
family_turns_before_any_chance_of_adulthood	4
family_wife_barren_age	50
family_wife_chance_increase_period	8
family_wife_chance_increase_value	3
famous_battles_chance_of_adding_ai_battle	100
famous_battles_max_allowed	200
famous_battles_minimum_casualties_required	2150
famous_battles_minimum_force_required	1000
famous_battles_minimum_units_per_side	14
floating_text_pause_campaign_duration	3
food_shortage_system_food_cap	200
food_shortage_system_food_shortage_cap_global_mod	3
food_shortage_system_growth_mod_cap	6
food_shortage_system_income_cap	350
food_shortage_system_income_scale	1
food_shortage_system_local_food_shortages_food_cap	100
food_shortage_system_local_food_shortages_penalty_cap_horde	5
food_shortage_system_local_food_shortages_penalty_cap_non_horde	5
