effect_bonus_value_battle_context_junctions_tables
0
battle_context_key	bonus_value_id	effect_key
fighting_culture_lizardmen	morale	wh2_main_effect_force_unit_stat_morale_versus_lizardmen
fighting_culture_rogue_armies	morale	wh2_main_effect_force_unit_stat_morale_versus_rogue_armies
fighting_culture_skaven	morale	wh2_main_effect_force_unit_stat_morale_versus_skaven
fighting_culture_wood_elves	morale	wh2_main_effect_force_unit_stat_morale_versus_wood_elves
fighting_faction_bretonnia	morale	wh_dlc03_effect_bonus_morale_fighting_against_bretonnia
fighting_faction_carroburg	morale	wh_dlc03_effect_bonus_morale_fighting_against_carroburg
fighting_faction_empire	morale	wh_dlc03_effect_bonus_morale_fighting_against_empire
fighting_faction_hochland	morale	wh_dlc03_effect_bonus_morale_fighting_against_hochland
fighting_faction_middenland	morale	wh_dlc03_effect_bonus_morale_fighting_against_middenheim
fighting_ground_type_forest	unit_damage_resistance_physical_mod	wh_dlc05_effect_bonus_damage_reduction_when_in_forest
fighting_ground_type_forest	morale	wh_dlc05_effect_bonus_leadership_when_in_forest
fighting_ground_type_forest	melee_attack_mod	wh_dlc05_effect_force_army_battle_melee_attack_during_forest
fighting_force_status_yours_defending	ammo_mod	wh_dlc05_effect_force_army_battle_unit_ammo_siege_defence
fighting_force_status_yours_defending	reload_mod	wh_dlc05_effect_force_army_battle_unit_reload_speed_siege_defence
fighting_culture_beastmen	melee_attack_mod	wh_dlc05_effect_force_melee_attack_stat_morale_versus_beastmen
fighting_culture_beastmen	missile_damage_mod_mult	wh_dlc05_effect_force_range_attack_stat_morale_versus_beastmen
fighting_culture_beastmen	morale	wh_dlc05_effect_force_unit_stat_morale_versus_beastmen
fighting_ground_type_forest	reload_mod	wh_dlc05_effect_reload_time_when_in_forest
fighting_culture_chaos	melee_damage_ap_mod_mult	wh_dlc06_effect_bonus_damage_fighting_against_chaos
fighting_culture_chaos	melee_damage_mod_mult	wh_dlc06_effect_bonus_damage_fighting_against_chaos
fighting_culture_vampire_counts	morale	wh_dlc07_effect_bonus_morale_fighting_against_vampires
fighting_culture_chaos	melee_damage_ap_mod_mult	wh_dlc08_effect_bonus_ap_damage_personal_against_chaos
fighting_culture_chaos	melee_damage_mod_mult	wh_dlc08_effect_bonus_ap_damage_personal_against_chaos
fighting_culture_greenskins	melee_damage_ap_mod_mult	wh_dlc08_effect_bonus_ap_damage_personal_against_greenskins
fighting_culture_greenskins	melee_damage_mod_mult	wh_dlc08_effect_bonus_ap_damage_personal_against_greenskins
fighting_culture_vampire_counts	melee_damage_ap_mod_mult	wh_dlc08_effect_bonus_ap_damage_personal_against_vampires
fighting_culture_vampire_counts	melee_damage_mod_mult	wh_dlc08_effect_bonus_ap_damage_personal_against_vampires
fighting_culture_chaos	melee_attack_mod	wh_dlc08_effect_bonus_melee_attack_fighting_against_chaos
fighting_culture_greenskins	melee_attack_mod	wh_dlc08_effect_bonus_melee_attack_fighting_against_greenskins
fighting_culture_empire_and_bretonnia	melee_attack_mod	wh_dlc08_effect_bonus_melee_attack_fighting_against_human
fighting_culture_vampire_counts	melee_attack_mod	wh_dlc08_effect_bonus_melee_attack_fighting_against_vampires
fighting_culture_any_elves	melee_attack_mod	wh_dlc08_effect_bonus_melee_attack_fighting_against_woodelves
fighting_culture_greenskins	morale	wh_dlc08_effect_bonus_morale_fighting_against_greenskins
fighting_culture_empire_and_bretonnia	morale	wh_dlc08_effect_bonus_morale_fighting_against_human
fighting_culture_vampire_counts	morale	wh_dlc08_effect_bonus_morale_fighting_against_vampires
fighting_culture_any_elves	morale	wh_dlc08_effect_bonus_morale_fighting_against_woodelves
fighting_culture_wood_elves	morale	wh_main_effect_bonus_morale_fighting_against_wood_elves
fighting_force_status_theirs_besieging	melee_defence_mod	wh_main_effect_force_army_battle_unit_melee_defence_siege_defence
fighting_force_status_yours_ambushing	morale	wh_main_effect_force_army_battle_unit_morale_during_ambushes
fighting_ground_type_forest	morale	wh_main_effect_force_army_battle_unit_morale_during_forest
fighting_force_status_yours_attacking	morale	wh_main_effect_force_army_battle_unit_morale_land_attack
fighting_force_status_yours_defending	morale	wh_main_effect_force_army_battle_unit_morale_land_defence
fighting_force_status_yours_besieging	morale	wh_main_effect_force_army_battle_unit_morale_siege_attack
fighting_force_status_theirs_besieging	morale	wh_main_effect_force_army_battle_unit_morale_siege_defence
fighting_force_status_theirs_raiding_army	morale	wh_main_effect_force_army_battle_unit_morale_versus_raider_armies
fighting_force_status_yours_escorting	missile_damage_mod_mult	wh_main_effect_force_navy_battle_melee_defence_when_escorting
fighting_force_status_theirs_blockading	ship_ram_damage_mod	wh_main_effect_force_navy_battle_ramming_bonus_during_blockade
fighting_force_status_yours_attacking_at_sea	melee_attack_mod	wh_main_effect_force_navy_battle_unit_melee_attack_sea_attack
fighting_force_status_yours_blockading	morale	wh_main_effect_force_navy_battle_unit_morale_blockade_attack
fighting_force_status_yours_attacking_battle_type_break_out	morale	wh_main_effect_force_navy_battle_unit_morale_blockade_defence
fighting_battle_type_blockade	morale	wh_main_effect_force_navy_battle_unit_morale_blockade
fighting_force_status_yours_attacking_at_sea	morale	wh_main_effect_force_navy_battle_unit_morale_sea_attack
fighting_force_status_yours_defending_at_sea	morale	wh_main_effect_force_navy_battle_unit_morale_sea_defence
fighting_force_status_theirs_raiding_fleet	morale	wh_main_effect_force_navy_battle_unit_morale_versus_raider_fleets
fighting_force_status_yours_escorting	morale	wh_main_effect_force_navy_battle_unit_morale_when_escorting
fighting_territory_enemy_or_neutral_navy	xp_gain_rate_mod	wh_main_effect_force_navy_campaign_upkeep_naval_in_foreign_waters
fighting_culture_chaos	melee_attack_mod	wh_main_effect_force_unit_stat_melee_attack_versus_chaos
fighting_culture_greenskins	melee_attack_mod	wh_main_effect_force_unit_stat_melee_attack_versus_greenskins
fighting_force_status_yours_attacking	melee_damage_ap_mod_mult	wh_main_effect_force_unit_stat_melee_damage_attacking
fighting_force_status_yours_attacking	melee_damage_mod_mult	wh_main_effect_force_unit_stat_melee_damage_attacking
fighting_culture_greenskins	melee_damage_ap_mod_mult	wh_main_effect_force_unit_stat_melee_damage_versus_greenskins
fighting_culture_greenskins	melee_damage_mod_mult	wh_main_effect_force_unit_stat_melee_damage_versus_greenskins
fighting_battle_type_subterranean	melee_attack_mod	wh_main_effect_force_unit_stat_melee_during_subterranean
fighting_force_status_yours_attacking	morale	wh_main_effect_force_unit_stat_morale_attacking
fighting_force_status_yours_defending	morale	wh_main_effect_force_unit_stat_morale_defending
fighting_force_status_yours_night	morale	wh_main_effect_force_unit_stat_morale_during_night
fighting_battle_type_siege_subterranean	morale	wh_main_effect_force_unit_stat_morale_during_siege_subterranean
fighting_battle_type_subterranean	morale	wh_main_effect_force_unit_stat_morale_during_subterranean
fighting_territory_enemy_or_neutral	morale	wh_main_effect_force_unit_stat_morale_foreign_territory
fighting_territory_own_or_allied	morale	wh_main_effect_force_unit_stat_morale_own_territory
fighting_culture_beastmen	morale	wh_main_effect_force_unit_stat_morale_versus_beastmen
fighting_culture_chaos	morale	wh_main_effect_force_unit_stat_morale_versus_chaos
fighting_culture_dwarfs	morale	wh_main_effect_force_unit_stat_morale_versus_dwarfs
fighting_culture_greenskins	morale	wh_main_effect_force_unit_stat_morale_versus_greenskins
fighting_culture_empire_and_bretonnia	morale	wh_main_effect_force_unit_stat_morale_versus_men
fighting_force_status_theirs_rebels	morale	wh_main_effect_force_unit_stat_morale_versus_rebels
fighting_culture_vampire_counts	morale	wh_main_effect_force_unit_stat_morale_versus_vampire_counts
fighting_culture_wood_elves	unit_damage_resistance_missile_mod	wh_main_effect_force_ward_save_missile_fighting_wood_elves
fighting_battle_type_ambush	general_aoe_mod	wh_main_effect_general_aura_mod_all_during_ambush
fighting_force_status_yours_besieging	general_aoe_mod	wh_main_effect_general_aura_mod_all_during_attack_siege
fighting_force_status_yours_attacking	general_aoe_mod	wh_main_effect_general_aura_mod_all_during_attack
fighting_force_status_theirs_besieging	general_aoe_mod	wh_main_effect_general_aura_mod_all_during_defence_siege
fighting_force_status_yours_defending	general_aoe_mod	wh_main_effect_general_aura_mod_all_during_defence
fighting_battle_type_night	general_aoe_mod	wh_main_effect_general_aura_mod_all_during_night
fighting_chaos_factions	general_aoe_mod	wh_main_effect_general_aura_mod_fighting_chaos
fighting_norscan_factions	melee_attack_mod	wh_main_effect_tech_melee_attack_increase_fighting_norsca
fighting_norscan_factions	melee_defence_mod	wh_main_effect_tech_melee_defence_increase_fighting_norsca
fighting_culture_greenskins	xp_gain_rate_mod	wh_main_effect_tech_xp_gain_increase_greenskins
fighting_norscan_factions	xp_gain_rate_mod	wh_main_effect_tech_xp_gain_increase_norsca
fighting_force_status_theirs_besieging	ammo_mod	wh_main_effect_unit_stat_ammunition_siege_defence
fighting_culture_chaos	damage_vs_large_entities	wh_main_effect_unit_stat_mod_bonus_v_large_fighting_chaos
fighting_force_status_yours_defending	melee_damage_ap_mod_add	wh_pro01_effect_force_unit_stat_attack_defending
fighting_force_status_yours_defending	melee_defence_mod	wh_pro01_effect_force_unit_stat_defence_defending
