ancillary_types_tables
0
type	ui_icon
wh2_main_anc_mount_terradon	ui/campaign ui/mounts/mount_terradon.png
wh2_main_anc_skv_assassin	ui/campaign ui/ancillaries/wh2_main_anc_skv_assassin.png
wh2_main_anc_skv_sea_cucumber	ui/campaign ui/ancillaries/wh_dlc03_anc_mark_of_chaos_slug_skin.png
wh2_main_anc_skv_servant	ui/campaign ui/ancillaries/wh2_main_anc_skv_servant.png
wh2_main_anc_skv_warplock_engineer	ui/campaign ui/ancillaries/wh2_main_anc_skv_warplock_engineer.png
wh2_main_anc_skv_warrior	ui/campaign ui/ancillaries/wh2_main_anc_skv_warrior.png
wh_dlc03_anc_beastmen_bray_shaman	ui/campaign ui/ancillaries/wh_dlc03_anc_beastmen_bray_shaman.png
wh_dlc03_anc_beastmen_gor	ui/campaign ui/ancillaries/wh_dlc03_anc_beastmen_gor.png
wh_dlc03_anc_beastmen_gor_2	ui/campaign ui/ancillaries/wh_dlc03_anc_beastmen_gor2.png
wh_dlc03_anc_beastmen_harpy	ui/campaign ui/ancillaries/wh_dlc03_anc_beastmen_harpy.png
wh_dlc03_anc_beastmen_hound	ui/campaign ui/ancillaries/wh_dlc03_anc_beastmen_hound.png
wh_dlc03_anc_beastmen_ungor	ui/campaign ui/ancillaries/wh_dlc03_anc_beastmen_ungor.png
wh_dlc03_anc_magic_standard_banner_of_outrage	ui/campaign ui/ancillaries/wh_dlc03_anc_magic_standard_banner_of_outrage.png
wh_dlc03_anc_magic_standard_banner_of_the_fallen_kings	ui/campaign ui/ancillaries/wh_dlc03_anc_magic_standard_banner_of_the_fallen_kings.png
wh_dlc03_anc_magic_standard_manbane_standard	ui/campaign ui/ancillaries/wh_dlc03_anc_magic_standard_manbane_standard.png
wh_dlc03_anc_magic_standard_the_beast_banner	ui/campaign ui/ancillaries/wh_dlc03_anc_magic_standard_the_beast_banner.png
wh_dlc03_anc_magic_standard_totem_of_rust	ui/campaign ui/ancillaries/wh_dlc03_anc_magic_standard_totem_of_rust.png
wh_dlc03_anc_mark_of_chaos_crown_of_horns	ui/campaign ui/ancillaries/wh_dlc03_anc_mark_of_chaos_crown_of_horns.png
wh_dlc03_anc_mark_of_chaos_gnarled_hide	ui/campaign ui/ancillaries/wh_dlc03_anc_mark_of_chaos_gnarled_hide.png
wh_dlc03_anc_mark_of_chaos_gouge_tusks	ui/campaign ui/ancillaries/wh_dlc03_anc_mark_of_chaos_gouge_tusks.png
wh_dlc03_anc_mark_of_chaos_many_limbed_fiend	ui/campaign ui/ancillaries/wh_dlc03_anc_mark_of_chaos_many_limbed_fiend.png
wh_dlc03_anc_mark_of_chaos_shadow_hide	ui/campaign ui/ancillaries/wh_dlc03_anc_mark_of_chaos_shadow_hide.png
wh_dlc03_anc_mark_of_chaos_slug_skin	ui/campaign ui/ancillaries/wh_dlc03_anc_mark_of_chaos_slug_skin.png
wh_dlc03_anc_mark_of_chaos_uncanny_senses	ui/campaign ui/ancillaries/wh_dlc03_anc_mark_of_chaos_uncanny_senses.png
wh_dlc04_anc_mount_corpse_cart	ui/campaign ui/mounts/mount_corpse_cart.png
wh_dlc04_anc_mount_corpse_cart_balefire	ui/campaign ui/mounts/mount_corpse_cart_with_balefire.png
wh_dlc04_anc_mount_corpse_cart_lodestone	ui/campaign ui/mounts/mount_corpse_cart_with_lodestone.png
wh_dlc04_anc_mount_terrorgheist	ui/campaign ui/mounts/mount_terrorgheist.png
wh_dlc04_anc_mount_war_altar_of_sigmar	ui/campaign ui/mounts/mount_war_altar_of_sigmar.png
wh_dlc05_anc_magic_standard_the_banner_of_the_eternal_queen	ui/battle ui/ability_icons/wh_dlc05_banner_passive_the_banner_of_the_eternal_queen.png
wh_dlc05_anc_magic_standard_the_banner_of_the_hunter_king	ui/battle ui/ability_icons/wh_dlc05_banner_passive_the_banner_of_the_hunter_king.png
wh_dlc05_anc_mount_wef_elven_steed	ui/campaign ui/mounts/mount_warhorse.png
wh_dlc05_anc_mount_wef_forest_dragon	ui/campaign ui/mounts/mount_forest_dragon.png
wh_dlc05_anc_mount_wef_great_eagle	ui/campaign ui/mounts/mount_great_eagle.png
wh_dlc05_anc_mount_wef_unicorn	ui/campaign ui/mounts/mount_unicorn.png
wh_dlc06_anc_magic_standard_skarsniks_boyz	ui/campaign ui/ancillaries/wh_main_anc_magic_standard_the_bad_moon_banner.png
wh_dlc06_anc_mount_dwf_runelord_anvil_of_doom	ui/campaign ui/mounts/mount_anvil_of_doom.png
wh_dlc06_anc_mount_grn_night_goblin_warboss_great_cave_squig	ui/campaign ui/mounts/mount_great_cave_squig.png
wh_dlc06_anc_mount_grn_wurrzag_spleenrippa	ui/campaign ui/mounts/mount_war_boar.png
wh_dlc07_anc_magic_standard_banner_of_defence	ui/campaign ui/ancillaries/wh_dlc07_anc_magic_standard_banner_of_defence.png
wh_dlc07_anc_magic_standard_errantry_banner	ui/campaign ui/ancillaries/wh_dlc07_anc_magic_standard_errantry_banner.png
wh_dlc07_anc_magic_standard_twilight_banner	ui/campaign ui/ancillaries/wh_dlc07_anc_magic_standard_twilight_banner.png
wh_dlc07_anc_magic_standard_valorous_standard	ui/campaign ui/ancillaries/wh_dlc07_anc_magic_standard_valorous_standard.png
wh_dlc08_anc_wood_elves_dryad_spy	ui/campaign ui/ancillaries/wh_dlc08_anc_wood_elves_dryad_spy.png
wh_dlc08_anc_wood_elves_elder_scout	ui/campaign ui/ancillaries/wh_dlc08_anc_wood_elves_elder_scout.png
wh_dlc08_anc_wood_elves_eternal_guard_commander	ui/campaign ui/ancillaries/wh_dlc08_anc_wood_elves_eternal_guard_commander.png
wh_dlc08_anc_wood_elves_forest_spirit	ui/campaign ui/ancillaries/wh_dlc08_anc_wood_elves_forest_spirit.png
wh_dlc08_anc_wood_elves_hawk_companion	ui/campaign ui/ancillaries/wh_dlc08_anc_wood_elves_hawk_companion.png
wh_dlc08_anc_wood_elves_hunting_hound	ui/campaign ui/ancillaries/wh_dlc08_anc_wood_elves_hunting_hound.png
wh_dlc08_anc_wood_elves_royal_standard_bearer	ui/campaign ui/ancillaries/wh_dlc08_anc_wood_elves_royal_standard_bearer.png
wh_dlc08_anc_wood_elves_vauls_anvil_smith	ui/campaign ui/ancillaries/wh_dlc08_anc_wood_elves_vauls_anvil_smith.png
wh_dlc08_anc_wood_elves_wardancer_drummer	ui/campaign ui/ancillaries/wh_dlc08_anc_wood_elves_wardancer_drummer.png
wh_dlc08_anc_wood_elves_young_stag	ui/campaign ui/ancillaries/wh_dlc08_anc_wood_elves_young_stag.png
wh_main_anc_arcane_item	ui/skins/default/equipment_items_arcane.png
wh_main_anc_armour	ui/skins/default/equipment_items_armour.png
wh_main_anc_chaos_demon	ui/campaign ui/ancillaries/wh_main_anc_chaos_demon.png
wh_main_anc_chaos_human	ui/campaign ui/ancillaries/wh_main_anc_chaos_human.png
wh_main_anc_chaos_monster	ui/campaign ui/ancillaries/wh_main_anc_chaos_monster.png
wh_main_anc_chaos_warrior	ui/campaign ui/ancillaries/wh_main_anc_chaos_warrior.png
wh_main_anc_dwarfs_dwarf	ui/campaign ui/ancillaries/wh_main_anc_dwarfs_dwarf.png
wh_main_anc_dwarfs_engineer	ui/campaign ui/ancillaries/wh_main_anc_dwarfs_engineer.png
wh_main_anc_dwarfs_female	ui/campaign ui/ancillaries/wh_main_anc_dwarfs_female.png
wh_main_anc_dwarfs_miner	ui/campaign ui/ancillaries/wh_main_anc_dwarfs_miner.png
wh_main_anc_enchanted_item	ui/skins/default/equipment_items_enchanted.png
wh_main_anc_greenskins_goblin	ui/campaign ui/ancillaries/wh_main_anc_greenskins_goblin.png
wh_main_anc_greenskins_orc	ui/campaign ui/ancillaries/wh_main_anc_greenskins_orc.png
wh_main_anc_greenskins_orc_shaman	ui/campaign ui/ancillaries/wh_main_anc_greenskins_orc_shaman.png
wh_main_anc_greenskins_savage_orc	ui/campaign ui/ancillaries/wh_main_anc_greenskins_savage_orc.png
wh_main_anc_greenskins_snotling	ui/campaign ui/ancillaries/wh_main_anc_greenskins_snotling.png
wh_main_anc_greenskins_squig	ui/campaign ui/ancillaries/wh_main_anc_greenskins_squig.png
wh_main_anc_greenskins_troll	ui/campaign ui/ancillaries/wh_main_anc_greenskins_troll.png
wh_main_anc_human_man	ui/campaign ui/ancillaries/wh_main_anc_human_man.png
wh_main_anc_human_old_man	ui/campaign ui/ancillaries/wh_main_anc_human_old_man.png
wh_main_anc_human_spy	ui/campaign ui/ancillaries/wh_main_anc_human_spy.png
wh_main_anc_magic_standard_banner_of_eternal_flame	ui/battle ui/ability_icons/wh_main_banner_passive_banner_of_eternal_flame.png
wh_main_anc_magic_standard_banner_of_lost_holds	ui/battle ui/ability_icons/wh_main_banner_passive_banner_of_lost_holds.png
wh_main_anc_magic_standard_banner_of_rage	ui/battle ui/ability_icons/wh_main_banner_passive_banner_of_rage.png
wh_main_anc_magic_standard_banner_of_swiftness	ui/campaign ui/ancillaries/wh_main_anc_magic_standard_banner_of_swiftness.png
wh_main_anc_magic_standard_banner_of_the_barrows	ui/campaign ui/ancillaries/wh_main_anc_magic_standard_banner_of_the_barrows.png
wh_main_anc_magic_standard_blasted_standard	ui/campaign ui/ancillaries/wh_main_anc_magic_standard_blasted_standard.png
wh_main_anc_magic_standard_da_immortulz	ui/campaign ui/ancillaries/wh_main_anc_magic_standard_da_immortulz.png
wh_main_anc_magic_standard_gleaming_pennant	ui/battle ui/ability_icons/wh_main_banner_passive_gleaming_pennant.png
wh_main_anc_magic_standard_griffon_banner	ui/battle ui/ability_icons/wh_main_banner_passive_griffon_banner.png
wh_main_anc_magic_standard_lichbone_pennant	ui/campaign ui/ancillaries/wh_main_anc_magic_standard_lichbone_pennant.png
wh_main_anc_magic_standard_morks_war_banner	ui/campaign ui/ancillaries/wh_main_anc_magic_standard_morks_war_banner.png
wh_main_anc_magic_standard_rampagers_standard	ui/campaign ui/ancillaries/wh_main_anc_magic_standard_rampagers_standard.png
wh_main_anc_magic_standard_rangers_standard	ui/campaign ui/ancillaries/wh_main_anc_magic_standard_rangers_standard.png
wh_main_anc_magic_standard_razor_standard	ui/campaign ui/ancillaries/wh_main_anc_magic_standard_razor_standard.png
wh_main_anc_magic_standard_scarecrow_banner	ui/battle ui/ability_icons/wh_main_banner_passive_scarecrow_banner.png
wh_main_anc_magic_standard_spider_banner	ui/battle ui/ability_icons/wh_main_banner_passive_spider_banner.png
wh_main_anc_magic_standard_standard_of_discipline	ui/campaign ui/ancillaries/wh_main_anc_magic_standard_standard_of_discipline.png
wh_main_anc_magic_standard_steel_standard	ui/campaign ui/ancillaries/wh_main_anc_magic_standard_steel_standard.png
wh_main_anc_magic_standard_the_bad_moon_banner	ui/campaign ui/ancillaries/wh_main_anc_magic_standard_the_bad_moon_banner.png
wh_main_anc_magic_standard_the_screaming_banner	ui/battle ui/ability_icons/wh_main_banner_passive_the_screaming_banner.png
wh_main_anc_magic_standard_wailing_banner	ui/campaign ui/ancillaries/wh_main_anc_magic_standard_wailing_banner.png
wh_main_anc_magic_standard_war_banner	ui/campaign ui/ancillaries/wh_main_anc_magic_standard_war_banner.png
wh_main_anc_mark_of_chaos_mark_of_khorne	ui/battle ui/ability_icons/wh_main_mark_passive_mark_of_khorne.png
wh_main_anc_mark_of_chaos_mark_of_nurgle	ui/campaign ui/ancillaries/wh_main_anc_mark_of_chaos_mark_of_nurgle.png
wh_main_anc_mark_of_chaos_mark_of_slaanesh	ui/campaign ui/ancillaries/wh_main_anc_mark_of_chaos_mark_of_slaanesh.png
wh_main_anc_mark_of_chaos_mark_of_tzeentch	ui/campaign ui/ancillaries/wh_main_anc_mark_of_chaos_mark_of_tzeentch.png
wh_main_anc_mount_barded_chaos_steed	ui/campaign ui/mounts/mount_barded_chaos_steed.png
wh_main_anc_mount_barded_nightmare	ui/campaign ui/mounts/mount_barded_nightmare.png
wh_main_anc_mount_barded_skeletal_steed	ui/campaign ui/mounts/mount_barded_skeletal_steed.png
wh_main_anc_mount_barded_warhorse	ui/campaign ui/mounts/mount_barded_warhorse.png
wh_main_anc_mount_beaquis	ui/campaign ui/mounts/mount_beaquis.png
wh_main_anc_mount_chaos_dragon	ui/campaign ui/mounts/mount_chaos_dragon.png
wh_main_anc_mount_chaos_steed	ui/campaign ui/mounts/mount_chaos_steed.png
wh_main_anc_mount_deathclaw	ui/campaign ui/mounts/mount_deathclaw.png
wh_main_anc_mount_dorghar	ui/campaign ui/mounts/mount_dorghar.png
wh_main_anc_mount_giant_spider	ui/campaign ui/mounts/mount_giant_spider.png
wh_main_anc_mount_giant_wolf	ui/campaign ui/mounts/mount_giant_wolf.png
wh_main_anc_mount_hellsteed	ui/campaign ui/mounts/mount_hellsteed.png
wh_main_anc_mount_hippogryph	ui/campaign ui/mounts/mount_hippogryph.png
wh_main_anc_mount_imperial_griffon	ui/campaign ui/mounts/mount_imperial_griffon.png
wh_main_anc_mount_imperial_pegasus	ui/campaign ui/mounts/mount_imperial_pegasus.png
wh_main_anc_mount_manticore	ui/campaign ui/mounts/mount_manticore.png
wh_main_anc_mount_nightmare	ui/campaign ui/mounts/mount_nightmare.png
wh_main_anc_mount_pegasus	ui/campaign ui/mounts/mount_pegasus.png
wh_main_anc_mount_royal_pegasus	ui/campaign ui/mounts/mount_royal_pegasus.png
wh_main_anc_mount_skeletal_steed	ui/campaign ui/mounts/mount_skeletal_steed.png
wh_main_anc_mount_skullmuncha	ui/campaign ui/mounts/mount_skullmuncha.png
wh_main_anc_mount_war_boar	ui/campaign ui/mounts/mount_war_boar.png
wh_main_anc_mount_war_boar_chariot	ui/campaign ui/mounts/mount_war_boar_chariot.png
wh_main_anc_mount_warhorse	ui/campaign ui/mounts/mount_warhorse.png
wh_main_anc_mount_wyvern	ui/campaign ui/mounts/mount_wyvern.png
wh_main_anc_mount_zombie_dragon	ui/campaign ui/mounts/mount_zombie_dragon.png
wh_main_anc_rune_ancestor_rune	ui/battle ui/ability_icons/wh_main_rune_abilities_ancestor_rune.png
wh_main_anc_rune_master_rune_of_battle	ui/campaign ui/ancillaries/wh_main_anc_rune_master_rune_of_battle.png
wh_main_anc_rune_master_rune_of_courage	ui/battle ui/ability_icons/wh_main_rune_abilities_rune_of_courage.png
wh_main_anc_rune_master_rune_of_groth_one-eye	ui/battle ui/ability_icons/wh_main_rune_passive_master_rune_of_groth_one_eye.png
wh_main_anc_rune_master_rune_of_grungni	ui/battle ui/ability_icons/wh_main_rune_passive_master_rune_of_grungni.png
wh_main_anc_rune_master_rune_of_sanctuary	ui/campaign ui/ancillaries/wh_main_anc_rune_master_rune_of_sanctuary.png
wh_main_anc_rune_master_rune_of_slowness	ui/battle ui/ability_icons/wh_main_rune_passive_rune_of_slowness.png
wh_main_anc_rune_master_rune_of_stoicism	ui/battle ui/ability_icons/wh_main_rune_abilities_rune_of_stoicism.png
wh_main_anc_rune_master_rune_of_stromni_redbeard	ui/battle ui/ability_icons/wh_main_rune_passive_master_rune_of_stromni_redbeard.png
wh_main_anc_rune_master_rune_of_valaya	ui/campaign ui/ancillaries/wh_main_anc_rune_master_rune_of_valaya.png
wh_main_anc_rune_rune_of_fury	ui/campaign ui/ancillaries/wh_main_anc_rune_rune_of_fury.png
wh_main_anc_rune_rune_of_might	ui/campaign ui/ancillaries/wh_main_anc_rune_rune_of_might.png
wh_main_anc_rune_rune_of_parrying	ui/campaign ui/ancillaries/wh_main_anc_rune_rune_of_parrying.png
wh_main_anc_rune_rune_of_striking	ui/campaign ui/ancillaries/wh_main_anc_rune_rune_of_striking.png
wh_main_anc_rune_strollaz_rune	ui/campaign ui/ancillaries/wh_main_anc_rune_strollaz_rune.png
wh_main_anc_talisman	ui/skins/default/equipment_items_talisman.png
wh_main_anc_vampire_counts_black_cat	ui/campaign ui/ancillaries/wh_main_anc_vampire_counts_black_cat.png
wh_main_anc_vampire_counts_carrion	ui/campaign ui/ancillaries/wh_main_anc_vampire_counts_carrion.png
wh_main_anc_vampire_counts_female	ui/campaign ui/ancillaries/wh_main_anc_vampire_counts_female.png
wh_main_anc_vampire_counts_male	ui/campaign ui/ancillaries/wh_main_anc_vampire_counts_male.png
wh_main_anc_vampire_counts_mirror	ui/campaign ui/ancillaries/wh_main_anc_vampire_counts_mirror.png
wh_main_anc_vampire_counts_necromancer	ui/campaign ui/ancillaries/wh_main_anc_vampire_counts_necromancer.png
wh_main_anc_weapon	ui/skins/default/equipment_items_weapon.png
