regions_tables
5
key	r	g	b	owner_bundle	native
wh2_main_land_of_the_dead_pyramid_of_nagash	253	225	203		vmp
wh2_main_land_of_the_dead_zandri	45	104	101		vmp
wh2_main_nagarythe_shrine_of_khaine	26	20	221		hef
wh2_main_nagarythe_tor_anlec	32	53	64		hef
wh2_main_nagarythe_tor_dranil	190	229	213		hef
wh2_main_northern_great_jungle_chaqua	69	157	68		lzd
wh2_main_northern_great_jungle_temple_of_tlencan	97	34	148		lzd
wh2_main_northern_great_jungle_xahutec	168	184	211		lzd
wh2_main_northern_great_jungle_xlanhuapec	153	66	196		lzd
wh2_main_northern_jungle_of_pahualaxa_macu_peaks	29	172	198		lzd
wh2_main_northern_jungle_of_pahualaxa_port_reaver	39	160	246		emp
wh2_main_northern_jungle_of_pahualaxa_shrine_of_sotek	159	241	192		lzd
wh2_main_northern_jungle_of_pahualaxa_swamp_town	249	70	243		emp
wh2_main_obsidian_peaks_circle_of_destruction	154	94	228		def
wh2_main_obsidian_peaks_clar_karond	148	205	69		def
wh2_main_obsidian_peaks_storag_kor	253	122	136		def
wh2_main_obsidian_peaks_venom_glade	210	180	24		def
wh2_main_phoenix_gate	76	102	84		hef
wh2_main_saphery_port_elistor	113	69	254		hef
wh2_main_saphery_tor_finu	92	179	52		hef
wh2_main_saphery_tower_of_hoeth	123	39	253		hef
wh2_main_sea_bay_of_corsairs	17	142	97		emp
wh2_main_sea_eastern_straits_of_the_great_ocean	185	117	243		emp
wh2_main_sea_gulf_of_lustria	204	16	63		emp
wh2_main_sea_gulf_of_medes	0	0	0		emp
wh2_main_sea_sea_of_chill	60	32	89		emp
wh2_main_sea_sea_of_dreams	45	54	205		emp
wh2_main_sea_sea_of_dusk	45	54	205		emp
wh2_main_sea_sea_of_malice	32	25	36		emp
wh2_main_sea_sea_of_serpents	152	95	22		emp
wh2_main_sea_shark_straits	124	105	114		emp
wh2_main_sea_shifting_isles	237	203	13		emp
wh2_main_sea_straits_of_fear	210	252	41		emp
wh2_main_sea_sunken_lands	146	67	203		emp
wh2_main_sea_tarantula_coast	127	198	102		emp
wh2_main_sea_the_bleak_coast	81	191	84		emp
wh2_main_sea_the_dragon_spine	160	5	248		emp
wh2_main_sea_the_far_sea	171	213	19		emp
wh2_main_sea_the_forbidding_coast	49	201	99		emp
wh2_main_sea_the_isles	64	255	153		emp
wh2_main_sea_the_vampire_coast	99	85	162		emp
wh2_main_sea_volcanic_islands	188	97	155		emp
wh2_main_shifting_sands_antoch	170	128	185		vmp
wh2_main_shifting_sands_bhagar	74	39	147		vmp
wh2_main_shifting_sands_ka-sabar	53	81	230		vmp
wh2_main_skavenblight_skavenblight	0	211	98		skv
wh2_main_southern_great_jungle_axlotl	64	84	73		lzd
wh2_main_southern_great_jungle_itza	65	135	168		lzd
wh2_main_southern_great_jungle_subatuun	23	220	29		lzd
wh2_main_southern_jungle_of_pahualaxa_floating_pyramid	76	200	28		lzd
wh2_main_southern_jungle_of_pahualaxa_monument_of_the_moon	65	8	75		lzd
wh2_main_southern_jungle_of_pahualaxa_pahuax	67	200	204		lzd
wh2_main_southern_jungle_of_pahualaxa_the_high_sentinel	245	4	104		lzd
wh2_main_southlands_jungle_golden_tower_of_the_gods	140	97	158		lzd
wh2_main_southlands_jungle_teotiqua	157	136	113		lzd
wh2_main_southlands_worlds_edge_mountains_karak_zorn	22	202	210		dwf
wh2_main_southlands_worlds_edge_mountains_lost_plateau	27	192	244		grn
wh2_main_southlands_worlds_edge_mountains_mount_arachnos	249	17	30		grn
wh2_main_spine_of_sotek_hualotal	219	178	135		grn
wh2_main_spine_of_sotek_mine_of_the_bearded_skulls	246	193	78		grn
wh2_main_spine_of_sotek_monument_of_izzatal	61	228	89		grn
wh2_main_testbed_01	199	7	17		hef
wh2_main_testbed_02	123	84	4		hef
wh2_main_testbed_03	243	110	97		hef
wh2_main_testbed_04	218	251	28		hef
wh2_main_testbed_05	25	135	135		lzd
wh2_main_testbed_06	236	112	20		lzd
wh2_main_testbed_07	216	11	175		lzd
wh2_main_testbed_08	145	112	68		lzd
wh2_main_testbed_09	211	184	108		def
wh2_main_testbed_10	98	195	167		def
wh2_main_testbed_11	71	91	39		def
wh2_main_testbed_12	210	89	208		def
wh2_main_testbed_13	28	12	47		skv
wh2_main_testbed_14	27	240	53		skv
wh2_main_testbed_15	17	199	194		skv
wh2_main_testbed_16	190	84	40		skv
wh2_main_the_black_coast_arnheim	153	181	40		def
wh2_main_the_black_coast_bleak_hold_fortress	167	197	255		def
wh2_main_the_black_flood_cragroth_deep	193	75	131		def
wh2_main_the_black_flood_hag_graef	215	91	204		def
wh2_main_the_black_flood_shroktak_mount	228	207	205		def
wh2_main_the_black_flood_temple_of_khaine	153	161	150		def
wh2_main_the_broken_land_blacklight_tower	147	139	12		def
wh2_main_the_broken_land_karond_kar	194	218	202		def
wh2_main_the_broken_land_slavers_point	192	31	218		def
wh2_main_the_chill_road_ashrak	196	223	113		def
wh2_main_the_chill_road_ghrond	71	68	153		def
wh2_main_the_chill_road_the_great_arena	124	130	10		def
wh2_main_the_clawed_coast_hoteks_column	2	84	189		def
wh2_main_the_clawed_coast_the_monoliths	222	36	99		def
wh2_main_the_clawed_coast_the_twisted_glade	43	44	182		def
wh2_main_the_creeping_jungle_temple_of_kara	225	213	10		lzd
wh2_main_the_creeping_jungle_tlanxla	195	95	122		lzd
wh2_main_the_creeping_jungle_tlaxtlan	53	250	35		lzd
wh2_main_the_road_of_skulls_har_ganeth	130	173	127		def
wh2_main_the_road_of_skulls_kauark	53	178	203		def
wh2_main_the_road_of_skulls_spite_reach	217	32	19		def
wh2_main_the_road_of_skulls_the_black_pillar	72	158	240		def
wh2_main_tiranoc_tor_anroc	49	153	106		hef
wh2_main_tiranoc_whitepeak	43	116	249		hef
wh2_main_titan_peaks_ancient_city_of_quintex	122	73	208		def
wh2_main_titan_peaks_ironspike	159	120	50		def
wh2_main_titan_peaks_ssildra_tor	107	216	214		def
wh2_main_titan_peaks_the_moon_shard	207	181	199		def
wh2_main_unicorn_gate	21	0	66		hef
wh2_main_vampire_coast_pox_marsh	207	107	66		vmp
wh2_main_vampire_coast_the_awakening	21	97	68		vmp
wh2_main_vampire_coast_the_blood_swamps	102	96	70		vmp
wh2_main_volcanic_islands_fuming_serpent	16	246	47		vmp
wh2_main_volcanic_islands_the_star_tower	214	92	53		hef
wh2_main_vor_aghol_wastelands_fortress_of_the_damned	64	116	208		emp
wh2_main_vor_aghol_wastelands_palace_of_princes	202	78	230		emp
wh2_main_vor_aghol_wastelands_the_palace_of_ruin	184	18	164		emp
wh2_main_vor_albion_albion	103	74	25		emp
wh2_main_vor_albion_pack_ice_bay	129	52	172		emp
wh2_main_vor_albion_troll_fjord	148	244	84		emp
wh2_main_vor_ash_river_numas	212	66	207		vmp
wh2_main_vor_ash_river_quatar	217	99	153		vmp
wh2_main_vor_ash_river_the_salt_plain	191	21	213		vmp
wh2_main_vor_ashen_coast_scarpels_lair	42	103	228		def
wh2_main_vor_ashen_coast_sulpharets	48	192	0		def
wh2_main_vor_ashen_coast_tyrant_peak	241	173	77		def
wh2_main_vor_avelorn_evershale	255	246	137		hef
wh2_main_vor_avelorn_gaean_vale	23	44	39		hef
wh2_main_vor_avelorn_tor_saroir	12	59	84		hef
wh2_main_vor_caledor_caledors_repose	6	199	150		hef
wh2_main_vor_caledor_tor_sethai	41	175	65		hef
wh2_main_vor_caledor_vauls_anvil	84	239	21		hef
wh2_main_vor_central_spine_of_sotek_caverns_of_the_great_bat	49	4	6		dwf
wh2_main_vor_central_spine_of_sotek_chiquibol	228	237	29		dwf
wh2_main_vor_chrace_elisia	137	130	217		hef
wh2_main_vor_chrace_tor_achare	228	80	233		hef
wh2_main_vor_chrace_tor_gard	191	118	42		hef
wh2_main_vor_coast_of_araby_al_haikk	132	43	134		brt
wh2_main_vor_coast_of_araby_copher	13	112	124		brt
wh2_main_vor_coast_of_araby_fyrus	181	99	222		brt
wh2_main_vor_coast_of_araby_martek	43	22	122		brt
wh2_main_vor_coast_of_squalls_macu_peaks	237	128	136		lzd
wh2_main_vor_coast_of_squalls_monument_of_the_sun	250	45	5		lzd
wh2_main_vor_coast_of_squalls_shrine_of_sotek	86	18	204		lzd
wh2_main_vor_cobra_pass_eye_of_the_panther	0	152	165		dwf
wh2_main_vor_cobra_pass_vulture_mountain	76	190	123		dwf
wh2_main_vor_copper_desert_the_dust_gate	120	9	114		lzd
wh2_main_vor_copper_desert_the_forgotten_isles	127	178	208		lzd
wh2_main_vor_copper_desert_the_golden_colossus	187	184	29		lzd
wh2_main_vor_cothique_mistnar	204	151	216		hef
wh2_main_vor_cothique_tor_koruali	0	114	53		hef
wh2_main_vor_culchan_plains_chupayotl	111	244	153		lzd
wh2_main_vor_culchan_plains_kaiax	78	90	151		lzd
wh2_main_vor_culchan_plains_the_southern_sentinels	70	187	90		lzd
wh2_main_vor_culchan_plains_xlansec	244	47	94		lzd
wh2_main_vor_deadwood_dargoth	0	41	69		def
wh2_main_vor_deadwood_nagrar	101	186	49		def
wh2_main_vor_deadwood_shagrath	173	105	97		def
wh2_main_vor_deadwood_the_frozen_city	99	207	104		def
wh2_main_vor_eagle_gate	175	33	91		hef
wh2_main_vor_eataine_angerrial	13	130	50		hef
wh2_main_vor_eataine_shrine_of_asuryan	252	126	240		hef
wh2_main_vor_ellyrion_reavers_mark	101	114	114		hef
wh2_main_vor_ellyrion_the_arc_span	142	46	4		hef
wh2_main_vor_ellyrion_tor_elyr	226	163	201		hef
wh2_main_vor_forest_of_the_viper_chotecs_causeway	234	135	48		lzd
wh2_main_vor_forest_of_the_viper_fallen_gates	192	47	215		lzd
wh2_main_vor_forest_of_the_viper_mirror_pool_of_tepok	123	138	61		lzd
wh2_main_vor_grey_guardians_grey_rock_point	147	186	76		def
wh2_main_vor_grey_guardians_ssildra_tor	12	89	209		def
wh2_main_vor_grey_guardians_titan_peak	75	246	242		def
wh2_main_vor_griffon_gate	121	6	199		hef
wh2_main_vor_headhunters_jungle_altar_of_the_horned_rat	49	240	239		lzd
wh2_main_vor_headhunters_jungle_marks_of_the_old_ones	61	88	162		lzd
wh2_main_vor_heart_of_the_jungle_oreons_camp	242	163	61		emp
wh2_main_vor_iron_mountains_altar_of_ultimate_darkness	163	113	173		def
wh2_main_vor_iron_mountains_cragroth_deep	109	117	167		def
wh2_main_vor_iron_mountains_rackdo_gorge	162	237	230		def
wh2_main_vor_iron_mountains_shroktak_mount	137	121	110		def
wh2_main_vor_iron_peaks_ancient_city_of_quintex	41	50	214		def
wh2_main_vor_iron_peaks_ironspike	220	177	38		def
wh2_main_vor_iron_peaks_the_moon_shard	110	27	13		def
wh2_main_vor_ironfrost_glacier_bear_isle	131	37	114		emp
wh2_main_vor_ironfrost_glacier_dagraks_end	184	234	82		emp
wh2_main_vor_ironfrost_glacier_ironfrost	7	8	136		emp
wh2_main_vor_ironfrost_glacier_mung_encampment	2	39	16		emp
wh2_main_vor_isthmus_of_lustria_hexoatl	152	18	4		lzd
wh2_main_vor_isthmus_of_lustria_monolith_of_fallen_gods	85	130	202		lzd
wh2_main_vor_isthmus_of_lustria_ziggurat_of_dawn	109	137	253		lzd
wh2_main_vor_jungle_of_pahualaxa_floating_pyramid	27	67	153		lzd
wh2_main_vor_jungle_of_pahualaxa_monument_of_the_moon	234	116	109		lzd
wh2_main_vor_jungle_of_pahualaxa_pahuax	33	125	152		lzd
wh2_main_vor_jungle_of_pahualaxa_the_high_sentinel	176	95	239		lzd
wh2_main_vor_jungles_of_green_mist_pillars_of_unseen_constellations	178	86	254		lzd
wh2_main_vor_jungles_of_green_mist_spektazuma	174	244	117		lzd
wh2_main_vor_jungles_of_green_mist_wellsprings_of_eternity	118	87	70		lzd
wh2_main_vor_kingdom_of_beasts_serpent_coast	162	18	100		lzd
wh2_main_vor_kingdom_of_beasts_temple_of_skulls	250	253	113		lzd
wh2_main_vor_kingdom_of_beasts_the_cursed_jungle	98	148	190		lzd
wh2_main_vor_land_of_assassins_lashiek	180	145	129		brt
wh2_main_vor_land_of_assassins_palace_of_the_wizard_caliph	148	23	10		brt
wh2_main_vor_land_of_assassins_sorcerers_islands	213	227	27		brt
wh2_main_vor_land_of_the_dead_black_pyramid_of_nagash	34	5	191		vmp
wh2_main_vor_land_of_the_dead_khemri	89	101	128		vmp
wh2_main_vor_land_of_the_dead_springs_of_eternal_life	193	33	24		vmp
wh2_main_vor_land_of_the_dead_zandri	39	221	85		vmp
wh2_main_vor_land_of_the_dervishes_el-kalabad	193	249	165		emp
wh2_main_vor_land_of_the_dervishes_elven_ruins	73	153	233		emp
wh2_main_vor_land_of_the_dervishes_sudenburg	248	14	97		emp
wh2_main_vor_mosquito_swamps_tlax	198	166	216		lzd
wh2_main_vor_mosquito_swamps_xahutec	225	65	31		lzd
wh2_main_vor_mosquito_swamps_xlanhuapec	133	113	43		lzd
wh2_main_vor_nagarythe_shrine_of_khaine	106	42	179		hef
wh2_main_vor_nagarythe_tor_anlec	143	123	85		hef
wh2_main_vor_nagarythe_tor_dranil	1	24	174		hef
wh2_main_vor_naggarond_har_kaldra	46	140	43		def
wh2_main_vor_naggarond_kaelra	93	107	219		def
wh2_main_vor_naggarond_naggarond	18	29	222		def
wh2_main_vor_northern_great_jungle_chaqua	205	14	31		lzd
wh2_main_vor_northern_great_jungle_itza	168	35	170		lzd
wh2_main_vor_northern_great_jungle_quetza	179	194	92		lzd
wh2_main_vor_northern_great_jungle_quittax	107	190	111		lzd
wh2_main_vor_northern_spine_of_sotek_cavern_of_the_mlexigaur	176	177	43		dwf
wh2_main_vor_northern_spine_of_sotek_hualotal	188	240	202		dwf
wh2_main_vor_northern_spine_of_sotek_monument_of_izzatal	228	93	168		dwf
wh2_main_vor_northern_yvresse_sardenath	126	124	141		hef
wh2_main_vor_northern_yvresse_tor_yvresse	232	214	183		hef
wh2_main_vor_northern_yvresse_tralinia	31	65	162		hef
wh2_main_vor_obsidian_peaks_ice_rock_gorge	97	237	137		def
wh2_main_vor_obsidian_peaks_ice_spire	122	183	123		def
wh2_main_vor_obsidian_peaks_keshta_vault	226	170	71		def
wh2_main_vor_obsidian_peaks_temple_of_addaioth	132	203	204		def
wh2_main_vor_phoenix_gate	23	2	131		hef
wh2_main_vor_plain_of_spiders_clarak_spire	76	57	236		def
wh2_main_vor_plain_of_spiders_pits_of_zardok	24	210	14		def
wh2_main_vor_red_desert_drackla_spire	57	129	169		def
wh2_main_vor_red_desert_rothkar_spire	216	79	150		def
wh2_main_vor_river_qurveza_axlotl	46	185	12		lzd
wh2_main_vor_river_qurveza_mouth_of_qurveza	36	77	86		lzd
wh2_main_vor_saphery_port_elistor	29	95	119		hef
wh2_main_vor_saphery_shadow_peak	65	10	179		hef
wh2_main_vor_saphery_tor_finu	201	69	84		hef
wh2_main_vor_saphery_tower_of_hoeth	201	32	139		hef
wh2_main_vor_sartosa_sartosa	83	190	228		emp
wh2_main_vor_scorpion_coast_chotec	25	95	51		lzd
wh2_main_vor_scorpion_coast_temple_of_tlencan	94	233	131		lzd
wh2_main_vor_sea_bay_of_corsairs	0	0	0		emp
wh2_main_vor_sea_boiling_sea	0	0	0		emp
wh2_main_vor_sea_eastern_gulf_of_lustria	0	0	0		emp
wh2_main_vor_sea_eastern_straits_of_the_great_ocean	0	0	0		emp
wh2_main_vor_sea_far_sea	0	0	0		emp
wh2_main_vor_sea_gulf_of_medes	0	0	0		emp
wh2_main_vor_sea_gulf_of_sufaga	0	0	0		emp
wh2_main_vor_sea_lake	0	0	0		emp
wh2_main_vor_sea_mangrove_coast	0	0	0		emp
wh2_main_vor_sea_northern_straits_of_the_great_ocean	0	0	0		emp
wh2_main_vor_sea_of_dread_tor_elasor	187	88	57		hef
wh2_main_vor_sea_of_dread_tower_of_the_stars	4	152	246		hef
wh2_main_vor_sea_of_dread_tower_of_the_sun	45	180	56		hef
wh2_main_vor_sea_pirate_coast_of_araby	0	0	0		emp
wh2_main_vor_sea_sea_of_chaos	0	0	0		emp
wh2_main_vor_sea_sea_of_chill	0	0	0		emp
wh2_main_vor_sea_sea_of_dreams	0	0	0		emp
wh2_main_vor_sea_sea_of_dusk	0	0	0		emp
wh2_main_vor_sea_sea_of_malice	0	0	0		emp
wh2_main_vor_sea_sea_of_serpents	0	0	0		emp
wh2_main_vor_sea_sea_of_squalls	0	0	0		emp
wh2_main_vor_sea_serpents_coast	0	0	0		emp
wh2_main_vor_sea_shark_straits	0	0	0		emp
wh2_main_vor_sea_shifting_isles	0	0	0		emp
wh2_main_vor_sea_southern_straits_of_the_great_ocean	0	0	0		emp
wh2_main_vor_sea_straits_of_fear	0	0	0		emp
wh2_main_vor_sea_sunken_lands	0	0	0		emp
wh2_main_vor_sea_tarantula_coast	0	0	0		emp
wh2_main_vor_sea_the_bitter_sea	0	0	0		emp
wh2_main_vor_sea_the_black_ocean	0	0	0		emp
wh2_main_vor_sea_the_bleak_coast	0	0	0		emp
wh2_main_vor_sea_the_churning_gulf	0	0	0		emp
wh2_main_vor_sea_the_dragon_spine	0	0	0		emp
wh2_main_vor_sea_the_forbidding_coast	0	0	0		emp
wh2_main_vor_sea_the_great_ocean	0	0	0		emp
wh2_main_vor_sea_the_isles	0	0	0		emp
wh2_main_vor_sea_the_sea_of_dread	0	0	0		emp
wh2_main_vor_sea_the_vampire_coast	0	0	0		emp
wh2_main_vor_sea_volcanic_islands	0	0	0		emp
wh2_main_vor_sea_western_gulf_of_lustria	0	0	0		emp
wh2_main_vor_settlers_coast_port_reaver	57	47	22		emp
wh2_main_vor_settlers_coast_skeggi	210	99	87		emp
wh2_main_vor_settlers_coast_swamp_town	12	3	228		emp
wh2_main_vor_shadow_wood_circle_of_destruction	100	215	159		def
wh2_main_vor_shadow_wood_clar_karond	45	58	205		def
wh2_main_vor_shadow_wood_daldrachs_lair	4	20	51		def
wh2_main_vor_shadow_wood_venom_glade	234	212	133		def
wh2_main_vor_shifting_mangrove_coastline_temple_avenue_of_gold	255	2	141		lzd
wh2_main_vor_shifting_mangrove_coastline_teotiqua	55	253	253		lzd
wh2_main_vor_shifting_sands_antoch	242	84	95		vmp
wh2_main_vor_shifting_sands_bhagar	78	248	233		vmp
wh2_main_vor_shifting_sands_ka-sabar	98	250	140		vmp
wh2_main_vor_shifting_sands_plain_of_tuskers	53	227	210		vmp
wh2_main_vor_southern_badlands_galbaraz	32	29	33		grn
wh2_main_vor_southern_badlands_gor_gazan	151	154	40		grn
wh2_main_vor_southern_great_jungle_gwakmol_crater	183	68	157		lzd
wh2_main_vor_southern_great_jungle_mortuary_of_tzulaqua	83	214	142		lzd
wh2_main_vor_southern_great_jungle_xhotl	235	127	177		lzd
wh2_main_vor_southern_jungles_dawns_light	139	142	252		hef
wh2_main_vor_southern_jungles_scrag_hole	143	206	15		lzd
wh2_main_vor_southern_jungles_yuatek	167	242	211		lzd
wh2_main_vor_southern_spine_of_sotek_mine_of_the_bearded_skulls	137	244	7		dwf
wh2_main_vor_southern_spine_of_sotek_thrice-cursed_peak	180	44	217		dwf
wh2_main_vor_southern_yvresse_cairn_thel	214	145	171		hef
wh2_main_vor_southern_yvresse_elessaeli	199	66	85		hef
wh2_main_vor_southern_yvresse_shrine_of_loec	46	201	160		hef
wh2_main_vor_southlands_world_edge_mountains_karag_orrud	190	247	181		grn
wh2_main_vor_southlands_world_edge_mountains_karak_zorn	101	165	250		dwf
wh2_main_vor_southlands_world_edge_mountains_lost_plateau	82	254	117		grn
wh2_main_vor_southlands_world_edge_mountains_mount_arachnos	90	90	126		grn
wh2_main_vor_straits_of_lothern_glittering_tower	96	93	211		hef
wh2_main_vor_straits_of_lothern_lothern	236	213	229		hef
wh2_main_vor_straits_of_lothern_tower_of_lysean	14	122	20		hef
wh2_main_vor_the_black_coast_arnheim	117	40	237		def
wh2_main_vor_the_black_coast_bleak_hold_fortress	145	242	213		def
wh2_main_vor_the_black_coast_hag_hall	101	41	164		def
wh2_main_vor_the_black_coast_vauls_anvil	4	88	182		def
wh2_main_vor_the_black_flood_hag_graef	60	232	19		def
wh2_main_vor_the_black_flood_storag_kor	166	224	15		def
wh2_main_vor_the_black_flood_temple_of_khaine	130	202	92		def
wh2_main_vor_the_broken_land_black_creek_spire	87	65	64		def
wh2_main_vor_the_broken_land_blacklight_tower	136	142	130		def
wh2_main_vor_the_broken_land_karond_kar	131	76	204		def
wh2_main_vor_the_broken_land_slavers_point	98	76	203		def
wh2_main_vor_the_capes_citadel_of_dusk	65	50	69		hef
wh2_main_vor_the_capes_fortress_of_dawn	178	233	20		hef
wh2_main_vor_the_chill_road_ashrak	207	157	2		def
wh2_main_vor_the_chill_road_ghrond	239	147	111		def
wh2_main_vor_the_chill_road_the_great_arena	33	129	239		def
wh2_main_vor_the_clawed_coast_hoteks_column	25	119	246		def
wh2_main_vor_the_clawed_coast_the_monoliths	189	200	185		def
wh2_main_vor_the_clawed_coast_the_twisted_glade	10	124	224		def
wh2_main_vor_the_creeping_jungle_temple_of_kara	114	175	117		lzd
wh2_main_vor_the_creeping_jungle_tlanxla	194	77	20		lzd
wh2_main_vor_the_creeping_jungle_tlaxtlan	182	67	94		lzd
wh2_main_vor_the_dragon_isles_isle_of_the_crimson_skull	245	28	9		def
wh2_main_vor_the_dragon_isles_the_blood_hall	128	39	34		def
wh2_main_vor_the_forbidden_jungle_chamber_of_visions	109	181	184		lzd
wh2_main_vor_the_forbidden_jungle_sentinels_of_xeti	144	216	84		lzd
wh2_main_vor_the_great_desert_bel_aliad	222	242	4		vmp
wh2_main_vor_the_great_desert_black_tower_of_arkhan	210	17	172		vmp
wh2_main_vor_the_great_desert_pools_of_despair	150	78	213		vmp
wh2_main_vor_the_isle_of_the_dead	0	0	0		emp
wh2_main_vor_the_jungles_of_the_gods_caverns_of_sotek	60	129	4		lzd
wh2_main_vor_the_jungles_of_the_gods_tor_surpindar	51	90	20		hef
wh2_main_vor_the_lost_valleys_oyxl	208	79	236		lzd
wh2_main_vor_the_lost_valleys_subatuun	163	171	55		lzd
wh2_main_vor_the_lost_valleys_the_sentinel_of_time	164	160	84		lzd
wh2_main_vor_the_red_rivers_cuexotl	52	117	189		lzd
wh2_main_vor_the_red_rivers_golden_tower_of_the_gods	190	142	208		lzd
wh2_main_vor_the_red_rivers_nahuontl	52	218	221		lzd
wh2_main_vor_the_red_rivers_zlatan	118	68	121		lzd
wh2_main_vor_the_road_of_skulls_har_ganeth	6	209	216		def
wh2_main_vor_the_road_of_skulls_kauark	117	55	45		def
wh2_main_vor_the_road_of_skulls_spite_reach	33	67	217		def
wh2_main_vor_the_road_of_skulls_the_black_pillar	200	200	52		def
wh2_main_vor_the_turtle_isles_golden_ziggurat	128	156	77		lzd
wh2_main_vor_the_turtle_isles_great_turtle_isle	73	7	119		hef
wh2_main_vor_the_turtle_isles_mud_isle	220	172	96		lzd
wh2_main_vor_the_vampire_coast_pox_marsh	110	133	242		vmp
wh2_main_vor_the_vampire_coast_the_awakening	140	119	74		vmp
wh2_main_vor_the_vampire_coast_the_blood_swamps	250	197	30		vmp
wh2_main_vor_the_vampire_coast_the_star_tower	237	145	18		vmp
