special_ability_phases_tables
31
duration	effect_type	id	requested_stance	unbreakable	cant_move	freeze_fatigue	fatigue_change_ratio	inspiration_aura_change_mod	ability_recharge_change	hp_change_frequency	heal_amount	damage_chance	damage_amount	max_damaged_entites	heal_amount_duplicate	resurrect	mana_regen_mod	mana_max_depletion_mod	imbue_magical	imbue_ignition	imbue_contact	phase_display	phase_audio	recharge_time	is_hidden_in_ui	affects_allies	affects_enemies
-1	positive	wh_lzd_slann		False	False	False	0	0	0	0	0	0	0	-1	0	False	0	0	False	0		wh_main_generic_buff_morale_passive		-1	False	True	True
-1	positive	chs_main1		False	False	False	-0.1	0	0	0	0	0	0	0	0	False	0	0	False	0				-1	False	True	True
-1	positive	chs_main2		False	False	False	-0.2	0	0	0	0	0	0	0	0	False	0	0	False	0				-1	False	True	True
-1	positive	bst_main2		False	False	False	0	0	0	0	0	0	0	0	0	False	0	0	False	0				-1	False	True	True
-1	positive	dwf_main1		False	False	False	0	0	0	0	0	0	0	0	0	False	0	0	False	0				-1	False	True	True
-1	positive	dwf_main2		False	False	False	0	0	0	0	0	0	0	-1	0	False	0	0	False	0		wh_main_generic_buff_morale_passive		-1	False	True	True
30	positive	grn_main1		False	False	False	0	0	0	0	0	0	0	0	0	False	0	0	False	0		wh_main_generic_buff_attack		-1	False	True	True
45	positive	grn_main2		False	False	False	0	0	0	0	0	0	0	-1	0	False	0	0	False	0		wh_main_generic_buff_attack		-1	False	True	True
-1	positive	vmp_main1		False	False	False	0	0	0	0	0	0	0	-1	0	False	0	0	False	0		wh_main_generic_buff_morale_passive		-1	False	True	True
-1	positive	brt_main1		False	False	False	0	0	0	0	0	0	0	0	0	False	0	0	False	0		wh_main_generic_buff_attack		-1	False	True	True
-1	positive	brt_main2		False	False	False	0	0	0	0	0	0	0	0	0	False	0	0	False	0		wh_main_generic_buff_attack		-1	False	True	True
-1	positive	wef_main1		False	False	False	0	0	0	0	0	0	0	0	0	False	0	0	False	0		wh_main_generic_buff_attack		-1	False	True	True
-1	positive	wef_main2		False	False	False	0	0	0	0	0	0	0	0	0	False	0	0	False	0				-1	False	True	True
-1	positive	emp_main1		False	False	False	0	0	0	0	0	0	0	-1	0	False	0	0	False	0		wh_main_generic_buff_attack		-1	False	True	True
-1	negative	hef_phoenix_guard		False	False	False	0	0	0	0	0	0	0	-1	0	False	0	0	False	0		wh_main_hero_abilities_accusation		-1	False	True	True
30	positive	grn_main1_1		False	False	False	0	0	0	0	0	0	0	0	0	False	0	0	False	0		wh_main_generic_buff_attack		-1	False	True	True
30	positive	grn_main1_2		False	False	False	0	0	0	0	0	0	0	0	0	False	0	0	False	0		wh_main_generic_buff_attack		-1	False	True	True
20	positive	skv_overcharge		False	False	False	0	0	0	0	0	0	0	0	0	False	0	0	False	0		wh_main_generic_buff_attack		-1	False	True	True
