battle_entity_effects_tables
2
deep_water	forest	grass	mud	name	unknown5	unknown6	sand	unknown8	shallow_water	snow	unknown11	unknown12	unknown13
wh_main_terrain_unit_move_medium_water	wh_main_terrain_unit_move_medium_grass	wh_main_terrain_unit_move_medium_grass	wh_main_terrain_unit_move_medium_mud	unit_cavalry_running	wh_main_terrain_unit_move_medium_rock	wh_main_terrain_unit_move_medium_rock	wh_main_terrain_unit_move_medium_sand	wh_main_terrain_unit_move_medium_grass	wh_main_terrain_unit_move_medium_wake	wh_main_terrain_unit_move_medium_snow	wh_main_terrain_unit_move_medium_rock	0.2	
wh_main_terrain_unit_move_medium_water	wh_main_terrain_unit_move_medium_grass	wh_main_terrain_unit_move_medium_grass	wh_main_terrain_unit_move_medium_mud	unit_cavalry_walking	wh_main_terrain_unit_move_medium_rock	wh_main_terrain_unit_move_medium_rock	wh_main_terrain_unit_move_medium_sand	wh_main_terrain_unit_move_medium_grass	wh_main_terrain_unit_move_medium_wake	wh_main_terrain_unit_move_medium_snow	wh_main_terrain_unit_move_medium_rock	0.1	
wh_main_terrain_unit_move_large_water	wh_main_terrain_unit_move_large_grass	wh_main_terrain_unit_move_large_grass	wh_main_terrain_unit_move_large_mud	unit_giant_combat	wh_main_terrain_unit_move_large_rock	wh_main_terrain_unit_move_large_rock	wh_main_terrain_unit_move_large_sand	wh_main_terrain_unit_move_large_grass	wh_main_terrain_unit_move_large_wake	wh_main_terrain_unit_move_large_snow	wh_main_terrain_unit_move_large_rock	0.5	
wh_main_terrain_unit_impact_large_water	wh_main_terrain_unit_impact_large_grass	wh_main_terrain_unit_impact_large_grass	wh_main_terrain_unit_impact_large_mud	unit_giant_impact	wh_main_terrain_unit_impact_large_rock	wh_main_terrain_unit_impact_large_rock	wh_main_terrain_unit_impact_large_sand	wh_main_terrain_unit_impact_large_grass	wh_main_terrain_unit_impact_large_water	wh_main_terrain_unit_impact_large_snow	wh_main_terrain_unit_impact_large_rock	1	
wh_main_terrain_unit_move_large_water	wh_main_terrain_unit_move_large_grass	wh_main_terrain_unit_move_large_grass	wh_main_terrain_unit_move_large_mud	unit_giant_running	wh_main_terrain_unit_move_large_rock	wh_main_terrain_unit_move_large_rock	wh_main_terrain_unit_move_large_sand	wh_main_terrain_unit_move_large_grass	wh_main_terrain_unit_move_large_wake	wh_main_terrain_unit_move_large_snow	wh_main_terrain_unit_move_large_rock	0.5	
wh_main_terrain_unit_move_large_water	wh_main_terrain_unit_move_large_grass	wh_main_terrain_unit_move_large_grass	wh_main_terrain_unit_move_large_mud	unit_giant_walking	wh_main_terrain_unit_move_large_rock	wh_main_terrain_unit_move_large_rock	wh_main_terrain_unit_move_large_sand	wh_main_terrain_unit_move_large_grass	wh_main_terrain_unit_move_large_wake	wh_main_terrain_unit_move_large_snow	wh_main_terrain_unit_move_large_rock	0.5	
wh_main_terrain_unit_move_small_water	wh_main_terrain_unit_move_small_grass	wh_main_terrain_unit_move_small_grass	wh_main_terrain_unit_move_small_mud	unit_infantry_combat	wh_main_terrain_unit_move_small_rock	wh_main_terrain_unit_move_small_rock	wh_main_terrain_unit_move_small_sand	wh_main_terrain_unit_move_small_grass	wh_main_terrain_unit_move_small_wake	wh_main_terrain_unit_move_small_snow	wh_main_terrain_unit_move_small_rock	0	
wh_main_terrain_unit_impact_small_water	wh_main_terrain_unit_impact_small_grass	wh_main_terrain_unit_impact_small_grass	wh_main_terrain_unit_impact_small_mud	unit_infantry_impact	wh_main_terrain_unit_impact_small_rock	wh_main_terrain_unit_impact_small_rock	wh_main_terrain_unit_impact_small_sand	wh_main_terrain_unit_impact_small_grass	wh_main_terrain_unit_impact_small_water	wh_main_terrain_unit_impact_small_snow	wh_main_terrain_unit_impact_small_rock	1	
wh_main_terrain_unit_impact_small_water	wh_main_terrain_unit_impact_small_grass	wh_main_terrain_unit_impact_small_grass	wh_main_terrain_unit_impact_small_mud	unit_infantry_light_imapct	wh_main_terrain_unit_impact_small_rock	wh_main_terrain_unit_impact_small_rock	wh_main_terrain_unit_impact_small_sand	wh_main_terrain_unit_impact_small_grass	wh_main_terrain_unit_impact_small_water	wh_main_terrain_unit_impact_small_snow	wh_main_terrain_unit_impact_small_rock	1	
wh_main_terrain_unit_move_small_water	wh_main_terrain_unit_move_small_grass	wh_main_terrain_unit_move_small_grass	wh_main_terrain_unit_move_small_mud	unit_infantry_running	wh_main_terrain_unit_move_small_rock	wh_main_terrain_unit_move_small_rock	wh_main_terrain_unit_move_small_sand	wh_main_terrain_unit_move_small_grass	wh_main_terrain_unit_move_small_wake	wh_main_terrain_unit_move_small_snow	wh_main_terrain_unit_move_small_rock	0.12	
wh_main_terrain_unit_move_small_water	wh_main_terrain_unit_move_small_grass	wh_main_terrain_unit_move_small_grass	wh_main_terrain_unit_move_small_mud	unit_infantry_walking	wh_main_terrain_unit_move_small_rock	wh_main_terrain_unit_move_small_rock	wh_main_terrain_unit_move_small_sand	wh_main_terrain_unit_move_small_grass	wh_main_terrain_unit_move_small_wake	wh_main_terrain_unit_move_small_snow	wh_main_terrain_unit_move_small_rock	0.06	
wh_main_terrain_unit_impact_medium_water	wh_main_terrain_unit_impact_medium_grass	wh_main_terrain_unit_impact_medium_grass	wh_main_terrain_unit_impact_medium_mud	unit_monstrous_infantry_impact	wh_main_terrain_unit_impact_medium_rock	wh_main_terrain_unit_impact_medium_rock	wh_main_terrain_unit_impact_medium_sand	wh_main_terrain_unit_impact_medium_grass	wh_main_terrain_unit_impact_medium_water	wh_main_terrain_unit_impact_medium_snow	wh_main_terrain_unit_impact_medium_rock	1	
wh_main_terrain_unit_move_large_water	wh_main_terrain_unit_move_large_grass	wh_main_terrain_unit_move_large_grass	wh_main_terrain_unit_move_large_mud	unit_war_beast_combat	wh_main_terrain_unit_move_large_rock	wh_main_terrain_unit_move_large_rock	wh_main_terrain_unit_move_large_sand	wh_main_terrain_unit_move_large_grass	wh_main_terrain_unit_move_large_wake	wh_main_terrain_unit_move_large_snow	wh_main_terrain_unit_move_large_rock	0.15	
wh_main_terrain_unit_impact_large_water	wh_main_terrain_unit_impact_large_grass	wh_main_terrain_unit_impact_large_grass	wh_main_terrain_unit_impact_large_mud	unit_war_beast_impact	wh_main_terrain_unit_impact_large_rock	wh_main_terrain_unit_impact_large_rock	wh_main_terrain_unit_impact_large_sand	wh_main_terrain_unit_impact_large_grass	wh_main_terrain_unit_impact_large_water	wh_main_terrain_unit_impact_large_snow	wh_main_terrain_unit_impact_large_rock	1	
wh_main_terrain_unit_move_large_water	wh_main_terrain_unit_move_large_grass	wh_main_terrain_unit_move_large_grass	wh_main_terrain_unit_move_large_mud	unit_war_beast_running	wh_main_terrain_unit_move_large_rock	wh_main_terrain_unit_move_large_rock	wh_main_terrain_unit_move_large_sand	wh_main_terrain_unit_move_large_grass	wh_main_terrain_unit_move_large_wake	wh_main_terrain_unit_move_large_snow	wh_main_terrain_unit_move_large_rock	0.45	
wh_main_terrain_unit_move_large_water	wh_main_terrain_unit_move_large_grass	wh_main_terrain_unit_move_large_grass	wh_main_terrain_unit_move_large_mud	unit_war_beast_walking	wh_main_terrain_unit_move_large_rock	wh_main_terrain_unit_move_large_rock	wh_main_terrain_unit_move_large_sand	wh_main_terrain_unit_move_large_grass	wh_main_terrain_unit_move_large_wake	wh_main_terrain_unit_move_large_snow	wh_main_terrain_unit_move_large_rock	0.2	
wh_dlc05_treeman_entity_movement_water	wh_dlc05_treeman_entity_movement_grass	wh_dlc05_treeman_entity_movement_grass	wh_dlc05_treeman_entity_movement_mud	wh_dlc05_treeman_entity	wh_dlc05_treeman_entity_movement_mud	wh_dlc05_treeman_entity_movement_mud	wh_dlc05_treeman_entity_movement_mud	wh_dlc05_treeman_entity_movement_grass	wh_dlc05_treeman_entity_movement_water	wh_dlc05_treeman_entity_movement_snow	wh_dlc05_treeman_entity_movement_mud	1	wh_main_unit_giant_footstep
wh_main_impact_large_water	wh_main_impact_large_wood	wh_main_impact_large_grass	wh_main_impact_large_mud	wh_main_impact_large	wh_main_impact_large_rock	wh_main_impact_large_rock	wh_main_impact_large_sand	wh_main_impact_large_grass	wh_main_impact_large_water	wh_main_impact_large_snow	wh_main_impact_large_rock	0	
wh_main_impact_medium_water	wh_main_impact_medium_wood	wh_main_impact_medium_grass	wh_main_impact_medium_mud	wh_main_impact_medium	wh_main_impact_medium_rock	wh_main_impact_medium_rock	wh_main_impact_medium_sand	wh_main_impact_medium_grass	wh_main_impact_medium_water	wh_main_impact_medium_snow	wh_main_impact_medium_rock	0	
wh_main_impact_small_water	wh_main_impact_small_wood	wh_main_impact_small_grass	wh_main_impact_small_mud	wh_main_impact_small	wh_main_impact_small_rock	wh_main_impact_small_rock	wh_main_impact_small_sand	wh_main_impact_small_grass	wh_main_impact_small_water	wh_main_impact_small_snow	wh_main_impact_small_rock	0	
wh_main_impact_vlarge_water	wh_main_impact_vlarge_wood	wh_main_impact_vlarge_grass	wh_main_impact_vlarge_mud	wh_main_impact_vlarge	wh_main_impact_vlarge_rock	wh_main_impact_vlarge_rock	wh_main_impact_vlarge_sand	wh_main_impact_vlarge_grass	wh_main_impact_vlarge_water	wh_main_impact_vlarge_snow	wh_main_impact_vlarge_rock	0	
wh_main_impact_vsmall_water	wh_main_impact_vsmall_wood	wh_main_impact_vsmall_grass	wh_main_impact_vsmall_mud	wh_main_impact_vsmall	wh_main_impact_vsmall_rock	wh_main_impact_vsmall_rock	wh_main_impact_vsmall_sand	wh_main_impact_vsmall_grass	wh_main_impact_vsmall_water	wh_main_impact_vsmall_snow	wh_main_impact_vsmall_rock	0	
wh_main_terrain_entity_raise_dead_water	wh_main_terrain_entity_raise_dead_grass	wh_main_terrain_entity_raise_dead_grass	wh_main_terrain_entity_raise_dead_mud	wh_main_terrain_entity_raise_dead	wh_main_terrain_entity_raise_dead_rock	wh_main_terrain_entity_raise_dead_rock	wh_main_terrain_entity_raise_dead_sand	wh_main_terrain_entity_raise_dead_grass	wh_main_terrain_entity_raise_dead_water	wh_main_terrain_entity_raise_dead_snow	wh_main_terrain_entity_raise_dead_rock	1	wh_main_unit_infantry_footstep
wh_main_terrain_unit_impact_large_water	wh_main_terrain_unit_impact_large_grass	wh_main_terrain_unit_impact_large_grass	wh_main_terrain_unit_impact_large_mud	wh_main_terrain_unit_impact_large	wh_main_terrain_unit_impact_large_rock	wh_main_terrain_unit_impact_large_rock	wh_main_terrain_unit_impact_large_sand	wh_main_terrain_unit_impact_large_grass	wh_main_terrain_unit_impact_large_water	wh_main_terrain_unit_impact_large_snow	wh_main_terrain_unit_impact_large_rock	0	
wh_main_terrain_unit_impact_medium_water	wh_main_terrain_unit_impact_medium_grass	wh_main_terrain_unit_impact_medium_grass	wh_main_terrain_unit_impact_medium_mud	wh_main_terrain_unit_impact_medium	wh_main_terrain_unit_impact_medium_rock	wh_main_terrain_unit_impact_medium_rock	wh_main_terrain_unit_impact_medium_sand	wh_main_terrain_unit_impact_medium_grass	wh_main_terrain_unit_impact_medium_water	wh_main_terrain_unit_impact_medium_snow	wh_main_terrain_unit_impact_medium_rock	0	
wh_main_terrain_unit_impact_small_water	wh_main_terrain_unit_impact_small_grass	wh_main_terrain_unit_impact_small_grass	wh_main_terrain_unit_impact_small_mud	wh_main_terrain_unit_impact_small	wh_main_terrain_unit_impact_small_rock	wh_main_terrain_unit_impact_small_rock	wh_main_terrain_unit_impact_small_sand	wh_main_terrain_unit_impact_small_grass	wh_main_terrain_unit_impact_small_water	wh_main_terrain_unit_impact_small_snow	wh_main_terrain_unit_impact_small_rock	0	
wh_pro03_terrain_entity_krell_raise_water	wh_pro03_terrain_entity_krell_raise_grass	wh_pro03_terrain_entity_krell_raise_grass	wh_pro03_terrain_entity_krell_raise_mud	wh_pro03_terrain_entity_krell_raise	wh_pro03_terrain_entity_krell_raise_rock	wh_pro03_terrain_entity_krell_raise_rock	wh_pro03_terrain_entity_krell_raise_sand	wh_pro03_terrain_entity_krell_raise_grass	wh_pro03_terrain_entity_krell_raise_water	wh_pro03_terrain_entity_krell_raise_snow	wh_pro03_terrain_entity_krell_raise_rock	1	wh_main_unit_infantry_footstep
