frontend_faction_leaders_tables
17
uniform	x_offset	y_offset	key	character_image	prelude_battle	video	loading_screen_image	loading_screen_intro_video	override_force_location_x	override_force_location_y	voiceover	unknown12
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh2_main_political_party_vor_hef_teclis	UI\Portraits\Faction_leaders\wh2_main_hef_teclis.png		Front_end_selection_movies/hef_teclis	ui/loading_ui/load_images/campaign_10.png	warhammer2/hef/hef_intro	-1	-1	wh2_main_vo_actor_High_Elves_Teclis	False
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh2_main_political_party_vor_hef_tyrion	UI\Portraits\Faction_leaders\wh2_main_hef_tyrion.png		Front_end_selection_movies/hef_tyrion	ui/loading_ui/load_images/campaign_10.png	warhammer2/hef/hef_intro	-1	-1	wh2_main_vo_actor_High_Elves_Tyrion	True
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh2_main_political_party_vor_lzd_kroq_gar	UI\Portraits\Faction_leaders\wh2_main_lzd_kroq_gar.png		Front_end_selection_movies/lzd_kroqgar	ui/loading_ui/load_images/campaign_9.png	warhammer2/lzd/lzd_intro	-1	-1	wh2_main_vo_actor_Lizardmen_Kroq_Gar_Saurus	False
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh2_main_political_party_vor_lzd_lord_mazdamundi	UI\Portraits\Faction_leaders\wh2_main_lzd_lord_mazdamundi.png		Front_end_selection_movies/lzd_mazdamundi	ui/loading_ui/load_images/campaign_9.png	warhammer2/lzd/lzd_intro	-1	-1	wh2_main_vo_actor_Lizardmen_Lord_Mazdamundi	True
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh2_main_political_party_vor_skv_lord_skrolk	UI\Portraits\Faction_leaders\wh2_main_skv_lord_skrolk.png		Front_end_selection_movies/skv_skrolk	ui/loading_ui/load_images/campaign_12.png	warhammer2/skv/skv_intro	-1	-1	wh2_main_vo_actor_Skaven_Lord_Skrolk	False
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh2_main_political_party_vor_skv_queek_headtaker	UI\Portraits\Faction_leaders\wh2_main_skv_queek_headtaker.png		Front_end_selection_movies/skv_queek	ui/loading_ui/load_images/campaign_12.png	warhammer2/skv/skv_intro	-1	-1	wh2_main_vo_actor_Skaven_Queek_Headtaker	True
composite_scene/front_end_selection/malagor_selection.csc	0	0	wh_dlc03_political_party_beastmen_malagor	UI\Portraits\Faction_leaders\beastmen_malagor.png		Front_end_selection_movies/malagor_front_end	ui/loading_ui/load_images/campaign_6.png		0.65	0.26	wh_dlc03_vo_actor_Beastmen_Malagor_the_Dark_Omen	False
composite_scene/front_end_selection/malagor_selection.csc	0	0	wh_dlc03_political_party_beastmen_morghur	UI\Portraits\Faction_leaders\wood_elves_morghur.png		Front_end_selection_movies/morghur_front_end	ui/loading_ui/load_images/campaign_6.png		0.5199999	0.8	wh_dlc05_vo_actor_Beastmen_Morghur	False
composite_scene/front_end_selection/khazrak_selection.csc	0	0	wh_dlc03_political_party_beastmen_ruler	UI\Portraits\Faction_leaders\beastmen_khazrak.png		Front_end_selection_movies/khazrak_front_end	ui/loading_ui/load_images/campaign_6.png		0.4	0.36	wh_dlc03_vo_actor_Beastmen_Khazrak_One_Eye	False
composite_scene/front_end_selection/khazrak_selection.csc	0	0	wh_dlc03_political_party_mini_beastmen_khazrak_ruler	UI\Portraits\Faction_leaders\beastmen_khazrak.png		Front_end_selection_movies/khazrak_front_end	ui/loading_ui/load_images/campaign_6.png		-1	-1	wh_dlc03_vo_actor_Beastmen_Khazrak_One_Eye	False
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh_dlc04_political_party_empire_volkmar	UI\Portraits\Faction_leaders\empire_volkmar.png		Front_end_selection_movies/volkmar_front_end	ui/loading_ui/load_images/campaign_3.png		-1	-1	wh_dlc04_vo_actor_Empire_Volkmar_The_Grim	False
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh_dlc04_political_party_vampire_helman	UI\Portraits\Faction_leaders\vampire_helman.png		Front_end_selection_movies/helman_front_end	ui/loading_ui/load_images/campaign_2.png		-1	-1	wh_dlc04_vo_actor_Vampire_Helman_Ghorst	False
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh_dlc05_political_party_mini_beastmen_morghur	UI\Portraits\Faction_leaders\wood_elves_morghur.png		Front_end_selection_movies/morghur_front_end	ui/loading_ui/load_images/campaign_6.png		-1	-1	wh_dlc05_vo_actor_Beastmen_Morghur	False
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh_dlc05_political_party_mini_wood_elves_durthu	UI\Portraits\Faction_leaders\wood_elves_durthu.png		Front_end_selection_movies/durthu_front_end	ui/loading_ui/load_images/campaign_7.png		-1	-1	wh_dlc05_vo_actor_Wood_Elves_Durthu	False
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh_dlc05_political_party_mini_wood_elves_ruler	UI\Portraits\Faction_leaders\wood_elves_orion.png		Front_end_selection_movies/orion_front_end	ui/loading_ui/load_images/campaign_7.png		-1	-1	wh_dlc05_vo_actor_Wood_Elves_Orion	False
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh_dlc05_political_party_wood_elves_durthu	UI\Portraits\Faction_leaders\wood_elves_durthu.png		Front_end_selection_movies/durthu_front_end	ui/loading_ui/load_images/campaign_7.png		-1	-1	wh_dlc05_vo_actor_Wood_Elves_Durthu	False
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh_dlc05_political_party_wood_elves_ruler	UI\Portraits\Faction_leaders\wood_elves_orion.png		Front_end_selection_movies/orion_front_end	ui/loading_ui/load_images/campaign_7.png		-1	-1	wh_dlc05_vo_actor_Wood_Elves_Orion	False
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh_dlc06_political_party_belegar_ruler	UI\Portraits\Faction_leaders\dwarf_belegar.png		Front_end_selection_movies/belegar_front_end	ui/loading_ui/load_images/campaign_1.png		-1	-1	wh_dlc06_vo_actor_Dwarf_Belegar_Ironhammer	False
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh_dlc06_political_party_skarsnik_ruler	UI\Portraits\Faction_leaders\greenskin_skarsnik.png		Front_end_selection_movies/skarsnik_front_end	ui/loading_ui/load_images/campaign_1.png		-1	-1	wh_dlc06_vo_actor_Goblin_Skarsnik	False
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh_dlc06_political_party_wurrzag_ruler	UI\Portraits\Faction_leaders\greenskin_wurrzag.png		Front_end_selection_movies/wurrzag_front_end	ui/loading_ui/load_images/campaign_1.png		-1	-1	wh_dlc06_vo_actor_Orc_Wurrzag	False
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh_dlc07_political_party_bretonnia_alberic	UI\Portraits\Faction_leaders\bretonnia_alberic.png		Front_end_selection_movies/alberic_front_end	ui/loading_ui/load_images/campaign_8.png		-1	-1	wh_dlc07_vo_actor_Bretonnian_Alberic	False
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh_dlc07_political_party_bretonnia_fay	UI\Portraits\Faction_leaders\bretonnia_fay.png		Front_end_selection_movies/fay_front_end	ui/loading_ui/load_images/campaign_8.png		-1	-1	wh_dlc07_vo_actor_Bretonnian_Fay_Enchantress	False
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh_dlc07_political_party_bretonnia_ruler	UI\Portraits\Faction_leaders\bretonnia_louen.png		Front_end_selection_movies/louen_front_end	ui/loading_ui/load_images/campaign_8.png		-1	-1	wh_main_vo_actor_Bretonnian_King_Louen	False
composite_scene/front_end_selection/kholek_suneater_selection.csc	0	0	wh_main_political_party_chaos_kholek	UI\Portraits\Faction_leaders\chaos_kholek.png		Front_end_selection_movies/kholek_front_end	ui/loading_ui/load_images/campaign_5.png		-1	-1	wh_dlc01_vo_actor_Chaos_KholekSuneater	False
composite_scene/front_end_selection/archaon_the_everchosen_selection.csc	0	0	wh_main_political_party_chaos_ruler	UI\Portraits\Faction_leaders\chaos_archaon.png		Front_end_selection_movies/archaon_front_end	ui/loading_ui/load_images/campaign_5.png		-1	-1	wh_dlc01_vo_actor_Chaos_ArchaonTheEverchosen	False
composite_scene/front_end_selection/prince_sigvald_the_magnificent_selection.csc	0	0	wh_main_political_party_chaos_sigvald	UI\Portraits\Faction_leaders\chaos_sigvald.png		Front_end_selection_movies/sigvald_front_end	ui/loading_ui/load_images/campaign_5.png		-1	-1	wh_dlc01_vo_actor_Chaos_SigvaldTheMagnificent	False
composite_scene/front_end_selection/grombrindal_selection.csc	0	0	wh_main_political_party_dwarf_grombrindal	UI\Portraits\Faction_leaders\dwarf_grombrindal.png		Front_end_selection_movies/grombrindal_front_end	ui/loading_ui/load_images/campaign_1.png		-1	-1	wh_pro01_vo_actor_Dwarf_Grombrindal	False
composite_scene/front_end_selection/thorgrim_grudgebearer_selection.csc	0	0	wh_main_political_party_dwarf_ruler	UI\Portraits\Faction_leaders\dwarf_thorgrim.png	wh_main_dwarfs_intro	Front_end_selection_movies/thorgrim_front_end	ui/loading_ui/load_images/campaign_1.png		-1	-1	wh_main_vo_actor_Dwarf_ThorGrimGrudgebearer	False
composite_scene/front_end_selection/ungrim_ironfist_selection.csc	0	0	wh_main_political_party_dwarf_ungrim	UI\Portraits\Faction_leaders\dwarf_ungrim.png		Front_end_selection_movies/ungrim_front_end	ui/loading_ui/load_images/campaign_1.png		-1	-1	wh_main_vo_actor_Dwarf_UngrimIronfist	False
composite_scene/front_end_selection/balthasar_gelt_selection.csc	0	0	wh_main_political_party_empire_balthasar	UI\Portraits\Faction_leaders\empire_balth.png		Front_end_selection_movies/balthazar_front_end	ui/loading_ui/load_images/campaign_3.png		-1	-1	wh_main_vo_actor_Empire_BalthasarGelt	False
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh_main_political_party_empire_ruler	UI\Portraits\Faction_leaders\empire_franz.png	wh_main_empire_intro	Front_end_selection_movies/franz_front_end	ui/loading_ui/load_images/campaign_3.png		-1	-1	wh_main_vo_actor_Empire_KarlFranz	False
composite_scene/front_end_selection/azhag_the_slaughterer_selection.csc	0	0	wh_main_political_party_greenskins_azhag	UI\Portraits\Faction_leaders\greenskin_azhag.png		Front_end_selection_movies/azhag_front_end	ui/loading_ui/load_images/campaign_4.png		-1	-1	wh_main_vo_actor_Orc_AzhagTheSlaughterer	False
composite_scene/front_end_selection/grimgor_ironhide_selection.csc	0	0	wh_main_political_party_greenskins_ruler	UI\Portraits\Faction_leaders\greenskin_grimgor.png	wh_main_greenskins_intro	Front_end_selection_movies/grimgor_front_end	ui/loading_ui/load_images/campaign_4.png		-1	-1	wh_main_vo_actor_Orc_GrimgorIronhide	False
composite_scene/front_end_selection/heinrich_kemmler_selection.csc	0	0	wh_main_political_party_vampire_heinrich	UI\Portraits\Faction_leaders\vampire_heinrich.png		Front_end_selection_movies/heinrich_front_end	ui/loading_ui/load_images/campaign_2.png		-1	-1	wh_main_vo_actor_Vampire_HeinrichKemmler	False
composite_scene/front_end_selection/mannfred_von_carstein_selection.csc	0	0	wh_main_political_party_vampire_ruler	UI\Portraits\Faction_leaders\vampire_mannfred.png	wh_main_vampire_counts_intro	Front_end_selection_movies/mannfred_front_end	ui/loading_ui/load_images/campaign_2.png		-1	-1	wh_main_vo_actor_Vampire_MannfredVonCarstein	False
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh_pro02_political_party_vampire_isabella	UI\Portraits\Faction_leaders\vampire_isabella.png		Front_end_selection_movies/isabella_front_end	ui/loading_ui/load_images/campaign_2.png		-1	-1	wh_pro02_vo_actor_Vampire_Isabella_Von_Carstein	False
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh_pro02_political_party_vlad_ruler	UI\Portraits\Faction_leaders\vampire_vlad.png		Front_end_selection_movies/vlad_front_end	ui/loading_ui/load_images/campaign_2.png		-1	-1	wh_dlc04_vo_actor_Vampire_Vlad_Von_Carstein	False
