scripted_subtitles_tables
2
key	character_for_vo
wh2_main_qb_hef_teclis_sword_of_teclis_stage_vauls_anvil_3_pt_04	teclis
wh2_main_qb_hef_teclis_sword_of_teclis_stage_vauls_anvil_3_pt_05	teclis
wh2_main_qb_hef_teclis_war_crown_of_saphery_stage_3_caverns_of_the_great_bat_pt_01	teclis
wh2_main_qb_hef_teclis_war_crown_of_saphery_stage_3_caverns_of_the_great_bat_pt_02	teclis
wh2_main_qb_hef_teclis_war_crown_of_saphery_stage_3_caverns_of_the_great_bat_pt_03	teclis
wh2_main_qb_hef_teclis_war_crown_of_saphery_stage_3_caverns_of_the_great_bat_pt_04	teclis
wh2_main_qb_hef_tyrion_dragon_armour_of_aenarion_stage_4_vauls_anvil_pt_01	tyrion
wh2_main_qb_hef_tyrion_dragon_armour_of_aenarion_stage_4_vauls_anvil_pt_02	tyrion
wh2_main_qb_hef_tyrion_dragon_armour_of_aenarion_stage_4_vauls_anvil_pt_03	tyrion
wh2_main_qb_hef_tyrion_dragon_armour_of_aenarion_stage_4_vauls_anvil_pt_04	tyrion
wh2_main_qb_hef_tyrion_final_battle_pt_01	tyrion
wh2_main_qb_hef_tyrion_final_battle_pt_02	tyrion
wh2_main_qb_hef_tyrion_final_battle_pt_03	tyrion
wh2_main_qb_hef_tyrion_final_battle_pt_04	tyrion
wh2_main_qb_hef_tyrion_sunfang_stage_4_tower_of_hoeth_pt_01	tyrion
wh2_main_qb_hef_tyrion_sunfang_stage_4_tower_of_hoeth_pt_02	tyrion
wh2_main_qb_hef_tyrion_sunfang_stage_4_tower_of_hoeth_pt_03	tyrion
wh2_main_qb_hef_tyrion_sunfang_stage_4_tower_of_hoeth_pt_04	tyrion
wh2_main_qb_lzd_kroqgar_final_battle_pt_01	kroqgar
wh2_main_qb_lzd_kroqgar_final_battle_pt_02	kroqgar
wh2_main_qb_lzd_kroqgar_final_battle_pt_03	kroqgar
wh2_main_qb_lzd_kroqgar_final_battle_pt_04	kroqgar
wh2_main_qb_lzd_kroqgar_revered_spear_of_tlanxla_stage_3_mosquito_swamps_pt_01	kroqgar
wh2_main_qb_lzd_kroqgar_revered_spear_of_tlanxla_stage_3_mosquito_swamps_pt_02	kroqgar
wh2_main_qb_lzd_kroqgar_revered_spear_of_tlanxla_stage_3_mosquito_swamps_pt_03	kroqgar
wh2_main_qb_lzd_kroqgar_revered_spear_of_tlanxla_stage_3_mosquito_swamps_pt_04	kroqgar
wh2_main_qb_lzd_mazdamundi_cobra_mace_of_mazdamundi_stage_3_isle_of_the_crimson_skull_pt_01	lord_mazdamundi
wh2_main_qb_lzd_mazdamundi_cobra_mace_of_mazdamundi_stage_3_isle_of_the_crimson_skull_pt_02	lord_mazdamundi
wh2_main_qb_lzd_mazdamundi_cobra_mace_of_mazdamundi_stage_3_isle_of_the_crimson_skull_pt_03	lord_mazdamundi
wh2_main_qb_lzd_mazdamundi_final_battle_pt_01	lord_mazdamundi
wh2_main_qb_lzd_mazdamundi_final_battle_pt_02	lord_mazdamundi
wh2_main_qb_lzd_mazdamundi_final_battle_pt_03	lord_mazdamundi
wh2_main_qb_lzd_mazdamundi_final_battle_pt_04	lord_mazdamundi
wh2_main_qb_lzd_mazdamundi_final_battle_pt_05	lord_mazdamundi
wh2_main_qb_lzd_mazdamundi_sunburst_standard_of_hexoatl_stage_4_fallen_gates_pt_01	lord_mazdamundi
wh2_main_qb_lzd_mazdamundi_sunburst_standard_of_hexoatl_stage_4_fallen_gates_pt_02	lord_mazdamundi
wh2_main_qb_lzd_mazdamundi_sunburst_standard_of_hexoatl_stage_4_fallen_gates_pt_03	lord_mazdamundi
wh2_main_qb_lzd_mazdamundi_sunburst_standard_of_hexoatl_stage_4_fallen_gates_pt_04	lord_mazdamundi
wh2_main_qb_skv_queek_headtaker_dwarfgouger_stage_4_gouger_gully_pt_01	queek_headtaker
wh2_main_qb_skv_queek_headtaker_dwarfgouger_stage_4_gouger_gully_pt_02	queek_headtaker
wh2_main_qb_skv_queek_headtaker_dwarfgouger_stage_4_gouger_gully_pt_03	queek_headtaker
wh2_main_qb_skv_queek_headtaker_dwarfgouger_stage_4_gouger_gully_pt_04	queek_headtaker
wh2_main_qb_skv_queek_headtaker_final_battle_pt_01	queek_headtaker
wh2_main_qb_skv_queek_headtaker_final_battle_pt_02	queek_headtaker
wh2_main_qb_skv_queek_headtaker_final_battle_pt_03	queek_headtaker
wh2_main_qb_skv_queek_headtaker_final_battle_pt_04	queek_headtaker
wh2_main_qb_skv_queek_headtaker_final_battle_pt_05	queek_headtaker
wh2_main_qb_skv_queek_headtaker_warp_shard_armour_stage_6_warp_shard_caverns_pt_01	queek_headtaker
wh2_main_qb_skv_queek_headtaker_warp_shard_armour_stage_6_warp_shard_caverns_pt_02	queek_headtaker
wh2_main_qb_skv_queek_headtaker_warp_shard_armour_stage_6_warp_shard_caverns_pt_03	queek_headtaker
wh2_main_qb_skv_skrolk_final_battle_pt_01	lord_skrolk
wh2_main_qb_skv_skrolk_final_battle_pt_02	lord_skrolk
wh2_main_qb_skv_skrolk_final_battle_pt_03	lord_skrolk
wh2_main_qb_skv_skrolk_final_battle_pt_04	lord_skrolk
wh2_main_qb_skv_skrolk_rod_of_corruption_stage_3_isle_of_the_crimson_skull_pt_01	lord_skrolk
wh2_main_qb_skv_skrolk_rod_of_corruption_stage_3_isle_of_the_crimson_skull_pt_02	lord_skrolk
wh2_main_qb_skv_skrolk_rod_of_corruption_stage_3_isle_of_the_crimson_skull_pt_03	lord_skrolk
wh2_main_qb_skv_skrolk_rod_of_corruption_stage_3_isle_of_the_crimson_skull_pt_04	lord_skrolk
wh2_main_qb_skv_skrolk_the_liber_bubonicus_stage_3_mortuary_of_tzulaqua_pt_01	lord_skrolk
wh2_main_qb_skv_skrolk_the_liber_bubonicus_stage_3_mortuary_of_tzulaqua_pt_02	lord_skrolk
wh2_main_qb_skv_skrolk_the_liber_bubonicus_stage_3_mortuary_of_tzulaqua_pt_03	lord_skrolk
wh2_main_qb_skv_skrolk_the_liber_bubonicus_stage_3_mortuary_of_tzulaqua_pt_04	lord_skrolk
wh_dlc01_qb_chs_archaon_armour_of_morkar_stage_3_pt_01	
wh_dlc01_qb_chs_archaon_armour_of_morkar_stage_3_pt_02	
wh_dlc01_qb_chs_archaon_armour_of_morkar_stage_3_pt_03	
wh_dlc01_qb_chs_archaon_armour_of_morkar_stage_3_pt_04	
wh_dlc01_qb_chs_archaon_crown_of_domination_stage_2_pt_01	
wh_dlc01_qb_chs_archaon_crown_of_domination_stage_2_pt_02	
wh_dlc01_qb_chs_archaon_crown_of_domination_stage_2_pt_03	
wh_dlc01_qb_chs_archaon_eye_of_sheerian_stage_3_pt_01	
wh_dlc01_qb_chs_archaon_eye_of_sheerian_stage_3_pt_02	
wh_dlc01_qb_chs_archaon_slayer_of_kings_stage_3_pt_01	
wh_dlc01_qb_chs_archaon_slayer_of_kings_stage_3_pt_02	
wh_dlc01_qb_chs_archaon_slayer_of_kings_stage_3_pt_03	
wh_dlc01_qb_chs_kholek_suneater_starcrusher_stage_3_pt_01	
wh_dlc01_qb_chs_kholek_suneater_starcrusher_stage_3_pt_02	
wh_dlc01_qb_chs_kholek_suneater_starcrusher_stage_3_pt_03	
wh_dlc01_qb_chs_prince_sigvald_auric_armour_stage_3_pt_01	
wh_dlc01_qb_chs_prince_sigvald_auric_armour_stage_3_pt_02	
wh_dlc01_qb_chs_prince_sigvald_auric_armour_stage_3_pt_03	
wh_dlc01_qb_chs_prince_sigvald_auric_armour_stage_3_pt_04	
wh_dlc01_qb_chs_prince_sigvald_auric_armour_stage_3_pt_05	
wh_dlc01_qb_chs_prince_sigvald_sliverslash_stage_4_pt_01	
wh_dlc01_qb_chs_prince_sigvald_sliverslash_stage_4_pt_02	
wh_dlc01_qb_chs_prince_sigvald_sliverslash_stage_4_pt_03	
wh_dlc01_qb_chs_prince_sigvald_sliverslash_stage_4_pt_04	
wh_dlc03_qb_bst_Morghur_battle_spirit_chaos_pt_01	
wh_dlc03_qb_bst_Morghur_battle_spirit_chaos_pt_02	
wh_dlc03_qb_bst_Morghur_battle_spirit_chaos_pt_03	
wh_dlc03_qb_bst_Morghur_battle_spirit_chaos_pt_04	
wh_dlc03_qb_bst_khazrak_dark_mail_stage_5_pt_01	khazrak
wh_dlc03_qb_bst_khazrak_one_eye_scourge_stage_4_slaughter_at_grimminhagen_pt_01	khazrak
wh_dlc03_qb_bst_khazrak_one_eye_scourge_stage_4_slaughter_at_grimminhagen_pt_02	khazrak
wh_dlc03_qb_bst_khazrak_one_eye_scourge_stage_4_slaughter_at_grimminhagen_pt_03	khazrak
wh_dlc03_qb_bst_khazrak_one_eye_the_dark_mail_stage_5_ashes_of_kelp_and_koldust_pt_01	khazrak
wh_dlc03_qb_bst_khazrak_one_eye_the_dark_mail_stage_5_ashes_of_kelp_and_koldust_pt_02	khazrak
wh_dlc03_qb_bst_khazrak_one_eye_the_dark_mail_stage_5_ashes_of_kelp_and_koldust_pt_03	khazrak
wh_dlc03_qb_bst_khazrak_scourge_stage_5_pt_01	khazrak
wh_dlc03_qb_bst_khazrak_the_fall_of_man_pt_01	
wh_dlc03_qb_bst_malagor_icons_of_vilification_stage_3_pt_01	malagor
wh_dlc03_qb_bst_malagor_icons_of_vilification_stage_7_pt_01	malagor
wh_dlc03_qb_bst_malagor_the_dark_omen_the_icons_of_vilification_stage_3_the_forest_of_shadows_pt_01	malagor
wh_dlc03_qb_bst_malagor_the_dark_omen_the_icons_of_vilification_stage_3_the_forest_of_shadows_pt_02	malagor
wh_dlc03_qb_bst_malagor_the_dark_omen_the_icons_of_vilification_stage_3_the_forest_of_shadows_pt_03	malagor
wh_dlc03_qb_bst_malagor_the_dark_omen_the_icons_of_vilification_stage_6_the_stir_river_pt_01	malagor
wh_dlc03_qb_bst_malagor_the_dark_omen_the_icons_of_vilification_stage_6_the_stir_river_pt_02	malagor
wh_dlc03_qb_bst_malagor_the_dark_omen_the_icons_of_vilification_stage_6_the_stir_river_pt_03	
wh_dlc03_qb_bst_malagor_the_dark_omen_the_icons_of_vilification_stage_6_the_stir_river_pt_04	malagor
wh_dlc03_qb_bst_the_final_battle_pt_01	khazrak
wh_dlc03_qb_bst_the_final_battle_pt_02	khazrak
wh_dlc03_qb_bst_the_final_battle_pt_03	khazrak
wh_dlc04_qb_emp_volkmar_the_grim_jade_griffon_stage_5_pt_01	
wh_dlc04_qb_emp_volkmar_the_grim_jade_griffon_stage_5_pt_02	
wh_dlc04_qb_emp_volkmar_the_grim_jade_griffon_stage_5_pt_03	
wh_dlc04_qb_emp_volkmar_the_grim_staff_of_command_stage_6_pt_01	
wh_dlc04_qb_emp_volkmar_the_grim_staff_of_command_stage_6_pt_02	
wh_dlc04_qb_emp_volkmar_the_grim_staff_of_command_stage_6_pt_03	
wh_dlc04_qb_emp_volkmar_the_grim_staff_of_command_stage_6_pt_04	
wh_dlc04_qb_vmp_helman_ghorst_liber_noctus_stage_6_pt_01	
wh_dlc04_qb_vmp_helman_ghorst_liber_noctus_stage_6_pt_02	
wh_dlc04_qb_vmp_helman_ghorst_liber_noctus_stage_6_pt_03	
wh_dlc04_qb_vmp_vlad_von_carstein_blood_drinker_stage_4_pt_01	
wh_dlc04_qb_vmp_vlad_von_carstein_blood_drinker_stage_4_pt_02	
wh_dlc04_qb_vmp_vlad_von_carstein_blood_drinker_stage_4_pt_03	
wh_dlc04_qb_vmp_vlad_von_carstein_the_carstein_ring_stage_5_pt_01	
wh_dlc04_qb_vmp_vlad_von_carstein_the_carstein_ring_stage_5_pt_02	
wh_dlc04_qb_vmp_vlad_von_carstein_the_carstein_ring_stage_5_pt_03	
wh_dlc04_qb_vmp_vlad_von_carstein_the_carstein_ring_stage_5_pt_04	
wh_dlc05_qb_wef_durthu_daiths_sword_stage_3_pt_01	
wh_dlc05_qb_wef_durthu_daiths_sword_stage_3_pt_02	
wh_dlc05_qb_wef_durthu_daiths_sword_stage_3_pt_03	
wh_dlc05_qb_wef_durthu_daiths_sword_stage_4_pt_01	
wh_dlc05_qb_wef_durthu_daiths_sword_stage_4_pt_02	
wh_dlc05_qb_wef_durthu_daiths_sword_stage_4_pt_03	
wh_dlc05_qb_wef_orion_cloak_of_isha_pt_01	
wh_dlc05_qb_wef_orion_cloak_of_isha_pt_02	
wh_dlc05_qb_wef_orion_cloak_of_isha_pt_03	
wh_dlc05_qb_wef_orion_cloak_of_isha_pt_04	
wh_dlc05_qb_wef_orion_horn_of_the_wild_hunt_pt_01	
wh_dlc05_qb_wef_orion_horn_of_the_wild_hunt_pt_02	
wh_dlc05_qb_wef_orion_horn_of_the_wild_hunt_pt_03	
wh_dlc05_qb_wef_orion_spear_of_kurnous_pt_01	
wh_dlc05_qb_wef_orion_spear_of_kurnous_pt_02	
wh_dlc05_qb_wef_orion_spear_of_kurnous_pt_03	
wh_dlc06_qb_dwf_belegar_ironhammer_hammer_of_anground_stage_4_pt_01	
wh_dlc06_qb_dwf_belegar_ironhammer_hammer_of_anground_stage_4_pt_02	
wh_dlc06_qb_dwf_belegar_ironhammer_hammer_of_anground_stage_4_pt_03	
wh_dlc06_qb_dwf_belegar_ironhammer_shield_of_defiance_stage_3_pt_01	
wh_dlc06_qb_dwf_belegar_ironhammer_shield_of_defiance_stage_3_pt_02	
wh_dlc06_qb_dwf_belegar_ironhammer_shield_of_defiance_stage_3_pt_03	
wh_dlc06_qb_grn_skarsnik_skarsniks_prodder_stage_3_pt_01	
wh_dlc06_qb_grn_skarsnik_skarsniks_prodder_stage_3_pt_02	
wh_dlc06_qb_grn_skarsnik_skarsniks_prodder_stage_3_pt_03	
wh_dlc06_qb_grn_skarsnik_skarsniks_prodder_stage_3_pt_04	
wh_dlc06_qb_grn_skarsnik_skarsniks_prodder_stage_5_pt_01	
wh_dlc06_qb_grn_skarsnik_skarsniks_prodder_stage_5_pt_02	
wh_dlc06_qb_grn_skarsnik_skarsniks_prodder_stage_5_pt_03	
wh_dlc06_qb_grn_wurrzag_da_great_green_prophet_baleful_mask_stage_4_pt_01	
wh_dlc06_qb_grn_wurrzag_da_great_green_prophet_baleful_mask_stage_4_pt_02	
wh_dlc06_qb_grn_wurrzag_da_great_green_prophet_baleful_mask_stage_4_pt_03	
wh_dlc06_qb_grn_wurrzag_da_great_green_prophet_bonewood_staff_stage_4_pt_01	
wh_dlc06_qb_grn_wurrzag_da_great_green_prophet_bonewood_staff_stage_4_pt_02	
wh_dlc06_qb_grn_wurrzag_da_great_green_prophet_bonewood_staff_stage_4_pt_03	
wh_dlc06_qb_grn_wurrzag_da_great_green_prophet_squiggly_beast_stage_4_pt_01	
wh_dlc06_qb_grn_wurrzag_da_great_green_prophet_squiggly_beast_stage_4_pt_02	
wh_dlc06_qb_grn_wurrzag_da_great_green_prophet_squiggly_beast_stage_4_pt_03	
wh_dlc07_qb_brt_alberic_trident_of_manann_pt_01	
wh_dlc07_qb_brt_alberic_trident_of_manann_pt_02	
wh_dlc07_qb_brt_alberic_trident_of_manann_pt_03	
wh_dlc07_qb_brt_fay_enchantress_chalice_of_potions_pt_01	
wh_dlc07_qb_brt_fay_enchantress_chalice_of_potions_pt_02	
wh_dlc07_qb_brt_fay_enchantress_chalice_of_potions_pt_03	
wh_dlc07_qb_brt_louen_sword_of_couronne_pt_01	
wh_dlc07_qb_brt_louen_sword_of_couronne_pt_02	
wh_dlc07_qb_brt_louen_sword_of_couronne_pt_03	
wh_main_prelude_grimgor_ironhide_pt_01	
wh_main_prelude_grimgor_ironhide_pt_02	
wh_main_prelude_karl_franz_pt_01	
wh_main_prelude_karl_franz_pt_02	
wh_main_prelude_mannfred_von_carstein_pt_01	
wh_main_prelude_mannfred_von_carstein_pt_02	
wh_main_prelude_thorgrim_grudgebearer_pt_01	
wh_main_prelude_thorgrim_grudgebearer_pt_02	
wh_main_qb_dwf_thorgrim_grudgebearer_armour_of_skaldour_stage_4_pt_01	
wh_main_qb_dwf_thorgrim_grudgebearer_armour_of_skaldour_stage_4_pt_02	
wh_main_qb_dwf_thorgrim_grudgebearer_armour_of_skaldour_stage_4_pt_03	
wh_main_qb_dwf_thorgrim_grudgebearer_armour_of_skaldour_stage_4_pt_04	
wh_main_qb_dwf_thorgrim_grudgebearer_armour_of_skaldour_stage_4_pt_05	
wh_main_qb_dwf_thorgrim_grudgebearer_armour_of_skaldour_stage_4_pt_06	
wh_main_qb_dwf_thorgrim_grudgebearer_axe_of_grimnir_stage_3_01	
wh_main_qb_dwf_thorgrim_grudgebearer_axe_of_grimnir_stage_3_02	
wh_main_qb_dwf_thorgrim_grudgebearer_axe_of_grimnir_stage_3_03	
wh_main_qb_dwf_thorgrim_grudgebearer_axe_of_grimnir_stage_3_04	
wh_main_qb_dwf_thorgrim_grudgebearer_axe_of_grimnir_stage_3_05	
wh_main_qb_dwf_thorgrim_grudgebearer_axe_of_grimnir_stage_3_06	
wh_main_qb_dwf_thorgrim_grudgebearer_axe_of_grimnir_stage_3_07	
wh_main_qb_dwf_thorgrim_grudgebearer_axe_of_grimnir_stage_3_pt_01	
wh_main_qb_dwf_thorgrim_grudgebearer_axe_of_grimnir_stage_3_pt_02	
wh_main_qb_dwf_thorgrim_grudgebearer_axe_of_grimnir_stage_3_pt_03	
wh_main_qb_dwf_thorgrim_grudgebearer_axe_of_grimnir_stage_3_pt_04	
wh_main_qb_dwf_thorgrim_grudgebearer_axe_of_grimnir_stage_3_pt_05	
wh_main_qb_dwf_thorgrim_grudgebearer_axe_of_grimnir_stage_3_pt_06	
wh_main_qb_dwf_thorgrim_grudgebearer_book_of_grudges_stage_3_pt_01	
wh_main_qb_dwf_thorgrim_grudgebearer_book_of_grudges_stage_3_pt_02	
wh_main_qb_dwf_thorgrim_grudgebearer_book_of_grudges_stage_3_pt_03	
wh_main_qb_dwf_thorgrim_grudgebearer_book_of_grudges_stage_3_pt_04	
wh_main_qb_dwf_thorgrim_grudgebearer_dragon_crown_of_karaz_stage_3_pt_01	
wh_main_qb_dwf_thorgrim_grudgebearer_dragon_crown_of_karaz_stage_3_pt_02	
wh_main_qb_dwf_thorgrim_grudgebearer_dragon_crown_of_karaz_stage_3_pt_03	
wh_main_qb_dwf_thorgrim_grudgebearer_dragon_crown_of_karaz_stage_3_pt_04	
wh_main_qb_dwf_thorgrim_grudgebearer_dragon_crown_of_karaz_stage_3_pt_05	
wh_main_qb_dwf_thorgrim_grudgebearer_intro_subterranean_pt_01	
wh_main_qb_dwf_thorgrim_grudgebearer_intro_subterranean_pt_02	
wh_main_qb_dwf_thorgrim_grudgebearer_intro_subterranean_pt_02a	
wh_main_qb_dwf_thorgrim_grudgebearer_intro_subterranean_pt_03	
wh_main_qb_dwf_ungrim_ironfist_axe_of_dargo_stage_4_pt_01	
wh_main_qb_dwf_ungrim_ironfist_axe_of_dargo_stage_4_pt_02	
wh_main_qb_dwf_ungrim_ironfist_axe_of_dargo_stage_4_pt_03	
wh_main_qb_dwf_ungrim_ironfist_axe_of_dargo_stage_4_pt_04	
wh_main_qb_dwf_ungrim_ironfist_dragon_cloak_of_fyrskar_stage_4_pt_01	
wh_main_qb_dwf_ungrim_ironfist_dragon_cloak_of_fyrskar_stage_4_pt_02	
wh_main_qb_dwf_ungrim_ironfist_dragon_cloak_of_fyrskar_stage_4_pt_03	
wh_main_qb_dwf_ungrim_ironfist_dragon_cloak_of_fyrskar_stage_4_pt_04	
wh_main_qb_dwf_ungrim_ironfist_slayer_crown_stage_4_pt_01	
wh_main_qb_dwf_ungrim_ironfist_slayer_crown_stage_4_pt_02	
wh_main_qb_dwf_ungrim_ironfist_slayer_crown_stage_4_pt_03	
wh_main_qb_dwf_ungrim_ironfist_slayer_crown_stage_4_pt_04	
wh_main_qb_dwf_ungrim_ironfist_slayer_crown_stage_5_pt_01	
wh_main_qb_dwf_ungrim_ironfist_slayer_crown_stage_5_pt_02	
wh_main_qb_dwf_ungrim_ironfist_slayer_crown_stage_5_pt_03	
wh_main_qb_dwf_ungrim_ironfist_slayer_crown_stage_5_pt_04	
wh_main_qb_emp_balthasar_gelt_amulet_of_sea_gold_stage_4.1_pt_01	
wh_main_qb_emp_balthasar_gelt_amulet_of_sea_gold_stage_4.1_pt_02	
wh_main_qb_emp_balthasar_gelt_amulet_of_sea_gold_stage_4.1_pt_03	
wh_main_qb_emp_balthasar_gelt_amulet_of_sea_gold_stage_4.1_pt_04	
wh_main_qb_emp_balthasar_gelt_amulet_of_sea_gold_stage_4.2_pt_01	
wh_main_qb_emp_balthasar_gelt_amulet_of_sea_gold_stage_4.2_pt_02	
wh_main_qb_emp_balthasar_gelt_amulet_of_sea_gold_stage_4.2_pt_03	
wh_main_qb_emp_balthasar_gelt_amulet_of_sea_gold_stage_4.2_pt_04	
wh_main_qb_emp_balthasar_gelt_cloak_of_molten_metal_stage_3.1_pt_01	
wh_main_qb_emp_balthasar_gelt_cloak_of_molten_metal_stage_3.1_pt_02	
wh_main_qb_emp_balthasar_gelt_cloak_of_molten_metal_stage_3.1_pt_03	
wh_main_qb_emp_balthasar_gelt_cloak_of_molten_metal_stage_5_pt_01	
wh_main_qb_emp_balthasar_gelt_cloak_of_molten_metal_stage_5_pt_02	
wh_main_qb_emp_balthasar_gelt_cloak_of_molten_metal_stage_5_pt_03	
wh_main_qb_emp_balthasar_gelt_cloak_of_molten_metal_stage_5_pt_04	
wh_main_qb_emp_balthasar_gelt_staff_of_volans_stage_2_pt_01	
wh_main_qb_emp_balthasar_gelt_staff_of_volans_stage_2_pt_02	
wh_main_qb_emp_balthasar_gelt_staff_of_volans_stage_3_pt_01	
wh_main_qb_emp_balthasar_gelt_staff_of_volans_stage_3_pt_02	
wh_main_qb_emp_balthasar_gelt_staff_of_volans_stage_3_pt_03	
wh_main_qb_emp_balthasar_gelt_staff_of_volans_stage_3_pt_04	
wh_main_qb_emp_balthasar_gelt_staff_of_volans_stage_3_pt_05	
wh_main_qb_emp_karl_franz_ghal_maraz_stage_4_pt_01	
wh_main_qb_emp_karl_franz_ghal_maraz_stage_4_pt_02	
wh_main_qb_emp_karl_franz_ghal_maraz_stage_4_pt_03	
wh_main_qb_emp_karl_franz_intro_battle_of_bloodpine_woods_pt_01	
wh_main_qb_emp_karl_franz_intro_battle_of_bloodpine_woods_pt_02	
wh_main_qb_emp_karl_franz_intro_battle_of_bloodpine_woods_pt_03	
wh_main_qb_emp_karl_franz_intro_battle_of_bloodpine_woods_pt_04	
wh_main_qb_emp_karl_franz_intro_battle_of_bloodpine_woods_pt_05	
wh_main_qb_emp_karl_franz_reikland_runefang_stage_3_pt_01	
wh_main_qb_emp_karl_franz_reikland_runefang_stage_3_pt_02	
wh_main_qb_emp_karl_franz_reikland_runefang_stage_3_pt_03	
wh_main_qb_emp_karl_franz_reikland_runefang_stage_3_pt_04	
wh_main_qb_emp_karl_franz_reikland_runefang_stage_3_the_threat_from_the_north_01	karl_franz
wh_main_qb_emp_karl_franz_reikland_runefang_stage_3_the_threat_from_the_north_02	karl_franz
wh_main_qb_emp_karl_franz_reikland_runefang_stage_3_the_threat_from_the_north_03	karl_franz
wh_main_qb_emp_karl_franz_reikland_runefang_stage_3_the_threat_from_the_north_04	karl_franz
wh_main_qb_emp_karl_franz_silver_seal_stage_3.1_pt_01	
wh_main_qb_emp_karl_franz_silver_seal_stage_3.1_pt_02	
wh_main_qb_emp_karl_franz_silver_seal_stage_3.1_pt_03	
wh_main_qb_emp_karl_franz_silver_seal_stage_3.1_pt_04	
wh_main_qb_emp_karl_franz_silver_seal_stage_3.1_pt_05	
wh_main_qb_grn_azhag_the_slaughterer_azhags_ard_armour_stage_4_pt_01n	
wh_main_qb_grn_azhag_the_slaughterer_azhags_ard_armour_stage_4_pt_02n	
wh_main_qb_grn_azhag_the_slaughterer_azhags_ard_armour_stage_4_pt_03n	
wh_main_qb_grn_azhag_the_slaughterer_azhags_ard_armour_stage_4_pt_04n	
wh_main_qb_grn_azhag_the_slaughterer_azhags_ard_armour_stage_4_pt_05n	
wh_main_qb_grn_azhag_the_slaughterer_crown_of_sorcery_stage_3_pt_01	
