audio_ability_phases_tables
1
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7
wh_dlc05_spell_shadow_okkams_mindrazor	wh_dlc05_spell_shadow_okkams_mindrazor	0			True	False	True
wh_dlc05_spell_shadow_the_enfeebling_foe	wh_dlc05_spell_shadow_the_enfeebling_foe	0			True	False	True
wh_dlc05_spell_shadow_the_withering	wh_dlc05_spell_shadow_the_withering	0			True	False	True
	wh_dlc05_spell_shadow_the_withering_upgraded	0			False	False	False
wh_dlc06_character_abilities_effagee_of_da_git	wh_dlc06_character_abilities_effagee_of_da_git	500			True	False	False
wh_dlc07_ability_favour_of_the_fay_group	wh_dlc07_ability_favour_of_the_fay	300			True	False	True
wh_ability_negative_group	wh_main_character_abilities_foe_seeker	700			True	False	True
wh_ability_positive_group	wh_main_character_abilities_red_fury	700			True	False	True
wh_main_spell_vampires_vanhels_danse_macabre	wh_main_item_abilities_forbidden_rod	700			True	False	False
	wh_main_item_abilities_potion_of_healing	150	Battle_IND_Magic_Generic_Buff_One_Shot		True	False	False
wh_main_spell_big_waaagh_ere_we_go	wh_main_spell_big_waaagh_ere_we_go	500			True	False	True
wh_main_spell_big_waaagh_fists_of_gork	wh_main_spell_big_waaagh_fists_of_gork	700			True	False	True
wh_main_spell_dark_magic_power_of_darkness	wh_main_spell_dark_magic_power_of_darkness	700	Battle_IND_Magic_Dark_Power_Of_Darkness_Start	Battle_IND_Magic_Dark_Power_Of_Darkness_Stop	True	False	True
wh_main_spell_dark_magic_soul_stealer	wh_main_spell_dark_magic_soul_stealer	700	Battle_IND_Magic_Dark_Soul_Stealer_Start	Battle_IND_Magic_Dark_Soul_Stealer_Stop	True	False	True
wh_main_spell_dark_magic_word_of_pain	wh_main_spell_dark_magic_word_of_pain	700	Battle_IND_Magic_Dark_Word_Of_Pain_Start	Battle_IND_Magic_Dark_Word_Of_Pain_Stop	True	False	True
wh_main_spell_death_aspect_of_the_dreadknight	wh_main_spell_death_aspect_of_the_dreadknight	500			True	False	True
wh_main_spell_death_doom_and_darkness	wh_main_spell_death_doom_and_darkness	700			True	False	True
wh_main_spell_death_soulblight	wh_main_spell_death_soulblight	700			True	False	True
wh_main_spell_death_spirit_leech	wh_main_spell_death_spirit_leech	700			True	False	True
wh_main_spell_death_the_fate_of_bjuna	wh_main_spell_death_the_fate_of_bjuna	700			True	False	True
wh_main_spell_fire_cascading_fire_cloak	wh_main_spell_fire_cascading_fire_cloak	700			True	False	True
wh_main_spell_fire_flaming_sword_of_rhuin	wh_main_spell_fire_flaming_sword_of_rhuin	700			True	False	True
wh_main_spell_heavens_curse_of_the_midnight_wind	wh_main_spell_heavens_curse_of_the_midnight_wind	700			True	False	True
wh_main_spell_heavens_harmonic_convergence	wh_main_spell_heavens_harmonic_convergence	700			True	False	True
wh_main_spell_invocation_of_nehek	wh_main_spell_invocation_of_nehek	700			True	False	True
wh_main_spell_light_bironas_timewarp	wh_main_spell_light_bironas_timewarp	700			True	False	True
wh_main_spell_light_light_of_battle	wh_main_spell_light_light_of_battle	700			True	False	True
wh_main_spell_light_net_of_amyntok	wh_main_spell_light_net_of_amyntok	700			True	False	True
wh_main_spell_light_phas_protection	wh_main_spell_light_phas_protection	700			True	False	True
wh_main_spell_lil_waaagh_gorkll_fix_it	wh_main_spell_lil_waaagh_gorkll_fix_it	700			True	False	True
wh_main_spell_lil_waaagh_itchy_nuisance	wh_main_spell_lil_waaagh_itchy_nuisance	700			True	False	True
wh_main_spell_lil_waaagh_night_shroud	wh_main_spell_lil_waaagh_night_shroud	150			True	False	True
wh_main_spell_lil_waaagh_sneaky_stabbin	wh_main_spell_lil_waaagh_sneaky_stabbin	700			True	False	True
wh_main_spell_metal_final_transmutation	wh_main_spell_metal_final_transmutation	700			True	False	True
wh_main_spell_metal_glittering_robe	wh_main_spell_metal_glittering_robe	700			True	False	True
wh_main_spell_metal_plague_of_rust	wh_main_spell_metal_plague_of_rust	700			True	False	True
wh_main_spell_metal_transmutation_of_lead	wh_main_spell_metal_transmutation_of_lead	700			True	False	True
wh_main_spell_ruin_death_frenzy	wh_main_spell_ruin_death_frenzy	700			True	False	True
wh_main_spell_ruin_howling_warpgale	wh_main_spell_ruin_howling_warpgale	700			True	False	True
wh_main_spell_ruin_skitterleap	wh_main_spell_ruin_skitterleap	700			True	False	True
wh_main_spell_vampires_curse_of_years	wh_main_spell_vampires_curse_of_years	700			True	False	True
wh_main_spell_vampires_vanhels_danse_macabre	wh_main_spell_vampires_vanhels_danse_macabre	700			True	False	True
wh_ability_positive_group	wh_main_unit_abilities_entrenchment	300			True	False	True
