character_skill_level_to_ancillaries_junctions_tables
1
granted_ancillary	skill	level
wh2_main_anc_mount_hef_tyrion_malhandhir	wh2_main_skill_hef_tyrion_mount_malhandhir	1
wh2_main_anc_mount_lzd_kroq_gar_cold_one	wh2_main_skill_lzd_kroq_gar_mount_1	1
wh2_main_anc_mount_lzd_kroq_gar_horned_one	wh2_main_skill_lzd_kroq_gar_mount_1	2
wh2_main_anc_mount_lzd_kroq_gar_grymloq	wh2_main_skill_lzd_kroq_gar_mount_2	1
wh2_main_anc_mount_lzd_lord_mazdamundi_zlaaq	wh2_main_skill_lzd_mazdamundi_zlaaq	1
wh2_main_anc_mount_lzd_saurus_old_blood_carnosaur	wh2_main_skill_lzd_saurus_old_blood_carnosaur	1
wh2_main_anc_mount_lzd_saurus_old_blood_cold_one	wh2_main_skill_lzd_saurus_old_blood_cold_one	1
wh2_main_anc_mount_lzd_saurus_scar_veteran_carnosaur	wh2_main_skill_lzd_saurus_scar_veteran_carnosaur	1
wh2_main_anc_mount_lzd_saurus_scar_veteran_cold_one	wh2_main_skill_lzd_saurus_scar_veteran_cold_one	1
wh2_main_anc_mount_lzd_skink_chief_ancient_stegadon	wh2_main_skill_lzd_skink_chief_stegadon	2
wh2_main_anc_mount_lzd_skink_chief_stegadon	wh2_main_skill_lzd_skink_chief_stegadon	1
wh2_main_anc_mount_lzd_skink_chief_terradon	wh2_main_skill_lzd_skink_chief_terradon	1
wh2_main_anc_mount_lzd_skink_priest_beasts_ancient_stegadon	wh2_main_skill_lzd_skink_priest_beasts_stegadon	2
wh2_main_anc_mount_lzd_skink_priest_beasts_stegadon	wh2_main_skill_lzd_skink_priest_beasts_stegadon	1
wh2_main_anc_mount_lzd_skink_priest_beasts_terradon	wh2_main_skill_lzd_skink_priest_beasts_terradon	1
wh2_main_anc_mount_lzd_skink_priest_heavens_ancient_stegadon	wh2_main_skill_lzd_skink_priest_heavens_stegadon	2
wh2_main_anc_mount_lzd_skink_priest_heavens_stegadon	wh2_main_skill_lzd_skink_priest_heavens_stegadon	1
wh2_main_anc_mount_lzd_skink_priest_heavens_terradon	wh2_main_skill_lzd_skink_priest_heavens_terradon	1
wh2_main_anc_mount_skv_grey_seer_plague_screaming_bell	wh2_main_skill_skv_grey_seer_plague_mount_screaming_bell	1
wh2_main_anc_mount_skv_grey_seer_ruin_screaming_bell	wh2_main_skill_skv_grey_seer_ruin_mount_screaming_bell	1
wh2_main_anc_mount_skv_plague_priest_plague_furnace	wh2_main_skill_skv_plague_priest_mount_plague_furnace	1
wh2_main_anc_mount_skv_warlord_bonebreaker	wh2_main_skill_skv_warlord_mount_1	1
wh_dlc01_anc_mount_chs_chaos_sorcerer_shadow_barded_chaos_steed	wh_dlc01_skill_chs_wizard_unique_chaos_sorcerer_shadow_chaos_steed	2
wh_dlc01_anc_mount_chs_chaos_sorcerer_shadow_chaos_steed	wh_dlc01_skill_chs_wizard_unique_chaos_sorcerer_shadow_chaos_steed	1
wh_dlc01_anc_mount_chs_chaos_sorcerer_shadow_manticore	wh_dlc01_skill_chs_wizard_unique_chaos_sorcerer_shadow_manticore	1
wh_dlc03_bst_cha_beastlord_1	wh_dlc03_skill_bst_beastlord_unique_razorgor	1
wh_dlc03_bst_cha_bray_shaman_beasts_1	wh_dlc03_skill_bst_bray_shaman_beasts_unique_razorgor	1
wh_dlc03_bst_cha_bray_shaman_death_1	wh_dlc03_skill_bst_bray_shaman_death_unique_razorgor	1
wh_dlc03_bst_cha_bray_shaman_wild_1	wh_dlc03_skill_bst_bray_shaman_wild_unique_razorgor	1
wh_dlc03_bst_cha_khazrak_one_eye_1	wh_dlc03_skill_bst_khazrak_one_eye_unique_razorgor	1
wh_dlc03_anc_mount_emp_boris_todbringer_barded_warhorse	wh_dlc03_skill_emp_lord_unique_boris_todbringer_barded_warhorse	1
wh_dlc03_anc_mount_emp_amber_wizard_imperial_griffon	wh_dlc03_skill_emp_wizard_unique_amber_wizard_imperial_griffon	1
wh_dlc03_anc_mount_emp_amber_wizard_imperial_pegasus	wh_dlc03_skill_emp_wizard_unique_amber_wizard_imperial_pegasus	1
wh_dlc03_anc_mount_emp_amber_wizard_barded_warhorse	wh_dlc03_skill_emp_wizard_unique_amber_wizard_warhorse	2
wh_dlc03_anc_mount_emp_amber_wizard_warhorse	wh_dlc03_skill_emp_wizard_unique_amber_wizard_warhorse	1
wh_dlc04_anc_mount_emp_arch_lector_barded_warhorse	wh_dlc04_skill_emp_lord_unique_arch_lector_warhorse	2
wh_dlc04_anc_mount_emp_arch_lector_warhorse	wh_dlc04_skill_emp_lord_unique_arch_lector_warhorse	1
wh_dlc04_anc_mount_emp_volkmar_the_grim_altar_of_sigmar	wh_dlc04_skill_emp_lord_unique_volkmar_the_grim_altar_of_sigmar	1
wh_dlc04_anc_mount_emp_volkmar_the_grim_barded_warhorse	wh_dlc04_skill_emp_lord_unique_volkmar_the_grim_warhorse	2
wh_dlc04_anc_mount_emp_volkmar_the_grim_warhorse	wh_dlc04_skill_emp_lord_unique_volkmar_the_grim_warhorse	1
wh_dlc04_anc_mount_vmp_helman_ghorst_corpse_cart	wh_dlc04_skill_vmp_lord_unique_helman_ghorst_corpse_cart	1
wh_dlc04_anc_mount_vmp_master_necromancer_corpse_cart_balefire	wh_dlc04_skill_vmp_lord_unique_necromancer_corpse_cart_balefire	1
wh_dlc04_anc_mount_vmp_master_necromancer_corpse_cart_unholy_lodestone	wh_dlc04_skill_vmp_lord_unique_necromancer_corpse_cart_lodestone	1
wh_dlc04_anc_mount_vmp_master_necromancer_corpse_cart	wh_dlc04_skill_vmp_lord_unique_necromancer_corpse_cart	1
wh_dlc04_anc_mount_vmp_strigoi_ghoul_king_terrorgheist	wh_dlc04_skill_vmp_lord_unique_strigoi_ghoul_king_terrorgheist	1
wh_dlc04_anc_mount_vmp_necromancer_corpse_cart_balefire	wh_dlc04_skill_vmp_wizard_unique_necromancer_corpse_cart_balefire	1
wh_dlc04_anc_mount_vmp_necromancer_corpse_cart_unholy_lodestone	wh_dlc04_skill_vmp_wizard_unique_necromancer_corpse_cart_lodestone	1
wh_dlc04_anc_mount_vmp_necromancer_corpse_cart	wh_dlc04_skill_vmp_wizard_unique_necromancer_corpse_cart	1
wh_dlc05_anc_mount_emp_grey_wizard_barded_warhorse	wh_dlc05_skill_emp_wizard_unique_grey_wizard_barded_warhorse	1
wh_dlc05_anc_mount_emp_grey_wizard_imperial_pegasus	wh_dlc05_skill_emp_wizard_unique_grey_wizard_pegasus	1
wh_dlc05_anc_mount_emp_grey_wizard_warhorse	wh_dlc05_skill_emp_wizard_unique_grey_wizard_warhorse	1
wh_dlc05_anc_mount_emp_jade_wizard_barded_warhorse	wh_dlc05_skill_emp_wizard_unique_jade_wizard_barded_warhorse	1
wh_dlc05_anc_mount_emp_jade_wizard_imperial_pegasus	wh_dlc05_skill_emp_wizard_unique_jade_wizard_pegasus	1
wh_dlc05_anc_mount_emp_jade_wizard_warhorse	wh_dlc05_skill_emp_wizard_unique_jade_wizard_warhorse	1
wh_dlc05_anc_mount_vmp_vampire_shadow_barded_nightmare	wh_dlc05_skill_vmp_dignitary_shadow_unique_vampire_barded_nightmare	1
wh_dlc05_anc_mount_vmp_vampire_shadow_hellsteed	wh_dlc05_skill_vmp_dignitary_shadow_unique_vampire_hellsteed	1
wh_dlc05_anc_weapon_daiths_sword	wh_dlc05_skill_wef_durthu_unique_sword_of_daith	1
wh_dlc05_anc_mount_wef_glade_lord_elven_steed_fem	wh_dlc05_skill_wef_glade_lord_unique_elven_steed_fem	1
wh_dlc05_anc_mount_wef_glade_lord_elven_steed	wh_dlc05_skill_wef_glade_lord_unique_elven_steed	1
wh_dlc05_anc_mount_wef_glade_lord_forest_dragon_fem	wh_dlc05_skill_wef_glade_lord_unique_forest_dragon_fem	1
wh_dlc05_anc_mount_wef_glade_lord_forest_dragon	wh_dlc05_skill_wef_glade_lord_unique_forest_dragon	1
wh_dlc05_anc_mount_wef_glade_lord_great_eagle_fem	wh_dlc05_skill_wef_glade_lord_unique_great_eagle_fem	1
wh_dlc05_anc_mount_wef_glade_lord_great_eagle	wh_dlc05_skill_wef_glade_lord_unique_great_eagle	1
wh_dlc05_anc_talisman_cloak_of_isha	wh_dlc05_skill_wef_orion_unique_cloak_of_isha	1
wh_dlc05_anc_enchanted_item_horn_of_the_wild_hunt	wh_dlc05_skill_wef_orion_unique_horn_of_the_wild_hunt	1
wh_dlc05_anc_weapon_spear_of_kurnous	wh_dlc05_skill_wef_orion_unique_spear_of_kurnous	1
wh_dlc05_anc_mount_wef_spellsinger_beast_elven_steed	wh_dlc05_skill_wef_spellsinger_beasts_unique_elven_steed	1
wh_dlc05_anc_mount_wef_spellsinger_beast_great_eagle	wh_dlc05_skill_wef_spellsinger_beasts_unique_great_eagle	1
wh_dlc05_anc_mount_wef_spellsinger_beast_unicorn	wh_dlc05_skill_wef_spellsinger_beasts_unique_unicorn	1
wh_dlc05_anc_mount_wef_spellsinger_life_elven_steed	wh_dlc05_skill_wef_spellsinger_life_unique_elven_steed	1
wh_dlc05_anc_mount_wef_spellsinger_life_great_eagle	wh_dlc05_skill_wef_spellsinger_life_unique_great_eagle	1
wh_dlc05_anc_mount_wef_spellsinger_life_unicorn	wh_dlc05_skill_wef_spellsinger_life_unique_unicorn	1
wh_dlc05_anc_mount_wef_spellsinger_shadow_elven_steed	wh_dlc05_skill_wef_spellsinger_shadow_unique_elven_steed	1
wh_dlc05_anc_mount_wef_spellsinger_shadow_great_eagle	wh_dlc05_skill_wef_spellsinger_shadow_unique_great_eagle	1
wh_dlc05_anc_mount_wef_spellsinger_shadow_unicorn	wh_dlc05_skill_wef_spellsinger_shadow_unique_unicorn	1
wh_dlc06_anc_mount_dwf_runelord_anvil_of_doom	wh_dlc06_skill_dwf_runelord_anvil_of_doom	1
wh_dlc06_anc_rune_rune_of_fury	wh_dlc06_skill_dwf_runelord_self_rune_of_fury	1
wh_dlc06_anc_rune_rune_of_might	wh_dlc06_skill_dwf_runelord_self_rune_of_might	1
wh_dlc06_anc_rune_rune_of_parrying	wh_dlc06_skill_dwf_runelord_self_rune_of_parrying	1
wh_dlc06_anc_rune_rune_of_striking	wh_dlc06_skill_dwf_runelord_self_rune_of_striking	1
wh_dlc06_anc_mount_grn_night_goblin_warboss_great_cave_squig	wh_dlc06_skill_grn_night_goblin_warboss_great_cave_squig	1
wh_dlc06_anc_mount_grn_wurrzag_spleenrippa	wh_dlc06_skill_grn_wurrzag_da_great_prophet_spleenrippa	1
wh_dlc07_anc_mount_brt_alberic_barbed_warhorse	wh_dlc07_skill_brt_alberic_unique_general_barded_warhorse	1
wh_dlc07_anc_mount_brt_alberic_royal_hipppogryph	wh_dlc07_skill_brt_alberic_unique_general_hippogryph	1
wh_dlc07_anc_mount_brt_alberic_royal_pegasus	wh_dlc07_skill_brt_alberic_unique_general_royal_pegasus	1
wh_dlc07_anc_mount_brt_damsel_beasts_unicorn	wh_dlc07_skill_brt_damsel_beasts_unique_unicorn	1
wh_dlc07_anc_mount_brt_damsel_heavens_unicorn	wh_dlc07_skill_brt_damsel_heavens_unique_unicorn	1
wh_dlc07_anc_mount_brt_damsel_life_unicorn	wh_dlc07_skill_brt_damsel_life_unique_unicorn	1
wh_dlc07_anc_mount_brt_fay_enchantress_silvaron	wh_dlc07_skill_brt_fay_enchantress_unique_silvaron	1
wh_dlc07_anc_mount_brt_prophetess_royal_pegasus	wh_dlc07_skill_brt_prophetess_unique_brettonian_royal_pegasus	1
wh_dlc07_anc_mount_brt_prophetess_brettonian_warhorse	wh_dlc07_skill_brt_prophetess_unique_brettonian_warhorse	1
wh_dlc07_anc_mount_brt_prophetess_brettonian_warhorse_barded	wh_dlc07_skill_brt_prophetess_unique_brettonian_warhorse	2
wh_main_anc_mount_brt_paladin_barded_warhorse	wh_main_skill_brt_champion_unique_paladin_barded_warhorse	1
wh_main_anc_mount_brt_paladin_pegasus	wh_main_skill_brt_champion_unique_paladin_pegasus	1
wh_main_anc_mount_brt_general_barded_warhorse	wh_main_skill_brt_lord_unique_general_barded_warhorse	1
wh_main_anc_mount_brt_general_hippogryph	wh_main_skill_brt_lord_unique_general_hippogryph	1
wh_main_anc_mount_brt_general_royal_pegasus	wh_main_skill_brt_lord_unique_general_royal_pegasus	1
wh_main_anc_mount_brt_louen_beaquis	wh_main_skill_brt_lord_unique_louen_beaquis	1
wh_main_anc_mount_brt_louen_royal_pegasus	wh_main_skill_brt_lord_unique_louen_royal_pegasus	1
wh_main_anc_mount_brt_damsel_barded_warhorse	wh_main_skill_brt_wizard_unique_damsel_warhorse	2
wh_main_anc_mount_brt_damsel_warhorse	wh_main_skill_brt_wizard_unique_damsel_warhorse	1
wh_main_anc_mount_chs_exalted_hero_barded_chaos_steed	wh_main_skill_chs_champion_unique_exalted_hero_chaos_steed	2
wh_main_anc_mount_chs_exalted_hero_chaos_steed	wh_main_skill_chs_champion_unique_exalted_hero_chaos_steed	1
wh_dlc01_anc_mount_chs_exalted_hero_manticore	wh_main_skill_chs_champion_unique_exalted_hero_manticore	1
wh_main_anc_mount_chs_archaon_dorghar	wh_main_skill_chs_lord_unique_archaon_dorghar	1
wh_dlc01_anc_mount_chs_chaos_lord_chaos_dragon	wh_main_skill_chs_lord_unique_chaos_lord_chaos_dragon	1
wh_main_anc_mount_chs_chaos_lord_barded_chaos_steed	wh_main_skill_chs_lord_unique_chaos_lord_chaos_steed	2
wh_main_anc_mount_chs_chaos_lord_chaos_steed	wh_main_skill_chs_lord_unique_chaos_lord_chaos_steed	1
wh_dlc01_anc_mount_chs_chaos_lord_manticore	wh_main_skill_chs_lord_unique_chaos_lord_manticore	1
wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_death_dragon	wh_main_skill_chs_lord_unique_chaos_sorcerer_lord_death_chaos_dragon	1
wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_death_barded_chaos_steed	wh_main_skill_chs_lord_unique_chaos_sorcerer_lord_death_chaos_steed	2
wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_death_chaos_steed	wh_main_skill_chs_lord_unique_chaos_sorcerer_lord_death_chaos_steed	1
wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_death_manticore	wh_main_skill_chs_lord_unique_chaos_sorcerer_lord_death_manticore	1
wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_fire_dragon	wh_main_skill_chs_lord_unique_chaos_sorcerer_lord_fire_chaos_dragon	1
wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_fire_barded_chaos_steed	wh_main_skill_chs_lord_unique_chaos_sorcerer_lord_fire_chaos_steed	2
wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_fire_chaos_steed	wh_main_skill_chs_lord_unique_chaos_sorcerer_lord_fire_chaos_steed	1
wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_fire_manticore	wh_main_skill_chs_lord_unique_chaos_sorcerer_lord_fire_manticore	1
wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_metal_dragon	wh_main_skill_chs_lord_unique_chaos_sorcerer_lord_metal_chaos_dragon	1
wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_metal_barded_chaos_steed	wh_main_skill_chs_lord_unique_chaos_sorcerer_lord_metal_chaos_steed	2
wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_metal_chaos_steed	wh_main_skill_chs_lord_unique_chaos_sorcerer_lord_metal_chaos_steed	1
wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_metal_manticore	wh_main_skill_chs_lord_unique_chaos_sorcerer_lord_metal_manticore	1
wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_shadow_dragon	wh_main_skill_chs_lord_unique_chaos_sorcerer_lord_shadow_chaos_dragon	1
wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_shadow_barded_chaos_steed	wh_main_skill_chs_lord_unique_chaos_sorcerer_lord_shadow_chaos_steed	2
wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_shadow_chaos_steed	wh_main_skill_chs_lord_unique_chaos_sorcerer_lord_shadow_chaos_steed	1
wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_shadow_manticore	wh_main_skill_chs_lord_unique_chaos_sorcerer_lord_shadow_manticore	1
wh_main_anc_mount_chs_chaos_sorcerer_death_barded_chaos_steed	wh_main_skill_chs_wizard_unique_chaos_sorcerer_death_chaos_steed	2
wh_main_anc_mount_chs_chaos_sorcerer_death_chaos_steed	wh_main_skill_chs_wizard_unique_chaos_sorcerer_death_chaos_steed	1
wh_main_anc_mount_chs_chaos_sorcerer_death_manticore	wh_main_skill_chs_wizard_unique_chaos_sorcerer_death_manticore	1
wh_main_anc_mount_chs_chaos_sorcerer_fire_barded_chaos_steed	wh_main_skill_chs_wizard_unique_chaos_sorcerer_fire_chaos_steed	2
wh_main_anc_mount_chs_chaos_sorcerer_fire_chaos_steed	wh_main_skill_chs_wizard_unique_chaos_sorcerer_fire_chaos_steed	1
wh_main_anc_mount_chs_chaos_sorcerer_fire_manticore	wh_main_skill_chs_wizard_unique_chaos_sorcerer_fire_manticore	1
wh_main_anc_mount_chs_chaos_sorcerer_metal_barded_chaos_steed	wh_main_skill_chs_wizard_unique_chaos_sorcerer_metal_chaos_steed	2
wh_main_anc_mount_chs_chaos_sorcerer_metal_chaos_steed	wh_main_skill_chs_wizard_unique_chaos_sorcerer_metal_chaos_steed	1
wh_main_anc_mount_chs_chaos_sorcerer_metal_manticore	wh_main_skill_chs_wizard_unique_chaos_sorcerer_metal_manticore	1
wh_main_anc_rune_rune_of_fury	wh_main_skill_dwf_runesmith_self_rune_of_fury	1
wh_main_anc_rune_rune_of_might	wh_main_skill_dwf_runesmith_self_rune_of_might	1
wh_main_anc_rune_rune_of_parrying	wh_main_skill_dwf_runesmith_self_rune_of_parrying	1
wh_main_anc_rune_rune_of_striking	wh_main_skill_dwf_runesmith_self_rune_of_striking	1
wh_main_anc_mount_emp_captain_imperial_pegasus	wh_main_skill_emp_champion_unique_captain_imperial_pegasus	1
wh_main_anc_mount_emp_captain_barded_warhorse	wh_main_skill_emp_champion_unique_captain_warhorse	2
wh_main_anc_mount_emp_captain_warhorse	wh_main_skill_emp_champion_unique_captain_warhorse	1
wh_main_anc_mount_emp_warrior_priest_barded_warhorse	wh_main_skill_emp_dignitary_unique_warrior_priest_warhorse	2
wh_main_anc_mount_emp_warrior_priest_warhorse	wh_main_skill_emp_dignitary_unique_warrior_priest_warhorse	1
wh_main_anc_mount_emp_balthasar_imperial_pegasus	wh_main_skill_emp_lord_unique_balthasar_imperial_pegasus	1
wh_main_anc_mount_emp_general_imperial_griffon	wh_main_skill_emp_lord_unique_general_imperial_griffon	1
wh_main_anc_mount_emp_general_imperial_pegasus	wh_main_skill_emp_lord_unique_general_imperial_pegasus	1
wh_main_anc_mount_emp_general_barded_warhorse	wh_main_skill_emp_lord_unique_general_warhorse	2
wh_main_anc_mount_emp_general_warhorse	wh_main_skill_emp_lord_unique_general_warhorse	1
wh_main_anc_mount_emp_karl_franz_deathclaw	wh_main_skill_emp_lord_unique_karl_franz_deathclaw	1
wh_main_anc_mount_emp_karl_franz_imperial_pegasus	wh_main_skill_emp_lord_unique_karl_franz_imperial_pegasus	1
wh_main_anc_mount_emp_karl_franz_barded_warhorse	wh_main_skill_emp_lord_unique_karl_franz_warhorse	2
wh_main_anc_mount_emp_karl_franz_warhorse	wh_main_skill_emp_lord_unique_karl_franz_warhorse	1
wh_main_anc_mount_emp_bright_wizard_imperial_pegasus	wh_main_skill_emp_wizard_unique_bright_wizard_imperial_pegasus	1
wh_main_anc_mount_emp_bright_wizard_barded_warhorse	wh_main_skill_emp_wizard_unique_bright_wizard_warhorse	2
wh_main_anc_mount_emp_bright_wizard_warhorse	wh_main_skill_emp_wizard_unique_bright_wizard_warhorse	1
wh_main_anc_mount_emp_celestial_wizard_imperial_pegasus	wh_main_skill_emp_wizard_unique_celestial_wizard_imperial_pegasus	1
wh_main_anc_mount_emp_celestial_wizard_barded_warhorse	wh_main_skill_emp_wizard_unique_celestial_wizard_warhorse	2
wh_main_anc_mount_emp_celestial_wizard_warhorse	wh_main_skill_emp_wizard_unique_celestial_wizard_warhorse	1
wh_main_anc_mount_emp_light_wizard_imperial_pegasus	wh_main_skill_emp_wizard_unique_light_wizard_imperial_pegasus	1
wh_main_anc_mount_emp_light_wizard_barded_warhorse	wh_main_skill_emp_wizard_unique_light_wizard_warhorse	2
wh_main_anc_mount_emp_light_wizard_warhorse	wh_main_skill_emp_wizard_unique_light_wizard_warhorse	1
wh_main_anc_mount_grn_azhag_skullmuncha	wh_main_skill_grn_lord_unique_azhag_skullmuncha	1
wh_main_anc_mount_grn_goblin_great_shaman_giant_wolf	wh_main_skill_grn_lord_unique_goblin_great_shaman_giant_wolf	1
wh_main_anc_mount_grn_orc_warboss_war_boar	wh_main_skill_grn_lord_unique_orc_warboss_war_boar	1
wh_main_anc_mount_grn_orc_warboss_wyvern	wh_main_skill_grn_lord_unique_orc_warboss_wyvern	1
wh_main_anc_mount_grn_goblin_big_boss_giant_spider	wh_main_skill_grn_spy_unique_goblin_big_boss_giant_spider	1
wh_main_anc_mount_grn_goblin_big_boss_giant_wolf	wh_main_skill_grn_spy_unique_goblin_big_boss_giant_wolf	1
wh_main_anc_mount_grn_wizard_orc_shaman_war_boar	wh_main_skill_grn_wizard_unique_orc_shaman_war_boar	1
wh_main_anc_mount_ksl_captain_barded_warhorse	wh_main_skill_ksl_champion_unique_captain_warhorse	2
wh_main_anc_mount_ksl_captain_warhorse	wh_main_skill_ksl_champion_unique_captain_warhorse	1
wh_main_anc_mount_ksl_general_barded_warhorse	wh_main_skill_ksl_lord_unique_general_warhorse	2
wh_main_anc_mount_ksl_general_warhorse	wh_main_skill_ksl_lord_unique_general_warhorse	1
wh_main_anc_mount_ksl_celestial_wizard_warhorse	wh_main_skill_ksl_wizard_unique_celestial_wizard_warhorse	1
wh_dlc01_anc_mount_nor_chaos_sorcerer_lord_warhorse	wh_main_skill_nor_lord_unique_chaos_sorcerer_lord_warhorse	1
wh_main_anc_mount_nor_marauder_chieftain_warhorse	wh_main_skill_nor_lord_unique_marauder_chieftain_warhorse	1
wh_main_anc_mount_nor_chaos_sorcerer_warhorse	wh_main_skill_nor_wizard_unique_chaos_sorcerer_metal_warhorse	1
wh_main_anc_mount_teb_captain_barded_warhorse	wh_main_skill_teb_champion_unique_captain_warhorse	2
wh_main_anc_mount_teb_captain_warhorse	wh_main_skill_teb_champion_unique_captain_warhorse	1
wh_main_anc_mount_teb_general_barded_warhorse	wh_main_skill_teb_lord_unique_general_warhorse	2
wh_main_anc_mount_teb_general_warhorse	wh_main_skill_teb_lord_unique_general_warhorse	1
wh_main_anc_mount_teb_bright_wizard_warhorse	wh_main_skill_teb_wizard_unique_bright_wizard_warhorse	1
