ui_unit_bullet_points_generations_tables
0
bullet_point_enum	unknown1	text_override	unit_class	unit_stat	unit_stat_threshold
att_average_positive	False		cav_mis	stat_missile_block_chance	0.75
att_good	False		cav_mis	stat_missile_block_chance	1.5
att_excellent	False		cav_mis	stat_missile_block_chance	2
att_very_poor	False		cav_mis	stat_morale	0.49
att_poor	False		cav_mis	stat_morale	0.5
att_average_negative	False		cav_mis	stat_morale	0.75
att_good	False		cav_mis	stat_morale	1.25
att_excellent	False		cav_mis	stat_morale	1.5
att_very_poor	False		cav_mis	stat_reloading	0.49
att_poor	False		cav_mis	stat_reloading	0.5
att_average_negative	False		cav_mis	stat_reloading	0.75
att_good	False		cav_mis	stat_reloading	1.25
att_excellent	False		cav_mis	stat_reloading	1.5
att_very_poor	False		cav_mis	stat_spotting_forest	0.49
att_poor	False		cav_mis	stat_spotting_forest	0.5
att_average_negative	False		cav_mis	stat_spotting_forest	0.75
att_good	False		cav_mis	stat_spotting_forest	1.25
att_excellent	False		cav_mis	stat_spotting_forest	1.5
att_very_poor	False		cav_shk	scalar_speed	0.49
att_poor	False		cav_shk	scalar_speed	0.5
att_average_negative	False		cav_shk	scalar_speed	0.75
att_good	False		cav_shk	scalar_speed	1.25
att_excellent	False		cav_shk	scalar_speed	1.5
att_average_positive	False	ranged_attack	cav_shk	stat_ammo	0
att_very_poor	False		cav_shk	stat_armour	0.49
att_poor	False		cav_shk	stat_armour	0.5
att_average_negative	False		cav_shk	stat_armour	0.75
att_good	False		cav_shk	stat_armour	1.25
att_excellent	False		cav_shk	stat_armour	1.5
att_very_poor	False		cav_shk	stat_charge_bonus	0.49
att_poor	False		cav_shk	stat_charge_bonus	0.5
att_average_negative	False		cav_shk	stat_charge_bonus	0.75
att_good	False		cav_shk	stat_charge_bonus	1.25
att_excellent	False		cav_shk	stat_charge_bonus	1.5
att_very_poor	False		cav_shk	stat_missile_block_chance	0.49
att_poor	False		cav_shk	stat_missile_block_chance	0.5
att_average_positive	False		cav_shk	stat_missile_block_chance	0.75
att_good	False		cav_shk	stat_missile_block_chance	1.5
att_excellent	False		cav_shk	stat_missile_block_chance	2
att_very_poor	False		cav_shk	stat_morale	0.49
att_poor	False		cav_shk	stat_morale	0.5
att_average_negative	False		cav_shk	stat_morale	0.75
att_good	False		cav_shk	stat_morale	1.25
att_excellent	False		cav_shk	stat_morale	1.5
att_very_poor	False		cav_shk	stat_spotting_forest	0.49
att_poor	False		cav_shk	stat_spotting_forest	0.5
att_average_negative	False		cav_shk	stat_spotting_forest	0.75
att_good	False		cav_shk	stat_spotting_forest	1.25
att_excellent	False		cav_shk	stat_spotting_forest	1.5
att_average_positive	False	ranged_attack	elph	stat_ammo	0
att_very_poor	False		elph	stat_armour	0.49
att_poor	False		elph	stat_armour	0.5
att_average_negative	False		elph	stat_armour	0.75
att_good	False		elph	stat_armour	1.25
att_excellent	False		elph	stat_armour	1.5
att_average_positive	False	att_charge_strong	elph	stat_charge_bonus	0
att_average_positive	False	ranged_attack	inf_mel	stat_ammo	0
att_very_poor	False		inf_mel	stat_armour	0.49
att_poor	False		inf_mel	stat_armour	0.5
att_average_negative	False		inf_mel	stat_armour	0.75
att_good	False		inf_mel	stat_armour	1.25
att_excellent	False		inf_mel	stat_armour	1.5
att_very_poor	False		inf_mel	stat_bonus_vs_cavalry	0.49
att_poor	False		inf_mel	stat_bonus_vs_cavalry	0.5
att_average_negative	False		inf_mel	stat_bonus_vs_cavalry	0.75
att_good	False		inf_mel	stat_bonus_vs_cavalry	2
att_excellent	False		inf_mel	stat_bonus_vs_cavalry	3
att_very_poor	False		inf_mel	stat_bonus_vs_infantry	0.49
att_poor	False		inf_mel	stat_bonus_vs_infantry	0.5
att_average_negative	False		inf_mel	stat_bonus_vs_infantry	0.75
att_good	False		inf_mel	stat_bonus_vs_infantry	2
att_excellent	False		inf_mel	stat_bonus_vs_infantry	3
att_very_poor	False		inf_mel	stat_charge_bonus	0.49
att_poor	False		inf_mel	stat_charge_bonus	0.5
att_average_positive	False		inf_mel	stat_charge_bonus	0.75
att_good	False		inf_mel	stat_charge_bonus	1.25
att_excellent	False		inf_mel	stat_charge_bonus	1.5
att_very_poor	False		inf_mel	stat_melee_damage_ap	0.49
att_poor	False		inf_mel	stat_melee_damage_ap	0.5
att_average_negative	False		inf_mel	stat_melee_damage_ap	0.75
att_good	False		inf_mel	stat_melee_damage_ap	1.25
att_excellent	False		inf_mel	stat_melee_damage_ap	1.5
att_very_poor	False		inf_mel	stat_missile_block_chance	0.49
att_poor	False		inf_mel	stat_missile_block_chance	0.5
att_average_positive	False		inf_mel	stat_missile_block_chance	0.75
att_good	False		inf_mel	stat_missile_block_chance	1.5
att_excellent	False		inf_mel	stat_missile_block_chance	2
att_very_poor	False		inf_mel	stat_morale	0.49
att_poor	False		inf_mel	stat_morale	0.5
att_average_negative	False		inf_mel	stat_morale	0.75
att_good	False		inf_mel	stat_morale	1.25
att_excellent	False		inf_mel	stat_morale	1.5
att_very_poor	False		inf_mel	stat_spotting_forest	0.49
att_poor	False		inf_mel	stat_spotting_forest	0.5
att_average_negative	False		inf_mel	stat_spotting_forest	0.75
att_good	False		inf_mel	stat_spotting_forest	1.25
att_excellent	False		inf_mel	stat_spotting_forest	1.5
att_very_poor	False		inf_mis	scalar_missile_damage_ap	0.49
att_poor	False		inf_mis	scalar_missile_damage_ap	0.5
att_average_negative	False		inf_mis	scalar_missile_damage_ap	0.75
att_good	False		inf_mis	scalar_missile_damage_ap	1.25
att_excellent	False		inf_mis	scalar_missile_damage_ap	1.5
att_very_poor	False		inf_mis	scalar_missile_range	0.49
att_poor	False		inf_mis	scalar_missile_range	0.5
att_average_negative	False		inf_mis	scalar_missile_range	0.75
att_good	False		inf_mis	scalar_missile_range	1.25
att_excellent	False		inf_mis	scalar_missile_range	1.5
att_low	False		inf_mis	stat_ammo	0.49
att_low	False		inf_mis	stat_ammo	0.5
att_average_negative	False		inf_mis	stat_ammo	0.75
att_high	False		inf_mis	stat_ammo	1.25
att_high	False		inf_mis	stat_ammo	1.5
att_very_poor	False		inf_mis	stat_armour	0.49
att_poor	False		inf_mis	stat_armour	0.5
att_average_negative	False		inf_mis	stat_armour	0.75
att_good	False		inf_mis	stat_armour	1.25
att_excellent	False		inf_mis	stat_armour	1.5
att_very_poor	False		inf_mis	stat_missile_block_chance	0.49
att_poor	False		inf_mis	stat_missile_block_chance	0.5
att_average_positive	False		inf_mis	stat_missile_block_chance	0.75
att_good	False		inf_mis	stat_missile_block_chance	1.5
att_excellent	False		inf_mis	stat_missile_block_chance	2
att_very_poor	False		inf_mis	stat_morale	0.49
att_poor	False		inf_mis	stat_morale	0.5
att_average_negative	False		inf_mis	stat_morale	0.75
att_good	False		inf_mis	stat_morale	1.25
att_excellent	False		inf_mis	stat_morale	1.5
att_very_poor	False		inf_mis	stat_reloading	0.49
att_poor	False		inf_mis	stat_reloading	0.5
att_average_negative	False		inf_mis	stat_reloading	0.75
att_good	False		inf_mis	stat_reloading	1.25
att_excellent	False		inf_mis	stat_reloading	1.5
att_very_poor	False		inf_mis	stat_spotting_forest	0.49
att_poor	False		inf_mis	stat_spotting_forest	0.5
att_average_negative	False		inf_mis	stat_spotting_forest	0.75
att_good	False		inf_mis	stat_spotting_forest	1.25
att_excellent	False		inf_mis	stat_spotting_forest	1.5
att_average_positive	False	ranged_attack	inf_pik	stat_ammo	0
att_very_poor	False		inf_pik	stat_armour	0.49
att_poor	False		inf_pik	stat_armour	0.5
att_average_negative	False		inf_pik	stat_armour	0.75
att_good	False		inf_pik	stat_armour	1.25
att_excellent	False		inf_pik	stat_armour	1.5
att_very_poor	False		inf_pik	stat_charge_bonus	0.49
att_poor	False		inf_pik	stat_charge_bonus	0.5
att_average_positive	False		inf_pik	stat_charge_bonus	0.75
att_good	False		inf_pik	stat_charge_bonus	1.25
att_excellent	False		inf_pik	stat_charge_bonus	1.5
att_very_poor	False		inf_pik	stat_melee_damage_ap	0.49
att_poor	False		inf_pik	stat_melee_damage_ap	0.5
att_average_negative	False		inf_pik	stat_melee_damage_ap	0.75
att_good	False		inf_pik	stat_melee_damage_ap	1.25
att_excellent	False		inf_pik	stat_melee_damage_ap	1.5
att_very_poor	False		inf_pik	stat_missile_block_chance	0.49
att_poor	False		inf_pik	stat_missile_block_chance	0.5
att_average_positive	False		inf_pik	stat_missile_block_chance	0.75
att_good	False		inf_pik	stat_missile_block_chance	1.5
att_excellent	False		inf_pik	stat_missile_block_chance	2
att_very_poor	False		inf_pik	stat_morale	0.49
att_poor	False		inf_pik	stat_morale	0.5
att_average_negative	False		inf_pik	stat_morale	0.75
att_good	False		inf_pik	stat_morale	1.25
att_excellent	False		inf_pik	stat_morale	1.5
att_very_poor	False		inf_pik	stat_spotting_forest	0.49
att_poor	False		inf_pik	stat_spotting_forest	0.5
att_average_negative	False		inf_pik	stat_spotting_forest	0.75
att_good	False		inf_pik	stat_spotting_forest	1.25
att_excellent	False		inf_pik	stat_spotting_forest	1.5
att_average_positive	False	ranged_attack	inf_spr	stat_ammo	0
att_very_poor	False		inf_spr	stat_armour	0.49
att_poor	False		inf_spr	stat_armour	0.5
att_average_negative	False		inf_spr	stat_armour	0.75
att_good	False		inf_spr	stat_armour	1.25
att_excellent	False		inf_spr	stat_armour	1.5
att_very_poor	False		inf_spr	stat_bonus_vs_cavalry	0.49
att_poor	False		inf_spr	stat_bonus_vs_cavalry	0.5
att_average_negative	False		inf_spr	stat_bonus_vs_cavalry	0.75
att_good	False		inf_spr	stat_bonus_vs_cavalry	2
att_excellent	False		inf_spr	stat_bonus_vs_cavalry	3
att_very_poor	False		inf_spr	stat_charge_bonus	0.49
att_poor	False		inf_spr	stat_charge_bonus	0.5
att_average_positive	False		inf_spr	stat_charge_bonus	0.75
att_good	False		inf_spr	stat_charge_bonus	1.25
att_excellent	False		inf_spr	stat_charge_bonus	1.5
att_very_poor	False		inf_spr	stat_melee_damage_ap	0.49
att_poor	False		inf_spr	stat_melee_damage_ap	0.5
att_average_negative	False		inf_spr	stat_melee_damage_ap	0.75
att_good	False		inf_spr	stat_melee_damage_ap	1.25
att_excellent	False		inf_spr	stat_melee_damage_ap	1.5
att_very_poor	False		inf_spr	stat_missile_block_chance	0.49
att_poor	False		inf_spr	stat_missile_block_chance	0.5
att_average_positive	False		inf_spr	stat_missile_block_chance	0.75
att_good	False		inf_spr	stat_missile_block_chance	1.5
att_excellent	False		inf_spr	stat_missile_block_chance	2
att_very_poor	False		inf_spr	stat_morale	0.49
att_poor	False		inf_spr	stat_morale	0.5
att_average_negative	False		inf_spr	stat_morale	0.75
att_good	False		inf_spr	stat_morale	1.25
att_excellent	False		inf_spr	stat_morale	1.5
att_very_poor	False		inf_spr	stat_spotting_forest	0.49
att_poor	False		inf_spr	stat_spotting_forest	0.5
att_average_negative	False		inf_spr	stat_spotting_forest	0.75
att_good	False		inf_spr	stat_spotting_forest	1.25
att_excellent	False		inf_spr	stat_spotting_forest	1.5
