cdir_events_payloads_tables
0
effect_bundle_key	payload_key
wh2_main_dilemma_loyalty_positive_skv_noise_problem_3	wh2_main_dilemma_loyalty_positive_skv_noise_problem_3
wh2_main_dilemma_loyalty_positive_skv_shiny_scale_stuff_3	wh2_main_dilemma_loyalty_positive_skv_shiny_scale_stuff_3
wh2_main_dilemma_loyalty_positive_skv_test_of_loyalty_1	wh2_main_dilemma_loyalty_positive_skv_test_of_loyalty_1
wh2_main_dilemma_loyalty_positive_skv_test_of_loyalty_2	wh2_main_dilemma_loyalty_positive_skv_test_of_loyalty_2
wh2_main_dilemma_loyalty_positive_skv_whisper_rumours_1	wh2_main_dilemma_loyalty_positive_skv_whisper_rumours_1
wh2_main_dilemma_loyalty_positive_skv_whisper_rumours_2	wh2_main_dilemma_loyalty_positive_skv_whisper_rumours_2
wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_1_a_first_all_morale_down	wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_1_a_first_all_morale_down
wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_1_b_all_morale_up	wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_1_b_all_morale_up
wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_1_first	wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_1_first
wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_2_a_first	wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_2_a_first
wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_2_a_second	wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_2_a_second
wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_2_b_second	wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_2_b_second
wh2_main_dilemma_loyalty_skv_pestilential_proposition_1_first	wh2_main_dilemma_loyalty_skv_pestilential_proposition_1_first
wh2_main_dilemma_loyalty_skv_price_of_treachery_1	wh2_main_dilemma_loyalty_skv_price_of_treachery_1
wh2_main_dilemma_loyalty_skv_shades_of_grey_1_second	wh2_main_dilemma_loyalty_skv_shades_of_grey_1_second
wh2_main_dilemma_loyalty_skv_shades_of_grey_2_a_first	wh2_main_dilemma_loyalty_skv_shades_of_grey_2_a_first
wh2_main_dilemma_loyalty_skv_shades_of_grey_2_a_second	wh2_main_dilemma_loyalty_skv_shades_of_grey_2_a_second
wh2_main_dilemma_loyalty_skv_skavenslave_revolt_2_b_second	wh2_main_dilemma_loyalty_skv_skavenslave_revolt_2_b_second
wh2_main_dilemma_loyalty_skv_the_skavenblight_question_2_b_second	wh2_main_dilemma_loyalty_skv_the_skavenblight_question_2_b_second
wh2_main_dilemma_treasure_hunt_flooded_armoury_3_b	wh2_main_dilemma_treasure_hunt_flooded_armoury_3_b
wh2_main_dilemma_treasure_hunt_scavengers_3_b	wh2_main_dilemma_treasure_hunt_scavengers_3_b
wh2_main_effect_army_movement_down	wh2_main_effect_army_movement_down
wh2_main_effect_army_movement_up	wh2_main_effect_army_movement_up
wh2_main_effect_character_mod_loyalty_over_time_events_1_negative	wh2_main_effect_character_mod_loyalty_over_time_events_1_negative
wh2_main_effect_character_mod_loyalty_over_time_events_1_positive	wh2_main_effect_character_mod_loyalty_over_time_events_1_positive
wh2_main_effect_character_mod_loyalty_over_time_events_2_negative	wh2_main_effect_character_mod_loyalty_over_time_events_2_negative
wh2_main_effect_character_mod_loyalty_over_time_events_2_positive	wh2_main_effect_character_mod_loyalty_over_time_events_2_positive
wh2_main_effect_character_mod_loyalty_over_time_events_3_negative	wh2_main_effect_character_mod_loyalty_over_time_events_3_negative
wh2_main_effect_character_mod_loyalty_over_time_events_3_positive	wh2_main_effect_character_mod_loyalty_over_time_events_3_positive
wh2_main_effect_force_unit_stat_morale_melee_attack_versus_high_elves	wh2_main_effect_force_unit_stat_morale_melee_attack_versus_high_elves
wh2_main_effect_force_unit_stat_morale_versus_skaven	wh2_main_effect_force_unit_stat_morale_versus_skaven
wh2_main_encounter_at_sea_campaign_1_dummy	wh2_main_encounter_at_sea_campaign_1_dummy
wh2_main_encounter_at_sea_campaign_2_dummy	wh2_main_encounter_at_sea_campaign_2_dummy
wh2_main_encounter_at_sea_campaign_3_dummy	wh2_main_encounter_at_sea_campaign_3_dummy
wh2_main_encounter_at_sea_campaign_4_dummy	wh2_main_encounter_at_sea_campaign_4_dummy
wh2_main_encounter_treasure_at_sea_campaign_1	wh2_main_encounter_at_sea_campaign_treasure_1
wh2_main_encounter_treasure_at_sea_campaign_2	wh2_main_encounter_at_sea_campaign_treasure_2
wh2_main_encounter_at_sea_combat_1_dummy	wh2_main_encounter_at_sea_combat_1_dummy
wh2_main_encounter_at_sea_combat_2_dummy	wh2_main_encounter_at_sea_combat_2_dummy
wh2_main_encounter_at_sea_combat_3_dummy	wh2_main_encounter_at_sea_combat_3_dummy
wh2_main_encounter_at_sea_combat_4_dummy	wh2_main_encounter_at_sea_combat_4_dummy
wh2_main_encounter_at_sea_combat_5_dummy	wh2_main_encounter_at_sea_combat_5_dummy
wh2_main_hef_intrigue_court_of_the_sea_third	wh2_main_hef_intrigue_court_of_the_sea_third
wh2_main_hef_intrigue_favour_of_the_phoenix_first	wh2_main_hef_intrigue_favour_of_the_phoenix_first
wh2_main_hef_intrigue_favour_of_the_phoenix_fourth	wh2_main_hef_intrigue_favour_of_the_phoenix_fourth
wh2_main_hef_intrigue_favour_of_the_phoenix_second	wh2_main_hef_intrigue_favour_of_the_phoenix_second
wh2_main_hef_intrigue_favour_of_the_phoenix_third	wh2_main_hef_intrigue_favour_of_the_phoenix_third
wh2_main_hef_intrigue_in_fighting_second	wh2_main_hef_intrigue_in_fighting_second
wh2_main_hef_intrigue_in_fighting_third	wh2_main_hef_intrigue_in_fighting_third
wh2_main_hef_intrigue_life_in_the_lagoon_fourth	wh2_main_hef_intrigue_life_in_the_lagoon_fourth
wh2_main_hef_intrigue_retainer_of_power_fourth	wh2_main_hef_intrigue_retainer_of_power_fourth
wh2_main_hef_intrigue_retainer_of_power_third	wh2_main_hef_intrigue_retainer_of_power_third
wh2_main_hef_intrigue_signed_sealed_delivered_third	wh2_main_hef_intrigue_signed_sealed_delivered_third
wh2_main_hef_intrigue_the_folly_of_youth_fourth	wh2_main_hef_intrigue_the_folly_of_youth_fourth
wh2_main_hef_intrigue_the_folly_of_youth_third	wh2_main_hef_intrigue_the_folly_of_youth_third
wh2_main_hef_intrigue_they_who_whisper_second	wh2_main_hef_intrigue_they_who_whisper_second
wh2_main_hef_intrigue_they_who_whisper_third	wh2_main_hef_intrigue_they_who_whisper_third
wh2_main_hef_intrigue_wed_to_etiquette_first	wh2_main_hef_intrigue_wed_to_etiquette_first
wh2_main_hef_intrigue_whispers_of_the_mourning_chorus_first	wh2_main_hef_intrigue_whispers_of_the_mourning_chorus_first
wh2_main_hef_intrigue_whispers_of_the_mourning_chorus_fourth	wh2_main_hef_intrigue_whispers_of_the_mourning_chorus_fourth
wh2_main_hef_intrigue_you_can_dance_third	wh2_main_hef_intrigue_you_can_dance_third
wh2_main_incident_all_agent_action_chance_up	wh2_main_incident_all_agent_action_chance_up
wh2_main_incident_all_agent_action_cost_down	wh2_main_incident_all_agent_action_cost_down
wh2_main_incident_all_campaign_movement_down_replenish_up	wh2_main_incident_all_campaign_movement_down_replenish_up
wh2_main_incident_all_campaign_movement_up	wh2_main_incident_all_campaign_movement_up
wh2_main_incident_all_construction_cost_down	wh2_main_incident_all_construction_cost_down
wh2_main_incident_all_construction_cost_up	wh2_main_incident_all_construction_cost_up
wh2_main_incident_all_gdp_down	wh2_main_incident_all_gdp_down
wh2_main_incident_all_gdp_up	wh2_main_incident_all_gdp_up
wh2_main_incident_all_growth_up_greatly_gdp_down	wh2_main_incident_all_growth_up_greatly_gdp_down
wh2_main_incident_all_melee_attack_up	wh2_main_incident_all_melee_attack_up
wh2_main_incident_all_melee_defense_up	wh2_main_incident_all_melee_defense_up
wh2_main_payload_morale_all_down	wh2_main_incident_all_morale_down
wh2_main_incident_all_public_order_down_greatly_recruitment_cost_down_greatly	wh2_main_incident_all_public_order_down_greatly_recruitment_cost_down_greatly
wh2_main_incident_all_ranged_weapon_damage_up	wh2_main_incident_all_ranged_weapon_damage_up
wh2_main_incident_all_recruitment_cost_up_unit_exp_up	wh2_main_incident_all_recruitment_cost_up_unit_exp_up
wh2_main_incident_all_replenish_rate_down_recruitment_cost_down	wh2_main_incident_all_replenish_rate_down_recruitment_cost_down
wh2_main_incident_all_wom_down	wh2_main_incident_all_wom_down
wh2_main_incident_all_wom_up	wh2_main_incident_all_wom_up
wh2_main_incident_all_wom_up_greatly_miscast_rate_up	wh2_main_incident_all_wom_up_greatly_miscast_rate_up
wh2_main_incident_cold_one_recruitment_cost_down_campaign_movement_range_up	wh2_main_incident_cold_one_recruitment_cost_down_campaign_movement_range_up
wh2_main_incident_def_army_morale_down_recruitment_cost_up	wh2_main_incident_def_army_morale_down_recruitment_cost_up
wh2_main_incident_def_army_morale_up_public_oder_increase_province	wh2_main_incident_def_army_morale_up_public_oder_increase_province
wh2_main_incident_def_building_cost_down	wh2_main_incident_def_building_cost_down
wh2_main_incident_def_cold_one_melee_attack_up	wh2_main_incident_def_cold_one_melee_attack_up
wh2_main_incident_def_death_hag_witch_elves_recruitment_cost_down_exp_up	wh2_main_incident_def_death_hag_witch_elves_recruitment_cost_down_exp_up
wh2_main_incident_def_raid_sack_income_up	wh2_main_incident_def_raid_sack_income_up
wh2_main_incident_def_research_rate_up	wh2_main_incident_def_research_rate_up
wh2_main_incident_hef_building_cost_down	wh2_main_incident_hef_building_cost_down
wh2_main_incident_hef_campign_movement_up	wh2_main_incident_hef_campign_movement_up
wh2_main_incident_hef_morale_down_recruitment_cost_increase	wh2_main_incident_hef_morale_down_recruitment_cost_increase
wh2_main_incident_hef_morale_up_melee_defense_up_against_def	wh2_main_incident_hef_morale_up_melee_defense_up_against_def
wh2_main_incident_hef_morale_up_public_order_up	wh2_main_incident_hef_morale_up_public_order_up
wh2_main_incident_hef_phoenix_recruitment_cost_down	wh2_main_incident_hef_phoenix_recruitment_cost_down
wh2_main_incident_hef_replenish_rate_up	wh2_main_incident_hef_replenish_rate_up
wh2_main_incident_hef_research_rate_up	wh2_main_incident_hef_research_rate_up
wh2_main_incident_lzd_building_cost_down	wh2_main_incident_lzd_building_cost_down
wh2_main_incident_lzd_morale_down_recruitment_cost_up	wh2_main_incident_lzd_morale_down_recruitment_cost_up
wh2_main_incident_lzd_morale_up_public_order_up	wh2_main_incident_lzd_morale_up_public_order_up
wh2_main_incident_lzd_public_order_up_temple_guard_recruitment_cost_down	wh2_main_incident_lzd_public_order_up_temple_guard_recruitment_cost_down
wh2_main_incident_lzd_recruitment_cost_up_starting_exp_up	wh2_main_incident_lzd_recruitment_cost_up_starting_exp_up
wh2_main_incident_lzd_research_rate_up	wh2_main_incident_lzd_research_rate_up
wh2_main_incident_monster_recruitment_cost_down	wh2_main_incident_monster_recruitment_cost_down
wh2_main_incident_port_income_down	wh2_main_incident_port_income_down
wh2_main_incident_replenish_rate_up_campaign_movement_up	wh2_main_incident_replenish_rate_up_campaign_movement_up
wh2_main_incident_skv_building_cost_down	wh2_main_incident_skv_building_cost_down
wh2_main_incident_skv_campaign_movement_range_increase	wh2_main_incident_skv_campaign_movement_range_increase
wh2_main_incident_skv_monster_unit_recruitment_cost_down_growth_down	wh2_main_incident_skv_monster_unit_recruitment_cost_down_growth_down
wh2_main_incident_skv_morale_down_recruitment_cost_up	wh2_main_incident_skv_morale_down_recruitment_cost_up
wh2_main_incident_skv_morale_up_public_order_up	wh2_main_incident_skv_morale_up_public_order_up
wh2_main_incident_skv_raid_sacking_income_up	wh2_main_incident_skv_raid_sacking_income_up
wh2_main_incident_skv_replenish_up	wh2_main_incident_skv_replenish_up
wh2_main_incident_skv_research_rate_up	wh2_main_incident_skv_research_rate_up
wh2_main_incident_skv_siege_time_down	wh2_main_incident_skv_siege_time_down
wh2_main_incident_skv_warp_unit_recruitment_cost_down	wh2_main_incident_skv_warp_unit_recruitment_cost_down
wh2_main_incident_trade_income_up	wh2_main_incident_trade_income_up
wh2_main_lzd_a_deadly_price_first	wh2_main_lzd_a_deadly_price_first
wh2_main_lzd_a_tainted_bounty_first	wh2_main_lzd_a_tainted_bounty_first
wh2_main_lzd_ancient_skills_first	wh2_main_lzd_ancient_skills_first
wh2_main_lzd_blood_sacrifice_first	wh2_main_lzd_blood_sacrifice_first
wh2_main_lzd_born_killers_first	wh2_main_lzd_born_killers_first
wh2_main_lzd_born_killers_second	wh2_main_lzd_born_killers_second
wh2_main_lzd_charging_in_first	wh2_main_lzd_charging_in_first
wh2_main_lzd_knowledge_regained_first	wh2_main_lzd_knowledge_regained_first
wh2_main_lzd_magic_for_blades_first	wh2_main_lzd_magic_for_blades_first
wh2_main_lzd_new_blood_first	wh2_main_lzd_new_blood_first
wh2_main_lzd_new_blood_second	wh2_main_lzd_new_blood_second
wh2_main_lzd_one_shot_first	wh2_main_lzd_one_shot_first
wh2_main_lzd_out_or_in_first	wh2_main_lzd_out_or_in_first
wh2_main_lzd_reclaiming_the_lost_world_first	wh2_main_lzd_reclaiming_the_lost_world_first
wh2_main_lzd_seal_or_strike_first	wh2_main_lzd_seal_or_strike_first
wh2_main_lzd_seal_or_strike_second	wh2_main_lzd_seal_or_strike_second
wh2_main_lzd_skilled_forces_first	wh2_main_lzd_skilled_forces_first
wh2_main_lzd_skilled_forces_second	wh2_main_lzd_skilled_forces_second
wh2_main_lzd_the_greater_good_first	wh2_main_lzd_the_greater_good_first
wh2_main_lzd_the_greater_good_second	wh2_main_lzd_the_greater_good_second
wh2_main_lzd_war_babies_first	wh2_main_lzd_war_babies_first
wh2_main_lzd_war_babies_second	wh2_main_lzd_war_babies_second
wh2_main_lzd_ways_and_means_first	wh2_main_lzd_ways_and_means_first
wh2_main_lzd_ways_and_means_second	wh2_main_lzd_ways_and_means_second
wh2_main_magic_pool_factionwide	wh2_main_magic_pool_factionwide
wh2_main_payload_growth_negative_all_province	wh2_main_payload_growth_negative_all_province
wh2_main_payload_growth_positive_all_province	wh2_main_payload_growth_positive_all_province
wh2_main_payload_improved_agent_def_death_hag	wh2_main_payload_improved_agent_def_death_hag
wh2_main_payload_improved_agent_def_khainite_assassin	wh2_main_payload_improved_agent_def_khainite_assassin
wh2_main_payload_improved_agent_def_sorceress	wh2_main_payload_improved_agent_def_sorceress
wh2_main_payload_improved_agent_hef_loremaster_of_hoeth	wh2_main_payload_improved_agent_hef_loremaster_of_hoeth
wh2_main_payload_improved_agent_hef_mage	wh2_main_payload_improved_agent_hef_mage
wh2_main_payload_improved_agent_hef_noble	wh2_main_payload_improved_agent_hef_noble
wh2_main_payload_improved_agent_lzd_saurus_scar_veteran	wh2_main_payload_improved_agent_lzd_saurus_scar_veteran
wh2_main_payload_improved_agent_lzd_skink_chief	wh2_main_payload_improved_agent_lzd_skink_chief
wh2_main_payload_improved_agent_lzd_skink_priest	wh2_main_payload_improved_agent_lzd_skink_priest
wh2_main_payload_improved_agent_skv_assassin	wh2_main_payload_improved_agent_skv_assassin
wh2_main_payload_improved_agent_skv_plague_priest	wh2_main_payload_improved_agent_skv_plague_priest
wh2_main_payload_improved_agent_skv_warlock_engineer	wh2_main_payload_improved_agent_skv_warlock_engineer
wh2_main_payload_morale_all_up	wh2_main_payload_morale_all_up
wh2_main_payload_morale_all_up_incident	wh2_main_payload_morale_all_up_incident
wh2_main_payload_morale_versus_beastmen	wh2_main_payload_morale_versus_beastmen
wh2_main_payload_morale_versus_dark_elves	wh2_main_payload_morale_versus_dark_elves
wh2_main_payload_morale_versus_high_elves	wh2_main_payload_morale_versus_high_elves
wh2_main_payload_morale_versus_lizardmen	wh2_main_payload_morale_versus_lizardmen
wh2_main_payload_morale_versus_skaven	wh2_main_payload_morale_versus_skaven
wh2_main_payload_morale_versus_wood_elves	wh2_main_payload_morale_versus_wood_elves
wh2_main_payload_public_order_negative_all_province	wh2_main_payload_public_order_negative_all_province
wh2_main_payload_public_order_negative_all_provinces_factionwide	wh2_main_payload_public_order_negative_all_province_factionwide
wh2_main_payload_public_order_positive_all_province	wh2_main_payload_public_order_positive_all_province
wh2_main_payload_public_order_positive_all_provinces_factionwide	wh2_main_payload_public_order_positive_all_province_factionwide
wh2_main_payload_treasure_hunt_barracks_2_a	wh2_main_payload_treasure_hunt_barracks_2_a
wh2_main_payload_treasure_hunt_barracks_2_b	wh2_main_payload_treasure_hunt_barracks_2_b
wh2_main_payload_treasure_hunt_barracks_3_b	wh2_main_payload_treasure_hunt_barracks_3_b
wh2_main_payload_treasure_hunt_black_dragons_nest_3_b	wh2_main_payload_treasure_hunt_black_dragons_nest_3_b
wh2_main_payload_treasure_hunt_dwarfen_vaults_2_a	wh2_main_payload_treasure_hunt_dwarfen_vaults_2_a
wh2_main_payload_treasure_hunt_dwarfen_vaults_2_b	wh2_main_payload_treasure_hunt_dwarfen_vaults_2_b
wh2_main_payload_treasure_hunt_dwarfen_vaults_3_b	wh2_main_payload_treasure_hunt_dwarfen_vaults_3_b
wh2_main_payload_treasure_hunt_dwarfen_vaults_4_a	wh2_main_payload_treasure_hunt_dwarfen_vaults_4_a
wh2_main_payload_treasure_hunt_flooded_armoury_3_a	wh2_main_payload_treasure_hunt_flooded_armoury_3_a
wh2_main_payload_treasure_hunt_flooded_armoury_4_a	wh2_main_payload_treasure_hunt_flooded_armoury_4_a
wh2_main_payload_treasure_hunt_halls_of_the_lizardmen_3_b	wh2_main_payload_treasure_hunt_halls_of_the_lizardmen_3_b
wh2_main_payload_treasure_hunt_hidden_chaos_shrine_2_a	wh2_main_payload_treasure_hunt_hidden_chaos_shrine_2_a
wh2_main_payload_treasure_hunt_hidden_chaos_shrine_2_b	wh2_main_payload_treasure_hunt_hidden_chaos_shrine_2_b
wh2_main_payload_treasure_hunt_hidden_chaos_shrine_3_b	wh2_main_payload_treasure_hunt_hidden_chaos_shrine_3_b
wh2_main_payload_treasure_hunt_hidden_chaos_shrine_4_b	wh2_main_payload_treasure_hunt_hidden_chaos_shrine_4_b
wh2_main_payload_treasure_hunt_picked_clean_3_b	wh2_main_payload_treasure_hunt_picked_clean_3_b
wh2_main_payload_treasure_hunt_rebel_army_2_a	wh2_main_payload_treasure_hunt_rebel_army_2_a
wh2_main_payload_treasure_hunt_rebel_army_3_a	wh2_main_payload_treasure_hunt_rebel_army_3_a
wh2_main_payload_treasure_hunt_rebel_army_4_a	wh2_main_payload_treasure_hunt_rebel_army_4_a
wh2_main_payload_treasure_hunt_rebel_army_4_b	wh2_main_payload_treasure_hunt_rebel_army_4_b
wh2_main_payload_treasure_hunt_she_daemon_lair_2_a	wh2_main_payload_treasure_hunt_she_daemon_lair_2_a
wh2_main_payload_treasure_hunt_she_daemon_lair_3_a	wh2_main_payload_treasure_hunt_she_daemon_lair_3_a
wh2_main_payload_treasure_hunt_she_daemon_lair_3_b	wh2_main_payload_treasure_hunt_she_daemon_lair_3_b
wh2_main_payload_treasure_hunt_she_daemon_lair_4_b	wh2_main_payload_treasure_hunt_she_daemon_lair_4_b
wh2_main_payload_treasure_hunt_shrine_to_nagash_2_a	wh2_main_payload_treasure_hunt_shrine_to_nagash_2_a
wh2_main_payload_treasure_hunt_shrine_to_nagash_2_b	wh2_main_payload_treasure_hunt_shrine_to_nagash_2_b
wh2_main_payload_treasure_hunt_shrine_to_nagash_3_a	wh2_main_payload_treasure_hunt_shrine_to_nagash_3_a
wh2_main_payload_treasure_hunt_skaven_ambush_3_b	wh2_main_payload_treasure_hunt_skaven_ambush_3_b
wh2_main_payload_treasure_hunt_skaven_burrow_2_a	wh2_main_payload_treasure_hunt_skaven_burrow_2_a
wh2_main_payload_treasure_hunt_skaven_burrow_2_b	wh2_main_payload_treasure_hunt_skaven_burrow_2_b
wh2_main_payload_treasure_hunt_skaven_burrow_4_a	wh2_main_payload_treasure_hunt_skaven_burrow_4_a
wh2_main_payload_treasure_hunt_skaven_burrow_4_b	wh2_main_payload_treasure_hunt_skaven_burrow_4_b
wh2_main_payload_treasure_hunt_slaanesh_fungi_2_a	wh2_main_payload_treasure_hunt_slaanesh_fungi_2_a
wh2_main_payload_treasure_hunt_slaanesh_fungi_3_a	wh2_main_payload_treasure_hunt_slaanesh_fungi_3_a
wh2_main_payload_treasure_hunt_slaanesh_fungi_3_b	wh2_main_payload_treasure_hunt_slaanesh_fungi_3_b
wh2_main_payload_treasure_hunt_spider_nest_3_b	wh2_main_payload_treasure_hunt_spider_nest_3_b
wh2_main_payload_treasure_hunt_the_tattered_library_2_a	wh2_main_payload_treasure_hunt_the_tattered_library_2_a
wh2_main_payload_treasure_hunt_the_tattered_library_3_a	wh2_main_payload_treasure_hunt_the_tattered_library_3_a
wh2_main_payload_treasure_hunt_the_underworld_sea_3_b	wh2_main_payload_treasure_hunt_the_underworld_sea_3_b
wh2_main_payload_treasure_hunt_trapped_survivor_3_b	wh2_main_payload_treasure_hunt_trapped_survivor_3_b
wh2_main_payload_treasure_hunt_trapped_vault_1_b	wh2_main_payload_treasure_hunt_trapped_vault_1_b
wh2_main_payload_treasure_hunt_trapped_vault_4_a	wh2_main_payload_treasure_hunt_trapped_vault_4_a
wh2_main_payload_treasure_hunt_trapped_vault_4_b	wh2_main_payload_treasure_hunt_trapped_vault_4_b
wh2_main_payload_treasure_hunt_undead_3_a	wh2_main_payload_treasure_hunt_undead_3_a
wh2_main_payload_treasure_hunt_undead_4_b	wh2_main_payload_treasure_hunt_undead_4_b
wh_dlc02_payload_all_charge_carnage_dummy	wh_dlc02_payload_all_charge_carnage_dummy
wh_dlc02_payload_all_magic_carnage_dummy	wh_dlc02_payload_all_magic_carnage_dummy
wh_dlc02_payload_all_weapon_carnage_dummy	wh_dlc02_payload_all_weapon_carnage_dummy
wh_dlc03_bundle_answering_the_brayherd	wh_dlc03_payload_answering_the_brayherd
wh_dlc03_bundle_assured_leadership	wh_dlc03_payload_assured_leadership
wh_dlc03_bundle_beastlords_execution	wh_dlc03_payload_beastlords_execution
wh_dlc03_bundle_blood_of_bretonnia	wh_dlc03_payload_blood_of_bretonnia
wh_dlc03_bundle_blood_of_carroburg	wh_dlc03_payload_blood_of_carroburg
wh_dlc03_bundle_blood_of_cult_of_ulric	wh_dlc03_payload_blood_of_cult_of_ulric
wh_dlc03_bundle_blood_of_empire	wh_dlc03_payload_blood_of_empire
wh_dlc03_bundle_blood_of_hochland	wh_dlc03_payload_blood_of_hochland
wh_dlc03_bundle_blood_of_middenheim	wh_dlc03_payload_blood_of_middenheim
wh_dlc03_bundle_chaos_corruption	wh_dlc03_payload_chaos_corruption
wh_dlc03_effect_eat_the_eye	wh_dlc03_payload_eat_the_eye
wh_dlc03_bundle_empire_lord_blood	wh_dlc03_payload_empire_lord_blood
wh_dlc03_payload_event_a_ritual_challenge	wh_dlc03_payload_event_a_ritual_challenge
wh_dlc03_payload_event_a_stone_of_the_past	wh_dlc03_payload_event_a_stone_of_the_past
wh_dlc03_payload_event_bloodgreed_beasts	wh_dlc03_payload_event_bloodgreed_beasts
wh_dlc03_payload_event_favoured_by_khorne	wh_dlc03_payload_event_favoured_by_khorne
wh_dlc03_payload_event_skulls_for_the_skull_throne	wh_dlc03_payload_event_skulls_for_the_skull_throne
wh_dlc03_payload_event_sober_for_once_bad	wh_dlc03_payload_event_sober_for_once_bad
wh_dlc03_payload_event_sober_for_once_good	wh_dlc03_payload_event_sober_for_once_good
wh_dlc03_payload_event_the_black_harvest	wh_dlc03_payload_event_the_black_harvest
wh_dlc03_payload_event_the_harbinger	wh_dlc03_payload_event_the_harbinger
wh_dlc03_payload_event_tribal_celebration	wh_dlc03_payload_event_tribal_celebration
