regions_to_region_groups_junctions_tables
2
region	region_group
wh2_main_vor_coast_of_araby_martek	wh2_main_vor_wom_region_group_09
wh2_main_vor_coast_of_squalls_macu_peaks	wh2_main_vor_wom_region_group_10
wh2_main_vor_coast_of_squalls_monument_of_the_sun	wh2_main_vor_wom_region_group_10
wh2_main_vor_coast_of_squalls_shrine_of_sotek	wh2_main_vor_wom_region_group_10
wh2_main_vor_cobra_pass_eye_of_the_panther	wh2_main_vor_wom_region_group_11
wh2_main_vor_cobra_pass_vulture_mountain	wh2_main_vor_wom_region_group_11
wh2_main_vor_copper_desert_the_dust_gate	wh2_main_vor_wom_region_group_12
wh2_main_vor_copper_desert_the_forgotten_isles	wh2_main_vor_wom_region_group_12
wh2_main_vor_copper_desert_the_golden_colossus	wh2_main_vor_wom_region_group_12
wh2_main_vor_cothique_mistnar	wh2_main_vor_wom_region_group_13
wh2_main_vor_cothique_tor_koruali	wh2_main_vor_wom_region_group_13
wh2_main_vor_culchan_plains_chupayotl	wh2_main_vor_wom_region_group_14
wh2_main_vor_culchan_plains_kaiax	wh2_main_vor_wom_region_group_14
wh2_main_vor_culchan_plains_the_southern_sentinels	wh2_main_vor_wom_region_group_14
wh2_main_vor_culchan_plains_xlansec	wh2_main_vor_wom_region_group_14
wh2_main_vor_deadwood_dargoth	wh2_main_vor_wom_region_group_15
wh2_main_vor_deadwood_nagrar	wh2_main_vor_wom_region_group_15
wh2_main_vor_deadwood_shagrath	wh2_main_vor_wom_region_group_15
wh2_main_vor_deadwood_the_frozen_city	wh2_main_vor_wom_region_group_15
wh2_main_vor_eataine_angerrial	wh2_main_vor_wom_region_group_16
wh2_main_vor_eataine_shrine_of_asuryan	wh2_main_vor_wom_region_group_16
wh2_main_vor_eagle_gate	wh2_main_vor_wom_region_group_17
wh2_main_vor_ellyrion_reavers_mark	wh2_main_vor_wom_region_group_17
wh2_main_vor_ellyrion_the_arc_span	wh2_main_vor_wom_region_group_17
wh2_main_vor_ellyrion_tor_elyr	wh2_main_vor_wom_region_group_17
wh2_main_vor_forest_of_the_viper_chotecs_causeway	wh2_main_vor_wom_region_group_18
wh2_main_vor_forest_of_the_viper_fallen_gates	wh2_main_vor_wom_region_group_18
wh2_main_vor_forest_of_the_viper_mirror_pool_of_tepok	wh2_main_vor_wom_region_group_18
wh2_main_vor_grey_guardians_grey_rock_point	wh2_main_vor_wom_region_group_19
wh2_main_vor_grey_guardians_ssildra_tor	wh2_main_vor_wom_region_group_19
wh2_main_vor_grey_guardians_titan_peak	wh2_main_vor_wom_region_group_19
wh2_main_vor_headhunters_jungle_altar_of_the_horned_rat	wh2_main_vor_wom_region_group_20
wh2_main_vor_headhunters_jungle_marks_of_the_old_ones	wh2_main_vor_wom_region_group_20
wh2_main_vor_the_lost_valleys_oyxl	wh2_main_vor_wom_region_group_20
wh2_main_vor_iron_mountains_altar_of_ultimate_darkness	wh2_main_vor_wom_region_group_21
wh2_main_vor_iron_mountains_cragroth_deep	wh2_main_vor_wom_region_group_21
wh2_main_vor_iron_mountains_rackdo_gorge	wh2_main_vor_wom_region_group_21
wh2_main_vor_iron_mountains_shroktak_mount	wh2_main_vor_wom_region_group_21
wh2_main_vor_ashen_coast_tyrant_peak	wh2_main_vor_wom_region_group_22
wh2_main_vor_iron_peaks_ancient_city_of_quintex	wh2_main_vor_wom_region_group_22
wh2_main_vor_iron_peaks_ironspike	wh2_main_vor_wom_region_group_22
wh2_main_vor_iron_peaks_the_moon_shard	wh2_main_vor_wom_region_group_22
wh2_main_vor_ironfrost_glacier_bear_isle	wh2_main_vor_wom_region_group_23
wh2_main_vor_ironfrost_glacier_dagraks_end	wh2_main_vor_wom_region_group_23
wh2_main_vor_ironfrost_glacier_ironfrost	wh2_main_vor_wom_region_group_23
wh2_main_vor_ironfrost_glacier_mung_encampment	wh2_main_vor_wom_region_group_23
wh2_main_vor_isthmus_of_lustria_hexoatl	wh2_main_vor_wom_region_group_24
wh2_main_vor_isthmus_of_lustria_monolith_of_fallen_gods	wh2_main_vor_wom_region_group_24
wh2_main_vor_isthmus_of_lustria_ziggurat_of_dawn	wh2_main_vor_wom_region_group_24
wh2_main_vor_jungle_of_pahualaxa_floating_pyramid	wh2_main_vor_wom_region_group_25
wh2_main_vor_jungle_of_pahualaxa_monument_of_the_moon	wh2_main_vor_wom_region_group_25
wh2_main_vor_jungle_of_pahualaxa_pahuax	wh2_main_vor_wom_region_group_25
wh2_main_vor_jungle_of_pahualaxa_the_high_sentinel	wh2_main_vor_wom_region_group_25
wh2_main_vor_jungles_of_green_mist_pillars_of_unseen_constellations	wh2_main_vor_wom_region_group_26
wh2_main_vor_jungles_of_green_mist_spektazuma	wh2_main_vor_wom_region_group_26
wh2_main_vor_jungles_of_green_mist_wellsprings_of_eternity	wh2_main_vor_wom_region_group_26
wh2_main_vor_kingdom_of_beasts_temple_of_skulls	wh2_main_vor_wom_region_group_27
wh2_main_vor_kingdom_of_beasts_the_cursed_jungle	wh2_main_vor_wom_region_group_27
wh2_main_vor_land_of_assassins_lashiek	wh2_main_vor_wom_region_group_28
wh2_main_vor_land_of_assassins_palace_of_the_wizard_caliph	wh2_main_vor_wom_region_group_28
wh2_main_vor_land_of_assassins_sorcerers_islands	wh2_main_vor_wom_region_group_28
wh2_main_vor_land_of_the_dead_black_pyramid_of_nagash	wh2_main_vor_wom_region_group_29
wh2_main_vor_land_of_the_dead_khemri	wh2_main_vor_wom_region_group_29
wh2_main_vor_land_of_the_dead_springs_of_eternal_life	wh2_main_vor_wom_region_group_29
wh2_main_vor_land_of_the_dead_zandri	wh2_main_vor_wom_region_group_29
wh2_main_vor_land_of_the_dervishes_el-kalabad	wh2_main_vor_wom_region_group_30
wh2_main_vor_land_of_the_dervishes_elven_ruins	wh2_main_vor_wom_region_group_30
wh2_main_vor_land_of_the_dervishes_sudenburg	wh2_main_vor_wom_region_group_30
wh2_main_vor_mosquito_swamps_tlax	wh2_main_vor_wom_region_group_31
wh2_main_vor_mosquito_swamps_xahutec	wh2_main_vor_wom_region_group_31
wh2_main_vor_mosquito_swamps_xlanhuapec	wh2_main_vor_wom_region_group_31
wh2_main_vor_nagarythe_shrine_of_khaine	wh2_main_vor_wom_region_group_32
wh2_main_vor_nagarythe_tor_anlec	wh2_main_vor_wom_region_group_32
wh2_main_vor_nagarythe_tor_dranil	wh2_main_vor_wom_region_group_32
wh2_main_vor_unicorn_gate	wh2_main_vor_wom_region_group_32
wh2_main_vor_naggarond_har_kaldra	wh2_main_vor_wom_region_group_33
wh2_main_vor_naggarond_kaelra	wh2_main_vor_wom_region_group_33
wh2_main_vor_naggarond_naggarond	wh2_main_vor_wom_region_group_33
wh2_main_vor_northern_great_jungle_chaqua	wh2_main_vor_wom_region_group_34
wh2_main_vor_northern_great_jungle_itza	wh2_main_vor_wom_region_group_34
wh2_main_vor_northern_great_jungle_quetza	wh2_main_vor_wom_region_group_34
wh2_main_vor_northern_great_jungle_quittax	wh2_main_vor_wom_region_group_34
wh2_main_vor_northern_spine_of_sotek_cavern_of_the_mlexigaur	wh2_main_vor_wom_region_group_35
wh2_main_vor_northern_spine_of_sotek_hualotal	wh2_main_vor_wom_region_group_35
wh2_main_vor_northern_spine_of_sotek_monument_of_izzatal	wh2_main_vor_wom_region_group_35
wh2_main_vor_northern_yvresse_sardenath	wh2_main_vor_wom_region_group_36
wh2_main_vor_northern_yvresse_tor_yvresse	wh2_main_vor_wom_region_group_36
wh2_main_vor_northern_yvresse_tralinia	wh2_main_vor_wom_region_group_36
wh2_main_vor_obsidian_peaks_ice_rock_gorge	wh2_main_vor_wom_region_group_37
wh2_main_vor_obsidian_peaks_ice_spire	wh2_main_vor_wom_region_group_37
wh2_main_vor_obsidian_peaks_keshta_vault	wh2_main_vor_wom_region_group_37
wh2_main_vor_obsidian_peaks_temple_of_addaioth	wh2_main_vor_wom_region_group_37
wh2_main_vor_plain_of_spiders_clarak_spire	wh2_main_vor_wom_region_group_38
wh2_main_vor_plain_of_spiders_pits_of_zardok	wh2_main_vor_wom_region_group_38
wh2_main_vor_red_desert_drackla_spire	wh2_main_vor_wom_region_group_39
wh2_main_vor_red_desert_rothkar_spire	wh2_main_vor_wom_region_group_39
wh2_main_vor_river_qurveza_axlotl	wh2_main_vor_wom_region_group_40
wh2_main_vor_river_qurveza_mouth_of_qurveza	wh2_main_vor_wom_region_group_40
wh2_main_vor_saphery_port_elistor	wh2_main_vor_wom_region_group_41
wh2_main_vor_saphery_shadow_peak	wh2_main_vor_wom_region_group_41
wh2_main_vor_saphery_tor_finu	wh2_main_vor_wom_region_group_41
wh2_main_vor_saphery_tower_of_hoeth	wh2_main_vor_wom_region_group_41
wh2_main_vor_sartosa_sartosa	wh2_main_vor_wom_region_group_42
wh2_main_vor_scorpion_coast_chotec	wh2_main_vor_wom_region_group_43
wh2_main_vor_scorpion_coast_temple_of_tlencan	wh2_main_vor_wom_region_group_43
wh2_main_vor_settlers_coast_port_reaver	wh2_main_vor_wom_region_group_44
wh2_main_vor_settlers_coast_skeggi	wh2_main_vor_wom_region_group_44
wh2_main_vor_settlers_coast_swamp_town	wh2_main_vor_wom_region_group_44
wh2_main_vor_shadow_wood_circle_of_destruction	wh2_main_vor_wom_region_group_45
wh2_main_vor_shadow_wood_clar_karond	wh2_main_vor_wom_region_group_45
wh2_main_vor_shadow_wood_daldrachs_lair	wh2_main_vor_wom_region_group_45
wh2_main_vor_shadow_wood_venom_glade	wh2_main_vor_wom_region_group_45
wh2_main_vor_kingdom_of_beasts_serpent_coast	wh2_main_vor_wom_region_group_46
wh2_main_vor_shifting_mangrove_coastline_teotiqua	wh2_main_vor_wom_region_group_46
wh2_main_vor_the_red_rivers_golden_tower_of_the_gods	wh2_main_vor_wom_region_group_46
wh2_main_vor_shifting_sands_antoch	wh2_main_vor_wom_region_group_47
wh2_main_vor_shifting_sands_bhagar	wh2_main_vor_wom_region_group_47
wh2_main_vor_shifting_sands_ka-sabar	wh2_main_vor_wom_region_group_47
wh2_main_vor_shifting_sands_plain_of_tuskers	wh2_main_vor_wom_region_group_47
wh2_main_vor_southern_badlands_galbaraz	wh2_main_vor_wom_region_group_48
wh2_main_vor_southern_badlands_gor_gazan	wh2_main_vor_wom_region_group_48
wh2_main_vor_southern_great_jungle_gwakmol_crater	wh2_main_vor_wom_region_group_49
wh2_main_vor_southern_great_jungle_mortuary_of_tzulaqua	wh2_main_vor_wom_region_group_49
wh2_main_vor_southern_great_jungle_xhotl	wh2_main_vor_wom_region_group_49
wh2_main_vor_the_lost_valleys_subatuun	wh2_main_vor_wom_region_group_49
wh2_main_vor_southern_jungles_dawns_light	wh2_main_vor_wom_region_group_50
wh2_main_vor_southern_jungles_yuatek	wh2_main_vor_wom_region_group_50
wh2_main_vor_the_jungles_of_the_gods_tor_surpindar	wh2_main_vor_wom_region_group_50
wh2_main_vor_southern_spine_of_sotek_mine_of_the_bearded_skulls	wh2_main_vor_wom_region_group_51
wh2_main_vor_southern_spine_of_sotek_thrice-cursed_peak	wh2_main_vor_wom_region_group_51
wh2_main_vor_the_lost_valleys_the_sentinel_of_time	wh2_main_vor_wom_region_group_51
wh2_main_vor_southern_yvresse_cairn_thel	wh2_main_vor_wom_region_group_52
wh2_main_vor_southern_yvresse_elessaeli	wh2_main_vor_wom_region_group_52
wh2_main_vor_southern_yvresse_shrine_of_loec	wh2_main_vor_wom_region_group_52
wh2_main_vor_southlands_world_edge_mountains_karag_orrud	wh2_main_vor_wom_region_group_53
wh2_main_vor_southlands_world_edge_mountains_karak_zorn	wh2_main_vor_wom_region_group_53
wh2_main_vor_southlands_world_edge_mountains_lost_plateau	wh2_main_vor_wom_region_group_53
wh2_main_vor_southlands_world_edge_mountains_mount_arachnos	wh2_main_vor_wom_region_group_53
wh2_main_vor_straits_of_lothern_glittering_tower	wh2_main_vor_wom_region_group_54
wh2_main_vor_straits_of_lothern_lothern	wh2_main_vor_wom_region_group_54
wh2_main_vor_straits_of_lothern_tower_of_lysean	wh2_main_vor_wom_region_group_54
wh2_main_vor_the_black_coast_arnheim	wh2_main_vor_wom_region_group_55
wh2_main_vor_the_black_coast_bleak_hold_fortress	wh2_main_vor_wom_region_group_55
wh2_main_vor_the_black_coast_hag_hall	wh2_main_vor_wom_region_group_55
wh2_main_vor_the_black_coast_vauls_anvil	wh2_main_vor_wom_region_group_55
wh2_main_vor_the_black_flood_hag_graef	wh2_main_vor_wom_region_group_56
wh2_main_vor_the_black_flood_storag_kor	wh2_main_vor_wom_region_group_56
wh2_main_vor_the_black_flood_temple_of_khaine	wh2_main_vor_wom_region_group_56
wh2_main_vor_the_broken_land_black_creek_spire	wh2_main_vor_wom_region_group_57
wh2_main_vor_the_broken_land_blacklight_tower	wh2_main_vor_wom_region_group_57
wh2_main_vor_the_broken_land_karond_kar	wh2_main_vor_wom_region_group_57
wh2_main_vor_the_broken_land_slavers_point	wh2_main_vor_wom_region_group_57
wh2_main_vor_the_capes_citadel_of_dusk	wh2_main_vor_wom_region_group_58
wh2_main_vor_the_capes_fortress_of_dawn	wh2_main_vor_wom_region_group_58
wh2_main_vor_the_chill_road_ashrak	wh2_main_vor_wom_region_group_59
wh2_main_vor_the_chill_road_ghrond	wh2_main_vor_wom_region_group_59
wh2_main_vor_the_chill_road_the_great_arena	wh2_main_vor_wom_region_group_59
wh2_main_vor_the_clawed_coast_hoteks_column	wh2_main_vor_wom_region_group_60
wh2_main_vor_the_clawed_coast_the_monoliths	wh2_main_vor_wom_region_group_60
wh2_main_vor_the_clawed_coast_the_twisted_glade	wh2_main_vor_wom_region_group_60
wh2_main_vor_the_creeping_jungle_temple_of_kara	wh2_main_vor_wom_region_group_61
wh2_main_vor_the_creeping_jungle_tlanxla	wh2_main_vor_wom_region_group_61
wh2_main_vor_the_creeping_jungle_tlaxtlan	wh2_main_vor_wom_region_group_61
wh2_main_vor_the_dragon_isles_isle_of_the_crimson_skull	wh2_main_vor_wom_region_group_62
wh2_main_vor_the_dragon_isles_the_blood_hall	wh2_main_vor_wom_region_group_62
wh2_main_vor_the_forbidden_jungle_chamber_of_visions	wh2_main_vor_wom_region_group_63
wh2_main_vor_the_forbidden_jungle_sentinels_of_xeti	wh2_main_vor_wom_region_group_63
wh2_main_vor_the_great_desert_bel_aliad	wh2_main_vor_wom_region_group_64
wh2_main_vor_the_great_desert_black_tower_of_arkhan	wh2_main_vor_wom_region_group_64
wh2_main_vor_the_great_desert_pools_of_despair	wh2_main_vor_wom_region_group_64
wh2_main_vor_the_isle_of_the_dead	wh2_main_vor_wom_region_group_65
wh2_main_vor_shifting_mangrove_coastline_temple_avenue_of_gold	wh2_main_vor_wom_region_group_66
wh2_main_vor_southern_jungles_scrag_hole	wh2_main_vor_wom_region_group_66
wh2_main_vor_the_jungles_of_the_gods_caverns_of_sotek	wh2_main_vor_wom_region_group_66
wh2_main_vor_heart_of_the_jungle_oreons_camp	wh2_main_vor_wom_region_group_67
wh2_main_vor_the_red_rivers_cuexotl	wh2_main_vor_wom_region_group_67
wh2_main_vor_the_red_rivers_nahuontl	wh2_main_vor_wom_region_group_67
wh2_main_vor_the_red_rivers_zlatan	wh2_main_vor_wom_region_group_67
wh2_main_vor_the_road_of_skulls_har_ganeth	wh2_main_vor_wom_region_group_68
wh2_main_vor_the_road_of_skulls_kauark	wh2_main_vor_wom_region_group_68
wh2_main_vor_the_road_of_skulls_spite_reach	wh2_main_vor_wom_region_group_68
wh2_main_vor_the_road_of_skulls_the_black_pillar	wh2_main_vor_wom_region_group_68
wh2_main_vor_the_turtle_isles_golden_ziggurat	wh2_main_vor_wom_region_group_69
wh2_main_vor_the_turtle_isles_great_turtle_isle	wh2_main_vor_wom_region_group_69
wh2_main_vor_the_turtle_isles_mud_isle	wh2_main_vor_wom_region_group_69
wh2_main_vor_the_vampire_coast_pox_marsh	wh2_main_vor_wom_region_group_70
wh2_main_vor_the_vampire_coast_the_awakening	wh2_main_vor_wom_region_group_70
wh2_main_vor_the_vampire_coast_the_blood_swamps	wh2_main_vor_wom_region_group_70
wh2_main_vor_the_vampire_coast_the_star_tower	wh2_main_vor_wom_region_group_70
wh2_main_vor_griffon_gate	wh2_main_vor_wom_region_group_71
wh2_main_vor_tiranoc_salvation_isle	wh2_main_vor_wom_region_group_71
wh2_main_vor_tiranoc_the_high_vale	wh2_main_vor_wom_region_group_71
wh2_main_vor_tiranoc_tor_anroc	wh2_main_vor_wom_region_group_71
wh2_main_vor_tiranoc_whitepeak	wh2_main_vor_wom_region_group_71
wh2_main_vor_western_jungles_deaths-head_monoliths	wh2_main_vor_wom_region_group_72
wh2_main_vor_western_jungles_statues_of_the_gods	wh2_main_vor_wom_region_group_72
wh2_main_vor_western_jungles_tlaqua	wh2_main_vor_wom_region_group_72
wh2_main_vor_sea_of_dread_tor_elasor	wh2_main_vor_wom_region_group_73
wh2_main_vor_sea_of_dread_tower_of_the_stars	wh2_main_vor_wom_region_group_73
wh2_main_vor_sea_of_dread_tower_of_the_sun	wh2_main_vor_wom_region_group_73
wh_main_helspire_mountains_serpent_jetty	wh2_main_wom_region_group_001
wh_main_vanaheim_mountains_bjornlings_gathering	wh2_main_wom_region_group_001
wh_main_vanaheim_mountains_pack_ice_bay	wh2_main_wom_region_group_001
wh_main_vanaheim_mountains_troll_fjord	wh2_main_wom_region_group_001
wh_main_helspire_mountains_the_monolith_of_katam	wh2_main_wom_region_group_002
wh_main_mountains_of_hel_altar_of_spawns	wh2_main_wom_region_group_002
wh_main_mountains_of_naglfari_varg_camp	wh2_main_wom_region_group_002
wh_main_helspire_mountains_graeling_moot	wh2_main_wom_region_group_003
wh_main_ice_tooth_mountains_doomkeep	wh2_main_wom_region_group_003
wh_main_mountains_of_naglfari_naglfari_plain	wh2_main_wom_region_group_003
wh_main_mountains_of_hel_aeslings_conclave	wh2_main_wom_region_group_004
wh_main_mountains_of_hel_winter_pyre	wh2_main_wom_region_group_004
wh_main_trollheim_mountains_sarl_encampment	wh2_main_wom_region_group_004
wh_main_ice_tooth_mountains_icedrake_fjord	wh2_main_wom_region_group_005
wh_main_ice_tooth_mountains_longship_graveyard	wh2_main_wom_region_group_005
wh_main_trollheim_mountains_bay_of_blades	wh2_main_wom_region_group_005
wh2_main_hell_pit_hell_pit	wh2_main_wom_region_group_006
wh_main_northern_oblast_fort_straghov	wh2_main_wom_region_group_006
wh_main_troll_country_zoishenk	wh2_main_wom_region_group_006
wh_main_trollheim_mountains_the_tower_of_khrakk	wh2_main_wom_region_group_006
wh_main_gianthome_mountains_khazid_bordkarag	wh2_main_wom_region_group_007
wh_main_gianthome_mountains_kraka_drak	wh2_main_wom_region_group_007
wh_main_gianthome_mountains_sjoktraken	wh2_main_wom_region_group_007
wh_main_eastern_oblast_volksgrad	wh2_main_wom_region_group_008
wh_main_goromandy_mountains_baersonlings_camp	wh2_main_wom_region_group_008
wh_main_goromandy_mountains_frozen_landing	wh2_main_wom_region_group_008
wh_main_eastern_oblast_praag	wh2_main_wom_region_group_009
wh_main_northern_oblast_fort_ostrosk	wh2_main_wom_region_group_009
wh_main_troll_country_erengrad	wh2_main_wom_region_group_009
wh_main_ostland_castle_von_rauken	wh2_main_wom_region_group_010
wh_main_southern_oblast_kislev	wh2_main_wom_region_group_010
wh_main_southern_oblast_zavastra	wh2_main_wom_region_group_010
wh_main_hochland_brass_keep	wh2_main_wom_region_group_011
wh_main_hochland_hergig	wh2_main_wom_region_group_011
wh_main_ostland_norden	wh2_main_wom_region_group_011
wh_main_ostland_wolfenburg	wh2_main_wom_region_group_011
wh_main_middenland_middenheim	wh2_main_wom_region_group_012
wh_main_nordland_dietershafen	wh2_main_wom_region_group_012
wh_main_nordland_salzenmund	wh2_main_wom_region_group_012
wh_main_ostermark_bechafen	wh2_main_wom_region_group_013
wh_main_southern_oblast_fort_jakova	wh2_main_wom_region_group_013
wh_main_eastern_sylvania_eschen	wh2_main_wom_region_group_014
wh_main_eastern_sylvania_waldenhof	wh2_main_wom_region_group_014
wh_main_ostermark_essen	wh2_main_wom_region_group_014
wh_main_western_sylvania_castle_templehof	wh2_main_wom_region_group_015
wh_main_western_sylvania_fort_oberstyre	wh2_main_wom_region_group_015
wh_main_eastern_sylvania_castle_drakenhof	wh2_main_wom_region_group_016
wh_main_stirland_the_moot	wh2_main_wom_region_group_016
wh_main_western_sylvania_schwartzhafen	wh2_main_wom_region_group_016
wh_main_averland_averheim	wh2_main_wom_region_group_017
wh_main_averland_grenzstadt	wh2_main_wom_region_group_017
wh_main_wissenland_pfeildorf	wh2_main_wom_region_group_017
wh_main_wissenland_wissenburg	wh2_main_wom_region_group_017
wh_main_reikland_grunburg	wh2_main_wom_region_group_018
wh_main_stirland_wurtbad	wh2_main_wom_region_group_018
wh_main_talabecland_kemperbad	wh2_main_wom_region_group_018
wh_main_wissenland_nuln	wh2_main_wom_region_group_018
wh_main_talabecland_talabheim	wh2_main_wom_region_group_019
wh_main_middenland_carroburg	wh2_main_wom_region_group_020
wh_main_middenland_weismund	wh2_main_wom_region_group_020
wh_main_reikland_altdorf	wh2_main_wom_region_group_020
wh_main_reikland_eilhart	wh2_main_wom_region_group_021
wh_main_reikland_helmgart	wh2_main_wom_region_group_021
wh_main_the_wasteland_gorssel	wh2_main_wom_region_group_021
wh_main_the_wasteland_marienburg	wh2_main_wom_region_group_021
wh_main_northern_grey_mountains_grung_zint	wh2_main_wom_region_group_022
wh_main_northern_grey_mountains_blackstone_post	wh2_main_wom_region_group_023
wh_main_northern_grey_mountains_karak_ziflin	wh2_main_wom_region_group_023
wh_main_southern_grey_mountains_grimhold	wh2_main_wom_region_group_024
wh_main_southern_grey_mountains_karak_azgaraz	wh2_main_wom_region_group_024
wh_main_southern_grey_mountains_karak_norn	wh2_main_wom_region_group_024
wh_main_black_mountains_karak_angazhar	wh2_main_wom_region_group_025
wh_main_black_mountains_karak_hirn	wh2_main_wom_region_group_025
wh_main_black_mountains_mighdal_vongalbarak	wh2_main_wom_region_group_026
wh_main_zhufbar_karag_dromar	wh2_main_wom_region_group_026
wh_main_rib_peaks_grom_peak	wh2_main_wom_region_group_027
wh_main_zhufbar_oakenhammer	wh2_main_wom_region_group_027
wh_main_zhufbar_zhufbar	wh2_main_wom_region_group_027
wh_main_peak_pass_gnashraks_lair	wh2_main_wom_region_group_028
wh_main_peak_pass_karak_kadrin	wh2_main_wom_region_group_028
wh_main_northern_worlds_edge_mountains_karak_ungor	wh2_main_wom_region_group_029
wh_main_northern_worlds_edge_mountains_khazid_irkulaz	wh2_main_wom_region_group_029
wh_main_rib_peaks_mount_gunbad	wh2_main_wom_region_group_030
wh_main_the_silver_road_karaz_a_karak	wh2_main_wom_region_group_030
wh_main_the_silver_road_the_pillars_of_grungni	wh2_main_wom_region_group_030
wh_main_death_pass_karag_dron	wh2_main_wom_region_group_031
wh_main_the_silver_road_mount_squighorn	wh2_main_wom_region_group_031
wh_main_death_pass_karak_drazh	wh2_main_wom_region_group_032
wh_main_desolation_of_nagash_black_iron_mine	wh2_main_wom_region_group_032
wh_main_desolation_of_nagash_karak_azul	wh2_main_wom_region_group_032
wh_main_eastern_badlands_karak_eight_peaks	wh2_main_wom_region_group_032
wh_main_eastern_badlands_valayas_sorrow	wh2_main_wom_region_group_032
wh_main_desolation_of_nagash_spitepeak	wh2_main_wom_region_group_033
wh_main_eastern_badlands_crooked_fang_fort	wh2_main_wom_region_group_033
wh_main_eastern_badlands_dringorackaz	wh2_main_wom_region_group_033
wh_main_blightwater_deff_gorge	wh2_main_wom_region_group_034
wh_main_blightwater_karak_azgal	wh2_main_wom_region_group_034
wh_main_blightwater_kradtommen	wh2_main_wom_region_group_034
wh_main_blightwater_misty_mountain	wh2_main_wom_region_group_034
wh_main_southern_badlands_agrul_migdhal	wh2_main_wom_region_group_035
wh_main_southern_badlands_galbaraz	wh2_main_wom_region_group_035
wh_main_southern_badlands_gor_gazan	wh2_main_wom_region_group_035
wh_main_southern_badlands_gronti_mingol	wh2_main_wom_region_group_036
wh_main_western_badlands_bitterstone_mine	wh2_main_wom_region_group_036
wh_main_western_badlands_dragonhorn_mines	wh2_main_wom_region_group_036
wh_main_western_badlands_ekrund	wh2_main_wom_region_group_036
wh_main_blood_river_valley_barag_dawazbag	wh2_main_wom_region_group_037
wh_main_blood_river_valley_barak_varr	wh2_main_wom_region_group_037
wh_main_blood_river_valley_dok_karaz	wh2_main_wom_region_group_037
wh_main_death_pass_iron_rock	wh2_main_wom_region_group_037
wh_main_western_badlands_stonemine_tower	wh2_main_wom_region_group_037
wh_main_blood_river_valley_varenka_hills	wh2_main_wom_region_group_038
wh_main_eastern_border_princes_akendorf	wh2_main_wom_region_group_038
wh_main_eastern_border_princes_matorca	wh2_main_wom_region_group_038
wh_main_western_border_princes_myrmidens	wh2_main_wom_region_group_039
wh_main_western_border_princes_zvorak	wh2_main_wom_region_group_039
wh2_main_skavenblight_skavenblight	wh2_main_wom_region_group_040
wh_main_estalia_tobaro	wh2_main_wom_region_group_040
wh_main_tilea_luccini	wh2_main_wom_region_group_040
wh_main_tilea_miragliano	wh2_main_wom_region_group_040
wh_main_estalia_bilbali	wh2_main_wom_region_group_041
wh_main_estalia_magritta	wh2_main_wom_region_group_041
wh_main_the_vaults_karak_bhufdar	wh2_main_wom_region_group_042
wh_main_the_vaults_karak_izor	wh2_main_wom_region_group_042
wh_main_the_vaults_zarakzil	wh2_main_wom_region_group_042
wh_main_carcassone_et_brionne_brionne	wh2_main_wom_region_group_043
wh_main_carcassone_et_brionne_castle_carcassonne	wh2_main_wom_region_group_043
wh_main_parravon_et_quenelles_quenelles	wh2_main_wom_region_group_043
