videos_tables
7
video_name	video_type	audio_tracks	script_ref
spell_previews/big_waaagh/wh_main_spell_big_waaagh_gaze_of_mork	VIDEO_TUTORIAL	1	0
spell_previews/dark/wh2_main_spell_dark_magic_bladewind	VIDEO_TUTORIAL	1	0
spell_previews/dark/wh2_main_spell_dark_magic_chillwind	VIDEO_TUTORIAL	1	0
spell_previews/dark/wh2_main_spell_dark_magic_doombolt	VIDEO_TUTORIAL	1	0
spell_previews/dark/wh2_main_spell_dark_magic_power_of_darkness	VIDEO_TUTORIAL	1	0
spell_previews/dark/wh2_main_spell_dark_magic_soul_stealer	VIDEO_TUTORIAL	1	0
spell_previews/dark/wh2_main_spell_dark_magic_word_of_pain	VIDEO_TUTORIAL	1	0
spell_previews/death/wh_main_spell_death_aspect_of_the_dreadknight	VIDEO_TUTORIAL	1	0
spell_previews/death/wh_main_spell_death_doom_and_darkness	VIDEO_TUTORIAL	1	0
spell_previews/death/wh_main_spell_death_soulblight	VIDEO_TUTORIAL	1	0
spell_previews/death/wh_main_spell_death_spirit_leech	VIDEO_TUTORIAL	1	0
spell_previews/death/wh_main_spell_death_the_fate_of_bjuna	VIDEO_TUTORIAL	1	0
spell_previews/death/wh_main_spell_death_the_purple_sun_of_xereus	VIDEO_TUTORIAL	1	0
spell_previews/fire/wh_main_spell_fire_cascading_fire_cloak	VIDEO_TUTORIAL	1	0
spell_previews/fire/wh_main_spell_fire_fireball	VIDEO_TUTORIAL	1	0
spell_previews/fire/wh_main_spell_fire_flame_storm	VIDEO_TUTORIAL	1	0
spell_previews/fire/wh_main_spell_fire_flaming_sword_of_rhuin	VIDEO_TUTORIAL	1	0
spell_previews/fire/wh_main_spell_fire_piercing_bolts_of_burning	VIDEO_TUTORIAL	1	0
spell_previews/fire/wh_main_spell_fire_the_burning_head	VIDEO_TUTORIAL	1	0
spell_previews/heaven/wh_main_spell_heavens_chain_lightning	VIDEO_TUTORIAL	1	0
spell_previews/heaven/wh_main_spell_heavens_comet_of_casandora	VIDEO_TUTORIAL	1	0
spell_previews/heaven/wh_main_spell_heavens_curse_of_the_midnight_wind	VIDEO_TUTORIAL	1	0
spell_previews/heaven/wh_main_spell_heavens_harmonic_convergence	VIDEO_TUTORIAL	1	0
spell_previews/heaven/wh_main_spell_heavens_urannons_thunderbolt	VIDEO_TUTORIAL	1	0
spell_previews/heaven/wh_main_spell_heavens_wind_blast	VIDEO_TUTORIAL	1	0
spell_previews/high/wh2_main_spell_high_magic_apotheosis	VIDEO_TUTORIAL	1	0
spell_previews/high/wh2_main_spell_high_magic_arcane_unforging	VIDEO_TUTORIAL	1	0
spell_previews/high/wh2_main_spell_high_magic_fiery_convocation	VIDEO_TUTORIAL	1	0
spell_previews/high/wh2_main_spell_high_magic_hand_of_glory	VIDEO_TUTORIAL	1	0
spell_previews/high/wh2_main_spell_high_magic_soul_quench	VIDEO_TUTORIAL	1	0
spell_previews/high/wh2_main_spell_high_magic_tempest	VIDEO_TUTORIAL	1	0
spell_previews/life/wh_dlc05_spell_life_awakening_of_the_wood	VIDEO_TUTORIAL	1	0
spell_previews/life/wh_dlc05_spell_life_earth_blood	VIDEO_TUTORIAL	1	0
spell_previews/life/wh_dlc05_spell_life_flesh_to_stone	VIDEO_TUTORIAL	1	0
spell_previews/life/wh_dlc05_spell_life_regrowth	VIDEO_TUTORIAL	1	0
spell_previews/life/wh_dlc05_spell_life_shield_of_thorns	VIDEO_TUTORIAL	1	0
spell_previews/life/wh_dlc05_spell_life_the_dwellers_below	VIDEO_TUTORIAL	1	0
spell_previews/light/wh_main_spell_light_banishment	VIDEO_TUTORIAL	1	0
spell_previews/light/wh_main_spell_light_bironas_timewarp	VIDEO_TUTORIAL	1	0
spell_previews/light/wh_main_spell_light_light_of_battle	VIDEO_TUTORIAL	1	0
spell_previews/light/wh_main_spell_light_net_of_amyntok	VIDEO_TUTORIAL	1	0
spell_previews/light/wh_main_spell_light_phas_protection	VIDEO_TUTORIAL	1	0
spell_previews/light/wh_main_spell_light_shems_burning_gaze	VIDEO_TUTORIAL	1	0
spell_previews/lil_waaagh/wh_main_spell_lil_waaagh_curse_of_da_bad_moon	VIDEO_TUTORIAL	1	0
spell_previews/lil_waaagh/wh_main_spell_lil_waaagh_gorkll_fix_it	VIDEO_TUTORIAL	1	0
spell_previews/lil_waaagh/wh_main_spell_lil_waaagh_itchy_nuisance	VIDEO_TUTORIAL	1	0
spell_previews/lil_waaagh/wh_main_spell_lil_waaagh_night_shroud	VIDEO_TUTORIAL	1	0
spell_previews/lil_waaagh/wh_main_spell_lil_waaagh_sneaky_stabbin	VIDEO_TUTORIAL	1	0
spell_previews/lil_waaagh/wh_main_spell_lil_waaagh_vindictive_glare	VIDEO_TUTORIAL	1	0
spell_previews/metal/wh_main_spell_metal_final_transmutation	VIDEO_TUTORIAL	1	0
spell_previews/metal/wh_main_spell_metal_gehennas_golden_hounds	VIDEO_TUTORIAL	1	0
spell_previews/metal/wh_main_spell_metal_glittering_robe	VIDEO_TUTORIAL	1	0
spell_previews/metal/wh_main_spell_metal_plague_of_rust	VIDEO_TUTORIAL	1	0
spell_previews/metal/wh_main_spell_metal_searing_doom	VIDEO_TUTORIAL	1	0
spell_previews/metal/wh_main_spell_metal_transmutation_of_lead	VIDEO_TUTORIAL	1	0
spell_previews/plague/wh2_main_spell_plague_bless_with_filth	VIDEO_TUTORIAL	1	0
spell_previews/plague/wh2_main_spell_plague_pestilent_birth	VIDEO_TUTORIAL	1	0
spell_previews/plague/wh2_main_spell_plague_pestilent_breath	VIDEO_TUTORIAL	1	0
spell_previews/plague/wh2_main_spell_plague_plague	VIDEO_TUTORIAL	1	0
spell_previews/plague/wh2_main_spell_plague_the_dreaded_thirteenth_spell	VIDEO_TUTORIAL	1	0
spell_previews/plague/wh2_main_spell_plague_vermintide	VIDEO_TUTORIAL	1	0
spell_previews/plague/wh2_main_spell_plague_wither	VIDEO_TUTORIAL	1	0
spell_previews/ruin/wh2_main_spell_ruin_cracks_call	VIDEO_TUTORIAL	1	0
spell_previews/ruin/wh2_main_spell_ruin_death_frenzy	VIDEO_TUTORIAL	1	0
spell_previews/ruin/wh2_main_spell_ruin_howling_warpgale	VIDEO_TUTORIAL	1	0
spell_previews/ruin/wh2_main_spell_ruin_scorch	VIDEO_TUTORIAL	1	0
spell_previews/ruin/wh2_main_spell_ruin_skitterleap	VIDEO_TUTORIAL	1	0
spell_previews/ruin/wh2_main_spell_ruin_warp_lightning	VIDEO_TUTORIAL	1	0
spell_previews/shadows/wh_dlc05_spell_shadows_melkoths_mystifying_miasma	VIDEO_TUTORIAL	1	0
spell_previews/shadows/wh_dlc05_spell_shadows_okkams_mindrazor	VIDEO_TUTORIAL	1	0
spell_previews/shadows/wh_dlc05_spell_shadows_pits_of_shades	VIDEO_TUTORIAL	1	0
spell_previews/shadows/wh_dlc05_spell_shadows_the_enfeebling_foe	VIDEO_TUTORIAL	1	0
spell_previews/shadows/wh_dlc05_spell_shadows_the_penumbral_pendulum	VIDEO_TUTORIAL	1	0
spell_previews/shadows/wh_dlc05_spell_shadows_withering	VIDEO_TUTORIAL	1	0
spell_previews/vampire/wh_dlc04_spell_vampire_awaken_from_the_grave	VIDEO_TUTORIAL	1	0
spell_previews/vampire/wh_dlc04_spell_vampire_command_of_the_unliving	VIDEO_TUTORIAL	1	0
spell_previews/vampire/wh_main_spell_vampires_curse_of_years	VIDEO_TUTORIAL	1	0
spell_previews/vampire/wh_main_spell_vampires_gaze_of_nagash	VIDEO_TUTORIAL	1	0
spell_previews/vampire/wh_main_spell_vampires_invocation_of_nehek	VIDEO_TUTORIAL	1	0
spell_previews/vampire/wh_main_spell_vampires_raise_dead	VIDEO_TUTORIAL	1	0
spell_previews/vampire/wh_main_spell_vampires_vanhels_danse_macabre	VIDEO_TUTORIAL	1	0
spell_previews/vampire/wh_main_spell_vampires_wind_of_death	VIDEO_TUTORIAL	1	0
spell_previews/wild/wh_dlc03_spell_wild_bray_scream	VIDEO_TUTORIAL	1	0
spell_previews/wild/wh_dlc03_spell_wild_devolve	VIDEO_TUTORIAL	1	0
spell_previews/wild/wh_dlc03_spell_wild_mantle_of_ghorok	VIDEO_TUTORIAL	1	0
spell_previews/wild/wh_dlc03_spell_wild_savage_dominion	VIDEO_TUTORIAL	1	0
spell_previews/wild/wh_dlc03_spell_wild_traitor_kin	VIDEO_TUTORIAL	1	0
spell_previews/wild/wh_dlc03_spell_wild_viletide	VIDEO_TUTORIAL	1	0
startup_movie_01	FULLSCREEN_INTRO	1	12
startup_movie_02	FULLSCREEN_INTRO	1	0
startup_movie_03	FULLSCREEN_INTRO	1	0
todbringer_defeated	CAMPAIGN_ESTABLISH	1	0
treachery_of_tzeenth	CAMPAIGN_ESTABLISH	1	0
warhammer2/def/def_horned_rat	FULLSCREEN_INTRO	1	30
warhammer2/def/def_intro	FULLSCREEN_INTRO	1	25
warhammer2/def/def_ritual_1	FULLSCREEN_INTRO	1	26
warhammer2/def/def_ritual_2	FULLSCREEN_INTRO	1	27
warhammer2/def/def_ritual_3	FULLSCREEN_INTRO	1	28
warhammer2/def/def_ritual_4	FULLSCREEN_INTRO	1	29
warhammer2/def/def_ritual_5	FULLSCREEN_INTRO	1	31
warhammer2/def/def_win	FULLSCREEN_INTRO	1	32
warhammer2/hef/hef_horned_rat	FULLSCREEN_INTRO	1	38
warhammer2/hef/hef_intro	FULLSCREEN_INTRO	1	33
warhammer2/hef/hef_ritual_1	FULLSCREEN_INTRO	1	34
warhammer2/hef/hef_ritual_2	FULLSCREEN_INTRO	1	35
warhammer2/hef/hef_ritual_3	FULLSCREEN_INTRO	1	36
warhammer2/hef/hef_ritual_4	FULLSCREEN_INTRO	1	37
warhammer2/hef/hef_ritual_5	FULLSCREEN_INTRO	1	39
warhammer2/hef/hef_win	FULLSCREEN_INTRO	1	40
warhammer2/lzd/lzd_horned_rat	FULLSCREEN_INTRO	1	46
warhammer2/lzd/lzd_intro	FULLSCREEN_INTRO	1	41
warhammer2/lzd/lzd_ritual_1	FULLSCREEN_INTRO	1	42
warhammer2/lzd/lzd_ritual_2	FULLSCREEN_INTRO	1	43
warhammer2/lzd/lzd_ritual_3	FULLSCREEN_INTRO	1	44
warhammer2/lzd/lzd_ritual_4	FULLSCREEN_INTRO	1	45
warhammer2/lzd/lzd_ritual_5	FULLSCREEN_INTRO	1	47
warhammer2/lzd/lzd_win	FULLSCREEN_INTRO	1	48
warhammer2/skv/skv_horned_rat	FULLSCREEN_INTRO	1	55
warhammer2/skv/skv_intro	FULLSCREEN_INTRO	1	49
warhammer2/skv/skv_ritual_1	FULLSCREEN_INTRO	1	50
warhammer2/skv/skv_ritual_2	FULLSCREEN_INTRO	1	51
warhammer2/skv/skv_ritual_3	FULLSCREEN_INTRO	1	52
warhammer2/skv/skv_ritual_4	FULLSCREEN_INTRO	1	53
warhammer2/skv/skv_ritual_5	FULLSCREEN_INTRO	1	56
warhammer2/skv/skv_win	FULLSCREEN_INTRO	1	57
warhammer2/skv_comet	FULLSCREEN_INTRO	1	54
wh2_desert_attrition	CAMPAIGN_ESTABLISH	1	0
wh2_disease_attrition	CAMPAIGN_ESTABLISH	1	0
wh2_jungle_attrition	CAMPAIGN_ESTABLISH	1	0
wh2_maelstorm_attrition	CAMPAIGN_ESTABLISH	1	0
wh2_naval_defeat	CAMPAIGN_ESTABLISH	1	0
wh2_naval_victory	CAMPAIGN_ESTABLISH	1	0
wh2_reef_attrition	CAMPAIGN_ESTABLISH	1	0
wh2_sea_encounters_1	CAMPAIGN_ESTABLISH	1	0
wh2_sea_encounters_2	CAMPAIGN_ESTABLISH	1	0
wh2_skaven_underworld	CAMPAIGN_ESTABLISH	1	0
wh2_storm_attrition	CAMPAIGN_ESTABLISH	1	0
wh2_treasure_hunt	CAMPAIGN_ESTABLISH	1	0
wh2_treasure_hunt_2	CAMPAIGN_ESTABLISH	1	0
wh2_treasure_hunt_3	CAMPAIGN_ESTABLISH	1	0
wh2_treasure_hunt_4	CAMPAIGN_ESTABLISH	1	0
winds_of_magic_change	CAMPAIGN_ESTABLISH	1	0
