units_custom_battle_mounts_tables
1
base_unit	icon_name	mounted_unit
wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_0	ui/campaign ui/mounts/mount_chaos_steed.png	wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_1
wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_0	ui/campaign ui/mounts/mount_barded_chaos_steed.png	wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_2
wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_0	ui/campaign ui/mounts/mount_manticore.png	wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_3
wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_0	ui/campaign ui/mounts/mount_chaos_dragon.png	wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_4
wh_dlc01_chs_cha_chaos_sorcerer_shadows_0	ui/campaign ui/mounts/mount_chaos_steed.png	wh_dlc01_chs_cha_chaos_sorcerer_shadows_1
wh_dlc01_chs_cha_chaos_sorcerer_shadows_0	ui/campaign ui/mounts/mount_barded_chaos_steed.png	wh_dlc01_chs_cha_chaos_sorcerer_shadows_2
wh_dlc01_chs_cha_chaos_sorcerer_shadows_0	ui/campaign ui/mounts/mount_manticore.png	wh_dlc01_chs_cha_chaos_sorcerer_shadows_3
wh_dlc01_nor_cha_chaos_sorcerer_lord_0	ui/campaign ui/mounts/mount_warhorse.png	wh_dlc01_nor_cha_chaos_sorcerer_lord_1
wh_dlc03_bst_cha_beastlord_0	ui/campaign ui/mounts/mount_razorgor_chariot.png	wh_dlc03_bst_cha_beastlord_1
wh_dlc03_bst_cha_bray_shaman_beasts_0	ui/campaign ui/mounts/mount_razorgor_chariot.png	wh_dlc03_bst_cha_bray_shaman_beasts_1
wh_dlc03_bst_cha_bray_shaman_death_0	ui/campaign ui/mounts/mount_razorgor_chariot.png	wh_dlc03_bst_cha_bray_shaman_death_1
wh_dlc03_bst_cha_bray_shaman_shadows_0	ui/campaign ui/mounts/mount_razorgor_chariot.png	wh_dlc03_bst_cha_bray_shaman_shadows_1
wh_dlc03_bst_cha_bray_shaman_wild_0	ui/campaign ui/mounts/mount_razorgor_chariot.png	wh_dlc03_bst_cha_bray_shaman_wild_1
wh_dlc03_bst_cha_khazrak_one_eye_0	ui/campaign ui/mounts/mount_razorgor_chariot.png	wh_dlc03_bst_cha_khazrak_one_eye_1
wh_dlc03_emp_cha_boris_todbringer_0	ui/campaign ui/mounts/mount_barded_warhorse.png	wh_dlc03_emp_cha_boris_todbringer_1
wh_dlc03_emp_cha_boris_todbringer_0	ui/campaign ui/mounts/mount_imperial_pegasus.png	wh_dlc03_emp_cha_boris_todbringer_2
wh_dlc03_emp_cha_boris_todbringer_0	ui/campaign ui/mounts/mount_imperial_griffon.png	wh_dlc03_emp_cha_boris_todbringer_3
wh_dlc03_emp_cha_wizard_beasts_0	ui/campaign ui/mounts/mount_warhorse.png	wh_dlc03_emp_cha_wizard_beasts_1
wh_dlc03_emp_cha_wizard_beasts_0	ui/campaign ui/mounts/mount_barded_warhorse.png	wh_dlc03_emp_cha_wizard_beasts_2
wh_dlc03_emp_cha_wizard_beasts_0	ui/campaign ui/mounts/mount_imperial_griffon.png	wh_dlc03_emp_cha_wizard_beasts_3
wh_dlc03_emp_cha_wizard_beasts_0	ui/campaign ui/mounts/mount_imperial_pegasus.png	wh_dlc03_emp_cha_wizard_beasts_4
wh_dlc04_emp_cha_arch_lector_0	ui/campaign ui/mounts/mount_warhorse.png	wh_dlc04_emp_cha_arch_lector_1
wh_dlc04_emp_cha_arch_lector_0	ui/campaign ui/mounts/mount_barded_warhorse.png	wh_dlc04_emp_cha_arch_lector_2
wh_dlc04_emp_cha_volkmar_the_grim_0	ui/campaign ui/mounts/mount_war_altar_of_sigmar.png	wh_dlc04_emp_cha_volkmar_the_grim_1
wh_dlc04_emp_cha_volkmar_the_grim_0	ui/campaign ui/mounts/mount_warhorse.png	wh_dlc04_emp_cha_volkmar_the_grim_2
wh_dlc04_emp_cha_volkmar_the_grim_0	ui/campaign ui/mounts/mount_barded_warhorse.png	wh_dlc04_emp_cha_volkmar_the_grim_3
wh_dlc04_vmp_cha_helman_ghorst_0	ui/campaign ui/mounts/mount_corpse_cart.png	wh_dlc04_vmp_cha_helman_ghorst_1
wh_dlc04_vmp_cha_strigoi_ghoul_king_0	ui/campaign ui/mounts/mount_terrorgheist.png	wh_dlc04_vmp_cha_strigoi_ghoul_king_1
wh_dlc05_brt_cha_armand_aquitaine_0	ui/campaign ui/mounts/mount_barded_warhorse.png	wh_dlc05_brt_cha_armand_aquitaine_1
wh_dlc05_brt_cha_armand_aquitaine_0	ui/campaign ui/mounts/mount_royal_pegasus.png	wh_dlc05_brt_cha_armand_aquitaine_2
wh_dlc05_brt_cha_armand_aquitaine_0	ui/campaign ui/mounts/mount_hippogryph.png	wh_dlc05_brt_cha_armand_aquitaine_3
wh_dlc05_emp_cha_wizard_life_0	ui/campaign ui/mounts/mount_warhorse.png	wh_dlc05_emp_cha_wizard_life_1
wh_dlc05_emp_cha_wizard_life_0	ui/campaign ui/mounts/mount_barded_warhorse.png	wh_dlc05_emp_cha_wizard_life_2
wh_dlc05_emp_cha_wizard_life_0	ui/campaign ui/mounts/mount_imperial_pegasus.png	wh_dlc05_emp_cha_wizard_life_3
wh_dlc05_emp_cha_wizard_shadows_0	ui/campaign ui/mounts/mount_warhorse.png	wh_dlc05_emp_cha_wizard_shadows_1
wh_dlc05_emp_cha_wizard_shadows_0	ui/campaign ui/mounts/mount_barded_warhorse.png	wh_dlc05_emp_cha_wizard_shadows_2
wh_dlc05_emp_cha_wizard_shadows_0	ui/campaign ui/mounts/mount_imperial_pegasus.png	wh_dlc05_emp_cha_wizard_shadows_3
wh_dlc05_grn_cha_snorko_one_finger_0	ui/campaign ui/mounts/mount_wyvern.png	wh_dlc05_grn_cha_snorko_one_finger_1
wh_dlc05_grn_cha_snorko_one_finger_0	ui/campaign ui/mounts/mount_war_boar.png	wh_dlc05_grn_cha_snorko_one_finger_2
wh_dlc05_vmp_cha_red_duke_0	ui/campaign ui/mounts/mount_hellsteed.png	wh_dlc05_vmp_cha_red_duke_1
wh_dlc05_vmp_cha_red_duke_0	ui/campaign ui/mounts/mount_barded_nightmare.png	wh_dlc05_vmp_cha_red_duke_2
wh_dlc05_vmp_cha_red_duke_0	ui/campaign ui/mounts/mount_zombie_dragon.png	wh_dlc05_vmp_cha_red_duke_3
wh_dlc05_vmp_cha_vampire_shadows_0	ui/campaign ui/mounts/mount_barded_nightmare.png	wh_dlc05_vmp_cha_vampire_shadows_1
wh_dlc05_vmp_cha_vampire_shadows_0	ui/campaign ui/mounts/mount_hellsteed.png	wh_dlc05_vmp_cha_vampire_shadows_2
wh_dlc05_wef_cha_female_glade_lord_0	ui/campaign ui/mounts/mount_warhorse.png	wh_dlc05_wef_cha_female_glade_lord_1
wh_dlc05_wef_cha_female_glade_lord_0	ui/campaign ui/mounts/mount_great_eagle.png	wh_dlc05_wef_cha_female_glade_lord_2
wh_dlc05_wef_cha_female_glade_lord_0	ui/campaign ui/mounts/mount_zombie_dragon.png	wh_dlc05_wef_cha_female_glade_lord_3
wh_dlc05_wef_cha_glade_lord_0	ui/campaign ui/mounts/mount_warhorse.png	wh_dlc05_wef_cha_glade_lord_1
wh_dlc05_wef_cha_glade_lord_0	ui/campaign ui/mounts/mount_great_eagle.png	wh_dlc05_wef_cha_glade_lord_2
wh_dlc05_wef_cha_glade_lord_0	ui/campaign ui/mounts/mount_zombie_dragon.png	wh_dlc05_wef_cha_glade_lord_3
wh_dlc05_wef_cha_spellsinger_beasts_0	ui/campaign ui/mounts/mount_warhorse.png	wh_dlc05_wef_cha_spellsinger_beasts_1
wh_dlc05_wef_cha_spellsinger_beasts_0	ui/campaign ui/mounts/mount_great_eagle.png	wh_dlc05_wef_cha_spellsinger_beasts_2
wh_dlc05_wef_cha_spellsinger_beasts_0	ui/campaign ui/mounts/mount_unicorn.png	wh_dlc05_wef_cha_spellsinger_beasts_3
wh_dlc05_wef_cha_spellsinger_life_0	ui/campaign ui/mounts/mount_warhorse.png	wh_dlc05_wef_cha_spellsinger_life_1
wh_dlc05_wef_cha_spellsinger_life_0	ui/campaign ui/mounts/mount_great_eagle.png	wh_dlc05_wef_cha_spellsinger_life_2
wh_dlc05_wef_cha_spellsinger_life_0	ui/campaign ui/mounts/mount_unicorn.png	wh_dlc05_wef_cha_spellsinger_life_3
wh_dlc05_wef_cha_spellsinger_shadows_0	ui/campaign ui/mounts/mount_warhorse.png	wh_dlc05_wef_cha_spellsinger_shadows_1
wh_dlc05_wef_cha_spellsinger_shadows_0	ui/campaign ui/mounts/mount_great_eagle.png	wh_dlc05_wef_cha_spellsinger_shadows_2
wh_dlc05_wef_cha_spellsinger_shadows_0	ui/campaign ui/mounts/mount_unicorn.png	wh_dlc05_wef_cha_spellsinger_shadows_3
wh_dlc06_dwf_cha_runelord_0	ui/campaign ui/mounts/mount_anvil_of_doom.png	wh_dlc06_dwf_cha_runelord_1
wh_dlc06_grn_cha_night_goblin_warboss_0	ui/campaign ui/mounts/mount_great_cave_squig.png	wh_dlc06_grn_cha_night_goblin_warboss_1
wh_dlc06_grn_cha_wurrzag_0	ui/campaign ui/mounts/mount_war_boar.png	wh_dlc06_grn_cha_wurrzag_1
wh_dlc07_brt_cha_alberic_bordeleaux_0	ui/campaign ui/mounts/mount_barded_warhorse.png	wh_dlc07_brt_cha_alberic_bordeleaux_1
wh_dlc07_brt_cha_alberic_bordeleaux_0	ui/campaign ui/mounts/mount_royal_pegasus.png	wh_dlc07_brt_cha_alberic_bordeleaux_2
wh_dlc07_brt_cha_alberic_bordeleaux_0	ui/campaign ui/mounts/mount_hippogryph.png	wh_dlc07_brt_cha_alberic_bordeleaux_3
wh_dlc07_brt_cha_damsel_beasts_0	ui/campaign ui/mounts/mount_warhorse.png	wh_dlc07_brt_cha_damsel_beasts_1
wh_dlc07_brt_cha_damsel_beasts_0	ui/campaign ui/mounts/mount_barded_warhorse.png	wh_dlc07_brt_cha_damsel_beasts_2
wh_dlc07_brt_cha_damsel_beasts_0	ui/campaign ui/mounts/mount_unicorn.png	wh_dlc07_brt_cha_damsel_beasts_3
wh_dlc07_brt_cha_damsel_life_0	ui/campaign ui/mounts/mount_warhorse.png	wh_dlc07_brt_cha_damsel_life_1
wh_dlc07_brt_cha_damsel_life_0	ui/campaign ui/mounts/mount_barded_warhorse.png	wh_dlc07_brt_cha_damsel_life_2
wh_dlc07_brt_cha_damsel_life_0	ui/campaign ui/mounts/mount_unicorn.png	wh_dlc07_brt_cha_damsel_life_3
wh_dlc07_brt_cha_fay_enchantress_0	ui/campaign ui/mounts/mount_unicorn.png	wh_dlc07_brt_cha_fay_enchantress_1
wh_dlc07_brt_cha_prophetess_0	ui/campaign ui/mounts/mount_warhorse.png	wh_dlc07_brt_cha_prophetess_1
wh_dlc07_brt_cha_prophetess_0	ui/campaign ui/mounts/mount_barded_warhorse.png	wh_dlc07_brt_cha_prophetess_2
wh_dlc07_brt_cha_prophetess_0	ui/campaign ui/mounts/mount_royal_pegasus.png	wh_dlc07_brt_cha_prophetess_3
wh_dlc07_brt_cha_prophetess_beasts_0	ui/campaign ui/mounts/mount_warhorse.png	wh_dlc07_brt_cha_prophetess_beasts_1
wh_dlc07_brt_cha_prophetess_beasts_0	ui/campaign ui/mounts/mount_barded_warhorse.png	wh_dlc07_brt_cha_prophetess_beasts_2
wh_dlc07_brt_cha_prophetess_beasts_0	ui/campaign ui/mounts/mount_royal_pegasus.png	wh_dlc07_brt_cha_prophetess_beasts_3
wh_dlc07_brt_cha_prophetess_heavens_0	ui/campaign ui/mounts/mount_warhorse.png	wh_dlc07_brt_cha_prophetess_heavens_1
wh_dlc07_brt_cha_prophetess_heavens_0	ui/campaign ui/mounts/mount_barded_warhorse.png	wh_dlc07_brt_cha_prophetess_heavens_2
wh_dlc07_brt_cha_prophetess_heavens_0	ui/campaign ui/mounts/mount_royal_pegasus.png	wh_dlc07_brt_cha_prophetess_heavens_3
wh_main_brt_cha_damsel_0	ui/campaign ui/mounts/mount_warhorse.png	wh_main_brt_cha_damsel_1
wh_main_brt_cha_damsel_0	ui/campaign ui/mounts/mount_barded_warhorse.png	wh_main_brt_cha_damsel_2
wh_main_brt_cha_damsel_0	ui/campaign ui/mounts/mount_unicorn.png	wh_main_brt_cha_damsel_3
wh_main_brt_cha_king_louen_leoncoeur_0	ui/campaign ui/mounts/mount_beaquis.png	wh_main_brt_cha_king_louen_leoncoeur_1
wh_main_brt_cha_king_louen_leoncoeur_0	ui/campaign ui/mounts/mount_barded_warhorse.png	wh_main_brt_cha_king_louen_leoncoeur_2
wh_main_brt_cha_king_louen_leoncoeur_0	ui/campaign ui/mounts/mount_royal_pegasus.png	wh_main_brt_cha_king_louen_leoncoeur_3
wh_main_brt_cha_king_louen_leoncoeur_0	ui/campaign ui/mounts/mount_hippogryph.png	wh_main_brt_cha_king_louen_leoncoeur_4
wh_main_brt_cha_lord_0	ui/campaign ui/mounts/mount_hippogryph.png	wh_main_brt_cha_lord_2
wh_main_brt_cha_lord_0	ui/campaign ui/mounts/mount_royal_pegasus.png	wh_main_brt_cha_lord_3
wh_main_brt_cha_lord_0	ui/campaign ui/mounts/mount_barded_warhorse.png	wh_main_brt_cha_lord_4
wh_main_brt_cha_paladin_0	ui/campaign ui/mounts/mount_royal_pegasus.png	wh_main_brt_cha_paladin_3
wh_main_brt_cha_paladin_0	ui/campaign ui/mounts/mount_barded_warhorse.png	wh_main_brt_cha_paladin_4
wh_main_chs_cha_archaon_the_everchosen_0	ui/campaign ui/mounts/mount_dorghar.png	wh_main_chs_cha_archaon_the_everchosen_1
wh_main_chs_cha_chaos_lord_0	ui/campaign ui/mounts/mount_manticore.png	wh_dlc01_chs_cha_chaos_lord_10
wh_main_chs_cha_chaos_lord_0	ui/campaign ui/mounts/mount_chaos_dragon.png	wh_dlc01_chs_cha_chaos_lord_2
wh_main_chs_cha_chaos_lord_0	ui/campaign ui/mounts/mount_chaos_steed.png	wh_main_chs_cha_chaos_lord_11
wh_main_chs_cha_chaos_lord_0	ui/campaign ui/mounts/mount_barded_chaos_steed.png	wh_main_chs_cha_chaos_lord_12
wh_main_chs_cha_chaos_sorcerer_death_0	ui/campaign ui/mounts/mount_chaos_steed.png	wh_main_chs_cha_chaos_sorcerer_death_10
wh_main_chs_cha_chaos_sorcerer_death_0	ui/campaign ui/mounts/mount_barded_chaos_steed.png	wh_main_chs_cha_chaos_sorcerer_death_11
wh_main_chs_cha_chaos_sorcerer_death_0	ui/campaign ui/mounts/mount_manticore.png	wh_main_chs_cha_chaos_sorcerer_death_9
wh_main_chs_cha_chaos_sorcerer_fire_0	ui/campaign ui/mounts/mount_chaos_steed.png	wh_main_chs_cha_chaos_sorcerer_fire_10
wh_main_chs_cha_chaos_sorcerer_fire_0	ui/campaign ui/mounts/mount_barded_chaos_steed.png	wh_main_chs_cha_chaos_sorcerer_fire_11
wh_main_chs_cha_chaos_sorcerer_fire_0	ui/campaign ui/mounts/mount_manticore.png	wh_main_chs_cha_chaos_sorcerer_fire_9
wh_main_chs_cha_chaos_sorcerer_metal_0	ui/campaign ui/mounts/mount_chaos_steed.png	wh_main_chs_cha_chaos_sorcerer_metal_10
wh_main_chs_cha_chaos_sorcerer_metal_0	ui/campaign ui/mounts/mount_barded_chaos_steed.png	wh_main_chs_cha_chaos_sorcerer_metal_11
wh_main_chs_cha_chaos_sorcerer_metal_0	ui/campaign ui/mounts/mount_manticore.png	wh_main_chs_cha_chaos_sorcerer_metal_9
wh_main_chs_cha_exalted_hero_0	ui/campaign ui/mounts/mount_manticore.png	wh_dlc01_chs_cha_exalted_hero_10
wh_main_chs_cha_exalted_hero_0	ui/campaign ui/mounts/mount_chaos_steed.png	wh_main_chs_cha_exalted_hero_12
wh_main_chs_cha_exalted_hero_0	ui/campaign ui/mounts/mount_barded_chaos_steed.png	wh_main_chs_cha_exalted_hero_13
wh_main_emp_cha_balthasar_gelt_0	ui/campaign ui/mounts/mount_imperial_pegasus.png	wh_main_emp_cha_balthasar_gelt_1
wh_main_emp_cha_captain_0	ui/campaign ui/mounts/mount_warhorse.png	wh_main_emp_cha_captain_1
wh_main_emp_cha_captain_0	ui/campaign ui/mounts/mount_barded_warhorse.png	wh_main_emp_cha_captain_2
wh_main_emp_cha_captain_0	ui/campaign ui/mounts/mount_imperial_pegasus.png	wh_main_emp_cha_captain_3
wh_main_emp_cha_general_0	ui/campaign ui/mounts/mount_barded_warhorse.png	wh_main_emp_cha_general_1
wh_main_emp_cha_general_0	ui/campaign ui/mounts/mount_imperial_pegasus.png	wh_main_emp_cha_general_2
wh_main_emp_cha_general_0	ui/campaign ui/mounts/mount_imperial_griffon.png	wh_main_emp_cha_general_3
wh_main_emp_cha_general_0	ui/campaign ui/mounts/mount_warhorse.png	wh_main_emp_cha_general_4
wh_main_emp_cha_karl_franz_0	ui/campaign ui/mounts/mount_deathclaw.png	wh_main_emp_cha_karl_franz_1
