cai_personalities_tables
18
agent_distribution_profile_key	agent_recruitment_profile_key	budget_policy_key	key	military_aggressiveness_policy	military_behavior_policy	reliability_policy_key	religious_conversion_policy	allowed_for_random_selection	diplomatic_component	strategic_component	cultural_component	deal_evaluation_component	deal_generation_component	construction_system_policy	task_management_system_task_generation_profile	negotiation_component	income_allocation_policy	occupation_decision_component	religious_component	empire_rivalry_component	religion_chanage_management_policy	tresspassing_component	agent_embed_profile	character_skill_selection_policy
cai_adp_standard	cai_arp_standard	militarist_naval	wh2_darkelf_early_internally_hostile_aggressive_hard	cai_pmap_high	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	aggressive_darkelf	dislikes_darkelves_internal	aggressive	default	militarist_construction_system_policy	aggressive_coloniser_avoid_oldworld_races_anti_player_task_generator_profile	default	militarist	capture_all_climate_early	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	militarist_naval	wh2_darkelf_early_internally_hostile_aggressive_less_diplomatic_hard	cai_pmap_high	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	aggressive_darkelf	dislikes_darkelves_internal	aggressive_unfriendly	default	militarist_construction_system_policy	aggressive_coloniser_avoid_oldworld_races_anti_player_task_generator_profile	default	militarist	capture_all_climate_early	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	militarist_naval	wh2_darkelf_early_less_diplomatic_hard	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	darkelf	default	default_unfriendly	default	militarist_construction_system_policy	default_coloniser_avoids_oldworld_races_anti_player_task_generator_profile	default	militarist	capture_all_climate_early	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_darkelf_early_major	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	darkelf	default	friendly	subjugator	default_construction_system_policy	default_coloniser_avoid_oldworld_races_task_generator_profile	active	default	capture_all_climate_early	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_darkelf_early_major_easy	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	darkelf	default	friendly	subjugator	default_construction_system_policy	default_coloniser_avoid_oldworld_races_and_player_task_generator_profile	active	peaceful	capture_all_climate_early	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	militarist_naval	wh2_darkelf_early_major_hard	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	darkelf	default	friendly	subjugator	militarist_construction_system_policy	default_coloniser_avoids_oldworld_races_anti_player_task_generator_profile	active	militarist	capture_all_climate_early	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_darkelf_early_major_secondary	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	darkelf	default	friendly	subjugator	default_construction_system_policy	default_coloniser_avoid_oldworld_races_task_generator_profile	active	default	capture_all_climate_early	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_darkelf_early_major_secondary_easy	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	darkelf	default	friendly	subjugator	default_construction_system_policy	default_coloniser_avoid_oldworld_races_and_player_task_generator_profile	active	peaceful	capture_all_climate_early	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	militarist_naval	wh2_darkelf_early_major_secondary_hard	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	darkelf	default	friendly	subjugator	militarist_construction_system_policy	default_coloniser_avoids_oldworld_races_anti_player_task_generator_profile	active	militarist	capture_all_climate_early	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_darkelf_early_noruins_easy	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	darkelf	default	default	default	default_construction_system_policy	default_noruins_avoid_oldworld_races_and_player_task_generator_profile	default	peaceful	capture_all_climate_early	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	militarist_naval	wh2_darkelf_early_noruins_hard	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	darkelf	default	default	default	militarist_construction_system_policy	default_noruins_avoids_oldworld_races_anti_player_task_generator_profile	default	militarist	capture_all_climate_early	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	militarist_naval	wh2_darkelf_early_noruins_internally_hostile_aggressive_less_diplomatic_hard	cai_pmap_high	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	aggressive_darkelf	dislikes_darkelves_internal	aggressive_unfriendly	default	militarist_construction_system_policy	aggressive_noruins_avoid_oldworld_races_anti_player_task_generator_profile	default	militarist	capture_all_climate_early	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	balanced	wh2_darkelf_early_subordinate	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	darkelf	default	default_subordinate	default	default_construction_system_policy	default_coloniser_avoid_oldworld_races_task_generator_profile	default	default	capture_all_climate_early	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	balanced	wh2_darkelf_early_subordinate_easy	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	darkelf	default	default_subordinate	default	default_construction_system_policy	default_coloniser_avoid_oldworld_races_and_player_task_generator_profile	default	peaceful	capture_all_climate_early	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	militarist	wh2_darkelf_early_subordinate_hard	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	darkelf	default	default_subordinate	default	militarist_construction_system_policy	default_coloniser_avoids_oldworld_races_anti_player_task_generator_profile	default	militarist	capture_all_climate_early	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_darkelf_easy	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	darkelf	default	default	default	default_construction_system_policy	default_vcregion_focused_overseas_attacker_avoid_player_task_generator_profile	default	peaceful	capture_all_climate	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	militarist_naval	wh2_darkelf_hard	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	darkelf	default	default	default	militarist_construction_system_policy	default_vcregion_focused_overseas_attacker_anti_player_task_generator_profile	default	militarist	capture_all_climate	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_darkelf_internally_hostile_aggressive	cai_pmap_high	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	aggressive_darkelf	dislikes_darkelves_internal	aggressive	default	default_construction_system_policy	aggressive_vcregion_focused_overseas_attacker_task_generator_profile	default	default	capture_all_climate	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_darkelf_internally_hostile_aggressive_easy	cai_pmap_high	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	aggressive_darkelf	dislikes_darkelves_internal	aggressive	default	default_construction_system_policy	aggressive_vcregion_focused_overseas_attacker_avoid_player_task_generator_profile	default	peaceful	capture_all_climate	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	militarist_naval	wh2_darkelf_internally_hostile_aggressive_hard	cai_pmap_high	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	aggressive_darkelf	dislikes_darkelves_internal	aggressive	default	militarist_construction_system_policy	aggressive_vcregion_focused_overseas_attacker_anti_player_task_generator_profile	default	militarist	capture_all_climate	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	militarist_naval	wh2_darkelf_internally_hostile_aggressive_less_diplomatic_hard	cai_pmap_high	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	aggressive_darkelf	dislikes_darkelves_internal	aggressive_unfriendly	default	militarist_construction_system_policy	aggressive_vcregion_focused_overseas_attacker_anti_player_task_generator_profile	default	militarist	capture_all_climate	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	militarist_naval	wh2_darkelf_less_diplomatic_hard	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	darkelf	default	default_unfriendly	default	militarist_construction_system_policy	aggressive_vcregion_focused_overseas_attacker_anti_player_task_generator_profile	default	militarist	capture_all_climate	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_darkelf_major	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	darkelf	default	friendly	subjugator	default_construction_system_policy	default_vcregion_focused_overseas_attacker_task_generator_profile	active	default	capture_all_climate	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_darkelf_major_easy	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	darkelf	default	friendly	subjugator	default_construction_system_policy	default_vcregion_focused_overseas_attacker_avoid_player_task_generator_profile	active	peaceful	capture_all_climate	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	militarist_naval	wh2_darkelf_major_hard	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	darkelf	default	friendly	subjugator	militarist_construction_system_policy	default_vcregion_focused_overseas_attacker_anti_player_task_generator_profile	active	militarist	capture_all_climate	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_darkelf_major_secondary	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	darkelf	default	friendly	subjugator	default_construction_system_policy	default_vcregion_focused_overseas_attacker_task_generator_profile	active	default	capture_all_climate	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_darkelf_major_secondary_easy	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	darkelf	default	friendly	subjugator	default_construction_system_policy	default_vcregion_focused_overseas_attacker_avoid_player_task_generator_profile	active	peaceful	capture_all_climate	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	militarist_naval	wh2_darkelf_major_secondary_hard	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	darkelf	default	friendly	subjugator	militarist_construction_system_policy	default_vcregion_focused_overseas_attacker_anti_player_task_generator_profile	active	militarist	capture_all_climate	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_darkelf_noruins_early	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	darkelf	default	default	default	default_construction_system_policy	default_noruins_avoid_oldworld_races_task_generator_profile	default	default	capture_all_climate_early	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	balanced	wh2_darkelf_subordinate	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	darkelf	default	default_subordinate	default	default_construction_system_policy	default_vcregion_focused_overseas_attacker_task_generator_profile	default	default	capture_all_climate	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	balanced	wh2_darkelf_subordinate_easy	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	darkelf	default	default_subordinate	default	default_construction_system_policy	default_vcregion_focused_overseas_attacker_avoid_player_task_generator_profile	default	peaceful	capture_all_climate	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	militarist	wh2_darkelf_subordinate_hard	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	darkelf	default	default_subordinate	default	militarist_construction_system_policy	default_vcregion_focused_overseas_attacker_anti_player_task_generator_profile	default	militarist	capture_all_climate	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	militarist	wh2_greenskin_noruins_survivor	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	survivor	default	defensive	default	default_construction_system_policy	defensive_noruins_raider_task_generator_profile	default	militarist	default	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	militarist	wh2_greenskin_noruins_survivor_easy	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	survivor	default	defensive	default	default_construction_system_policy	defensive_noruins_avoid_player_raider_task_generator_profile	default	militarist	default	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	militarist	wh2_greenskin_noruins_survivor_hard	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	survivor	default	defensive	default	militarist_construction_system_policy	defensive_noruins_anti_player_raider_task_generator_profile	default	militarist	default	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	militarist	wh2_greenskin_survivor	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	survivor	default	defensive	default	default_construction_system_policy	defensive_raider_task_generator_profile	default	militarist	default	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	militarist	wh2_greenskin_survivor_easy	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	survivor	default	defensive	default	default_construction_system_policy	defensive_avoid_player_raider_task_generator_profile	default	militarist	default	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	militarist	wh2_greenskin_survivor_hard	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	survivor	default	defensive	default	militarist_construction_system_policy	defensive_anti_player_raider_task_generator_profile	default	militarist	default	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	default_budget_policy	wh2_greenskin_waaagh	cai_pmap_high	cai_pmbp_balanced	cai_prp_very_high	cai_prcp_evasive	default	default	aggressive	default	aggressive	default	default_construction_system_policy	default_waagh_task_generator_profile	non_diplomatic	default	default	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	default_budget_policy	wh2_highelf	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	home_defender	default	diplomat	default	default_construction_system_policy	default_vcregion_task_generator_profile	default	default	default	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	default_budget_policy	wh2_highelf_allied	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	home_defender	anti_chaos	diplomat	default	default_construction_system_policy	default_allied_task_generator_profile	default	default	default	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	default_budget_policy	wh2_highelf_defensive	cai_pmap_low	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	home_defender	default	defensive_diplomat	default	default_construction_system_policy	defensive_task_generator_profile	default	default	default	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	default_budget_policy	wh2_highelf_defensive_allied	cai_pmap_low	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	home_defender	anti_chaos	defensive_diplomat	default	default_construction_system_policy	defensive_allied_task_generator_profile	default	default	default	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	default_budget_policy	wh2_highelf_defensive_easy	cai_pmap_low	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	home_defender	default	defensive_diplomat	default	default_construction_system_policy	defensive_avoid_player_task_generator_profile	default	peaceful	default	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	default_budget_policy	wh2_highelf_defensive_easy_allied	cai_pmap_low	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	home_defender	anti_chaos	defensive_diplomat	default	default_construction_system_policy	defensive_allied_avoid_player_task_generator_profile	default	peaceful	default	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	militarist	wh2_highelf_defensive_hard	cai_pmap_low	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	home_defender	default	defensive_diplomat	default	militarist_construction_system_policy	defensive_anti_player_task_generator_profile	default	militarist	default	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	militarist	wh2_highelf_defensive_hard_allied	cai_pmap_low	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	home_defender	anti_chaos	defensive_diplomat	default	militarist_construction_system_policy	defensive_allied_anti_player_task_generator_profile	default	militarist	default	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	default_budget_policy	wh2_highelf_early	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	home_defender	default	diplomat	default	default_construction_system_policy	default_coloniser_avoid_oldworld_races_task_generator_profile	default	default	default_early	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	default_budget_policy	wh2_highelf_early_defensive	cai_pmap_low	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	home_defender	default	defensive_diplomat	default	default_construction_system_policy	defensive_avoids_oldworld_races_task_generator_profile	default	default	default_early	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	default_budget_policy	wh2_highelf_early_defensive_easy	cai_pmap_low	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	home_defender	default	defensive_diplomat	default	default_construction_system_policy	defensive_avoids_oldworld_races_and_player_task_generator_profile	default	peaceful	default_early	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	militarist	wh2_highelf_early_defensive_hard	cai_pmap_low	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	home_defender	default	defensive_diplomat	default	militarist_construction_system_policy	defensive_avoids_oldworld_races_anti_player_task_generator_profile	default	militarist	default_early	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	default_budget_policy	wh2_highelf_early_easy	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	home_defender	default	diplomat	default	default_construction_system_policy	default_coloniser_avoid_oldworld_races_and_player_task_generator_profile	default	peaceful	default_early	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	militarist	wh2_highelf_early_hard	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	home_defender	default	diplomat	default	militarist_construction_system_policy	default_coloniser_avoids_oldworld_races_anti_player_task_generator_profile	default	militarist	default_early	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	default_budget_policy	wh2_highelf_early_internally_friendly	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	home_defender	likes_highelves_internal	diplomat	default	default_construction_system_policy	default_coloniser_avoid_oldworld_races_task_generator_profile	default	default	default_early	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	default_budget_policy	wh2_highelf_early_internally_friendly_defensive	cai_pmap_low	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	home_defender	likes_highelves_internal	defensive_diplomat	default	default_construction_system_policy	defensive_avoids_oldworld_races_task_generator_profile	default	default	default_early	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	default_budget_policy	wh2_highelf_early_internally_friendly_defensive_easy	cai_pmap_low	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	home_defender	likes_highelves_internal	defensive_diplomat	default	default_construction_system_policy	defensive_avoids_oldworld_races_and_player_task_generator_profile	default	peaceful	default_early	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	militarist	wh2_highelf_early_internally_friendly_defensive_hard	cai_pmap_low	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	home_defender	likes_highelves_internal	defensive_diplomat	default	militarist_construction_system_policy	defensive_avoids_oldworld_races_anti_player_task_generator_profile	default	militarist	default_early	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	default_budget_policy	wh2_highelf_early_internally_friendly_easy	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	home_defender	likes_highelves_internal	diplomat	default	default_construction_system_policy	default_coloniser_avoid_oldworld_races_and_player_task_generator_profile	default	peaceful	default_early	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	militarist	wh2_highelf_early_internally_friendly_hard	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	home_defender	likes_highelves_internal	diplomat	default	militarist_construction_system_policy	default_coloniser_avoids_oldworld_races_anti_player_task_generator_profile	default	militarist	default_early	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	default_budget_policy	wh2_highelf_early_internally_hostile_aggressive	cai_pmap_high	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	aggressive_home_defender	dislikes_highelves_internal	aggressive_diplomat	default	default_construction_system_policy	aggressive_coloniser_avoid_oldworld_races_task_generator_profile	default	default	default_early	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	default_budget_policy	wh2_highelf_early_internally_hostile_aggressive_easy	cai_pmap_high	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	aggressive_home_defender	dislikes_highelves_internal	aggressive_diplomat	default	default_construction_system_policy	aggressive_coloniser_avoid_oldworld_races_and_player_task_generator_profile	default	peaceful	default_early	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
