special_ability_groups_to_units_junctions_tables
0
ability_group	unit
wh_dlc04_lore_strigoi	wh_dlc04_vmp_cha_strigoi_ghoul_king_0
wh_dlc04_lore_strigoi	wh_dlc04_vmp_cha_strigoi_ghoul_king_1
wh_dlc05_lore_branchwraith	wh_dlc05_wef_cha_branchwraith_0
wh_dlc05_lore_life	wh2_main_hef_cha_mage_life_0
wh_dlc05_lore_life	wh2_main_hef_cha_mage_life_1
wh_dlc05_lore_life	wh2_main_hef_cha_mage_life_4
wh_dlc05_lore_life	wh_dlc05_emp_cha_wizard_life_0
wh_dlc05_lore_life	wh_dlc05_emp_cha_wizard_life_1
wh_dlc05_lore_life	wh_dlc05_emp_cha_wizard_life_2
wh_dlc05_lore_life	wh_dlc05_emp_cha_wizard_life_3
wh_dlc05_lore_life	wh_dlc05_wef_cha_ancient_treeman_0
wh_dlc05_lore_life	wh_dlc05_wef_cha_spellsinger_life_0
wh_dlc05_lore_life	wh_dlc05_wef_cha_spellsinger_life_1
wh_dlc05_lore_life	wh_dlc05_wef_cha_spellsinger_life_2
wh_dlc05_lore_life	wh_dlc05_wef_cha_spellsinger_life_3
wh_dlc05_lore_life	wh_dlc07_brt_cha_damsel_life_0
wh_dlc05_lore_life	wh_dlc07_brt_cha_damsel_life_1
wh_dlc05_lore_life	wh_dlc07_brt_cha_damsel_life_2
wh_dlc05_lore_life	wh_dlc07_brt_cha_damsel_life_3
wh_dlc05_lore_life	wh_dlc07_brt_cha_fay_enchantress_0
wh_dlc05_lore_life	wh_dlc07_brt_cha_fay_enchantress_1
wh_dlc05_lore_life	wh_dlc07_brt_cha_prophetess_0
wh_dlc05_lore_life	wh_dlc07_brt_cha_prophetess_1
wh_dlc05_lore_life	wh_dlc07_brt_cha_prophetess_2
wh_dlc05_lore_life	wh_dlc07_brt_cha_prophetess_3
wh_dlc05_lore_shadows	wh2_main_def_cha_sorceress_shadow_0
wh_dlc05_lore_shadows	wh2_main_def_cha_sorceress_shadow_1
wh_dlc05_lore_shadows	wh2_main_def_cha_sorceress_shadow_2
wh_dlc05_lore_shadows	wh2_main_def_cha_sorceress_shadow_3
wh_dlc05_lore_shadows	wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_0
wh_dlc05_lore_shadows	wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_1
wh_dlc05_lore_shadows	wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_2
wh_dlc05_lore_shadows	wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_3
wh_dlc05_lore_shadows	wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_4
wh_dlc05_lore_shadows	wh_dlc01_chs_cha_chaos_sorcerer_shadows_0
wh_dlc05_lore_shadows	wh_dlc01_chs_cha_chaos_sorcerer_shadows_1
wh_dlc05_lore_shadows	wh_dlc01_chs_cha_chaos_sorcerer_shadows_2
wh_dlc05_lore_shadows	wh_dlc01_chs_cha_chaos_sorcerer_shadows_3
wh_dlc05_lore_shadows	wh_dlc03_bst_cha_bray_shaman_shadows_0
wh_dlc05_lore_shadows	wh_dlc03_bst_cha_bray_shaman_shadows_1
wh_dlc05_lore_shadows	wh_dlc05_emp_cha_wizard_shadows_0
wh_dlc05_lore_shadows	wh_dlc05_emp_cha_wizard_shadows_1
wh_dlc05_lore_shadows	wh_dlc05_emp_cha_wizard_shadows_2
wh_dlc05_lore_shadows	wh_dlc05_emp_cha_wizard_shadows_3
wh_dlc05_lore_shadows	wh_dlc05_vmp_cha_vampire_shadows_0
wh_dlc05_lore_shadows	wh_dlc05_vmp_cha_vampire_shadows_1
wh_dlc05_lore_shadows	wh_dlc05_vmp_cha_vampire_shadows_2
wh_dlc05_lore_shadows	wh_dlc05_wef_cha_spellsinger_shadows_0
wh_dlc05_lore_shadows	wh_dlc05_wef_cha_spellsinger_shadows_1
wh_dlc05_lore_shadows	wh_dlc05_wef_cha_spellsinger_shadows_2
wh_dlc05_lore_shadows	wh_dlc05_wef_cha_spellsinger_shadows_3
wh_main_lore_big_waaagh	wh_dlc06_grn_cha_wurrzag_0
wh_main_lore_big_waaagh	wh_dlc06_grn_cha_wurrzag_1
wh_main_lore_big_waaagh	wh_main_grn_cha_orc_shaman_0
wh_main_lore_big_waaagh	wh_main_grn_cha_orc_shaman_1
wh_main_lore_death	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_0
wh_main_lore_death	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_10
wh_main_lore_death	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_12
wh_main_lore_death	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_13
wh_main_lore_death	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_9
wh_main_lore_death	wh_dlc03_bst_cha_bray_shaman_death_0
wh_main_lore_death	wh_dlc03_bst_cha_bray_shaman_death_1
wh_main_lore_death	wh_main_chs_cha_chaos_sorcerer_death_0
wh_main_lore_death	wh_main_chs_cha_chaos_sorcerer_death_10
wh_main_lore_death	wh_main_chs_cha_chaos_sorcerer_death_11
wh_main_lore_death	wh_main_chs_cha_chaos_sorcerer_death_9
wh_main_lore_death	wh_main_grn_cha_azhag_the_slaughterer_0
wh_main_lore_death	wh_main_grn_cha_azhag_the_slaughterer_1
wh_main_lore_death	wh_main_vmp_cha_mannfred_von_carstein_0
wh_main_lore_death	wh_main_vmp_cha_mannfred_von_carstein_2
wh_main_lore_death	wh_main_vmp_cha_mannfred_von_carstein_3
wh_main_lore_death	wh_main_vmp_cha_mannfred_von_carstein_4
wh_main_lore_death	wh_main_vmp_cha_vampire_0
wh_main_lore_death	wh_main_vmp_cha_vampire_1
wh_main_lore_death	wh_main_vmp_cha_vampire_2
wh_main_lore_fire	wh2_main_def_cha_sorceress_fire_0
wh_main_lore_fire	wh2_main_def_cha_sorceress_fire_1
wh_main_lore_fire	wh2_main_def_cha_sorceress_fire_2
wh_main_lore_fire	wh2_main_def_cha_sorceress_fire_3
wh_main_lore_fire	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_0
wh_main_lore_fire	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_10
wh_main_lore_fire	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_12
wh_main_lore_fire	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_13
wh_main_lore_fire	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_9
wh_main_lore_fire	wh_main_chs_cha_archaon_the_everchosen_0
wh_main_lore_fire	wh_main_chs_cha_archaon_the_everchosen_1
wh_main_lore_fire	wh_main_chs_cha_chaos_sorcerer_fire_0
wh_main_lore_fire	wh_main_chs_cha_chaos_sorcerer_fire_10
wh_main_lore_fire	wh_main_chs_cha_chaos_sorcerer_fire_11
wh_main_lore_fire	wh_main_chs_cha_chaos_sorcerer_fire_9
wh_main_lore_fire	wh_main_emp_cha_wizard_fire_0
wh_main_lore_fire	wh_main_emp_cha_wizard_fire_1
wh_main_lore_fire	wh_main_emp_cha_wizard_fire_2
wh_main_lore_fire	wh_main_emp_cha_wizard_fire_3
wh_main_lore_fire	wh_main_teb_cha_wizard_0
wh_main_lore_fire	wh_main_teb_cha_wizard_1
wh_main_lore_heavens	wh2_main_lzd_cha_skink_priest_heavens_0
wh_main_lore_heavens	wh2_main_lzd_cha_skink_priest_heavens_1
wh_main_lore_heavens	wh2_main_lzd_cha_skink_priest_heavens_2
wh_main_lore_heavens	wh2_main_lzd_cha_skink_priest_heavens_3
wh_main_lore_heavens	wh2_main_lzd_cha_slann_mage_priest_heavens_0
wh_main_lore_heavens	wh_dlc07_brt_cha_prophetess_heavens_0
wh_main_lore_heavens	wh_dlc07_brt_cha_prophetess_heavens_1
wh_main_lore_heavens	wh_dlc07_brt_cha_prophetess_heavens_2
wh_main_lore_heavens	wh_dlc07_brt_cha_prophetess_heavens_3
wh_main_lore_heavens	wh_main_brt_cha_damsel_0
wh_main_lore_heavens	wh_main_brt_cha_damsel_1
wh_main_lore_heavens	wh_main_brt_cha_damsel_2
wh_main_lore_heavens	wh_main_brt_cha_damsel_3
wh_main_lore_heavens	wh_main_emp_cha_wizard_heavens_0
wh_main_lore_heavens	wh_main_emp_cha_wizard_heavens_1
wh_main_lore_heavens	wh_main_emp_cha_wizard_heavens_2
wh_main_lore_heavens	wh_main_emp_cha_wizard_heavens_4
wh_main_lore_heavens	wh_main_ksl_cha_wizard_0
wh_main_lore_heavens	wh_main_ksl_cha_wizard_1
wh_main_lore_light	wh2_main_hef_cha_mage_light_0
wh_main_lore_light	wh2_main_hef_cha_mage_light_1
wh_main_lore_light	wh2_main_hef_cha_mage_light_4
wh_main_lore_light	wh2_main_lzd_cha_slann_mage_priest_light_0
wh_main_lore_light	wh_main_emp_cha_wizard_light_0
wh_main_lore_light	wh_main_emp_cha_wizard_light_1
wh_main_lore_light	wh_main_emp_cha_wizard_light_2
wh_main_lore_light	wh_main_emp_cha_wizard_light_4
wh_main_lore_lil_waaagh	wh_main_grn_cha_goblin_great_shaman_0
wh_main_lore_lil_waaagh	wh_main_grn_cha_goblin_great_shaman_1
wh_main_lore_lil_waaagh	wh_main_grn_cha_night_goblin_shaman
wh_main_lore_metal	wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_0
wh_main_lore_metal	wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_10
wh_main_lore_metal	wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_12
wh_main_lore_metal	wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_13
wh_main_lore_metal	wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_9
wh_main_lore_metal	wh_dlc01_nor_cha_chaos_sorcerer_lord_0
wh_main_lore_metal	wh_dlc01_nor_cha_chaos_sorcerer_lord_1
wh_main_lore_metal	wh_main_chs_cha_chaos_sorcerer_metal_0
wh_main_lore_metal	wh_main_chs_cha_chaos_sorcerer_metal_10
wh_main_lore_metal	wh_main_chs_cha_chaos_sorcerer_metal_11
wh_main_lore_metal	wh_main_chs_cha_chaos_sorcerer_metal_9
wh_main_lore_metal	wh_main_chs_cha_lord_of_change_0
wh_main_lore_metal	wh_main_emp_cha_balthasar_gelt_0
wh_main_lore_metal	wh_main_emp_cha_balthasar_gelt_1
wh_main_lore_metal	wh_main_nor_cha_chaos_sorcerer_0
wh_main_lore_metal	wh_main_nor_cha_chaos_sorcerer_1
wh_main_lore_vampires	wh_dlc04_vmp_cha_master_necromancer_1
wh_main_lore_vampires	wh_dlc04_vmp_cha_master_necromancer_2
wh_main_lore_vampires	wh_dlc04_vmp_cha_master_necromancer_3
wh_main_lore_vampires	wh_dlc04_vmp_cha_necromancer_1
wh_main_lore_vampires	wh_dlc04_vmp_cha_necromancer_2
wh_main_lore_vampires	wh_dlc04_vmp_cha_necromancer_3
wh_main_lore_vampires	wh_dlc04_vmp_cha_vlad_von_carstein_0
wh_main_lore_vampires	wh_dlc05_vmp_cha_red_duke_0
wh_main_lore_vampires	wh_dlc05_vmp_cha_red_duke_1
wh_main_lore_vampires	wh_dlc05_vmp_cha_red_duke_2
wh_main_lore_vampires	wh_dlc05_vmp_cha_red_duke_3
wh_main_lore_vampires	wh_main_vmp_cha_heinrich_kemmler
wh_main_lore_vampires	wh_main_vmp_cha_mannfred_von_carstein_0
wh_main_lore_vampires	wh_main_vmp_cha_mannfred_von_carstein_2
wh_main_lore_vampires	wh_main_vmp_cha_mannfred_von_carstein_3
wh_main_lore_vampires	wh_main_vmp_cha_mannfred_von_carstein_4
wh_main_lore_vampires	wh_main_vmp_cha_master_necromancer_0
wh_main_lore_vampires	wh_main_vmp_cha_master_necromancer_4
wh_main_lore_vampires	wh_main_vmp_cha_master_necromancer_5
wh_main_lore_vampires	wh_main_vmp_cha_necromancer_0
wh_main_lore_vampires	wh_main_vmp_cha_necromancer_5
wh_main_lore_vampires	wh_main_vmp_cha_vampire_lord_0
wh_main_lore_vampires	wh_main_vmp_cha_vampire_lord_2
wh_main_lore_vampires	wh_main_vmp_cha_vampire_lord_3
wh_main_lore_vampires	wh_main_vmp_cha_vampire_lord_5
wh_main_lore_vampires	wh_pro02_vmp_cha_isabella_von_carstein_0
wh_main_lore_vampires	wh_pro02_vmp_cha_isabella_von_carstein_2
wh_main_lore_vampires	wh_pro02_vmp_cha_isabella_von_carstein_4
