technology_effects_junction_tables
0
technology	effect	effect_scope	value
tech_def_3_3_2_slaanesh	wh_main_effect_technology_economy_gdp_mod_subsistence_dwarfs	faction_to_region_own_unseen	15
tech_def_3_3_2	wh_main_effect_religion_conversion_untainted_technologies	faction_to_faction_own	1
tech_def_3_3_2	wh_main_effect_technology_economy_gdp_mod_subsistence_dwarfs	faction_to_region_own_unseen	15
tech_def_3_3_3	wh2_main_effect_agent_recruitment_xp_def_sorceress	faction_to_province_own_unseen	2
tech_def_3_3_3	wh_main_effect_military_force_winds_of_magic_depletion_mod_other	faction_to_force_own_factionwide	5
tech_dlc03_bst_ancient_paths	wh_dlc03_effect_tech_army_campaign_beastpath_evasion_chance	faction_to_character_own_unseen	20
tech_dlc03_bst_ancient_paths	wh_dlc03_effect_technology_research_points	faction_to_faction_own_unseen	-5
tech_dlc03_bst_blessings_of_the_dark_gods	wh_main_effect_religion_conversion_chaos	faction_to_character_own_factionwide	1
tech_dlc03_bst_blessings_of_the_dark_gods	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	20
tech_dlc03_bst_blood_grounds	wh_dlc03_effect_technology_research_points	faction_to_faction_own_unseen	-5
tech_dlc03_bst_blood_grounds	wh_main_effect_force_all_campaign_raid_income	faction_to_force_own	15
tech_dlc03_bst_bountiful_herdstone	wh_dlc03_effect_technology_research_points	faction_to_faction_own_unseen	-5
tech_dlc03_bst_bountiful_herdstone	wh_main_effect_force_all_campaign_razing_income	faction_to_faction_own_unseen	10
tech_dlc03_bst_defiled_honour	wh_dlc03_effect_force_army_battle_missile_damage	faction_to_force_own_unseen	10
tech_dlc03_bst_defiled_honour	wh_dlc03_effect_technology_research_points	faction_to_faction_own_unseen	-5
tech_dlc03_bst_drunken_fury	wh2_main_effect_tech_melee_attack_increase_lords_heroes	faction_to_force_own_unseen	10
tech_dlc03_bst_drunken_fury	wh_dlc03_effect_melee_defense_increase_characters_beastmen	faction_to_force_own_unseen	10
tech_dlc03_bst_drunken_fury	wh_dlc03_effect_technology_research_points	faction_to_faction_own_unseen	-5
tech_dlc03_bst_embrace_of_chaos	wh_main_effect_religion_conversion_chaos	faction_to_character_own_factionwide	1
tech_dlc03_bst_embrace_of_chaos	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	20
tech_dlc03_bst_encircled_prey	wh_dlc03_effect_tech_movement_speed_all	faction_to_force_own_unseen	10
tech_dlc03_bst_encircled_prey	wh_dlc03_effect_technology_research_points	faction_to_faction_own_unseen	-5
tech_dlc03_bst_fell_rituals	wh_dlc03_effect_technology_research_points	faction_to_faction_own_unseen	-5
tech_dlc03_bst_fell_rituals	wh_main_effect_force_all_campaign_replenishment_rate_horde	faction_to_character_own_unseen	10
tech_dlc03_bst_gaze_of_the_dark_gods	wh_main_effect_force_all_campaign_raid_income	faction_to_force_own	20
tech_dlc03_bst_gaze_of_the_dark_gods	wh_main_effect_force_all_campaign_razing_income	faction_to_faction_own_unseen	10
tech_dlc03_bst_gore_drunk	wh_dlc03_effect_technology_research_points	faction_to_faction_own_unseen	-5
tech_dlc03_bst_gore_drunk	wh_main_effect_force_all_recruitment_points	faction_to_force_own_factionwide	1
tech_dlc03_bst_grisly_trophies	wh_dlc03_effect_technology_research_points	faction_to_faction_own_unseen	-5
tech_dlc03_bst_grisly_trophies	wh_main_effect_force_unit_stat_morale_versus_men	faction_to_force_own	5
tech_dlc03_bst_heart_of_the_dark	wh_dlc03_effect_technology_research_points	faction_to_faction_own_unseen	-5
tech_dlc03_bst_heart_of_the_dark	wh_main_effect_tech_battle_morale_increase_lords_and_heroes	faction_to_force_own_unseen	10
tech_dlc03_bst_hives_of_pestilence	wh_dlc03_effect_technology_research_points	faction_to_faction_own_unseen	-5
tech_dlc03_bst_hives_of_pestilence	wh_main_effect_hordebuilding_growth_tech	faction_to_force_own	3
tech_dlc03_bst_man_cleavers	wh_dlc03_effect_tech_melee_attack_increase_ungors_gors	faction_to_force_own_unseen	15
tech_dlc03_bst_man_cleavers	wh_dlc03_effect_technology_research_points	faction_to_faction_own_unseen	-5
tech_dlc03_bst_messenger_of_the_bray	wh_dlc03_effect_technology_research_points	faction_to_faction_own_unseen	-5
tech_dlc03_bst_messenger_of_the_bray	wh_main_effect_agent_action_cost_mod	faction_to_character_own_unseen	-20
tech_dlc03_bst_sacrifice_to_morslieh	wh_main_effect_religion_conversion_chaos	faction_to_character_own_factionwide	1
tech_dlc03_bst_sacrifice_to_morslieh	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	20
tech_dlc03_bst_the_days_of_wrath	wh_dlc03_effect_tech_unit_xp_levels_bestigors	faction_to_character_own_unseen	1
tech_dlc03_bst_the_days_of_wrath	wh_dlc03_effect_technology_research_points	faction_to_faction_own_unseen	-5
tech_dlc03_bst_the_endless_hunt	wh_dlc03_effect_technology_research_points	faction_to_faction_own_unseen	-5
tech_dlc03_bst_the_endless_hunt	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_force_own	3
tech_dlc03_bst_the_kalkengard_larder	wh_dlc03_effect_tech_unit_stat_melee_damage_minotaurs	faction_to_force_own_unseen	20
tech_dlc03_bst_the_kalkengard_larder	wh_dlc03_effect_technology_research_points	faction_to_faction_own_unseen	-5
tech_dlc03_bst_the_path_to_war	wh_main_effect_force_all_campaign_recruitment_cost_all	faction_to_force_own_unseen	-33
tech_dlc03_bst_the_rewards_of_ruin	wh_dlc03_effect_technology_research_points	faction_to_faction_own_unseen	-5
tech_dlc03_bst_the_rewards_of_ruin	wh_main_effect_force_army_campaign_attrition_all_resistance	faction_to_force_own	-10
tech_dlc03_bst_the_seed_of_hate	wh_main_effect_religion_conversion_chaos	faction_to_character_own_factionwide	1
tech_dlc03_bst_the_seed_of_hate	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	20
tech_dlc03_bst_true_horn	wh_dlc03_effect_tech_unit_xp_levels_centigors	faction_to_character_own_unseen	1
tech_dlc03_bst_true_horn	wh_dlc03_effect_technology_research_points	faction_to_faction_own_unseen	-5
tech_dlc03_bst_twisted_visions	wh_dlc03_effect_technology_research_points	faction_to_faction_own_unseen	-5
tech_dlc03_bst_twisted_visions	wh_main_effect_force_army_campaign_siege_attack_holdout_time	faction_to_character_own_unseen	-2
tech_dlc03_bst_vitriolic_temperament	wh_dlc03_effect_tech_unit_xp_levels_gors	faction_to_character_own_unseen	1
tech_dlc03_bst_vitriolic_temperament	wh_dlc03_effect_tech_unit_xp_levels_ungors	faction_to_character_own_unseen	1
tech_dlc03_bst_vitriolic_temperament	wh_dlc03_effect_technology_research_points	faction_to_faction_own_unseen	-5
tech_dlc03_bst_worship_of_the_ruinous_powers	wh_main_effect_religion_conversion_chaos	faction_to_character_own_factionwide	1
tech_dlc03_bst_worship_of_the_ruinous_powers	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	20
tech_dlc05_1_asuryan	wh_dlc05_tech_diplomacy_bonus_dwarfs	faction_to_faction_own_unseen	40
tech_dlc05_1_asuryan	wh_main_effect_building_construction_cost_mod	faction_to_region_own_unseen	-40
tech_dlc05_1_asuryan	wh_main_effect_economy_gdp_mod_all	faction_to_region_own_unseen	20
tech_dlc05_1_cadai	wh_dlc03_faction_diplomacy_mod	faction_to_faction_own_unseen	30
tech_dlc05_1_hoeth	wh_main_effect_agent_recruitment_xp_all_agents	faction_to_province_own_unseen	2
tech_dlc05_1_hoeth	wh_main_faction_xp_increase_generals	faction_to_province_own_unseen	2
tech_dlc05_1_hoeth	wh_main_faction_xp_increase_generals_hidden	faction_to_force_own_unseen	2
tech_dlc05_1_isha_mini	wh_main_effect_province_growth_tech	faction_to_province_own	50
tech_dlc05_1_isha	wh_dlc05_tech_diplomacy_bonus_empire	faction_to_faction_own_unseen	40
tech_dlc05_1_isha	wh_main_effect_province_growth_tech	faction_to_province_own	50
tech_dlc05_1_kurnous	wh_dlc05_effect_tech_hero_xp_levels_branchwraiths	faction_to_province_own_unseen	2
tech_dlc05_1_kurnous	wh_main_effect_agent_movement_range_mod	faction_to_character_own_unseen	10
tech_dlc05_1_ladrielle	wh_dlc05_effect_tech_army_campaign_worldroot_evasion_chance	faction_to_character_own_unseen	10
tech_dlc05_1_ladrielle	wh_dlc05_tech_diplomacy_bonus_bretonnia	faction_to_faction_own_unseen	40
tech_dlc05_1_ladrielle	wh_main_effect_agent_action_outcome_target_defence_success_chance_enemy_hidden	faction_to_character_own_unseen	-5
tech_dlc05_1_lileath	wh_dlc05_effect_unit_stat_mod_ward_save_magic_wef	faction_to_force_own_unseen	10
tech_dlc05_1_lileath	wh_main_effect_character_mod_ancillary_drop	faction_to_character_own_unseen	5
tech_dlc05_1_loec	wh_main_effect_public_order_tech	faction_to_province_own	3
tech_dlc05_1_the_ancients	wh_main_effect_force_all_campaign_experience_base_all	faction_to_character_own_unseen	2
tech_dlc05_1_the_ancients	wh_main_effect_force_army_battle_movement_speed	faction_to_force_own	10
tech_dlc05_1_the_ancients	wh_main_effect_force_unit_stat_morale	faction_to_force_own	10
tech_dlc05_1_vaul	wh_main_effect_economy_gdp_mod_all	faction_to_region_own	5
tech_dlc05_2_addaioth	wh_dlc05_effect_tech_ammunition_increase_all	faction_to_force_own_unseen	10
tech_dlc05_2_addaioth	wh_dlc05_effect_tech_armour_increase_wef_elf_units	faction_to_force_own_unseen	20
tech_dlc05_2_anath_raema	wh_dlc05_effect_force_melee_attack_stat_morale_versus_beastmen	faction_to_force_own_unseen	15
tech_dlc05_2_anath_raema	wh_dlc05_effect_force_range_attack_stat_morale_versus_beastmen	faction_to_character_own_unseen	25
tech_dlc05_2_atharti	wh_main_effect_force_army_campaign_recruitment_points	faction_to_faction_own_unseen	4
tech_dlc05_2_cytharai	wh_dlc05_effect_global_recruitment_duration_all	faction_to_faction_own_unseen	-1
tech_dlc05_2_drakira	wh_main_effect_force_army_campaign_ambush_attack_success_chance	faction_to_force_own	20
tech_dlc05_2_drakira	wh_main_effect_force_army_campaign_ambush_defence_success_chance	faction_to_force_own	20
tech_dlc05_2_eldrazor	wh_dlc05_effect_tech_melee_attack_increase_wef_infantry	faction_to_force_own_unseen	5
tech_dlc05_2_eldrazor	wh_dlc05_effect_tech_melee_damage_increase_wef_infantry	faction_to_force_own_unseen	5
tech_dlc05_2_ellinill	wh_dlc05_effect_tech_charge_speed_increase_wef_treespirits	faction_to_force_own_unseen	10
tech_dlc05_2_ellinill	wh_dlc05_effect_tech_recruitment_cost_reduction_dryads	faction_to_force_own_unseen	-5
tech_dlc05_2_ereth_khial	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_force_own	20
tech_dlc05_2_estreath	wh_dlc05_tech_diplomacy_bonus_greenskins	faction_to_faction_own_unseen	40
tech_dlc05_2_estreath	wh_dlc05_technology_effect_attrition_immunity	faction_to_force_own	1
tech_dlc05_2_hekarti	wh_main_effect_military_force_winds_of_magic_depletion_mod_other	faction_to_force_own	20
tech_dlc05_2_hukon	wh_main_effect_force_army_campaign_siege_attack_holdout_time	faction_to_character_own_unseen	-4
tech_dlc05_2_khaine	wh_dlc05_effect_bonus_leadership_when_in_forest	faction_to_force_own_unseen	10
tech_dlc05_2_khaine	wh_main_effect_force_all_campaign_experience_base_all	faction_to_force_own_unseen	2
tech_dlc05_2_khaine	wh_main_effect_force_army_battle_movement_speed	faction_to_force_own_unseen	10
tech_dlc05_2_mathlann_mini	wh_main_effect_economy_gdp_mod_trade_sea	faction_to_region_own_unseen	400
tech_dlc05_2_mathlann	wh_dlc05_tech_diplomacy_bonus_teb_norsca	faction_to_faction_own_unseen	40
tech_dlc05_2_mathlann	wh_main_effect_economy_gdp_mod_trade_sea	faction_to_region_own_unseen	400
tech_dlc05_2_morai_heg	wh_dlc05_effect_bonus_damage_reduction_when_in_forest	faction_to_force_own_unseen	10
tech_dlc05_2_morai_heg	wh_dlc05_effect_bonus_leadership_when_in_forest	faction_to_force_own_unseen	5
tech_dlc05_2_nethu	wh_dlc05_tech_diplomacy_bonus_vampires	faction_to_faction_own_unseen	30
tech_dlc05_2_nethu	wh_main_effect_force_all_campaign_post_battle_loot_mod	faction_to_character_own_unseen	30
tech_dlc05_2_nethu	wh_main_effect_force_all_campaign_razing_income	faction_to_faction_own_unseen	30
tech_dlc05_2_the_rephallim	wh_dlc05_effect_agent_cap_increase_champion	faction_to_faction_own_unseen	3
tech_dlc05_2_the_rephallim	wh_dlc05_effect_unit_stat_mod_ward_save_physical_wef_treespirits_flyers	faction_to_force_own_unseen	10
tech_dlc07_brt_chivalry_beastmen_1	wh_dlc03_faction_diplomacy_penalty_beastmen	faction_to_faction_own_unseen	-100
tech_dlc07_brt_chivalry_beastmen_1	wh_dlc05_effect_force_range_attack_stat_morale_versus_beastmen	faction_to_force_own	10
tech_dlc07_brt_chivalry_beastmen_1	wh_dlc05_effect_force_unit_stat_morale_versus_beastmen	faction_to_force_own	5
tech_dlc07_brt_chivalry_beastmen_1	wh_dlc07_effect_increased_chivalry_beastmen	faction_to_faction_own_unseen	2
tech_dlc07_brt_chivalry_chaos_1	wh_dlc03_faction_diplomacy_penalty_chaos	faction_to_faction_own_unseen	-100
tech_dlc07_brt_chivalry_chaos_1	wh_dlc07_effect_increased_chivalry_chaos	faction_to_faction_own_unseen	2
tech_dlc07_brt_chivalry_chaos_1	wh_main_effect_force_army_campaign_attrition_chaos_territory	faction_to_force_own	-50
tech_dlc07_brt_chivalry_chaos_1	wh_main_effect_general_aura_mod_fighting_chaos	faction_to_force_own	50
tech_dlc07_brt_chivalry_chaos_1	wh_main_effect_unit_stat_mod_bonus_v_large_fighting_chaos	faction_to_force_own	5
