battle_climate_weather_descriptions_tables
1
key	climate_type	season	weather_type	probability	heat_fatigue	cold_fatigue	spotting_scalar
wh_mtn_pass_summer	mtn_pass	season_summer	dry	100	0	0	1
wh_mtn_pass_winter	mtn_pass	season_winter	dry	100	0	0	1
wh_nor_highlands_autumn	nor_highlands	season_autumn	dry	100	0	0	1
wh_nor_highlands_spring	nor_highlands	season_spring	dry	100	0	0	1
wh_nor_highlands_summer	nor_highlands	season_summer	dry	100	0	0	1
wh_nor_highlands_winter	nor_highlands	season_winter	dry	100	0	0	1
wh_nor_lowlands_autumn	nor_lowlands	season_autumn	dry	100	0	0	1
wh_nor_lowlands_spring	nor_lowlands	season_spring	dry	100	0	0	1
wh_nor_lowlands_summer	nor_lowlands	season_summer	dry	100	0	0	1
wh_nor_lowlands_winter	nor_lowlands	season_winter	dry	100	0	0	1
wh_skv_autumn	skv	season_autumn	dry	100	0	0	1
wh_skv_spring	skv	season_spring	dry	100	0	0	1
wh_skv_summer	skv	season_summer	dry	100	0	0	1
wh_skv_winter	skv	season_winter	dry	100	0	0	1
wh_vmp_marshlands_autumn	vmp_marshlands	season_autumn	dry	100	0	0	1
wh_vmp_marshlands_spring	vmp_marshlands	season_spring	dry	100	0	0	1
wh_vmp_marshlands_summer	vmp_marshlands	season_summer	dry	100	0	0	1
wh_vmp_marshlands_winter	vmp_marshlands	season_winter	dry	100	0	0	1
wh_wef_ash_autumn	wef_ash	season_autumn	dry	100	0	0	1
wh_wef_ash_spring	wef_ash	season_spring	dry	100	0	0	1
wh_wef_ash_summer	wef_ash	season_summer	dry	100	0	0	1
wh_wef_ash_winter	wef_ash	season_winter	dry	100	0	0	1
wh_wef_chs_autumn	wef_chs	season_autumn	dry	100	0	0	1
wh_wef_chs_spring	wef_chs	season_spring	dry	100	0	0	1
wh_wef_chs_summer	wef_chs	season_summer	dry	100	0	0	1
wh_wef_chs_winter	wef_chs	season_winter	dry	100	0	0	1
wh_wef_nit_autumn	wef_nit	season_autumn	dry	100	0	0	1
wh_wef_nit_spring	wef_nit	season_spring	dry	100	0	0	1
wh_wef_nit_summer	wef_nit	season_summer	dry	100	0	0	1
wh_wef_nit_winter	wef_nit	season_winter	dry	100	0	0	1
wh_wef_win_autumn	wef_win	season_autumn	dry	100	0	0	1
wh_wef_win_spring	wef_win	season_spring	dry	100	0	0	1
wh_wef_win_summer	wef_win	season_summer	dry	100	0	0	1
wh_wef_win_winter	wef_win	season_winter	dry	100	0	0	1
wh_wef_autumn	wef	season_autumn	dry	100	0	0	1
wh_wef_spring	wef	season_spring	dry	100	0	0	1
wh_wef_summer	wef	season_summer	dry	100	0	0	1
wh_wef_winter	wef	season_winter	dry	100	0	0	1
