warscape_animated_tables
2
key	texture_filename_base	category
chariot_roman_destruction_anim	rigidmodels/buildings/textures	animation
chs_chariot	warmachines\tex	animation
chs_chariot_destruction	warmachines\tex	animation
chs_gorebeast_chariot	warmachines\tex	animation
chs_gorebeast_chariot_destruction	warmachines\tex	animation
chs_hellcannon	warmachines\tex	animation
chs_hellcannon_destruct	warmachines\tex	animation
def_cauldron_of_blood	warmachines\tex	animation
def_cauldron_of_blood_destruct	warmachines\tex	animation
def_coldone_chariot	warmachines\tex	animation
def_coldone_chariot_destruct	warmachines\tex	animation
def_reaper_bolt_thrower	warmachines\tex	animation
def_reaper_bolt_thrower_destruct	warmachines\tex	animation
dwf_bolt_thrower	warmachines\tex	animation
dwf_bolt_thrower_destruct	warmachines\tex	animation
dwf_cannon	warmachines\tex	animation
dwf_cannon_destruct	warmachines\tex	animation
dwf_flame_cannon	warmachines\tex	animation
dwf_flame_cannon_destruct	warmachines\tex	animation
dwf_grudge_thrower	warmachines\tex	animation
dwf_grudge_thrower_destruct	warmachines\tex	animation
dwf_grudge_thrower_gob	warmachines\tex	animation
dwf_grudge_thrower_gob_destruct	warmachines\tex	animation
dwf_organ_gun	warmachines\tex	animation
dwf_organ_gun_destruct	warmachines\tex	animation
emp_great_cannon	warmachines\tex	animation
emp_great_cannon_destruct	warmachines\tex	animation
emp_great_cannon_hammer	warmachines\tex	animation
emp_great_cannon_hammer_destruct	warmachines\tex	animation
emp_helblaster	warmachines\tex	animation
emp_helblaster_destruct	warmachines\tex	animation
emp_helstorm	warmachines\tex	animation
emp_helstorm_destruct	warmachines\tex	animation
emp_helstorm_sunmaker_01	warmachines\tex	animation
emp_helstorm_sunmaker_destruct_01	warmachines\tex	animation
emp_hurricanum	warmachines\tex	animation
emp_luminark	warmachines\tex	animation
emp_luminark_destruct	warmachines\tex	animation
emp_luminark_destruct_temple	warmachines\tex	animation
emp_luminark_temple	warmachines\tex	animation
emp_mortar	warmachines\tex	animation
emp_mortar_destruct	warmachines\tex	animation
emp_steam_tank	warmachines\tex	animation
emp_steam_tank_destruct	warmachines\tex	animation
emp_war_altar	warmachines\tex	animation
emp_war_altar_destruct	warmachines\tex	animation
fort_rome_testv1_gate01_piece09_destruct01_gate_closing	rigidmodels/buildings/textures	animation
fort_rome_testv1_gate01_piece09_destruct01_gate_opening	rigidmodels/buildings/textures	animation
fort_rome_testv1_gate02_piece10_destruct01_gate_closing	rigidmodels/buildings/textures	animation
fort_rome_testv1_gate02_piece10_destruct01_gate_opening	rigidmodels/buildings/textures	animation
fort_rome_testv1_gate02_piece11_destruct01_gate_closing	rigidmodels/buildings/textures	animation
fort_rome_testv1_gate02_piece11_destruct01_gate_opening	rigidmodels/buildings/textures	animation
fort_rome_testv2_gate01_piece09_destruct01_gate_closing	rigidmodels/buildings/textures	animation
fort_rome_testv2_gate01_piece09_destruct01_gate_opening	rigidmodels/buildings/textures	animation
grn_boar_chariot	warmachines\tex	animation
grn_boar_chariot_destruct	warmachines\tex	animation
grn_doomdiver_catapult	warmachines\tex	animation
grn_doomdiver_catapult_destruct	warmachines\tex	animation
grn_grom_chariot	warmachines\tex	animation
grn_pump_wagon	warmachines\tex	animation
grn_rocklobber	warmachines\tex	animation
grn_rocklobber_destruct	warmachines\tex	animation
grn_rocklobber_gork	warmachines\tex	animation
grn_rocklobber_gork_destruct	warmachines\tex	animation
grn_wolf_chariot	warmachines\tex	animation
grn_wolf_chariot_destruction	warmachines\tex	animation
grn_wolf_chariot_robbers	warmachines\tex	animation
grn_wolf_chariot_robbers_destruct	warmachines\tex	animation
hef_eagle_claw_bolt_thrower	warmachines\tex	animation
hef_eagle_claw_bolt_thrower_destruct	warmachines\tex	animation
hef_tiranoc_chariot	warmachines\tex	animation
hef_tiranoc_chariot_destruct	warmachines\tex	animation
lzd_mazdamundi_palanquin	warmachines\tex	animation
lzd_mazdamundi_palanquin_destruct	warmachines\tex	animation
lzd_slann_palanquin	warmachines\tex	animation
lzd_slann_palanquin_destruct	warmachines\tex	animation
oar_L_anim_loop	RigidModels/Naval/Textures	animation
oar_L_anim_lower	RigidModels/Naval/Textures	animation
oar_L_anim_raise	RigidModels/Naval/Textures	animation
oar_R_anim_loop	RigidModels/Naval/Textures	animation
oar_R_anim_lower	RigidModels/Naval/Textures	animation
oar_R_anim_raise	RigidModels/Naval/Textures	animation
positional_oar_L01_anim	RigidModels/Naval/Textures	animation
positional_oar_L02_anim	RigidModels/Naval/Textures	animation
rome_ballista_giant	RigidModels/buildings/textures	animation
rome_ballista_giant_destruction_anim	RigidModels/buildings/textures	animation
rome_ballista_medium	RigidModels/buildings/textures	animation
rome_ballista_medium_destruction_anim	RigidModels/buildings/textures	animation
rome_ballista_medium_ship	RigidModels/buildings/textures	animation
rome_ballista_medium_ship_destruction_anim	RigidModels/buildings/textures	animation
rome_battering_ram_heavy	RigidModels/buildings/textures	animation
rome_battering_ram_light	RigidModels/buildings/textures	animation
rome_battering_ram_medium	RigidModels/buildings/textures	animation
rome_cheiroballistra	RigidModels/buildings/textures	animation
rome_cheiroballistra_destruction_anim	RigidModels/buildings/textures	animation
rome_fireraiser	RigidModels/buildings/textures	animation
rome_harpax	RigidModels/buildings/textures	animation
rome_harpax_destruction_anim	RigidModels/buildings/textures	animation
rome_onager	RigidModels/buildings/textures	animation
rome_onager_destruction_anim	RigidModels/buildings/textures	animation
rome_onager_large	RigidModels/buildings/textures	animation
rome_onager_large_destruction_anim	RigidModels/buildings/textures	animation
rome_onager_ship	RigidModels/buildings/textures	animation
rome_onager_ship_destruction_anim	RigidModels/buildings/textures	animation
rome_polybolos	RigidModels/buildings/textures	animation
rome_polybolos_destruction_anim	RigidModels/buildings/textures	animation
rome_scorpio	RigidModels/buildings/textures	animation
rome_scorpio_destruction_anim	RigidModels/buildings/textures	animation
skv_doomwheel	warmachines\tex	animation
skv_doomwheel_destruct	warmachines\tex	animation
skv_lightning_cannon	warmachines\tex	animation
skv_lightning_cannon_destruct	warmachines\tex	animation
skv_plague_furnace	warmachines\tex	animation
skv_plague_furnace_destruct	warmachines\tex	animation
skv_plagueclaw_catapult	warmachines\tex	animation
skv_plagueclaw_catapult_destruct	warmachines\tex	animation
skv_screaming_bell	warmachines\tex	animation
skv_screaming_bell_destruct	warmachines\tex	animation
target_marker	RigidModels/3DIndicators/Textures	animation
trade_camel	RigidModels\CampaignTradeRoutes	campaign_animation
trade_camel_lead	RigidModels\CampaignTradeRoutes	campaign_animation
trade_ox	RigidModels/campaign/trade_models/textures	campaign_animation
trade_ox_cart	RigidModels/campaign/trade_models/textures	campaign_animation
trade_ship_barbarian	RigidModels/campaign/trade_models/textures	campaign_animation
vmp_black_coach_01	warmachines\tex	animation
vmp_black_coach_destruct	warmachines\tex	animation
vmp_corpse_cart	warmachines\tex	animation
vmp_corpse_cart_balefire	warmachines\tex	animation
vmp_corpse_cart_balefire_destruct	warmachines\tex	animation
vmp_corpse_cart_destruct	warmachines\tex	animation
vmp_corpse_cart_helman	warmachines\tex	animation
vmp_corpse_cart_helman_destruct	warmachines\tex	animation
vmp_corpse_cart_lodestone	warmachines\tex	animation
vmp_corpse_cart_lodestone_destruct	warmachines\tex	animation
vmp_coven_throne	warmachines\tex	animation
vmp_mortis_engine	warmachines\tex	animation
vmp_mortis_engine_destruct	warmachines\tex	animation
vmp_mortis_engine_nagash	warmachines\tex	animation
