cai_personality_group_overrides_tables
2
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5	unknown6
-3	wh2_main_def_clar_karond	wh2_group_darkelf_default_hard_against_darkelves	main_warhammer		wh2_main_sc_skv_skaven	
-3	wh2_main_def_clar_karond	wh2_group_darkelf_default_hard	wh2_main_great_vortex			
-3	wh2_main_def_clar_karond	wh2_group_darkelf_default_hard_against_darkelves	wh2_main_great_vortex		wh2_main_sc_def_dark_elves	
-3	wh2_main_def_clar_karond	wh2_group_darkelf_default_hard_easier_for_darkelves	wh2_main_great_vortex		wh2_main_sc_hef_high_elves	
-3	wh2_main_def_clar_karond	wh2_group_darkelf_default_hard_easier_for_darkelves	wh2_main_great_vortex		wh2_main_sc_lzd_lizardmen	
-3	wh2_main_def_clar_karond	wh2_group_darkelf_default_hard_against_darkelves	wh2_main_great_vortex		wh2_main_sc_skv_skaven	
1	wh2_main_def_clar_karond	wh2_group_darkelf_default_easy	main_warhammer			
1	wh2_main_def_clar_karond	wh2_group_darkelf_default_easy	wh2_main_great_vortex			
-2	wh2_main_def_cult_of_excess	wh2_group_darkelf_passive_hard	main_warhammer			
-2	wh2_main_def_cult_of_excess	wh2_group_darkelf_passive_hard	wh2_main_great_vortex			
-3	wh2_main_def_cult_of_excess	wh2_group_darkelf_passive_hard	main_warhammer			
-3	wh2_main_def_cult_of_excess	wh2_group_darkelf_passive_hard	wh2_main_great_vortex			
1	wh2_main_def_cult_of_excess	wh2_group_darkelf_passive_easy	main_warhammer			
1	wh2_main_def_cult_of_excess	wh2_group_darkelf_passive_easy	wh2_main_great_vortex			
-1	wh2_main_def_cult_of_pleasure	wh2_group_darkelf_major_secondary	wh2_main_great_vortex	wh2_main_def_naggarond		
-2	wh2_main_def_cult_of_pleasure	wh2_group_darkelf_major_hard	main_warhammer			
-2	wh2_main_def_cult_of_pleasure	wh2_group_darkelf_major_hard	wh2_main_great_vortex			
-2	wh2_main_def_cult_of_pleasure	wh2_group_darkelf_major_secondary_hard	wh2_main_great_vortex	wh2_main_def_naggarond		
-3	wh2_main_def_cult_of_pleasure	wh2_group_darkelf_major_hard	main_warhammer			
-3	wh2_main_def_cult_of_pleasure	wh2_group_darkelf_major_hard	wh2_main_great_vortex			
-3	wh2_main_def_cult_of_pleasure	wh2_group_darkelf_major_secondary_hard	wh2_main_great_vortex	wh2_main_def_naggarond		
0	wh2_main_def_cult_of_pleasure	wh2_group_darkelf_major_secondary	wh2_main_great_vortex	wh2_main_def_naggarond		
1	wh2_main_def_cult_of_pleasure	wh2_group_darkelf_major_easy	main_warhammer			
1	wh2_main_def_cult_of_pleasure	wh2_group_darkelf_major_easy	wh2_main_great_vortex			
1	wh2_main_def_cult_of_pleasure	wh2_group_darkelf_major_secondary_easy	wh2_main_great_vortex	wh2_main_def_naggarond		
-2	wh2_main_def_deadwood_sentinels	wh2_group_darkelf_passive_hard	main_warhammer			
-2	wh2_main_def_deadwood_sentinels	wh2_group_darkelf_passive_hard	wh2_main_great_vortex			
-3	wh2_main_def_deadwood_sentinels	wh2_group_darkelf_passive_hard	main_warhammer			
-3	wh2_main_def_deadwood_sentinels	wh2_group_darkelf_passive_hard	wh2_main_great_vortex			
1	wh2_main_def_deadwood_sentinels	wh2_group_darkelf_passive_easy	main_warhammer			
1	wh2_main_def_deadwood_sentinels	wh2_group_darkelf_passive_easy	wh2_main_great_vortex			
-2	wh2_main_def_drackla_coven	wh2_group_darkelf_passive_hard	wh2_main_great_vortex			
-3	wh2_main_def_drackla_coven	wh2_group_darkelf_passive_hard	wh2_main_great_vortex			
1	wh2_main_def_drackla_coven	wh2_group_darkelf_passive_easy	wh2_main_great_vortex			
-2	wh2_main_def_ghrond	wh2_group_darkelf_passive_hard	main_warhammer			
-2	wh2_main_def_ghrond	wh2_group_darkelf_passive_hard	wh2_main_great_vortex			
-3	wh2_main_def_ghrond	wh2_group_darkelf_passive_hard	main_warhammer			
-3	wh2_main_def_ghrond	wh2_group_darkelf_passive_hard	wh2_main_great_vortex			
1	wh2_main_def_ghrond	wh2_group_darkelf_passive_easy	main_warhammer			
1	wh2_main_def_ghrond	wh2_group_darkelf_passive_easy	wh2_main_great_vortex			
-2	wh2_main_def_hag_graef	wh2_group_darkelf_default_hard	main_warhammer			
-2	wh2_main_def_hag_graef	wh2_group_darkelf_default_hard_against_darkelves	main_warhammer		wh2_main_sc_def_dark_elves	
-2	wh2_main_def_hag_graef	wh2_group_darkelf_default_hard_easier_for_darkelves	main_warhammer		wh2_main_sc_hef_high_elves	
-2	wh2_main_def_hag_graef	wh2_group_darkelf_default_hard_easier_for_darkelves	main_warhammer		wh2_main_sc_lzd_lizardmen	
-2	wh2_main_def_hag_graef	wh2_group_darkelf_default_hard_against_darkelves	main_warhammer		wh2_main_sc_skv_skaven	
-2	wh2_main_def_hag_graef	wh2_group_darkelf_default_hard	wh2_main_great_vortex			
-2	wh2_main_def_hag_graef	wh2_group_darkelf_default_hard_against_darkelves	wh2_main_great_vortex		wh2_main_sc_def_dark_elves	
-2	wh2_main_def_hag_graef	wh2_group_darkelf_default_hard_easier_for_darkelves	wh2_main_great_vortex		wh2_main_sc_hef_high_elves	
-2	wh2_main_def_hag_graef	wh2_group_darkelf_default_hard_easier_for_darkelves	wh2_main_great_vortex		wh2_main_sc_lzd_lizardmen	
-2	wh2_main_def_hag_graef	wh2_group_darkelf_default_hard_against_darkelves	wh2_main_great_vortex		wh2_main_sc_skv_skaven	
-3	wh2_main_def_hag_graef	wh2_group_darkelf_default_hard	main_warhammer			
-3	wh2_main_def_hag_graef	wh2_group_darkelf_default_hard_against_darkelves	main_warhammer		wh2_main_sc_def_dark_elves	
-3	wh2_main_def_hag_graef	wh2_group_darkelf_default_hard_easier_for_darkelves	main_warhammer		wh2_main_sc_hef_high_elves	
-3	wh2_main_def_hag_graef	wh2_group_darkelf_default_hard_easier_for_darkelves	main_warhammer		wh2_main_sc_lzd_lizardmen	
-3	wh2_main_def_hag_graef	wh2_group_darkelf_default_hard_against_darkelves	main_warhammer		wh2_main_sc_skv_skaven	
-3	wh2_main_def_hag_graef	wh2_group_darkelf_default_hard	wh2_main_great_vortex			
-3	wh2_main_def_hag_graef	wh2_group_darkelf_default_hard_against_darkelves	wh2_main_great_vortex		wh2_main_sc_def_dark_elves	
-3	wh2_main_def_hag_graef	wh2_group_darkelf_default_hard_easier_for_darkelves	wh2_main_great_vortex		wh2_main_sc_hef_high_elves	
-3	wh2_main_def_hag_graef	wh2_group_darkelf_default_hard_easier_for_darkelves	wh2_main_great_vortex		wh2_main_sc_lzd_lizardmen	
-3	wh2_main_def_hag_graef	wh2_group_darkelf_default_hard_against_darkelves	wh2_main_great_vortex		wh2_main_sc_skv_skaven	
1	wh2_main_def_hag_graef	wh2_group_darkelf_default_easy	main_warhammer			
1	wh2_main_def_hag_graef	wh2_group_darkelf_default_easy	wh2_main_great_vortex			
-2	wh2_main_def_har_ganeth	wh2_group_darkelf_default_hard	main_warhammer			
-2	wh2_main_def_har_ganeth	wh2_group_darkelf_default_hard_against_darkelves	main_warhammer		wh2_main_sc_def_dark_elves	
-2	wh2_main_def_har_ganeth	wh2_group_darkelf_default_hard_easier_for_darkelves	main_warhammer		wh2_main_sc_hef_high_elves	
-2	wh2_main_def_har_ganeth	wh2_group_darkelf_default_hard_easier_for_darkelves	main_warhammer		wh2_main_sc_lzd_lizardmen	
-2	wh2_main_def_har_ganeth	wh2_group_darkelf_default_hard_against_darkelves	main_warhammer		wh2_main_sc_skv_skaven	
-2	wh2_main_def_har_ganeth	wh2_group_darkelf_default_hard	wh2_main_great_vortex			
-2	wh2_main_def_har_ganeth	wh2_group_darkelf_default_hard_against_darkelves	wh2_main_great_vortex		wh2_main_sc_def_dark_elves	
-2	wh2_main_def_har_ganeth	wh2_group_darkelf_default_hard_easier_for_darkelves	wh2_main_great_vortex		wh2_main_sc_hef_high_elves	
-2	wh2_main_def_har_ganeth	wh2_group_darkelf_default_hard_easier_for_darkelves	wh2_main_great_vortex		wh2_main_sc_lzd_lizardmen	
-2	wh2_main_def_har_ganeth	wh2_group_darkelf_default_hard_against_darkelves	wh2_main_great_vortex		wh2_main_sc_skv_skaven	
-3	wh2_main_def_har_ganeth	wh2_group_darkelf_default_hard	main_warhammer			
-3	wh2_main_def_har_ganeth	wh2_group_darkelf_default_hard_against_darkelves	main_warhammer		wh2_main_sc_def_dark_elves	
-3	wh2_main_def_har_ganeth	wh2_group_darkelf_default_hard_easier_for_darkelves	main_warhammer		wh2_main_sc_hef_high_elves	
-3	wh2_main_def_har_ganeth	wh2_group_darkelf_default_hard_easier_for_darkelves	main_warhammer		wh2_main_sc_lzd_lizardmen	
-3	wh2_main_def_har_ganeth	wh2_group_darkelf_default_hard_against_darkelves	main_warhammer		wh2_main_sc_skv_skaven	
-3	wh2_main_def_har_ganeth	wh2_group_darkelf_default_hard	wh2_main_great_vortex			
-3	wh2_main_def_har_ganeth	wh2_group_darkelf_default_hard_against_darkelves	wh2_main_great_vortex		wh2_main_sc_def_dark_elves	
-3	wh2_main_def_har_ganeth	wh2_group_darkelf_default_hard_easier_for_darkelves	wh2_main_great_vortex		wh2_main_sc_hef_high_elves	
-3	wh2_main_def_har_ganeth	wh2_group_darkelf_default_hard_easier_for_darkelves	wh2_main_great_vortex		wh2_main_sc_lzd_lizardmen	
-3	wh2_main_def_har_ganeth	wh2_group_darkelf_default_hard_against_darkelves	wh2_main_great_vortex		wh2_main_sc_skv_skaven	
1	wh2_main_def_har_ganeth	wh2_group_darkelf_default_easy	main_warhammer			
1	wh2_main_def_har_ganeth	wh2_group_darkelf_default_easy	wh2_main_great_vortex			
-2	wh2_main_def_karond_kar	wh2_group_darkelf_passive_hard	main_warhammer			
-2	wh2_main_def_karond_kar	wh2_group_darkelf_passive_hard	wh2_main_great_vortex			
-3	wh2_main_def_karond_kar	wh2_group_darkelf_passive_hard	main_warhammer			
-3	wh2_main_def_karond_kar	wh2_group_darkelf_passive_hard	wh2_main_great_vortex			
1	wh2_main_def_karond_kar	wh2_group_darkelf_passive_easy	main_warhammer			
1	wh2_main_def_karond_kar	wh2_group_darkelf_passive_easy	wh2_main_great_vortex			
-1	wh2_main_def_naggarond	wh2_group_darkelf_major_secondary	wh2_main_great_vortex	wh2_main_def_cult_of_pleasure		
-2	wh2_main_def_naggarond	wh2_group_darkelf_major_hard	main_warhammer			
-2	wh2_main_def_naggarond	wh2_group_darkelf_major_hard	wh2_main_great_vortex			
-2	wh2_main_def_naggarond	wh2_group_darkelf_major_secondary_hard	wh2_main_great_vortex	wh2_main_def_cult_of_pleasure		
-3	wh2_main_def_naggarond	wh2_group_darkelf_major_hard	main_warhammer			
-3	wh2_main_def_naggarond	wh2_group_darkelf_major_hard	wh2_main_great_vortex			
-3	wh2_main_def_naggarond	wh2_group_darkelf_major_secondary_hard	wh2_main_great_vortex	wh2_main_def_cult_of_pleasure		
0	wh2_main_def_naggarond	wh2_group_darkelf_major_secondary	wh2_main_great_vortex	wh2_main_def_cult_of_pleasure		
1	wh2_main_def_naggarond	wh2_group_darkelf_major_easy	main_warhammer			
1	wh2_main_def_naggarond	wh2_group_darkelf_major_easy	wh2_main_great_vortex			
1	wh2_main_def_naggarond	wh2_group_darkelf_major_secondary_easy	wh2_main_great_vortex	wh2_main_def_cult_of_pleasure		
-2	wh2_main_def_scourge_of_khaine	wh2_group_darkelf_default_hard	main_warhammer			
-2	wh2_main_def_scourge_of_khaine	wh2_group_darkelf_default_hard_against_darkelves	main_warhammer		wh2_main_sc_def_dark_elves	
-2	wh2_main_def_scourge_of_khaine	wh2_group_darkelf_default_hard_easier_for_darkelves	main_warhammer		wh2_main_sc_hef_high_elves	
-2	wh2_main_def_scourge_of_khaine	wh2_group_darkelf_default_hard_easier_for_darkelves	main_warhammer		wh2_main_sc_lzd_lizardmen	
-2	wh2_main_def_scourge_of_khaine	wh2_group_darkelf_default_hard_against_darkelves	main_warhammer		wh2_main_sc_skv_skaven	
-2	wh2_main_def_scourge_of_khaine	wh2_group_darkelf_default_hard	wh2_main_great_vortex			
-2	wh2_main_def_scourge_of_khaine	wh2_group_darkelf_default_hard_against_darkelves	wh2_main_great_vortex		wh2_main_sc_def_dark_elves	
-2	wh2_main_def_scourge_of_khaine	wh2_group_darkelf_default_hard_easier_for_darkelves	wh2_main_great_vortex		wh2_main_sc_hef_high_elves	
-2	wh2_main_def_scourge_of_khaine	wh2_group_darkelf_default_hard_easier_for_darkelves	wh2_main_great_vortex		wh2_main_sc_lzd_lizardmen	
-2	wh2_main_def_scourge_of_khaine	wh2_group_darkelf_default_hard_against_darkelves	wh2_main_great_vortex		wh2_main_sc_skv_skaven	
-3	wh2_main_def_scourge_of_khaine	wh2_group_darkelf_default_hard	main_warhammer			
-3	wh2_main_def_scourge_of_khaine	wh2_group_darkelf_default_hard_against_darkelves	main_warhammer		wh2_main_sc_def_dark_elves	
-3	wh2_main_def_scourge_of_khaine	wh2_group_darkelf_default_hard_easier_for_darkelves	main_warhammer		wh2_main_sc_hef_high_elves	
-3	wh2_main_def_scourge_of_khaine	wh2_group_darkelf_default_hard_easier_for_darkelves	main_warhammer		wh2_main_sc_lzd_lizardmen	
-3	wh2_main_def_scourge_of_khaine	wh2_group_darkelf_default_hard_against_darkelves	main_warhammer		wh2_main_sc_skv_skaven	
-3	wh2_main_def_scourge_of_khaine	wh2_group_darkelf_default_hard	wh2_main_great_vortex			
-3	wh2_main_def_scourge_of_khaine	wh2_group_darkelf_default_hard_against_darkelves	wh2_main_great_vortex		wh2_main_sc_def_dark_elves	
-3	wh2_main_def_scourge_of_khaine	wh2_group_darkelf_default_hard_easier_for_darkelves	wh2_main_great_vortex		wh2_main_sc_hef_high_elves	
-3	wh2_main_def_scourge_of_khaine	wh2_group_darkelf_default_hard_easier_for_darkelves	wh2_main_great_vortex		wh2_main_sc_lzd_lizardmen	
-3	wh2_main_def_scourge_of_khaine	wh2_group_darkelf_default_hard_against_darkelves	wh2_main_great_vortex		wh2_main_sc_skv_skaven	
1	wh2_main_def_scourge_of_khaine	wh2_group_darkelf_default_easy	main_warhammer			
1	wh2_main_def_scourge_of_khaine	wh2_group_darkelf_default_easy	wh2_main_great_vortex			
-2	wh2_main_def_ssildra_tor	wh2_group_darkelf_default_hard	main_warhammer			
-2	wh2_main_def_ssildra_tor	wh2_group_darkelf_default_hard_against_darkelves	main_warhammer		wh2_main_sc_def_dark_elves	
-2	wh2_main_def_ssildra_tor	wh2_group_darkelf_default_hard_easier_for_darkelves	main_warhammer		wh2_main_sc_hef_high_elves	
-2	wh2_main_def_ssildra_tor	wh2_group_darkelf_default_hard_easier_for_darkelves	main_warhammer		wh2_main_sc_lzd_lizardmen	
-2	wh2_main_def_ssildra_tor	wh2_group_darkelf_default_hard_against_darkelves	main_warhammer		wh2_main_sc_skv_skaven	
-2	wh2_main_def_ssildra_tor	wh2_group_darkelf_default_hard	wh2_main_great_vortex			
-2	wh2_main_def_ssildra_tor	wh2_group_darkelf_default_hard_against_darkelves	wh2_main_great_vortex		wh2_main_sc_def_dark_elves	
-2	wh2_main_def_ssildra_tor	wh2_group_darkelf_default_hard_easier_for_darkelves	wh2_main_great_vortex		wh2_main_sc_hef_high_elves	
-2	wh2_main_def_ssildra_tor	wh2_group_darkelf_default_hard_easier_for_darkelves	wh2_main_great_vortex		wh2_main_sc_lzd_lizardmen	
-2	wh2_main_def_ssildra_tor	wh2_group_darkelf_default_hard_against_darkelves	wh2_main_great_vortex		wh2_main_sc_skv_skaven	
-3	wh2_main_def_ssildra_tor	wh2_group_darkelf_default_hard	main_warhammer			
-3	wh2_main_def_ssildra_tor	wh2_group_darkelf_default_hard_against_darkelves	main_warhammer		wh2_main_sc_def_dark_elves	
-3	wh2_main_def_ssildra_tor	wh2_group_darkelf_default_hard_easier_for_darkelves	main_warhammer		wh2_main_sc_hef_high_elves	
-3	wh2_main_def_ssildra_tor	wh2_group_darkelf_default_hard_easier_for_darkelves	main_warhammer		wh2_main_sc_lzd_lizardmen	
-3	wh2_main_def_ssildra_tor	wh2_group_darkelf_default_hard_against_darkelves	main_warhammer		wh2_main_sc_skv_skaven	
-3	wh2_main_def_ssildra_tor	wh2_group_darkelf_default_hard	wh2_main_great_vortex			
-3	wh2_main_def_ssildra_tor	wh2_group_darkelf_default_hard_against_darkelves	wh2_main_great_vortex		wh2_main_sc_def_dark_elves	
-3	wh2_main_def_ssildra_tor	wh2_group_darkelf_default_hard_easier_for_darkelves	wh2_main_great_vortex		wh2_main_sc_hef_high_elves	
-3	wh2_main_def_ssildra_tor	wh2_group_darkelf_default_hard_easier_for_darkelves	wh2_main_great_vortex		wh2_main_sc_lzd_lizardmen	
-3	wh2_main_def_ssildra_tor	wh2_group_darkelf_default_hard_against_darkelves	wh2_main_great_vortex		wh2_main_sc_skv_skaven	
1	wh2_main_def_ssildra_tor	wh2_group_darkelf_default_easy	main_warhammer			
1	wh2_main_def_ssildra_tor	wh2_group_darkelf_default_easy	wh2_main_great_vortex			
-2	wh2_main_def_the_forgebound	wh2_group_darkelf_default_hard	main_warhammer			
-2	wh2_main_def_the_forgebound	wh2_group_darkelf_default_hard_against_darkelves	main_warhammer		wh2_main_sc_def_dark_elves	
-2	wh2_main_def_the_forgebound	wh2_group_darkelf_default_hard_easier_for_darkelves	main_warhammer		wh2_main_sc_hef_high_elves	
-2	wh2_main_def_the_forgebound	wh2_group_darkelf_default_hard_easier_for_darkelves	main_warhammer		wh2_main_sc_lzd_lizardmen	
-2	wh2_main_def_the_forgebound	wh2_group_darkelf_default_hard_against_darkelves	main_warhammer		wh2_main_sc_skv_skaven	
-2	wh2_main_def_the_forgebound	wh2_group_darkelf_default_hard	wh2_main_great_vortex			
-2	wh2_main_def_the_forgebound	wh2_group_darkelf_default_hard_against_darkelves	wh2_main_great_vortex		wh2_main_sc_def_dark_elves	
-2	wh2_main_def_the_forgebound	wh2_group_darkelf_default_hard_easier_for_darkelves	wh2_main_great_vortex		wh2_main_sc_hef_high_elves	
-2	wh2_main_def_the_forgebound	wh2_group_darkelf_default_hard_easier_for_darkelves	wh2_main_great_vortex		wh2_main_sc_lzd_lizardmen	
-2	wh2_main_def_the_forgebound	wh2_group_darkelf_default_hard_against_darkelves	wh2_main_great_vortex		wh2_main_sc_skv_skaven	
-3	wh2_main_def_the_forgebound	wh2_group_darkelf_default_hard	main_warhammer			
-3	wh2_main_def_the_forgebound	wh2_group_darkelf_default_hard_against_darkelves	main_warhammer		wh2_main_sc_def_dark_elves	
-3	wh2_main_def_the_forgebound	wh2_group_darkelf_default_hard_easier_for_darkelves	main_warhammer		wh2_main_sc_hef_high_elves	
-3	wh2_main_def_the_forgebound	wh2_group_darkelf_default_hard_easier_for_darkelves	main_warhammer		wh2_main_sc_lzd_lizardmen	
-3	wh2_main_def_the_forgebound	wh2_group_darkelf_default_hard_against_darkelves	main_warhammer		wh2_main_sc_skv_skaven	
-3	wh2_main_def_the_forgebound	wh2_group_darkelf_default_hard	wh2_main_great_vortex			
-3	wh2_main_def_the_forgebound	wh2_group_darkelf_default_hard_against_darkelves	wh2_main_great_vortex		wh2_main_sc_def_dark_elves	
-3	wh2_main_def_the_forgebound	wh2_group_darkelf_default_hard_easier_for_darkelves	wh2_main_great_vortex		wh2_main_sc_hef_high_elves	
-3	wh2_main_def_the_forgebound	wh2_group_darkelf_default_hard_easier_for_darkelves	wh2_main_great_vortex		wh2_main_sc_lzd_lizardmen	
-3	wh2_main_def_the_forgebound	wh2_group_darkelf_default_hard_against_darkelves	wh2_main_great_vortex		wh2_main_sc_skv_skaven	
1	wh2_main_def_the_forgebound	wh2_group_darkelf_default_easy	main_warhammer			
1	wh2_main_def_the_forgebound	wh2_group_darkelf_default_easy	wh2_main_great_vortex			
-2	wh2_main_dwf_greybeards_prospectors	wh2_group_dwarfs_default_hard	main_warhammer			
-2	wh2_main_dwf_greybeards_prospectors	wh2_group_dwarfs_default_hard	wh2_main_great_vortex			
-3	wh2_main_dwf_greybeards_prospectors	wh2_group_dwarfs_default_hard	main_warhammer			
-3	wh2_main_dwf_greybeards_prospectors	wh2_group_dwarfs_default_hard	wh2_main_great_vortex			
1	wh2_main_dwf_greybeards_prospectors	wh_group_dwarfs_subordinate_easy	main_warhammer			
1	wh2_main_dwf_greybeards_prospectors	wh2_group_dwarfs_default_easy	wh2_main_great_vortex			
-2	wh2_main_dwf_karak_zorn	wh2_group_dwarfs_default_hard	main_warhammer			
-2	wh2_main_dwf_karak_zorn	wh2_group_dwarfs_default_hard	wh2_main_great_vortex			
