unit_porthole_camera_settings_tables
2
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7	unknown8
1	28	chaos_warrior_15_degrees	180	195	0.1	1.6	0	Porthole/advisor/default_porthole.lighting
1	28	chaos_warrior_30_degrees	180	210	0.05	1.6	0	Porthole/advisor/default_porthole.lighting
1	28	chaos_warrior_45_degrees	180	225	0.05	1.6	0	Porthole/advisor/default_porthole.lighting
3.5	28	chs_lord_of_change	180	200	-0.75	3.15	0	Porthole/advisor/default_porthole.lighting
1	28	def_black_guard	190	200	-0.05	1.65	0	Porthole/advisor/default_porthole.lighting
1.2	28	def_corsairs	220	210	-0.02	1.8	0	Porthole/advisor/default_porthole.lighting
1	28	def_harpy	180	190	-0.05	1.55	0	Porthole/advisor/default_porthole.lighting
16	28	def_war_hydra	180	190	0	5	0	Porthole/advisor/default_porthole.lighting
1	28	default	180	180	0	1.5	0	Porthole/advisor/default_porthole.lighting
4	28	dwf_cannon	195	220	-0.45	1.2	0	Porthole/advisor/default_porthole.lighting
3.8	28	dwf_flame_cannon	195	200	-0.35	1.2	0	Porthole/advisor/default_porthole.lighting
4.5	28	dwf_grudgethrower	170	200	0	1.2	0	Porthole/advisor/default_porthole.lighting
8.4	28	dwf_gyrobomber	179	205	-0.4	0.8999999	0	Porthole/advisor/default_porthole.lighting
6	28	dwf_gyrocopter	150	220	-0.4	0.8999999	0	Porthole/advisor/default_porthole.lighting
4	28	dwf_organ_gun	195	200	-0.2	1.2	0	Porthole/advisor/default_porthole.lighting
0.75	28	dwf_runelord_anvil	180	200	0.15	2.6	0	Porthole/advisor/default_porthole.lighting
0.7	28	dwf_thorgrim	180	180	0	2.55	0	Porthole/advisor/default_porthole.lighting
1.2	28	dwf_warrior_15_degrees	180	195	-0.02	1.1	0	Porthole/advisor/default_porthole.lighting
1.2	28	dwf_warrior_30_degrees	180	210	-0.05	1.1	0	Porthole/advisor/default_porthole.lighting
1.2	28	dwf_warrior_45_degrees	180	225	-0.08000001	1.1	0	Porthole/advisor/default_porthole.lighting
3.8	28	emp_demigryph_knights	180	220	-0.8999999	1.9	0	Porthole/advisor/default_porthole.lighting
1	28	emp_general_foot	190	195	0.02	1.53	0	Porthole/advisor/default_porthole.lighting
5.5	28	emp_great_cannon	195	215	-1.1	1.7	0	Porthole/advisor/default_porthole.lighting
4	28	emp_hellblaster	190	220	-0.8	1.3	0	Porthole/advisor/default_porthole.lighting
4	28	emp_helstorm	190	220	-0.8	1.3	0	Porthole/advisor/default_porthole.lighting
7	28	emp_luminark	190	220	0.2	2.5	0	Porthole/advisor/default_porthole.lighting
3.2	28	emp_mortar	150	220	-0.35	1	0	Porthole/advisor/default_porthole.lighting
3.5	28	emp_reiksguard	200	200	-0.45	2.3	0	Porthole/advisor/default_porthole.lighting
1	28	emp_soldier_15_degrees	180	195	0.02	1.53	0	Porthole/advisor/default_porthole.lighting
1	28	emp_soldier_30_degrees	180	210	0	1.53	0	Porthole/advisor/default_porthole.lighting
8	28	emp_steam_tank	190	200	-0.7	2.4	0	Porthole/advisor/default_porthole.lighting
3.5	28	grn_aracknarok	200	200	-0.1	1	0	Porthole/advisor/default_porthole.lighting
10	28	grn_boar_chariot	150	220	-0.8	0.4	0	Porthole/advisor/default_porthole.lighting
4.5	28	grn_doom_diver	190	220	0	1.6	0	Porthole/advisor/default_porthole.lighting
5.3	28	grn_giant	210	190	-0.3	9.1	0	Porthole/advisor/default_porthole.lighting
1.6	28	grn_goblin_15_degrees	180	165	0.08000001	0.8	0	Porthole/advisor/default_porthole.lighting
1.6	28	grn_goblin_45_degrees	180	200	-0.1	0.8	0	Porthole/advisor/default_porthole.lighting
3.2	28	grn_goblin_spider_rider	210	210	-0.25	1.1	0	Porthole/advisor/default_porthole.lighting
3	30	grn_goblin_wolf_rider	200	200	-0.2	1.3	0	Porthole/advisor/default_porthole.lighting
1.7	28	grn_orc_0_degrees	180	180	0.1	1.4	0	Porthole/advisor/default_porthole.lighting
1.7	28	grn_orc_30_degrees	180	210	-0.15	1.4	0	Porthole/advisor/default_porthole.lighting
1.7	28	grn_orc_45_degrees	180	225	-0.42	1.4	0	Porthole/advisor/default_porthole.lighting
4.1	28	grn_orc_boar_rider	200	200	-0.3	1.8	0	Porthole/advisor/default_porthole.lighting
5	28	grn_rock_lobber	200	210	0	1.5	0	Porthole/advisor/default_porthole.lighting
2	28	grn_squig_herd	180	200	-0.05	0.65	0	Porthole/advisor/default_porthole.lighting
2.5	28	grn_squig_hopper	180	210	0	0.95	0	Porthole/advisor/default_porthole.lighting
4	28	grn_troll	200	180	0.3	3.6	0	Porthole/advisor/default_porthole.lighting
1.6	28	grn_warboss	185	180	0.1	1.4	0	Porthole/advisor/default_porthole.lighting
8	28	grn_wolf_chariot	180	220	-0.8	1	0	Porthole/advisor/default_porthole.lighting
12	28	hef_dragon	200	210	-2.7	6.5	0	Porthole/advisor/default_porthole.lighting
1	28	hef_general_foot	190	195	0.02	1.62	0	Porthole/advisor/default_porthole.lighting
3.8	28	hef_great_eagle	200	212	-0.2	2.2	0	Porthole/advisor/default_porthole.lighting
3.5	28	hef_phoenix	180	200	0	2	0	Porthole/advisor/default_porthole.lighting
8	28	liz_bastiladon	200	185	-0.4	2.3	0	Porthole/advisor/default_porthole.lighting
6	28	liz_carnosaur	200	200	-0.8999999	4	0	Porthole/advisor/default_porthole.lighting
3.5	28	liz_cold_one_riders	200	200	-0.3	2.2	0	Porthole/advisor/default_porthole.lighting
4	28	liz_feral_cold_ones	200	210	-0.6	1.85	0	Porthole/advisor/default_porthole.lighting
3.8	28	liz_kroxigor	180	200	-0.7	2.1	0	Porthole/advisor/default_porthole.lighting
1.8	28	liz_saurus_0_degrees	180	180	0	1.1	0	Porthole/advisor/default_porthole.lighting
1.7	28	liz_skink_0_degrees	180	180	0.3	0.95	0	Porthole/advisor/default_porthole.lighting
8	28	liz_stegadon	200	185	-0.4	2.6	0	Porthole/advisor/default_porthole.lighting
3.5	28	liz_terradon	180	200	0	4	0	Porthole/advisor/default_porthole.lighting
1.6	28	skv_clan_rats	180	190	0.18	1.1	0	Porthole/advisor/default_porthole.lighting
1.6	28	skv_clan_rats_20_degrees	180	200	0.1	1.1	0	Porthole/advisor/default_porthole.lighting
9	28	skv_doomwheel	190	210	-0.6	2.4	0	Porthole/advisor/default_porthole.lighting
10	28	skv_hellpit_abomination	190	200	-2	5.6	0	Porthole/advisor/default_porthole.lighting
1.6	28	skv_plague_monks	180	200	0.05	1.05	0	Porthole/advisor/default_porthole.lighting
3	28	skv_rat_ogres	190	190	-0.5	1.9	0	Porthole/advisor/default_porthole.lighting
8	28	skv_warp_lightning_cannon	190	195	-0.6	4.6	0	Porthole/advisor/default_porthole.lighting
2.5	28	skv_warpfire_thrower	180	200	-0.2	1.2	0	Porthole/advisor/default_porthole.lighting
1.1	28	vamp_banshee	180	170	0.07000001	1.8	0	Porthole/advisor/default_porthole.lighting
12	28	vamp_black_coach	150	230	0	1	0	Porthole/advisor/default_porthole.lighting
1.2	28	vamp_cairn_wraith	180	195	-0.05	1.8	0	Porthole/advisor/default_porthole.lighting
1.6	28	vamp_crypt_horror	180	190	0	1.8	0	Porthole/advisor/default_porthole.lighting
2.6	28	vamp_dire_wolf	190	220	-0.95	0.85	0	Porthole/advisor/default_porthole.lighting
10	28	vamp_fell_bat	190	200	-0.5	6	0	Porthole/advisor/default_porthole.lighting
1.3	28	vamp_ghoul	180	200	-0.15	0.95	0	Porthole/advisor/default_porthole.lighting
1	28	vamp_grave_guard	180	210	0	1.55	0	Porthole/advisor/default_porthole.lighting
3.5	28	vamp_hex_wraith	200	200	-0.45	2.3	0	Porthole/advisor/default_porthole.lighting
0.8	28	vamp_lord	190	195	0.02	1.55	0	Porthole/advisor/default_porthole.lighting
1	28	vamp_skeleton	180	200	-0.05	1.43	0	Porthole/advisor/default_porthole.lighting
7	28	vamp_terrorgheist	180	200	-1.5	1	0	Porthole/advisor/default_porthole.lighting
3.8	28	vamp_vargheist	180	190	-0.4	1.45	0	Porthole/advisor/default_porthole.lighting
1	28	vamp_zombie	180	200	-0.15	1.45	0	Porthole/advisor/default_porthole.lighting
1.1	28	wef_dryad	180	195	-0.1	1.42	0	Porthole/advisor/default_porthole.lighting
11	28	wef_forest_dragon	200	210	-2.7	6.5	0	Porthole/advisor/default_porthole.lighting
1	28	wef_general_foot	190	195	0	1.62	0	Porthole/advisor/default_porthole.lighting
3.8	28	wef_great_eagle	200	212	-0.7	2.2	0	Porthole/advisor/default_porthole.lighting
5	28	wef_hawk_riders	200	212	-0.4	2.4	0	Porthole/advisor/default_porthole.lighting
1	28	wef_infantry_15_degrees	180	195	0	1.62	0	Porthole/advisor/default_porthole.lighting
1	28	wef_infantry_30_degrees	180	210	0	1.62	0	Porthole/advisor/default_porthole.lighting
1	28	wef_infantry_45_degrees	180	225	0	1.62	0	Porthole/advisor/default_porthole.lighting
2	28	wef_orion	190	195	-0.05	3.1	0	Porthole/advisor/default_porthole.lighting
0.95	28	wef_spellsinger	190	195	-0.09	1.52	0	Porthole/advisor/default_porthole.lighting
3.1	28	wef_tree_kin	180	195	-0.25	2.7	0	Porthole/advisor/default_porthole.lighting
4	28	wef_treeman	190	195	-0.25	7	0	Porthole/advisor/default_porthole.lighting
3.5	28	wef_wild_riders	200	212	-0.7	2.4	0	Porthole/advisor/default_porthole.lighting
